'a'he'he 阿呵呵
'fu'you'yun'jie'ru'fu'neng 富有蕴藉如弗能
'fu'yu'po'jia'wu'ni 付与破家五逆
'fu'yu'tong'lun 付与同伦
'fu'zhang'he'he'le'tai'ping 抚掌呵呵乐太平
'fu'zi'bu'shi'zi 夫子不识字
'gan'dai'shen'en 感戴深恩
'gang'yan'lou'xie'zu'shi'ji 刚言漏泄祖师机
'gao'an'tan'shang'fan'shen 高安滩上翻身
'gao'bu'gao'fu'cun 高不高肤寸
'gao'dao'wei'yin'wei'zhen'qian 高蹈威音未朕前
'gao'di'bu'yun'lu 高低布云麓
'gao'di'zhu'li'yi'ban'shi 高低主礼一般施
'gao'feng'lin'lin'zhao'jin'gu 高风凛凛照今古
'gao'ge'da'xiao 高歌大笑
'gao'gua'jin'xi 高挂金锡
'gao'ming'si'hai'fu'shui'tong 高名四海复谁同
'gao'mu'han'hui 槁木寒灰
'ge'ban'mian'zui'de'ren'zeng 个般面觜得人憎
'ge'ge'mian'xiang'du 各各面相睹
'ge'huan'gong'zi'shi 歌欢公子事
'ge'jiang'you'chang'hou'ting'hua 隔江犹唱后庭花
'ge'shi'chu'ge 个是出格
'ge'wai'xiang'tan 格外乡谈
'ge'yao'man'lu 歌谣满路
'geng'kan'zhi'tou'yun'xiao'zhi'ding 更看直透云霄之顶
'geng'lai'yu'shi'tao'pian'yi 更来渔市讨便宜
'geng'lei'er'sun 更累儿孙
'geng'mei'xie'zi'yi'zhi 更没些子意智
'geng'mo'chi'hui 更莫迟回
'geng'mo'lun'liang 更莫论量
'geng'shen'ping'jun'zi'xi'tui 庚申凭君子细推
'geng'tun'li'ji'peng'gan'chang'lie 更吞栗棘蓬肝肠裂
'geng'you'ye'xing'ren 更有夜行人
'geng'yun'zhong'yue'zi'you'ren 耕云种月自由人
'gong'chui'yi'hua'yu'li'yuan 拱垂衣化育黎元
'gong'fu'zhen'mi 工夫缜密
'gong'hu'yi'duan 攻乎异端
'gong'jie'fo'zu'shen'yuan 共结佛祖深冤
'gong'xun'xiao 功勋消
'gu'bao'si'geng 鼓报四更
'gu'dao'sui'wei 古道虽微
'gu'dong'tao'hua'fa'nen'zhi 古洞桃花发嫩枝
'gu'feng'lin'ran 孤风凛然
'gu'fo'jin'fo 古佛今佛
'gu'fo'lu'zhu 古佛露柱
'gu'gao'bu'yu'zhong'feng'qi 孤高不与众峰齐
'gu'gao'pan'bu'ji 孤高攀不及
'gu'gen'tuo'luo'yan'cang'tai 孤根脱落偃苍苔
'gu'jin'yao'sha'ren'wu'shu 古今药杀人无数
'gu'jiong'jiong 孤迥迥
'gu'shi'fen'ming 故是分明
'gu'yue'tuan'tuan 孤月团团
'gua'pan'duo'zhuan'wei'tian'ji 卦盘掇转味天机
'guan'bu'zu 观不足
'guan'lin'da'di'chu'wu'kong 惯临大敌初无恐
'guan'lu'wu'ren'ye'wu'yue 官路无人夜无月
'guan'yin'da'shi'zan 观音大士赞
'guan'yin'da'shi'zan'ji'mie'xian'qian 观音大士赞寂灭现前
'guan'yin'yuan'li'you'mi'le 观音院里有弥勒
'guan'yin'zan 观音赞
'guang'mang'dou'she 光芒斗射
'guang'ming'po'ye'zhi'deng 光明破夜之灯
'guang'ming'zhao'shi'fang 光明照十方
'guang'ming'zhuan'chu'qing'can'yue 光明转处倾残月
'guang'yin'ju'guo'xi 光阴驹过隙
'gui'dao'shi'qiao'jun'zi'kan 归到石桥君自看
'gui'lai'chu'wu 归来初五
'gui'lai'you'niao'ti'fang'shu 归来幽鸟啼芳树
'gui'ru'jin'bi 贵如金璧
'gui'shi'qing'guo'bu'huan 贵时倾国不换
'gui'yuan'ju'fang 规圆矩方
'gun'di'nu'tao'qian'zhang'xue 辊底怒涛千丈雪
'guo'jian'yun'sheng'xing'qi'chen 果见云生性起尘
'guo'qu'yi'guo'qu 过去已过去
'guo'shan'xun'yi'ji 过山寻蚁迹
'guo'wang'da'chen 国王大臣
'guo'you'xian'zhang 国有宪章
'hai'ceng'zhi'ci'wei'mo 还曾知此味麽
'hai'shui'yang'bo 海水扬波
'hai'wo'dang'hang'jia'mai'mai 还我当行家卖买
'hai'you'xu'duo'xiao'xi'wu 还有许多消息无
'han'bei'han'xiao'yi'lu'xiang 含悲含笑一炉香
'han'bo'yong'yue'xi'you'you 涵波泳月兮悠悠
'han'gu'hui'chun 寒谷回春
'han'ji'dou'sou'hu'tian'xiao 寒鸡抖擞呼天晓
'han'lin'yao'luo'xi'shui'luo'lao'hu'zhi'xu 寒林摇落兮谁捋老虎之须
'han'quan'jiao'jiao'jin'ming'yue 寒泉皎皎浸明月
'han'shan'chi'jing'shi'de'shou'jie 寒山持经拾得手接
'han'shan'shi'de'wang'yue'zan 寒山拾得望月赞
'hang'xie'mo'jiang'yu'mu'bi 沆瀣莫将鱼目比
'hao'jiao'wu'shui'pi'tou'jiao 好交恶水劈头浇
'hao'li'cha'er'bi'bu'ke'sai 毫厘差而敝不可塞
'hao'meng'dou'jing'po 好梦都惊破
'hao'shi'tai'ping'wu'shi'ri 好是太平无事日
'hao'yu'lan'sai'zhang 好与拦腮掌
'hao'yu'wu'xia 皓玉无瑕
'he'bi'duo'yan 何必多言
'he'ceng'wu'dao'jian'ming'xing 何曾悟道见明星
'he'chu're 何处热
'he'dai'dang'lai'wen'mi'le 何待当来问弥勒
'he'dai'zhi'lang'qiang'miao'miao 何待支郎强描邈
'he'dan'qiu'qing 河淡秋清
'he'de'chen'shi'ren 何得尘世人
'he'du'xi'zhong'qiu 何独喜中秋
'he'guang'tong'chen 和光同尘
'he'ku'qi'qu'yao'mi'yi 何苦崎岖要觅伊
'he'li'yu'tian 鹤唳于天
'he'lu'tiao'zhu 荷露跳珠
'he'ming'bei'dou'shuang 河明北斗霜
'he'ren'jie'ci'yin 何人解此吟
'he'ren'yu 何人欤
'he'ru'lei 喝如雷
'he'ru'yun'he'bao'qing'meng 何如云壑饱清梦
'he'shan'lao'yi'wei'da'gu 禾山老一味打鼓
'he'shu'shi'fen'qiu'ke'wang 禾黍十分秋可望
'he'si'zhen'zhou'da'luo'bo 何似镇州大萝卜
'he'sun'he'yi 何损何益
'he'xu'wan'hu'jin'lian 何须万斛金莲
'he'yan'ye'zhu 合眼也著
'he'zhang'ying'gui'dou'lv'yuan 合掌迎归兜率院
'heng'jiang 横江
'heng'pao'zhi'po'sha'pen 横抛掷破沙盆
'hong'chen'nao'shi 红尘闹市
'hong'lun'jue'ding'chen'xi'qu 红轮决定沉西去
'hou'bu'die'cun 后不迭村
'hou'yue'yi'ci'yue 后月亦此月
'hou'zheng'mi'le 后证弥勒
'hu'ran'tu'chu'si'heng'liu 忽然突出肆横流
'hu'shu'bu'du 户枢不蠹
'hua'cu'cu 花簇簇
'hua'fen'zhi'bei'zhi'zhi'nan 花分枝北志枝南
'hua'guang'shi'mei'dan'zhong'you'wei 花光十梅淡中有味
'hua'guang'shi'mei'huan'hua'mie'jin 花光十梅幻花灭尽
'hua'guang'shi'mei'jue'hou'zai'su 花光十梅绝后再苏
'hua'lin'wei'ken'yan'ji'weng 华鳞未肯淹虀瓮
'hua'mu'fang'fei 花木芳菲
'hua'mu'xin'xin'chun'ru'duan 华木欣欣春入端
'hua'na'yuan'fei'gu'jin 花衲元非古锦
'hua'niao'bu'lai'feng'sao'ting 华鸟不来风扫庭
'hua'ning'xiao'lu 花凝晓露
'hua'qian'bu'jue'xiao'yan'kai 花前不觉笑颜开
'hua'qian'yi'xiao'ji'hui'shou 花前一笑即回首
'hua'ting'chuan'zi 华亭船子
'hua'yu'chun'yang'zhao'yu'qian 化育春阳照妪前
'hua'ze'bu'si 画则不似
'hua'zuo'liang'jue 话作两橛
'huai'xiu'ying'nan'mi'si'zhou 怀袖应难秘斯轴
'huai'zhou'niu'chi'he 怀州牛吃禾
'huan'qi'lai'da 唤起来打
'huan'shi'ying'zhu'yuan 幻世应诸缘
'huan'xi'cheng'yuan'jie 欢喜成冤结
'huan'zhong'qi'zhen 环中契真
'huan'zhong'tian'zi'chi 寰中天子勑
'huan'zuo'ru'ru 唤作如如
'huang'bi'shan'tou'wu'zuo 黄薜山头兀坐
'huang'bo'duan'ji'chan'shi'zan 黄蘗断际禅师赞
'huang'bo'shu'tou'mi'guo 黄蘗树头蜜果
'huang'chu'chu'chu'xin 黄处处处新
'huang'du'jiang'kan'chui'zuo'fan 黄独将看炊作饭
'huang'he'lou'qian'gong'yu'shi 黄鹤楼前共语时
'huang'he'qing 黄河清
'huang'mei'ruo'ye'wu'si'qu 黄梅若也无私曲
'huang'nie'shao'xiang 黄蘖烧香
'huang'tian'bu'jian'cao 荒田不拣草
'huang'tian'wu'qin 皇天无亲
'hui'bu'dang'chu'fang'pai'mang 悔不当初放拍盲
'hui'bu'hui 会不会
'hui'gui'yi'xiang 会归一相
'hui'jian'huo'tu'tan'di'long 挥剑活屠潭底龙
'hui'ri'feng'qian 慧日峰前
'hui'shou'gui'lai'chi'hen'quan 回首归来吃痕拳
'hui'shou'hai'cong'jiu'lu'gui 回首还从旧路归
'hui'tou'wu'mi'chu 回头无觅处
'hun'lun'ku'ao'ao 浑仑苦磝磝
'hun'su'tong'zhen 混俗通真
'hun'wu'ji'ban 浑无羁绊
'huo'bo'bo 活鱍鱍
'huo'cheng'yao'hong 或逞夭红
'huo'juan'huo'shu'lin'mu'wai 或卷或舒林木外
'huo'kua'ya'su 或夸雅素
'huo'yan'leng'kui'xu'chu'ling 活眼冷窥虚处灵
'huo'yan'wei'san'shi'zhu'fo'shuo'fa 火焰为三世诸佛说法
'huo'you'tai'xi'fu'you'ji 祸有胎兮福有基
'huo'yun'ying'li'yi'ye'luo 火云影裡一叶落
'ji'bei'da'shu 济北大树
'ji'bu'wu 即不无
'ji'er'chang'zhao 寂而常照
'ji'ge'zhi'can'kui 几个知惭愧
'ji'han'shang'shui 鸡寒上水
'ji'jian'ru'lai 即见如来
'ji'jian'zhen'long'yuan'bu'shi 洎见真龙元不识
'ji'jin'ming'xian'zai 即今名现在
'ji'jin'xiu'qu'bian'xiu'qu 即今休去便休去
'ji'lun'wen'cai'miao'qiong'chu 机轮文彩妙穷初
'ji'mie'xian'qian 寂灭现前
'ji'mo'du'ling'xi'wan'li'du'xing 寂漠度岭兮万里独行
'ji'ren'cuo'ren'ding'pan'xing 几人错认定盘星
'ji'ruo'huo 机若活
'ji'se'kuo'cheng'xi'qiu'huai'yue'man 霁色廓澄兮秋怀月满
'ji'sheng'cui'ru'zi'chen'chao 鸡声催入紫宸朝
'ji'si'qiong'bu'zhai 藉丝穷不窄
'ji'song'er'bai'ling'wu'shou'bu'zhan'shi 偈颂二百零五首不展事
'ji'song'er'bai'ling'wu'shou'dao'qi'ru'ru 偈颂二百零五首道契如如
'ji'song'er'bai'ling'wu'shou'diao'jin'cang'bo'yue'yi'gou 偈颂二百零五首钓尽沧波月一钩
'ji'song'er'bai'ling'wu'shou'gong'xun'xiao 偈颂二百零五首功勋消
'ji'song'er'bai'ling'wu'shou'nan'nan'nan'shi'qian'qing'nan 偈颂二百零五首难难难是遣情难
'ji'song'er'bai'ling'wu'shou'nen'me'qu'di'cuo 偈颂二百零五首恁么去底错
'ji'song'er'bai'ling'wu'shou'shen'fei'chen'ju 偈颂二百零五首身非尘聚
'ji'song'er'bai'ling'wu'shou'shi'meng'duan 偈颂二百零五首世梦短
'ji'song'er'bai'ling'wu'shou'tao'hua'lang'li'zhen'xiu'lin 偈颂二百零五首桃华浪里振修鳞
'ji'song'er'bai'ling'wu'shou'xu'zhi'feng'dong'xin'yao'shu 偈颂二百零五首须知风动心摇树
'ji'song'er'bai'ling'wu'shou'zhi'dao'jie'kong'ming'zi'ji 偈颂二百零五首直到劫空明自己
'ji'song'liu'shi'ba'shou'da'xue'man'chang'an 偈颂六十八首大雪满长安
'ji'song'liu'shi'ba'shou'he'ru'lei 偈颂六十八首喝如雷
'ji'song'liu'shi'ba'shou'jie'ling'bu'xiang'rao 偈颂六十八首节令不相饶
'ji'song'liu'shi'ba'shou'ru'shi'sheng'tang 偈颂六十八首入室升堂
'ji'song'liu'shi'ba'shou'ruo'lun'ci'shi 偈颂六十八首若论此事
'ji'song'liu'shi'ba'shou'shi'de'yi 偈颂六十八首识得一
'ji'song'liu'shi'ba'shou'shi'zun'nian'hua 偈颂六十八首世尊拈花
'ji'song'qi'shi'ba'shou'bu'ke'yi'se'jian 偈颂七十八首不可以色见
'ji'song'qi'shi'ba'shou'tong'sheng'xiang'ying 偈颂七十八首同声相应
'ji'song'qi'shi'ba'shou'yi'dian'huan'zhong'zhao'ji'wei 偈颂七十八首一点环中照极微
'ji'song'qi'shi'ba'shou'yun'wu'xin'er'zi'xian 偈颂七十八首云无心而自闲
'ji'song'qi'shi'ba'shou'yun'zai'qing'tian'shui'zai'ping 偈颂七十八首云在青天水在瓶
'ji'song'qi'shi'liu'shou'jian'shi'yao'zuo'chan 偈颂七十六首健时要坐禅
'ji'song'qi'shi'liu'shou'jing'shan'bu'gan'xiang'man 偈颂七十六首径山不敢相谩
'ji'song'qi'shi'liu'shou'jiu'ri'chong'yang'jie 偈颂七十六首九日重阳节
'ji'song'qi'shi'liu'shou'na'seng'jia 偈颂七十六首衲僧家
'ji'song'qi'shi'liu'shou'qing'gai'xiang'feng 偈颂七十六首倾盖相逢
'ji'song'qi'shi'liu'shou'tong'shen'gong'ming 偈颂七十六首同身共命
'ji'song'qi'shi'liu'shou'wan'lai'chen'chen 偈颂七十六首万籁沉沉
'ji'song'qi'shi'liu'shou'wu'yue'duan'wu'jie 偈颂七十六首五月端午节
'ji'song'qi'shi'liu'shou'yi'er'san'si'wu 偈颂七十六首一二三四五
'ji'song'qi'shi'liu'shou'yi'yang'lai'fu 偈颂七十六首一阳来复
'ji'song'shi'jiu'shou'bu'ye'nong'shang'bu'ye'ru 偈颂十九首不业农商不业儒
'ji'song'shi'qi'shou'jin'mu'shui'huo'tu 偈颂十七首金木水火土
'ji'song'shi'wu'shou'xia'mo'qiu'chu'wan'wan'qian 偈颂十五首夏末秋初万万千
'ji'song'wu'shi'yi'shou'er'long'yan'an'bu'long'zhong 偈颂五十一首耳聋眼暗步龙钟
'ji'song'wu'shi'yi'shou'fan'suo'you'xiang 偈颂五十一首凡所有相
'ji'song'wu'shi'yi'shou'fo'fo'shi'he'wu 偈颂五十一首佛佛是何物
'ji'song'wu'shi'yi'shou'guo'wang'da'chen 偈颂五十一首国王大臣
'ji'song'wu'shi'yi'shou'mo'jie'yan'shi 偈颂五十一首摩竭掩室
'ji'song'wu'shi'yi'shou'shi'jia'chu'shi'na'kong'sai'kong 偈颂五十一首释迦出世拏空塞空
'ji'song'wu'shi'yi'shou'shi'zhu'ji'cuo 偈颂五十一首是著即错
'ji'song'wu'shi'yi'shou'shi'zi'jie'tou 偈颂五十一首十字街头
'ji'song'wu'shi'yi'shou'shu'ming'wei'fo 偈颂五十一首孰名为佛
'ji'song'wu'shi'yi'shou'tian'wu'men 偈颂五十一首天无门
'ji'song'wu'shi'yi'shou'wo'yu'shi'jia'lao'zi 偈颂五十一首我与释迦老子
'ji'song'wu'shi'yi'shou'wu'ri'feng 偈颂五十一首五日风
'ji'song'wu'shi'yi'shou'zheng'fa'yan 偈颂五十一首正法眼
'ji'song'wu'shi'yi'shou'zuo'duan'shi'fang'guo'tu 偈颂五十一首坐断十方国土
'ji'song'yi'bai'er'shi'san'shou'ba'yue'jiu'yue 偈颂一百二十三首八月九月
'ji'song'yi'bai'er'shi'san'shou'bai'yun'gao 偈颂一百二十三首白云高
'ji'song'yi'bai'er'shi'san'shou'da'ji'yuan'ying 偈颂一百二十三首大机圆应
'ji'song'yi'bai'er'shi'san'shou'hua'cu'cu 偈颂一百二十三首花簇簇
'ji'song'yi'bai'er'shi'san'shou'jin'zhao'wu'yue'wu 偈颂一百二十三首今朝五月五
'ji'song'yi'bai'er'shi'san'shou'kai'pin'ji'cuo 偈颂一百二十三首开品即错
'ji'song'yi'bai'er'shi'san'shou'lai'he'chi 偈颂一百二十三首来何迟
'ji'song'yi'bai'er'shi'san'shou'nian'nian'shi'hao'nian 偈颂一百二十三首年年是好年
'ji'song'yi'bai'er'shi'san'shou'peng'fo'lian'zu 偈颂一百二十三首烹佛炼祖
'ji'song'yi'bai'er'shi'san'shou'po'sha'pen 偈颂一百二十三首破沙盆
'ji'song'yi'bai'er'shi'san'shou'qian'bu'gou'dian 偈颂一百二十三首前不构店
'ji'song'yi'bai'er'shi'san'shou'qun'yin'bo'jin 偈颂一百二十三首群阴剥尽
'ji'song'yi'bai'er'shi'san'shou'si'dao'ran'ni'sha 偈颂一百二十三首司道染泥沙
'ji'song'yi'bai'er'shi'san'shou'yi'fo'chu'shi 偈颂一百二十三首一佛出世
'ji'song'yi'bai'er'shi'san'shou'yi'jian'bian'jian 偈颂一百二十三首一见便见
'ji'song'yi'bai'er'shi'san'shou'yi'qi'jiu'shi'ri 偈颂一百二十三首一期九十日
'ji'song'yi'bai'er'shi'san'shou'yu'di'yan'wei 偈颂一百二十三首雨涤炎威
'ji'song'yi'bai'er'shi'san'shou'yu'jian'guang'zhong 偈颂一百二十三首玉鉴光中
'ji'song'yi'bai'er'shi'san'shou'yue'leng'tian'gao 偈颂一百二十三首月冷天高
'ji'song'yi'bai'er'shi'san'shou'yun'shou'hai'shan'heng 偈颂一百二十三首云收海山横
'ji'song'yi'bai'er'shi'san'shou'zhang'zhang'chu'bu'de 偈颂一百二十三首长长出不得
'ji'song'yi'bai'er'shi'san'shou'zhu'zhang'zi 偈颂一百二十三首拄杖子
'ji'song'yi'bai'ling'er'shou'da'dao'wu'fang 偈颂一百零二首大道无方
'ji'song'yi'bai'ling'er'shou'gao'bu'gao'fu'cun 偈颂一百零二首高不高肤寸
'ji'song'yi'bai'ling'er'shou'huan'zuo'ru'ru 偈颂一百零二首唤作如如
'ji'song'yi'bai'ling'er'shou'lao'dao'zhu'shan 偈颂一百零二首老倒住山
'ji'song'yi'bai'ling'er'shou'mi'mo'qing'cha 偈颂一百零二首秘魔擎叉
'ji'song'yi'bai'ling'er'shou'suo'mo'zhi'feng 偈颂一百零二首索寞芝峰
'ji'song'yi'bai'ling'er'shou'xiao'xiao'qing'shan 偈颂一百零二首小小青山
'ji'song'yi'bai'ling'er'shou'yi'da'yuan'jue 偈颂一百零二首以大圆觉
'ji'song'yi'bai'ling'er'shou'zi'zhi'feng'xia 偈颂一百零二首紫芝峰下
'ji'song'yi'bai'ling'si'shou'ba'yue'qiu 偈颂一百零四首八月秋
'ji'song'yi'bai'ling'si'shou'bu'bu'hong'chen 偈颂一百零四首醭醭红尘
'ji'song'yi'bai'ling'si'shou'chun'ri'qing 偈颂一百零四首春日晴
'ji'song'yi'bai'ling'si'shou'chun'shan'qing 偈颂一百零四首春山青
'ji'song'yi'bai'ling'si'shou'da'zhong'wen'xun 偈颂一百零四首大众问讯
'ji'song'yi'bai'ling'si'shou'dao'zhi'wu'nan 偈颂一百零四首道至无难
'ji'song'yi'bai'ling'si'shou'di'shang'fan'piao 偈颂一百零四首地上翻瓢
'ji'song'yi'bai'ling'si'shou'diao'liang'yan'yu 偈颂一百零四首雕梁燕语
'ji'song'yi'bai'ling'si'shou'huang'he'qing 偈颂一百零四首黄河清
'ji'song'yi'bai'ling'si'shou'jin'jing'nong'zhuang'shi'yang'hua 偈颂一百零四首锦镜浓妆十样花
'ji'song'yi'bai'ling'si'shou'jin'lun'wang'zhai 偈颂一百零四首金轮王宅
'ji'song'yi'bai'ling'si'shou'jiu'qu'huang'he'che'di'qing 偈颂一百零四首九曲黄河彻底清
'ji'song'yi'bai'ling'si'shou'ling'jiang'yue 偈颂一百零四首灵江月
'ji'song'yi'bai'ling'si'shou'lv'an'hong'xi 偈颂一百零四首绿暗红稀
'ji'song'yi'bai'ling'si'shou'qian'fei'shang 偈颂一百零四首乾非上
'ji'song'yi'bai'ling'si'shou'qiu'qi'su'jin 偈颂一百零四首秋气肃金
'ji'song'yi'bai'ling'si'shou'san'du'fu'hao'zhi 偈颂一百零四首三度拂蒿枝
'ji'song'yi'bai'ling'si'shou'su'yu'chu'qing 偈颂一百零四首宿雨初晴
'ji'song'yi'bai'ling'si'shou'tian'di'bu'ren 偈颂一百零四首天地不仁
'ji'song'yi'bai'ling'si'shou'tong'yu'jin'lun'si'shi'nian 偈颂一百零四首统御金轮四十年
'ji'song'yi'bai'ling'si'shou'xiao'chun'cai'guo 偈颂一百零四首小春才过
'ji'song'yi'bai'ling'si'shou'xun'pu'qian'xun 偈颂一百零四首迅瀑千寻
'ji'song'yi'bai'ling'si'shou'yi'er'qian'shuo'gu 偈颂一百零四首一二千硕谷
'ji'song'yi'bai'ling'si'shou'zuo'ye'ji'liao'tun'bo'bie 偈颂一百零四首昨夜唧蟟吞跛鳖
'ji'song'yi'bai'san'shi'liu'shou'ba'yue'qiu 偈颂一百三十六首八月秋
'ji'song'yi'bai'san'shi'liu'shou'bao'jian'chu'xia 偈颂一百三十六首宝剑出匣
'ji'song'yi'bai'san'shi'liu'shou'bu'si'shan 偈颂一百三十六首不思善
'ji'song'yi'bai'san'shi'liu'shou'chu'er'chu'cheng 偈颂一百三十六首初二出城
'ji'song'yi'bai'san'shi'liu'shou'de'shan'pai'dao 偈颂一百三十六首德山排倒
'ji'song'yi'bai'san'shi'liu'shou'er'yue'chu'wu 偈颂一百三十六首二月初五
'ji'song'yi'bai'san'shi'liu'shou'fei'xue'ting'qian 偈颂一百三十六首飞雪亭前
'ji'song'yi'bai'san'shi'liu'shou'feng'xiao'xiao 偈颂一百三十六首风萧萧
'ji'song'yi'bai'san'shi'liu'shou'gu'bao'si'geng 偈颂一百三十六首鼓报四更
'ji'song'yi'bai'san'shi'liu'shou'jie'jie'zhong'qiu 偈颂一百三十六首节届中秋
'ji'song'yi'bai'san'shi'liu'shou'jin'ri'ru'shi 偈颂一百三十六首今日如是
'ji'song'yi'bai'san'shi'liu'shou'jiu'ri'chong'yang 偈颂一百三十六首旧日重阳
'ji'song'yi'bai'san'shi'liu'shou'jiu'yue'shou'yi 偈颂一百三十六首九月授衣
'ji'song'yi'bai'san'shi'liu'shou'lv'shui'qing'shan 偈颂一百三十六首绿水青山
'ji'song'yi'bai'san'shi'liu'shou'ming'bu'de 偈颂一百三十六首名不得
'ji'song'yi'bai'san'shi'liu'shou'na'seng'jia 偈颂一百三十六首衲僧家
'ji'song'yi'bai'san'shi'liu'shou'na'seng'xing'chu 偈颂一百三十六首衲僧行处
'ji'song'yi'bai'san'shi'liu'shou'qiu'feng'qing 偈颂一百三十六首秋风清
'ji'song'yi'bai'san'shi'liu'shou'qiu'yu'zha'qing 偈颂一百三十六首秋雨乍晴
'ji'song'yi'bai'san'shi'liu'shou'ren'jian'yue'ban 偈颂一百三十六首人间月半
'ji'song'yi'bai'san'shi'liu'shou'ren'ren'tou'ding'tian 偈颂一百三十六首人人头顶天
'ji'song'yi'bai'san'shi'liu'shou'ru'li'shen'tan 偈颂一百三十六首入理深谈
'ji'song'yi'bai'san'shi'liu'shou'san'shi'nian'qian 偈颂一百三十六首三十年前
'ji'song'yi'bai'san'shi'liu'shou'si'ye'hong'lian 偈颂一百三十六首四叶红莲
'ji'song'yi'bai'san'shi'liu'shou'sui'jin'nian'qiong 偈颂一百三十六首岁尽年穷
'ji'song'yi'bai'san'shi'liu'shou'tan'xuan'tan'miao 偈颂一百三十六首谈玄谈妙
'ji'song'yi'bai'san'shi'liu'shou'wan'fa'ben'wu 偈颂一百三十六首万法本无
'ji'song'yi'bai'san'shi'liu'shou'wo'xin'si'qiu'yue 偈颂一百三十六首我心似秋月
'ji'song'yi'bai'san'shi'liu'shou'wu'wu'wu'shi'shu 偈颂一百三十六首五五午时书
'ji'song'yi'bai'san'shi'liu'shou'wu'xin'si'qiu'yue 偈颂一百三十六首吾心似秋月
'ji'song'yi'bai'san'shi'liu'shou'xi'ri'bu'sheng 偈颂一百三十六首昔日不生
'ji'song'yi'bai'san'shi'liu'shou'xiu'qu'xie'qu 偈颂一百三十六首休去歇去
'ji'song'yi'bai'san'shi'liu'shou'xun'feng'nan'lai 偈颂一百三十六首薰风南来
'ji'song'yi'bai'san'shi'liu'shou'ya'ai'zhong'qiu'yue 偈颂一百三十六首雅爱中秋月
'ji'song'yi'bai'san'shi'liu'shou'yan'ru'gao'kong 偈颂一百三十六首雁入高空
'ji'song'yi'bai'san'shi'liu'shou'yang'qi'li'ji'peng 偈颂一百三十六首杨岐栗棘蓬
'ji'song'yi'bai'san'shi'liu'shou'yi'yue'fu'yi'yue 偈颂一百三十六首一月复一月
'ji'song'yi'bai'san'shi'liu'shou'yi'zhu'gao'yi'zhu 偈颂一百三十六首一著高一著
'ji'song'yi'bai'san'shi'liu'shou'yuan'zheng'qi'zuo 偈颂一百三十六首元正启祚
'ji'song'yi'bai'san'shi'liu'shou'zhao'er'chang'ji 偈颂一百三十六首照而常寂
'ji'song'yi'bai'san'shi'liu'shou'zi'xia'ji'qiu 偈颂一百三十六首自夏及秋
'ji'song'yi'bai'san'shi'san'shou'da'mo'bu'hui'chan 偈颂一百三十三首达磨不会禅
'ji'song'yi'bai'san'shi'san'shou'du'neng'gang'shang 偈颂一百三十三首独能岗上
'ji'song'yi'bai'san'shi'san'shou'fa'er'bu'er 偈颂一百三十三首法尔不尔
'ji'song'yi'bai'san'shi'san'shou'jin'zhao'duan'wu'jie 偈颂一百三十三首今朝端午节
'ji'song'yi'bai'san'shi'san'shou'leng'shui'dian'fei'guo 偈颂一百三十三首冷水点沸锅
'ji'song'yi'bai'san'shi'san'shou'qiao'jin'zhuo'chu 偈颂一百三十三首巧尽拙出
'ji'song'yi'bai'san'shi'san'shou'qiu'feng'diao'bai'ye 偈颂一百三十三首秋风凋败叶
'ji'song'yi'bai'san'shi'san'shou'shen'wen'qian'wu 偈颂一百三十三首深闻浅悟
'ji'song'yi'bai'san'shi'san'shou'shen'xin'yi'ru 偈颂一百三十三首身心一如
'ji'song'yi'bai'san'shi'san'shou'si'yue'shi'wu'tong'jie 偈颂一百三十三首四月十五同结
'ji'song'yi'bai'san'shi'san'shou'wan'gu'chang'kong 偈颂一百三十三首万古长空
'ji'song'yi'bai'san'shi'san'shou'xi'lv'mi'yuan 偈颂一百三十三首息虑迷源
'ji'song'yi'bai'san'shi'san'shou'xiang'jian'bu'xu'chen 偈颂一百三十三首相见不须瞋
'ji'song'yi'bai'san'shi'san'shou'yang'zi'bu'ji'fu 偈颂一百三十三首养子不及父
'ji'song'yi'bai'san'shi'san'shou'zhi'xia'shi 偈颂一百三十三首直下是
'ji'song'yi'bai'san'shi'san'shou'zhong'liu'cheng'hai 偈颂一百三十三首众流成海
'ji'song'yi'bai'si'shi'yi'shou'chao'lu'lu 偈颂一百四十一首朝碌碌
'ji'song'yi'bai'si'shi'yi'shou'chun'feng'hao'hao 偈颂一百四十一首春风浩浩
'ji'song'yi'bai'si'shi'yi'shou'chun'se'yi'yi 偈颂一百四十一首春色依依
'ji'song'yi'bai'si'shi'yi'shou'er'yue'shi'wu 偈颂一百四十一首二月十五
'ji'song'yi'bai'si'shi'yi'shou'guo'qu'yi'guo'qu 偈颂一百四十一首过去已过去
'ji'song'yi'bai'si'shi'yi'shou'he'li'yu'tian 偈颂一百四十一首鹤唳于天
'ji'song'yi'bai'si'shi'yi'shou'huang'bo'shu'tou'mi'guo 偈颂一百四十一首黄蘗树头蜜果
'ji'song'yi'bai'si'shi'yi'shou'jin'bao'te'shi 偈颂一百四十一首锦包特石
'ji'song'yi'bai'si'shi'yi'shou'jin'zhao'qi'yue'yi 偈颂一百四十一首今朝七月一
'ji'song'yi'bai'si'shi'yi'shou'jiu'ri'dang'jia'jie 偈颂一百四十一首九日当佳节
