'chu'sheng'ding'ding'jing'hou'tu 杵声丁丁惊后土
'chu'shi'qing'he'ri 初失清河日
'chu'shi'yi'biao'zhen'ming'shi 出师一表真名世
'chu'yi'lue'zhan'sa 初亦略沾洒
'chuan'cang'zhou'wei'ge'wu'chi 船仓周围各五尺
'chuan'li'hong'ze'an'tou'sha 船离洪泽岸头沙
'chuan'tou'chuan'wei'lan'gong'dao 船头船尾烂弓刀
'chuan'wen'you'qi'pang'xian'fu 传闻又起旁县夫
'chuan'zai'jian'qing'wei'huang'xie 船载肩擎未遑歇
'chuan'zhong'ke'jue'tian'wei'ming 船中客觉天未明
'chuan'zuo'ye'ma'zou 船作野马走
'chuang'tou'qian'nang'da'ru'quan 床头悭囊大如拳
'chuang'tou'shu'ce'luan'fen'fen 床头书册乱纷纷
'chuang'you'qiong'hua'zhui 窗牖琼花坠
'chui'cheng'se'shi'ku'jian'nan 垂成穑事苦艰难
'chui'duo'di'shao'ji'hao'jiu 炊多籴少饥号啾
'chui'zeng'fei'chen'zhu'bo'zhou 炊甑飞尘煮薄粥
'chun'bo'wei'jian'duan'bing'liu 春波惟见断冰流
'chun'can'cheng'si'fu'cheng'juan 春蚕成丝复成绢
'chun'can'hui'shou'bei'yi'yi 春残回首倍依依
'chun'cui'nong'gong'dong'qian'mo 春催农工动阡陌
'chun'dao'shan'cheng'ku'ji'mo 春到山城苦寂寞
'chun'feng'duo'ke'tai'mang'sheng 春风多可太忙生
'chun'feng'ri'ri'chui'xiang'cao 春风日日吹香草
'chun'feng'yang'liu'tai'shi'qiao 春风杨柳太师桥
'chun'feng'yi'bu'dao'tian'ya 春风疑不到天涯
'chun'feng'ying'guai'zai'tian'ya 春风应怪在天涯
'chun'feng'you'lv'jiang'nan'an 春风又绿江南岸
'chun'fu'xing'yu'bu 春服行欲补
'chun'gui'chu'chu'qing 春归处处青
'chun'han'wei'liao'qie'yuan'gong 春寒未了怯园公
'chun'jiang'shui'nuan'ya'xian'zhi 春江水暖鸭先知
'chun'jiao'cao'mu'ming 春郊草木明
'chun'jin'jiang'nan'shang'bo'han 春尽江南尚薄寒
'chun'jin'xing'ren'wei'dao'jia 春尽行人未到家
'chun'lai'gu'guo'gui'wu'qi 春来故国归无期
'chun'qi'xun'tao'can'dong'zhi 春气薰陶蚕动纸
'chun'ri'nuan 春日暖
'chun'se'man'yuan'guan'bu'zhu 春色满园关不住
'chun'se'nao'ren'mian'bu'de 春色恼人眠不得
'chun'shan'xiang'hu'yi'bu'e 春山相呼亦不恶
'chun'shui'lv'yu'ran 春水绿于染
'chun'shui'qiu'wei'zu 春税秋未足
'chun'tian'chu'chu'wu'huang'cao 春田处处无荒草
'chun'yang'fan'ye'dong 春阳泛野动
'chun'yin'chui'ye'cao'qing'qing 春阴垂野草青青
'chun'yin'yu'tian'di 春阴与天低
'chun'yu'duan'qiao'ren'bu'du 春雨断桥人不度
'chun'yun'bo 春云薄
'chun'yun'nong'dan'ri'wei'guang 春云浓淡日微光
'chun'zhe'hu'yan'ni 春着湖烟腻
'ci'ba'sheng'dou'qiu'shi'ren 次把升斗求市人
'ci'bian'ding'zhuang'ju'yun'liang 次边丁壮俱运粮
'ci'ri'chan'sheng'qi'nan'qi 此日孱生岂难弃
