'tong'feng'dao 通风道
'tong'lang'shi'zhu'zhai 通廊式住宅
'tong'xin'wang'luo'xi'tong 通信网络系统
'tong'yong'kong'jian 通用空间
'tong'yong'shi'yan'shi 通用实验室
'tong'yong'shu'yu 通用术语
'tou'shi'tu 透视图
'tou'zi'gu'suan 投资估算
'tu'fang'tu 土方图
'tu'shu'guan 图书馆
'tuo'er'suo 托儿所
'wai'bao'wen 外保温
'wai'qiang'ping'jun'chuan're'xi'shu 外墙平均传热系数
'wei'hu'jie'gou 围护结构
'wei'hu'jie'gou'biao'mian'huan're'zu 围护结构表面换热阻
'wei'hu'jie'gou'chuan're'xi'shu 围护结构传热系数
'wei'hu'jie'gou'chuan're'zu 围护结构传热阻
'wei'hu'jie'gou're'duo'xing'zhi'biao 围护结构热惰性指标
'wei'hu'jie'gou're'gong'xing'neng'quan'heng'pan'duan 围护结构热工性能权衡判断
'wei'sheng'jian 卫生间
'wen'hua'gong 文化宫
'wen'hua'yu'le'jian'zhu 文化娱乐建筑
'wen'hua'zhong'xin 文化中心
'wo'shi 卧室
'wu'ding'hua'yuan 屋顶花园
'wu'gai 屋盖
'wu'mian'fang'shui 屋面防水
'wu'mian'pai'shui 屋面排水
'wu'tai 舞台
'wu'tai'tian'qiao 舞台天桥
'wu'zhang'ai'she'ji 无障碍设计
'xi'shui'wu'mie'huo'xi'tong 细水雾灭火系统
'xiang'mu'jian'yi'shu 项目建议书
'xiang'mu'ping'gu 项目评估
'xiao'huo'shuan'xi'tong 消火栓系统
'xiao'jian'ji'cun'chu 小件寄存处
'xiao'xue'xiao 小学校
'xin'feng'xi'tong 新风系统
'xing'fen'ji'jian'ce'shi 兴奋剂检测室
'xing'li'fang 行李房
'xuan'guang 眩光
'xun'lian'chi 训练池
'xun'lian'fang 训练房
'xun'lian'guan 训练馆
'xun'zheng'shi 熏蒸室
'yan'bo'shi 演播室
'yan'dao 烟道
'yan'kou 檐口
'yang'lao'yuan 养老院
'yang'tai 阳台
'yi'ji'bu 医技部
'yi'liao'wei'sheng'jian'zhu 医疗卫生建筑
'yi'yuan 医院
'yin'hang 银行
'yin'shi'guang'chang 饮食广场
'yin'yue'ting 音乐厅
'yong'di'hong'xian'tu 用地红线图
'you'er'huo'dong'shi 幼儿活动室
'you'er'qin'shi 幼儿寝室
'you'er'yin'ti'huo'dong'shi 幼儿音体活动室
'you'er'yuan 幼儿园
'you'yong'chi 游泳池
'you'yong'guan 游泳馆
'you'zheng'ju 邮政局
'yu'peng 雨篷
'yu'shi 浴室
'yu'shui'guan 雨水管
'yu'shui'kou 雨水口
'yu'shui'li'yong'xi'shu 雨水利用系数
'yu'yan'jiao'shi 语言教室
'yuan'lin'jian'zhu 园林建筑
'yuan'lin'xiao'pin 园林小品
'yue'ceng'shi'zhu'zhai 跃层式住宅
'zao'sheng 噪声
'zhan'lan'guan 展览馆
'zhan'qian'guang'chang 站前广场
'zhan'tai 站台
'zhao'dai'suo 招待所
'zhe'yang'xi'shu 遮阳系数
'zhen'shi 诊室
'zhi'leng 制冷
'zhi'neng'hua'ji'cheng'xi'tong 智能化集成系统
'zhi'ye'ji'shu'xue'xiao 职业技术学校
'zhong'gao'ceng'zhu'zhai 中高层住宅
'zhong'shui'xi'tong 中水系统
'zhong'ting 中庭
'zhong'xin'xiao'du'gong'ying'bu 中心消毒供应部
'zhong'xue'xiao 中学校
'zhu'yuan'bu 住院部
'zhu'zhai 住宅
'zhuan'ke'yi'yuan 专科医院
'zhuan'ye'shang'dian 专业商店
'zhuan'yong'shi'yan'shi 专用实验室
'zhuan'yong'shu'yu 专用术语
'zi'dong'fu'ti 自动扶梯
'zi'dong'pen'shui'mie'huo'xi'tong 自动喷水灭火系统
'zi'dong'ren'xing'dao 自动人行道
'zi'dong'xiao'fang'pao'mie'huo'xi'tong 自动消防炮灭火系统
'zi'xuan'shi'chang 自选市场
'zong'he'yi'yuan 综合医院
'zong'jiao'jian'zhu 宗教建筑
'zong'ping'mian'tu 总平面图
'zou'dao 走道
'zou'lang 走廊
