'fu'la'di'ni'zi'qun 弗拉蒂尼子群
'fu'lei'de'huo'mu'ze'yi'ding'li 弗雷德霍姆择一定理
'fu'li'ye'xi'shu 傅里叶系数
'fu'liu'xing 复流形
'fu'luo'bei'ni'wu'si'hu'fan'gong'shi 弗罗贝尼乌斯互反公式
'fu'luo'bei'ni'wu'si'tai'she 弗罗贝尼乌斯态射
'fu'luo'bei'ni'wu'si'zi'tong'gou 弗罗贝尼乌斯自同构
'fu'zhi 赋值
'fu'zhi'deng'jia 赋值等价
'ga'luo'wa'dui'ying 伽罗瓦对应
'ga'luo'wa'lun 伽罗瓦论
'gai'lv'dan'wei'mo'xing 概率单位模型
'gai'lv'han'shu 概率函数
'gai'lv'ju'li 概率距离
'gai'lv'yi'ma 概率译码
'gai'lv'zuo'biao'zhi 概率坐标纸
'gai'xing'de'zhan'he 概形的粘合
'gai'xing'shang'de'she'ying'kong'jian 概形上的射影空间
'gai'xing'tong'gou 概形同构
'gao'jie'cha'fen 高阶差分
'gao'jie'deng'cha'shu'lie 高阶等差数列
'gao'jie'pian'dao'shu 高阶偏导数
'gao'jie'wei'fen 高阶微分
'gao'jie'xian'xing'tuo'yuan'xing'fang'cheng 高阶线性椭圆型方程
'gao'si'ce'du 高斯测度
'gao'si'qu'lv 高斯曲率
'ge 格
'ge'bu'zu'ai 割补阻碍
'ge'de'er'pei'shu'fa 哥德尔配数法
'ge'la'si'man'cu 格拉斯曼簇
'ge'luo'teng'di'ke'qun 格罗滕迪克群
'ge'ti'bian'yuan 个体变元
'ge'xu'xian'xing'kong'jian 格序线性空间
'gen'huan 根环
'gen'ji 根基
'gen'shi 根式
'geng'bi 更比
'geng'huan'li'lun 更换理论
'geng'xin'guo'cheng 更新过程
'gong'bian'wei'fen 共变微分
'gong'bian'zhi'biao 共变指标
'gong'e'zhou 共轭轴
'gong'fen'mu 公分母
'gong'gong'xin'dao 公共信道
'gong'kai'mi'yao 公开密钥
'gong'li'hua'li'lun 公理化理论
'gong'li'xue 公理学
'gong'shi 公式
'gong'wei'xing 共尾性
'gong'yin'shu 公因数
'gou'xing 构形
'gu'jia 骨架
'guai'qiu'mian 怪球面
'guan'lian'xi'tong 关联系统
'guan'xing'qun 惯性群
'guang'hua'cu 光滑簇
'guang'qun 广群
'guang'yi'ben'zheng'zhi 广义本征值
'guang'yi'duo'bao'ti 广义多胞体
'guang'yi'fu'li'ye'ji'fen 广义傅里叶积分
'guang'yi'han'shu'juan'ji 广义函数卷积
'guang'yi'lian'xu'tong'jia'she 广义连续统假设
'guang'yi'san'jiao'duo'xiang'shi 广义三角多项式
'guang'yi'si'yuan'shu'qun 广义四元数群
'guang'yi'xian'xing'mo'xing 广义线性模型
'gui'dao 轨道
'gui'dao'wen'ding'xing 轨道稳定性
'gui'fan'qun 规范群
'gui'na'ding'yi 归纳定义
'gui'xing 轨形
'gui'yue 归约
'ha'mi'dun'quan 哈密顿圈
'hang'lie'shi'zhan'kai'shi 行列式展开式
'hao'si'duo'fu'wei'shu 豪斯多夫维数
'he'cheng'lie 合成列
'he'chong 合冲
'he'er'de'qiu'he'fa 赫尔德求和法
'he'er'wei'ci'gong'shi 赫尔维茨公式
'he'jiao'yan 和校验
'he'ke'suan'zi 赫克算子
'he'shi'de 合式的
'he'shu 合数
'heng'deng'shi 恒等式
'heng'tong'ying'she 恒同映射
'hu'bu'ji'he'gui'hua 互补几何规划
'hu'ji'dian'guo'cheng 互激点过程
'hu'xin'xi 互信息
'huan'de'ji'da'pu 环的极大谱
'huan'de'shi'tan'bei'ge'qun 环的施坦贝格群
'huan'de'yi'ling'gen 环的诣零根
'huan'ji'mo'de'kuo'zhang 环籍模的扩张
'huan'liu'liang 环流量
'huan'mian 环面
'huan'yuan'ji'fen'fa 换元积分法
