'a'zi'fu'chuang'qi 阿姊扶床泣
'ken'xin'chun'han'shou'xing'hua 肯信春寒瘦杏花
'kong'chuan'chi'di'zhong'xing'zhao 空传赤帝中兴诏
'kuai'yi'sheng'ping'you'ci'guan 快意生平有此观
'kui'yang'ji'shi'rang'wen'gui 刲羊击豕禳瘟鬼
'lai'jia'bu'mian'mu 来家不面母
'lai'wang'cai'sang'jin 来往采桑津
'lan'zhou'xiao 兰舟小
'lang'hua'ru'xue'si'men'qian 浪花如雪寺门前
'lang'hua'tao'jin'ying'xiong 浪花淘尽英雄
'lao'chan'si'zuo'che'lun'sheng 老蝉嘶作车轮声
'lao'dong'shu'sheng'ti'niao 劳动数声啼鸟
'lao'jun'xiang'song'chu'dian'guan 劳君相送出滇关
'lao'lao'bu'ling'shen 劳劳簿领身
'lao'qu'shan'nong'bai'fa'rao 老去山农白发饶
'lao'you'kan'shang 老幼堪伤
'lei'sa'yan'zhi'yu 泪洒胭脂雨
'leng'xiao'fen'fen'er'nv'yu 冷笑纷纷儿女语
'leng'yu'you'chuang'bu'ke'ting 冷雨幽窗不可听
'li'dong'yang'cha'ling'zhu'zhi'ge'qi'yi 李东阳茶陵竹枝歌其一
'li'dong'yang'chun'yuan'za'shi'qi'yi 李东阳春园杂诗其一
'li'dong'yang'huang'ying 李东阳黄莺
'li'dong'yang'ke'jing'zhong'mo'zhu 李东阳柯敬仲墨竹
'li'dong'yang'xi'hu'qu'qi'yi 李东阳西湖曲其一
'li'dong'yang'yan 李东阳燕
'li'dong'yang'yu'zan'hua 李东阳玉簪花
'li'hen'zhuan'chong'chong 离恨转重重
'li'hua'jiang'lao'chun'jiang'qu 梨花将老春将去
'li'hua'ting'yuan'leng'qin'yi 梨花庭院冷侵衣
'li'jun'min'gan'huang'en'chu'jing'men'you'gan 李俊民感皇恩出京门有感
'li'jun'min'guo'yun'tai 李俊民过云台
'li'jun'min'yu'hou 李俊民雨后
'li'kai'xian'gu'yi 李开先古意
'li'kai'xian'ye'ben 李开先夜奔
'li'ling'tai'shang'hu'jia'yue 李陵台上胡笳月
'li'ma'ren'hai'fei 立马认还非
'li'meng'yang'jing'xing'sai'shang'qi'er 李梦阳经行塞上其二
'li'meng'yang'kai'xian'si 李梦阳开先寺
'li'meng'yang'xia'kou'ye'bo'bie'you'ren 李梦阳夏口夜泊别友人
'li'meng'yang'yun'zhong'qu'qi'yi 李梦阳云中曲其一
'li'pai'jiu'xi'zu'tang'ren 力排旧习祖唐人
'li'pan'long'sai'shang'qu'song'yuan'mei 李攀龙塞上曲送元美
'li'pan'long'yu'jun'cheng'song'ming'qing'zhi'jiang'xi 李攀龙于郡城送明卿之江西
'li'ri'hua'hua'lan 李日华画兰
'lian'lang'si'lang'fei'yi'zhao 恋郎思郎非一朝
'lian'shan'duan'chu'kan'ping'ye 连山断处瞰平野
'liang'liang'san'san'bai'niao'fei 两两三三白鸟飞
'liang'yuan'xue 梁园雪
'liao'fu'ci'chuang'jian 聊复此窗间
'lie'huo'fen'shao'ruo'deng'xian 烈火焚烧若等闲
'lin'jia'you'wei'mian 邻家犹未眠
'lin'yu'xia'tian'xiao 琳宇夏天晓
'ling'ling'bai'yun'quan 泠泠白云泉
'ling'qi'kong'ji'kan 灵旗空际看
'liu'bing'zhong'cheng'xi'you 刘秉忠城西游
'liu'bing'zhong'xi'shang 刘秉忠溪上
'liu'de'gui'yun'zai'wu'shan 留得归云在屋山
'liu'hua'ru'xue'man'chun'cheng 柳花如雪满春城
'liu'ji'jiang'shang'qu'qi'yi 刘基江上曲其一
'liu'ji'jue'ju'huai'ye'yin'yin'fu'duan'qiang 刘基绝句槐叶阴阴覆短墙
'liu'ji'jue'ju'man'xing'qi'er 刘基绝句漫兴其二
'liu'ji'jue'ju'man'xing'qi'yi 刘基绝句漫兴其一
'liu'ji'ti'sha'xi'yi 刘基题沙溪驿
'liu'jiang'chun'meng'guo'hang'zhou 流将春梦过杭州
'liu'li'dao'lu 流离道路
'liu'ling'wu'shu'dui'nan'zhi 六陵无树对南枝
'liu'min'zhong'qing'ping'le'bai'shao'yao 刘敏中清平乐白芍药
'liu'qiao'xiao'gu'ri'xuan'tian 六桥箫鼓日喧天
'liu'quan'de'yue'guang 流泉得月光
'liu'ru'shi'ti'hua'zhu 柳如是题画竹
'liu'shao'ting'de'huang'li'yu 柳梢听得黄鹂语
'liu'shui'qu'wu'jin 流水去无尽
'liu'xiang'bai'yun'bian 流向白云边
'liu'xu'chi'tang'xiang'ru'meng 柳絮池塘香入梦
'liu'yin'guan'mei'you'gan 刘因观梅有感
'liu'yin'shan'jia 刘因山家
'liu'yin'shu'shi 刘因书事
'long'xi'qian'li'xiang'ping'yuan 陇西千里向平原
'lou'guan'chun'yin'hai'qi'can 楼观春阴海气残
'lu'ge'bu'fu'wan'xie'hui 鲁戈不复挽斜晖
'lu'hua'ru'yu'wei'cang'tai 露华如玉委苍苔
'lu'hua'yuan'ying'diao'zhou'xing 芦花远映钓舟行
'lu'kuai'yin'si 鲈鲙银丝
'lu'leng'liu'ying'shi'bu'fei 露冷流萤湿不飞
'lu'ren'yao'zhi'jiang'wang'dao 路人遥指降王道
'lu'ya'duan'duan'chuan'bi'sha 芦芽短短穿碧沙
'lu'yan'yi'duan'deng'hua'luo 炉烟已断灯花落
'lu'zhi'pu'sa'man'ji'jiang'xi'mi'li'wen'xin'fu 卢挚菩萨蛮寄江西米理问信父
'lu'zhi'qing'hua'guan'xi'xuan 卢挚青华观西轩
'luo'qi'ren'nong'zhu 罗绮任侬著
'luo'ri'da'qi'ming 落日大旗明
'luo'ri'song'shan'fu'gu'bei 落日松杉覆古碑
'lv'chi'fang'cao'man'qing'bo 绿池芳草满晴波
'lv'ren'xiang'gu'yu'zhan'yi 旅人相顾欲沾衣
'lv'shu'shang'you'huang'li'ming 绿树上有黄鹂鸣
'lv'shui'qing'lian'ren'zai'jiu 绿水青莲人载酒
'lv'suo'qing'li 绿蓑青笠
'lv'yun'niao'niao'bu'jin'feng 绿云袅袅不禁风
'ma'shang'chao'lai'heng'chui'qu 马上朝来横吹曲
'ma'shang'cong'cong'ri'yu'xie 马上匆匆日欲斜
'ma'shang'dao'xuan'shuang'bai'lang 马上倒悬双白狼
'ma'ti'ta'shui'luan'ming'xia 马蹄踏水乱明霞
'ma'ti'you'ta'luo'hua'ni 马蹄犹踏落花泥
'mai'jin'shan'zhong'wu'qing'tian 卖尽山中五顷田
'mai'qu'wu'wa'san'ri'jiu 买取吴娃三日酒
'man'dao'shi'shu'zhai'wei'chang 漫道诗书债未偿
'man'di'xie'yang 满地斜阳
'man'di'yun'lin'cheng'yin'ju 满地云林称隐居
'man'jie'zhen'ge'nan'zi 谩嗟真个男子
'man'jie'zhu'cui'you'cun'nv 满街珠翠游村女
'man'kong'sheng'he'xia'gao'han 满空笙鹤下高寒
'man'mu'yue'lai'xi'shang'shui 满目越来溪上水
'man'shen'jia'suo'meng'hun'xiang 满身枷锁梦魂香
'man'shen'xue'bai'zou'jiang'lai 满身雪白走将来
'man'tang'feng'yu'bu'sheng'han 满堂风雨不胜寒
'man'tian'mei'yu'guo'su'zhou 满天梅雨过苏州
'man'yan'shao'hua 满眼韶华
'mao'ci'du'lao'weng 茅茨独老翁
'mao'geng'qing'dian'yan'qiang'ji 芼羹青点沿墙荠
'mao'lin'shi'deng'xiao'ting'bian 茂林石磴小亭边
'mei'dao'gao'qiu'zuo'kan'chao 每到高秋坐看潮
'mei'hua'yi'ban'shi'wu'sheng 梅花一半是吴声
'mei'jing'liang'chen 美景良辰
'mei'ren'rong'yi'qu'zhong'dan 美人容易曲中弹
'men'qian'shi'shi'zheng'fu'chen 门前世事正浮沉
'men'wai'chang'huai'chuang'wai'zhu 门外长槐窗外竹
'meng'hun'shi'fu'dui'jin'luan 梦魂时复对金銮
'meng'li'jiang'nan'jiu'shi'lu 梦里江南旧时路
'meng'li'xiang'si 梦里相思
'meng'xiang'xi'hu'chu'shi'jia 梦想西湖处士家
'mi'ye'zhang'lin'feng'geng'duo 密叶障林风更多
'mian'dai'ji'han'se 面待饥寒色
'mian'de'lv'yan'hua'duan'chang 免得闾阎话短长
'miao'miao'chun'jiang'kong'luo'hui 渺渺春江空落晖
'min'ji'you'ji'jie'jian'shi 民饥由己嗟艰食
'ming'chao'yi'jiu'zui'chun'guang 明朝依旧醉春光
'ming'chao'zhong'mi'chui'sheng'lu 明朝重觅吹笙路
'ming'ri'que'xun'gui'qu'lu 明日却寻归去路
'ming'ri'xing'ren'yao'zao'chui 明日行人要早炊
'ming'se'man'xi'shan 暝色满西山
'ming'yue'ji'hui'man'dai'jun'jun'wei'gui 明月几回满待君君未归
'ming'yue'li'chang'kong 明月丽长空
'ming'yue'zhao'yan'hui 明月照沿洄
'ming'zhi'chao'lai'man'bi'lu 名纸朝来满敝庐
'mo'dao'hua'kai'bian'shi'chun 莫道花开便是春
'mo'guai'mei'hua'zhao'di'chui 莫怪梅花着地垂
'mo'jiang'hua'zhu'lun'nan'yi 莫将画竹论难易
'mo'jiang'wu'hui'lun'gou'jian 莫将乌喙论勾践
'mo'jiang'zhen'shu'xian'jia'ju 莫将枕漱闲家具
'mo'jun'tian'xia'shan'feng'liu 墨君天下擅风流
'mo'lu'xiang'xin'yu'li'si 莫露乡心与离思
'mo'tou'yang'liu'lv'yan'si 陌头杨柳绿烟丝
'mo'xi'guo'jiang'ti 莫惜过江题
'mo'xiang'sui'gong'wen'liu'chao 莫向隋宫问六朝
'mo'xiang'zhao'yang'dian'li'fei 莫向昭阳殿里飞
'mo'ya'chun'guang'bu'shu'nong 莫讶春光不属侬
'mo'yan'ci'tan'xiao 莫言此潭小
'mo'yan'sha'zhang'ji'cheng'jin 莫言沙涨即成津
'mou'guo'yong'you 谋国用犹
'mu'dan'hong'dou'yan'chun'tian 牡丹红豆艳春天
'mu'dan'hong'ye'xiang'kua 牡丹红叶相夸
'mu'se'jian'jia'wai 暮色蒹葭外
'mu'yu'ci'shi'you'han'yu 牧圉此时犹捍御
'mu'zai'jiang'zhi'nan 母在江之南
'nan'bei'qu'chi'bao'zhu'qing 南北驱驰报主情
'nan'di'xi'feng'zuo'hou'chen 难诋熙丰作后尘
'nan'feng'guo'le'dong'feng'qi 南风过了东风起
'nan'feng'shu'shu'shu'pi'pa 南风树树熟枇杷
'nan'guan'wu'nai'bei'feng'chui 南冠无奈北风吹
'nan'lou'jiu'li'chu'wei'hou 南楼酒力初微后
'nan'zhi'xiang'shao'bei'zhi'duo 南枝香少北枝多
'neng'xiang'ci'zhong'hun'bu'duan 能向此中魂不断
'ni'su'yue'hou'tie'zhu'gui 泥塑岳侯铁铸桧
'ni'zan'chi'lian'yong 倪瓒池莲咏
'ni'zan'liu'yue'wu'ri'ou'cheng 倪瓒六月五日偶成
'ni'zan'wu'zhong 倪瓒吴中
'nian'bi'jing'ying'wang'kou'ju 拈笔经营辋口居
'nian'hui'qin'ji'fan 念徽钦既返
'nian'lai'ai'zuo'tuan'luan'yu 年来爱作团栾语
'nian'nian'jia'guo'jin'he'zai 廿年家国今何在
'niao'chong'xing'ke'guo 鸟冲行客过
'niao'chui'yang 袅垂杨
'niao'fei'tu'zou 鸟飞兔走
'niao'jin'gong'cang'ye'bu'bei 鸟尽弓藏也不悲
'nong'yun'ya'ling'yu'chu'zhi 浓云压岭雨初至
'nu'tao'qi'bi'shu'chi'yi 怒涛岂必属鸱夷
'nv'qiang'dong'qu'shi'ta'jia 女墙东去是他家
'ou'niao'er'he'cai 鸥鸟尔何猜
'ou'ran'xiang'ju'xiao'chi'zhong 偶然相聚小池中
'pai'huai'yuan'shan'mu 徘徊远山暮
'pai'huai'zhong'ye'yi'lan'gan 徘徊终夜倚阑干
'peng'lai'gong'que'zhi'qing'tian 蓬莱宫阙峙青天
'pi'ma'zhui'hu'zi'sai'tou 匹马追胡紫塞头
'pian'feng'jiu'yue'qi 偏逢九月七
'pian'nai'jiang'bo'jing 偏耐江波静
'pian'yin'sheng'di'zhong'shen'chou 偏因胜地重深愁
'pian'yun'gu'yue'ying'chang'duan 片云孤月应肠断
'pian'zhou'ming'yue'liang'feng'jian 扁舟明月两峰间
'piao'miao'cang'mang'bu'ke'jie 缥缈苍茫不可接
'ping'an'zhi'liang'zi 平安只两字
'ping'quan'jin'gu'ju'chen'ji 平泉金谷俱陈迹
'ping'sheng'bu'gan'qing'yan'yu 平生不敢轻言语
'ping'sheng'lin'he'qu 平生林壑趣
'po'sui'ping'sheng'xi 颇遂平生喜
'pu'bu'ban'tian'shang 瀑布半天上
'qi'bu'nian 岂不念
'qi'du'shang'xin'shi'xiao'qing 岂独伤心是小青
'qi'hen'cang'gong'zao 岂恨藏弓早
'qi'ji'guang'ma'shang'zuo 戚继光马上作
'qi'ji'guang'ti'wu'yi 戚继光题武夷
'qi'ji'guang'wang'que'tai 戚继光望阙台
'qi'kan'can'yue'ying'lin'wei 起看残月映林微
'qi'kan'han'jia'tian'zi'qi 起看汉家天子气
'qi'nian'geng'ge'wan'chong'shan 祈年更隔万重山
'qi'nian'hua'dan'da'ming'ya 起拈花弹打鸣鸦
'qi'nian'shou'jun'ba'san'nian 七年守郡罢三年
'qi'shi'cong'rong'bin'yi'ban 七十从戎鬓已斑
'qi'shi'gong'cheng'shen'he'si 岂是功成身合死
'qi'zhi'chun'qu'yi'duo'shi 岂知春去已多时
'qia'jian'xiao'chi'xin'shui'sheng 恰见小池新水生
'qian'chui'wan'zao'chu'shen'shan 千锤万凿出深山
'qian'han'deng'shi'you'ren'xing 浅寒灯市有人行
'qian'hua'ge'zi'ming'jia 铅华各自名家
'qian'kun'ban'bi'yue'jia'ci 乾坤半壁岳家祠
'qian'nian'bie'lang'san'yue'mu 前年别郎三月暮
'qian'qing'lu'hua'ren'wei'huan 千顷芦花人未还
'qian'song'wen'zhang'pei'liang'zhou 前宋文章配两周
'qian'yi'xi'qie'ku 牵衣喜且哭
'qian'zai'xiu'tan'nan'du'cuo 千载休谈南渡错
'qiang'ban'fu'er'tian 强半富儿田
'qiao'tou'yu'yu'chun'shui'sheng 桥头雨余春水生
'qiao'wu'niao'que'xiang'nan'fei 悄无鸟鹊向南飞
'qie'yu'shan'seng'ye'lao'you 且与山僧野老游
'qin'peng'mi'you 亲朋密友
'qing'chi'jie'su'cai 清池结素彩
'qing'feng'liang'xiu'chao'tian'qu 清风两袖朝天去
'qing'feng'sa'sa'yu'qi'qi 青枫飒飒雨凄凄
'qing'guan'lan'duo'zhe 请观懒惰者
'qing'luo'xiao'mao'ji'shu'tou 青罗小帽急梳头
'qing'qi'qie 情凄切
'qing'shan'dou'zai'xue'hua'zhong 青山都在雪花中
'qing'shan'wu'da'xiao 青山无大小
'qing'shan'yi'jiu'zai 青山依旧在
'qing'shi'ta'nian'ren'shi'fei 青史他年任是非
'qing'xiao 清晓
'qing'yu'luo'an'wei 轻舆落岸隈
'qing'yuan'lou'zhong'yi'jiao'mian 清远楼中一觉眠
'qiong'zhi'yu'rui'yi'yan'xiao 琼枝玉蕊已烟消
'qiu'feng'huo'zai'shan 秋风或在山
'qiu'se'yao'kan'ru'chu'mi 秋色遥看入楚迷
'qiu'sheng'luo'wei'zhong 秋声络纬中
'qu'yao'heng'jie 曲邀横结
'qu'you'guo'su'zhou'qi'yi 瞿佑过苏州其一
'qu'you'qing'ming 瞿祐清明
'qu'zhi'xing'wang 屈指兴亡
'qu'zhu'an'wei'ju'mo'wen 去住安危俱莫问
'quan'fang'quan'shou'dan'mu'tong 全放全收旦暮同
'quan'fei'you'ren'xing 犬吠又人行
'quan'shui'liu'bu'duan 泉水流不断
'que'bei'yan'nan'fei 却背雁南飞
'que'sheng'xian'wo'dao'shan'jia 鹊声先我到山家
'que'xiao'huang'he'shi'zhuo'liu 却笑黄河是浊流
'que'yi'jiu'you'he'chu'shi 却忆旧游何处是
'rang'qu'duo'shao 让渠多少
'rao'wu'chong'chong'lv 绕屋重重绿
'ren'jian'yi'you'chi'yu'wo 人间亦有痴于我
'ren'lei'chu'men'lai 忍泪出门来
'ren'sheng'wu'nai'lao'lai'he 人生无奈老来何
'ren'sheng'yi'zi'you'ji'qi 人生亦自有羁栖
'ren'sheng'zhi'he'zhu'hu'zhou 人生只合住湖州
'ren'yan'jiang'nan'bo 人言江南薄
'ren'zai'lv'yin'shen'chu'su 人在绿阴深处宿
'ri'bo'yan'zi'yi'bu'duo 日薄崦嵫已不多
'ri'chu'chang 日初长
'ri'ri'feng'chen'se 日日风尘色
'ri'xie'shui'qi'wu'liao'shen 日斜睡起无聊甚
'ri'yue'shuang'xuan'yu'shi'mu 日月双悬于氏墓
'rong'hua'wo'yi'zhi'zhuang'meng 荣华我已知庄梦
'rong'ku'guo'yan'wu'gen'di 荣枯过眼无根柢
'rong'shen'le 容身了
'rou'lv'gao'tian'mei'zi'yu 柔绿篙添梅子雨
'ru'cheng'yi'xiang'hong'chen'rao 入城一向红尘扰
'ru'he'xiao'de'ci'liang'chen 如何消得此良辰
'ru'he'yi'sui'san'chun'jing 如何一岁三春景
'ru'jin'yang'liu'bu'kan'pan 如今杨柳不堪攀
'ruan'da'cheng'chun'ye'bo'jiang'kou'xiao'yin 阮大铖春夜泊江口小饮
'ruo'wei'jie'de'shan'tou'shi 若为借得山头石
'sa'dou'la'bu'suan'zi'bo'wu'jiang'ye'jian'gu'yan 萨都剌卜算子泊吴江夜见孤雁
'sa'dou'la'guo'jia'xing'qi'er 萨都剌过嘉兴其二
'sa'dou'la'qiu'ye'wen'di 萨都剌秋夜闻笛
'sa'dou'la'shang'jing'ji'shi'qi'si 萨都剌上京即事其四
'sa'dou'la'zeng'tan'zheng'zhe 萨都剌赠弹筝者
'sa'xiang'qian'feng'qiu'ye'dan 洒向千峰秋叶丹
'san'dian'you'ren'chao'bei'ji 三殿有人朝北极
'san'fu'qi'liang'nai'wo'he 三釜凄凉奈我何
'san'geng'du'zuo'you'wu'mei 三更独坐犹无寐
'san'jiang'zhi'shui'tai'hu'dong 三江之水太湖东
'san'nian'ji'lv'ke 三年羁旅客
'san'nian'shen'bu'dao'gu'su 三年身不到姑苏
'san'tian'zhu'lu'jian'ping'deng 三天竺路渐平登
'san'xian'gu'ji'tong'qi'lu 三贤古迹通歧路
'san'xiang'feng'yu'wu'hu'chun 三湘风雨五湖春
'san'yue'dong'feng'chui'xue'xiao 三月东风吹雪消
'san'za'fei'ming'wu'ding'suo 三匝飞鸣无定所
'san'zai'han'lu'meng'bu'cheng 三载寒庐梦不成
'sha'ming'chao'yue'tu 沙明潮月吐
'sha'ping'luo'zhao'di 沙平落照低
'sha'qin'mao'yu'xin 沙禽毛羽新
'shan'bai'niao'hu'ming 山白鸟忽鸣
'shan'cang'bai'hu'yun'cang'si 山藏白虎云藏寺
'shan'cong'tian'mu'cheng'qun'chu 山从天目成群出
'shan'dao'wu'ren'xing'chu'hao 山到无人行处好
'shan'guang'yan'yan'shui'rong'rong 山光滟滟水溶溶
'shan'han'sui'wan'bi'yun'han 山寒岁晚碧云寒
'shan'jie'qing'xiao'shui'jin'kong 山接青霄水浸空
'shan'qi'kong'meng'nong'wan'qing 山气空濛弄晚晴
'shan'shang'qing'feng'shan'xia'chen 山上清风山下尘
'shan'xiang'ye'chuan'kai 山向野船开
'shan'yu'qiu'shui'chuan'tou'kan 山于秋水船头看
'shang'xin'hu'lu'ju'zhong'yuan 伤心胡虏据中原
'shang'xin'pai'bian'wu'ren'hui 伤心拍遍无人会
'shang'zai'yang'zhou'mai'jiu'jia 尚在扬州卖酒家
'shao'heng'zhen'huan'xi'sha'zao'chun 邵亨贞浣溪沙早春
'shao'heng'zhen'yu'mei'ren'shui'xian 邵亨贞虞美人水仙
'shao'heng'zhen'yu'mei'ren'tian'ya'lv'bian'wang'sun'cao 邵亨贞虞美人天涯绿遍王孙草
'shao'nian'sheng'zhang'zai'bian'cheng 少年生长在边城
'she'ri'nian'nian'hui'yin'tong 社日年年会饮同
'shen'lian'qing'ri'zuo'wu'liao 深帘晴日坐无聊
'shen'shan'qu'lu'jian'tao'hua 深山曲路见桃花
'shen'song'yu'wu'lu 深松欲无路
'shen'wei'yi'zi'gan 身危亦自甘
'shen'zhou'bai'tou'gong'tu 沈周白头公图
'shen'zhou'ti'jiao 沈周题蕉
'shen'zhou'wu'ji'qu 沈周吴姬曲
'sheng'bu'chen'nu'ji 剩逋臣怒击
'sheng'qi'qie 声凄切
'sheng'shi'shi'lv'yi'wu'chou 盛时诗律亦无俦
'sheng'shi'tou'xian'si'shi'nian 生世投闲四十年
'sheng'ya'xiao'xiao'yu'chuan 生涯小小渔船
'sheng'yi'man'gu'gen 生意满孤根
'shi'de'qing'mei'ru'dan'zi 拾得青梅如弹子
'shi'ding'cha'fang'shu 石鼎茶方熟
'shi'fei'cheng'bai'zhuan'tou'kong 是非成败转头空
'shi'ge'fang'cao'ji'shi'xiu 室戈方操几时休
'shi'gu'chong'chong'e'wang 世故重重厄网
'shi'kan'bai'niao'hai 时看白鸟还
'shi'ke'fa'lu'an'shu'bing'zhong'gan'huai 史可法六安署病中感怀
'shi'ke'fa'song'guan'cheng'zhai'shao'zong'bo'tong'nian'gui'li 史可法送管诚斋少宗伯同年归里
'shi'ke'fa'yan'zi'ji'kou'zhan 史可法燕子矶口占
'shi'ke'fa'yi'mu 史可法忆母
'shi'leng'shuang'yu'jie 石冷霜欲结
'shi'li'chun'bo'yuan'fan'hua 十里春波远泛花
'shi'nian'qu'chi'hai'se'han 十年驱驰海色寒
'shi'pai'yun'dai'ba'peng'ri'xin 试排云待把捧日心
'shi'qiao'yan'liu'chun'ru'hua 市桥烟柳春如画
'shi'qing'xian'jian'bu'xian'xu 世情嫌简不嫌虚
'shi'ri'hong'lian'bu'shang'gou 十日红帘不上钩
'shi'shu'ying'tao'jiu'shu'sheng 十树樱桃九树生
'shi'ting'dong'feng'di'yi'sheng 始听东风第一声
'shi'you'can'yun'ban'he'gui 时有残云伴鹤归
'shi'you'ge'hua'lai'mai'yu 时有隔花来卖鱼
'shou'cha'he'bian'yang'liu'zhi 手插河边杨柳枝
'shu'bu'wo'you 庶不我尤
'shu'di'lu'lu'sheng'duan'xu 树底辘轳声断续
'shu'ji'ke'juan'yi'ke'dian 书籍可捐衣可典
'shu'zai'huang'juan'qing'deng 数载黄卷青灯
'shu'zhi'qi'you 孰知其由
'shu'zhu'bu'zhe'shan 疏竹不遮山
'shuang'bin'nan'rong'wu'yue'zhu 双鬓难容五岳住
'shuang'chui'bie'zhu'lian 霜垂别渚莲
'shuang'huan'duan'xiu'can'ren'jian 双鬟短袖惭人见
'shuang'long'shi 双龙逝
'shuang'luo'jian'jia'leng 霜落蒹葭冷
'shui'bang'tai'hu'fen'gang'liu 水傍太湖分港流
'shui'jia'yin'zhu'du'yao'zheng 谁家银烛度瑶筝
'shui'jing'qiu'xiao'yong 水净秋宵永
'shui'liao'nian'lai'jian'suo'ran 谁料年来渐索然
'shui'nian'dong'li'shan'xia'lu 谁念东篱山下路
'shui'nian'tong'pao'zhe 谁念同袍者
'shui'shang'ren'jia'jin'hua'lou 水上人家尽画楼
'shui'xiang'gu'zhou'lian'zhu'ke 谁向孤舟怜逐客
'shui'yan'tian'di'kuan 谁言天地宽
'si'er'pei'shan'shan 思尔佩珊珊
'si'hou'bu'chou'wu'yong'jiang 死后不愁无勇将
'song'lian'ji'bie 宋濂寄别
'song'lian'ti'chang'bai'shan'ju'tu 宋濂题长白山居图
'song'lian'yue'ge 宋濂越歌
'song'yin'wan'shu'li'gu'seng 松阴万树立孤僧
'su'du'ling'long'cha'hao'gu 窣堵玲珑插濠罟
'su'jin'que 诉金阙
'su'su'feng'huang'shi'li'sheng 谡谡风篁十里声
'suan'ying'wu'hen 算应无恨
'suo'xiang'lian'mu'niang'wei'cheng 锁香帘幕酿微酲
'ta'nian'mi'de'feng'hou'yin 他年觅得封侯印
'ta'ri'su'che'dong'zhe'lu 他日素车东浙路
'tan'ban'zhu'si'jin'se'jian 檀板朱丝锦色笺
'tan'lao'sheng 叹劳生
'tang'bo'hu'hua'ji 唐伯虎画鸡
'tang'bo'hu'yuan'xiao 唐伯虎元宵
'tang'shun'zhi'yue'wang'fen 唐顺之岳王坟
'tang'xian'zu'guang'ling'ye 汤显祖广陵夜
'tang'xian'zu'huang'jin'tai 汤显祖黄金台
'tang'xian'zu'jiang'su 汤显祖江宿
'tang'xian'zu'qi'xi'zui'da'jun'dong 汤显祖七夕醉答君东
'tang'xian'zu'wang'qi'er 汤显祖望耆儿
'tang'xian'zu'ying'wu'fu 汤显祖鹦鹉赋
'tao'hua'hong'zhao'ren 桃花红照人
'tao'hua'lang'kui'hong'xian 桃花浪溃红鲜
'tao'li'chun'feng'you'yi'nian 桃李春风又一年
'tao'zong'yi'nan'cun'za'fu'qi'yi 陶宗仪南村杂赋其一
'ti'wu'ye'yue 啼乌夜月
'ti'zi'you'ping'an 题字有平安
'tian'jia'er'nv'le'fang'chun 田家儿女乐芳春
'tian'jia'qiu'shu'ban'qian'cang 田家秋熟办千仓
'tian'jiang'luan'li'xi 天降乱离兮
'tian'kuo'fu'yan'jiong 天阔浮烟迥
'tian'li'zhu'gong'zhi'zuo'xin 天历诸公制作新
'tian'she'ju'yong'bai'er'guan 天设居庸百二关
'tian'ya'fang'cao'yi'po'suo 天涯芳草亦婆娑
'tian'ya'gu'ke'zhen'nan'du 天涯孤客真难渡
'tian'ya'lv'bian'wang'sun'cao 天涯绿遍王孙草
'tiao'deng'xian'kan'mu'dan'ting 挑灯闲看牡丹亭
'tie'shi'you'cun'si'hou'xin 铁石犹存死后心
'ting'zhou'xin'lv'bian'tian'ya 汀洲新绿遍天涯
'tou'bai'jiang'nan'yi'zun'jiu 头白江南一尊酒
'tou'hu'shen'zhu'li 投壶深竹里
'tou'shang'hong'guan'bu'yong'cai 头上红冠不用裁
'tu'ba'jin'ge'wan'luo'hui 徒把金戈挽落晖
'tu'long'hu'shang'qu'qi'yi 屠隆湖上曲其一
'tui'zhen'bei'chuang'qing'xiao 推枕北窗清晓
'tuo'hu'jie'que 唾壶皆缺
'wan'dian'fei'hua 万点飞花
'wan'feng'zhen'xie'you'si'jin 晚风阵歇游丝尽
'wan'gu'qi'zhou'yan'jiu'dian 万古齐州烟九点
'wan'he'qi'chang'han 万壑气长寒
'wan'li'cong'wo'sai'shang'zheng 万里从我塞上征
'wan'li'xiang'si'yi'bing'shen 万里相思一病身
'wang'jiu'si'die'lian'hua'xia'ri 王九思蝶恋花夏日
'wang'mian'mei'hua 王冕梅花
'wang'mian'mo'mei 王冕墨梅
'wang'qin'qi'wei'ping 亡秦气未平
'wang'shi'zhen'ou'cheng'qi'er 王世贞偶成其二
'wang'shi'zhen'qi'jiang'jun'zeng'bao'jian'ge 王世贞戚将军赠宝剑歌
'wang'shi'zhen'song'qi'di'wei'sheng'huan'li 王世贞送妻弟魏生还里
'wang'shi'zhen'yi'jiang'nan'ge'qi'chu 王世贞忆江南歌起处
'wang'shi'zhen'yue'fen 王世贞岳坟
'wang'sun'zou'ma'lie'sha'chang 王孙走马猎沙场
'wang'ting'xiang'chu'jian'bai'fa 王廷相初见白发
'wang'ting'xiang'lang'zhong'ge 王廷相阆中歌
'wang'ting'xiang'wu'cheng'ge 王廷相芜城歌
'wang'zhong'yan'cao'gu'chang'zhou 望中烟草古长洲
'wei'bao'shuai'weng'er'yue'hai 为报衰翁二月还
'wei'du'shu'zhong'yu 未读书中语
'wei'feng'xi'yu'mai'qiu'liang 微风细雨麦秋凉
'wei'guan'zhi'wei'dou'sheng'mou 微官只为斗升谋
'wei'tian'gou'he 委填沟壑
'wei'wen'dou'neng'ji 为问都能几
'wei'xiang'kan'hua'ren'dao 为向看花人道
'wen'dao'zhang'jia'yan'zi'lou 闻道张家燕子楼
