'a'bi 阿碧
'tong'guo'gang 佟国纲
'tong'huai'dao 童怀道
'tong'zhao'he 童兆和
'tong'zhuo'hou'sheng 同桌后生
'tong'zi 童子
'tu'bi'weng 秃笔翁
'tu'er'bu'qing 图尔布青
'tu'hai'dao 图海道
'tuo'lei 拖雷
'wa'er'la'qi 瓦尔拉齐
'wan'da'ping 万大平
'wan'gui 万圭
'wan'li'feng 万里风
'wan'qing'lan 万庆澜
'wan'yan'a'gu'da 完颜阿古打
'wan'yan'hong'lie 完颜洪烈
'wan'yan'hong'xi 完颜洪熙
'wan'yan'ping 完颜萍
'wan'zhen'shan 万震山
'wang'ba'shuai 王八衰
'wang'bao'bao 王保保
'wang'bo'fen 王伯奋
'wang'cheng 王诚
'wang'chu'yi 王处一
'wang'dao 王道
'wang'er'shu 王二叔
'wang'fu'ren 王夫人
'wang'han 王罕
'wang'hao'tian 汪浩天
'wang'jia'ju 王家驹
'wang'jia'jun 王家骏
'wang'jian'jie 王剑杰
'wang'jian'ying 王剑英
'wang'jin'bao 王进宝
'wang'lao'liu 王老六
'wang'nan'gu 王难姑
'wang'qi 王琪
'wang'shi'san 王十三
'wang'shi'xiong 王师兄
'wang'tan 王潭
'wang'tie'e 汪铁鹗
'wang'tie'jiang 王铁匠
'wang'wan'ren 王万仞
'wang'wan'yi 汪万翼
'wang'wei'yang 王维扬
'wang'wei'zhong 王惟忠
'wang'wu'tong 王武通
'wang'xiao'feng 汪啸风
'wang'yu'yan 王语嫣
'wang'yuan'ba 王元霸
'wang'zhang'gui 王掌柜
'wang'zhi'tan 王志坦
'wang'zhong'ping 王仲萍
'wang'zhong'qiang 王仲强
'wei'bi 卫璧
'wei'chun'hua 韦春花
'wei'chun'hua 卫春华
'wei'si'niang 卫四娘
'wei'tian'wang 卫天望
'wei'xiao'bao 韦小宝
'wei'yi'xiao 韦一笑
'wei'zhou'zuo 卫周祚
'wen'cang'song 闻苍松
'wen'fang'da 温方达
'wen'fang'shan 温方山
'wen'fang'shi 温方施
'wen'fang'wu 温方悟
'wen'fang'yi 温方义
'wen'nan'yang 温南扬
'wen'qing 温青
'wen'ren'hou 温仁厚
'wen'tai'lai 文泰来
'wen'wan'fu 闻万夫
'wen'xian'sheng 闻先生
'wen'yi 温仪
'wen'you'dao 温有道
'wen'you'fang 温有方
'wen'zheng 温正
'wen'zui'weng 文醉翁
'wo'kuo'tai 窝阔台
'wu'bai'ying 吴柏英
'wu'bao'yu 吴宝宇
'wu'chang'feng 吴长风
'wu'chang'gui 无常鬼
'wu'chen'dao'ren 无尘道人
'wu'chen'dao'zhang 无尘道长
'wu'da'peng 吴大鹏
'wu'dao'tong 吴道通
'wu'dun'ru 武敦儒
'wu'fu 五符
'wu'gen'dao'ren 无根道人
'wu'gu 五姑
'wu'guang'sheng 吴光胜
'wu'guo'dong 吴国栋
'wu'jing'cao 吴劲草
'wu'kan 吴坎
'wu'lao'da 乌老大
'wu'li'shen 吴立身
'wu'liang 吴良
'wu'lie 武烈
'wu'ling'jun 吴领军
'wu'liu'po 吴六破
'wu'liu'qi 吴六奇
'wu'ming 武铭
'wu'ping 吴平
'wu'qing'lie 吴青烈
'wu'qing'ying 武青婴
'wu'qing'zi 无青子
'wu'san'gui 吴三桂
'wu'san'niang 武三娘
'wu'san'tong 武三通
'wu'se 无色
'wu'tian'de 吴天德
'wu'wang'a'pu 乌旺阿普
'wu'xiang'chan'shi 无相禅师
'wu'xiu'wen 武修文
'wu'ya'zi 无崖子
'wu'ying'xiong 吴应熊
'wu'zhen 吴祯
'wu'zhi'rong 吴之荣
'xi'ao'tu'san'shi 西奥图三世
'xi'bao 西宝
'xi'hua'zi 西华子
'xi'ling'dao'ren 西灵道人
'xi'men'guan'zhi 西门观止
'xi'xia'gong'nv 西夏宫女
'xi'zhang'lao 奚长老
'xia'guo'xiang 夏国相
'xia'ke'hang 侠客行
'xia'lao'quan'shi 夏老拳师
'xia'xue'yi 夏雪宜
'xia'zhou 夏胄
'xian'yu'tong 鲜于通
'xiang'da'nian 向大年
'xiang'guo'fu'ren 相国夫人
'xiang'wen'tian 向问天
'xiang'zhang'lao 项长老
'xiao'ao'jiang'hu 笑傲江湖
'xiao'ban'he 萧半和
'xiao'bang'tou 小棒头
'xiao'cui 小翠
'xiao'feng 小凤
'xiao'gui'zi 小桂子
'xiao'hong 小虹
'xiao'ju 小菊
'xiao'lian'gui 笑脸鬼
'xiao'ling 小玲
'xiao'long'nv 小龙女
'xiao'sha'mi 小沙弥
'xiao'wang'jiang'jun 小王将军
'xiao'xiang'zi 潇湘子
'xiao'xuan'zi 小玄子
'xiao'yao'zi 逍遥子
'xiao'yuan'shan 萧远山
'xiao'zhao 小昭
'xiao'zhong'hui 萧中慧
'xie'bu'dang 谢不当
'xie'xun 谢逊
'xie'yan'ke 谢烟客
'xin'guo'liang 辛国梁
'xin'ran 辛然
'xin'shuang'qing 辛双清
'xin'xi 心溪
'xin'yan 心砚
'xing'chi 行痴
'xing'dian 行颠
'xiong'yuan'xian 熊元献
'xu'da 徐达
'xu'tian'chuan 徐天川
'xu'tian'hong 徐天宏
'xu'xue'ting 许雪亭
'xu'zhang'lao 徐长老
'xu'zheng 徐铮
'xu'zhu 虚竹
'xu'zhuo'cheng 许卓诚
'xuan'ci 玄慈
'xuan'ji 玄寂
'xuan'ku 玄苦
'xuan'nan 玄难
'xuan'sheng 玄生
'xuan'tong 玄痛
'xuan'ye 玄烨
'xuan'zhen'dao'ren 玄真道人
'xue'dao'lao'zu 血刀老祖
'xue'gong'yuan 薛公远
'xue'mu'hua 薛慕华
'xue'que 薛鹊
'xue'shan'fei'hu 雪山飞狐
'ya'ba 哑巴
'ya'po'po 哑婆婆
'ya'shao'gong 哑梢公
'yan'bo'qian 言伯乾
'yan'da'ping 言达平
'yan'heng 颜恒
'yan'ji 阎基
'yan'ma'ma 严妈妈
'yan'san'xing 严三星
'yan'shi'kui 阎世魁
'yan'shi'zhang 阎世章
'yang'bin 杨宾
'yang'bu'hui 杨不悔
'yang'cheng'xie 杨成协
'yang'ding'tian 阳顶天
'yang'fu'ren 杨夫人
'yang'guang 杨光
'yang'guo 杨过
'yang'jie'jie 杨姐姐
'yang'jing'ting 杨景亭
'yang'kang 杨康
'yang'lian'ting 杨莲亭
'yang'peng'ju 杨鹏举
'yang'tie'xin 杨铁心
'yang'xiao 杨逍
'yang'yi'zhi 杨溢之
'yang'zhong'hui 杨中慧
'yao'bi'da 姚必达
'yao'bo'dang 姚伯当
'yao'chun 姚春
'yao'qing'quan 姚清泉
'ye'chang'qing 叶长青
'ye'er'niang 叶二娘
'ye'lv'chu'cai 耶律楚材
'ye'lv'hong'ji 耶律洪基
'ye'lv'jin 耶律晋
'ye'lv'mo'ge 耶律莫哥
'ye'lv'nie'lu'gu 耶律涅鲁古
'ye'lv'qi 耶律齐
'ye'lv'yan 耶律燕
'ye'lv'zhong'yuan 耶律重元
'yi'da'biao 易大彪
'yi'deng'da'shi 一灯大师
'yi'guo'zi 易国梓
'yi'he 仪和
'yi'ji 易吉
'yi'lin 仪琳
'yi'qing 仪清
'yi'san'niang 易三娘
'yi'sheng 义生
'yi'shi'ye 易师爷
'yi'tang'zhu 易堂主
'yi'tian'tu'long'ji 倚天屠龙记
'yin'ji 殷吉
'yin'jin 殷锦
'yin'ke'xi 尹克西
'yin'li 殷离
'yin'li'ting 殷梨亭
'yin'su'su 殷素素
'yin'tian'zheng 殷天正
'yin'wu'fu 殷无福
'yin'wu'lu 殷无禄
'yin'wu'shou 殷无寿
'yin'ye'wang 殷野王
'yin'zhang'gai 尹章垓
'yin'zhi'ping 尹志平
'yin'zhong'xiang 殷仲翔
'ying'bai'luo 英白罗
'ying'e 英颚
'ying'song 应松
'ying'zhang'lao 英长老
'you'cao 幽草
'you'de'sheng 尤得胜
'you'ji 游骥
'you'ju 游驹
'you'shu'tong 右书僮
'you'tan'zhi 游坦之
'you'xun 游迅
'yu'ba 于八
'yu'cang'hai 余沧海
'yu'chao'feng 俞朝奉
'yu'chi'lian 尉迟连
'yu'dai'yan 俞岱岩
'yu'fan'tou'zi 鱼贩头子
'yu'guan'jia 于管家
'yu'guang'biao 郁光标
'yu'guang'hao 于光豪
'yu'ji'zi 玉玑子
'yu'lian'zhou 俞连舟
'yu'lin 玉林
'yu'ling'dao'ren 玉灵道人
'yu'po'po 余婆婆
'yu'qing'zi 玉磬子
'yu'ren 渔人
'yu'ren'hao 于人豪
'yu'ren'yan 余人彦
'yu'ru'yi 玉如意
'yu'sao 于嫂
'yu'wan'ting 于万亭
'yu'yin'zi 玉音子
'yu'yu'tong 余鱼同
'yu'zhao'xing 余兆兴
'yu'zhen'zi 玉真子
'yu'zhong'zi 玉钟子
'yuan'bei 元悲
'yuan'cheng'dao'ren 元澄道人
'yuan'cheng'zhi 袁承志
'yuan'fu'ren 袁夫人
'yuan'gen 缘根
'yuan'guan'nan 袁冠南
'yuan'guang'bo 元广波
'yuan'mei 袁枚
'yuan'shang 元伤
'yuan'shi'xiao 袁士霄
'yuan'tong 元痛
'yuan'xin 圆心
'yuan'yang'dao 鸳鸯刀
'yuan'ye 圆业
'yuan'yi'fang 元义方
'yuan'yin 圆音
'yuan'zhen 圆真
'yuan'zi'yi 袁紫衣
'yue'bu'qun 岳不群
'yue'lao'san 岳老三
'yue'ling'shan 岳灵珊
'yun'dao'zhu 云岛主
'yun'he 云鹤
'yun'qiang'dao 云强盗
'yun'su'mei 云素梅
'yun'zhong'he 云中鹤
'zha'mu'he 札木合
'zhai'xing'zi 摘星子
'zhan'chun 詹春
'zhan'fei 展飞
'zhang'a'sheng 张阿生
'zhang'an'guan 张安官
'zhang'bang'long'tou 掌棒龙头
'zhang'bo'long'tou 掌钵龙头
'zhang'chao'tang 张朝唐
'zhang'chun'jiu 张春九
'zhang'cui'shan 张翠山
'zhang'dan'yue 张淡月
'zhang'er'shu 张二叔
'zhang'fei'xiong 张飞雄
'zhang'fu'ren 张夫人
'zhang'guan'jia 张管家
'zhang'jin 章进
'zhang'jin'ao 张金鏊
'zhang'jiu 张九
'zhang'jun'bao 张君宝
'zhang'kang 张康
'zhang'kang'nian 张康年
'zhang'lao'san 章老三
'zhang'ma 张妈
'zhang'quan'xiang 张全祥
'zhang'ruo'gu 张若谷
'zhang'san 张三
'zhang'san'feng 张三丰
'zhang'shi'wu 张十五
'zhang'song'xi 张松溪
'zhang'wu'ji 张无忌
'zhang'xin 张信
'zhang'xing'lao'zhe 张姓老者
'zhang'yi'mang 张一氓
'zhang'yong 张勇
'zhang'zhao'zhong 张召重
'zhang'zhi'guang 张志光
'zhang'zhong 张中
'zhang'zong'guan 张总管
'zhao'ban'shan 赵半山
'zhao'hui 兆惠
'zhao'liang'dong 赵良栋
'zhao'min 赵敏
'zhao'qi'xian 赵齐贤
'zhao'qian'sun 赵钱孙
'zhao'xu 照虚
'zhao'xun 赵洵
'zhao'yi'shang 赵一伤
'zhao'zhi'jing 赵志敬
'zhe'le'mi 者勒米
'zhe'luo'xing 哲罗星
'zhen'shan'zi 震山子
'zheng'ban'qiao 郑板桥
'zheng'biao'tou 郑镖头
'zheng'e 郑萼
'zheng'guang'zhi 郑光芝
'zheng'ke'shuang 郑克爽
'zheng'qi'mie 郑七灭
'zheng'qi'yun 郑起云
'zheng'san'niang 郑三娘
'zheng'zhang'lao 郑长老
'zhi'fa'zhang'lao 执法长老
'zhi'guang'da'shi 智光大师
'zhi'qing 止清
'zhong'a'si 钟阿四
'zhong'ling 钟灵
'zhong'nian'wu'shi 中年武师
'zhong'si'sao 钟四嫂
'zhong'wan'chou 钟万仇
'zhong'xiao'er 钟小二
'zhong'zhao'neng 钟兆能
'zhong'zhao'wen 钟兆文
'zhong'zhao'ying 钟兆英
'zhong'zhen 钟镇
'zhong'zhi'ling 钟志灵
'zhou'a'san 周阿三
'zhou'bo'tong 周伯通
'zhou'da'nai'nai 周大奶奶
'zhou'dian 周颠
'zhou'gu'tong 周孤桐
'zhou'long 周隆
'zhou'mu 周牧
'zhou'qi 周圻
'zhou'qi 周绮
'zhou'tie'he 周铁鹤
'zhou'wei'xin 周威信
'zhou'wu'shu 周五输
'zhou'ying'jie 周英杰
'zhou'yun'yang 周云阳
'zhou'zhi'ruo 周芷若
'zhou'zhong'ying 周仲英
'zhu'an'guo 朱安国
'zhu'bao'kun 诸保昆
'zhu'biao'tou 祝镖头
'zhu'chang'ling 朱长龄
'zhu'cong 朱聪
'zhu'dan'chen 朱丹臣
'zhu'hong 褚轰
'zhu'hong'bai 褚红柏
'zhu'jian 竹剑
'zhu'jiu'zhen 朱九真
'zhu'wan'chun 褚万春
'zhu'wan'li 褚万里
'zhu'yuan 褚圆
'zhu'yuan'zhang 朱元璋
'zhu'zi'liu 朱子柳
'zhu'zu'yin 朱祖荫
'zhuang'fu'ren 庄夫人
'zhuang'ting'long 庄廷龙
'zhuang'yun'cheng 庄允城
'zhuang'zheng 庄铮
'zhuo'bu'fan 卓不凡
'zhuo'tian'xiong 卓天雄
'zi'cong 子聪
'zong'wei'xia 宗维侠
'zong'xiong 宗雄
'zong'zan'wang'zi 宗赞王子
'zu'da'shou 祖大寿
'zu'qian'qiu 祖千秋
'zuo'leng'chan 左冷禅
'zuo'shu'tong 左书僮
'zuo'zi'mu 左子穆
