'xiong'ju'chi'shu'yuan 兄居祇树园
'xiong'lue'dong'ru'shen 雄略动如神
'xiong'men'gu'shao'tui 凶门毂少推
'xiong'nu'qi'bu'jiao 匈奴气不骄
'xiong'pi'jue'zi'fei 熊罴觉自肥
'xiong'pi'pao'kong'lin 熊罴咆空林
'xiong'pi'shou'cui'wei 熊罴守翠微
'xiong'pi'yu'zhe'long'she'shen 熊罴欲蛰龙蛇深
'xiong'pi'zai'lv'wang 熊罴载吕望
'xiong'ruo'ming'bo'kuan 汹若溟渤宽
'xiong'shi'qie'yi'lun 熊轼且移轮
'xiong'tu'e'wei'quan 凶徒恶未悛
'xiong'tu'li'shu'tun 雄图历数屯
'xiong'tu'lue'wu'dan 凶徒略无惮
'xiong'wen'yi'nian'ju 凶问一年俱
'xiong'xiong'kai'ben'tuan 汹汹开奔湍
'xiong'xiong'ren'huan'you'bu'ding 汹汹人寰犹不定
'xiong'zhe'zuo'he'chui 雄者左翮垂
'xiong'zhen'jing'zhou'ji'wu'zu 雄镇荆州继吾祖
'xiong'zi'wei'shou'fu'li'en 雄姿未受伏枥恩
'xiong'zi'yi'tai'he'qiu'cui 雄姿逸态何崷崒
'xiu'bian'wei'yu'jing 休辨渭与泾
'xiu'chuan'lu'shi'ma 休传鹿是马
'xiu'dai'yu'he'shang'xing'yu 羞带羽翮伤形愚
'xiu'dao'qin'guan'bai'er'zhong 休道秦关百二重
'xiu'de'shi'qi'lai 修德使其来
'xiu'duan'zhuang'yan'e 绣段装檐额
'xiu'fa'wu'suo'xian 秀发吾所羡
'xiu'fan'du'qi'yu 休烦独起予
'xiu'fan'yan'jing'heng'huang'jin 休翻盐井横黄金
'xiu'gu'xue'lou'yi 朽骨穴蝼蚁
'xiu'guai'er'tong'yan'su'ke 休怪儿童延俗客
'xiu'guan'hai'bei'hu 修关还备胡
'xiu'huai'fen'shen'nian 休怀粉身念
'xiu'jia'tou'zhu'yan 休驾投诸彦
'xiu'jia'xi'di'pi 休驾喜地僻
'xiu'jian'huang'hua'wu'shu'xin 羞见黄花无数新
'xiu'jiang'duan'fa'hai'chui'mao 羞将短发还吹帽
'xiu'kan'bai'fa'sheng 休看白发生
'xiu'lin'tuo'yuan'zhi 修鳞脱远枝
'xiu'luo'yi'shang'zhao'mu'chun 绣罗衣裳照暮春
'xiu'mi'cai'yi'qing 休觅彩衣轻
'xiu'ming'bei'zheng'di 休明备征狄
'xiu'nie'bin'mao'ban 休镊鬓毛斑
'xiu'qi'chong'xing'dou 秀气冲星斗
'xiu'qi'huo'fan'jin 秀气豁烦襟
'xiu'qian'zhong'yan'jing 休牵众眼惊
'xiu'se'gu'yi'zhuang 秀色固异状
'xiu'shi'dong'xian'sheng 休事董先生
'xiu'shi'man'yu'jing 休适蛮与荆
'xiu'tian'yu'zhang'qi 休添玉帐旂
'xiu'tian'yuan'you'bing 休添苑囿兵
'xiu'wei'li'bu'mian 休为吏部眠
'xiu'wei'pin'shi'tan 休为贫士叹
'xiu'wen'di'xia'shen 修文地下深
'xiu'wen'jiang'guan'lu 修文将管辂
'xiu'wen'yan'wu'bu'wu'ren 修文偃武不无人
'xiu'xian'wu'yin'zhu 修纤无垠竹
'xiu'yan'xi'wei'yi 秀岩西未已
'xiu'yi'chun'dang'xiao'han'li 绣衣春当霄汉立
'xiu'yi'huang'bai'lang 绣衣黄白郎
'xiu'yi'lv'xu'xie'jia'yun 绣衣屡许携家酝
'xiu'yu'jian'nan'shang'han'zhan 休语艰难尚酣战
'xiu'yu'xian'hua'ta'zi'de 绣羽衔花他自得
'xiu'yun'zhong'si'bai 休运终四百
'xiu'zhao'guo'xi'ying 休照国西营
'xiu'zhong'jian'lie'shu 袖中谏猎书
'xiu'zhu'bu'shou'shu 修竹不受暑
'xiu'zuo'hua'qi'lin 休作画麒麟
'xiu'zuo'kuang'ge'lao 休作狂歌老
'xu'bai'gao'ren'jing 虚白高人静
'xu'bu'shi'xiao'yuan 徐步视小园
'xu'bu'zheng'lv'bu'qing'wu 徐步整履步青芜
'xu'chang'bu'xu'bai 须长不须白
'xu'chen'lue'sang'wang 徐陈略丧亡
'xu'cheng'yi'zui'xi'chi'hui 须成一醉习池回
'xu'chuan'you'fu'bei 虚传幼妇碑
'xu'cun'wu'wei'jun 须存武威郡
'xu'de'guan'shu 续得观书
'xu'de'wen'weng'si 欻得文翁肆
'xu'dian'ri'chen'ai 虚殿日尘埃
'xu'er'song'wen'xuan 续儿诵文选
'xu'fan'pan'wo'che 欻翻盘涡坼
'xu'fei'duan'chang'yin 虚费短长吟
'xu'fei'xi'zhang'chu'feng'chen 徐飞锡杖出风尘
'xu'ge'zi'song'sheng 虚阁自松声
'xu'gong'li'shang'zhui'feng'biao 须公枥上追风骠
'xu'gong'ren'lun'biao 许公人伦表
'xu'guan'dong'hai'xi 徐关东海西
'xu'guan'kai'feng'ying 虚馆开逢迎
'xu'guan'shen'shui'fu 徐关深水府
'xu'huai'ren'qu'shen 虚怀任屈伸
'xu'huai'zhi'ai'cai 虚怀只爱才
'xu'ji'nuo'qi'ben 欻激懦气奔
'xu'ji'si'jiang'han 蓄积思江汉
'xu'jian'jun'zhe'qing 欻见俊哲情
'xu'jian'qi'lin'chu'dong'bi 欻见骐驎出东壁
'xu'jing'li'hai'ren 许靖力还任
'xu'jiu'si'zhong'chen 叙旧思重陈
'xu'jue'shen'ling'ju 虚觉神灵聚
'xu'kong'bu'li'chan 虚空不离禅
'xu'kong'bu'zhu'tian 虚空不住天
'xu'li'jin'hua'sheng 虚历金华省
'xu'ling'sheng'ke'mi 须令剩客迷
'xu'meng'qing'lu'zhan 虚蒙清露沾
'xu'ming'dan'meng'han'wen'wen 虚名但蒙寒温问
'xu'ming'jian'xian'hao 虚明见纤毫
'xu'qiu'cong'hui'zhe 许求聪慧者
'xu'ran'yu'qiu'shen 欻然欲求伸
'xu'ri'san'ji'tun 旭日散鸡豚
'xu'ru'gu'xiang'xie 须汝故相携
'xu'rui'he'ju'fa 蓄锐何俱发
'xu'shao'ye'zhu'hua 虚烧夜烛花
'xu'shen'kui'bi'shuang'nan'jin 许身愧比双南金
'xu'shen'yi'he'yu 许身一何愚
'xu'shi'cun'xin'qing 欻使寸心倾
'xu'shi'shi'xian'tong 虚室使仙童
'xu'shu'gao'jiao'you 徐庶高交友
'xu'si'hong'yan'ri 欻思红颜日
'xu'si'huang'jin'gui 虚思黄金贵
'xu'sui'luan'yu'fu 虚随乱浴凫
'xu'ta'bu'zhi'juan 徐榻不知倦
'xu'wei'xia'dian'zou 须为下殿走
'xu'wu'ma'rong'di 虚无马融笛
'xu'wu'zhi'shao'dui'xiao'xiang 虚无只少对潇湘
'xu'xi'ling'di'ling 欻吸领地灵
'xu'xi'yan'zheng'jing 欻翕炎蒸景
'xu'xiang'shan'yin'shang'xiao'zhou 须向山阴上小舟
'xu'xin'wei'dao'xuan 虚心味道玄
'xu'xiu'shui'zhan'chuan 虚修水战船
'xu'xu'wu'zhu'tai 虚徐五株态
'xu'yan'jiao'niao'dao 虚檐交鸟道
'xu'yi'hao'shou'chong'ni'qie 虚疑皓首冲泥怯
'xu'yi'qiu'di'chu 许以秋蒂除
'xu'yi'yin'liang'fu 欻忆吟梁父
'xu'yu'bi'ci'bo 许与必词伯
'xu'yu'cai'sui'bao 许与才虽薄
'xu'zhan'jiao'ju'wei'han'shi 虚沾焦举为寒食
'xu'zhi'dong'sun'mao 须知动损毛
'xu'zhi'feng'hua'shou 须知风化首
'xu'zhou'tu'wei'bu'zu'yi 徐州秃尾不足忆
'xu'zuo'ceng'xuan'shu'san'chou 许坐曾轩数散愁
'xuan'bei'fang'bi'su 喧卑方避俗
'xuan'bei'su'lei'qian 喧卑俗累牵
'xuan'bei'su'shi'qian 喧卑俗事牵
'xuan'cao'qiu'yi'si 萱草秋已死
'xuan'chan'wu'ting'hao 玄蝉无停号
'xuan'cheng'fu'wen'cai 玄成负文彩
'xuan'cheng'mei'jia'cun 玄成美价存
'xuan'chi'ceng'bu'zhong 轩墀曾不重
'xuan'chi'ceng'chong'he 轩墀曾宠鹤
'xuan'dong'shi'wo'hu'guo'dao 玄冬示我胡国刀
'xuan'dong'shuang'xue'ji 玄冬霜雪积
'xuan'dou'dao'shi'lai'xiang'fang 玄都道士来相访
'xuan'dou'tan'ge 玄都坛歌
'xuan'feng'qi'zhuan'da 宣风岂专达
'xuan'guang'guo'ming'zhe 宣光果明哲
'xuan'han'zao'zao'fen 暄寒早早分
'xuan'he'san'lv'chou 暄和散旅愁
'xuan'he'wu'yi'xiang 宣鹤误一响
'xuan'hu'qie'fu'bei'zhong'lu 喧呼且覆杯中渌
'xuan'hu'shan'yao'zhai 喧呼山腰宅
'xuan'hu'wen'dian'bing 喧呼闻点兵
'xuan'hu'yue'shi'xing 喧呼阅使星
'xuan'jia'ju'bu'san 玄甲聚不散
'xuan'jing'bu'tong'ke 喧静不同科
'xuan'jing'yao'lu'kou 悬旌要路口
'xuan'jun'mu'jing'gan 悬军幕井干
'xuan'lian'xin'yu'he 绚练新羽翮
'xuan'mian'luo'tian'que 轩冕罗天阙
'xuan'ming'qian'cheng'ji 宣命前程急
'xuan'ming'wei'qiang'liang 玄冥蔚强梁
'xuan'ming'zhu'rong'qi'huo'jiao 玄冥祝融气或交
'xuan'nao'wei'shuai'lao 喧闹畏衰老
'xuan'pu'cang'zhou'mang'kong'kuo 悬圃沧洲莽空阔
'xuan'pu'xun'he'zhi'you'wu 悬圃寻河知有无
'xuan'ran'kong'qi'chu 轩然恐其出
'xuan'ran'ming'du'hui 喧然名都会
'xuan'sheng'lian'wan'fang 喧声连万方
'xuan'shuo'hui'tian'bu 玄朔回天步
'xuan'xuan'dao'lu'duo'ge'yao 喧喧道路多歌谣
'xuan'ya'zhi'wu'lao 悬崖置屋牢
'xuan'yi'qu'ren'qun 喧已去人群
'xuan'ying'shi'ke'hu 轩楹势可呼
'xuan'yuan'huang'di'sheng'yun'sun 玄元皇帝圣云孙
'xuan'yuan'kou'jin'bu'neng'xiao 玄猿口噤不能啸
'xuan'zhan'lue'heng'jie 旋瞻略恒碣
'xuan'zheng'lan'zhu'bian 喧争懒著鞭
'xuan'zong'miao'qi'shu 玄宗妙其书
'xue'an'cong'mei'fa 雪岸丛梅发
'xue'an'hai'xu'yu 雪暗还须浴
'xue'bing'lu'wang'min 学并卢王敏
'xue'can'chi'que'yi'duo'shi 雪残鳷鹊亦多时
'xue'cheng'dang'bai'di 削成当白帝
'xue'cheng'gen'xu'wu 削成根虚无
'xue'cheng'ru'an'bao'qing'qiu 削成如桉抱青丘
'xue'guan'tian'ren'ji 学贯天人际
'xue'ji'gong'jian'yu 削迹共艰虞
'xue'li'mei'ke'zhe 雪篱梅可折
'xue'li'you'xia'shang 学立游夏上
'xue'ling'du'kan'xi'ri'luo 雪岭独看西日落
'xue'ling'fang'qiu'ji 雪岭防秋急
'xue'ling'jie'tian'bai 雪岭界天白
'xue'ling'ri'se'si 雪岭日色死
'xue'liu'fen'zai'yan 血流纷在眼
'xue'mai'zhu'jiang'jia 血埋诸将甲
'xue'mei'jin'an'jian 雪没锦鞍鞯
'xue'mu'wu'bu'wei 学母无不为
'xue'pian'yi'dong'shen 雪片一冬深
'xue'shan'chi'hou'wu'bing'ma 雪山斥候无兵马
'xue'shi'you'ru'zi 学诗犹孺子
'xue'shu'chu'xue'wei'fu'ren 学书初学卫夫人
'xue'shu'yuan'tong'se 雪树元同色
'xue'ti'feng'bei'ming 雪涕风悲鸣
'xue'wei'chun'ru'zi 学蔚醇儒姿
'xue'wu'you'hun'gui'bu'de 血污游魂归不得
'xue'ya'cai'bian'shi 雪崖才变石
'xue'ye'chun'ru'fu 学业醇儒富
'xue'yi'dang'li'quan 血以当醴泉
'xue'yi'yu'he'tao 穴蚁欲何逃
'xue'yu'xiao'er'zhi'xing'ming 学语小儿知姓名
'xue'yun'xu'dian'zhui 雪云虚点缀
'xue'zhan'qian'kun'chi 血战乾坤赤
'xue'zhe'lun'su'zhi 学者沦素志
'xue'zhong'fu'lu'gan 雪重拂庐干
'xue'zou'jun'yi'qu 血走浚仪渠
'xue'zuo'chen'tao'ze'zhong'shui 血作陈陶泽中水
'xun'chang'jue'zui'kun 寻常绝醉困
'xun'chi'ming'zi'he 埙篪鸣自合
'xun'fei'yao'shui'yuan 巡非瑶水远
'xun'feng'xing'ying'lv 熏风行应律
'xun'lian'qiang'bing'dong'gui'shen 训练强兵动鬼神
'xun'liang'you'zhi'jin 驯良犹至今
'xun'pu'nian'xie'chu 巡圃念携锄
'xun'ran'er'mu'kai 熏然耳目开
'xun'shou'he'ji'liao 巡守何寂寥
'xun'wen'miao'suan'zheng 循文庙算正
'xun'wo'cao'jing'wei 寻我草径微
'xun'yan'suo'gong'mei'hua'xiao 巡檐索共梅花笑
'xun'ye'pin'kan'jing 勋业频看镜
'xun'ye'qing'ming'shang 勋业青冥上
'xun'yong'si'shu'li 勋庸思树立
'xun'yu'feng'huang'ling 噀雨凤凰翎
'xun'yu'qing'jin'zi 训喻青衿子
'xun'zi'xue'shui'men 训子学谁门
'ya'chen'gu'mei'bai'ai'ai 崖沉谷没白皑皑
'ya'chi'ban'luo'zuo'er'long 牙齿半落左耳聋
'ya'chi'yu'luo'zhen'ke'xi 牙齿欲落真可惜
'ya'duan'ru'chu'jiu 崖断如杵臼
'ya'hu'luo'chao'er 鸦护落巢儿
'ya'jie'zai'zhou'fang 雅节在周防
'ya'jue'liang'bi'dui 崖绝两壁对
'ya'keng'pie'yan'guo 呀坑瞥眼过
'ya'liang'han'gao'yuan 雅量涵高远
'ya'lun'zai'bing'ji 雅论在兵机
'ya'mi'song'hua'shu 崖蜜松花熟
'ya'mi'yi'yi'qiu 崖蜜亦易求
'ya'qiang'lie'duo'qing'lou'yuan 牙樯捩柁青楼远
'ya'qing'lu'he'nan 崖倾路何难
'ya'ran'lang'cheng'nan 呀然阆城南
'ya'wang'yu'ying'zi 雅望与英姿
'ya'yu'tao'zi'ran 雅欲逃自然
'yan'an'bu'jian'feng'chen'qing 眼暗不见风尘清
'yan'an'fa'chui'su 眼暗发垂素
'yan'bao'ju'ya'kou 淹薄俱崖口
'yan'bian'jiang'ge'he'cong'cu 眼边江舸何匆促
'yan'bo'reng'chou'hu 淹泊仍愁虎
'yan'chen'du'chang'wang 烟尘独长望
'yan'chen'dui'jie'chu 烟尘对阶除
'yan'chen'duo'zhan'gu 烟尘多战鼓
'yan'chen'fan'xue'ling 烟尘犯雪岭
'yan'chen'hun'yu'dao 烟尘昏御道
'yan'chen'qin'huo'jing 烟尘侵火井
'yan'chen'rao'chang'he 烟尘绕阊阖
'yan'chen'zu'chang'he 烟尘阻长河
'yan'cheng'dao'xu'zao 严程到须早
'yan'cheng'die'gu'pi 严城叠鼓鼙
'yan'cheng'shu'wei'yan 严城殊未掩
'yan'chuan'dang'luo'ri 眼穿当落日
'yan'ci'feng'shu'ri 燕辞枫树日
'yan'cu'fei'hua'luo'wu'yan 燕蹴飞花落舞筵
'yan'cu'long'hu'zi 偃蹙龙虎姿
'yan'de'bei'zhi'chao 焉得北之朝
'yan'de'bian'wei'ji 焉得变危机
'yan'de'bing'zhou'kuai'jian'dao 焉得并州快剪刀
'yan'de'bu'di'chui 焉得不低垂
'yan'de'chuo'liang'zu 焉得辍两足
'yan'de'fu'shu'yu'wo'jun 焉得附书与我军
'yan'de'si'ru'tao'xie'shou 焉得思如陶谢手
'yan'de'suo'li'zhu 焉得所历住
'yan'de'yi'wan'ren 焉得一万人
'yan'de'zhi'zhi'gong'yu'tang 焉得置之贡玉堂
'yan'de'zhu'jia'zuo'nong'qi 焉得铸甲作农器
'yan'dong'yu'hu'bing 檐动玉壶冰
'yan'du'mai'cheng'shuang 雁度麦城霜
'yan'er'zheng'shui'ma 雁儿争水马
'yan'fang'can'ru'hui 炎方惨如毁
'yan'fang'mei'xu'zhu'ying'xian 炎方每续朱樱献
'yan'fei'xiang'gui'cong 烟霏想桂丛
'yan'fen'ai'qiu'cui 烟氛蔼崷崒
'yan'feng'shuo'xue'tian'wang'di 炎风朔雪天王地
'yan'fu'ji'shi'an 眼复几时暗
'yan'gai'fan'zou'qiu'long'xing 偃盖反走虬龙形
'yan'gong'ting'yan 严公厅宴
'yan'gong'zhong'xia'wang'jia'cao'tang 严公仲夏枉驾草堂
'yan'gu'hu'chu'mo 岩谷互出没
'yan'guan'sui'ban'ji 盐官虽绊骥
'yan'han'jin'jing'shui 研寒金井水
'yan'he'yi'liu'han 炎赫衣流汗
'yan'hua'luo'jing'shui'di'mian 眼花落井水底眠
'yan'hua'shan'ji'zhong 烟花山际重
'yan'hua'yi'wan'zhong 烟花一万重
'yan'hui'jing'duan'zhe 颜回竟短折
'yan'huo'he'you'zhui 烟火何由追
'yan'huo'jun'zhong'mu 烟火军中幕
'yan'ji'ben'feng'shi 燕蓟奔封豕
'yan'ji'cui'dai'chou 燕姬翠黛愁
'yan'jia'ju'de'xing 严家聚德星
'yan'jiao'xian'lu'nei 雁矫衔芦内
'yan'jiu'cheng'du'bo 厌就成都卜
'yan'kan'yuan'tou'jiao 宴衎愿投胶
'yan'ke'yi'xun'hei 延客已曛黑
'yan'ku'ji'jian'gu 眼枯即见骨
'yan'leng'kan'zheng'gai 眼冷看征盖
'yan'liu'guan'shang'zan 淹留冠上簪
'yan'liu'jian'su'qing 淹留见俗情
'yan'liu'jing'bu'yan 淹留景不延
'yan'liu'wei'dao'qi 淹留为稻畦
'yan'liu'wen'qi'lao 淹留问耆老
'yan'liu'xiang'ji'xu 沿流想疾徐
'yan'liu'zhan'fa'gong 淹留战伐功
'yan'mian'bi'cao'qi'qi'chang 烟绵碧草萋萋长
'yan'nan'chui'quan'mu 燕南吹畎亩
'yan'neng'bian'huang'zhou 焉能辨皇州
'yan'neng'dai'gao'qiu 焉能待高秋
'yan'neng'shang'an'zhai 焉能尚安宅
'yan'neng'shou'jiu'qiu 焉能守旧丘
'yan'neng'xin'yang'yang 焉能心怏怏
'yan'neng'xue'zhong'kou 焉能学众口
'yan'neng'zhong'ri'xin'quan'quan 焉能终日心拳拳
'yan'neng'zuo'tang'shang'yan 焉能作堂上燕
'yan'pai'shi'shu'yuan 岩排石树圆
'yan'qi'zai'bai'ceng 岩栖在百层
'yan'qian'jin'gu'yi 眼前今古意
'yan'qian'lie'chou'xie 眼前列杻械
'yan'qian'suo'ji'xuan'he'wu 眼前所寄选何物
'yan'qian'wu'su'wu 眼前无俗物
'yan'que'ban'sheng'cheng 燕雀半生成
'yan'ru'fei'pang'she 燕入非旁舍
'yan'se'bai'sheng'xue 颜色白胜雪
'yan'se'shao'cheng'sui 颜色少称遂
'yan'se'tong'ri'lao 颜色同日老
'yan'shi'fu'ji'pian 严诗赋几篇
'yan'shi'zhi'zi'cai'gu'biao 颜氏之子才孤标
'yan'shu'jiao'you'leng 厌蜀交游冷
'yan'shu'yuan'he'jin 咽漱元和津
'yan'shuai'ken'geng'hong 颜衰肯更红
'yan'shuang'qi'ye'ri 烟霜凄野日
'yan'tian'bi'yu'zheng 炎天避郁蒸
'yan'tian'cai'you'se 烟添才有色
'yan'tian'jing'qian'ni 炎天竟浅泥
'yan'wai'qing'si'juan 燕外晴丝卷
'yan'wang'mai'jun'gu 燕王买骏骨
'yan'wei'ju'tang'you 焉为巨唐有
'yan'wu'cui'wei'chen 燕舞翠帷尘
'yan'wu'kong'xiang'hu 雁鹜空相呼
'yan'wu'san'yu'zhi 烟雾散玉质
'yan'wu'xiang'pei'hui 烟雾相裴回
'yan'xi'gan'qing'wu 宴息敢轻侮
'yan'xi'gui'bi'xun 偃息归碧浔
'yan'xia'zhang'ji'zhong 烟霞嶂几重
'yan'xiao'e'ming'zhu 炎宵恶明烛
'yan'xun'xi'ma'you 言寻戏马游
'yan'yan'ceng'yu'su'ji'zi 宴筵曾语苏季子
'yan'yan'dai'chun'mei 艳艳待春梅
'yan'yi'lei'chan'yuan 掩抑泪潺湲
'yan'yi'zhi'mo'chi 掩抑至没齿
'yan'yin'chun'hu'man 宴引春壶满
'yan'ying'wei'wei'luo 檐影微微落
'yan'yong'qiong'huang'wei 焉用穷荒为
'yan'yong'shen'du'wan 焉用身独完
'yan'you'zi'yan'shuang'tong'fang 眼有紫焰双瞳方
'yan'yu'dui'ju'ji'shui'zhong'yang 滟滪堆巨积水中央
'yan'yu'feng'wu'xia 烟雨封巫峡
'yan'yu'luan'lin'man 檐雨乱淋幔
'yan'yu'xi'sui'feng 檐雨细随风
'yan'yu'xian'xiang'po 滟滪险相迫
'yan'zhao'chao'yu'jia 彦昭超玉价
'yan'zhao'xiu'jin'chu'jia'li 燕赵休矜出佳丽
'yan'zheng'du'wo'chang 炎蒸毒我肠
'yan'zhi'e'si'tian'gou'he 焉知饿死填沟壑
'yan'zhi'er'shi'zai 焉知二十载
'yan'zhi'li'guang'wei'feng'hou 焉知李广未封侯
'yan'zhi'nan'lin'ke 焉知南邻客
'yan'zhi'qing'xing'zhong 焉知清兴终
'yan'zhi'yan'bei'lin 筵秩宴北林
'yan'zhi'zhong'he'qu 焉知众壑趋
'yan'zhi'zhou'ye'huo 焉知肘腋祸
'yan'zhong'wan'shao'nian 眼中万少年
'yan'zhong'zhi'ren'wu'lao'yi 眼中之人吾老矣
'yan'zhou'qin'bei'hu 延州秦北户
'yan'zhuang'lao'weng'wei 颜状老翁为
'yan'zi'xian'ni'liang'du'xin 燕子衔泥两度新
'yan'zi'xian'ni'shi'bu'fang 燕子衔泥湿不妨
'yan'zi'zhu'qiang'wu 燕子逐樯乌
'yan'zu'xi'nan'qi 雁足系难期
'yang'bian'hu'shi'guo'hu'cheng 扬鞭忽是过胡城
'yang'biao'jing'zhu'ru 扬镳惊主辱
'yang'biao'sui'ri'yu 扬镳随日驭
'yang'can'lin'hua'sheng 仰惭林花盛
'yang'can'lin'jian'he 仰惭林间翮
'yang'chuan'long'she'ku 仰穿龙蛇窟
'yang'feng'nian'luo'xu 仰蜂黏落絮
'yang'gan'sai'da'ming 仰干塞大明
'yang'gong'fu'qie'si 杨公拂箧笥
'yang'guan'tian'se'gai 仰观天色改
'yang'guan'yi'jin'tian 阳关已近天
'yang'hua'xue'luo'fu'bai'pin 杨花雪落覆白蘋
'yang'kan'ba'chi'qu 仰看八尺躯
'yang'kan'chui'lu'zi 仰看垂露姿
'yang'kan'ming'xing'dang'kong'da 仰看明星当空大
'yang'kan'ri'che'ce 仰看日车侧
'yang'kan'xi'fei'yi 仰看西飞翼
'yang'kan'yun'zhong'yan 仰看云中雁
'yang'kuang'zhen'ke'ai 佯狂真可哀
'yang'ling'hong'tao'jian 扬舲洪涛间
'yang'ling'zhan'dao'xi 仰凌栈道细
'yang'lun'zhan'cun'xin 扬论展寸心
'yang'ma'yi'tong'shi 扬马宜同时
'yang'mang'hou'tu'shi 泱莽后土湿
'yang'mei'jie'yi'huang'jin'tai 扬眉结义黄金台
'yang'mian'tan'kan'niao 仰面贪看鸟
'yang'po'ke'zhong'gua 阳坡可种瓜
'yang'pu'jiang'lou'chuan 杨仆将楼船
'yang'qi'jiang'yu'sa'chang'xia 扬旗江雨飒长夏
'yang'qin'wei'xiao'yuan 养亲唯小园
'yang'sheng'zhong'zi'xi 养生终自惜
'yang'shi'bai'niao'fei 仰视百鸟飞
'yang'shi'huang'tian'bai'ri'su 仰视皇天白日速
'yang'si'tiao'yu'zhu 仰思调玉烛
'yang'tai'shu'se'fen 阳台曙色分
'yang'wang'chui'xian'lv 仰望垂线缕
'yang'wang'jie'tan'jiu 仰望嗟叹久
'yang'wang'lu'luo'dang'shi'ti 杨王卢骆当时体
'yang'xian'guan'he'jiao 仰羡鹳鹤矫
'yang'xian'huang'hun'niao 仰羡黄昏鸟
'yang'xiong'geng'you'he'dong'fu 扬雄更有河东赋
'yang'yang'ni'wu'ren 泱泱泥污人
'yang'zhi'chen'zai'shou 杨枝晨在手
'yang'zhou'qing'guang'pang 漾舟清光旁
'yang'zhuo'gan'ge'ji 养拙干戈际
'yang'zhuo'geng'he'xiang 养拙更何乡
'yang'zhuo'yi'kao'pan 养拙异考槃
'yang'zi'chuan'xue'nei 养子穿穴内
'yang'zi'feng'chen'ji 养子风尘际
'yang'zi'hei'bai'dian 养子黑柏颠
'yang'zi'yan'tou'ge 扬子淹投阁
'yao'bei'shui'guo'qiu 遥悲水国秋
'yao'can'ta'ri'guo 药残他日裹
'yao'chi'qi'yu'lv 瑶池气郁律
'yao'chi'shi'chen'yi'ming'mo 瑶墀侍臣已冥莫
'yao'cong'yue'xia'chuan 遥从月峡传
'yao'dang'ju'hua'qi 摇荡菊花期
'yao'er'fu'wu'sui'suo'zhi 药饵扶吾随所之
'yao'er'xu'lang'ji 药饵虚狼藉
'yao'er'zeng'jia'jian 药饵憎加减
'yao'er'zhu'xiu'zhen 药饵驻修轸
'yao'fen'hu'yao'ming 妖氛忽杳冥
'yao'fen'yong'bai'ma 妖氛拥白马
'yao'feng'jiu'su'yi 尧封旧俗疑
'yao'gong'bei'chen'chan'kou'dao 遥拱北辰缠寇盗
'yao'guan'xian'lu'jin'xu'yuan 峣关险路今虚远
'yao'guo'guan'xin'shi'zong'fei 药裹关心诗总废
'yao'kong'qiu'yan'mie 遥空秋雁灭
'yao'lian'cang'hai'gao 遥连沧海高
'yao'lian'she'di'cun 遥怜舍弟存
'yao'lian'si'ge'qiang 遥怜似葛强
'yao'lian'xiang'shui'hun 遥怜湘水魂
'yao'lian'xiao'er'nv 遥怜小儿女
'yao'lu'he'ri'ba'chang'ji 要路何日罢长戟
'yao'lu'yi'gao'shen 要路亦高深
'yao'luo'guan'shan'si 摇落关山思
'yao'luo'ren'jiang'tan 摇落任江潭
'yao'luo'shen'zhi'song'yu'bei 摇落深知宋玉悲
'yao'luo'yao'luo'wu'shan'mu 摇落摇落巫山暮
'yao'ming'teng'shang'xia 杳冥藤上下
'yao'nang'qin'dao'shi 药囊亲道士
'yao'nie'guan'dong'chou 妖孽关东臭
'yao'qiu'yang'gang'nuan 要求阳冈暖
'yao'qu'qiu'hua'mei'yuan'tian 要取楸花媚远天
'yao'ren'wan'xing'liu 邀人晚兴留
'yao'tang'mian'qin'du 尧汤免亲睹
'yao'tiao'dan'qing'hu'you'kong 窈窕丹青户牖空
'yao'tiao'ru'feng'deng 窈窕入风磴
'yao'tiao'ru'yun'han 杳窕入云汉
'yao'tiao'tao'li'hua 窈窕桃李花
'yao'tiao'yao'jia'run'qing'qing 药条药甲润青青
'yao'tiao'yi'lin'lu 窅窕一林麓
'yao'wei'xia'zhong'wu 药味峡中无
'yao'wen'chu'jia'yu 要闻除猰貐
'yao'wen'chu'xun'shou 遥闻出巡守
'yao'wen'sheng'li'xin 遥闻盛礼新
'yao'wo'chang'chun'jiu 邀我尝春酒
'yao'wo'xia'ma'hang 要我下马行
'yao'wu'chu'lao'yu'shang'shi 药物楚老渔商市
'yao'xia'bao'jue'qing'shan'hu 腰下宝玦青珊瑚
'yao'xing'xia'zhi'lu 妖星下直庐
'yao'xing'zhao'yu'chu 妖星照玉除
'yao'xu'lin'ren'zhu 药许邻人劚
'yao'yao'dong'shan'xie'han'ji 杳杳东山携汉妓
'yao'yao'geng'yuan'shi 杳杳更远适
'yao'yao'luan'ling'gan'xin'xi 妖腰乱领敢欣喜
'yao'yao'nan'guo'duo'jing'qi 杳杳南国多旌旗
'yao'yi'jiu'qing'zhan 遥忆旧青毡
'yao'you'si'yue'ming'zhi'li 尧有四岳明至理
'yao'zhi'cu'an'ma 遥知簇鞍马
'yao'zhi'dui'shu'mang 遥知对属忙
'yao'zhi'sheng'bao'yi 腰支胜宝衣
'yao'zuan'xi'ji'ming 药纂西极名
'ye'bai'chu'shi'bi 业白出石壁
'ye'cheng'chen'shi'wang 业成陈始王
