'bai'niu'che'yuan'jin 白牛车远近
'bai'ou'mei'hao'dang 白鸥没浩荡
'bai'ou'yuan'shui'su 白鸥元水宿
'bai'pin'chou'sha'bai'tou'weng 白蘋愁杀白头翁
'bai'qing'feng'tan'shang 百顷风潭上
'bai'qing'ping'ruo'an 百顷平若案
'bai'qing'qing'yun'miao 百顷青云杪
'bai'ren'chou'bu'yi 白刃雠不义
'bai'ri'dao'xi'huang 白日到羲皇
'bai'ri'di'yin'jian 白日递隐见
'bai'ri'fang'ge'xu'zong'jiu 白日放歌须纵酒
'bai'ri'lai'shen'dian 白日来深殿
'bai'ri'lei'ting'jia'cheng'zhang 白日雷霆夹城仗
'bai'ri'yi'ge'xiu 白日移歌袖
'bai'ri'yi'ji'mo 白日亦寂寞
'bai'ri'yi'pian'zhao 白日亦偏照
'bai'ri'zhao'zhi'mei 白日照执袂
'bai'sha'cui'zhu'jiang'cun'mu 白沙翠竹江村暮
'bai'sha'qing'shi'xian'wu'ni 白沙青石先无泥
'bai'she'bai'she'lai'he'chu 百舌百舌来何处
'bai'she'deng'qi'chao 白蛇登其巢
'bai'she'yu'wu'yu 百舌欲无语
'bai'shen'yi'mei'tai 百身一莓苔
'bai'shi'gong'mi'cun 柏氏功弥存
'bai'shi'ming'ke'ba 白石明可把
'bai'shi'su'sha'yi'xiang'dang 白石素沙亦相荡
'bai'shou'bu'xiang'qi 白首不相弃
'bai'shou'du'yu'ai 白首独馀哀
'bai'shou'duo'nian'ji 白首多年疾
'bai'shou'gan'qi'kuo 白首甘契阔
'bai'shou'ji'ren'jian 白首寄人间
'bai'shou'lei'shuang'chui 白首泪双垂
'bai'shou'pian'zhou'bing'du'cun 白首扁舟病独存
'bai'shou'que'hui'guang 白首缺辉光
'bai'shou'sa'qi'qi 白首飒凄其
'bai'shou'wang'shuang'tian 白首望霜天
'bai'shou'zhong'yuan'shang 白首中原上
'bai'shou'zhuang'xin'wei 白首壮心违
'bai'shui'jian'jiu'shi 白水见舅氏
'bai'shui'mu'dong'liu 白水暮东流
'bai'shui'yi'yang'bo 白水已扬波
'bai'shui'yu'pian'duo 白水雨偏多
'bai'si'fa'guang'hui 百祀发光辉
'bai'si'xing'sao'si 白丝行缫丝
'bai'tan'qun'kou'yi 拜坛群寇疑
'bai'tou'gong'yan'yu 白头供宴语
'bai'tou'lao'ba'wu'fu'ge 白头老罢舞复歌
'bai'tou'luan'fa'chui'guo'er 白头乱发垂过耳
'bai'tou'qu'mu'fu 白头趋幕府
'bai'tou'sao'geng'duan 白头搔更短
'bai'tou'shi'yi'tu'bu'gui 白头拾遗徒步归
'bai'tou'shou'jian'yan'neng'fu 白头授简焉能赋
'bai'tou'sui'lao'chi'xin'cun 白头虽老赤心存
'bai'tou'wu'ji'zai 白头无藉在
'bai'tou'yan'ban'yu'ren'su 白头厌伴渔人宿
'bai'tou'yi'hen'zai 白头遗恨在
'bai'tou'yin'wang'ku'di'chui 白头吟望苦低垂
'bai'tuan'wei'wo'po 白团为我破
'bai'wan'chuan'shen'ru 百万传深入
'bai'wan'gong'yi'cheng 百万攻一城
'bai'wan'hua'wei'yu 百万化为鱼
'bai'wan'wei'ke'bang 百万未可傍
'bai'wang'fei'chi'bi 败亡非赤壁
'bai'wu'da'gong'gong 白屋达公宫
'bai'wu'han'duo'nuan'shi'kai 白屋寒多暖始开
'bai'wu'hua'kai'li 白屋花开里
'bai'wu'liu'gu'shu 白屋留孤树
'bai'wu'nan'jiu'liu 白屋难久留
'bai'wu'yin'gou'luo 拜舞银钩落
'bai'xi'hou'ge'qiao 百戏后歌樵
'bai'xiang'ben'sheng'ming 百祥奔盛明
'bai'xiao'bai'xiao'qun'fen'ming 白小白小群分命
'bai'xing'mian'wei'yu 百姓免为鱼
'bai'xing'ri'zhi'li 百姓日支离
'bai'xue'bi'hua'fan 白雪避花繁
'bai'yang'jin'ri'ji'ren'bei 白杨今日几人悲
'bai'you'fu'xiang'xi 百忧复相袭
'bai'yu'ceng'rou'san'suan'ni 白羽曾肉三狻猊
'bai'yu'kun'mi'wang 白鱼困密网
'bai'yu'nian'jian'wei'zai'bian 百馀年间未灾变
'bai'yu'ru'qie'yu 白鱼如切玉
'bai'yu'yi'xi'kong'chui'luo 白雨一洗空垂萝
'bai'yue'dang'kong'xu 白月当空虚
'bai'ze'an'jiang'gao 白帻岸江皋
'bai'zhan'jin'shui'zai 百战今谁在
'bai'zhang'nei'jiang'chuan 百丈内江船
'bai'zhang'shui'jia'shang'shui'chuan 百丈谁家上水船
'bai'zhang'you'ai'yin 百丈有哀音
'bai'zhong'jie'yong'zhuang 百中皆用壮
'bai'zhong'lu'chi'lian 白种陆池莲
'bai'zhong'zheng'neng'chi'xia'gou 百中争能耻下鞲
'bai'zhou'tan'qian'gao'lang'zhong 白昼摊钱高浪中
'ban'bai'ju'shang'lie 斑白居上列
'ban'bai'tu'huai'nang 斑白徒怀曩
'ban'bei'yi'nan'chun'jin'shan 半陂已南纯浸山
'ban'bin'wu'cheng'shang 斑鬓兀称觞
'ban'ci'yi'ao'xiang 半刺已翱翔
'ban'de'dao'xiang'jing 半得捣香粳
'ban'ding'shu'tou'bai 半顶梳头白
'ban'fei'kai'zhu'ying 半扉开烛影
'ban'ling'mu'yun'chang 半岭暮云长
'ban'ru'jiang'feng'ban'ru'yun 半入江风半入云
'ban'si'ban'sheng'you'ji'ji 半死半生犹戢戢
'ban'xu'geng'he'ji 斑序更何跻
'ban'xun'huo'hao'yao 半旬获浩溔
'ban'yang'ming'shen'sheng 班扬名甚盛
'ban'ye'you'xing'zhou 半夜有行舟
'ban'yue'zhao'bian'cheng 伴月照边城
'ban'zhi'jian'tong'gui 班秩兼通贵
'ban'zhi'yu'dong'zhuan'qi'ce 绊之欲动转欹侧
'ban'zhu'bu'shi'cao 版筑不时操
'ban'zhu'lao'ren'gong 版筑劳人功
'bang'ci'yan'xia'mao'ke'zhu 傍此烟霞茅可诛
'bang'jia'pin'chu'shi 邦家频出师
'bang'jia'qi'shu'zhi 傍架齐书帙
'bang'jia'yong'si'dian 邦家用祀典
'bang'jian'bei'dou'xiang'jiang'di 傍见北斗向江低
'bang'ren'bu'zu'chong 邦人不足重
'bang'ren'si'zhi'bi'fu'mu 邦人思之比父母
'bang'wei'huai'fa'ze 邦危坏法则
'bang'yan'jian'yang'zhou 傍眼见扬州
'bang'yi'min'wei'ben 邦以民为本
'bao'ai'jin'shi'jian 保爱金石坚
'bao'bei'su'he'yi 抱被宿何依
'bao'bei'xiu'zhi'gao 宝贝休脂膏
'bao'bei'zhu'shu'guang 曝背竹书光
'bao'bing'hun'wang'ji 抱病昏妄集
'bao'bing'jiang'tian'bai'shou'lang 抱病江天白首郎
'bao'bing'pai'jin'men 抱病排金门
'bao'bing'qi'deng'jiang'shang'tai 抱病起登江上台
'bao'chang'jie'yi'chuan 饱肠皆已穿
'bao'da'chun'guang'zhi'you'chu 报答春光知有处
'bao'da'zai'si'xu 报答在斯须
'bao'gong'e'gong'mao'fa'dong 褒公鄂公毛发动
'bao'guan'zhang'li'you 薄关长吏忧
'bao'huan'zou'feng'chen 薄宦走风尘
'bao'ji'lv'qian'yi 抱疾屡迁移
'bao'jian'gu'gao'xuan 宝剑谷高悬
