'a'wei 阿味
'hong'hua 红花
'hong'jing'tian 红景天
'hong'ma'yi 红蚂蚁
'hong'qi 红芪
'hong'shen 红参
'hong'shen'pian 红参片
'hong'shen'xiao 红参小
'hong'teng 红藤
'hong'xue'cha 红雪茶
'hong'yao'zi 红药子
'hou'pu 厚朴
'hou'pu'hua 厚朴花
'hu'er'cao 虎耳草
'hu'huang'lian 胡黄连
'hu'ji'sheng 槲寄生
'hu'po 琥珀
'hu'po'fen 琥珀粉
'hu'po'kuai 琥珀块
'hu'ya'cao 虎牙草
'hu'zhang 虎仗
'hu'zhang 虎杖
'hua'he'kong'jun'pian 桦褐孔菌片
'hua'jiao 花椒
'hua'jiao'mu 花椒目
'hua'ju'hong 化橘红
'hua'rui'shi 花蕊石
'hua'sheng'yi 花生衣
'hua'shi'fen 滑石粉
'hua'shi'kuai 滑石块
'huai'hua 槐花
'huai'hua'tan 槐花炭
'huai'jiao 槐角
'huai'jiao'mi 槐角蜜
'huai'mi 槐米
'huai'niu'xi 怀牛膝
'huang'gua'zi 黄瓜子
'huang'jing 黄精
'huang'jing'jiu 黄精酒
'huang'lian 黄连
'huang'qi 黄芪
'huang'qi'fen 黄芪粉
'huang'qin'pian 黄芩片
'huang'yao'zi 黄药子
'huo'ma'ren 火麻仁
'huo'xiang 藿香
'huo'xiang'guang 藿香广
'ji'cai'hua 荠菜花
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'guan'hua'zi 鸡冠花子
'ji'li'chao 蒺藜炒
'ji'nei'jin 鸡内金
'ji'rou'liao 鸡肉料
'ji'xing'zi 急性子
'ji'xue'cao 积雪草
'ji'xue'teng 鸡血藤
'ji'xue'teng'pian 鸡血藤片
'jian'qu 健曲
'jian'qu 建曲
'jiang'ban'xia 姜半夏
'jiang'can 僵蚕
'jiang'hou'pu 姜厚朴
'jiang'huang 姜黄
'jiang'huang'pian 姜黄片
'jiang'xiang 降香
'jiao'bai'shao 焦白芍
'jiao'bai'zhu 焦白术
'jiao'bing'lang 焦槟榔
'jiao'cang'zhu 焦苍术
'jiao'dang'gui 焦当归
'jiao'dao'ya 焦稻芽
