'ba'bi'xiu'luo 八臂修罗
'tian'jian'chong'man'chang'ge'sheng 田间充满唱歌声
'tian'shang'can'yun'dai'yue'fei 天上残云带月飞
'tian'shang'qing'yun'zhu'yu'yun 天上晴云逐雨云
'tian'wu'san'ri'bu'fen'lun 天无三日不焚轮
'ting'ji'ming 听鸡鸣
'ting'shuo'chang'cheng'wan'li'chang 听说长城万里长
'ting'shuo'jin'chun'feng'da'han 听说今春逢大旱
'tong'ku'ji'han'bu'ke'zhi 痛苦饥寒不可支
'tong'zheng'zheng'tong'ping'ma'yu 同正正同平马狱
'tong'zhou'gong'ji'yi'nan'ci 同舟共济义难辞
'tou'lian'dong'hai'wei'xi'jiang 头连东海尾西疆
'tou'shang'jin'xian'yao'xia'zu 头上进贤腰下组
'tu'lu'zhi'duan'chang 途路之短长
'tu'yan'wo'xing'cheng 徒延我行程
'wai'gan'hua'tian'xin'leng're 外感华天新冷热
'wai'xing'ren'ge 外星人歌
'wan'can'chi'le'ri'xi'chen 晚餐吃了日西沉
'wan'jian'jie'fu'gei'ta'shui 晚间解缚给他睡
'wan'jing 晚景
'wan'li'yu'tu'gu'pan'jian 万里舆图顾盼间
'wan'qu'luo'zhou'dong'qiong'hai 宛渠螺舟洞穷海
'wan'ru'wai'guo'wu'xun'guan 宛如外国武勋官
'wan'shui'you'shan'sui'suo'shi 玩水游山随所适
'wan'wan'qu'qu'jie 弯弯曲曲解
'wan'wan'zhang'kai'ba'jiao'tun 晚晚张开把脚吞
'wang'yue 望月
'wei'bing'yao'zhi'ban'gong'men 卫兵遥指办公们
'wei'de'gong'qin'shang'zhan'chang 未得躬亲上战场
'wei'yan'lei'yi'man 未言泪已满
'wen'chong'ju'san'si'fei'ji 蚊虫聚散似飞机
'wen'chong'mi'sheng 闻舂米声
'wen'hua 问话
'wen'wo'gui'qi'zhi'gu'xin 问我归期指谷新
'wo'de'ma'sheng'yi'da'duan 我的麻绳一大端
'wo'gu'jing'bi'shen'tai'qi 我固惊彼神态奇
'wo'jin'qi'jiu'zheng'kang'qiang 我今七九正康强
'wo'lai'zhi'shi'he'shang'qing 我来之时禾尚青
'wo'men'chu'long'bi'kong'xi 我们出笼避空袭
'wo'men'ying'gai'jie'gui'lin 我们应该解桂林
'wo'que'jin'tian'bei'bang'jie 我却今天被绑解
'wo'ye'fang'hua'tuan'yi'bu 我也访华团一部
'wo'zuo'qiu'shi'bai'ji'pian 我做囚诗百几篇
'wu'hou 午后
'wu'hu'fu'jun'xi'fu'jun 呜呼夫君兮夫君
'wu'nai'feng'bo'ping'di'qi 无奈风波平地起
'wu'qian'mei'chu'ke'an'mian 无钳没处可安眠
'wu'ti'er'shou 无题二首
'wu'yan'wu'cai'you'wu'tang 无盐无菜又无汤
'wu'zhi'sui'tong'ku 物质虽痛苦
'wu'zui'er'qiu'yi'yi'zai 无罪而囚已一载
'xi'guang'yin 惜光阴
'xi'jian'lv'chuan 戏柬履川
'xi'jun'song'wo'zhi'jiang'bin 昔君送我至江滨
'xi'mian'peng'cha'ge'sui'bian 洗面烹茶各随便
'xian'dai'shi'zhong'ying'you'tie 现代诗中应有铁
'xian'zai'dong'xi'ge'yi'fang 现在东西各一方
'xian'zai'qiu'shou'ban'yi'cheng 现在秋收半已成
'xian'zai'xin'tian'yi'li'hao 现在新田已犁好
'xian'zai'you'yao'jie'fan'liu 现在又要解返柳
'xian'zhang'shao'deng'ban'gong'shi 县长烧灯办公事
'xian'zhi 限制
'xiang'ge'si'tian'yuan 相隔似天渊
'xiang'jin'zai'zhi'chi 相近在咫尺
'xiang'zai'long'ren'su'bu'ping 向在笼人诉不平
'xiang'zhe'nan'guan'shi'zui'hou 想这难关是最后
'xiao'de'jing'qi'bu'ke'wu 小的旌旗不可无
'xiao'xiao'yi'pian'shi 小小一片石
'xie'po'lu'ni'wu'le'jiao 鞋破路泥污了脚
'xie'shou'tong'xing'ji'xue'shuang 携手同行几雪霜
'xin'chu'yu'xue'deng'shan 新出狱学登山
'xin'huai'gu'guo'qian'tang'lu 心怀故国千塘路
'xin'ru'gui'ye'mi'ru'zhu 薪如桂也米如珠
'xin'sui'qiu'yue'gong'you'you 心随秋月共悠悠
'xing'bu'de'ge'ge 行不得哥哥
'xing'er 幸而
'xing'lai'mian'shang'dai'yu'chou 醒来面尚带余愁
'xing'neng'yue'chu'le'shen'keng 幸能跃出了深坑
'xing'ren'guo'ci'zan'ting'liu 行人过此暂停留
'xing'ren'shi'xing'hu'jia'nong 行人诗兴忽加浓
'xing'san'wu'hou'dang'zai'zao 星三午后当再造
'xing'shi'cai'jue'wo'long'zhong 醒时才觉卧笼中
'xiong'dao'shan'feng'wan'shi'dian 熊到山峰晚十点
'xiong'lue'xiao'shi'zhong'shu'qi 雄略小试终数奇
'xiong'xin'bu'zhi'yi'wen'qian 雄心不值一文钱
'xu'xin'ke'xue'fa'da'yu'ming'zhi 须信科学发达愈明智
'xue'yi'qi 学弈棋
'xue'zhong'song'tan'sui'ran'shao 雪中送炭虽然少
'xun'guan'de'shi'jin'si'xian 勋官的是金丝线
'yan'guang'ying'da'xin'ying'xi 眼光应大心应细
'yan'jian'gui'zhu'she'bu'de 眼见桂珠赊不得
'yan'jin'ci'jian'hen'li'hai 烟禁此间很厉害
'yan'zhi'bi'bu'jing'wo'xing'hai'guai 焉知彼不惊我形骸怪
'yao'ru'ren'yu'zui 要入人予罪
'yao'wang'nan'tian'yi'gu'ren 遥望南天忆故人
'ye'ban'wen'ku'fu 夜半闻哭夫
'ye'jing 野景
'ye'lai'jin'ri'you'ming'chao 夜来今日又明朝
'ye'leng 夜冷
'ye'reng'hei'an'yi'deng'cheng 夜仍黑暗已登程
'ye'su'long'quan 夜宿龙泉
'ye'wan'chang'chang'wu'wei'ji 夜晚尝尝五味鸡
'ye'ye'ku'xiang'feng 夜夜苦相逢
'yi'ban'xiao'sa'yue'ming'zhong 一般潇洒月明中
'yi'chang'an'shi'shou 忆长安十首
'yi'chuan'mao'lu'shi'jiu'lou 一椽茅庐是酒楼
'yi'ci'ji'ti'ye'wei'lan 一次鸡啼夜未阑
'yi'ge'du'fan'ying'le 一个赌犯硬了
'yi'geng'er'geng'you'san'geng 一更二更又三更
'yi'jiao'xie'zhi 一角獬豸
'yi'li'da'dao'pang 屹立大道旁
'yi'pen'kai'shui'yin'yi'yuan 一盆开水银一元
'yi'qi'bu'shi'zhou'chao'su 夷齐不食周朝粟
'yi'qi'dao'chu'you'piao'yang 义旗到处又飘扬
'yi'qi'e'si'shou'yang'shan 夷齐饿死首阳山
'yi'ri'qiu 一日囚
'yi'sheng'huan'xing'qun'li'meng 一声唤醒群黎梦
'yi'sheng'zheng'zhi'you'jian'qiang 一生正直又坚强
'yi'shi'duo'shao'ying'hao 一时多少英豪
'yi'shui'hun'hun'ji'ge'zhong 一睡昏昏几个钟
'yi'xin'dan'zuo'qing'yi'se 一心但做清一色
'yi'xin'zhi'xiang'zi'you'jing 一心只想自由境
'yi'yan'yi'dong'bu'zi'zhu 一言一动不自主
'yi'you 忆友
'yi'yuan'mai'wu'de'liu'jiao 一元买物得六角
'yi'zuo'qian'yue'wei'guo'jian 一昨愆约未果践
'yin'wei 因为
'yin'wei'mei'can'wei'you'zhou 因为每餐惟有粥
'yin'wei'qiu'zhong'wu'suo'wei 因为囚中无所为
'yin'wei'ren'wu'zi'you'quan 因为人无自由权
'yin'wei'you'qian'cai'dei'shui 因为有钳才得睡
'ying'fan'yao'zhuan'tian'tian'you 硬犯肴馔天天有
'ying'fang'hua'tuan 英访华团
'ying'jie'sai'lu'jiu'tou'mo 盈街塞路九头魔
'ying'mian'qiu'feng'zhen'zhen'han 迎面秋风阵阵寒
'yong'wan'li'chang'cheng 咏万里长城
'you'an'can'yu'sao'yi'kong 幽暗残余扫一空
'you'an'jing'xi'jin'bi'shi 幽暗靖西禁闭室
'you'bei'jing'bing'zhuo'hui'lai 又被警兵捉回来
'you'bu'jian'shi'da'ling 又不见史大令
'you'jie'fan'wu'ming 又解返武鸣
'you'ren'song'fan'chi'de'bao 有人送饭吃得饱
'you'wu'you'wu'lai'tian'wai 有物有物来天外
'you'xiang'jie'shang'mai'ang'pu 又像街上买盎铺
'you'yi'ge 又一个
'yu'cheng'da'shi'ye 欲成大事业
'yu'chuang'jin'zhang'ren'zhi'fou 玉床锦帐人知否
'yu'ding'qie'wo'zhi'shi'de 狱丁窃我之士的
'yu'li'du'bo'ke'gong'kai 狱里赌博可公开
'yu'li'xian'ren'xian'yao'ming 狱里闲人闲要命
'yu'li'xu'duo'ren'bu'mian 狱里许多人不眠
'yu'ling'ta'men'hui'qian'fei 欲令他们悔前非
'yu'yuan'dai'biao'yue'nan'min 余原代表越南民
'yu'zhong'hai'bing'zhen'xin'ku 狱中害病真辛苦
'yu'zhong'hu'ting'si'xiang'qu 狱中忽听思乡曲
'yu'zhong'jia'ge'ding'zhao'ran 狱中价格定昭然
'yu'zhong'jiu'fan'ying'xin'fan 狱中旧犯迎新犯
'yu'zhong'liu'zhu'zi'you'ren 狱中留驻自由人
'yu'zhong'ren'ye'shang'zhong'qiu 狱中人也赏中秋
'yu'zhong'ri'ji 狱中日记
'yu'zhong'sheng'huo 狱中生活
'yu'zhong'wu'jiu'yi'wu'hua 狱中无酒亦无花
'yu'zhong'wu'shui'zhen'shu'fu 狱中午睡真舒服
'yuan'si'zhong'sheng'cui'ke'bu 远寺钟声催客步
'yue'cong'chuang'xi'wang'shi'jia 月从窗隙望诗家
'yue'you'sao'dong 越有骚动
'yue'zhao'ting'jiao'zeng'leng'qi 月照庭蕉增冷气
'yun'yong'zhong'shan'shan'yong'yun 云拥重山山拥云
'zai'qiu'reng'xiang'chi'ren'shen 在囚仍想吃人参
'zai'xiang'ren'bao'neng'gan'tong 灾祥仁暴能感通
'zai'yang'ba'wo'lai'duan'lian 灾殃把我来锻炼
'zai'zu'rong'jie'bei'kou'liu 在足荣街被扣留
'zao'jie 早解
'zao'qi'ren'ren'zheng'lie'shi 早起人人争猎虱
'zao'qing 早晴
'zhai'li'du'nian'hua 债里度年华
'zhan'qiang'jue'su'yang'he'feng 欃枪觉宿飏和风
'zhan'zhuan'pai'huai'shui'bu'cheng 辗转徘徊睡不成
'zhang'guan'bu'zhi'ge'li'xu 长官部只隔里许
'zhao'de'quan'shan'chu'chu'hong 照得全山处处红
'zhao'li'chu'lai'zhu'nan'you 照例初来诸难友
'zhao'yang'chuan'guo'long'quan'bu 朝阳穿过笼全部
'zhao'yao'ren'jian'bai'ru'yin 照耀人间白如银
'zhao'zhao'bao'xiao'da'sheng'ti 朝朝报晓大声啼
'zhao'zhe'long'men'men'wei'kai 照着笼门门未开
'zhe'zi 折字
'zhen'shi'ling'ren'men'you'fan 真是令人闷又烦
'zheng'ning'e'kou'si'xiong'shen 狰狞俄口似凶神
'zheng'ren'yi'zai'zheng'tu'shang 征人已在征途上
'zhi'fou'long'zhong'ye'you'xian 知否笼中也有仙
'zhi'guan'qiu'long'he'shi'kai 只管囚笼何时开
'zhi'jian'shan'gao'yu'shui'shen 只见山高与水深
'zhi'lai'yan'chuan'yan 只赖眼传言
'zhi'lao'yan'zhu'liang'bao'qian 知劳延伫良抱歉
'zhi'shao'reng'xu'wu'shi'yuan 至少仍需五十元
'zhi'sheng'zuo'jiao'neng'qu'shen 只剩左脚能屈伸
'zhi'shou'geng'jing'hun 炙手更惊魂
'zhi'wei'long'qian'you'hei'ying 只为笼前有黑影
'zhi'zhan'you'nuan'guo'wu'zhan 纸毡犹暖过无毡
'zhong'cheng'wo'ben'wu'xin'jiu 忠诚我本无心疚
'zhong'hua'kang'zhan'jiang'liu'zai 中华抗战将六载
'zhong'qiu 中秋
'zhong'qiu'qiu'yue'yuan'ru'jing 中秋秋月圆如镜
'zhou'tan 粥摊
'zhu'fan'zhu'cha'you'zhu'cai 煮饭煮茶又煮采
'zhu'le'shi'ba'ge'jian'fang 住了十八个监房
'zhu'lin'pei'dui'xu'tan'xiao 竹林陪对续谈笑
'zhu'lu'fu 筑路夫
'zhu'shen'zhi'dong'wang'gong 主神之东王公
'zhu'yi'guo'fan'liu'mao'qian 煮一锅饭六毛钱
'zhu'you'ren'dan'wo'ren'qian 猪由人担我人牵
'zhuan'hui'tou 转回头
'zhuang'shi'xiang'zheng'fu'zhen'qian 壮士相争赴阵前
'zi'gong'qing'dan'jing'shen'shuang 自供清淡精神爽
'zi'mian 自勉
'zi'wo'de'zhi'shi'yi'chan 自我得之失亦辴
'zi'you'lan'shang'wu'ren'jin 自由览赏无人禁
'zi'you'ri'zi'kuai'lai'lin 自由日子快来临
'zi'you'tian'shang'shen'xian'ke 自由天上神仙客
'zong'heng'bai'he'tan'wei'neng 纵横捭阖贪为能
'zou'bian'gao'shan'yu'jun'yan 走遍高山与峻岩
'zou'lu 走路
'zou'lu'cai'zhi'zou'lu'nan 走路才知走路难
'zu'guo'zhong'nian'wu'xin'xi 祖国终年无信息
'zu'rong'que'shi'yu'meng'ru 足荣却使余蒙辱
'zui'yi'shi'hui'chen 最忆是灰尘
'zui'zai'wei'min'zu'jin'zhong 罪在为民族尽忠
'zuo'le'san'fen 做了三分
'zuo'le'yi'pian'chang'ge'bi 做了一篇长搁笔
'zuo'ye'ta'reng'shui'wo'ce 昨夜他仍睡我侧
