'ai'he'wu'di 爱河无底
'jian'shuo'xin'lai 见说新来
'jian'xiang'xiao'shu'jin 渐香消蜀锦
'jian'zhu'lian'di'juan 渐珠帘低卷
'jiang'hai'qing'zhou'jin'yi'ju 江海轻舟今已具
'jiang'hu'shang 江湖上
'jiang'hu'zui'ke 江湖醉客
'jiang'tian'dan'bi'yun'ru'sao 江天淡碧云如扫
'jiang'tou'lv'an'hong'xi 江头绿暗红稀
'jiang'tou'ri'mu'tong'yin 江头日暮痛饮
'jiang'tou'shu'yu'qing'yan 江头疏雨轻烟
'jiang'tou'yue'di 江头月底
'jiang'zuo'zhan'xing'sheng 江左占形胜
'jiao'can'zhong'wan'guan'shan'lu 角残钟晚关山路
'jiao'qin'san'luo'ru'yun 交亲散落如云
'jie'duan'yan'jin 截断烟津
'jie'hu'ping'chuan 截虎平川
'jie'lian'huan'lei'yan'zhuang'bo 解连环泪掩妆薄
'jie'pei'xiao'xiang 解佩潇湘
'jie'shi'ren'shui'shi'fang'weng 嗟时人谁识放翁
'jie'wen'ci'xing'an'wang 借问此行安往
'jie'yin'qin'liu'ke 解殷勤留客
'jie'you'jin'hao'ying 结友尽豪英
'jin'ba'bi'tao'hua'fu 进罢碧桃花赋
'jin'bei'dao'shou'jun'xiu'su 金杯到手君休诉
'jin'bu'guo'wan'han'chou'jue 禁不过晚寒愁绝
'jin'dao'jin'li'fan'hua 尽道锦里繁华
'jin'de'xin'chang'pa 禁得心肠怕
'jin'fu'du'ling 尽付杜陵
'jin'gu'fei'xing'he'xian 今古废兴何限
'jin'gu'zong'cheng'xu'jia 今古总成虚假
'jin'guan'cheng'li'zhong'xiang'yu 锦官城里重相遇
'jin'jin'sheng 尽今生
'jin'li'fan'hua 锦里繁华
'jin'long'ying'wu'jing'qi 金笼鹦鹉惊起
'jin'lv'xiao'ran 巾履萧然
'jin'lv'yi'kuan'shui'ji'pian 金缕衣宽睡髻偏
'jin'men'zhong'xiao 禁门钟晓
'jin'shu'feng'fang'yan'hu 尽属蜂房燕户
'jin'shu'nan'tuo 锦书难托
'jin'xiu'cong'zhong 锦绣丛中
'jin'xiu'cong'zhong'xiang'yu 锦绣丛中相遇
'jin'ya'wei'wen'xiang'piao'miao 金鸭微温香缥缈
'jin'ya'yu'xiang'shang'nuan 金鸭馀香尚暖
'jin'yan'jiang'jin 禁烟将近
'jin'yin'chu'zhan'qing'xiao'se 锦茵初展情萧瑟
'jin'zhao'yi'sui'da'jia'tian 今朝一岁大家添
'jin'zhi'ci 今至此
'jin'zuo'ta'bie'you'liu'xin 尽做它别有留心
'jing'can'gu'meng 惊残孤梦
'jing'chun'bian'lei 经春边垒
'jing'hu'fu'yang'liang'qing'tian 镜湖俯仰两青天
'jing'hu'xi'pan'qiu'qian'qing 镜湖西畔秋千顷
'jing'hu'yuan'zi'shu'xian'ren 镜湖元自属闲人
'jing'li'xin'shuang'kong'zi'min 镜里新霜空自悯
'jing'li'zhu'yan 镜里朱颜
'jing'lian'yan'yue 镜奁掩月
'jing'liu'zhuan 惊流转
'jing'shu'bu'dao'tian'ya 京书不到天涯
'jing'sui'luo'yang'cheng 经岁洛阳城
'jing'xiang'ya'cheng'si'chun 粳香雅称丝莼
'jing'yin'xian'yong 静吟闲咏
'jing'yin'yin 静愔愔
'jing'yuan'fen'xiang 静院焚香
'jing'yuan'xuan'chuang'xi'dui'qi 静院轩窗夕对棋
'jing'zhao'mei'can 京兆眉残
'jing'zhong'tian'bin'si 镜中添鬓丝
'jing'zhuang'zhi'cheng'xu 惊壮志成虚
'jiu'bo'zen'dang'chou'yan 酒薄怎当愁酽
'jiu'bu'dao 酒不到
'jiu'cheng'xiao'suo 酒酲萧索
'jiu'lan'shi'bai'ju'chui'yan 酒阑时百炬吹烟
'jiu'lu'qian 酒垆前
'jiu'ru'qing'lu'zha'ru'hua 酒如清露鲊如花
'jiu'she'diao'ling 旧社凋零
'jiu'tu'yi'ban'qu'feng'hou 酒徒一半取封侯
'jiu'tu'yun'san 酒徒云散
'jiu'yin'hong'chen 酒隐红尘
'jiu'yu'cui'cheng'xin'lv 鸠雨催成新绿
'ju'fan'li'he 句翻离合
'ju'san'yu'zhou'liang'fu'san 聚散渔舟两复三
'ju'shi'chen'ji 俱是陈迹
'ju'you'xiao'ran'yi 俱有萧然意
'juan'ba'huang'ting'wo'kan'shan 卷罢黄庭卧看山
'juan'can'hong'ru'sao 卷残红如扫
'juan'ke'ping'sheng'xing'chu 倦客平生行处
'jue'ai'shan'cheng'wu'shi 绝爱山城无事
'jue'lai'lei'liu'ru'xie 觉来泪流如泻
'jun'gui'wei'bao'jing'hua'jiu 君归为报京华旧
'jun'ji'qu'feng'hou'shi'zai 君记取封侯事在
'jun'jia'su'luan'cong 君驾素鸾从
'jun'kan'bian'qian'ru'xu 君看变迁如许
'jun'ke'yao'ji 俊客妖姬
'jun'shu'rui'dian'yun'pian 君书蕊殿云篇
'jun'zhi'fou 君知否
'kan'bei'chu 堪悲处
'kan'chao'ping 看潮平
'kan'chao'sheng 看潮生
'kan'chong'yang'yao'shi 看重阳药市
'kan'chou 堪愁
'kan'gu'ren'qiang'ban 看故人强半
'kan'ji'fei'teng'su 看即飞腾速
'kan'jie'meng'bu'you'ren'zuo 堪嗟梦不由人做
'kan'jin'an'zheng'dao 看金鞍争道
'kan'jin'ba'shan'kan'shu'shan 看尽巴山看蜀山
'kan'jing'bo'tun'ri 看鲸波暾日
'kan'jing'yi'lou'ju'yi'yi 看镜倚楼俱已矣
'kan'long'she'fei'luo'man'jian 看龙蛇飞落蛮笺
'kan'peng'lai'chun'se 看蓬莱春色
'kan'po'kong'hua'chen'shi 看破空花尘世
'kan'ren'jian'fu'yang 看人间俯仰
'kan'shan'wu'chong'shu 看山无重数
'kan'tan'chu 堪叹处
'kan'tan'xin'qing'quan'jian 堪叹心情全减
'kan'xi'yang'ou'lu 看夕阳鸥鹭
'kan'xian'fang'shen'yuan 看闲坊深院
'kan'yan'hua'kai'luo 看岩花开落
'kan'zhe'chun'guang'you'mu 看着春光又暮
'kan'zhong'ting 看中庭
'ke'jin'zhu'lei 客襟贮泪
'ke'lu'ku'si'gui 客路苦思归
'ke'lu'xiao'xiao'liang'bin'qiu 客路萧萧两鬓秋
'ke'shao'xian'tan'chen 客少闲谈尘
'ke'zhong'sui'chu'xian'xiao'men 客中随处闲消闷
'ke'zhong'wu'ban'pa'jun'xing 客中无伴怕君行
'ke'zhong'you'hai'guo'she 客中又还过社
'keng'ran'hu'bian'chi'long'fei 铿然忽变赤龙飞
'kong'chang'wang 空怅望
'kong'hua'zuo'meng'xiu'xun'mi 空花昨梦休寻觅
'kong'ji'yi'du'qu'chi'tai 空记忆杜曲池台
'kong'jiang'qiu'yue'ming 空江秋月明
'kong'sang'tian'zhen 空丧天真
'kong'shi'jun'gui'qu'shang'luan'po 恐使君归去上銮坡
'kong'xian'hua'tang'ying'wu 空羡画堂鹦鹉
'kong'yi'qian'shen 空忆前身
'ku'hai'wu'bian 苦海无边
'kua'wan'li'qin'wu 跨万里秦吴
'kuai'mei'gu'xiang 鲙美菰香
'kuang'ban'shi'piao'ran'ji'lv 况半世飘然羁旅
'kuang'fen'fen'rong'ru 况纷纷荣辱
'kuang'juan'ke'piao'ling'shao'jiu'peng 况倦客飘零少旧朋
'kuang'ken'dao'hong'chen'shen'chu 况肯到红尘深处
'kuang'wo'jin'nian 况我今年
'kuang'yan'lian'wu'hen 况烟敛芜痕
'la'feng'ye'ban'chuan'xi 蜡封夜半传檄
'la'ji'deng'shan'zhen'shuai'yin 蜡屐登山真率饮
'la'jin'chun'chu'po 腊尽春初破
'lai'fu'song'yu'gao'tang 来赋宋玉高唐
'lai'xun'xiao'tai'long'xiu 来寻啸台龙岫
'lan'cheng'jiu'lv 兰成久旅
'lan'fang'xiu'hu'yan'yan'bing 兰房绣户厌厌病
'lan'gan'ji'qu'gao'zhai'lu 栏干几曲高斋路
'lan'gao'xiang'ran'yun'huan'ni 兰膏香染云鬟腻
'lan'meng'wu'ping 兰梦无凭
'lan'shan'da'ma'xin'qing 阑珊打马心情
'lan'shang'qiu'qian 懒上秋千
'lan'shao'dan 懒烧丹
'lan'ting'dao'shang'duo'xiu'zhu 兰亭道上多修竹
'lan'xiang'qing'men'xue'zhong'gua 懒向青门学种瓜
'lan'xiang'sha'tou'zui'yu'ping 懒向沙头醉玉瓶
'lang'han'yi'feng'zou'ba 琅函一封奏罢
'lang'ji'ren'jian 浪迹人间
'lang'tao'sha'dan'yang'fu'yu'ting'xi'shang'zuo 浪淘沙丹阳浮玉亭席上作
'lao'ban'wu'duo 老伴无多
'lao'guan'ren'jian'qi'de'sang 老惯人间齐得丧
'lao'lai'ju'xi'qin'qin'du 老来驹隙骎骎度
'lao'que'xin'feng'ying'jun 老却新丰英俊
'lao'que'ying'xiong'si'deng'xian 老却英雄似等闲
'lei'hen'hong'yi'jiao'xiao'tou 泪痕红浥鲛绡透
'lei'hen'shen 泪痕深
'lei'jin'liang'he'zheng'zhen 泪尽两河征镇
'lei'kong'liu 泪空流
'lei'yan'zhuang'bo 泪淹妆薄
'lei'yu'si'shan'hei 雷雨四山黑
'lei'zi'wu'ling 泪渍吴绫
'leng'luo'qiu'qian'ban'lv 冷落秋千伴侣
'li'li'fang'cao'chang'ting'mu 离离芳草长亭暮
'li'zi'fu'shu 荔子扶疏
'lian'bu'wen'yin'zhu'fen'hang 莲步稳银烛分行
'lian'shan'ru'hua 连山如画
'lian'wai'cu'hua'shuang'yan 帘外蹴花双燕
'lian'xia'you'ren'tong'jian 帘下有人同见
'lian'xian'xi'yu'chu'qing 廉纤细雨初晴
'lian'xiao'feng'yu 连宵风雨
'lian'xiu'qin'bu'xi'diao'qiu'huan'diao'peng 恋绣衾不惜貂裘换钓篷
'lian'xiu'qin'wu'fang'neng'zhu'lian'shang'hong 恋绣衾无方能驻脸上红
'lian'xiu'qin'yu'duan'xi'shan'wan'zhao'ming 恋绣衾雨断西山晚照明
'liang'an'bai'pin'hong'liao 两岸白蘋红蓼
'liang'kong'yan'wei'chao 梁空燕委巢
'liang'yan'cui'qi'you'yong 梁燕催起犹慵
'liao'hua'hong 蓼花红
'liao'qiao'yu'han'you'li 料峭馀寒犹力
'liao'ran'fei'fu'chen'jing 寥然非复尘境
'liao'shi'fu'li'shou 聊试扶犁手
'liao'tan'bian 蓼滩边
'liao'ye'ji'qian'nian'cui'hu 料也记前年崔护
'liao'ye'xiu'qiao'cui 料也羞憔悴
'liao'ye'ying'hong'lei'ban'qiu'lin 料也应红泪伴秋霖
'lin'ba'lan'ting'wu'yi'shi 临罢兰亭无一事
'lin'chuang'kan'jing 临窗看镜
'lin'hong'bu'ji'liao'dong'xin 鳞鸿不寄辽东信
'lin'jiang'wu'chu 临江舞处
'lin'jiang'xian'li'guo'zhou'zuo 临江仙离果州作
'lin'li'zui'mo 淋漓醉墨
'lin'nuan'ming'qin 林暖鸣禽
'lin'qian'lai 临浅濑
'lin'qu'chang'chi'jiu 邻曲常持酒
'lin'qu'hua'lou'pin'yi 临去画楼频倚
'lin'ying'chao'yan'zong'wu'sheng 林莺巢燕总无声
'lin'zhuang'chang'wan 临妆常晚
'ling'chang'yao'wen'yan'wai'sheng 菱唱遥闻烟外声
'ling'luan'sai'hong'qing'ying 零乱塞鸿清影
'ling'luo'cheng'ni'nian'zuo'chen 零落成泥碾作尘
'ling'luo'jin'qiang'wei'yi'jia 零落尽蔷薇一架
'ling'qian'si'shi'zu 菱芡四时足
'ling'san'mu 菱三亩
'liu'lang'kan'cheng'bai'lou'chuan 流浪看成百漏船
'liu'lang'yi'wang'gu'yue 刘郎已忘故约
'liu'ling'mu 刘伶墓
'liu'mian'chi'ge 柳绵池阁
'liu'nian'gai 流年改
'liu'nian'ji'hen'liang'xiang'cui 流年羁恨两相催
'liu'qing'lei 流清泪
'liu'shao'qing'jin'li'fan'hua 柳梢青锦里繁华
'liu'shao'qing'shi'zai'jiang'hu 柳梢青十载江湖
'liu'xu'yu'qian 柳絮榆钱
'liu'yin'zhong 柳阴中
'liu'ying'bai'zhuan'lin'duan 流莺百啭林端
'liu'ying'yu 流莺语
'lou'qian'li'zi'chui'hua 楼前荔子吹花
'lou'sheng'duan'yue'xie'chuang'zhi 漏声断月斜窗纸
'lu'hua'leng 露华冷
'lu'leng'tou'yao'zan 露冷透瑶簪
'lu'lian'chun'ni 路敛春泥
'lu'ou'ya 橹呕哑
'lu'zhan'cao 露沾草
'luan'hong'fei'jin'lv'cheng'yin 乱红飞尽绿成阴
'luan'shan'gu'lei 乱山孤垒
'luan'yun'shen'chui'xia'mu'zhong 乱云深吹下暮钟
'lue'an'fei'hua 掠岸飞花
'lue'di'chuan'lian 掠地穿帘
'lun'xin'kong'juan'juan 论心空眷眷
'luo'cheng'ying'sun'zheng'dang'shi 洛城樱笋正当时
'luo'mei'cun'lan'yu'ye'guo 落梅村篮舆夜过
'luo'shui'qin'guan'qian'gu'hou 洛水秦关千古后
'lv'chuang'xie'ri'pian'ming 绿窗斜日偏明
'lv'dong'xuan'cong 绿动萱丛
'lv'shu'an'chang'ting 绿树暗长亭
'lv'si'qiu'guang 旅思秋光
'lv'suo'qing'ruo 绿蓑青箬
'lv'yun'dui'yi'zhen 绿云堆一枕
'mai'duan'yan'bo'bu'yong'qian 买断烟波不用钱
'mai'yu'gu'jiu'zui'hai'xing 卖鱼沽酒醉还醒
'mai'yu'sheng'pa'jin'cheng'men 卖鱼生怕近城门
'man'bei'ge'shang'huai'diao'gu 漫悲歌伤怀吊古
'man'cai'hong'dian'cui 漫裁红点翠
'man'cheng'chun'se'gong'qiang'liu 满城春色宫墙柳
'man'fu'shi'shu'bu'zhi'qian 满腹诗书不值钱
'man'jiang'hong'shu'rui'you'xiang 满江红疏蕊幽香
'man'jiang'hong'wei'die'zhu'lan 满江红危堞朱栏
'man'jin'de'mei'hua 漫禁得梅花
'man'kong'xiang'chen 漫空相趁
'man'lao'shu'jian 谩劳书剑
'man'lu'you'si'fei'xu 满路游丝飞絮
'man'ping'gao'huai'yuan 谩凭高怀远
'man'wan'dian'ru'xue 漫万点如血
'man'xi'zi'shu'man'fang'jian 漫细字书满芳笺
'man'yi'lou'heng'di 漫倚楼横笛
'man'yi'shi'wu'cheng'shuang'bin'qin 漫一事无成霜鬓侵
'man'yong'yu'xiang 漫拥馀香
'man'yuan'lv'yang'fang'cao 满院绿杨芳草
'man'zhuo'yu'hu'hua'lu 满酌玉壶花露
'mang'mang'meng'jing 茫茫梦境
'mang'ri'ku'duo'xian'ri'shao 忙日苦多闲日少
'mao'yan'feng'ruan 帽檐风软
'mao'yan'ren'jing 茅檐人静
'mei'yi'wai 梅驿外
'men'yi'ying'sun 闷已萦损
'meng'bi'qiao'tou'ting'zi'heng 梦笔桥头艇子横
'meng'duan'gu'guo'shan'chuan 梦断故国山川
'meng'hun'nan'mi 梦魂难觅
'meng'jing'luo'pu'liang'yuan 梦经洛浦梁园
'meng'li'jing'hu'yan'yu 梦里镜湖烟雨
'meng'po'nan'lou 梦破南楼
'meng'ruo'you'ren'he'chu'qu 梦若由人何处去
'meng'you'chu'bu'zhi'he'di 梦游处不知何地
'mi'chuan'yi'zi'shen'xian'jue 秘传一字神仙诀
'mi'ge'you'yuan'ren 觅个有缘人
'mian'cang'ran 面苍然
'ming'ri'you'cheng'feng'qu 明日又乘风去
'ming'yu'han'jiang'liu 名与汉江流
'ming'yue'mei'shan'di'ye 明月梅山笛夜
'mo'he'chi'shang'zhui'you'lu 摩诃池上追游路
'mo'mie'you'ren'wu'shu 磨灭游人无数
'mo'mo'gu'yun'wei'cheng'yu 漠漠孤云未成雨
'mo'pa'gong'ming'qian'ren'zuo 莫怕功名欠人做
'mo'shan'xi'song'bo'li 蓦山溪送伯礼
'mo'shan'xi'you'san'rong'long'dong 蓦山溪游三荣龙洞
'mo'shang'xiao'sheng'han'shi'jin 陌上箫声寒食近
'mu'duan'dan'ri'ping'wu 目断淡日平芜
'mu'feng'hou'ding'yuan 慕封侯定远
'mu'lan'hua'li'chun'ri'zuo 木兰花立春日作
'mu'lan'hua'man'ye'deng'qing'cheng'shan'yu'hua'lou 木兰花慢夜登青城山玉华楼
'mu'nian'xun'ye 暮年勋业
'mu'qiu'feng'yu'ke'yi'han 暮秋风雨客衣寒
'mu'shan'qing 暮山青
'mu'xia'ming 暮霞明
'mu'yan'qian'zhang 暮烟千嶂
'na'geng'dong'lao'wu'li 那更冻醪无力
'na'geng'jian'xun'feng'yu 那更兼旬风雨
'na'geng'jin'nian 那更今年
'na'geng'shi 那更是
'na'kan'duo'bing 那堪多病
'na'kan'geng'kan 那堪更看
'na'kan'geng'shi 那堪更是
'na'si'huan'you'shi 那似宦游时
'na'xie'rou'qing'fang'yan 那写柔情芳艳
'na'zhi'yuan'ju'nan'gong 那知怨句难工
'nai'hua'yue'shao'dan 奈华岳烧丹
'nai'hui'jin'peng'cheng 奈回尽鹏程
'nai'jiao'he 奈娇何
'nai'juan'ke 奈倦客
'nai'you'meng'bu'cheng'hai'qi 奈幽梦不成还起
'nai'zhong'men'jing'yuan 奈重门静院
'nan'ge'zi'song'zhou'ji'yi'zhi'yi'chang 南歌子送周机宜之益昌
'nan'jiu'yi 难久倚
'nan'pu'zhou'zhong'liang'yu'ren 南浦舟中两玉人
'nan'qiu'xi'ri'chang'sheng 难求系日长绳
'nan'ru'ren'yi 难如人意
'nan'suo'chang'jiang'duan 难锁长江断
'nan'wang 难忘
'nan'xiang'zi'gui'meng'ji'wu'qiang 南乡子归梦寄吴樯
'nan'xiang'zi'zao'sui'ru'huang'zhou 南乡子早岁入皇州
'ni'hao'zao'shou'xin'he 你嚎早收心呵
'ni'mi'shuang'yu 拟觅双鱼
'nian'ci'ji'fu'yu 念此际付与
'nian'guo'qi'shi'chang'xi 年过七十常稀
'nian'lai'xiang'zhuo'shi'li 年来向浊世里
'nian'lei'lei'ku'zhong 念累累枯冢
'nian'yuan'chou'chang 念远愁肠
'nian'zhao'wu 拈棹舞
'niao'niao'ling'ge 袅袅菱歌
'niao'niao'ping'ping'bu'zi'chi 嫋嫋娉娉不自持
'ning'chou'chu 凝愁处
'ning'hen'yong'shu'xi 凝恨慵梳洗
'nong'bi'xie'xing'xiao'cao 弄笔斜行小草
'ou'lu'gong'wang'ji 鸥鹭共忘机
'pa'ge'chou'wu'lan'feng'ying 怕歌愁舞懒逢迎
'pa'hai'cheng'shu'suo 怕还成疏索
'pa'ti'ying'jian 怕啼莺见
'pan'le'wei'yi 拚了为伊
'pen'kou'fang'chuan'gui 湓口放船归
'peng'chuang'deng'an 蓬窗灯暗
'peng'qiao'ou'chong'you 蓬峤偶重游
'pi'ma'shu'liang'zhou 匹马戍梁州
'pian'gong'shui'xiang'yi 偏共睡相宜
'pian'pian'qing'ou'luo'wan'sha 片片轻鸥落晚沙
'pian'zhou 扁舟
'pian'zhou'he'ri'xun'xiong'di 扁舟何日寻兄弟
'piao'ling'yi'shi'wu'yan'se 飘零已是无颜色
'piao'ran'zai'guo'lian'feng'xia 飘然再过莲峰下
'pin'feng'chui'jiu'xing 蘋风吹酒醒
'pin'hua'ling'luo'chun'si'lao 蘋花零落莼丝老
'pin'ye'lv 蘋叶绿
'ping'dan'chu'qin'guan 平旦出秦关
'ping'di'shi 平地是
'ping'gao'lei'jiu 凭高酹酒
'ping'gao'mu'duan'tian'ya 凭高目断天涯
'ping'gao'wang'duan'nan'lou'xin 凭高望断南楼信
'ping'ji'yu'jing'hua'jiu'lv 凭寄语京华旧侣
'ping'jian'xie'shou 凭肩携手
'ping'jiao'hou'yuan'hong'ya'ban 凭教后苑红牙版
'ping'lan'jiu 凭栏久
'ping'qiao'xi'ma 平桥系马
'ping'sheng'hao'ju'shao'nian'chang 平生豪举少年场
'ping'shui'chi'ji 凭谁持寄
'ping'ting'chu'shi'ou'si'shang 娉婷初试藕丝裳
'ping'zhang'feng'yue 平章风月
'po'jin'qing'shan'chen'man'mao 破尽青衫尘满帽
'po'zhen'zi'kan'po'kong'hua'chen'shi 破阵子看破空花尘世
'po'zhen'zi'shi'zhi'qian'zhong'liang'yi 破阵子仕至千钟良易
'pu'sa'man'jiang'tian'dan'bi'yun'ru'sao 菩萨蛮江天淡碧云如扫
'pu'sa'man'xiao'yuan'can'mian'chun'yu'lao 菩萨蛮小院蚕眠春欲老
'qi'jing'yun'lu'dao'jing 骑鲸云路倒景
'qi'liang 凄凉
'qi'liang'sai'guan 凄凉塞管
'qi'liang'you'zuo'ta'xiang'ke 凄凉又作他乡客
'qi'ling'song'hua 气凌嵩华
'qi'mo'xi'chen'chu'jing 绮陌细尘初静
'qi'ran'hui'shou'chu 凄然回首处
'qi'shi'shuai'weng 七十衰翁
'qi'tian'le'san'rong'ren'ri'you'long'dong'zuo 齐天乐三荣人日游龙洞作
'qi'tian'le'zuo'mian'dao'zhong 齐天乐左绵道中
'qi'ya'qiang 起牙樯
'qi'zhu'xiang'che 齐驻香车
'qia'cheng'qiu'wen'xin'dai 恰称球纹新带
'qia'si'shuai'weng'yi'shi'zhong 恰似衰翁一世中
'qia'xi'jin 恰洗尽
'qia'zhan'qing'jiang'kou 恰占清江口
'qian'chong'lang 千重浪
'qian'chuan'shu 倩传书
'qian'dai'jiao'chan'feng'tiao'bie 浅黛娇蝉风调别
'qian'hua'xi'jin 铅华洗尽
'qian'jin'gu'jiu'chou'chun'feng 千金沽酒酬春风
'qian'li'gu'zhou 千里孤舟
'qian'li'xie'yang'zhong'yu'ming 千里斜阳钟欲暝
'qian'li'yao'ge'jia 千里曜戈甲
'qian'quan'nan'wang'dang'ri'yu 缱绻难忘当日语
'qian'shuang'yan'shuo'yu'xiang'si 倩双燕说与相思
'qian'shui'wen'de 倩谁问得
'qian'xiao'jiao'pin 倩笑娇颦
'qian'yan'gao'wo 千岩高卧
'qiang'tou'liu'an 墙头柳暗
'qiao'bu'jian'jiang'dong'xiao'xi 悄不见江东消息
'qiao'cui'ru'jin'shui'ling'lue 憔悴如今谁领略
'qiao'cui'you'chuang'xia 憔悴幽窗下
'qiao'feng'wen 樵风稳
'qiao'han'xin'tui 峭寒新退
'qiao'ran'pin'dong'zhuang'you'nian 悄然频动壮游念
'qiao'ru'hong 桥如虹
'qiao'wu'ren'you'meng'zi'jing 悄无人幽梦自惊
'qiao'wu'yan'hun'xiao'chang'duan 悄无言魂消肠断
'qie'diao'gan'yu'ting 且钓竿渔艇
'qie'fang'ge'xian'dan'jing 且访葛仙丹井
'qie'kan'shi'lou'gu'jiu 且看市楼沽酒
'qie'mo'qian'cheng'jia'cui'qu 且莫遣城笳催去
'qie'xi'gui'lai'wu'yang 且喜归来无恙
'qie'zuo'di'xing'xian 且作地行仙
'qin'xiang'zi'huang'xiang'an 亲向紫皇香案
'qin'yuan'chun'gu'he'gui'fei 沁园春孤鹤归飞
'qin'yuan'chun'san'rong'heng'xi'ge'xiao'yan 沁园春三荣横溪阁小宴
'qin'yuan'chun'yi'bie'qin'lou 沁园春一别秦楼
'qin'zheng'xie'yan 秦筝斜雁
'qing'chou'zi'zui 清愁自醉
'qing'cong'zheng'yao'jin'pei 青骢正摇金辔
'qing'ge'sheng'li 清歌声里
'qing'hai'ji 青海际
'qing'jing'li 清镜里
'qing'kan'han'dan'dang'ri'meng 请看邯郸当日梦
'qing'lei'yi'luo'jin 清泪浥罗巾
'qing'luan'su'yue 青鸾遡月
'qing'men'jun'you'shui'ji 青门俊游谁记
'qing'run'yu'yu'tian 清润雨馀天
'qing'shan'chu'ru'jiu'chong'cheng 青衫初入九重城
'qing'shan'di'cui'shui'ruo'lan 晴山滴翠水挼蓝
'qing'shang'yuan'jia'meng'yi'zuo 清商怨葭萌驿作
'qing'shi'gong'ming 青史功名
'qing'xi'kan'he 青溪看鹤
'qing'yin'qing'run 轻阴清润
'qing'yu'wan'yu'zhu'jing'can'hui'bei'ling 青玉案与朱景参会北岭
'qing'zhi'yan'yu'nan'chuan'hen 情知言语难传恨
'qing'zhou'ba'chi 轻舟八尺
'qing'zhou'xia'xue'tan 轻舟下雪滩
'qing'zi'lv'yin'shi 青子绿阴时
'qiong'shan'gu'lei 穷山孤垒
'qiong'zhang'chuan'lin'zi'zai'xing 筇杖穿林自在行
'qiong'zhi'wei'bu 筇枝微步
'qiu'bo'mei'ceng'san'tian'hua'rui'zhu'gong 秋波媚曾散天花蕊珠宫
'qiu'bo'mei'qiu'dao'bian'cheng'jiao'sheng'ai 秋波媚秋到边城角声哀
'qiu'dao'bian'cheng'jiao'sheng'ai 秋到边城角声哀
'qiu'feng'shuang'man'qing'qing'bin 秋风霜满青青鬓
'qiu'feng'you'qi 秋风又起
'qiu'qian'mo 秋千陌
'qiu'tian'wen'she 求田问舍
'qiu'wan'diao'xiao'xiang 秋晚钓潇湘
'qiu'xiao'shang'lian'feng 秋晓上莲峰
'qu'jiang'chi'guan 曲江池馆
'qu'qu'zui'yin'gao'wo 去去醉吟高卧
'qu'tang'shui'luo 瞿唐水落
'qu'tui'shui'mo'shi'wan 驱退睡魔十万
'qu'zuo'yang'tai'chun'xiao 去作阳台春晓
'quan'lie'pian'yi'xue'ming 泉冽偏宜雪茗
'que'fan'pian'zhou'wu'chu 却泛扁舟吴楚
'que'guo'peng'hu'xiao'ao 却过蓬壶啸傲
'que'kong'ta'xiang'sheng'gu'xiang 却恐他乡胜故乡
'que'qiao'xian'hua'deng'zong'bo 鹊桥仙华灯纵博
'que'qiao'xian'ye'wen'du'juan 鹊桥仙夜闻杜鹃
'que'qiao'xian'yi'gan'feng'yue 鹊桥仙一竿风月
'que'qing'pin 却轻颦
'que'zi'kong'shuo'zhe 却自恐说着
'ran'jin'hu'bian'shu 染尽湖边树
'ran'ran'nian'hua'liu'bu'zhu 冉冉年华留不住
'ren'dong'xi'nan'bei 任东西南北
'ren'gong'mei'hua 人共梅花
'ren'ji'feng'ying'chu 忍记逢迎处
'ren'jian'ding'wu'ke'yi 人间定无可意
'ren'jian'he'chu'wu'chun'dao 人间何处无春到
'ren'jian'wu'yao'zhu'liu'guang 人间无药驻流光
'ren'jiao'shuang'dian'xiang'si'bin 忍教霜点相思鬓
'ren'jin'guai 人尽怪
'ren'jing 人静
'ren'juan'lan'yao'tuan'shan 人倦懒摇团扇
'ren'kong'shou 人空瘦
'ren'qing'jian'guan 人情见惯
'ren'ren'dao'cuo 任人道错
'ren'sheng'nan'liao 人生难料
'ren'sheng'shui'neng'liao 人生谁能料
'ren'shi'chun'feng'bu'guan 任是春风不管
'ren'shuai'can 任衰残
'ren'shui'xu 人谁许
'ren'wu'xu'shi'qing'jiang'lue 人误许诗情将略
'ren'zheng'si 人正似
'ri'wang'zhong'xing'yun 日望中兴运
'ru'chuan'hua'zhu 如椽画烛
'ru'jin'he'chu'ye 如今何处也
'ru'jin'he'xing 如今何幸
'ru'jin'shu'ji 如今熟计
'ru'meng'ling'du'yi'bo'shan'feng'xiao 如梦令独倚博山峰小
'sa'lin'feng'qing'lei 洒临风清泪
'sa'qing'lei 洒清泪
'sai'yue'zheng'chen 塞月征尘
'san'bei'jing'zui 三杯径醉
'san'geng'leng'cui'zhan'yi'shi 三更冷翠沾衣湿
'san'guan'qing'wei'ying'ru'gu 散关清渭应如故
'san'nian'liu'luo'ba'shan'dao 三年流落巴山道
'san'qian'jie'wai'gui'chu'dao 三千界外归初到
'san'shan'lao'zi'zhen'kan'xiao 三山老子真堪笑
'san'shan'shan'xia'xian'ju'shi 三山山下闲居士
'san'shan'xiang'xin'cui'ruo'peng 三扇香新翠箬篷
'san'shi'nian'jian 三十年间
'san'shi'nian'lai'zhen'yi'meng 三十年来真一梦
'sao'jin'shi'chao'chen'ji 扫尽市朝陈迹
'sha'can'luan'he 铩残鸾翮
