'a'luo'han'dou 阿罗汉豆
'xian'guo'tu 鲜锅兔
'xian'jian'er 咸件儿
'xian'jiao'tu 鲜椒兔
'xian'mo'hui'ge'dan 鲜蘑烩鸽蛋
'xian'mo'tang'pao'du 鲜蘑汤泡肚
'xian'shao'bai 咸烧白
'xiang'cheng'chong'cao'ya 香橙虫草鸭
'xiang'dong'rou 鲞冻肉
'xiang'gu'ban'li 香菇板栗
'xiang'gu'dun'ji 香菇炖鸡
'xiang'gu'he 香菇盒
'xiang'kou'ji 鲞扣鸡
'xiang'la'bei 香辣贝
'xiang'la'ma'ren'yu'tiao 香辣麻仁鱼条
'xiang'la'niu'rou'mian 香辣牛肉面
'xiang'la'xia 香辣虾
'xiang'la'xie 香辣蟹
'xiang'ma'da'pai 香麻大排
'xiang'peng'xiao'qing'xia 香烹小青虾
'xiang'tao'an'chun'dan 香桃鹌鹑蛋
'xiang'xi'suan'rou 湘西酸肉
'xiang'yan'ge'dan 象眼鸽蛋
'xiang'you'shan'hu 响油鳝糊
'xiang'yu'kou'rou 香芋扣肉
'xiao'fang'gao 小方糕
'xiao'hai'su 小孩酥
'xiao'long'man'tou 小笼馒头
'xie'jia'huang'liang'fen 谢家黄凉粉
'xin'feng'man'xiang 新风鳗鲞
'xin'yi'kun'xiang'ti 新沂捆香蹄
'xiong'ying'zhan'chi 雄鹰展翅
'xiu'qiu'gan'bei 绣球干贝
'xu'hai'cai 徐海菜
'xu'zhou'san'li 徐州三鲤
'xu'zhou'si'kong'li'yu 徐州四孔鲤鱼
'xue'cai'da'tang'huang'yu 雪菜大汤黄鱼
'xue'hua'xie'zhi 雪花蟹汁
'xue'li'feng'chi 雪梨凤翅
'xue'mo'yu 雪魔芋
'xun'e 熏鹅
'ya'an'ya'yu'quan'xi'yan 雅安雅鱼全席宴
'ya'bao'yu'chi 鸭包鱼翅
'ya'zhua'cao 鸭爪草
'yan'bao'dan 盐包蛋
'yan'bian'niu'rou 盐边牛肉
'yan'jian'rou 盐煎肉
'yan'ju'ji 盐焗鸡
'yan'shao'bai 盐烧白
'yan'shui'ya 盐水鸭
'yan'xian'gui'yu 腌鲜鳜鱼
'yan'zhi'e 胭脂鹅
'yang'cheng'hu'da'zha'xie 阳澄湖大闸蟹
'yang'mei'wan'zi 杨梅丸子
'yang'zhou'chao'fan 扬州炒饭
'yang'zhou'e 扬州鹅
'ye'er'ba 叶儿耙
'ye'xian'cai 野苋菜
'yi'bin'ran'mian 宜宾燃面
'yi'fan'feng'shun 一帆风顺
'yi'pin'dou'fu 一品豆腐
'yi'pin'guo 一品锅
'yi'pin'hai'shen 一品海参
'yi'xing'de'qi'guo'ji 宜兴的汽锅鸡
'yi'ya'wu'wei'ji 易牙五味鸡
'yin'ya'huan'yu'pian 银芽鲩鱼片
'yin'yu'chao'dan 银鱼炒蛋
'yin'yu'hong'dan 银鱼烘蛋
'yin'zhen'ji'zhi'yu'pian 银针鸡汁鱼片
'ying'tao'rou 樱桃肉
'yong'zhou'xue'ya 永州血鸭
'you'bao'da'xia 油爆大虾
'you'lin'ji 油淋鸡
'you'lin'zhuang'ji 油淋庄鸡
'you'men'chun'sun 油焖春笋
'you'men'huo'bei'yu 油焖火焙鱼
'you'men'shi'lin 油焖石鳞
'you'men'shuang'dong 油焖双冬
'you'yu'chao'rou'si 鱿鱼炒肉丝
'you'zha'chou'dou'fu 油炸臭豆腐
'you'zha'jin'chan 油炸金蝉
'yu'er'ji 芋儿鸡
'yu'fu'cang'yang'rou 鱼腹藏羊肉
'yu'jiu'yu 愈灸鱼
'yu'qian'xia'ren 雨前虾仁
'yu'sheng'zhou 鱼生粥
'yu'wan 鱼丸
'yu'wan'huo'guo 鱼丸火锅
'yu'xiang'rou'si 鱼香肉丝
'yu'zhi'yang'rou 鱼汁羊肉
'yu'zi'bao 芋子包
'yu'zi'gao 芋子糕
'yu'zi'jiao 芋子饺
'yuan'bao'you'yu'juan 芫爆鱿鱼卷
'yuan'yang'dan 鸳鸯蛋
'yuan'yang'huo'guo 鸳鸯火锅
'yuan'yang'ji 鸳鸯鸡
'yuan'yang'li 鸳鸯鲤
'yuan'yang'xi'shui'long'feng'tang 鸳鸯戏水龙凤汤
'yuan'zheng'ji'su'wan 原蒸鸡酥丸
'yuan'zhi'gou'rou 鼋汁狗肉
'yuan'zhi'wu'ling'shui'yu 原汁武陵水鱼
'yue'ji'he'jiu 越鸡和酒
'yue'yang'jiang'la'she 岳阳姜辣蛇
'yun'mu'geng 云母羹
'yun'pian'hou'tou 云片猴头
'zao'hong'jie'lao'ji 早红桔酪鸡
'zao'liu'xia'ren 糟溜虾仁
'zao'ni'la'gao 枣泥拉糕
'zao'ni'ma'bing 枣泥麻饼
'zha'dou'sha'ping'guo'quan 炸豆沙苹果圈
'zha'ji'qiu 炸鸡球
'zha'man'yuan 炸满圆
'zha'shu'wan 炸薯丸
'zha'xue'shu 炸雪薯
'zha'zhi'gai 炸脂盖
'zha'zi'ji 炸子鸡
'zhang'cha'ya 樟茶鸭
'zhang'cha'ya'zi 樟茶鸭子
'zhen'jiang'de'shui'jing'yao'ti 镇江的水晶肴蹄
'zheng'chao'shou 郑抄手
'zheng'man'yuan 蒸满圆
'zhi'bao'ji 纸包鸡
'zhi'geng 稚羹
'zhong'he'tang 中和汤
'zhong'shui'jiao 钟水饺
'zhong'xing'peng'yue 众星捧月
'zhou'shan'de'suo'zi'xie 舟山的梭子蟹
'zhou'shan'huang'yu 舟山黄鱼
'zhu'er'ba 猪儿粑
'zhu'hai'ming'cai 竹海名菜
'zhu'shi'za'jiang 朱氏杂酱
'zhu'ye'tang 苎叶饧
'zhu'you'nian'gao 猪油年糕
'zi'long'tuo'pao 子龙脱袍
'zi'mei'tuan'zi 姊妹团子
'zou'you'dou'chi'kou'rou 走油豆豉扣肉
'zu'an'yu'chi 组庵鱼翅
'zu'an'yu'jie'yu'chi 祖庵玉结鱼翅
'zui'pai'gu 醉排骨
'zui'yao'si 醉腰丝
'zui'yu'gan 醉鱼干
'zui'zao'ji 醉糟鸡
'zuo'zong'tang'ji 左宗棠鸡
