'guang'ming'hei'an'jing'shen'zhou 光明黑暗竞神州
'guang'xing'wu'suo'li 光形无所丽
'gui'ji'bu'cheng'wai'mo'zheng 归计不成歪莫整
'gun'gun'bo'tao 滚滚波涛
'guo'gong'jiu'fen'ying'xi'lun 国共纠纷应细论
'guo'liang'xia'ming'han'bao'jian'shi 郭亮夏明翰宝剑诗
'guo'min'ge'ming'kuai'cheng'gong 国民革命快成功
'guo'shi'tiao'tang'shen 国事蜩螗甚
'guo'shi'xiang'qi'gan'lin'tou 国士相期敢吝头
'guo'ti'zao'cheng'ji'xie'ti 国体造成机械体
'guo'yi'bu'guo'jia'he'jia 国已不国家何家
'hai'chao'dong'qu'lian'tian'yong 海潮东去连天涌
'hai'dei'tu'fen'fang 还得吐芬芳
'hai'kan'di'hou'wan'jun'tun 还看敌后万军屯
'hai'wai'feng'yan'bi'ri'yin 海外烽烟蔽日阴
'han'feng'lin'lin'xiu'ting'xie 寒风凛凛休停歇
'han'hai'wan'qing'qi'bo'lan 瀚海万顷起波澜
'han'jia'zi'di'jin'xiong'fei 汉家子弟尽雄飞
'han'sheng'fu'qi'jie'cong'tong 含生负气皆从同
'han'shi'qing'ming'ri'you'mi 寒食清明日又迷
'hang'hai'bi'yi'bang 航海必依傍
'hao'ge'fu'tai'hang 浩歌赋太行
'hao'jiao'zhuang'zheng'cheng 号角壮征程
'hao'jie'cui'mo'zhi'bu'mie 浩劫摧磨志不灭
'hao'miao'shui'dong'liu 浩淼水东流
'hao'ran'chong'liang'jian 浩然充两间
'hao'ying'man'zuo'yin'chang'hong 豪英满座饮长虹
'he'bi'di'huai'liang'chu'shi 何必低徊两出师
'he'chu'guang'ming'liu'jing'tu 何处光明留净土
'he'hong'xu'niao'luan'fei'xue 荷红絮袅乱飞雪
'he'jin'zhai'gei'he'jin'zhang 贺锦斋给贺锦章
'he'jin'zhai'lang'tao'sha 贺锦斋浪淘沙
'he'meng'xiong'yu'zhong'ti'bi 何孟雄狱中题壁
'he'qi'jun'zu'xie 何期君俎谢
'he'ren'zhong'you'xi'hua'xin 何人重有惜花心
'he'shan'huan'wo'wei'tong'chou 河山还我慰同仇
'he'shu'heng'zeng'xia'ming'han 何叔衡赠夏明翰
'he'shui'pao'xiao'kuang'tao'juan 河水咆哮狂涛卷
'he'wei'gui'yao'jing 何畏鬼妖精
'he'xi'xue'liu'gan 何惜血流干
'he'xu'liang'li'pan'xian'yu 何须良吏判贤愚
'he'yan'hu'fu'gui 何言乎富贵
'he'yi'bao'chou 何以报仇
'he'yi'yi'qun'sheng 何以异群生
'hei'bai'ren'qi'qing 黑白任其情
'hei'shui'yi'hen'chang 黑水遗恨长
'hei'yun'yu'ya'cheng 黑云欲压城
'hen'ta'lang'hu'tan'xin'hei 恨他狼虎贪心黑
'heng'jian'yue'ma'ji'du'qiu 横剑跃马几度秋
'heng'sao'di'wan 横扫敌顽
'heng'xiong'tie'xue'sao'nan'kai 横胸铁血扫难开
'hong'hong'lie'lie'bu'wei'yi 轰轰烈烈不逶迤
'hong'jun'du'lu'cong'tou'yue 红军渡泸从头越
