'an'ma 鞍马
'pi'hua'ting'jing'shui'ji'shu 皮划艇静水技术
'pi'kan 劈砍
'pi'kan'dong'zuo 劈砍动作
'pi'kan'ji'qiao 劈砍技巧
'pi'kan'zhan'shu 劈砍战术
'pi'ke'qiu 匹克球
'piao'fu 漂浮
'piao'fu'ji'qiao 漂浮技巧
'piao'liu 漂流
'piao'liu'dong'zuo 漂流动作
'piao'liu'ji'qiao 漂流技巧
'piao'liu'ji'shu 漂流技术
'piao'liu'zhuang'bei'shi'yong 漂流装备使用
'piao'yi 漂移
'piao'yi'ji'qiao 漂移技巧
'piao'yi'ji'shu 漂移技术
'piao'yi'sai 漂移赛
'ping'gao'qiu 平高球
'ping'heng 平衡
'ping'heng'dong'zuo 平衡动作
'ping'heng'ji'qiao 平衡技巧
'ping'heng'mu 平衡木
'ping'heng'mu'ji'qiao 平衡木技巧
'ping'heng'mu'ji'shu 平衡木技术
'ping'heng'mu'xing'zou 平衡木行走
'ping'heng'mu'xing'zou'ji'qiao 平衡木行走技巧
'ping'heng'neng'li 平衡能力
'ping'kuai'qiu 平快球
'ping'pang'qiu 乒乓球
'po'yan 破眼
'po'yan'zhan'shu 破眼战术
'pu'ke'pai 扑克牌
'pu'qiu 扑球
'pu'yong 蹼泳
'qi'bu 起步
'qi'bu'ji'shu 起步技术
'qi'hang'ji'shu 起航技术
'qi'kua 起跨
'qi'kua'jiao'du 起跨角度
'qi'pai'qiu 气排球
'qi'pao 起跑
'qi'pao'fan'ying 起跑反应
'qi'pao'ji'qiao 起跑技巧
'qi'pao'ji'shu 起跑技术
'qi'pao'zi'shi 起跑姿势
'qi'shen 起身
'qi'shen'ji'qiao 起身技巧
'qi'shen'ji'shu 起身技术
'qi'tiao 起跳
'qi'tiao'ji'shu 起跳技术
'qi'tiao'jiao'du 起跳角度
'qi'tiao'li'liang 起跳力量
'qi'tiao'shi'ji 起跳时机
'qi'xiang'quan'neng 七项全能
'qi'xiang'quan'neng'ji'shu 七项全能技术
'qi'xiang'quan'neng'xiang'mu'ji'shu 七项全能项目技术
'qi'xing 骑行
'qi'xing'dong'zuo 骑行动作
'qi'xing'ji'shu 骑行技术
'qi'xing'nai'li 骑行耐力
'qi'xing'zi'shi 骑行姿势
'qi'zi 弃子
'qi'zi'zhan'shu 弃子战术
'qia'qia 恰恰
'qian'kong'fan 前空翻
'qian'kong'fan'ji'qiao 前空翻技巧
'qian'qiu 铅球
'qian'qiu'chu'shou'jiao'du 铅球出手角度
'qian'qiu'fa'li 铅球发力
'qian'qiu'hua'bu 铅球滑步
'qian'qiu'tui'qiu 铅球推球
'qian'qiu'xuan'zhuan 铅球旋转
'qian'shui 潜水
'qian'shui'dong'zuo 潜水动作
'qian'shui'hu'xi 潜水呼吸
'qian'shui'ji'qiao 潜水技巧
'qian'shui'ji'shu 潜水技术
'qian'shui'jian'ya 潜水减压
'qian'shui'shang'sheng 潜水上升
'qian'shui'xia'qian 潜水下潜
'qian'shui'xuan'fu 潜水悬浮
'qian'shui'zhuang'bei'shi'yong 潜水装备使用
'qian'zhi 牵制
'qian'zhi'fa'zhan'shu 牵制法战术
'qian'zhi'qi 牵制棋
'qian'zhi'qi'ji'qiao 牵制棋技巧
'qiang'duan 抢断
'qiang'hua'pao 抢花炮
'qiao'pai 桥牌
'qie'duan 切断
'qie'gan 切杆
'qin'na 擒拿
'qin'na'ji'qiao 擒拿技巧
'qin'na'zhan'shu 擒拿战术
'qiu'qian 秋千
'qu'gun'qiu 曲棍球
'qu'shen 屈伸
'qu'shen'ji'qiao 屈伸技巧
'qu'yu'lian'fang 区域联防
'quan'ji 拳击
'quan'ji'dong'zuo 拳击动作
'quan'ji'ji'qiao 拳击技巧
'quan'ji'zhan'shu 拳击战术
'quan'neng'bi'sai 全能比赛
'quan'neng'ji'shu 全能技术
'quan'neng'xiang'mu'ji'shu 全能项目技术
'rao'biao'dong'zuo 绕标动作
're'qi'qiu 热气球
're'qi'qiu'cao'zuo'dong'zuo 热气球操作动作
're'qi'qiu'dong'zuo 热气球动作
'ren'ding'ren'fang'shou 人盯人防守
'rou'dao 柔道
'rou'dao'dong'zuo 柔道动作
'rou'dao'ji'qiao 柔道技巧
'rou'dao'zhan'shu 柔道战术
'rou'shu 柔术
'rou'shu'dong'zuo 柔术动作
'rou'shu'ji'qiao 柔术技巧
'rou'shu'zhan'shu 柔术战术
'ru'shui 入水
'ru'shui'dong'zuo 入水动作
'ru'shui'ji'qiao 入水技巧
'ru'shui'jiao'du 入水角度
'ruan'shi'pai'qiu 软式排球
'sai'che 赛车
'sai'che'tiao'jiao 赛车调校
'sai'che'tiao'jiao'ji'qiao 赛车调校技巧
'sai'che'tiao'jiao'ji'shu 赛车调校技术
'sai'che'xian 赛车线
'sai'che'xian'ji'shu 赛车线技术
'sai'che'xian'xuan'ze 赛车线选择
'sai'mao'niu 赛牦牛
'sai'ting 赛艇
'sai'ting'jie'zou 赛艇节奏
'sai'ting'li'liang 赛艇力量
'sai'ting'pei'he 赛艇配合
'san'da'bi'sai 散打比赛
'san'da'bi'sai'dong'zuo 散打比赛动作
'san'da'bi'sai'ji'qiao 散打比赛技巧
'san'da'bi'sai'zhan'shu 散打比赛战术
'san'guo'sha 三国杀
'san'ji'tiao'yuan 三级跳远
'san'ji'tiao'yuan'zi'shi 三级跳远姿势
'san'ri'sai 三日赛
'san'ri'sai'ji'qiao 三日赛技巧
'san'ri'sai'ji'shu 三日赛技术
'san'ri'sai'zong'he'dong'zuo 三日赛综合动作
'sang'ba 桑巴
'sang'bo 桑搏
'sang'bo'dong'zuo 桑搏动作
'sang'bo'ji'qiao 桑搏技巧
'sang'bo'zhan'shu 桑搏战术
'sao'tui 扫腿
'sao'tui'ji'qiao 扫腿技巧
'sao'tui'zhan'shu 扫腿战术
'sha'che 刹车
'sha'che'ji'qiao 刹车技巧
'sha'che'ji'shu 刹车技术
'sha'che'kong'zhi 刹车控制
'sha'dai'qiu 沙袋球
'sha'fa 杀法
'sha'fa'zhan'shu 杀法战术
'sha'mo'tan'xian 沙漠探险
'sha'mo'tan'xian'dong'zuo 沙漠探险动作
'sha'qi 杀棋
'sha'qi'ji'qiao 杀棋技巧
'sha'qiu 杀球
'sha'tan'pai'qiu 沙滩排球
'shan'bi 闪避
'shan'bi'fa'zhan'shu 闪避法战术
'shan'bi'ji'qiao 闪避技巧
'shan'bi'qi 闪避棋
'shan'bi'qi'ji'qiao 闪避棋技巧
'shan'bi'zhan'shu 闪避战术
'shan'di'qi'xing 山地骑行
'shan'di'qi'xing'dong'zuo 山地骑行动作
'shan'di'qi'xing'ji'shu 山地骑行技术
'shan'di'qi'xing'nai'li 山地骑行耐力
'shan'di'zi'xing'che'sai 山地自行车赛
'shao'lin'quan 少林拳
'she'jian 射箭
'she'jiao'wu 社交舞
'she'men 射门
'she'men'ji'shu 射门技术
'she'nu 射弩
'shen'qian 深潜
'shen'qian'dong'zuo 深潜动作
'shen'ti'zi'shi 身体姿势
'sheng'fan'dong'zuo 升帆动作
'sheng'zhuang'wu'bu 盛装舞步
'sheng'zhuang'wu'bu'dong'zuo 盛装舞步动作
'sheng'zhuang'wu'bu'ji'qiao 盛装舞步技巧
'sheng'zhuang'wu'bu'ji'shu 盛装舞步技术
'shi'xiang'quan'neng 十项全能
'shi'xiang'quan'neng'ji'shu 十项全能技术
'shi'xiang'quan'neng'xiang'mu'ji'shu 十项全能项目技术
'shou'gong 首攻
'shou'gong'ji'qiao 首攻技巧
'shou'guan 收官
'shou'guan'zhan'shu 收官战术
'shou'jin 手筋
'shou'men'ji'shu 守门技术
'shou'qiu 手球
'shuai'fa 摔法
'shuai'fa'ji'qiao 摔法技巧
'shuai'fa'zhan'shu 摔法战术
'shuai'jiao 摔跤
'shuai'jiao'dong'zuo 摔跤动作
'shuai'jiao'ji'qiao 摔跤技巧
'shuai'jiao'zhan'shu 摔跤战术
'shuang'gang 双杠
'shuang'gang'ji'qiao 双杠技巧
'shuang'gang'ji'shu 双杠技术
'shuang'gang'zhi'cheng'bai'dong 双杠支撑摆动
'shuang'gang'zhi'cheng'bai'dong'ji'qiao 双杠支撑摆动技巧
'shui'qiu 水球
'shui'xia'dao'hang 水下导航
'shui'xia'guan'cha 水下观察
'si'huo 死活
'si'xiang'quan'neng 四项全能
'si'xiang'quan'neng'ji'shu 四项全能技术
'si'xiang'quan'neng'xiang'mu'ji'shu 四项全能项目技术
'su'xi 溯溪
'su'xi'dong'zuo 溯溪动作
'su'xi'ji'qiao 溯溪技巧
'su'xi'ji'shu 溯溪技术
'su'xi'zhuang'bei'shi'yong 溯溪装备使用
'suan'pai 算牌
'suan'pai'ji'qiao 算牌技巧
'suo'ji 锁技
'suo'ji'ji'qiao 锁技技巧
'suo'ji'zhan'shu 锁技战术
'tai'ji'quan 太极拳
'tai'qiu 台球
'tai'quan 泰拳
'tai'quan'dao 跆拳道
'tai'quan'dao'dong'zuo 跆拳道动作
'tai'quan'dao'ji'qiao 跆拳道技巧
'tai'quan'dao'zhan'shu 跆拳道战术
'tai'quan'dong'zuo 泰拳动作
'tai'quan'ji'qiao 泰拳技巧
'tai'quan'zhan'shu 泰拳战术
'tai'tui 抬腿
'tai'tui'gao'du 抬腿高度
'tan'ge 探戈
'tao'pao 逃跑
'teng'kong 腾空
'teng'kong'gao'du 腾空高度
'teng'kong'ji'shu 腾空技术
'teng'kong'zi'tai 腾空姿态
'teng'nuo 腾挪
'teng'nuo'fa'zhan'shu 腾挪法战术
'teng'nuo'qi 腾挪棋
'teng'nuo'qi'ji'qiao 腾挪棋技巧
'teng'qiu 藤球
'ti'jian'zi 踢毽子
'ti'ling 提铃
'ti'ling'ji'qiao 提铃技巧
'ti'ling'ji'shu 提铃技术
'ti'tui 踢腿
'ti'tui'ji'qiao 踢腿技巧
'ti'tui'zhan'shu 踢腿战术
'tian'sai 田赛
'tian'sai'ji'shu 田赛技术
'tian'sai'xiang'mu'ji'shu 田赛项目技术
'tiao'fan'dong'zuo 调帆动作
'tiao'gao 跳高
'tiao'gao'qiu 挑高球
'tiao'gao'zi'shi 跳高姿势
'tiao'ma 跳马
'tiao'ma'ji'qiao 跳马技巧
'tiao'ma'ji'shu 跳马技术
'tiao'ma'ta'tiao 跳马踏跳
'tiao'ma'ta'tiao'ji'qiao 跳马踏跳技巧
'tiao'pi'jin 跳皮筋
'tiao'qi 跳棋
'tiao'qiu 挑球
'tiao'san 跳伞
'tiao'san'dong'zuo 跳伞动作
'tiao'shui 跳水
'tiao'shui'ji'qiao 跳水技巧
'tiao'shui'kong'zhong'dong'zuo 跳水空中动作
'tiao'shui'nan'du'dong'zuo 跳水难度动作
'tiao'shui'qi'tiao 跳水起跳
'tiao'shui'ru'shui 跳水入水
'tiao'tai'hua'xue 跳台滑雪
'tiao'tai'hua'xue'dong'zuo 跳台滑雪动作
'tiao'yuan 跳远
'tiao'yuan'zi'shi 跳远姿势
'tiao'yue 跳跃
'tiao'yue'dong'zuo 跳跃动作
'tiao'yue'ji'qiao 跳跃技巧
'tiao'yue'ji'shu 跳跃技术
'tiao'zhu'gan 跳竹竿
'tie'bing 铁饼
'tie'bing'chu'shou'jiao'du 铁饼出手角度
'tie'bing'tou'zhi 铁饼投掷
'tie'bing'xuan'zhuan 铁饼旋转
'ting'ju 挺举
'ting'ju'dong'zuo 挺举动作
'ting'ju'ji'qiao 挺举技巧
'ting'ju'ji'shu 挺举技术
'tong'bei'quan 通背拳
'tou'hu 投壶
'tou'lan 投篮
'tou'qiu 头球
'tu'bu 徒步
'tu'bu'dong'zuo 徒步动作
'tu'zhong'hang'xing'ji'shu 途中航行技术
'tu'zhong'pao 途中跑
'tu'zhong'pao'jie'zou 途中跑节奏
'tuan'dui'pei'he 团队配合
'tuan'dui'xie'zuo 团队协作
'tuan'ti'quan'neng 团体全能
'tuan'ti'quan'neng'ji'qiao 团体全能技巧
'tuan'ti'quan'neng'ji'shu 团体全能技术
'tuan'ti'ti'cao 团体体操
'tuan'ti'ti'cao'ji'qiao 团体体操技巧
'tuan'ti'ti'cao'ji'shu 团体体操技术
'tuan'ti'wu 团体舞
'tui'gan 推杆
'tui'qiu 推球
'tuo'ma'si'quan'xuan 托马斯全旋
'tuo'ma'si'quan'xuan'ji'qiao 托马斯全旋技巧
'wa'yong 蛙泳
'wang'qian'qiu 网前球
'wang'qiu 网球
'wei'di 围地
'wei'qi 围棋
'wei'ye'na'hua'er'zi 维也纳华尔兹
'wo'jiang'fang'shi 握桨方式
'wu'dang'quan 武当拳
'wu'long 舞龙
'wu'shi 舞狮
'wu'shu 武术
'wu'shu'san'da 武术散打
'wu'shu'san'da'dong'zuo 武术散打动作
'wu'shu'san'da'ji'qiao 武术散打技巧
'wu'shu'san'da'zhan'shu 武术散打战术
'wu'xian'zhi'ge'dou 无限制格斗
'wu'xian'zhi'ge'dou'dong'zuo 无限制格斗动作
'wu'xian'zhi'ge'dou'ji'qiao 无限制格斗技巧
'wu'xian'zhi'ge'dou'zhan'shu 无限制格斗战术
'wu'xiang'quan'neng 五项全能
'wu'xiang'quan'neng'ji'shu 五项全能技术
'wu'xiang'quan'neng'xiang'mu'ji'shu 五项全能项目技术
'wu'zi'qi 五子棋
'xia'dun 下蹲
'xia'dun'ji'qiao 下蹲技巧
'xia'dun'ji'shu 下蹲技术
'xia'jiang 下降
'xia'lan 下栏
'xia'lan'ju'li 下栏距离
'xia'po 下坡
'xia'po'ji'qiao 下坡技巧
'xia'po'ji'shu 下坡技术
'xia'po'su'du 下坡速度
'xiang'pu 相扑
'xiang'pu'dong'zuo 相扑动作
'xiang'pu'ji'qiao 相扑技巧
'xiang'pu'zhan'shu 相扑战术
'xiang'qi 象棋
'xiao'jin'shu'di'zhi'qiu 小金属地掷球
'xiao'lun'che 小轮车
'xiao'qiu 削球
'xin'li'bo'yi 心理博弈
'xin'li'bo'yi'ji'qiao 心理博弈技巧
'xin'li'zhan'ji'qiao 心理战技巧
'xin'li'zhan'shu 心理战术
'xing'yi'quan 形意拳
'xuan'gua 悬挂
'xuan'gua'dong'zuo 悬挂动作
'xuan'kong'fan 旋空翻
'xuan'kong'fan'ji'qiao 旋空翻技巧
'xue'che 雪车
'xue'che'dong'zuo 雪车动作
'xue'di'mo'tuo 雪地摩托
'xue'di'mo'tuo'cao'zuo'dong'zuo 雪地摩托操作动作
'xue'di'tu'bu 雪地徒步
'xue'di'tu'bu'dong'zuo 雪地徒步动作
'xue'qiao 雪橇
'xue'qiao'dong'zuo 雪橇动作
'xue'qiu 雪球
'xue'shang'ji'qiao 雪上技巧
'xue'shang'ji'qiao'dong'zuo 雪上技巧动作
'xue'xie'xing'zou 雪鞋行走
'xue'xie'xing'zou'dong'zuo 雪鞋行走动作
'ya'jia 押加
'ya'lang 压浪
'ya'lang'ji'qiao 压浪技巧
'ya'lang'ji'shu 压浪技术
'ya'shui'hua 压水花
'ya'shui'hua'ji'qiao 压水花技巧
'ya'shui'hua'ji'shu 压水花技术
'ya'xian'dong'zuo 压舷动作
'yang'yong 仰泳
'yao'lu'dong'zuo 摇橹动作
'ye'wai'sheng'cun 野外生存
'ye'wai'sheng'cun'dong'zuo 野外生存动作
'ye'yu'shuai'jiao 业余摔跤
'ye'yu'shuai'jiao'dong'zuo 业余摔跤动作
'ye'yu'shuai'jiao'ji'qiao 业余摔跤技巧
'ye'yu'shuai'jiao'zhan'shu 业余摔跤战术
'yi'dong 移动
'yi'dong'dong'zuo 移动动作
'yi'dong'ji'qiao 移动技巧
'yi'dong'zhan'shu 移动战术
'yi'shu'ti'cao 艺术体操
'yi'shu'ti'cao'dong'zuo 艺术体操动作
'yi'shu'ti'cao'ji'qiao 艺术体操技巧
'yi'zhuang'fei'xing 翼装飞行
'yi'zhuang'fei'xing'dong'zuo 翼装飞行动作
'ying'jiang 应将
'ying'jiang'ji'qiao 应将技巧
'ying'jiang'zhan'shu 应将战术
'ying'shi'pai'qiu 硬式排球
'yong'chun'quan 咏春拳
'you'xi'bi'sai 游戏比赛
'you'xi'jing'ji 游戏竞技
'you'yong 游泳
'you'yong'chong'ci 游泳冲刺
'you'yong'chu'fa 游泳出发
'you'yong'hu'xi 游泳呼吸
'you'yong'jie'li 游泳接力
'you'yong'pei'he'dong'zuo 游泳配合动作
'you'yong'shou'bi'dong'zuo 游泳手臂动作
'you'yong'tu'zhong'you 游泳途中游
'you'yong'tui'bu'dong'zuo 游泳腿部动作
'you'yong'zhuan'shen 游泳转身
'yu'mao'qiu 羽毛球
'yue'jia'quan 岳家拳
'yue'ye 越野
'yue'ye'che'sai 越野车赛
'yue'ye'che'sai'cao'kong 越野车赛操控
'yue'ye'che'sai'ji'shu 越野车赛技术
'yue'ye'dong'zuo 越野动作
'yue'ye'hua'xue 越野滑雪
'yue'ye'hua'xue'dong'zuo 越野滑雪动作
'yue'ye'pao 越野跑
'yue'ye'pao'dong'zuo 越野跑动作
'yun'qiu 运球
'zhan'shu'pei'he 战术配合
'zhan'shu'zhi'xing 战术执行
'zhan'zi 站姿
'zhang'ai'pao 障碍跑
'zhang'ai'sai 障碍赛
'zhang'ai'tiao'yue'dong'zuo 障碍跳跃动作
'zhang'ai'tiao'yue'ji'qiao 障碍跳跃技巧
'zhang'ai'tiao'yue'ji'shu 障碍跳跃技术
'zhang'duo'dong'zuo 掌舵动作
'zhen'zhu'qiu 珍珠球
'zheng'di 争地
'zheng'di'zhan'shu 争地战术
'zheng'shou'chou'qiu 正手抽球
'zheng'shou'ji'qiu 正手击球
'zhi'cheng 支撑
'zhi'cheng'ji'qiao 支撑技巧
'zhi'cheng'ji'shu 支撑技术
'zhi'xian'jia'su 直线加速
'zhi'xian'jia'su'ji'qiao 直线加速技巧
'zhi'xian'jia'su'ji'shu 直线加速技术
'zhi'xian'jia'su'sai 直线加速赛
'zhi'ye'shuai'jiao 职业摔跤
'zhi'ye'shuai'jiao'dong'zuo 职业摔跤动作
'zhi'ye'shuai'jiao'ji'qiao 职业摔跤技巧
'zhi'ye'shuai'jiao'zhan'shu 职业摔跤战术
'zhong'chang'pao 中长跑
'zhong'guo'xiang'qi 中国象棋
'zhong'jian 重剑
'zhong'jian'ge'ren'sai 重剑个人赛
'zhong'jian'tuan'ti'sai 重剑团体赛
'zhong'pan'ce'lue 中盘策略
'zhong'pan'ji'qiao 中盘技巧
'zhong'pan'zhan'dou 中盘战斗
'zhong'pan'zhan'shu 中盘战术
'zhu'pao 助跑
'zhu'pao'ji'shu 助跑技术
'zhu'pao'jie'zou 助跑节奏
'zhua'ju 抓举
'zhua'ju'dong'zuo 抓举动作
'zhua'ju'ji'qiao 抓举技巧
'zhua'ju'ji'shu 抓举技术
'zhuan'shen 转身
'zhuan'shen'ji'qiao 转身技巧
'zhuan'ti 转体
'zhuan'ti'dong'zuo 转体动作
'zhuan'ti'ji'qiao 转体技巧
'zhuan'wan 转弯
'zhuan'wan'ji'qiao 转弯技巧
'zhuan'wan'ji'shu 转弯技术
'zhuan'wan'jiao'du 转弯角度
'zhuan'xiang'dong'zuo 转向动作
'zhuo'fa'zhan'shu 捉法战术
'zhuo'qi 捉棋
'zhuo'qi'ji'qiao 捉棋技巧
'zhuo'shang'wang'qiu 桌上网球
'zhuo'you 桌游
'zhuo'zi 捉子
'zi'xing'che'ge'ren'ji'shu 自行车个人技术
'zi'xing'che'ge'ren'nai'li 自行车个人耐力
'zi'xing'che'ge'ren'sai 自行车个人赛
'zi'xing'che'ji'shi'ji'shu 自行车计时技术
'zi'xing'che'ji'shi'nai'li 自行车计时耐力
'zi'xing'che'ji'shi'sai 自行车计时赛
'zi'xing'che'kai'lin'ji'shu 自行车凯林技术
'zi'xing'che'kai'lin'nai'li 自行车凯林耐力
'zi'xing'che'kai'lin'sai 自行车凯林赛
'zi'xing'che'mai'di'xun'ji'shu 自行车麦迪逊技术
'zi'xing'che'mai'di'xun'nai'li 自行车麦迪逊耐力
'zi'xing'che'mai'di'xun'sai 自行车麦迪逊赛
'zi'xing'che'tuan'ti'ji'shu 自行车团体技术
'zi'xing'che'tuan'ti'nai'li 自行车团体耐力
'zi'xing'che'tuan'ti'sai 自行车团体赛
'zi'xing'che'yue'ye 自行车越野
'zi'xing'che'yue'ye'ji'shu 自行车越野技术
'zi'xing'che'yue'ye'nai'li 自行车越野耐力
'zi'xing'che'zheng'xian'ji'shu 自行车争先技术
'zi'xing'che'zheng'xian'nai'li 自行车争先耐力
'zi'xing'che'zheng'xian'sai 自行车争先赛
'zi'xing'che'zhui'zhu'ji'shu 自行车追逐技术
'zi'xing'che'zhui'zhu'nai'li 自行车追逐耐力
'zi'xing'che'zhui'zhu'sai 自行车追逐赛
'zi'you'bo'ji 自由搏击
'zi'you'bo'ji'dong'zuo 自由搏击动作
'zi'you'bo'ji'ji'qiao 自由搏击技巧
'zi'you'bo'ji'zhan'shu 自由搏击战术
'zi'you'shi'hua'xue 自由式滑雪
'zi'you'shi'hua'xue'dong'zuo 自由式滑雪动作
'zi'you'shi'shuai'jiao 自由式摔跤
'zi'you'shi'shuai'jiao'dong'zuo 自由式摔跤动作
'zi'you'shi'shuai'jiao'ji'qiao 自由式摔跤技巧
'zi'you'shi'shuai'jiao'zhan'shu 自由式摔跤战术
'zi'you'ti'cao 自由体操
'zi'you'ti'cao'dong'zuo 自由体操动作
'zi'you'ti'cao'ji'qiao 自由体操技巧
'zi'you'ti'cao'ji'shu 自由体操技术
'zi'you'yong 自由泳
'zong'he'bo'ji 综合搏击
'zong'he'bo'ji'dong'zuo 综合搏击动作
'zong'he'bo'ji'ji'qiao 综合搏击技巧
'zong'he'bo'ji'zhan'shu 综合搏击战术
'zong'he'ge'dou 综合格斗
'zong'he'ge'dou'dong'zuo 综合格斗动作
'zong'he'ge'dou'ji'qiao 综合格斗技巧
'zong'he'ge'dou'zhan'shu 综合格斗战术
'zou'qi'si'lu 走棋思路
'zou'zi 走子
'zu'qiu 足球
'zuo'huo 做活
'zuo'yan 做眼
'zuo'yan'zhan'shu 做眼战术
'zuo'zhuang 做庄
'zuo'zhuang'ji'qiao 做庄技巧
'zuo'zi 坐姿
