'an'cheng 暗撑
'fang'huo'biao'zhun 放火标准
'fang'huo'cai'liao 防火材料
'fang'huo'deng'ji 防火等级
'fang'huo'fen'qu 防火分区
'fang'huo'ge'duan 防火隔断
'fang'huo'gui'fan 防火规范
'fang'huo'jian'ju 防火间距
'fang'huo'jian'zhu 防火建筑
'fang'huo'juan'lian'men 防火卷帘门
'fang'jian'bei 方尖碑
'fang'jian'chang'shu 房间常数
'fang'jian'diao'ding 房间吊顶
'fang'jian'xing 防溅型
'fang'jing'dian'di'mian 防静电地面
'fang'kuang'tu 方框图
'fang'lei 防雷
'fang'lei'cuo'shi 防雷措施
'fang'lei'dian'gan'ying 防雷电感应
'fang'lei'ji'dian'ci'mai'chong 防雷击电磁脉冲
'fang'lei'lei'bie 防雷类别
'fang'qiong'ding 方穹顶
'fang'she'shi 放射式
'fang'shen'qiang 防渗墙
'fang'shui'cai'liao 防水材料
'fang'shui'ceng 防水层
'fang'shui'cha'zuo 防水插座
'fang'shui'dian'qi'she'bei 防水电气设备
'fang'shui'ji 防水剂
'fang'shui'sha'jiang 防水砂浆
'fang'shui'tu'ceng 防水涂层
'fang'shui'zuo'fa 防水做法
'fang'song'luo'shuan 防松螺栓
'fang'tou 枋头
'fang'wu'che'bian'jing 防雾车边境
'fang'wu'gao'du 房屋高度
'fang'wu'jian'zhu 房屋建筑
'fang'xin 枋心
'fang'xiu'chu'li 防锈处理
'fang'xiu'qi 防锈漆
'fang'yan'dang'ban 防烟挡板
'fang'yan'lou'ti 防烟楼梯
'fang'yan'men 防烟门
'fang'yang 放样
'fang'yu'kai'guan 防雨开关
'fang'yun'shi 仿云石
'fang'zai'jian'zai 防灾减灾
'fang'zhi'ji'lei 防直击雷
'fang'zhuang 方桩
'fei'biao'zhu'gou'jian 非标注构件
'fei'cheng'zhong'qiang 非承重墙
'fei'jia'mi'qu 非加密区
'fei'kang'zhen 非抗震
'fei'ping'bi'duo'mo'guang'xian 非屏蔽多模光纤
'fei'ran'shao'ti 非燃烧体
'fei'sheng 废声
'fei'shi 沸石
'fei'xian'xing 非线性
'fei'yan'chuan 飞檐椽
'fei'zao'jia 肥皂架
'fen'bei 分贝
'fen'bu'gang'jin 分布钢筋
'fen'bu'jin 分布筋
'fen'ceng'hang'shi 分层夯实
'fen'ge'tiao 分格条
'fen'hong'zao'sheng 粉红噪声
'fen'liu'zhi'pai'shui'xi'tong 分流制排水系统
'fen'mei'hui'zhuan 粉煤灰砖
'fen'quan'shu'zhi 酚醛树脂
'fen'shua 粉刷
'fen'tu 粉土
'fen'tu'ceng 粉土层
'fen'xi'sha 粉细砂
'fen'xian'bao 粉线包
'fen'xian'he 分线盒
'fen'xian'xiang 分线箱
'fen'xin'cao 分心槽
'fen'zhi'dian'lu 分支电路
'fen'zhi'fen'pei'qi'xiang 分支分配器箱
'fen'zhi'nian'tu 粉质粘土
'fen'zhi'nian'tu'ceng 粉质粘土层
'feng'bi'lou'ti 封闭楼梯
'feng'bi'lou'ti'jian 封闭楼梯间
'feng'guan 风管
'feng'he'zai 风荷载
'feng'ji'pan'guan'kong'tiao'xi'tong 风机盘管空调系统
'feng'li'fa'dian'ji 风力发电机
'feng'man'du 丰满度
'feng'mei'gui'tu 风玫瑰图
'feng'shui'xue 风水学
'feng'xiang'zhen 风向针
'feng'ya 风压
'feng'zhi'yin'shu 峰值因数
'fo'zuo 佛座
'fu'ban 腹板
'fu'bi 扶壁
'fu'bi'shi 附壁石
'fu'bi'shi'dang'tu'qiang 扶壁式挡土墙
'fu'di 腹地
'fu'he'chuang 复合窗
'fu'he'fen'lei 负荷分类
'fu'he'gu 复合箍
'fu'he'gu'jin 复合箍筋
'fu'he'men 复合门
'fu'he'qiang 复合墙
'fu'he'rong'liang 负荷容量
'fu'heng 附恒
'fu'jia'diao'jin 附加吊筋
'fu'jia'gu'jin 附加箍筋
'fu'jia'heng'zai 附加恒载
'fu'jia'zu'ni 附加阻尼
'fu'jie 副阶
'fu'jie'zhou'za 副阶周匝
'fu'jin 负筋
'fu'jing 副景
'fu'she 敷设
'fu'she'cai'nuan'xi'tong 辐射采暖系统
'fu'she'guan'dao 辐射管道
'fu'she'zu'kang 辐射阻抗
'fu'tu 覆土
'fu'tu 附图
'fu'tu'jian'zhu 覆土建筑
'fu'xian 敷线
'fu'zhu'guang 辅助光
'fu'zhu'guang'yuan 辅助光源
'fu'zhu'kai'guan 辅助开关
'fu'zhu'she'bei 辅助设备
'fu'zhu'she'ji 辅助设计
'fu'zhu'zhao'ming 辅助照明
'gai'suan 概算
'gai'wa 盖瓦
'gai'xing'li'qing 改性沥青
'gai'yu'suan 概预算
'gan'gao 杆高
'gan'gua'da'li'shi 干挂大理石
'gan'guan 干管
'gan'qi'shi 干砌石
'gan'shi'bian'ya'qi 干式变压器
'gan'shi'tong'qi'guan 干式通气管
'gan'shi'xiao'fang'li'guan 干式消防立管
'gan'shi'yu'zhi'zhuang'pei'gou'zao 干式预制装配构造
'gan'shi'zi'dong'pen'shui'xi'tong 干式自动喷水系统
'gan'shou'qi 干手器
'gan'suo 干缩
'gan'wei 杆位
'gan'xian 干线
'gan'xian'dian'lan 干线电缆
'gan'yan'huo'zai'tan'ce'qi 感烟火灾探测器
'gan'ying'dian'dong'ji 感应电动机
'gan'ying'xian'quan 感应线圈
'gan'ying'xiao'ying 感应效应
'gan'zao'ji 干燥机
'gan'zao'shi 干燥室
'gan'zhe'ban 甘蔗板
'gang'ban 钢板
'gang'ban'jian'li'qiang 钢板剪力墙
'gang'ban'wang'diao'ding 钢板网吊顶
'gang'ban'wang'ding'peng 钢板网顶棚
'gang'ban'wang'ge'duan 钢板网隔断
'gang'ban'wang'mo'hui 钢板网抹灰
'gang'ban'zhi'shui'dai 钢板止水带
'gang'bi 刚臂
'gang'cai 钢材
'gang'cai'biao 钢材表
'gang'cai'yi'lan'biao 刚才一览表
'gang'du 刚度
'gang'gu'gang'jin 钢骨钢筋
'gang'gu'hun'ning'tu 钢骨混凝土
'gang'guan 钢管
'gang'guan'hun'ning'tu 钢管混凝土
'gang'heng 杠横
'gang'jie 刚接
'gang'jie'gou 钢结构
'gang'jin 钢筋
'gang'jin'hun'ning'tu 钢筋混凝土
'gang'jin'hun'ning'tu'gong'cheng 钢筋混凝土工程
'gang'jin'hun'ning'tu'gou'jian 钢筋混凝土构件
'gang'jin'hun'ning'tu'guan 钢筋混凝土管
'gang'jin'hun'ning'tu'guo'liang 钢筋混凝土过梁
'gang'jin'hun'ning'tu'jian'li'qiang 钢筋混凝土剪力墙
'gang'jin'hun'ning'tu'jie'gou 钢筋混凝土结构
'gang'jin'hun'ning'tu'liang 钢筋混凝土梁
'gang'jin'hun'ning'tu'lou'gai 钢筋混凝土楼盖
'gang'jin'hun'ning'tu'lou'ti 钢筋混凝土楼梯
'gang'jin'hun'ning'tu'lu'mian 钢筋混凝土路面
'gang'jin'hun'ning'tu'wu'liang'lou'gai 钢筋混凝土无梁楼盖
'gang'jin'hun'ning'tu'yan'cong 钢筋混凝土烟囱
'gang'jin'jia'qi'hun'ning'tu'guo'liang 钢筋加气混凝土过梁
'gang'jin'long'chang'du 钢筋笼长度
'gang'jin'mao'gu'chang'du 钢筋锚固长度
'gang'jin'tong 钢筋砼
'gang'jin'wang 钢筋网
'gang'jin'wang'pian 钢筋网片
'gang'jin'zhi'jing 钢筋直径
'gang'jin'zhuan'guo'liang 钢筋砖过梁
'gang'jin'zhuan'qi'ti 钢筋砖砌体
'gang'liang 钢梁
'gang'long'gu 钢龙骨
'gang'lou'ti 钢楼梯
'gang'men 钢门
'gang'mo 钢模
'gang'mu'ban 钢模板
'gang'rou'zhi'zheng 刚柔之争
'gang'si'sheng 钢丝绳
'gang'si'shua 钢丝刷
'gang'si'wang'ge'duan 钢丝网隔断
'gang'tie'chang 钢铁厂
'gang'tong 钢砼
'gang'wa'xia'shui'dao 钢瓦下水道
'gang'xin 钢芯
'gang'xin'lv'xian 钢芯铝线
'gang'xin'tong'xian 钢芯铜线
'gang'xing'jiao 刚性角
'gang'xing'lian'jie 刚性连接
'gang'xing'liang 刚性梁
'gang'zhong'bi 刚重比
'gang'zhu 钢柱
'gao'biao'hao'shui'ni 高标号水泥
'gao'biao'hao'shui'ni'sha'jiang 高标号水泥砂浆
'gao'ceng'gong'yu 高层公寓
'gao'ceng'jian'zhu'hun'ning'tu'jie'gou'ji'shu'gui'cheng 高层建筑混凝土结构技术规程
'gao'ceng'min'yong'jian'zhu'she'ji'fang'huo'gui'fan 高层民用建筑设计防火规范
'gao'ceng'zhu'zhai 高层住宅
'gao'cheng 高程
'gao'di'ya 高低压
'gao'dian'ya 高电压
'gao'fen'zi'cai'liao 高分子材料
'gao'gui 高规
'gao'kuan'bi 高宽比
'gao'mi'du'ban 高密度板
'gao'pin'han'jie 高频焊接
'gao'pin'yang'sheng'qi 高频扬声器
'gao'qiang'luo'shuan 高强螺栓
'gao'shui'xiang 高水箱
'gao'song'jie'gou'she'ji'gui'fan 高耸结构设计规范
'gao'ya'bian'ya'qi 高压变压器
'gao'ya'dian'lan 高压电缆
'gao'ya'dian'yuan 高压电源
'gao'ya'kai'guan 高压开关
'gao'ya'kai'guan'ban 高压开关板
'gao'ya'na'qi'deng 高压钠汽灯
'gao'ya'pei'dian'pan 高压配电盘
'gao'ya'shui'yin'deng 高压水银灯
'gao'ya'xian 高压线
'gao'ya'xian'quan 高压线圈
'ge'ceng'shu'jing'nei 各层竖井内
'ge'duan 隔断
'ge'duan'ban 隔断板
'ge'huo'qiang 隔火墙
'ge'huo'she'shi 隔火设施
'ge'li'bing'fang 隔离病房
'ge'li'ceng 隔离层
'ge'li'kai'guan 隔离开关
'ge'pian 格片
'ge'pian'san'guang'zhao 格片散光罩
'ge'qiang 隔墙
'ge'qiang'feng'zhi 隔墙封纸
'ge'qiang'qing'long'gu 隔墙轻龙骨
'ge'qiang'xian'zai 隔墙线载
'ge're 隔热
'ge're'ban 隔热板
'ge're'bo'li 隔热玻璃
'ge're'cai'liao 隔热材料
'ge're'ceng 隔热层
'ge're'di'ban 隔热地板
'ge're'hun'ning'tu 隔热混凝土
'ge're'nai'huo'cai'liao 隔热耐火材料
'ge'shan 格栅
'ge'sheng'ceng 隔声层
'ge'sheng'dian 隔声垫
'ge'sheng'gong'cheng 隔声工程
'ge'sheng'liang 隔声量
'ge'sheng'men 隔声门
'ge'sheng'mu 隔声幕
'ge'sheng'zhao 隔声罩
'ge'xing'guan 格形管
'ge'yin'ban 隔音板
'ge'yin'cai'liao 隔音材料
'ge'yin'ceng 隔音层
'ge'yin'hun'ning'tu 隔音混凝土
'ge'yin'men 隔音门
'ge'yin'qiang 隔音墙
'ge'yin'shi 隔音室
'ge'zhen 隔震
'ge'zhen'jie'gou 隔震结构
'gei'shui'beng 给水泵
'gei'shui'biao 给水表
'gei'shui'guan 给水管
'gei'shui'guan'xian 给水管线
'gei'shui'li'guan 给水立管
'gen'yue 艮岳
'geng'zhi'tu'ceng 耕植土层
'gong'cheng'bian'hao 工程编号
'gong'cheng'tong'zhi'dan 工程通知单
'gong'deng 宫灯
'gong'dian'gan'xian 供电干线
'gong'dian'hui'lu 供电回路
'gong'dian'ji'zu 供电机组
'gong'dian'xi'tong 供电系统
'gong'ding 拱顶
'gong'gong'an'quan'shi'gu 公共安全事故
'gong'gong'zhao'ming 公共照明
'gong'gong'zou'dao 公共走道
'gong'lang 拱廊
'gong'li 公厘
'gong'lv'yin'shu 功率因数
'gong'lv'yin'shu'bu'chang 功率因数补偿
'gong'min'jian 工民建
'gong'neng'fen'xi 功能分析
'gong'nuan'xi'tong 供暖系统
'gong'qi'guan 供气管
'gong'qi'guan'dao 供气管道
'gong'shui'gan'guan 供水干管
'gong'yong'jie'di 共用接地
'gong'yong'xian 共用线
'gong'zhen 共振
'gong'zhen'xi'shou 共振吸收
'gong'zi'gang 工字钢
'gong'zi'liang 工字梁
'gong'zi'tie 工字铁
'gong'zuo'deng 工作灯
'gong'zuo'dian'ya 工作电压
'gong'zuo'dian'yuan 工作电源
'gong'zuo'jie'di 工作接地
'gou'feng 勾缝
'gou'gai'ban 沟盖板
'gou'jia'an'zhuang 构架安装
'gou'jian 构件
'gou'lan 勾阑
'gou'lan 钩栏
'gou'zao 构造
'gou'zao'bian'yuan'gou'jian 构造边缘构件
'gou'zao'feng 构造缝
'gou'zao'jin 构造筋
'gou'zao'pei'jin 构造配筋
'gou'zao'xiang'tu 构造详图
'gou'zhu'wu 构筑物
'gu'ding'bai'ye'chuang 固定百页窗
'gu'ding'chuang 固定窗
'gu'ding'jian 固定件
'gu'ding'zhuang'zhi 固定装置
'gu'ding'zuo'wei 固定座位
'gu'duan 固端
'gu'feng'ji 鼓风机
'gu'jin 箍筋
'gu'liao 骨料
'gu'lou 鼓楼
'gu'shang'shi 孤赏石
'gu'ti'dian'lu 固体电路
'gu'ti'sheng 固体声
'gu'tou 箍头
'gu'zuo 鼓座
'gua'ban 挂板
'gua'gong 瓜拱
'gua'gong 瓜栱
'gua'jing'xian 挂镜线
'gua'luo 挂落
'gua'ni'zi 刮腻子
'gua'qiang 挂墙
'gua'suo 挂锁
'gua'wa'tiao 挂瓦条
'gua'zi'gong 瓜子栱
'guan'bi 管壁
'guan'bi'hou 管壁厚
'guan'dao 管道
'guan'dao'an'zhuang 管道安装
'guan'dao'bao'wen 管道保温
'guan'dao'jian 管道间
'guan'dao'jing 管道井
'guan'dao'nei'di'biao'gao 管道内底标高
'guan'dao'she'ji 管道设计
'guan'dao'xi'tong'tu 管道系统图
'guan'dao'xiao'sheng 管道消声
'guan'feng 灌缝
'guan'gou 管沟
'guan'nei'fu'xian 管内敷线
'guan'nei'jing 管内径
'guan'qian 管钳
'guan'qian'zi 管钳子
'guan'tong 贯通
'guan'wai'jing 管外径
'guan'wang'zong'he 管网综合
'guan'xian 管线
'guan'xian'bu'zhi 管线布置
'guan'xian'xi'tong 管线系统
'guan'xing'rong'duan'qi 管型熔断器
'guan'zhu'zhuang 灌注桩
'guan'zi'diao'jia 管子吊架
'guan'zi'gu 管子箍
'guan'zi'tuo'jia 管子托架
'guang'dian'chi 光电池
'guang'dian'gan'yan'tan'ce'qi 光电感烟探测器
'guang'dian'guan 光电管
'guang'dian'kong'zhi 光电控制
'guang'dian'kong'zhi'zhuang'zhi 光电控制装置
'guang'dian'xiao'ying 光电效应
'guang'du 光度
'guang'jiao'xing'deng'ju 广角型灯具
'guang'mian'gang'jin 光面钢筋
'guang'min'kai'guan 光敏开关
'guang'qiang 光强
'guang'qiang'fen'bu'qu'xian 光强分布曲线
'guang'shu 光束
'guang'tong'liang 光通量
'guang'tong'liang'fa 光通量法
'guang'ying 光影
'guang'yuan 光源
'guang'zhao'qi'hou'xi'shu 光照气候系数
'gui'dang 归档
'gui'dao'liang 轨道梁
'gui'dui'jiao'xian 柜对角线
'gui'gang'pian 硅钢片
'gui'hua'shi 规划师
'gui'jiao 圭角
'gui'jiao 硅胶
'gun'tu 滚涂
'guo'dian'liu 过电流
'guo'dian'liu'bao'hu 过电流保护
'guo'dian'liu'bao'hu'zhuang'zhi 过电流保护装置
'guo'dian'liu'ji'dian'qi 过电流继电器
'guo'dian'ya 过电压
'guo'dian'ya'bao'hu 过电压保护
'guo'jie'lou 过街楼
'guo'liang 过梁
'guo'lu 锅炉
'guo'lu'gei'shui'beng 锅炉给水泵
'guo'lu'jian 锅炉间
'guo'lu'ya'li'rong'qi 锅炉压力容器
'guo'lv'ceng 过滤层
'guo'lv'qi 过滤器
'guo'lv'shi 过滤室
'guo'lv'zhuang'zhi 过滤装置
'guo'zai 过载
'guo'zai'bao'hu 过载保护
'guo'zai'duan'lu'qi 过载断路器
'guo'zai'ji'dian'qi 过载继电器
'guo'zai'neng'li 过载能力
'guo'zai'shi'yan 过载试验
'ha'si'xiao'ying 哈斯效应
'hai'man'tian'hua 海墁天花
'han'ban 颔版
'han'bing'chang 旱冰场
'han'feng 焊缝
'han'gang'liang 含钢量
'han'ji 焊剂
'han'jie 焊接
'han'jie'che'jian 焊接车间
'han'jie'gang'guan 焊接钢管
'han'jie'gang'jie'gou 焊接钢结构
'han'jie'gang'jin 焊接钢筋
'han'jie'gang'jin'wang 焊接钢筋网
'han'jie'guan 焊接管
'han'shi'du 含湿度
'han'shui'du 含水度
'han'si 焊丝
'han'xi 焊锡
'han'you 焊油
'hang'kuo'zhuang 夯扩桩
'hang'shi 夯实
'hang'shi'hui'tian'tu 夯实回填土
'hang'tu'qiang 夯土墙
'hao'an 毫安
'hao'dian'liang 耗电量
'hao'ke 毫克
'hao'mi 毫米
'hao'miao 毫秒
'hao'ou 毫欧
'hao'sheng 毫升
'hao'wa 毫瓦
'he'cheng'shu'zhi'rong'ye'xi'tu'liao 合成树脂溶液系涂料
'he'cheng'xiang'jiao'xi'jiao'jie'ji 合成橡胶系胶结剂
'he'dian'zhan 核电站
'he'jin'gang 合金钢
'he'jin'guan 合金管
'he'liu'feng 阂留缝
'he'xi'cai'hua 和玺彩画
'he'xin 核芯
'he'xin'qu 核心区
'he'xin'tong 核心筒
'he'xin'tong 核芯筒
'he'ye 合页
'he'yong'xian 合用线
'he'zai 荷载
'he'zai'dai'biao'zhi 荷载代表值
'he'zai'dao'suan 荷载导算
'he'zai'she'ji'zhi 荷载设计值
'he'zai'shu'ru 荷载输入
'he'zai'zu'he 荷载组合
'he'zi 赫兹
'he'zuo'she'ji 合作设计
'hei'jin'sha'ma'shi 黑金沙麻石
'hei'tie'guan 黑铁管
'hei'tie'pi 黑铁皮
'heng'duan'mian 横断面
'heng'gong 横栱
'heng'guan'wan'qu'du 横管弯曲度
'heng'he'zai 恒荷载
'heng'jia 桁架
'heng'jia'gong 桁架拱
'heng'jia'kuang'jia 桁架框架
'heng'jie'mian 横截面
'heng'jin 横筋
'heng'kan 横槛
'heng'liang 横梁
'heng'ming'shu'yin 横明竖隐
'heng'pou'mian 横剖面
'heng'wen'heng'shi 恒温恒湿
'heng'wen'qi 恒温器
'heng'wen'she'bei 恒温设备
'heng'wen'shi 恒温室
'heng'xiang'gang'jin 横向钢筋
'heng'xiang'shen'suo'feng 横向伸缩缝
'heng'xiang'shu'san'kou 横向疏散口
'heng'ya'bian'ya'qi 恒压变压器
'heng'yin'shu'ming 横隐竖明
'heng'zai 恒载
'hong'dan'qi 红丹漆
'hong'shou'qi 烘手器
'hong'wai'xian'deng 红外线灯
'hong'xi'pen'she 虹吸喷射
'hong'xian 红线
'hou'bi'guan 厚壁管
'hou'chu'li 后处理
'hou'jiao'dai 后浇带
'hou'li'mian 后立面
'hou'lou'ti 后楼梯
'hou'qi 厚漆
'hou'shi'tu 后视图
'hou'tian'tu 后填土
'hou'ting 后庭
'hou'zhang'fa 后张法
'hu'ban 护板
'hu'bi 护壁
'hu'er'qi 护耳器
'hu'guang'deng 弧光灯
'hu'guang'deng'zhao'ming 弧光灯照明
'hu'guang'ju'guang'deng 弧光聚光灯
'hu'han 弧焊
'hu'po 护坡
'hu'qiang'ban 护墙板
'hu'tao'xian 护套线
'hu'wai'ce'suo 户外厕所
'hua'ban 华版
'hua'che 滑车
'hua'dao 滑道
'hua'fang 花房
'hua'gang'shi 花岗石
'hua'gang'shi'ban 花岗石板
'hua'gang'shi'ban'di'mian 花岗石板地面
'hua'gang'shi'mian'ceng 花岗石面层
'hua'gang'yan 花岗岩
'hua'gang'yan'pu'qi 花岗岩铺砌
'hua'gong 华拱
'hua'gong 华栱
'hua'gui 滑轨
'hua'jia'chuan 花架椽
'hua'lan'luo'si 花篮螺丝
'hua'lun 滑轮
'hua'se'chuang'ling 花色窗棂
'hua'ti 滑梯
'hua'xue'luo'shuan 化学螺栓
'hua'ya'zi 花牙子
'hua'ya'zi'que'ti 花牙子雀替
'hua'yi 滑移
'hua'zhou'chuang 滑轴窗
'huan'chong'chi 缓冲池
'huan'deng 幻灯
'huan'deng'ji 幻灯机
'huan'jing'qi'hou 环境气候
'huan'jing'she'ji 环境设计
'huan'jing'tiao'jian 环境条件
'huan'jing'wen'du 环境温度
'huan'jing'wu'ran 环境污染
'huan'jing'zao'sheng 环境噪声
'huan'liu'qi 换流器
'huan'neng'qi 换能器
'huan'ning'ji 缓凝剂
'huan'qi'zhuang'zhi 换气装置
'huan'tian'ceng 换填层
'huan'xing'gan'guan'bu'zhi 环形干管布置
'huan'xing'jiao'cha 环行交叉
'huan'yang 环氧
'huan'yang'shu'zhi 环氧树脂
'huan'yang'shu'zhi'jiao 环氧树脂胶
'huan'yang'shu'zhi'xi'jiao'jie'ji 环氧树脂系胶结剂
'huan'zhang'xing 缓胀性
'huan'zhuang'guan'wang 环状管网
'huang'jin'fen'ge 黄金分割
'huang'shi 黄石
'huang'tong 黄铜
'huang'tong'ban 黄铜板
'huang'tong'dian'quan 黄铜垫圈
'huang'tong'guan 黄铜管
'huang'tong'tao'guan 黄铜套管
'hui'feng'guan'dao 回风管道
'hui'feng'guan'dao'xi'tong 回风管道系统
'hui'feng'kou 回风口
'hui'feng'xi'tong 回风系统
'hui'guang 辉光
'hui'guang'deng 辉光灯
'hui'guang'fang'dian 辉光放电
'hui'lu 回路
'hui'qian 会签
'hui'shui'gan'guan 回水干管
'hui'shui'guan 回水管
'hui'shui'li'guan 回水立管
'hui'shui'xi'tong 回水系统
'hui'tan 回弹
'hui'tan'zai'ya'suo 回弹再压缩
'hui'tian 回填
'hui'tian'tu 回填土
'hui'tu'di'mian 灰土地面
'hui'tu'hang'shi 灰土夯实
'hui'yi'shi 会议室
'hui'yin'lang 回音廊
'hui'zhuan'ban'jing 回转半径
'hun'he'fa 混合阀
'hun'he'jie'gou 混合结构
'hun'ning'tu 混凝土
'hun'ning'tu'ban 混凝土板
'hun'ning'tu'bao'hu'ceng 混凝土保护层
'hun'ning'tu'biao'hao 混凝土标号
'hun'ning'tu'chuang'tai 混凝土窗台
'hun'ning'tu'di'mian 混凝土地面
'hun'ning'tu'fang'huo'ceng 混凝土防火层
'hun'ning'tu'guan'feng 混凝土灌缝
'hun'ning'tu'gui'fan 混凝土规范
'hun'ning'tu'guo'liang 混凝土过梁
'hun'ning'tu'jie'gou 混凝土结构
'hun'ning'tu'jie'gou'gou'zao'shou'ce 混凝土结构构造手册
'hun'ning'tu'jie'gou'she'ji'gui'fan 混凝土结构设计规范
'hun'ning'tu'lu'mian'ban 混凝土路面版
'hun'ning'tu'mian'ceng 混凝土面层
'hun'ning'tu'mu'ban 混凝土模板
'hun'ning'tu'pei'jin 混凝土配筋
'hun'ning'tu'qi'kuai 混凝土砌块
'hun'ning'tu'qi'kuai'gong'cheng 混凝土砌块工程
'hun'ning'tu'qi'ti 混凝土砌体
'hun'ning'tu'qiang 混凝土墙
'hun'ning'tu'yi'ci'jiao'guan 混凝土一次浇灌
'hun'ning'tu'yi'xing'zhu'jie'gou'ji'shu'gui'fan 混凝土异形柱结构技术规范
'hun'ning'tu'yu'mai'jian 混凝土预埋件
'hun'ning'tu'zhao'ping'ceng 混凝土找平层
'hun'ning'tu'zhu'zi 混凝土柱子
'hun'xiang'shi'jian 混响时间
'huo'che'zhan 火车站
'huo'he'zai 活荷载
'huo'jing'bao'jing 火警报警
'huo'jing'bao'jing'xi'tong 火警报警系统
'huo'li'fa'dian'zhan 火力发电站
'huo'men'kan 活门槛
'huo'sai'shi'leng'shui'ji 活塞式冷水机
'huo'zai 活载
'huo'zai 火灾
'huo'zai'fen'lei 火灾分类
'huo'zai'yu'bao'zha 火灾与爆炸
'huo'zai'zi'dong'bao'jing 火灾自动报警
'huo'zai'zi'dong'bao'jing'xi'tong 火灾自动报警系统
'ji'ben'feng'ya 基本风压
'ji'ben'xue'ya 基本雪压
'ji'ben'zu'he 基本组合
'ji'ceng'mu'long'gu 基层木龙骨
'ji'ceng'qing'li 基层清理
'ji'chang'deng'biao 机场灯标
'ji'chang'pao'dao 机场跑道
'ji'chu 基础
'ji'chu'di 基础底
'ji'chu'ding 基础顶
'ji'chu'nei'gang'jin 基础内钢筋
'ji'chu'ping'mian'bu'zhi'tu 基础平面布置图
'ji'chu'ping'mian'tu 基础平面图
'ji'chu'tu 基础图
'ji'chuang 基床
'ji'chuang'fan'li 基床反力
'ji'chuang'fan'li'xi'shu 基床反力系数
'ji'di 基底
'ji'di'biao'gao 基底标高
'ji'dian'bao'hu 继电保护
'ji'dian'qi 继电器
'ji'fang 机房
'ji'fang'ceng 机房层
'ji'fen'qiu 积分球
'ji'fu 脊傅
'ji'gua'zhu 脊瓜柱
'ji'hui'ren'wang 机毁人亡
'ji'liang 计量
'ji'liang'yi'biao 计量仪表
'ji'liao 集料
'ji'pai'shui 给排水
'ji'pai'shui'tu'zhi 给排水图纸
'ji'pai'shui'zhuan'ye 给排水专业
'ji'pei'sha'luan'shi'dian'ceng 级配砂卵石垫层
'ji'pin 基频
'ji'shui'cao 集水槽
'ji'shui'guan 集水管
'ji'shui'keng 集水坑
'ji'suan 机算
'ji'suan'gao'du 计算高度
'ji'xian 极限
'ji'xian'kai'guan 极限开关
'ji'xian'zhuang'tai 极限状态
'ji'xie'gong'cheng'shi 机械工程师
'ji'xie'lian'jie 机械连接
'ji'xie'mao'gu 机械锚固
'ji'xie'men'suo 机械门锁
'ji'xie'pai'qi'tong'feng'xi'tong 机械排气通风系统
'ji'xie'pai'yan'xi'tong 机械排烟系统
'ji'xie'qiang'du 机械强度
'ji'xie'she'bei 机械设备
'ji'xie'song'feng 机械送风
'ji'xie'tong'feng 机械通风
'ji'xie'tong'feng'xi'tong 机械通风系统
'ji'xin'zao 计心造
'ji'zhong'biao'zhu 集中标注
'ji'zhong'gong'nuan 集中供暖
'ji'zhong'gong'nuan'xi'tong 集中供暖系统
'ji'zhong'kong'tiao 集中空调
'ji'zhong'kong'tiao'xi'tong 集中空调系统
'ji'zhong'pai'shui 集中排水
'ji'zhong'zhi'leng 集中制冷
'ji'zhong'zhi'leng'xi'tong 集中制冷系统
'jia'ceng 夹层
'jia'ceng'luo'shuan 夹层螺栓
'jia'fu 架傅
'jia'gong'tu 加工图
'jia'gong'xiang'tu 加工详图
'jia'gu'jian 加固件
'jia'jian'gong'cheng 加建工程
'jia'jin 加劲
'jia'jin'ban 加劲板
'jia'jin'lei 加劲肋
'jia'jing 夹景
'jia'ju'bu'zhi'tu 家居布置图
'jia'kong'xian'lu 架空线路
'jia'li'gang'jin 架立钢筋
'jia'li'jin 架立筋
'jia'mi'qu 加密区
'jia'qi 加气
'jia'qi'hun'ning'tu 加气混凝土
'jia'qi'hun'ning'tu'ban 加气混凝土板
'jia'qi'hun'ning'tu'ge'qiang 加气混凝土隔墙
'jia'qi'hun'ning'tu'lou'ban 加气混凝土楼板
'jia'qi'kuai 加气块
'jia'qiang'dai 加强带
'jia'shan 假山
'jia'she 架设
'jia'shi'hun'ning'tu 假石混凝土
'jia'shi'qi 加湿器
'jia'shi'qi'kuai 假石砌块
'jia'xin'ban 夹芯板
'jia'ya'feng'ji 加压风机
'jia'yao'jian 加药间
'jia'ye 加腋
'jia'ye'liang 加腋梁
'jia'yong'bing'xiang 家用冰箱
'jia'yong're'shui'qi 家用热水器
'jian'ce'zhan 检测站
'jian'cha'jing 检查井
'jian'cha'jing'gai 检查井盖
'jian'cha'kong 检查孔
'jian'dao'cheng 剪刀撑
'jian'dao'shi'lou'ti 剪刀式楼梯
'jian'guan'gong'cheng'shi 监管工程师
'jian'han'liang 碱含量
'jian'jie'cai'nuan 间接采暖
'jian'kong'an'zhuang 监控安装
'jian'kua'bi 剪跨比
'jian'li 剪力
'jian'li'qiang 剪力墙
'jian'li'shuan'ding 剪力栓钉
'jian'niu 剪扭
'jian'qie 剪切
'jian'qie'mo'liang 剪切模量
'jian'qie'po'huai 剪切破坏
'jian'qie'tan'xing'mo'liang 剪切弹性模量
