'an'quan'dai 安全带
'ji'zong'zhi'liang'ju'zhen 集总质量矩阵
'jia'can'kao'zhou 假参考轴
'jia'gu'gong'cheng'jia'gu'gong'cheng 加固工程加固工程
'jia'jin'lei 加劲肋
'jia'jin'liang 加劲梁
'jia'jin'liang'jie'dian 加劲梁节点
'jia'jin'xuan'suo'qiao 加劲悬索桥
'jia'ju 夹具
'jia'su 加速
'jia'zai'mian 加载面
'jia'zu'li'xi'shu 假阻力系数
'jian'cha'jie'guo 检查结果
'jian'ju 间距
'jian'li 剪力
'jian'li'ding 剪力钉
'jian'li'he'wan'ju'tu 剪力和弯矩图
'jian'li'qiang 剪力墙
'jian'li'qiang'jie'gou 剪力墙结构
'jian'li'tu 剪力图
'jian'mo 建模
'jian'mo'qi 建模期
'jian'mo'xi'tong'jian'mo'zao'xing'xiu'gai'gong'ju'lan 建模系统建模造型修改工具栏
'jian'qie'gang'jin'jian'qie'gang'jin 剪切钢筋剪切钢筋
'jian'qie'mo'liang 剪切模量
'jian'qie'po'huai 剪切破坏
'jian'qie'qiang'du 剪切强度
'jian'su 减速
'jian'xing'de 硷性的
'jian'xing'de 碱性的
'jian'ying'bian 剪应变
'jian'ying'bian'ji 剪应变计
'jian'ying'bian'neng 剪应变能
'jian'ying'li 剪应力
'jian'ying'li'xian 剪应力线
'jian'zhi'jie'gou 简支结构
'jian'zhi'liang 简支梁
'jian'zhi'liang'qiao 简支梁桥
'jian'zhu'cai'liao 建筑材料
'jiao'ban'qi 搅拌器
'jiao'shou'jia 脚手架
'jie'dao'zhao'ming'he'you'guan'she'bei 街道照明和有关设备
'jie'dao'zhao'ming'she'bei'jie'dao'zhao'ming'she'bei 街道照明设备街道照明设备
'jie'dian 节点
'jie'dian'ban 节点板
'jie'dian'ban'jie'tou 节点板接头
'jie'dian'ban'lian'jie 节点板联结
'jie'dian'he'zai 节点荷载
'jie'dian'li 节点力
'jie'gou'an'quan'du 结构安全度
'jie'gou'dong'li'xue 结构动力学
'jie'gou'fen'xi 结构分析
'jie'gou'gang 结构钢
'jie'gou'gang'gou'jian 结构钢构件
'jie'gou'gong'cheng 结构工程
'jie'gou'gong'cheng'shi 结构工程师
'jie'gou'jia'gu'gong'cheng 结构加固工程
'jie'gou'kong'zhi 结构控制
'jie'gou'kong'zhi'ji 结构控制剂
'jie'gou'li'xue 结构力学
'jie'gou'wen'ding'xing 结构稳定性
'jie'gou'wen'ding'xing'biao'zhun 结构稳定性标准
'jie'gou'wen'ding'xing'fen'xi 结构稳定性分析
'jie'gou'xing'shi 结构形式
'jie'gou'you'hua'she'ji'jie'gou'you'hua'she'ji 结构优化设计结构优化设计
'jie'gou'you'xian'yuan'jie'gou'you'xian'yuan'fen'xi 结构有限元结构有限元分析
'jie'gou'zhong'yao'xing'xi'shu'jie'gou'zhong'yao'xing'xi'shu 结构重要性系数结构重要性系数
'jie'gou'zi'zhong 结构自重
'jie'guo'zhai'yao 结果摘要
'jie'he'li 结合力
'jie'li 节理
'jie'li'xing'lie'feng'jie'li'xing'lie'feng 节理型裂缝节理型裂缝
'jie'li'zhu 接立柱
'jie'mian'hui'zhuan'ban'jing 截面回转半径
'jie'mian'wan'qu'gang'du 截面弯曲刚度
'jie'shi'li'mian'tu 截视立面图
'jie'xi'jie'jie'xi'jie 解析解解析解
'jie'xi'jie'xiang 解析解像
'jie'xian'pian'xin'ju 界限偏心距
'jin'ji'ting'che 紧急停车
'jin'ji'ting'che'dai 紧急停车带
'jin'ji'ting'che'fa 紧急停车阀
'jin'sha'zi 金砂子
'jin'xing'gang'jin'hun'ning'tu'jie'gou 劲性钢筋混凝土结构
'jin'zhi'zi'xing'che'tong'xing 禁止自行车通行
'jing'ding 静定
'jing'ding'gang'jia 静定刚架
'jing'ding'jie'gou 静定结构
'jing'ding'liang 静定梁
'jing'gao 净高
'jing'huo'zai 静活载
'jing'ji'de 经济的
'jing'ju 净距
'jing'kong'gao'du 净空高度
'jing'kua'ju'jing'kong'ju 净跨距净孔距
'jing'kua'ju'jing'kua'ju 净跨距净跨距
'jing'shui'ying'li'zhuang'tai 静水应力状态
'jing'tu'ya'li 静土压力
'jing'wei'yi 经纬仪
'jiu'gong'qiao 鸠拱桥
'ju'bu'jian'qie'po'huai 局部剪切破坏
'ju'da'chang'hong'guan'biao'shi'hong'guan'de'da'de 巨大长宏观表示宏观的大的
'ju'he'wu 聚合物
'ju'xing 矩形
'ju'xing'xiang'jiao'dian'quan 矩形橡胶垫圈
'ju'zhen'wei'yi'fa 矩阵位移法
'jue'ding'yu'jue'ding'yu 决定于决定于
'jue'ding'yu'shi'fa'de'su'du 决定于施法的速度
'jun'bu'he'zai 均布荷载
'jun'bu'he'zai'jun'yun'fu'he 均布荷载均匀负荷
'jun'bu'ying'li 均布应力
'jun'bu'ying'li'jun'bu'ying'li 均布应力均布应力
'kang'chong'ji'ren'xing 抗冲击韧性
'kang'feng 抗风
'kang'feng'mao 抗风锚
'kang'feng'xing 抗风性
'kang'fu'shi'de 抗腐蚀的
'kang'jian'li'qiang 抗剪力墙
'kang'la'qiang'du 抗拉强度
'kang'li'fen'xiang'xi'shu 抗力分项系数
'kang'pi'lao'qiang'du 抗疲劳强度
'kang'po'huai'qiang'du 抗破坏强度
'kang'ya'qiang'du 抗压强度
'kang'ya'ying'li 抗压应力
'kang'zhen 抗震
'ke'bian'guang'lan'zuo'yong 可变光阑作用
'ke'bian'ji'zhong'he'zai 可变集中荷载
'ke'bian'zuo'yong'biao'zhun'zhi 可变作用标准值
'ke'bian'zuo'yong'ke'bian'zuo'yong 可变作用可变作用
'ke'kao'du 可靠度
'ke'tiao'qi'pao'shui'zhun'yi 可调气泡水准仪
'ke'xi'ji'shu'shou'lian'tiao'jian 柯西级数收敛条件
'ke'xing'xing'yan'jiu 可行性研究
'kong'jian'da'di'ce'liang'xue 空间大地测量学
'kong'jian'gou'jia 空间构架
'kong'jian'gou'jia'ding 空间构架顶
'kong'xin'ban'liang'kong'xin'ban'liang 空心板梁空心板梁
'kong'xin'qiao'dun 空心桥墩
'kong'zhi 控制
'kong'zhi'lie'feng'gang'jin 控制裂缝钢筋
'kong'zhi'tai 控制台
'ku'lun'na'wei'er'qiang'du'zhun'ze 库仑纳维尔强度准则
'kua'du 跨度
'kua'yue 跨越
'kua'yue'dian 跨越点
'kua'yue'gan 跨越杆
'kuai'shi'hu'po'gong'cheng 块石护坡工程
'kuai'xing'che'dao 快行车道
'kuai'ying'shui'ni 快硬水泥
'kuan'du 宽度
'kuan'li'zhu 宽立柱
'kuan'yuan'gong'zi'gang'zhuang 宽缘工字钢桩
'kuang'jia'jie'gou 框架结构
'kuang'jia'shi'qiao 框架式桥
'kuo'da'ji'chu'kuo'da'ji'chu 扩大基础扩大基础
'kuo'da'ke'hu'ji'chu 扩大客户基础
'kuo'jie'gou'you'hua'she'ji 扩结构优化设计
'kuo'san'mian'ji 扩散面积
'kuo'san'qi'mian'ji'bi 扩散器面积比
'kuo'zhan'kuo'da'ji'chu 扩展扩大基础
'la'fei'te'da'qiao 拉斐特大桥
'la'suo 拉索
'lan'gan 栏杆
'lan'suo 缆索
'lei'dai'biao'zhi 类代表值
'lei'si'de 类似的
'leng'ba'gang'si 冷拔钢丝
'leng'jing 棱镜
'leng'zhu'leng'jing'san'leng'zhu 棱柱棱镜三棱柱
'li'fa 力法
'li'ju'fen'pei'fa 力矩分配法
'li'lun'li'xue 理论力学
'li'lun'li'xue'chuang'xin'shi'yan 理论力学创新实验
'li'lun'li'xue'yu'cai'liao'li'xue 理论力学与材料力学
'li'mian'tu 立面图
'li'qing 沥青
'li'qing'pei'he'bi'she'ji 沥青配合比设计
'li'san'zui'da'zhi'yuan'li 离散最大值原理
'li'shi'chong'tian 砾石充填
'li'shi'chong'tian'ceng 砾石充填层
'li'shi'chong'tian'zhu 砾石充填柱
'li'ti'di'zhi'pou'mian'tu 立体地质剖面图
'li'ti'pou'mian'tu'li'ti'pou'mian'tu 立体剖面图立体剖面图
'li'xi'hun'ning'tu 离析混凝土
'li'xin'li 离心力
'li'zhu 立柱
'lian'he'gai'lv'fen'bu 联合概率分布
'lian'jie'gou'jia'gang'xing'gou'jia 联结构架刚性构架
'lian'jie'shen'suo'feng 连接伸缩缝
'lian'jie'xi 联结系
'lian'xu'duo'kua'duo'kua'lian'xu'liang 连续多跨多跨连续梁
'lian'xu'gang'gou'qiao 连续刚构桥
'lian'xu'liang 连续梁
'lian'xu'xing 连续性
'liang'fu'ban 梁腹板
'liang'gong'fu 梁拱腹
'liang'han'dong 梁涵洞
'liang'kong'tie'lu'qiao 两孔铁路桥
'liang'qiang'du'ce'shi'qi 梁强度测试器
'lie'feng 裂缝
'lie'feng'kong'zhi'lie'feng'kong'zhi 裂缝控制裂缝控制
'lie'feng'kuan'du'rong'xu'zhi'lie'feng'kuan'du'rong'xu'zhi 裂缝宽度容许值裂缝宽度容许值
'lie'yan'sha'mo'qu'yu 烈焰沙漠区域
'ling'yu 领域
'liu'hua'yan'huan'ji 硫化延缓剂
'liu'liang'ji 流量计
'liu'shui'ya'li'liu'shui'ya'li 流水压力流水压力
'liu'suan'yan 硫酸盐
'liu'yu'ji'he'te'zheng 流域几何特征
'long'gu'dun'ding'dian 龙骨墩顶垫
'long'men'diao'long'men'diao 龙门吊龙门吊
'lou'mian'huo'zai 楼面活载
'lu'deng 路灯
'lu'di 路堤
'lu'gong'heng'po 路拱横坡
'lu'jian 路肩
'lu'yuan'dai 路缘带
'lu'zhong'yang'fen'ge'lan'jin'ji'tong'dao 路中央分隔栏紧急通道
'luan'shi 卵石
'lun'du 轮渡
'lun'du'zhan 轮渡站
'lun'kuo'deng'gao'xian'zhou'xian'dian'lu'gai'yao 轮廓等高线周线电路概要
'lun'zheng 论证
'luo'hu'tie'lu'qiao 罗湖铁路桥
'luo'shuan'zhou'li'ce'shi'yi 螺栓轴力测试仪
'mai'shi'qiao'tai 埋式桥台
'mai'zhi 埋置
'mai'zhi'de 埋置的
'mai'zhi'shi'qiao'tai 埋置式桥台
'mai'zhi'xing 埋置性
'mao'ding 铆钉
'mao'ding'gang 铆钉钢
'mao'ding'ji 铆钉机
'mao'ding'kong 锚定孔
'mao'gu 锚固
'mao'gu'jian 锚固件
'mao'gu'li 锚固力
'mao'ju 锚具
'mao'kong 锚孔
'mao'tou 锚头
'mao'tou'cheng 锚头城
'mao'tou'pao 锚头泡
'mao'zhi'mao'kong'qi'mao'wan'bi 锚至锚孔起锚完毕
'mei'guan 美观
'mei'guo'hun'ning'tu'qi'ti'xie'hui 美国混凝土砌体协会
'mei'guo'hun'ning'tu'xie'hui'mei'guo'hun'ning'tu'xie'hui 美国混凝土协会美国混凝土协会
'mei'guo'shang'pin'hun'ning'tu'xie'hui 美国商品混凝土协会
'mei'guo'tu'mu'gong'cheng'shi'xie'hui 美国土木工程师协会
'mei'jie'gou'fen'xi 酶结构分析
'mei'xue 美学
'meng'fu'qiao 梦浮桥
'mi'du 密度
'mian'ji'shi'cheng'bi'li 面积使成比例
'mian'yi'zeng'qiang'ji 免疫增强剂
'miao'qian'chu'li'qi 瞄前处理器
'ming'yu'shui'guan 明雨水管
'mo'ca'xi'shu 摩擦系数
'mo'er'qiang'du'zhun'ze 莫尔强度准则
'mo'shu 模数
'mo'xing 模型
'mu'ban 模板
'mu'han'dong 木涵洞
'mu'heng'jia'qiao 木桁架桥
'mu'qiao 木桥
'mu'qiao'shi 木桥市
'nai'jian'xing'de 耐碱性的
'nai'jiu'xing 耐久性
'nai'jiu'xing'shi'yan 耐久性试验
'nao'du 挠度
'nao'du'ji 挠度计
'nao'du'qu'xian 挠度曲线
'nei'bu'chao'jing'ding'jie'gou 内部超静定结构
'nei'li 内力
'nei'mo'ca'jiao 内摩擦角
'nei'pai'shui'xi'tong 内排水系统
'nei'ya'ying'li 内压应力
'ni'shi'liu 泥石流
'ni'suan'bei'na'fen'zi'shi'wei 铌酸钡钠分子式为
'nian'gao 年糕
'nian'he'li 黏合力
'nian'jie'hua'yi 粘结滑移
'nian'tan'xing'li'xue 粘弹性力学
'niu'zhuan 扭转
'niu'zhuan'fu'he'niu'zhuan'zai'he 扭转负荷扭转载荷
'niu'zhuan'jian'qie'qiang'du 扭转剪切强度
'niu'zhuan'jiao 扭转角
'niu'zhuan'wan'qu 扭转弯曲
'niu'zhuan'ying'li 扭转应力
'niu'zhuan'zai'he 扭转载荷
'nong'du'zeng'qiang'ji 浓度增强剂
'ou'he'li 耦合力
'ou'ran'tong'hua'zuo'yong 偶然同化作用
'ou'ran'zhuang'kuang'ou'ran'zhuang'kuang 偶然状况偶然状况
'ou'ran'zuo'yong'ou'ran'zuo'yong 偶然作用偶然作用
'pai'jia 排架
'pai'jia'zuo'mu 排架座木
'pai'shui 排水
'pai'shui'she'ji'chong'xian'qi 排水设计重现期
'pai'shui'xi'tong 排水系统
'pao'shi 抛石
'pao'shi'ji 抛石机
'pao'shi'ti 抛石体
'pei'he'bi'she'ji 配合比设计
'pei'jin'lv 配筋率
'pei'liao 配料
'pei'wei'ji'he'te'zheng 配位几何特征
'pen'sha'da'mo'fa'pen'sha'da'mo'fa 喷沙打磨法喷沙打磨法
'pen'she'hun'ning'tu 喷射混凝土
'pen'she'hun'ning'tu'mo 喷射混凝土膜
'pen'zui'kuo'san'mian'ji'bi 喷嘴扩散面积比
'peng'zhang'xi'shu 膨胀系数
'pi'lao'duan'lie'li'xue 疲劳断裂力学
'pi'lao'qiang'du 疲劳强度
'pi'lao'qiang'du'ji 疲劳强度计
'pi'lao'qu'fu'ji'xian 疲劳屈服极限
'pian'xin'ju 偏心距
'pian'xin'ju'zeng'da'xi'shu 偏心距增大系数
'pian'xin'ju'zeng'da'xi'shu'pian'xin'ju'zeng'da'xi'shu 偏心距增大系数偏心距增大系数
'pian'xin'shou'ya 偏心受压
'pian'xin'shou'ya'fa 偏心受压法
'pian'xin'shou'ya'gou'jian 偏心受压构件
'pian'zhuan'jiao 偏转角
'piao'fu'wu 漂浮物
'piao'fu'wu'fu'biao 漂浮物浮标
'pin'hun'he'liao 贫混合料
'pin'jie'ban 拼接板
'ping'di'ban 平底板
'ping'heng 平衡
'ping'heng'fa 平衡阀
'ping'heng'ji 平衡机
'ping'heng'tiao'jian 平衡条件
'ping'jie'mian'jia'ding 平截面假定
'ping'jun'nian'hong'shui'liu'liang 平均年洪水流量
'ping'jun'pei'jin'lv 平均配筋率
'ping'mian'tu 平面图
'ping'yi'suo'fang'xuan'zhuan 平移缩放旋转
'po'du 坡度
'po'huai'ji'xian'zhuang'tai 破坏极限状态
'po'huai'qiang'du 破坏强度
'po'lie 破裂
'pou'kai'li'ti'tu'pou'mian'tu 剖开立体图剖面图
'pu'she 铺设
'qi'che'he'zai'zai'zhong'qi'che'he'zai 汽车荷载载重汽车荷载
'qi'che'zhi'dong'li 汽车制动力
'qi'gang'yuan'tong'yuan'zhu'ti 汽缸圆筒圆柱体
'qi'gong'dian 起拱点
'qi'jin'huan'dao'hai'jing'guan'guang'zi'xing'che'dao 旗津环岛海景观光自行车道
'qi'pao'shui'zhun'yi 气泡水准仪
'qi'shi'ying'li'ju'zhen 起始应力矩阵
'qi'ti'dong'li'xi'shu 气体动力系数
'qi'ya'chen'xiang'ji'chu 气压沉箱基础
'qi'zhong'diao'ji'qi'zhong'diao'ji 起重吊机起重吊机
'qi'zhong'ta'diao'ji'qi'zhong'ta'diao'ji'ta 起重塔吊机起重塔吊机塔
'qian'chu'li 前处理
'qian'chu'li'qi'qian'chu'li'qi 前处理器前处理器
'qian'chu'li'qi'yu'chu'li'qi 前处理器预处理器
'qian'fen'chi 千分尺
'qian'hui'zhuan'ban'jing 前回转半径
'qian'jin'ding 千斤顶
'qian'shi 前视
'qian'shi'hong'wai 前视红外
'qian'shi'qu 前视区
'qian'yin'li 牵引力
'qian'zai'de 潜在的
'qian'zhang'li 前张力
'qian'zhao'qun'zhen'qian'zhao 前兆群震前兆
'qiang'du 强度
'qiang'du'biao'zhun'zhi'qiang'du'biao'zhun'zhi 强度标准值强度标准值
'qiang'du'ce'shi'ji 强度测试机
'qiang'du'ce'shi'qiang'du'ce'shi 强度测试强度测试
'qiang'du'zhe'jian'xi'shu 强度折减系数
'qiang'du'zhun'ze 强度准则
'qiang'heng'liang 强横梁
'qiang'hua 强化
'qiang'hua'jiu 强化酒
'qiang'hua'wu 强化物
'qiang'li'bei'cai'zhuang'huo'xian'men'shuan'huo'dong'ting'gai'liang 强力背材装货舷门闩活动艇盖梁
'qiao'dun 桥墩
'qiao'liang 桥梁
'qiao'liang'dun'tai 桥梁墩台
'qiao'liang'gong'cheng 桥梁工程
'qiao'liang'gong'cheng'shi 桥梁工程师
'qiao'liang'gong'cheng'shi'gong'ji'shu'zi'xun 桥梁工程施工技术咨询
'qiao'liang'gong'cheng'ying'yu'ci'hui 桥梁工程英语词汇
'qiao'liang'jing'kong'gao'chao'shi'qiao'liang'jing'kong'gao'du 桥梁净空高潮时桥梁净空高度
'qiao'liang'kang'zhen'qiao'liang'kang'zhen'jia'gu 桥梁抗震桥梁抗震加固
'qiao'liang'kong'zhi'ce'liang 桥梁控制测量
'qiao'liang'nao'du'qu'xian 桥梁挠度曲线
'qiao'liang'shang'bu'jie'gou 桥梁上部结构
'qiao'liang'shi'gong'kong'zhi'zong'he'cheng'xu'xi'tong 桥梁施工控制综合程序系统
'qiao'liang'xia'bu'jie'gou 桥梁下部结构
'qiao'liang'zhen'dong 桥梁振动
'qiao'liang'zi'zhen'pin'lv'ce'liang 桥梁自振频率测量
'qiao'liang'zi'zhen'zhou'qi 桥梁自振周期
'qiao'liang'zui'jia'shi'gong'zhi'nan 桥梁最佳施工指南
'qiao'men'lian'jie'xi 桥门联结系
'qiao'mian 桥面
'qiao'mian'heng'po 桥面横坡
'qiao'mian'xi'qiao'mian'xi 桥面系桥面系
'qiao'mian'zong'po 桥面纵坡
'qiao'tai 桥台
'qiao'tai'qiang 桥台墙
'qiao'tou'bao 桥头堡
'qiao'xia'bu'jie'gou'qiao'xia'bu'jie'gou 桥下部结构桥下部结构
'qiao'xia'jing'kong 桥下净空
'qiao'zhi 桥址
'qiao'zhi'duan'ceng'huo'dong'xing'ping'ding 桥址断层活动性评定
'qiao'zhi'shui'wen'guan'ce 桥址水文观测
'qiao'zhi'wen'ding'xing'ping'ding 桥址稳定性评定
'qiao'zhu'liang 桥主梁
'qie'xian 切线
'qie'xian'gang'du'ju'zhen 切线刚度矩阵
'qie'xian'jiao 切线角
'qing'bian'zhan'dao 轻便栈道
'qing'xing'qiao'tai 轻型桥台
'qiu'ti 球体
'qiu'ti'de 球体的
'qiu'ti'qiu'qiu'xing 球体球球形
'qiu'zui'xiao'zhi 求最小值
'qu'dong'gang'du'xi'shu 驱动刚度系数
'qu'fu'han'shu 屈服函数
'qu'fu'ji'xian 屈服极限
'qu'fu'mian 屈服面
'qu'jue'yu'jue'ding'yu 取决于决定于
'qu'liang 曲梁
'qu'lv 曲率
'qu'lv'ban'jing 曲率半径
'qu'lv'ban'jing'shu 曲率半径梳
'qu'xian'de'fan'wan'dian 曲线的反弯点
'qun'zhen'qun'zhen 群震群震
'qun'zhuang'ji'chu 群桩基础
're'feng'dong'shi'yan 热风洞试验
're'jie'gou'fen'xi 热结构分析
're'tan'xing'li'xue 热弹性力学
're'wen'ding'xi'shu 热稳定系数
're'ya'li'ji 热压力计
're'ying'li'fen'xi 热应力分析
'ren'ke'biao'zhun'ren'ke'biao'zhun 认可标准认可标准
'ren'ke'yan'se'biao'zhun 认可颜色标准
'ren'qun'he'zai'ren'qun'he'zai 人群荷载人群荷载
'ren'xing'dao 人行道
'ren'yi'xing'zhuang 任意形状
'ren'zao'huo'shan'hui'shui'ni 人造火山灰水泥
'rong'che'liang'rong'che'liang 容车量容车量
'rong'xu'dan'wei'niu'zhuan'ying'li 容许单位扭转应力
'rong'xu'niu'zhuan'ying'li 容许扭转应力
'rong'xu'ying'li 容许应力
'rong'xu'ying'li'fa 容许应力法
'rong'xu'ying'li'ji'suan 容许应力计算
'rong'xu'ying'li'she'ji'fa 容许应力设计法
'rou'xing'shi'mo'yi'xing'jie'mian'zu'he'tian'liao 柔性石墨异形截面组合填料
'ru'shi'mao'ding'gan 入石锚定杆
'ruan'hua 软化
'ruan'hua'dian 软化点
'ruan'hua'ji 软化剂
'ruan'lu'jian 软路肩
'ruan'zhou'zhen'dao'qi 软轴振捣器
'rui'li'zu'ni'ju'zhen 瑞利阻尼矩阵
'ruo'bian'jie'tiao'jian 弱边界条件
'san'jiao'gao'cheng'dao'xian 三角高程导线
'san'jiao'gao'cheng'dao'xian'ce'liang 三角高程导线测量
'san'jiao'gong 三铰拱
'san'jiao'wang 三角网
'san'jiao'wang'ce'zhan 三角网测站
'san'jiao'wang'tu 三角网图
'san'jiao'xing'dan'yuan 三角形单元
'san're'pian 散热片
'san'wei 三维
'san'wei'de 三维的
'san'wei'de'li'ti'de 三维的立体的
'san'wei'de'san'zhou'de 三维的三轴的
'san'wei'duo'bian'xing 三维多边形
'sha'jiang 砂浆
'sha'jiang'pei'he'bi'she'ji 砂浆配合比设计
'sha'jie'he'li 砂结合力
'sha'zhuang'ji'chu 砂桩基础
'sha'zi'se 砂子色
'sha'zi'sha'zi 砂子砂子
'shang'bu'jie'gou 上部结构
'shang'bu'zhui'ban 上部缀板
'shang'cheng'jie'gou 上承结构
'shang'cheng'shi'da'liang 上承式大梁
'shang'mu'ban 上模板
'shang'xia'ban'che'liu'liang'gao'feng'qi 上下班车流量高峰期
'she'ji'hong'shui'pin'lv'she'ji'hong'shui'pin'lv 设计洪水频率设计洪水频率
'she'ji'ji'xian'he'zai 设计极限荷载
'she'ji'ji'zhun'qi 设计基准期
'she'ji'su'du 设计速度
'she'ji'su'du'gou'zao'su'du 设计速度构造速度
'she'ji'zhi 设计值
'shen'bi'di'zuo 伸臂底座
'shen'shui 渗水
'shen'suo'feng 伸缩缝
'shen'tou'shui'hua'zuo'yong 渗透水化作用
'shen'tou'xing 渗透性
'sheng'wu'an'quan'deng'ji 生物安全等级
'sheng'wu'gu'ti'li'xue 生物固体力学
'sheng'wu'shui'zhun'ji'dian 生物水准基点
'sheng'zhang'yan'huan'ji 生长延缓剂
'shi'cheng'bi'li 使成比例
'shi'gao 石膏
'shi'gao'mu 石膏模
'shi'gong'kong'zhi'shi'gong'kong'zhi 施工控制施工控制
'shi'gong'kong'zhi'wang 施工控制网
'shi'gong'tu'she'ji 施工图设计
'shi'gong'tu'she'ji'jie'duan 施工图设计阶段
'shi'hui'huo'shan'hui'shui'ni 石灰火山灰水泥
'shi'jian'li'cheng'hou'chu'li 时间历程后处理
'shi'kua'bi 矢跨比
'shi'mao 石锚
'shi'qiao'dun 实桥墩
'shi'shi'han'jie'ji'shu 湿式焊接技术
'shi'suan'fa 试算法
'shi'suan'fa'chang'shi'fa 试算法尝试法
'shi'ti'fa'ji'shi'ti'fa'ji 实体筏基实体筏基
'shi'ti'qiao'dun'shi'ti'qiao'dun 实体桥墩实体桥墩
'shi'yan'tu'li'xue 实验土力学
'shi'yan'yan'shi'li'xue 实验岩石力学
'shi'yi'tu 示意图
'shi'yong 适用
'shi'yong'cai'dan 实用菜单
'shi'you'gong'cheng'jian'she 石油工程建设
'shi'zhang 湿胀
'shi'zhang'liang 湿胀量
'shi'zhang'lv 湿胀率
'shi'zui'you'hua 使最优化
'shou'lian'tiao'jian 收敛条件
'shou'suo 收缩
'shou'suo'liang 收缩量
'shou'ying'xiang'mian 受影响面
'shou'ying'xiang'qu'shou'ying'xiang'mian 受影响区受影响面
'shu'biao'ju'shu'zuo'biao'zhi'ju 竖标距竖坐标支距
'shu'ru'can'kao'zhou 输入参考轴
'shu'xiang'fen'bu 竖向分布
'shu'xiang'li'shu'xiang'yu'li 竖向力竖向预力
'shu'xing'te'zheng 属性特征
'shu'yu 术语
'shu'yuan'zhu'zuo'biao'xi 竖圆柱坐标系
'shu'zhi'jie 数值解
'shu'zhi'yan'tu'li'xue 数值岩土力学
'shu'zuo'biao 竖坐标
'shuang'che'dao 双车道
'shuang'che'dao'gong'lu 双车道公路
'shuang'che'dao'jiao'tong 双车道交通
'shuang'cheng'dao'lu'qiao 双程道路桥
'shuang'jiao'gong 双铰拱
'shuang'leng'jing 双棱镜
'shuang'pai'ban'zhuang'wei'yan 双排板桩围堰
'shuang'qiao'dun 双桥墩
'shuang'wan'ju 双弯矩
'shuang'xuan'bi'liang 双悬臂梁
'shuang'zhou'dian'jie'qi'pao'shui'zhun'yi 双轴电解气泡水准仪
'shuang'zhu'shi'wu'jia 双柱式屋架
'shuang'zuo'biao'xi 双坐标系
'shui'dong'li'zuo'yong 水动力作用
'shui'fu'li'shui'de'fu'li 水浮力水的浮力
'shui'hua're 水化热
'shui'hua'zuo'yong 水化作用
'shui'li 水力
'shui'li'de 水力的
'shui'li'gong'cheng'jian'zhu 水利工程建筑
'shui'li'xue 水力学
'shui'liu'heng'xiang'li 水流横向力
'shui'ni 水泥
'shui'ni'jiang 水泥浆
'shui'ni'jiang'beng 水泥浆泵
'shui'ni'sha'jiang 水泥砂浆
'shui'ping'fen'li 水平分力
'shui'ping'jiao 水平角
'shui'ping'jiao'guan'ce 水平角观测
'shui'ping'jiao'han 水平角焊
'shui'wei 水位
'shui'wen'shui'wen 水文水文
'shui'wen'tu 水文图
'shui'wen'xue 水文学
'shui'wen'xue'shui'wen'xue 水文学水文学
'shui'zhun'ji'dian 水准基点
'shui'zhun'yi 水准仪
'shun'liu 顺流
'si'da'li'shi 似大理石
'song'chi 松弛
'song'chi'fa 松弛法
'song'chi'su 松弛素
'su'hun'ning'tu 素混凝土
'su'hun'ning'tu'dun 素混凝土墩
'su'hun'ning'tu'jie'gou 素混凝土结构
'su'xing 塑性
'su'xing'ying'li'ying'bian'tu 塑性应力应变图
'su'xing'zhuang'tai 塑性状态
'suan'fa'chu'li'qi'miao'shu'yu'yan 算法处理器描述语言
'sui'dao 隧道
'sui'dao'men 隧道门
'sui'dao'yao 隧道窑
'sui'shi 碎石
'suo'ji'an'quan'fang'hu'xi'tong 锁及安全防护系统
'suo'jian 缩减
'suo'jian'fa 缩减法
'suo'jian'lv 缩减率
'suo'ju'gong'wu'gong 索具工坞工
'ta'bao 塔堡
'ta'huan'mao'ju 塔环锚具
'tai'duo'de'che'liu'liang 太多的车流量
'tan'ce 探测
'tan'dian'zu'wen'du'ji 碳电阻温度计
'tan'huang'gang'xing'xi'shu 弹簧刚性系数
'tan'shi'suan'fa 探试算法
'tan'su'xing'zhuang'tai 弹塑性状态
'tan'xing 弹性
'tan'xing'dan'xing 弹性弾性
'tan'xing'dian'pian'tan'xing'dian'pian 弹性垫片弹性垫片
'tan'xing'li'xue 弹性力学
'tan'xing'mo'liang 弹性模量
'tan'xing'ti 弹性体
'tan'xing'xi'shu'ju'zhen 弹性系数矩阵
'tan'xing'zhi'cheng 弹性支承
'tan'xing'zhi'cheng'bian 弹性支承边
'tan'xing'zhi'cheng'liang 弹性支承梁
'te'da'qiao'te'da'qiao 特大桥特大桥
'te'zheng 特征
'te'zheng'gen 特征根
'te'zheng'zhi 特征值
'ti'ji'ben'gou'mo'xing 体积本构模型
'ti'peng'zhang'xi'shu 体膨胀系数
'ti'xing'xiang'liang 梯形箱梁
'tian'qiao 天桥
'tian'qiao'mian'tian'qiao'mian 天桥面天桥面
'tian'shi 填石
'tian'shi'gou 填石沟
'tian'shi'po 填石坡
'tiao'jian'qu'fu'ji'xian 条件屈服极限
'tiao'jian'shou'lian 条件收敛
'tie'ban'liang 贴板梁
'tie'lu'gong'cheng 铁路工程
'tie'lu'gong'cheng'ce'liang 铁路工程测量
'tie'lu'gong'cheng'xue 铁路工程学
'tie'lu'qiao 铁路桥
