'an'chan'zhi'du'long 安禅制毒龙
'jun'wang'you'jin'zi'xia'bei 君王又尽紫霞杯
'jun'zhong'yi'jian'wu 军中宜剑舞
'kai'dao'tu'mi'hua'shi'le 开到荼蘼花事了
'kan'qu'lian'hua'jing 看取莲花净
'kan'wai'di'qin'ling 槛外低秦岭
'ke'lian'ci'di'wu'che'ma 可怜此地无车马
'ke'lian'cong'ma'shi 可怜骢马使
'ke'lu'qing'shan'wai 客路青山外
'ke'she'qing'qing'liu'se'xin 客舍青青柳色新
'ke'xin'zheng'ri'yue 客心争日月
'ke'you'gui'yu'tan 客有归欤叹
'kong'bo'liang'pan'ming 空波两畔明
'kong'cui'luo'ting'yin 空翠落庭阴
'kong'dai'nan'guan'xue'chu'qiu 空戴南冠学楚囚
'kong'shui'cheng'xian'yi'se'qiu 空水澄鲜一色秋
'kuang'fu'jin'hai'cu'kang'jian 况复筋骸粗康健
'kuang'heng'kang'shu'gong'ming'bo 匡衡抗疏功名薄
'kuang'lu'bu'ke'deng 匡庐不可登
'kuang'shi'qing'ming'hao'tian'qi 况是清明好天气
'kun'lin'liu'shui'zuo'tai'ji 困临流水坐苔矶
'kun'ming'chi'shui'han'shi'gong 昆明池水汉时功
'kun'ren'tian'qi'ri'chu'chang 困人天气日初长
'lai'wang'yu'qi'cheng 来往预期程
'lan'ling'mei'jiu'yu'jin'xiang 兰陵美酒郁金香
'lan'qin'di'liu'xi 缆侵堤柳系
'lan'shui'yuan'cong'qian'jian'luo 蓝水远从千涧落
'lao'bing'you'gu'zhou 老病有孤舟
'lao'qi'hua'zhi'wei'qi'ju 老妻画纸为棋局
'lao'qu'bei'qiu'qiang'zi'kuan 老去悲秋强自宽
'lao'qu'hen'kong'wen 老去恨空闻
'le'shi'hai'tong'wan'zhong'xin 乐事还同万众心
'lei'jing'tian'di'long'she'zhe 雷惊天地龙蛇蛰
'lei'xue'ran'cheng'hong'du'juan 泪血染成红杜鹃
'leng'nuan'nian'lai'zhi'zi'zhi 冷暖年来只自知
'leng'yan'quan'qi'xue 冷艳全欺雪
'li'chou'si'ge'chang 离愁似个长
'li'hua'yuan'luo'rong'rong'yue 梨花院落溶溶月
'li'shui'ying'yuan'lin 澧水映园林
'li'tang'si'qin'se 离堂思琴瑟
'li'yu'qu'ren'wan'huo'niu 利欲驱人万火牛
'lian'bu'qu'dan'bi 联步趋丹陛
'lian'li'zhi'tou'hua'zheng'kai 连理枝头花正开
'lian'shan'dao'hai'yu 连山到海隅
'lian'shang'wei'huan'biao 恋赏未还镳
'liang'feng'chui'ye'yu 凉风吹夜雨
'liang'ge'huang'li'ming'cui'liu 两个黄鹂鸣翠柳
'liang'liang'shi'qin'zao'xi'yang 两两时禽噪夕阳
'liang'shan'pai'ta'song'qing'lai 两山排闼送青来
'liang'shui'jia'ming'jing 两水夹明镜
'liao'liao'ren'jing'wai 寥寥人境外
'lie'ma'dai'qin'gui 猎马带禽归
'lin'feng'huai'xie'gong 临风怀谢公
'lin'kai'yang'zi'yi 林开扬子驿
'lin'tiao'du'chou'chu 临眺独踌躇
'lin'xia'quan'sheng'jing'zi'lai 林下泉声静自来
'lin'ying'ti'dao'wu'sheng'chu 林莺啼到无声处
'lin'zhong'guan'yi'ba 林中观易罢
'ling'cha'ni'yue'tong'xie'shou 灵槎拟约同携手
'liu'ao'hai'shang'jia'shan'lai 六鳌海上驾山来
'liu'chu'xi'hu'zai'ge'wu 流出西湖载歌舞
'liu'fu'jing'qi'lu'wei'gan 柳拂旌旗露未干
'liu'qi'zhu'ren'xin 留骑主人心
'liu'xiang'chuan'jing'xin'shi'wei 刘向传经心事违
'liu'xu'chi'tang'dan'dan'feng 柳絮池塘淡淡风
'long'sai'shi'ying'chun 龙塞始应春
'lou'tai'dao'ying'ru'chi'tang 楼台倒影入池塘
'lu'leng'lian'fang'zhui'fen'hong 露冷莲房坠粉红
'lu'shang'xing'ren'yu'duan'hun 路上行人欲断魂
'lu'yu'zheng'mei'bu'gui'qu 鲈鱼正美不归去
'lu'zi'zhong'feng'shang 路自中峰上
'luan'yu'chu'shou'hui 銮舆出狩回
'luo'luo'shu'lian'yao'yue'ying 落落疏帘邀月影
'luo'ri'fang'chuan'hao 落日放船好
'luo'ri'gu'ren'qing 落日故人情
'luo'ri'wu'hu'you 落日五湖游
'luo'yang'fang'cai'zi 洛阳访才子
'luo'yang'san'yue'hua'ru'jin 洛阳三月花如锦
'lv'bian'shan'yuan'bai'man'chuan 绿遍山原白满川
'lv'huai'jia'dao'ji'hun'ya 绿槐夹道集昏鸦
'lv'hui'sui'wan'bing'shuang'shao 律回岁晚冰霜少
'lv'liu'cai'huang'ban'wei'yun 绿柳才黄半未匀
'lv'shu'yin'nong'xia'ri'chang 绿树阴浓夏日长
'lv'shui'wu'hen'ye'qi'chong 绿水无痕夜气冲
'lv'yin'bu'jian'lai'shi'lu 绿阴不减来时路
'lv'yin'ran'ran'bian'tian'ya 绿阴冉冉遍天涯
'ma'zhu'yi'shan'bin'fa'jiao 麻苎衣衫鬓发焦
'man'bi'hua'cang'zhou 满壁画沧州
'man'chuan'ming'yue'jin'xu'kong 满船明月浸虚空
'man'jia'qiang'wei'yi'yuan'xiang 满架蔷薇一院香
'man'jie'wu'ye'yue'ming'zhong 满阶梧叶月明中
'man'juan'lang'hua'fu 幔卷浪花浮
'man'teng'teng'de'nuan'hong'hong 慢腾腾地暖烘烘
'man'yan'peng'hao'gong'yi'qiu 满眼蓬蒿共一丘
'mao'yan'chang'sao'jing'wu'tai 茅檐常扫净无苔
'mei'liu'du'jiang'chun 梅柳渡江春
'mei'ren'tian'shang'luo 美人天上落
'mei'ri'jiang'tou'jin'zui'gui 每日江头尽醉归
'mei'xu'xun'xue'san'fen'bai 梅须逊雪三分白
'mei'xue'zheng'chun'wei'ken'xiang 梅雪争春未肯降
'mei'zi'huang'shi'ri'ri'qing 梅子黄时日日晴
'mei'zi'liu'suan'ruan'chi'ya 梅子留酸软齿牙
'men'bo'dong'wu'wan'li'chuan 门泊东吴万里船
'men'ting'sheng'ge'guo'zui'ren 闷听笙歌聒醉人
'men'wai'wu'ren'wen'luo'hua 门外无人问落花
'meng'chong'ju'jian'yi'mao'qing 艨艟巨舰一毛轻
'meng'hun'yao'ye'lu'sheng'zhong 梦魂摇曳橹声中
'meng'yu'bai'yun'you 梦与白云游
'min'zhong'wo'jiu'guo 闽中我旧过
'ming'chao'you'feng'shi 明朝有封事
'ming'chao'you'shi'gu'zhou'bie 明朝又是孤舟别
'ming'luan'jiang'zi'xiao 鸣銮降紫霄
'ming'nian'ci'hui'zhi'shui'jian 明年此会知谁健
'ming'pu'an'pai'xin'nuan'ge 命仆安排新暖阁
'ming'qi'wen'zhang'zhu 名岂文章著
'ming'ran'zhi'dao'tai'ping'shi 酩然直到太平时
'ming'yue'lai'xiang'zhao 明月来相照
'ming'yue'man'qian'chuan 明月满前川
'ming'yue'ming'nian'he'chu'kan 明月明年何处看
'ming'yue'sui'liang'yuan 明月随良掾
'ming'yue'yin'gao'shu 明月隐高树
'mo'ci'zhan'jiu'shi'fen'quan 莫辞盏酒十分劝
'mo'de'shao'tian'mo'de'kong 蓦地烧天蓦地空
'mo'guan'cheng'tou'zou'mu'jia 莫管城头奏暮笳
'mo'jiao'zhi'shang'ti 莫教枝上啼
'mo'mai'lu'long'sai 莫卖卢龙塞
'mo'man'chou'gu'jiu 莫谩愁沽酒
'mo'mo'shui'tian'fei'bai'lu 漠漠水田飞白鹭
'mo'qian'fen'fen'dian'cui'tai 莫遣纷纷点翠苔
'mo'yan'shang'duo'jiu'ru'chun 莫厌伤多酒入唇
'mu're'yu'xiang'gui 暮惹御香归
'mu'ren'qu'du'fan 牧人驱犊返
'mu'tong'gui'qu'heng'niu'bei 牧童归去横牛背
'mu'tong'yao'zhi'xing'hua'cun 牧童遥指杏花村
'mu'yun'shou'jin'yi'qing'han 暮云收尽溢清寒
'na'kan'shi'jie'zheng'fang'fei 那堪时节正芳菲
'na'zhi'jiu'yi'yi 那知旧遗逸
'nan'bei'shan'tou'duo'mu'tian 南北山头多墓田
'nan'chao'si'bai'ba'shi'si 南朝四百八十寺
'nan'er'dao'ci'shi'hao'xiong 男儿到此是豪雄
'nan'fen'ci'ye'zhong 难分此夜中
'nan'feng'bu'yong'pu'kui'shan 南风不用蒲葵扇
'nan'lou'zong'mu'chu 南楼纵目初
'nan'qu'bei'lai'xiu'bian'xiu 南去北来休便休
'nan'shan'dang'hu'you 南山当户牖
'nan'shan'dang'hu'zhuan'fen'ming 南山当户转分明
'nan'shan'yi'dian'qian 南山倚殿前
'nan'tian'zhang'li'he 南天瘴疠和
'nan'zhi'cai'fang'liang'san'hua 南枝才放两三花
'nang'zhong'zi'you'qian 囊中自有钱
'neng'geng'ji'hui'mian 能更几回眠
'neng'wang'chi'mu'xin 能忘迟暮心
'ni'nan'yan'zi'yu'liang'jian 呢喃燕子语梁间
'nian'lai'wei'jue'xin 年来未觉新
'nian'lu'sheng'qiu'cao 辇路生秋草
'nian'nian'bu'dai'kan'hua'yan 年年不带看花眼
'nian'nian'qi'yu'ren'jian'qiao 年年乞与人间巧
'niao'dao'gao'yuan'qu 鸟道高原去
'nong'mo'lin'li'liang'xiang'ma 浓墨淋漓两相麻
'nuan'feng'xun'de'you'ren'zui 暖风薰得游人醉
'ou'lai'song'shu'xia 偶来松树下
'ou'zuo'wei'lin'quan 偶坐为林泉
'pa'you'yu'lang'lai'wen'jin 怕有渔郎来问津
'pan'hui'chu'bi'luo 盘回出薜萝
'pei'sheng'gui'dao'feng'chi'tou 佩声归到凤池头
'peng'lai'gong'que'dui'nan'shan 蓬莱宫阙对南山
'pian'jing'wu'hou'xin 偏惊物候新
'pian'yi'shang'jiu'lou 偏宜上酒楼
'pian'yun'tou'shang'hei 片云头上黑
'piao'piao'he'suo'si 飘飘何所似
'piao'yang'xue'se'qun'tuo'di 飘扬血色裙拖地
'ping'fen'qiu'se'yi'lun'man 平分秋色一轮满
'ping'gao'he'xian'yi 凭高何限意
'ping'lan'shi'li'ji'he'xiang 凭栏十里芰荷香
'ping'sheng'yi'pian'xin 平生一片心
'ping'tai'fang'gu'you 平台访古游
'ping'xuan'ti'si'liu 凭轩涕泗流
'ping'ye'ru'qing'xu 平野入青徐
'qi'qi'shuang'lu'nong 凄其霜露浓
'qi'qu'bu'yi'xing 崎岖不易行
'qi'shi'can'chou'pa'ye'xi 起视蚕稠怕叶稀
'qi'zhen'chu'jing'yi'ye'feng 欹枕初惊一叶风
'qi'zheng'yun'meng'ze 气蒸云梦泽
'qian'du'liu'lang'jin'you'lai 前度刘郎今又来
'qian'jia'shan'guo'jing'zhao'hui 千家山郭静朝晖
'qian'kun'dao'shi'zhou 乾坤到十洲
'qian'kun'ri'ye'fu 乾坤日夜浮
'qian'li'ying'ti'lv'ying'hong 千里莺啼绿映红
'qian'lu'ri'jiang'xie 前路日将斜
'qian'men'wan'hu'tong'tong'ri 千门万户曈曈日
'qian'tiao'ruo'liu'chui'qing'suo 千条弱柳垂青琐
'qiang'yu'deng'gao'qu 强欲登高去
'qiao'duan'yu'chai'hong'zhu'leng 敲断玉钗红烛冷
'qie'kan'yu'jin'hua'jing'yan 且看欲尽花经眼
'qie'zhu'zai'heng'tang 妾住在横塘
'qin'chuan'chao'wang'jiong 秦川朝望迥
'qin'peng'wu'yi'zi 亲朋无一字
'qing'ai'ru'kan'wu 青霭入看无
'qing'bo'tao'hua'zhu'shui'liu 轻薄桃花逐水流
'qing'cao'chi'tang'chu'chu'wa 青草池塘处处蛙
'qing'cao'chi'tang'du'ting'wa 青草池塘独听蛙
'qing'chen'ru'gu'si 清晨入古寺
'qing'chuan'li'li'han'yang'shu 晴川历历汉阳树
'qing'chuang'zao'jiao'ai'zhao'xi 晴窗早觉爱朝曦
'qing'feng'lue'di'qiu'xian'dao 清风掠地秋先到
'qing'feng'ming'yue'wu'ren'guan 清风明月无人管
'qing'feng'sheng'lang'chi 轻风生浪迟
'qing'guang'zhuan'lv'pin 晴光转绿蘋
'qing'he'leng'yue'dao'lian'long 清和冷月到帘栊
'qing'huai'xiao'yang'du'ling'shi 情怀小样杜陵诗
'qing'jiang'yi'qu'bao'cun'liu 清江一曲抱村流
'qing'jie'wei'zhi'yin 情竭为知音
'qing'kai'wan'jing'shu 晴开万井树
'qing'lian'yu'fa'wei 青莲喻法微
'qing'luo'xiao'shan'pu'liu'ying 轻罗小扇扑流萤
'qing'ming'ji'sao'ge'fen'ran 清明祭扫各纷然
'qing'ming'shi'jie'yu'fen'fen 清明时节雨纷纷
'qing'nv'su'e'ju'nai'leng 青女素娥俱耐冷
'qing'qiu'yan'zi'gu'fei'fei 清秋燕子故飞飞
'qing'shan'heng'bei'guo 青山横北郭
'qing'tian'jiang'hai'liu 青天江海流
'qing'xi'liu'guo'bi'shan'tou 清溪流过碧山头
'qing'yan'san'ru'wu'hou'jia 轻烟散入五侯家
'qing'yun'xian'niao'fei 青云羡鸟飞
'qing'yun'zai'mu'qian 青云在目前
'qiu'feng'bu'xiang'dai 秋风不相待
'qiu'feng'dong'he'shu 秋风动禾黍
'qiu'feng'gu'bei'ping 秋风古北平
'qiu'feng'luo'ri'xie 秋风落日斜
'qiu'qian'yuan'luo'ye'chen'chen 秋千院落夜沉沉
'qiu'se'lao'wu'tong 秋色老梧桐
'qiu'sheng'bu'ke'wen 秋声不可闻
'qiu'sheng'wan'hu'zhu 秋声万户竹
'qiu'shui'cai'shen'si'wu'chi 秋水才深四五尺
'qu'ba'bu'zhi'ren'zai'fou 曲罢不知人在否
'qu'jing'tong'you'chu 曲径通幽处
'qu'nian'hua'li'feng'jun'bie 去年花里逢君别
'qu'ri'er'tong'jie'zhang'da 去日儿童皆长大
'qu'zi'yuan'he'shen 屈子怨何深
'quan'jun'geng'jin'yi'bei'jiu 劝君更尽一杯酒
'quan'sheng'yan'wei'shi 泉声咽危石
'que'jiao'ming'yue'song'jiang'lai 却教明月送将来
'que'yi'chun'se'zai'lin'jia 却疑春色在邻家
're'de'shi'ren'shuo'dao'jin 惹得诗人说到今
'ren'chuan'you'sheng'he 人传有笙鹤
'ren'jian'chang'jian'hua 人间长见画
'ren'jian'he'qi'ge'chun'yin 人间和气阁春阴
'ren'jian'ye'su'jie'shuang'fu 人间夜宿解双凫
'ren'qi'ji'yu'jiao'qie'fu 人乞祭余骄妾妇
'ren'sheng'qi'shi'gu'lai'xi 人生七十古来稀
'ren'sheng'you'jiu'xu'dang'zui 人生有酒须当醉
'ren'shi'shen'shan'geng'shen'chu 任是深山更深处
'ren'yan'han'ju'you 人烟寒橘柚
'ren'yan'xiao'jing'tong 人烟小径通
'ri'bian'hong'xing'yi'yun'zai 日边红杏倚云栽
'ri'chang'si'sui'xian'fang'jue 日长似岁闲方觉
'ri'chu'zheng'dong'feng 日出正东峰
'ri'luo'hu'li'mian'zhong'shang 日落狐狸眠冢上
'ri'mu'han'gong'chuan'la'zhu 日暮汉宫传蜡烛
'ri'mu'qiu'feng'qi 日暮秋风起
'ri'mu'shi'cheng'tian'you'xue 日暮诗成天又雪
'ri'mu'xiang'guan'he'chu'shi 日暮乡关何处是
'ri'rao'long'lin'shi'sheng'yan 日绕龙鳞识圣颜
'ri'ri'jiang'lou'zuo'cui'wei 日日江楼坐翠微
'ri'se'cai'lin'xian'zhang'dong 日色才临仙掌动
'ri'se'leng'qing'song 日色冷青松
'ri'zhang'shui'qi'wu'qing'si 日长睡起无情思
'rong'ju'man'yuan'jie'ke'xian 蓉菊满园皆可羡
'rong'ma'guan'shan'bei 戎马关山北
'ru'ya'chi'tang'shui'qian'shen 乳鸭池塘水浅深
'ru'ya'ti'san'yu'ping'kong 乳鸦啼散玉屏空
'ruo'dai'shang'lin'hua'si'jin 若待上林花似锦
'ruo'fei'qun'yu'shan'tou'jian 若非群玉山头见
'sai'shang'feng'yun'jie'di'yin 塞上风云接地阴
'sai'shang'zhong'jia'yin 塞上重笳音
'san'bu'yong'liang'tian 散步咏凉天
'san'lang'chen'zui'da'qiu'hui 三郎沉醉打球回
'san'yue'can'hua'luo'geng'kai 三月残花落更开
'san'yue'zheng'dang'san'shi'ri 三月正当三十日
'sang'zhe'fei'lai'you'na'shui 桑柘废来犹纳税
'sang'zhe'ying'xie'chun'she'san 桑柘影斜春社散
'sao'ren'ge'bi'fei'ping'zhang 骚人阁笔费评章
'sha'chuang'su'dou'niu 纱窗宿斗牛
'sha'mao'xian'mian'dui'shui'ou 纱帽闲眠对水鸥
'sha'shang'fu'chu'bang'mu'mian 沙上凫雏傍母眠
'shan'chu'jin'ru'ming'feng'ling 山出尽如鸣凤岭
'shan'chu'run'zhou'cheng 山出润州城
'shan'cong'ren'mian'qi 山从人面起
'shan'guang'yue'niao'xing 山光悦鸟性
'shan'kong'song'zi'luo 山空松子落
'shan'ming'wan'sheng'lai 山鸣万乘来
'shan'se'kong'meng'yu'yi'qi 山色空蒙雨亦奇
'shan'se'yuan'han'kong 山色远含空
'shan'shan'wei'luo'hui 山山惟落晖
'shan'wai'qing'shan'lou'wai'lou 山外青山楼外楼
'shan'xi'ye'jing'you'li'hua 山溪野径有梨花
'shan'xian'luo'ri'jin'han'yi 山衔落日浸寒漪
'shan'xiao'wang'qing'kong 山晓望晴空
'shan'yi'chong'han'yu'fang'mei 山意冲寒欲放梅
'shan'zhong'wu'li'ri 山中无历日
'shan'zhong'xi'jing'guan'chao'jin 山中习静观朝槿
'shang'lin'hua'man'zhi 上林花满枝
'shang'nv'bu'zhi'wang'guo'hen 商女不知亡国恨
'shang'xin'cong'ci'mo'xiang'wei 赏心从此莫相违
'shang'yi'fang'jin'cui'yun'qiu 尚衣方进翠云裘
'shang'you'huang'li'shen'shu'ming 上有黄鹂深树鸣
'shang'you'ti'pao'zeng 尚有绨袍赠
'shang'zhong'yi'xie'pang'lao'jia 上冢亦携庞老家
'shei'yu'wen'dong'liu 谁与问东流
'shen'duo'ji'bing'si'tian'li 身多疾病思田里
'shen'jing'liang'shi'tai'ping'ri 身经两世太平日
'shen'jing'yang'hua'pu'bai'zhan 糁径杨花铺白毡
'shen'lin'ren'bu'zhi 深林人不知
'shen'shan'he'chu'zhong 深山何处钟
'shen'shen'long'shui'qian'long'sha 深深笼水浅笼沙
'sheng'chao'wu'que'shi 圣朝无阙事
'sheng'chen'ying'yi'ding 升沉应已定
'sheng'ri'xun'fang'si'shui'bin 胜日寻芳泗水滨
'shi'chen'hu'li'tong'ming'dian 侍臣鹄立通明殿
'shi'cheng'zhu'yu'zai'hui'hao 诗成珠玉在挥毫
'shi'da'ru'tian'zui'yi'xiu 事大如天醉亦休
'shi'gan'fen'si'bu'gong'hou 士甘焚死不公侯
'shi'guo'bei'shan'tou 时过北山头
'shi'jia'qing'jing'zai'xin'chun 诗家清景在新春
'shi'jing'lin'jia'dong'qiu'feng 石鲸鳞甲动秋风
'shi'nian'zong'ji'zou'hong'chen 十年踪迹走红尘
'shi'ren'bu'shi'yu'xin'le 时人不识余心乐
'shi'shang'man'xiang'shi 世上漫相识
'shi'shi'mang'mang'nan'zi'liao 世事茫茫难自料
'shi'shi'wu'duan'he'zu'ji 世事无端何足计
'shi'si'fu'chen'qiang'ying'li 诗思浮沉樯影里
'shi'tiao'ye'cai'he'gen'zhu 时挑野菜和根煮
'shou'juan'pao'shu'wu'meng'chang 手倦抛书午梦长
'shu'dian'yu'deng'yi'gu'an 数点渔灯依古岸
'shu'ji'bei'feng'yao 书寄北风遥
'shu'ji'yuan'cong'zheng 书记远从征
'shu'jie'nan'shan'jin 树接南山近
'shu'li'ru'yun'feng 数里入云峰
'shu'mei'tian'qi'ban'qing'yin 熟梅天气半晴阴
'shu'miao'yu'tang'xuan 树杪玉堂悬
'shu'qi'cui'huang'niao 淑气催黄鸟
'shu'sheng'yu'di'zai'cang'lang 数声渔笛在沧浪
'shu'shu'jie'qiu'se 树树皆秋色
'shu'wen'ye'ru'he 数问夜如何
'shu'ying'heng'xie'shui'qing'qian 疏影横斜水清浅
'shu'zao'kong'san'ba 疏凿控三巴
'shuang'e'ji'xu'chang 双蛾几许长
'shuang'feng'yun'zhong'fu'nian'xia 双凤云中扶辇下
'shuang'luo'zhi'cheng'liu'ying'shu 霜落芝城柳影疏
'shuang'qiao'luo'cai'hong 双桥落彩虹
'shuang'qin'yu'xia'xian'tou'yan 霜禽欲下先偷眼
'shuang'shuang'ming'yu'ke 双双鸣玉珂
'shuang'shuang'wa'que'xing'shu'an 双双瓦雀行书案
'shui'bi'sha'ming'liang'an'tai 水碧沙明两岸苔
'shui'cun'shan'guo'jiu'qi'feng 水村山郭酒旗风
'shui'guang'lian'yan'qing'fang'hao 水光潋滟晴方好
'shui'jia'chui'di'hua'lou'zhong 谁家吹笛画楼中
'shui'jia'zhen'chu'ji'liao'zhong 谁家砧杵寂寥中
'shui'jiao'dong'chuang'ri'yi'hong 睡觉东窗日已红
'shui'jing'lian'dong'wei'feng'qi 水晶帘动微风起
'shui'liu'hua'xie'liang'wu'qing 水流花谢两无情
'shui'nian'bei'lou'shang 谁念北楼上
'shui'qi'guan'ran'cheng'du'xiao 睡起莞然成独笑
'shui'qi'qiu'sheng'wu'mi'chu 睡起秋声无觅处
'shui'xin'yun'ying'xian'xiang'zhao 水心云影闲相照
'shui'yuan'shan'chang'chu'chu'tong 水远山长处处同
'shui'zhi'en'yu'shen 谁知恩遇深
'shuo'yu'pang'ren'hun'bu'jie 说与旁人浑不解
'si'de'lu'shan'lu 似得庐山路
'si'gu'shan'guang'jie'shui'guang 四顾山光接水光
'si'lun'ge'xia'wen'zhang'jing 丝纶阁下文章静
'si'ru'feng'yun'bian'tai'zhong 思入风云变态中
'si'shi'jia'xing'yu'ren'tong 四时佳兴与人同
'si'shi'yu'nian'hui'ai'shen 四十余年惠爱深
'si'si'tian'ji'chu'mei'qiang 丝丝天棘出莓墙
'si'yue'qing'he'yu'zha'qing 四月清和雨乍晴
'song'jin'dong'feng'guo'chu'cheng 送尽东风过楚城
'song'jun'hai'jiu'fu 送君还旧府
'song'qing'gu'dian'fei 松清古殿扉
'song'shi'wen'guo'zheng 诵诗闻国政
'song'xia'qing'zhai'zhe'lu'kui 松下清斋折露葵
'song'xia'wen'tong'zi 松下问童子
'sui'yue'ren'jian'cu 岁月人间促
'sun'gen'zhi'zi'wu'ren'jian 笋根稚子无人见
'tai'ping'dai'zhao'gui'lai'ri 太平待诏归来日
'tai'ping'tian'zi'chao'yuan'ri 太平天子朝元日
'tai'yi'jin'tian'du 太乙近天都
'tan'qin'fu'chang'xiao 弹琴复长啸
'tan'ying'kong'ren'xin 潭影空人心
'tao'hong'you'shi'yi'nian'chun 桃红又是一年春
'tao'hua'jing'jin'cai'hua'kai 桃花净尽菜花开
'ti'shi'jing'qie'meng 啼时惊妾梦
'tian'de'huang'li'si'wu'sheng 添得黄鹂四五声
'tian'di'yi'sha'ou 天地一沙鸥
'tian'guang'yun'ying'gong'pai'huai 天光云影共徘徊
'tian'hua'luo'bu'jin 天花落不尽
'tian'jie'xiao'yu'run'ru'su 天街小雨润如酥
'tian'jie'ye'se'liang'ru'shui 天阶夜色凉如水
'tian'shang'bi'tao'he'lu'zhong 天上碧桃和露种
'tian'shang'qi'lin'yuan'you'zhong 天上麒麟原有种
'tian'shang'qing'guang'liu'ci'xi 天上清光留此夕
'tian'shang'xiao'xing'qi'zhi'he 天上晓行骑只鹤
'tian'shi'ren'shi'ri'xiang'cui 天时人事日相催
'tian'tai'zong'ying'yun 天台总映云
'tian'ya'ruo'bi'lin 天涯若比邻
'tian'yuan'huang'jin'shang'zheng'miao 田园荒尽尚征苗
'ting'chuan'zan'jie'wen 停船暂借问
'ting'hun'wei'xi'yin 庭昏未夕阴
'tong'lai'wan'yue'ren'he'zai 同来玩月人何在
'tong'shi'huan'you'ren 同是宦游人
'tong'sun'wei'jie'gong'geng'zhi 童孙未解供耕织
'tong'xue'shao'nian'duo'bu'jian 同学少年多不贱
'tou'shang'hua'zhi'zhao'jiu'zhi 头上花枝照酒卮
'tu'mi'xiang'meng'qie'chun'han 荼蘼香梦怯春寒
'tu'mo'xin'hong'shang'hai'tang 涂抹新红上海棠
'tu'you'xian'yu'qing 徒有羡鱼情
'tun'shan'ji'qi'dui'yan'fei 豚栅鸡栖对掩扉
'wan'guo'yi'guan'bai'mian'liu 万国衣冠拜冕旒
'wan'lai'ci'ju'ji 万籁此俱寂
'wan'li'du'he'fen 万里渡河汾
'wan'wu'jing'guan'jie'zi'de 万物静观皆自得
'wan'wu'yi'sui'qiu'qi'gai 万物已随秋气改
'wan'zhu'dang'lou'bao'shan'kai 万烛当楼宝扇开
'wan'zi'qian'hong'zong'shi'chun 万紫千红总是春
'wang'qiao'he'bu'qun 王乔鹤不群
'wang'shi'fei'le'zhan 王师非乐战
'wei'bao'kong'tan'ju 为报空潭橘
'wei'cheng'zhao'yu'yi'qing'chen 渭城朝雨浥轻尘
'wei'dao'xiao'zhong'you'shi'chun 未到晓钟犹是春
'wei'hui'qian'niu'yi'ruo'he 未会牵牛意若何
'wei'jie'man'tian'zuo'xue'fei 惟解漫天作雪飞
'wei'ke'wu'geng'chou 为客五更愁
'wei'qiang'du'ye'zhou 危樯独夜舟
'wei'qie'he'geng'zhong 位窃和羹重
'wei'qu'ci'wai'geng'he'qiu 微躯此外更何求
'wei'qu'gan'yi'yan 微躯敢一言
'wei'wen'men'qian'ke 为问门前客
'wei'wen'pan'tao'shu'ye'wu 为问蟠桃熟也无
'wei'wen'zhong'qing'yin 惟闻钟磬音
'wei'yi'cheng'que'zhong 逶迤城阙重
'wei'you'kui'hua'xiang'ri'qing 惟有葵花向日倾
'wei'you'yuan'tou'huo'shui'lai 为有源头活水来
'wen'dao'yu'lai'xiang'wen'xun 闻道欲来相问讯
'wen'qu'na'de'qing'ru'xu 问渠那得清如许
'wen'shuo'mei'hua'zao 闻说梅花早
'wen'zi'lu'gong'liu 文字鲁恭留
'wo'kan'qian'niu'zhi'nv'xing 卧看牵牛织女星
'wu'bian'guang'jing'yi'shi'xin 无边光景一时新
'wu'chu'dong'nan'che 吴楚东南坼
'wu'di'jing'qi'zai'yan'zhong 武帝旌旗在眼中
'wu'fu'ming'chao'jian'shu'lai 无复明朝谏疏来
'wu'fu'shi'chen'zhi 无复侍臣知
'wu'ge'jin'pu'jie'ri'xuan 舞阁金铺借日悬
'wu'hu'yan'jing'you'shui'zheng 五湖烟景有谁争
'wu'hua'wu'jiu'guo'qing'ming 无花无酒过清明
'wu'jiang'gu'ren'jiu 无将故人酒
'wu'ling'gui'gong'zi 五陵贵公子
'wu'ling'qiu'ma'zi'qing'fei 五陵裘马自轻肥
'wu'mei'ji'luo'qiao 无媒寄洛桥
'wu'que'chao'han'yue'yi'zhi 乌鹊巢寒月一枝
'wu'ren'bu'dao'kan'hua'hui 无人不道看花回
'wu'ren'song'jiu'lai 无人送酒来
'wu'se'yun'che'jia'liu'long 五色云车驾六龙
'wu'shan'wu'xia'qi'xiao'sen 巫山巫峡气萧森
'wu'tong'yao'luo'gu'yuan'qiu 梧桐摇落故园秋
'wu'wei'zai'qi'lu 无为在歧路
'wu'ye'lou'sheng'cui'xiao'jian 五夜漏声催晓箭
'wu'yi'xiang'kou'xi'yang'xie 乌衣巷口夕阳斜
'wu'yue'liu'hua'zhao'yan'ming 五月榴花照眼明
'xi'bian'chao'yang'lu'ba'qian 夕贬潮阳路八千
'xi'cao'wei'feng'an 细草微风岸
'xi'chu'yang'guan'wu'gu'ren 西出阳关无故人
'xi'fei'chang'jin'he 锡飞常近鹤
'xi'hu'ge'wu'ji'shi'xiu 西湖歌舞几时休
'xi'jiang'qu'zhu'qi'gao'lou 西江取竹起高楼
'xi'li'du'qiu'sheng 淅沥度秋声
