'an'hui'da'xue'chu'ban'she 安徽大学出版社
'shi'jie'tu'shu'chu'ban'xi'an'gong'si 世界图书出版西安公司
'shi'jie'zhi'shi'chu'ban'she 世界知识出版社
'shi'you'da'xue'chu'ban'she 石油大学出版社
'shi'you'gong'ye'chu'ban'she 石油工业出版社
'shou'du'jing'ji'mao'yi'da'xue'chu'ban'she 首都经济贸易大学出版社
'shou'du'shi'fan'da'xue'chu'ban'she 首都师范大学出版社
'si'chuan'da'xue'chu'ban'she 四川大学出版社
'si'chuan'jiao'yu'chu'ban'she 四川教育出版社
'si'chuan'ke'xue'ji'shu'chu'ban'she 四川科学技术出版社
'si'chuan'min'zu'chu'ban'she 四川民族出版社
'si'chuan'ren'min'chu'ban'she 四川人民出版社
'si'chuan'sheng'cheng'du'shi'er'huan'lu'bei'yi'duan 四川省成都市二环路北一段
'su'zhou'da'xue'chu'ban'she 苏州大学出版社
'tai'yuan'shi'jian'she'nan'lu 太原市建设南路
'tian'jin'da'xue'chu'ban'she 天津大学出版社
'tian'jin'jiao'yu'chu'ban'she 天津教育出版社
'tian'jin'ke'xue'ji'shu'chu'ban'she 天津科学技术出版社
'tian'jin'nan'kai'qu'ying'shui'dao 天津南开区迎水道
'tian'jin'ren'min'chu'ban'she 天津人民出版社
'tian'jin'she'hui'ke'xue'yuan'chu'ban'she 天津社会科学院出版社
'tian'jin'shi'he'ping'qu'zhang'zi'zhong'lu 天津市和平区张自忠路
'tian'jin'shi'nan'kai'qu'wei'jin'lu'tian'jin'da'xue'nei 天津市南开区卫津路天津大学内
'tong'ji'da'xue'chu'ban'she 同济大学出版社
'wai'yu'jiao'xue'yu'yan'jiu'chu'ban'she 外语教学与研究出版社
'wen'wu'chu'ban'she 文物出版社
'wu'han'chu'ban'she 武汉出版社
'wu'han'da'xue'chu'ban'she 武汉大学出版社
'wu'han'han'kou'qing'nian'lu 武汉汉口青年路
'wu'han'jiang'an'qu'bei'jing'lu 武汉江岸区北京路
'wu'han'li'gong'da'xue'chu'ban'she 武汉理工大学出版社
'wu'han'shi'han'kou'jie'fang'da'dao'xin'yu'cun 武汉市汉口解放大道新育村
'wu'han'shi'hong'shan'qu'lu'mo'lu 武汉市洪山区鲁磨路
'wu'han'shi'wu'chang'huang'li'lu 武汉市武昌黄鹂路
'wu'han'shi'wu'chang'luo'shi'lu 武汉市武昌珞狮路
'wu'lu'mu'qi'jie'fang'nan'lu 乌鲁木齐解放南路
'wu'lu'mu'qi'sheng'li'lu 乌鲁木齐胜利路
'wu'lu'mu'qi'shi'yan'an'lu 乌鲁木齐市延安路
'xi'an'dian'zi'ke'ji'da'xue'chu'ban'she 西安电子科技大学出版社
'xi'an'jiao'tong'da'xue'chu'ban'she 西安交通大学出版社
'xi'an'shi'bei'da'jie 西安市北大街
'xi'an'shi'chang'an'nan'lu 西安市长安南路
'xi'an'shi'da'lu 西安市大路
'xi'an'shi'nan'da'jie 西安市南大街
'xi'an'shi'tai'bai'bei'lu 西安市太白北路
'xi'an'shi'tai'bai'nan'lu 西安市太白南路
'xi'an'shi'xing'qing'nan'lu 西安市兴庆南路
'xi'bei'da'xue'chu'ban'she 西北大学出版社
'xi'bei'gong'ye'da'xue'chu'ban'she 西北工业大学出版社
'xi'bei'nong'lin'ke'ji'da'xue'chu'ban'she 西北农林科技大学出版社
'xi'nan'cai'jing'da'xue'chu'ban'she 西南财经大学出版社
'xi'nan'jiao'tong'da'xue'chu'ban'she 西南交通大学出版社
'xi'nan'shi'fan'da'xue'chu'ban'she 西南师范大学出版社
'xi'ning'shi'tong'ren'lu 西宁市同仁路
'xi'zang'ren'min'chu'ban'she 西藏人民出版社
'xia'men'da'xue'chu'ban'she 厦门大学出版社
'xia'men'shi'si'ming'nan'lu 厦门市思明南路
'xin'jiang'da'xue'chu'ban'she 新疆大学出版社
'xin'jiang'jiao'yu'chu'ban'she 新疆教育出版社
'xin'jiang'ke'ji'wei'sheng'chu'ban'she 新疆科技卫生出版社
'xin'jiang'ren'min'chu'ban'she 新疆人民出版社
'xin'jiang'wu'lu'mu'qi'shi'sheng'li'lu 新疆乌鲁木齐市胜利路
'yan'an'xi'lu 延安西路
'yan'bian'da'xue'chu'ban'she 延边大学出版社
'yan'bian'jiao'yu'chu'ban'she 延边教育出版社
'ye'jin'gong'ye'chu'ban'she 冶金工业出版社
'yin'chuan'shi'jie'fang'xi'jie 银川市解放西街
'yin'shua'gong'ye'chu'ban'she 印刷工业出版社
'yu'hang'chu'ban'she 宇航出版社
'yu'wen'chu'ban'she 语文出版社
'yuan'zi'neng'chu'ban'she 原子能出版社
'yun'nan'da'xue'chu'ban'she 云南大学出版社
'yun'nan'jiao'yu'chu'ban'she 云南教育出版社
'yun'nan'ke'xue'ji'shu'chu'ban'she 云南科学技术出版社
'yun'nan'ren'min'chu'ban'she 云南人民出版社
'zhe'jiang'da'xue'chu'ban'she 浙江大学出版社
'zhe'jiang'jiao'yu'chu'ban'she 浙江教育出版社
'zhe'jiang'ke'xue'ji'shu'chu'ban'she 浙江科学技术出版社
'zhe'jiang'ren'min'chu'ban'she 浙江人民出版社
'zhe'jiang'ren'min'mei'shu'chu'ban'she 浙江人民美术出版社
'zheng'zhou'da'xue'chu'ban'she 郑州大学出版社
'zheng'zhou'da'xue'lu 郑州大学路
'zheng'zhou'shi'da'xue'lu 郑州市大学路
'zheng'zhou'shi'nong'ye'lu 郑州市农业路
'zhong'guo'biao'zhun'chu'ban'she 中国标准出版社
'zhong'guo'cai'zheng'jing'ji'chu'ban'she 中国财政经济出版社
'zhong'guo'dang'an'chu'ban'she 中国档案出版社
'zhong'guo'di'tu'chu'ban'she 中国地图出版社
'zhong'guo'di'zhi'da'xue'chu'ban'she 中国地质大学出版社
'zhong'guo'dian'li'chu'ban'she 中国电力出版社
'zhong'guo'dui'wai'jing'ji'mao'yi'chu'ban'she 中国对外经济贸易出版社
'zhong'guo'fa'zhi'chu'ban'she 中国法制出版社
'zhong'guo'fang'zhi'chu'ban'she 中国纺织出版社
'zhong'guo'gu'ji'chu'ban'she 中国古籍出版社
'zhong'guo'guang'bo'dian'shi'chu'ban'she 中国广播电视出版社
'zhong'guo'hai'yang'da'xue'chu'ban'she 中国海洋大学出版社
'zhong'guo'huan'jing'ke'xue'chu'ban'she 中国环境科学出版社
'zhong'guo'ji'liang'chu'ban'she 中国计量出版社
'zhong'guo'jian'cai'gong'ye'chu'ban'she 中国建材工业出版社
'zhong'guo'jian'cha'chu'ban'she 中国检察出版社
'zhong'guo'jian'zhu'gong'ye'chu'ban'she 中国建筑工业出版社
'zhong'guo'jin'rong'chu'ban'she 中国金融出版社
'zhong'guo'jing'ji'chu'ban'she 中国经济出版社
'zhong'guo'ke'xue'ji'shu'chu'ban'she 中国科学技术出版社
'zhong'guo'ke'xue'ji'shu'da'xue'chu'ban'she 中国科学技术大学出版社
'zhong'guo'kuang'ye'da'xue'chu'ban'she 中国矿业大学出版社
'zhong'guo'lin'ye'chu'ban'she 中国林业出版社
'zhong'guo'lv'you'chu'ban'she 中国旅游出版社
'zhong'guo'mei'shu'xue'yuan'chu'ban'she 中国美术学院出版社
'zhong'guo'nong'ye'chu'ban'she 中国农业出版社
'zhong'guo'nong'ye'da'xue'chu'ban'she 中国农业大学出版社
'zhong'guo'qing'gong'ye'chu'ban'she 中国轻工业出版社
'zhong'guo'qing'nian'chu'ban'she 中国青年出版社
'zhong'guo'ren'min'da'xue'chu'ban'she 中国人民大学出版社
'zhong'guo'ren'min'gong'an'da'xue'chu'ban'she 中国人民公安大学出版社
'zhong'guo'shang'ye'chu'ban'she 中国商业出版社
'zhong'guo'she'hui'chu'ban'she 中国社会出版社
'zhong'guo'she'hui'ke'xue'chu'ban'she 中国社会科学出版社
'zhong'guo'shen'ji'chu'ban'she 中国审计出版社
'zhong'guo'shi'dai'jing'ji'chu'ban'she 中国世代经济出版社
'zhong'guo'shi'hua'chu'ban'she 中国石化出版社
'zhong'guo'shui'li'shui'dian'chu'ban'she 中国水利水电出版社
'zhong'guo'shui'wu'chu'ban'she 中国税务出版社
'zhong'guo'tie'dao'chu'ban'she 中国铁道出版社
'zhong'guo'tong'ji'chu'ban'she 中国统计出版社
'zhong'guo'wen'xue'chu'ban'she 中国文学出版社
'zhong'guo'wu'zi'chu'ban'she 中国物资出版社
'zhong'guo'xie'he'yi'ke'da'xue'chu'ban'she 中国协和医科大学出版社
'zhong'guo'yi'yao'ke'ji'chu'ban'she 中国医药科技出版社
'zhong'guo'zheng'fa'da'xue'chu'ban'she 中国政法大学出版社
'zhong'guo'zhong'yi'yao'chu'ban'she 中国中医药出版社
'zhong'hua'shu'ju 中华书局
'zhong'nan'da'xue'chu'ban'she 中南大学出版社
'zhong'shan'da'xue'chu'ban'she 中山大学出版社
'zhong'yang'guang'bo'dian'shi'da'xue'chu'ban'she 中央广播电视大学出版社
'zhong'yang'min'zu'da'xue'chu'ban'she 中央民族大学出版社
'zhong'yang'wen'xian'chu'ban'she 中央文献出版社
'zhong'yang'yin'yue'xue'yuan'chu'ban'she 中央音乐学院出版社
