'a'yi 阿益
'shang'cha'xia'tou'ming 上茶下透明
'shang'hong'cha'xia'cha 上红茶下茶
'shang'hong'cha'xia'cha'qian'shui'yin 上红茶下茶浅水银
'shang'hui'cha'xia'cha 上灰茶下茶
'shang'hui'xia'an'zi 上灰下暗紫
'shang'hui'xia'cha 上灰下茶
'shang'hui'xia'cha'du'qian'shui'yin 上灰下茶镀浅水银
'shang'hui'xia'cha'ru'yang 上灰下茶如样
'shang'hui'xia'cha'wu'se'yang 上灰下茶无色样
'shang'hui'xia'fen'hong 上灰下粉红
'shang'hui'xia'fen'hong'du'zhong'shui'yin 上灰下粉红镀中水银
'shang'hui'xia'fen'hong'ru'yang 上灰下粉红如样
'shang'hui'xia'gan'lan'lv 上灰下橄榄绿
'shang'hui'xia'gan'lan'lv'du'qian'shui'yin 上灰下橄榄绿镀浅水银
'shang'hui'xia'hong 上灰下红
'shang'hui'xia'hong'ru'yang 上灰下红如样
'shang'hui'xia'huang 上灰下黄
'shang'hui'xia'huang'du'zhong'shui'yin 上灰下黄镀中水银
'shang'hui'xia'hui 上灰下灰
'shang'hui'xia'jiu'hong 上灰下酒红
'shang'hui'xia'jiu'hong'ru'yang 上灰下酒红如样
'shang'hui'xia'ju 上灰下桔
'shang'hui'xia'ju'du'zhong'shui'yin 上灰下桔镀中水银
'shang'hui'xia'ju'ru'yang 上灰下桔如样
'shang'hui'xia'lan 上灰下蓝
'shang'hui'xia'lan 上灰下兰
'shang'hui'xia'lan'du'zhong'shui'yin 上灰下蓝镀中水银
'shang'hui'xia'lan'ru'yang 上灰下蓝如样
'shang'hui'xia'lan'ru'yang 上灰下兰如样
'shang'hui'xia'lv 上灰下绿
'shang'hui'xia'lv'ru'yang 上灰下绿如样
'shang'hui'xia'mei 上灰下玫
'shang'hui'xia'mei'gui 上灰下玫瑰
'shang'hui'xia'mei'gui'hong 上灰下玫瑰红
'shang'hui'xia'mei'gui'hong'ru'yang 上灰下玫瑰红如样
'shang'hui'xia'qian'hong 上灰下浅红
'shang'hui'xia'qian'huang 上灰下浅黄
'shang'hui'xia'shen'lan 上灰下深兰
'shang'hui'xia'shen'lan'qian'shui'yin 上灰下深兰浅水银
'shang'hui'xia'tou'ming 上灰下透明
'shang'hui'xia'zi 上灰下紫
'shang'hui'xia'zi'du'qian'shui'yin 上灰下紫镀浅水银
'shang'hui'zi'xia'ju 上灰紫下桔
'shang'lan'xia'zi 上兰下紫
'shang'lan'xia'zi'ru'yang 上兰下紫如样
'shang'liang 上梁
'shang'lv'xia'cha 上绿下茶
'shang'lv'xia'cha'ru'yang 上绿下茶如样
'shang'qian'hui'xia'cha 上浅灰下茶
'shang'qian'hui'xia'cha'ru'yang 上浅灰下茶如样
'shang'shen'cha'xia'qian'cha'ru'yang 上深茶下浅茶如样
'shang'shen'cha'xia'qian'hui 上深茶下浅灰
'shang'shen'lan'hui'xia'qian'cha'ru'yang 上深兰灰下浅茶如样
'shang'xia'xian 上下线
'shang'xia'xian'feng'jing 上下线风镜
'shang'zi'xia'hui 上紫下灰
'shang'zi'xia'hui'ru'yang 上紫下灰如样
'shao'fan 烧饭
'she'xing 蛇型
'she'xing'suo'shi 蛇型锁式
'shen'cha 深茶
'shen'cha'ru'yang 深茶如样
'shen'hui 深灰
'shen'hui'ru'yang 深灰如样
'shen'hui'tong 深灰同
'shen'lan 深蓝
'shen'lan'hui 深兰灰
'shen'lan'hui'qian'shui'yin 深兰灰浅水银
'shen'lv 深绿
'shen'ru'yang 深如样
'sheng'chan'bu 生产部
'sheng'chan'bu'fu'li 生产部副理
'sheng'chan'bu'jing'li 生产部经理
'sheng'qi 盛奇
'shi'bai 实白
'shi'ju 实桔
'shi'pian 饰片
'shi'qing'fu 石清富
'shi'xin'jiu 实心臼
'shi'xin'qiu 实心球
'shi'yuan'feng 石元凤
'shi'yun 石云
'shou'dong 手动
'shou'dong'wan'jiao 手动弯脚
'shou'mo 手模
'shuang'cha 双茶
'shuang'cha'hui 双茶灰
'shuang'cha'hui'ru'yang 双茶灰如样
'shuang'cha'ru'yang 双茶如样
'shuang'hei'hui 双黑灰
'shuang'hei'hui'ru'yang 双黑灰如样
'shuang'hui 双灰
'shuang'hui'ru'yang 双灰如样
'shuang'jiu'hong 双酒红
'shuang'jiu'hong'ru'yang 双酒红如样
'shuang'kuan 双宽
'shuang'lan'hui 双兰灰
'shuang'lan'hui'ru'yang 双兰灰如样
'shuang'ya 双芽
'shuang'ya 双牙
'shuang'zi 双紫
'shuang'zi'ru'yang 双紫如样
'si'bian'xing 四边形
'si'dian 四点
'si'gong 丝攻
'si'hui 四灰
'si'ji 司机
'si'mian 四面
'si'mo 撕膜
'si'mo'tie'mo 撕膜贴膜
'si'tong 丝通
'si'tong'jiao'si 丝通脚丝
'si'tong'luo'si 丝通螺丝
'song'bing'geng 宋炳庚
'su'jiao'dian'pian 塑胶垫片
'su'jiao'gai'mao 塑胶盖帽
'sun'quan 孙权
'sun'xun'hua 孙巡华
'suo'jiao'luo'si 锁脚螺丝
'suo'kuai 锁块
'suo'pian 锁片
'suo'pian'luo'si 锁片锣丝
'suo'shang'liang'luo'si 锁上梁镙丝
'suo'shi 锁式
'tai'li 泰立
'tang'da'yong 汤大勇
'tao'chang'jiao'tao 套长脚套
'tao'duan'jiao'tao 套短脚套
'tao'hong 桃红
'tao'pi'tao 套皮套
'tao'tong'pi'jia 套铜皮架
'tao'xiang'pi'jiao'tao 套橡皮脚套
'te'da 特大
'te'shu'jiao'si 特殊脚丝
'teng'long 腾龙
'tian'lu 田路
'tiao'pao'guang'mao 挑抛光毛
'tie'kuang 贴框
'tie'mo 贴膜
'tong'ji 统计
'tong'ka 铜卡
'tong'kuang'se 同框色
'tong'pi 铜皮
'tong'pi'jia 铜皮架
'tong'pi'kuang 铜皮框
'tong'pi'shuang'ya 铜皮双牙
'tong'pi'xi'tou 铜皮铣头
'tong'shi'dian'liang'dian 同时点两点
'tong'shi'dian'liang'dian'gao'pin'ji 同时点两点高频机
'tong'yang 同样
'tong'yang'pin 同样品
'tou'ming'an'cha 透明暗茶
'tou'ming'bai'jiao 透明白脚
'tou'ming'hui 透明灰
'tou'ming'hui'chang'jiao'tao 透明灰长脚套
'tou'ming'jiao 透明脚
'tui'ban 推板
'tui'du'jia 退度架
'tui'huo 退火
'tui'luo'si 退螺丝
'tuo'ye 托叶
'tuo'ye'luo'si 托叶螺丝
'wai'bao'shi'lan'nei'tou'ming 外宝石蓝内透明
'wai'cha 外茶
'wai'cha'nei'ju 外茶内桔
'wai'cha'nei'tou'ming 外茶内透明
'wai'fen'hong 外粉红
'wai'fen'hong'nei'tou'ming 外粉红内透明
'wai'hai'jun'lan 外海军蓝
'wai'hei'nei'bai 外黑内白
'wai'hei'nei'hong 外黑内红
'wai'hei'nei'huang 外黑内黄
'wai'hei'nei'ju 外黑内桔
'wai'hei'nei'lv 外黑内绿
'wai'hei'nei'qian'lv 外黑内浅绿
'wai'hei'nei'tou'ming 外黑内透明
'wai'hei'nei'zi 外黑内紫
'wai'hui'nei'tou'ming 外灰内透明
'wai'jia'gong'ru'ku 外加工入库
'wai'lan'nei'qian'lan 外蓝内浅蓝
'wai'mei'gui'hong 外玫瑰红
'wai'qian'lan'nei'tou'ming 外浅蓝内透明
'wai'shen'lan 外深蓝
'wai'shen'lan'nei'tou'ming 外深蓝内透明
'wai'xiang 外箱
'wai'yin'hui 外银灰
'wai'yin'hui'nei'tou'ming 外银灰内透明
'wai'zi'nei'bai 外紫内白
'wan'gong'ru'ku 完工入库
'wan'jiao 弯脚
'wang'chun 王春
'wang'de'bao 汪得宝
'wang'dong'lin 王冬林
'wang'li'fen 王丽芬
'wang'qi'kun 王啟坤
'wang'zhi'kun 王志坤
'wen'sheng'hui 温声辉
'wen'yuan 文员
'wu'ba'san 吴八三
'wu'jiao'tao 无脚套
'wu'jiao'tao'tong'pi'jia 无脚套铜皮架
'wu'kuang 无框
'wu'kuang'jiao'si 无框脚丝
'wu'kuang'jiao'si'te'da 无框脚丝特大
'wu'se'yang 无色样
'wu'tian'xi 吴天喜
'wu'yuan'zhou 吴远洲
'xi'jia'zi 洗架子
'xi'kong 铣孔
'xi'kong'yi'shou 铣孔一手
'xi'tou 铣头
'xi'yin 铣银
'xi'yin'bao'li'lai 铣银保丽莱
'xi'zhen'quan 席珍全
'xi'zhong'liang 铣中梁
'xi'zhong'liang'er'shou 铣中梁二手
'xi'zhong'liang'yi'shou 铣中梁一手
'xian'da 显达
'xian'huo 现货
'xian'huo'cai'gou 现货采购
'xiang'hui 向辉
'xiang'pi'jiao'tao 橡皮脚套
'xiang'yong'hua 向勇华
'xiang'zuan 镶钻
'xiang'zuan'kong 镶钻孔
'xiao'guang'qiang 消光枪
'xiao'jia 校架
'xiao'jia'fei'quan'kuang 校架非全框
'xiao'jia'fei'quan'kuang'ding'xing'jiao 校架非全框定型脚
'xiao'jia'quan'kuang'ding'xing'jiao 校架全框定型脚
'xiao'jia'quan'kuang'wan'jiao 校架全框弯脚
'xiao'yu 小鱼
'xie'an'ming 谢安明
'xin'hui 鑫辉
'xin'li 新利
'xin'yi 鑫益
'xing'jiu'bei 型酒杯
'xing'tai 兴泰
'xing'ya 兴亚
'xiu'li 修理
'xiu'li'jia 修理架
'xu'zhi'hua 徐志华
'xun'jian 巡检
'ya'an'hui 哑暗灰
'ya'ban'kuang 压半框
'ya'fen'hong 哑粉红
'ya'guang'cha 哑光茶
'ya'guang'lan 哑光蓝
'ya'guang'qiang 哑光枪
'ya'guang'yin 哑光银
'ya'hei 哑黑
'ya'nie 哑镍
'ya'qiang 哑枪
'ya'quan'kuang 压全框
'ya'shi'pian 压饰片
'ya'tong'pi 压铜皮
'ya'yi'da 雅依达
'yan'cha 烟茶
'yan'gan'lan'se'yan'lv'se'shang'hui'xia'cha 烟橄榄色烟绿色上灰下茶
'yan'huang'jia 验黄架
'yan'hui 烟灰
'yan'hui'se 烟灰色
'yan'jia 验架
'yan'jia'zu 验架组
'yan'jing'you'xian'gong'si 眼镜有限公司
'yan'zong'se 烟棕色
'yang'ying 杨英
'yao'liang'wei 尧亮伟
'yao'pao 要抛
'yao'zu'wen 姚祖文
'ye'guang'se 夜光色
'ye'wu'bu 业务部
'ye'wu'jing'li 业务经理
'ye'wu'yuan 业务员
'yi'cai'gou 已采购
'yi'che'jian 一车间
'yi'shou 一手
'yi'wan'cheng 已完成
'yi'zi'ping'tou'luo'si 一字平头镙丝
'yin'hui 银灰
'yin'li'li 尹丽丽
'yin'zi 印字
'ying'cha'hua 应茶花
'ying'zhao'yan 应兆炎
'ying'zhi'qiang 应治强
'yong'da 永大
'yong'tu 用途
'yong'xing 永星
'you'xian'gong'si 有限公司
'yu'hang 宇航
'yu'huan'huang'lin 玉环黄林
'yu'si 鱼丝
'yu'si'da'kong 鱼丝打孔
'yu'si'pian 鱼丝片
'yu'si'xi'cao 鱼丝铣槽
'yu'si'xian 渔丝线
'yu'tai 钰泰
'yu'yan'mei 于艳梅
'yuan'bei 圆背
'yuan'da 远大
'yuan'gong 员工
'yuan'guan 元管
'yuan'pian 圆片
'yuan'si 圆丝
'yuan'tou 圆头
'zeng'tou 增透
'zeng'tou'lan'mo 增透蓝膜
'zhan'jiao 粘胶
'zhan'xin 展鑫
'zhang'jie 张杰
'zhang'xiao'hua 张小华
'zhang'you'peng 张友鹏
'zhao'hui 兆辉
'zhao'yang 赵阳
'zhao'yu'ling 赵玉岭
'zheng'xing'zai 郑兴仔
'zhi'dan 制单
'zhi'mo 制模
'zhong'liang 中梁
'zhou'guo'min 周国民
'zhou'ming'huo 周明火
'zhou'ming'jun 周明军
'zhou'ming'song 周明松
'zhou'ming'xi 周明喜
'zhou'ping 周平
'zhou'rui 周锐
'zhou'song'lin 周松林
'zhu'chun'yi 朱春意
'zhu'guan 主管
'zhu'guang'cha 珠光茶
'zhu'guang'hong 珠光红
'zhu'guang'huang 珠光黄
'zhu'guang'jiu'hong 珠光酒红
'zhu'guang'shen'lan 珠光深蓝
'zhu'guo'xiang 朱国香
'zhu'mou'bin 朱谋斌
'zhu'ren'biao 朱仁标
'zhu'shi'hua 朱室华
'zhu'xiao'hong 朱校红
'zhu'xiao'yan 朱小燕
'zhu'xin'xin 朱新新
'zhu'zi 柱子
'zhu'zi'bao'jiao 柱子包脚
'zhu'zi'da'jia 柱子搭架
'zhu'zi'jia 柱子架
'zhuang'da 装搭
'zhuang'heng'dan 装横旦
'zhuang'jiao'si 装脚丝
'zhuang'kai'jiu'luo'si 装开臼螺丝
'zhuang'luo'mao 装螺帽
'zhuang'shuang'ya 装双牙
'zhuang'si'tong'jiao'si 装丝通脚丝
'zhuang'tou 桩头
'zi'dan'tou 子弹头
'zi'dong'ji 自动机
'zi'hong 紫红
'zi'hong'jian'jin 紫红渐进
'zi'hong'jian'jin'ru'yang 紫红渐进如样
'zi'hui 紫灰
'zi'hui'ru'yang 紫灰如样
'zi'jia'gong 自加工
'zi'pian 紫片
'zi'se 紫色
'zi'se'jian'shui'lv 紫色渐水绿
'zi'se'ru'yang 紫色如样
'zong'jing'li 总经理
'zong'ru'yang 棕如样
'zong'se'lan'se'jian'jin'hui 棕色蓝色渐进灰
'zu'li 阻力
'zu'li'ji 阻力机
'zu'li'ji'ban'kuang'da'jia 阻力机半框搭架
'zu'li'ji'quan'kuang'da'jia 阻力机全框搭架
'zuan'shi 钻石
