'a'er'ba'ni'ya'yu 阿尔巴尼亚语
'xi'ban'ya'yu 西班牙语
'xi'bo'lai'yu 希伯莱语
'xi'ju'xue 戏剧学
'xi'ju'ying'shi'mei'shu'she'ji 戏剧影视美术设计
'xi'ju'ying'shi'wen'xue 戏剧影视文学
'xi'la'yu 希腊语
'xi'tong'gong'cheng 系统工程
'xi'tong'ke'xue'lei 系统科学类
'xi'tong'ke'xue'yu'gong'cheng 系统科学与工程
'xi'tong'li'lun 系统理论
'xi'tu'gong'cheng 稀土工程
'xiang'mu'guan'li 项目管理
'xiao'fang'gong'cheng 消防工程
'xiao'fang'zhi'hui 消防指挥
'xiao'xue'jiao'yu 小学教育
'xin'li'xue 心理学
'xin'li'xue'lei 心理学类
'xin'wen'chuan'bo'xue'lei 新闻传播学类
'xin'wen'chuan'bo'xue'lei'zhong'wai'he'zuo'ban'xue 新闻传播学类中外合作办学
'xin'wen'xue 新闻学
'xin'xi'an'quan 信息安全
'xin'xi'dui'kang'ji'shu 信息对抗技术
'xin'xi'gong'cheng 信息工程
'xin'xi'guan'li'yu'xin'xi'xi'tong 信息管理与信息系统
'xin'xi'ke'xue'ji'shu 信息科学技术
'xin'xi'wu'li'gong'cheng 信息物理工程
'xin'xi'xian'shi'yu'guang'dian'ji'shu 信息显示与光电技术
'xin'xi'yan'jiu'yu'an'quan'mi'ma'xue 信息研究与安全密码学
'xin'xi'yu'ji'suan'ke'xue 信息与计算科学
'xin'xi'zi'yuan'guan'li 信息资源管理
'xin'yong'guan'li 信用管理
'xing'shi'ke'xue'ji'shu 刑事科学技术
'xing'zheng'guan'li 行政管理
'xiong'ya'li'yu 匈牙利语
'xue'qian'jiao'yu 学前教育
'yan'cao 烟草
'yan'shi'guang'xue 眼视光学
'yan'yu'ting'jue'ke'xue 言语听觉科学
'yao'gan'ke'xue'yu'ji'shu 遥感科学与技术
'yao'shi'guan'li 药事管理
'yao'wu'zhi'ji 药物制剂
'yao'xue 药学
'yao'xue'lei 药学类
'yao'xue'lei'zhong'wai'he'zuo'ban'xue 药学类中外合作办学
'ye'jin'gong'cheng 冶金工程
'ye'sheng'dong'wu'yu'zi'ran'bao'hu'qu'guan'li 野生动物与自然保护区管理
'ye'zhan'gei'shui'gong'cheng 野战给水工程
'yi'da'li'yu 意大利语
'yi'liao'qi'xie'gong'cheng 医疗器械工程
'yi'qi'yi'biao'lei 仪器仪表类
'yi'qi'yi'biao'lei'zhong'wai'he'zuo'ban'xue 仪器仪表类中外合作办学
'yi'shu'jiao'yu 艺术教育
'yi'shu'lei 艺术类
'yi'shu'she'ji 艺术设计
'yi'shu'she'ji'xue 艺术设计学
'yi'xue'ji'shu 医学技术
'yi'xue'jian'yan 医学检验
'yi'xue'mei'rong'ji'shu 医学美容技术
'yi'xue'shi'yan'ban 医学试验班
'yi'xue'shi'yan'ban'lei 医学试验班类
'yi'xue'shi'yan'xue 医学实验学
'yi'xue'xin'xi'gong'cheng 医学信息工程
'yi'xue'xin'xi'xue 医学信息学
'yi'xue'ying'xiang'gong'cheng 医学影像工程
'yi'xue'ying'xiang'xue 医学影像学
'yin'di'yu 印地语
'yin'du'ni'xi'ya'yu 印度尼西亚语
'yin'shua'gong'cheng 印刷工程
'yin'yue'biao'yan 音乐表演
'yin'yue'xue 音乐学
'ying'shi'yi'shu'ji'shu 影视艺术技术
'ying'yang'xue 营养学
'ying'yong'dian'zi'ji'shu'jiao'yu 应用电子技术教育
'ying'yong'hua'xue 应用化学
'ying'yong'qi'xiang'xue 应用气象学
'ying'yong'sheng'wu'jiao'yu 应用生物教育
'ying'yong'sheng'wu'ke'xue 应用生物科学
'ying'yong'shu'xue 应用数学
'ying'yong'wu'li'xue 应用物理学
'ying'yong'xin'li'xue 应用心理学
'ying'yong'yao'xue 应用药学
'ying'yong'yu'yan'xue 应用语言学
'ying'yu 英语
'you'liao'chu'yun'gong'cheng 油料储运工程
'you'qi'chu'yun'gong'cheng 油气储运工程
'yu'fang'yi'xue 预防医学
'yu'fang'yi'xue'lei 预防医学类
'yu'jing'tan'ce'zhi'hui 预警探测指挥
'yuan'lin 园林
'yuan'yi 园艺
'yuan'yi'jiao'yu 园艺教育
'yue'nan'yu 越南语
'yun'dong'kang'fu'yu'jian'kang 运动康复与健康
'yun'dong'ren'ti'ke'xue 运动人体科学
'zai'hai'fang'zhi'gong'cheng 灾害防治工程
'zai'sheng'zi'yuan'ke'xue'yu'ji'shu 再生资源科学与技术
'zang'yao'xue 藏药学
'zang'yi'xue 藏医学
'zhe'xue 哲学
'zhe'xue'ji'di'ban 哲学基地班
'zhe'xue'lei 哲学类
'zhen'ce'gong'cheng 侦测工程
'zhen'cha'xue 侦查学
'zhen'cha'yu'te'zhong'bing'zhi'hui 侦察与特种兵指挥
'zhen'jiu'tui'na'xue 针灸推拿学
'zhen'kong'dian'zi'ji'shu 真空电子技术
'zheng'zhi'jing'ji'xue 政治经济学
'zheng'zhi'xue 政治学
'zheng'zhi'xue'lei 政治学类
'zheng'zhi'xue'lei'zhong'wai'he'zuo'ban'xue 政治学类中外合作办学
'zheng'zhi'xue'yu'xing'zheng'xue 政治学与行政学
'zhi'an'xue 治安学
'zhi'hui'zi'dong'hua'gong'cheng 指挥自动化工程
'zhi'liang'yu'ke'kao'xing'gong'cheng 质量与可靠性工程
'zhi'neng'ke'xue'yu'ji'shu 智能科学与技术
'zhi'shi'chan'quan 知识产权
'zhi'shi'chan'quan'fa 知识产权法
'zhi'wu'bao'hu 植物保护
'zhi'wu'ke'xue'yu'ji'shu 植物科学与技术
'zhi'wu'sheng'chan'lei 植物生产类
'zhi'wu'sheng'chan'lei'zhong'wai'he'zuo'ban'xue 植物生产类中外合作办学
'zhi'wu'zi'yuan'gong'cheng 植物资源工程
'zhi'yao'gong'cheng 制药工程
'zhi'ye'ji'shu'jiao'yu'guan'li 职业技术教育管理
'zhi'ye'ji'shu'jiao'yu'lei 职业技术教育类
'zhi'zao'gong'cheng 制造工程
'zhi'zao'zi'dong'hua'yu'ce'kong'ji'shu 制造自动化与测控技术
'zhong'cao'yao'zai'pei'yu'jian'ding 中草药栽培与鉴定
'zhong'guo'ge'ming'shi'yu'zhong'guo'gong'chan'dang'dang'shi 中国革命史与中国共产党党史
'zhong'guo'shao'shu'min'zu'yu'yan'wen'xue 中国少数民族语言文学
'zhong'guo'yu'yan'wen'xue 中国语言文学
'zhong'guo'yu'yan'wen'xue'ji'di'ban 中国语言文学基地班
'zhong'guo'yu'yan'wen'xue'lei 中国语言文学类
'zhong'guo'yu'yan'wen'xue'lei'zhong'wai'he'zuo'ban'xue 中国语言文学类中外合作办学
'zhong'xi'yi'lin'chuang'yi'xue 中西医临床医学
'zhong'yao'xue 中药学
'zhong'yao'zi'yuan'yu'kai'fa 中药资源与开发
'zhong'yi'ji'chu'xue'ji'di'ban 中医基础学基地班
'zhong'yi'xue 中医学
'zhong'yi'xue'lei 中医学类
'zhong'yi'xue'lei'zhong'wai'he'zuo'ban'xue 中医学类中外合作办学
'zhong'zi'ke'xue'yu'gong'cheng 种子科学与工程
'zhuang'bei'bao'zhang'zhi'hui 装备保障指挥
'zhuang'bei'jing'ji'guan'li 装备经济管理
'zi'chan'ping'gu 资产评估
'zi'dong'hua 自动化
'zi'yuan'huan'jing'ke'xue 资源环境科学
'zi'yuan'huan'jing'yu'cheng'xiang'gui'hua'guan'li 资源环境与城乡规划管理
'zi'yuan'kan'cha'gong'cheng 资源勘查工程
'zi'yuan'ke'xue'yu'gong'cheng 资源科学与工程
'zong'jiao'xue 宗教学
'zuo'qu'yu'zuo'qu'ji'shu'li'lun 作曲与作曲技术理论
'zuo'zhan'xin'xi'guan'li 作战信息管理
