'a'bo 阿波
'qian'tian'li'chang 前田利常
'qian'tian'li'chang 前田利昌
'qian'tian'li'jia 前田利家
'qian'tian'li'jiu 前田利久
'qian'tian'li'yi 前田利益
'qian'tian'li'zheng 前田利政
'qian'tian'qing'ci 前田庆次
'qian'tian'song 前田松
'qian'tian'xiu'ji 前田秀继
'qian'tian'xuan'yi 前田玄以
'qian'ye'bang'yin 千叶邦胤
'qian'ye'chang'kang 前野长康
'qian'ye'chang'sheng 浅野长晟
'qian'ye'chang'zheng 浅野长政
'qian'ye'xing'chang 浅野幸长
'qian'ye'yin'fu 千叶胤富
'qian'zong'yi 千宗易
'qiang'dan'zheng 枪弹正
'qiang'zhi'you'zuo 枪之又左
'qing'chang 庆长
'qing'qi'zhe 倾奇者
'qing'shan'zhong'cheng 青山忠成
'qing'shui'kang'ying 清水康英
'qing'shui'zong'zhi 清水宗治
'qing'zhou 清洲
'qiu'shan'xin'you 秋山信友
'qiu'shang'jiu'jia 秋上久家
'qiu'tian'shi'ji 秋田实季
'qu'zhi'lai'dao'san 曲直濑道三
'quan'tong'lai'an 犬童赖安
'quan'ze'jiu'xiu 泉泽久秀
'ren'ke'sheng'xin 仁科盛信
'ri'ben'qi'zhu'qiang 日本七柱枪
'ri'gen'ye'hong'jiu 日根野弘就
'ri'xiang 日向
'ri'ye'fu'zi 日野富子
'ruo'lin'zhen'xing 若林镇兴
'ruo'xia 若狭
'sa'mo 萨摩
'san'cun'jia'qin 三村家亲
'san'cun'yuan'qin 三村元亲
'san'dan'zheng 三弹正
'san'dao'wu'jiu'you 三刀屋久佑
'san'fang'yuan'hui'zhan 三方原会战
'san'hao'chang'qing 三好长庆
'san'hao'chang'yi 三好长逸
'san'hao'chang'zhi 三好长治
'san'hao'kang'chang 三好康长
'san'hao'san'ren'zhong 三好三人众
'san'hao'shi'xiu 三好实休
'san'hao'xiao'yan 三好笑岩
'san'hao'yi'ji 三好义继
'san'hao'yi'xian 三好义贤
'san'hao'yi'xing 三好义兴
'san'hao'yuan'chang 三好元长
'san'hao'zheng'kang 三好政康
'san'hao'zheng'sheng 三好政胜
'san'he 三河
'san'he'hun 三河魂
'san'tiao'gong'lai 三条公赖
'san'yun'cheng'chi 三云成持
'san'zhi'shou'you 三枝守友
'san'zhong'lao 三中老
'sang'ming'ji'cheng 桑名吉成
'sang'shan'zhong'qing 桑山重晴
'se'bu'sheng'chang 色部胜长
'se'bu'zhang'shi 色部长实
'sen'chang'ke 森长可
'sen'cun'chun 森村春
'sen'ke'cheng 森可成
'sen'lan'wan 森兰丸
'sen'xia'dao'yu 森下道与
'sen'zhong'zheng 森忠政
'sha'sheng'guan'bai 杀生关白
'shan'an'shang'jia 山岸尚家
'shan'ben'kan'zhu 山本勘助
'shan'ben'si'ding'chang 山本寺定长
'shan'cheng 山城
'shan'gu'shan'zhu'fang 杉谷善住坊
'shan'ke'yan'ji 山科言继
'shan'ming'chan'gao 山名禅高
'shan'ming'chi'feng 山名持丰
'shan'ming'you'feng 山名佑丰
'shan'ming'zheng'feng 山名政丰
'shan'ming'zong'quan 山名宗全
'shan'nei'qian'dai 山内千代
'shan'nei'yi'feng 山内一丰
'shan'pu'guo'qing 山浦国清
'shan'qi'chang'de 山崎长德
'shan'qi'pian'jia 山崎片家
'shan'shang'zong'er 山上宗二
'shan'tian'chang'zheng 山田长政
'shan'tian'kuang'de 山田匡德
'shan'tian'you'xin 山田有信
'shan'xian'chang'jing 山县昌景
'shan'yang'dao 山阳道
'shan'yin'dao 山阴道
'shan'zhi'fang'zhao'suan 杉之坊照算
'shan'zhong'jun'hao 山中俊好
'shan'zhong'lu'jie 山中鹿介
'shan'zhong'xing'sheng 山中幸盛
'shang'jing'jue'jian 上井觉兼
'shang'luo 上洛
'shang'quan'xin'gang 上泉信纲
'shang'shan'ding'xian 上杉定宪
'shang'shan'hui'hu 上杉辉虎
'shang'shan'jing'hu 上杉景虎
'shang'shan'jing'sheng 上杉景胜
'shang'shan'jing'xin 上杉景信
'shang'shan'qian'xin 上杉谦信
'shang'shan'xian'zheng 上杉宪政
'shang'tiao'zheng'fan 上条政繁
'shang'ye 上野
'shang'zhou'di'yi'qiang 上州第一枪
'shang'zong 上总
'she'gu'yu'you'wei'men 涉谷与右卫门
'she'jin 摄津
'shen'bao'shi'zhang 神保氏张
'shen'bao'zhang'cheng 神保长城
'shen'bao'zhang'zhi 神保长职
'shen'bao'zhang'zhu 神保长住
'shen'hu'ju'sheng 神户具盛
'shen'shui'chang'zhi 深水长智
'shen'wu'zong'zhan 神屋宗湛
'shen'xi'yuan'tong 神西元通
'shen'ze'li'zhong 深泽利重
'sheng'ju'ji'nai 生驹吉乃
'sheng'ju'qin'zheng 生驹亲正
'sheng'ju'yi'zheng 生驹一正
'shi'chuan'gao'xin 石川高信
'shi'chuan'jing'hao 市川经好
'shi'chuan'shu'zheng 石川数正
'shi'chuan'wu'you'wei'men 石川五右卫门
'shi'chuan'zhao'guang 石川昭光
'shi'ding'mu'fu 室町幕府
'shi'ding'yu'suo 室町御所
'shi'gang'yi'yu 师冈一羽
'shi'gui'zheng'shi 世鬼政时
'shi'he'cun'bao 十河存保
'shi'he'yi'cun 十河一存
'shi'jia'bu'quan 氏家卜全
'shi'jia'guang'shi 氏家光氏
'shi'jia'shou'dong 氏家守栋
'shi'jia'xing'guang 氏家行广
'shi'jia'zhi'yuan 氏家直元
'shi'jian 石见
'shi'lai'cang'ren 世濑藏人
'shi'mu'tian'jing'lai 石母田景赖
'shi'qi'jing'jia 柿崎景家
'shi'qi'qing'jia 柿崎晴家
'shi'shan'yu'fang 石山御坊
'shi'tian'san'cheng 石田三成
'shi'tian'zhong'jia 石田重家
'shi'yao'yuan'quan'zong 施药院全宗
'shi'ze'lai'gang 矢沢赖纲
'shi'ze'lai'kang 矢沢赖康
'shou'gui'ni 寿桂尼
'shou'hu'dai 守护代
'shou'ye'yong'de 狩野永德
'shui'gu'yin'zhong 水谷胤重
'shui'ye'sheng'cheng 水野胜成
'shui'ye'xin'yuan 水野信元
'shui'ye'zhong'zhong 水野忠重
'si'bo'quan'zhen 斯波诠真
'si'bo'quan'zhi 斯波诠直
'si'bo'yi'da 斯波义达
'si'bo'yi'lian 斯波义廉
'si'bo'yi'liang 斯波义良
'si'bo'yi'min 斯波义敏
'si'bo'yi'tong 斯波义统
'si'bo'yi'yin 斯波义银
'si'guo'zheng'fa 四国征伐
'song'bo'yi'qin 松波义亲
'song'cang'zhong'xin 松仓重信
'song'cang'zhong'zheng 松仓重政
'song'jing'kang'zhi 松井康之
'song'jing'you'xian 松井友闲
'song'ping'guang'zhong 松平广忠
'song'ping'qing'kang 松平清康
'song'ping'xin'kang 松平信康
'song'ping'yuan'kang 松平元康
'song'ping'zhong'hui 松平忠辉
'song'ping'zhong'ji 松平忠吉
'song'pu'long'xin 松浦隆信
'song'pu'zhen'xin 松浦镇信
'song'qian'qing'guang 松前庆广
'song'tian'xian'xiu 松田宪秀
'song'xia'jia'bing'wei 松下加兵卫
'song'yong'jiu'tong 松永久通
'song'yong'jiu'xiu 松永久秀
'sui'jing'tian'yuan'qing 穗井田元清
'tai'tian'chang'zhi 太田长知
'tai'tian'dao'guan 太田道灌
'tai'tian'niu'yi 太田牛一
'tai'tian'san'le'zhai 太田三乐斋
'tai'tian'shi'zi 太田氏资
'tai'tian'zong'zheng 太田宗正
'tai'yuan'xue'zhai 太原雪斋
'tai'zheng'da'chen 太政大臣
'tang'qian'wu'zhu 汤浅五助
'tao'dan'zheng 逃弹正
'tao'qing'xian 陶晴贤
'teng'tang'gao'hu 藤堂高虎
'ti'dian'chang'zhao 鹈殿长照
'ti'dian'shi'chang 鹈殿氏长
'ti'si'sun'liu 鹈饲孙六
'tian'bei'zhen'zhou 田北镇周
'tian'cao'si'lang 天草四郎
'tian'cun'qing'xian 田村清显
'tian'cun'zhong'xian 田村重显
'tian'shan'gao'zheng 畠山高政
'tian'shan'yi'gang 畠山义纲
'tian'shan'yi'jiu 畠山义就
'tian'shan'yi'xu 畠山义续
'tian'shan'zheng'chang 畠山政长
'tian'shan'zheng'guo 畠山政国
'tian'shan'zhi'chang 畠山植长
'tian'wen 天文
'tian'wen'zhi'luan 天文之乱
'tian'xiu'ni 天秀尼
'tian'ye'kang'jing 天野康景
'tian'ye'long'zhong 天野隆重
'tian'yuan'qin'xian 田原亲贤
'tian'zheng 天正
'tian'zhong'ji'zheng 田中吉政
'tian'zhong'sheng'zhu 田中胜助
'tong'jing'ding'ci 筒井定次
'tong'jing'shun'qing 筒井顺庆
'tong'xia'jian'hui'zhan 桶狭间会战
'tu'jing'li'sheng 土井利胜
'tu'ju'zong'shan 土居宗珊
'tu'qi'cheng'lai 土岐成赖
'tu'qi'lai'ci 土岐赖次
'tu'qi'lai'yi 土岐赖艺
'tu'qiao'ping'ci 土桥平次
'tu'tian'yu'qian 土田御前
'tu'wu'chang'ci 土屋昌次
'tu'wu'chang'heng 土屋昌恒
'tu'zuo 土佐
'tuo'zhi'san'zhi'cheng 拓植三之丞
'wan'mu'chang'hui 丸目长惠
'wang'yue'liu'lang 望月六郎
'wei'yuan'jing'zong 娓原景宗
'wei'zhang 尾张
'wei'zhang'zhi'hu 尾张之虎
'wen'gui 文龟
'wen'jing'jing'long 温井景隆
'wen'lu 文禄
'wen'ming 文明
'wen'zhu'suo'tong'jing 问驻所统景
'wu'da'lao 五大老
'wu'dai'jing'lai 屋代景赖
'wu'dai'you'xi 五代友喜
'wu'feng'xing 五奉行
'wu'jing'xi'an 武井夕庵
'wu'lun'shu 五轮书
'wu'tian'sheng'lai 武田胜赖
'wu'tian'xiao'yao'xuan 武田逍遥轩
'wu'tian'xin'fan 武田信繁
'wu'tian'xin'feng 武田信丰
'wu'tian'xin'hu 武田信虎
'wu'tian'xin'ji 武田信吉
'wu'tian'xin'lian 武田信廉
'wu'tian'xin'sheng 武田信胜
'wu'tian'xin'xuan 武田信玄
'wu'tian'yi'xin 武田义信
'wu'tian'yuan'ming 武田元明
'wu'ye'shao'ou 武野绍鸥
'wu'yin'cai'cang 雾隐才藏
'wu'zang 武藏
'xi'chuan'gao'guo 细川高国
'xi'chuan'qing'yuan 细川晴元
'xi'chuan'ren'you'wei'men 西川仁右卫门
'xi'chuan'san'zhai 细川三斋
'xi'chuan'sheng'yuan 细川胜元
'xi'chuan'shi'gang 细川氏纲
'xi'chuan'teng'xiao 细川藤孝
'xi'chuan'you'zhai 细川幽斋
'xi'chuan'yuan'chang 细川元常
'xi'chuan'zhao'yuan 细川昭元
'xi'chuan'zheng'yuan 细川政元
'xi'chuan'zhong'xing 细川忠兴
'xi'guo'wu'shuang'de'da'jiang 西国无双的大将
'xi'guo'zhi'xiong 西国之雄
'xi'hai'dao 西海道
'xi'ru'ji'jiu 喜入季久
'xi'yuan'si'gong'guang 西园寺公广
'xia'jian'lai'lian 下间赖廉
'xia'jian'lai'zhao 下间赖照
'xia'jian'zhong'xiao 下间仲孝
'xia'ke'shang 下克上
'xia'mu'qing'xin 夏目晴信
'xia'ye 下野
'xia'yi 虾夷
'xia'zong 下总
'xian'shi'xiu'jiu 仙石秀久
'xian'tao'yuan 仙桃院
'xiang'chuan'qin'he 香川亲和
'xiang'chuan'yuan'jing 香川元景
'xiang'chuan'zhi'jing 香川之景
'xiang'jing'zheng'gang 向井正纲
'xiang'liang'yi'yang 相良义阳
'xiang'lu 享禄
'xiang'ma'sheng'yin 相马盛胤
'xiang'ma'xian'yin 相马显胤
'xiang'ma'yi'yin 相马义胤
'xiang'mo 相模
'xiang'mo'de'shi'zi 相模的狮子
'xiang'zong'wo'bu'qin'tai 香宗我部亲泰
'xiao'bin'jing'long 小滨景隆
'xiao'bu'kan'er'lang 筱部堪二郎
'xiao'dao'zhi'zhen 小岛职镇
'xiao'dou'ban'he'zhan 小豆坂合战
'xiao'du 小督
'xiao'fan'hu'sheng 小幡虎盛
'xiao'fan'kan'bing'wei 小幡堪兵卫
'xiao'gu 小谷
'xiao'jue'yuan'zhou 小崛远洲
'xiao'lai'fu'an 小濑甫庵
'xiao'li'yuan'chang'shi 小笠原长时
'xiao'li'yuan'shao'zhai 小笠原少斋
'xiao'liang'chuan'sheng'zong 小梁川盛宗
'xiao'mu'shan'chang'jiu'shou'zhi'zhan 小牧山长久手之战
'xiao'shan'tian'xin'mao 小山田信茂
'xiao'shan'tian'xin'you 小山田信有
'xiao'si'zheng'zhi 小寺政职
'xiao'tian'shi'zhi 小田氏治
'xiao'tian'yuan 小田原
'xiao'tian'yuan'zheng'fa 小田原征伐
'xiao'xi'hang'zhang 小西行长
'xiao'xi'long'zuo 小西隆佐
'xiao'ye'shan'gui 小野善鬼
'xiao'ye'si'hui'dao 小野寺辉道
'xiao'ye'si'yi'dao 小野寺义道
'xiao'ye'zhen'xing 小野镇幸
'xiao'ye'zhong'ming 小野忠明
'xiao'yuan'zhang'fang 筱原长房
'xiao'zao'chuan'long'jing 小早川隆景
'xiao'zao'chuan'xiu'bao 小早川秀包
'xiao'zao'chuan'xiu'qiu 小早川秀秋
'xie'ban'an'zhi 胁阪安治
'xin'fa'tian'chang'dun 新发田长敦
'xin'fa'tian'zhong'jia 新发田重家
'xin'na'zhong'yuan 新纳忠元
'xin'nong 信浓
'xiong'gu'xin'zhi 熊谷信直
'xiu'mu'yuan'gang 朽木元纲
'xu'tian'man'qin 须田满亲
'xue'hu'long'jia 穴户隆家
'xue'hu'mei'xuan 穴户梅轩
'xue'hu'yuan'xu 穴户元续
'xue'shan'mei'xue 穴山梅雪
'xue'shan'xiao'zhu 穴山小助
'xue'shan'xin'jun 穴山信君
'yan'cheng'chang'long 岩城常隆
'yan'cheng'you'tong 岩成友通
'yan'de 延德
'yan'jian'cheng'zhi'zhan 岩剑城之战
'yan'li'si 延历寺
'yan'shi'wan 塩市丸
'yi'cheng'gu 一乘谷
'yi'da'cheng'shi 伊达成实
'yi'da'hui'zong 伊达辉宗
'yi'da'qing'zong 伊达晴宗
'yi'da'shi'yuan 伊达实元
'yi'da'zheng'zong 伊达政宗
'yi'da'zhi'zong 伊达稙宗
'yi'dan'kang'zhi 伊丹康直
'yi'di'zhi'chong'xing 伊地知重兴
'yi'di'zhi'zhong'xiu 伊地知重秀
'yi'dong'yi'you 伊东义佑
'yi'dong'you'an 伊东佑安
'yi'dong'you'bing 伊东佑兵
'yi'dou 伊豆
'yi'gang'zuo'jing 依冈左京
'yi'he 伊贺
'yi'he'qi'dao'shun 伊贺崎道顺
'yi'ji'yuan'zhong'cang 伊集院忠仓
'yi'ji'yuan'zhong'dong 伊集院忠栋
'yi'ling'ju'zu 一领具足
'yi'men'zhong 一门众
'yi'mu'zhong'ci 伊木忠次
'yi'nai'zhong'ci 伊奈忠次
'yi'qi 壹岐
'yi'se'yi'dao 一色义道
'yi'se'yi'ding 一色义定
'yi'se'yi'qing 一色义清
'yi'se'yi'zhi 一色义直
'yi'shi 伊势
'yi'shi'sheng'shi 伊势盛时
'yi'shi'zhen'qin 伊势贞亲
'yi'su'fang'niu 一粟放牛
'yi'teng'wu'shi'lang 伊藤物十郎
'yi'teng'yi'dao'zhai 伊藤一刀斋
'yi'tian'yuan'xiang 益田元祥
'yi'tiao'jian'ding 一条兼定
'yi'tiao'xin'long 一条信龙
'yi'wan'tian'jian'shi 一万田鉴实
'yi'xiang'yi'kui 一向一揆
'yi'xiang'zong 一向宗
'yi'xin'chong'yun 以心崇纭
'yi'yu 伊予
'yin'fan 因幡
'yin'qi 隐岐
'ying'jing'qing'ji 樱井晴吉
'ying'ren 应仁
'ying'ren'zhi'luan 应仁之乱
'ying'si'xiao'zi 鹰司孝子
'ying'si'xin'fang 鹰司信房
'ying'wa'jiu'hu 颖娃久虎
'yong'lu 永禄
'yong'tian'de'ben 永田德本
'yong'zheng 永正
'you'bi'zheng'xue 由比正雪
'you'bu'ji 由布姬
'you'li'lian'zhi'zhu 由利镰之助
'you'ma'qing'xin 有马晴信
'you'ye'er'lang'bing'wei 友野二郎兵卫
'you'zuo'chang'jiao 游佐长教
'you'zuo'xu'guang 游佐续光
'yu'chai'xiu'chang 羽柴秀长
'yu'chai'xiu'ci 羽柴秀次
'yu'chai'xiu'ji 羽柴秀吉
'yu'chai'xiu'sheng 羽柴秀胜
'yu'du'gong'guang'gang 宇都宫广纲
'yu'du'gong'guo'gang 宇都宫国纲
'yu'guan'zhi'luan 御馆之乱
'yu'jiu'chun'ding 宇久纯定
'yu'jiu'chun'xuan 宇久纯玄
'yu'sen'mi'bing'wei 雨森弥兵卫
'yu'shan'jiu'jian 宇山久兼
'yu'su'kan'bing'wei 御宿堪兵卫
'yu'xi'duo'xiu'jia 宇喜多秀家
'yu'xi'duo'zhi'jia 宇喜多直家
'yu'xi'duo'zhong'jia 宇喜多忠家
'yu'ye'teng'you'wei'men 宇野藤右卫门
'yu'zuo'mei'ding'man 宇佐美定满
'yuan'chang'lai 原长赖
'yuan'chang'yin 原昌胤
'yuan'cheng'si'xin'yin 圆城寺信胤
'yuan'du'xin'guang 猿渡信光
'yuan'fei'zuo'zhu 猿飞佐助
'yuan'gui 元龟
'yuan'he 元和
'yuan'hu'yin 原虎胤
'yuan'jiang 远江
'yuan'shan'gang'jing 远山纲景
'yuan'shan'jing'ren 远山景任
'yuan'shan'kang'guang 远山康光
'yuan'shi 源氏
'yuan'teng'ji'xin 远藤基信
'yuan'teng'zhi'jing 远藤直经
'yuan'tian'zong'shi 原田宗时
'yuan'wu'guang'cheng 垣屋光成
'yuan'zheng'si'zheng'hui 愿证寺证惠
'yue'hou 越后
'yue'hou'zhi'long 越后之龙
'yue'qian 越前
'yue'zhong 越中
'za'he'sun'shi 杂贺孙市
'za'he'sun'yi 杂贺孙一
'zan'qi 讃岐
'zao'wu'wu'ze 糟屋武则
'zeng'tian'chang'sheng 增田长盛
'zhai'cun'zheng'guang 斋村政广
'zhai'teng'chao'xin 斋藤朝信
'zhai'teng'chuan'gui'fang 斋藤传鬼坊
'zhai'teng'dao'san 斋藤道三
'zhai'teng'gui'die 斋藤归蝶
'zhai'teng'li'san 斋藤利三
'zhai'teng'long'xing 斋藤龙兴
'zhai'teng'yi'long 斋藤义龙
'zhao'tian'you'guang 沼田佑光
'zhen'bi'shi'gan 真壁氏干
'zhen'bing'zhi'cheng 真柄直澄
'zhen'bing'zhi'long 真柄直隆
'zhen'tian'chang'hui 真田昌辉
'zhen'tian'chang'xing 真田昌幸
'zhen'tian'da'zhu 真田大助
'zhen'tian'shi'yong'shi 真田十勇士
'zhen'tian'wan 真田丸
'zhen'tian'xin'chang 真田信昌
'zhen'tian'xin'fan 真田信繁
'zhen'tian'xin'gang 真田信纲
'zhen'tian'xin'ji 真田信吉
'zhen'tian'xin'xing 真田信幸
'zhen'tian'xin'zheng 真田信政
'zhen'tian'xin'zhi 真田信之
'zhen'tian'xing'chang 真田幸昌
'zhen'tian'xing'cun 真田幸村
'zhen'tian'xing'long 真田幸隆
'zheng'mu'lai'zhong 正木赖忠
'zheng'mu'shi'mao 正木时茂
'zheng'mu'shi'zhong 正木时忠
'zheng'qin'ding'tian'huang 正亲町天皇
'zhi'cang'chang'chang 支仓常长
'zhi'cun'guang'an 志村光安
'zhi'he'qin'ci 志贺亲次
'zhi'he'qin'shou 志贺亲守
'zhi'jiang'jian'xu 直江兼续
'zhi'jiang'jing'gang 直江景纲
'zhi'jiang'shi'gang 直江实纲
'zhi'jiang'xin'gang 直江信纲
'zhi'jiang'zhuang 直江状
'zhi'mo 志摩
'zhi'qian'qing'you'wei'men 芝迁清右卫门
'zhi'shan'jian'wu 芝山监物
'zhi'tian'chang'ci 织田长次
'zhi'tian'chang'yi 织田长益
'zhi'tian'quan 织田犬
'zhi'tian'sheng'chang 织田胜长
'zhi'tian'shi 织田市
'zhi'tian'xin'an 织田信安
'zhi'tian'xin'bao 织田信包
'zhi'tian'xin'chang 织田信长
'zhi'tian'xin'ding 织田信定
'zhi'tian'xin'gao 织田信高
'zhi'tian'xin'guang 织田信光
'zhi'tian'xin'guang 织田信广
'zhi'tian'xin'hao 织田信好
'zhi'tian'xin'ji 织田信吉
'zhi'tian'xin'sheng 织田信胜
'zhi'tian'xin'xian 织田信贤
'zhi'tian'xin'xiao 织田信孝
'zhi'tian'xin'xing 织田信行
'zhi'tian'xin'xing 织田信兴
'zhi'tian'xin'xiong 织田信雄
'zhi'tian'xin'xiu 织田信秀
'zhi'tian'xin'you 织田信友
'zhi'tian'xin'zhen 织田信贞
'zhi'tian'xin'zheng 织田信正
'zhi'tian'xin'zhong 织田信忠
'zhi'tian'xiu'xiao 织田秀孝
'zhi'tian'xiu'xin 织田秀信
'zhi'tian'you'le'zhai 织田有乐斋
'zhi'zhu'qi'guan 踯躅崎馆
'zhong'chuan'guang'zhong 中川光重
'zhong'chuan'qing'xiu 中川清秀
'zhong'cun'yi'rong 中村一荣
'zhong'cun'yi'shi 中村一氏
'zhong'cun'yi'zhong 中村一忠
'zhong'dao'ke'zhi'zhu 中岛可之助
'zhong'dao'zhong'fang 中岛重房
'zhong'juan'zi'zhai 钟卷自斋
'zhong'shan'chao'zheng 中山朝正
'zhong'tiao'jing'tai 中条景泰
'zhong'ye'zong'shi 中野宗时
'zhong'yuan'bu'chuan 冢原卜传
'zhong'zi'dao'jiu'shi 种子岛久时
'zhong'zi'dao'shi'yao 种子岛时尧
'zhou'fang 周防
'zhu'hou 筑后
'zhu'jiao'hu'ding 诸角虎定
'zhu'miao'dai'sheng'guo 猪苗代盛国
'zhu'qian 筑前
'zhu'tian'teng'zuo'bing'wei 筑田藤左兵卫
'zhu'yu'bang'xian 猪俣邦宪
'zhu'yu'qing'gang 竹俣庆纲
'zhu'zhong'ban'bing'wei 竹中半兵卫
'zhu'zhong'zhong'men 竹中重门
'zhu'zhong'zhong'zhi 竹中重治
'zhu'zi'bing'jie 猪子兵介
'zhui'ming'kang'yin 椎名康胤
'zi'xiao'lu'lai'gang 姊小路赖纲
'zong'yi'tiao 宗义调
'zong'yi'zhi 宗义智
'zou'fang'da'ming'shen 诹访大明神
'zou'fang'hu 诹访湖
'zou'fang'lai'gao 诹访赖高
'zou'fang'lai'man 诹访赖满
'zou'fang'lai'zhong 诹访赖重
'zou'fang'yu'liao'ren 诹访御料人
'zu'li'cheng'shi 足利成氏
'zu'li'yi'cai 足利义材
'zu'li'yi'cheng 足利义澄
'zu'li'yi'hui 足利义辉
'zu'li'yi'qing 足利义晴
'zu'li'yi'rong 足利义荣
'zu'li'yi'shang 足利义尚
'zu'li'yi'shi 足利义视
'zu'li'yi'shi 足利义氏
'zu'li'yi'wei 足利义维
'zu'li'yi'xun 足利义寻
'zu'li'yi'zhao 足利义昭
'zu'li'yi'zheng 足利义政
'zu'li'yi'zhi 足利义稙
'zu'li'zheng'zhi 足利政知
'zu'tian'feng'wu'lang 足田丰五郎
'zu'wu'yuan'si'lang 组屋源四郎
'zui'shang'yi'guang 最上义光
'zui'shang'yi'ji 最上义姬
'zui'shang'yi'shi 最上义时
'zui'shang'yi'shou 最上义守
'zuo'bo'wei'ding 佐伯惟定
'zuo'du 佐渡
'zuo'fen'li'zhu'zhi'zhu 佐分利猪之助
'zuo'he'shan 佐贺山
'zuo'jia'teng'tai'lang 佐甲藤太郎
'zuo'jiu'jian'sheng'zheng 佐久间盛政
'zuo'jiu'jian'sheng'zhong 佐久间盛重
'zuo'jiu'jian'xin'sheng 佐久间信盛
'zuo'shi'yuan'jia 佐世元嘉
'zuo'tian'yan'si'lang 佐田彦四郎
'zuo'xie'liang'zhi 佐胁良之
'zuo'ye'fang'gang 佐野房纲
'zuo'zhi'xin'fang 佐治信方
'zuo'zhi'yi'cheng 佐治一成
'zuo'zhu'yi'jiu 佐竹义久
'zuo'zhu'yi'xuan 佐竹义宣
'zuo'zhu'yi'zhao 佐竹义昭
'zuo'zhu'yi'zhong 佐竹义重
'zuo'zuo'cheng'zheng 佐佐成政
'zuo'zuo'mu'xiao'ci'lang 佐佐木小次郎
'zuo'zuo'zheng'ci 佐佐政次
