'ai'ba'jiu 爱把酒
'he'si'zun'qian'jian'zai'shen 何似尊前见在身
'he'xin'lang'bi'hai'cheng'sang'ye 贺新郎碧海成桑野
'he'xin'lang'bie'mao'jia'shi'er'di 贺新郎别茂嘉十二弟
'he'xin'lang'ceng'yu'dong'shan'yue 贺新郎曾与东山约
'he'xin'lang'cui'lang'tun'ping'ye 贺新郎翠浪吞平野
'he'xin'lang'lu'ru'men'qian'liu 贺新郎路入门前柳
'he'xin'lang'mi'ju'ru'dong'ye 贺新郎觅句如东野
'he'xin'lang'niao'juan'fei'hai'yi 贺新郎鸟倦飞还矣
'he'xin'lang'pu'shang'kan'chui'diao 贺新郎濮上看垂钓
'he'xin'lang'shen'yi'wu'shuai'yi 贺新郎甚矣吾衰矣
'he'xin'lang'shi'lu'feng'bo'e 贺新郎世路风波恶
'he'xin'lang'ting'wo'san'zhang'yue 贺新郎听我三章约
'he'xin'lang'xia'ma'dong'shan'lu 贺新郎下马东山路
'he'xin'lang'yi'qi'xuan'mei'yu 贺新郎逸气轩眉宇
'he'xin'lang'zhou'hou'e'sheng'liu 贺新郎肘后俄生柳
'he'xin'lang'zhu'zhang'chong'lai'yue 贺新郎拄杖重来约
'he'xing'ru'zhi 何幸如之
'he'xu'guo'hou'fang'zhi 何须过后方知
'he'yan'shuang'shuang'yu 贺燕双双语
'he'yan'tai'shan'hao'mo 何言泰山毫末
'he'yi'dao'ji'can'chu'tie 何异捣虀餐杵铁
'he'yong'zhe'gong'fu 何用着工夫
'he'you'su 何由俗
'he'yun'ge'hou 合韵歌喉
'he'zun'cu'zuo 合尊促坐
'hen'er'cao'di'si 恨儿曹抵死
'hen'gu'ren'bu'jian'wu'kuang'er 恨古人不见吾狂耳
'hen'ji'xiao'mo'bu'de 恨极销磨不得
'hen'mi'jin'xian'yin'dong'chuang 恨弥襟闲饮东窗
'hen'ru'xin 恨如新
'hen'tu'mi'kai'wan 恨荼蘼开晚
'hen'wu'fei'xue'qing'song'pan 恨无飞雪青松畔
'hen'ye'lai'feng 恨夜来风
'hen'yu'jun'wang'bie 恨与君王别
'hen'zhi'ji 恨之极
'hen'zhong'lian'bu'juan 恨重帘不卷
'hen'zhou'che'nan'bei 恨舟车南北
'heng'chen'xue'jiu'duan'chang'shan 横陈削就短长山
'heng'di'nan'kan'yi'zai'feng 横笛难堪一再风
'heng'e'bu'jia'shui'liu 姮娥不嫁谁留
'hong'dui'jin 红堆锦
'hong'fen'niao'hua'shao 红粉袅花梢
'hong'hu'yi'zai'gao'ju 鸿鹄一再高举
'hong'qi'tie'ma'xiang'chun'bing 红旗铁马响春冰
'hong'qu'jin'dao'kai 红蕖尽倒开
'hong'ri'you'xi'chen 红日又西沉
'hong'wei'juan'yue 红帷卷月
'hong'xing'dou'kai'bian 红杏都开遍
'hong'yan'chu'fei'jiang'shang 鸿雁初飞江上
'hou'che'fang'zai'tai'gong'gui 后车方载太公归
'hou'ding'bu'ru'jin 后定不如今
'hou'hui'ding'ning'he'ri'shi 后会丁宁何日是
'hou'hui'miao'nan'qi 后会渺难期
'hou'qi'chang'jue 后期长绝
'hou'ri'you'xun'si 后日又寻思
'hou'yin'huang'jin'zhu 侯印黄金铸
'hou'zhi'lan'zhe 后之览者
'hu'bao'gan'ren 虎豹甘人
'hu'die'hua'jian'zi'zai'fei 蝴蝶花间自在飞
'hu'hai'ping'sheng'hao'qi 湖海平生豪气
'hu'jian'dong'nan'tian'yi'zhu 忽见东南天一柱
'hu'lao'ban 呼老伴
'hu'luo'wo'cai'wu'suo'yong 濩落我材无所用
'hu'qu'fu'he'ru 忽去复何如
'hu'shang'liu'huang'shi'jie 湖上柳黄时节
'hu'yang'jing'shen 虎样精神
'hu'you'wei'liang'he'chu'yu 忽有微凉何处雨
'hu'yu'you 呼玉友
'hua'bian'xi'ma 花边系马
'hua'can'ren'si 花残人似
'hua'deng'wei'fang'sheng'ge 华灯未放笙歌
'hua'di'ren'jian'shi 花底人间世
'hua'dong'pin'yao'dong 画栋频摇动
'hua'dong'xin'chui'lian'mu 画栋新垂帘幕
'hua'fa'cang'yan 华发苍颜
'hua'hao'chu 花好处
'hua'jing'de'ni'gui 花径得泥归
'hua'jiu'miao'cheng'hao'ye'er 画就描成好靥儿
'hua'liu'yi'fan'chun 花柳一番春
'hua'liu'yu'wu 骅骝欲舞
'hua'liu'zi'cuo'tuo 花柳自蹉跎
'hua'lou'ying'zhan'qing'xi'shui 画楼影蘸清溪水
'hua'qian'mao'yu'yi'xiu'ren 花前毛羽已羞人
'hua'san'lao 画三老
'hua'tang'lian'juan 画堂帘卷
'hua'tu'jian 画图间
'hua'tu'qia'si'gui'jia'meng 画图恰似归家梦
'hua'xiang'jin'zhao'fen'mian'yun 花向今朝粉面匀
'hua'xie'dong'feng'sao 花谢东风扫
'hua'xu'piao'ling 花絮飘零
'hua'yi'si'he'lang 花一似何郎
'hua'yu'ge'wu'huan'yu'wai 花馀歌舞欢娱外
'hua'yuan'jin 花远近
'hua'yue'shang'xin'tian 花月赏心天
'hua'zhi'fou 花知否
'huai'xin'hen 怀新恨
'huan'bu'hui'tou 唤不回头
'huan'de'dong'jia'zhong'shu'shu 换得东家种树书
'huan'duo'shao 欢多少
'huan'er'tong'chui'huo'peng'lu 唤儿童吹火烹鲈
'huan'feng'lai 唤风来
'huan'ji'xu 欢几许
'huan'kui'ge'xin'bao'zhao'yu'wen 焕奎阁新褒诏语温
'huan'qi'shi'jia'er'lao 唤起诗家二老
'huan'qi'yi'shi'guan 唤起一时观
'huan'qi'yi'tian'ming'yue 唤起一天明月
'huan'qi'zi'lu'zi 唤起子陆子
'huan'qu'gu'ren'lai 唤取故人来
'huan'qu'sheng'ge'lan'man'you 唤取笙歌烂漫游
'huan'qu'shi'weng'lai'yin 唤取诗翁来饮
'huan'qu'xue'zhong'ming'yue 唤取雪中明月
'huan'wo'xi'bian'zhu 唤我溪边住
'huan'wu'ji'xue'wu 唤吴姬学舞
'huan'xi'sha'bai'shi'gu'fang'ken'zi'mei 浣溪沙百世孤芳肯自媒
'huan'xi'sha'bei'long'tian'gao'ta'shui'pin 浣溪沙北陇田高踏水频
'huan'xi'sha'bie'du'shu'gao 浣溪沙别杜叔高
'huan'xi'sha'cao'mu'yu'ren'ye'zuo'shu 浣溪沙草木于人也作疏
'huan'xi'sha'cun'bu'ren'jian'bai'chi'lou 浣溪沙寸步人间百尺楼
'huan'xi'sha'fu'lao'zheng'yan'yu'shui'yun 浣溪沙父老争言雨水匀
'huan'xi'sha'ge'chuan'ru'zhu'ge'ge'yun 浣溪沙歌串如珠个个匀
'huan'xi'sha'hua'xiang'jin'zhao'fen'mian'yun 浣溪沙花向今朝粉面匀
'huan'xi'sha'mei'zi'sheng'shi'dao'ji'hui 浣溪沙梅子生时到几回
'huan'xi'sha'wei'dao'shan'qian'qi'ma'hui 浣溪沙未到山前骑马回
'huan'xi'sha'xi'ting'chun'shan'du'yu'ti 浣溪沙细听春山杜宇啼
'huan'xi'sha'xin'qi'mao'yan'ci'di'cheng 浣溪沙新葺茅檐次第成
'huan'xi'sha'yang'liu'wen'rou'shi'gu'xiang 浣溪沙杨柳温柔是故乡
'huang'cao'wai'zi'lian'ying'huo 荒草外自怜萤火
'huang'he'ke'sai 黄河可塞
'huang'hu'shi'ren'chou 恍惚使人愁
'huang'hua'bu'cha'man'tou'gui 黄花不插满头归
'huang'hua'bu'qie'xi'feng'leng 黄花不怯西风冷
'huang'hua'he'chu'bi'chong'yang 黄花何处避重阳
'huang'hua'ye'ban'qiu'guang'lao 黄花也伴秋光老
'huang'huang'hu'yu'he'zhi 皇皇乎欲何之
'huang'hun'yuan'luo'yue'meng'long 黄昏院落月朦胧
'huang'jin'yan'se'wu'hua'kai 黄金颜色五花开
'huang'jin'yao'xia'yin 黄金腰下印
'huang'ju'nen 黄菊嫩
'huang'ju'qian'shui'zan 黄菊倩谁簪
'huang'li'he'chu'gu'fei'lai 黄鹂何处故飞来
'huang'lin'feng'zhou'qing'kong'si 恍临风周情孔思
'huang'nian'gu 荒年谷
'huang'quan'hai'ying'ye'fu'hui 荒犬还迎野妇回
'huang'yuan'wu'xian'si'liang 荒园无限思量
'hui'huo'zhe'qian'hou 挥霍遮前后
'hui'ji'xue 回急雪
'hui'kan'sha'di'gui'qu 会看沙堤归去
'hui'shou'chu 回首处
'hui'shou'gao'cheng 回首高城
'hui'shou'hai'shan'he'chu 回首海山何处
'hui'shou'jiao'yun'fei'feng'qi 回首叫云飞风起
'hui'shou'qu'yang'jiu'jie 回首驱羊旧节
'hui'shou'ting'yue'ming'tian'lai 回首听月明天籁
'hui'shuo'li'chou'qian'wan'ban 会说离愁千万般
'hui'shuo'wang'yan'shi'zhi'dao 会说忘言始知道
'hui'tou'ou'lu'piao'quan'she 回头鸥鹭瓢泉社
'hui'wo'yi'wang'ji'geng'wang'ji 会我已忘机更忘己
'hui'xiang'nuan're'xie'ge'wu 会相暖热携歌舞
'hui'yao'gui'jiu'jun'gui 蕙肴桂酒君归
'hui'zi'yan'zhi'hao'liang'le 惠子焉知濠梁乐
'hun'bu'ji 浑不寄
'hun'ru'ci 浑如此
'hun'wei'jie'qing'shen'yi'bao 浑未解倾身一饱
'hun'yu'shi 浑馀事
'huo'ran'qian'zhang'cui'yan'ping 霍然千丈翠岩屏
'huo'shu'lun'han 火鼠论寒
'ji'ban'jiao'lan 几般娇懒
'ji'ceng'feng'yun'wang'huai 几曾风韵忘怀
'ji'chu'zhen'sheng'qi 几处砧声起
'ji'dang'nian'gao'hui 记当年高会
'ji'dang'shi 记当时
'ji'de'piao'quan'kuai'huo'shi 记得瓢泉快活时
'ji'duo'tao'li 几多桃李
'ji'fang'rong 寄芳容
'ji'feng'liu'chong'lai'shou'zhong 记风流重来手种
'ji'feng'liu'yuan 记风流远
'ji'feng'liu'zhong'nian'huai'bao 记风流中年怀抱
'ji'ge'qing'ou 几个轻鸥
'ji'ge'xiang'zhi'ke'xi 几个相知可喜
'ji'guan'ai'xian'ci'di'cui 急管哀弦次第催
'ji'hu'tao'ye'du 急呼桃叶渡
'ji'hua'yao 几花药
'ji'hua'yue 记花月
'ji'jiang'hu'shi'zai 记江湖十载
'ji'jiao'duo 积教多
'ji'li'hen'ying'zhe'shu'ma 寄离恨应折疏麻
'ji'lie'tu'fen'mao 记裂土分茅
'ji'men'wai'qing'xi'xing'peng 记门外清溪姓彭
'ji'min'zheng'tang'qian'liu 记敏政堂前柳
'ji'mo 寂寞
'ji'mo'dong'jia'qiu'he'zai 寂寞东家丘何在
'ji'mu'nan'yun'wu'guo'yan 极目南云无过雁
'ji'qian'shi'quan'wo'yin'qin 记前时劝我殷勤
'ji'qian'shi'song'chun'gui'hou 记前时送春归后
'ji'qu 记取
'ji'qu'jiang'tou'san'yue'mu 记取江头三月暮
'ji'qu'jie'gao'chun'yu'hou 记取桔槔春雨后
'ji'qu'nian'nian'wei'shou'ke 记取年年为寿客
'ji'qu'nian'niao'niao 记去年袅袅
'ji'qu'qi'ting'mai'jiu 记取岐亭买酒
'ji'qu'ta'nian'qi'jiu'chuan 记取他年耆旧传
'ji'rong'hua'yi'xiao'nan'zheng 记荣华易消难整
'ji'shi'gui'ye 几时归也
'ji'shi'qiu'shui'mei'ren'lai 几时秋水美人来
'ji'shi'wang'sun 寄食王孙
'ji'shi'xian 几时闲
'ji'shi'yi'dan'qian'li 饥时一啖千里
'ji'shu'ling'chun 几树灵椿
'ji'ta'nian'wei'wo 记他年帷幄
'ji'tun'jiu'ri'yu'qiao'she 鸡豚旧日渔樵社
'ji'wo'qing'bei 记我清杯
'ji'wu'geng'lian'ju'shi'mi'ming 记五更联句失弥明
'ji'xin'zao'jiao 机心早觉
'ji'xu'chun'feng 几许春风
'ji'xu'feng'liu 几许风流
'ji'xue'jiu'zhong'duo 积雪就中多
'ji'yu'gui'yun'piao'miao 寄与归云缥缈
'ji'yu'niao 几鱼鸟
'ji'yu'shan'zhi'bing'bu'hua 积雨山栀病不花
'ji'yu'xi'yu 记余戏语
'ji'yu'zhu'tiao'wa 急雨珠跳瓦
'ji'yuan'xun 纪元勋
'ji'zhang'ju 几章句
'ji'zhe'dong'zhi'wei 几者动之微
'ji'zhen'xi'feng'luo'ye'gan 几阵西风落叶干
'ji'zhi'xing'ren'yi'kong'qiu'fei 记跖行仁义孔丘非
'ji'zhu'ren'liu'kun'song'ke 记主人留髠送客
'ji'zui'mian'tao'ling 记醉眠陶令
'jia'chuan'hong'bao'jiu'zhi'ming 家传鸿宝旧知名
'jia'ju'shao'yu'che 家具少于车
'jia'ren'bing'lie 佳人并列
'jia'ren'he'chu 佳人何处
'jia'ren'nan'de 佳人难得
'jia'ren'ri'mu 佳人日暮
'jia'ren'yan'jian'shui'liu 佳人偃蹇谁留
'jia'shan'he'zai 家山何在
'jia'zi'xiang'gao 甲子相高
'jian'ce'xie'xu'ming 简策写虚名
'jian'di'dao'cai'shi'ba 见底道才十八
'jian'hen'cai'chou'ju'hao 剪恨裁愁句好
'jian'hong'shan'lv 涧红山绿
'jian'jiao'chang'shen'shi'wan'song 检校长身十万松
'jian'jun'he'ri 见君何日
'jian'qi'yi'heng'qiu 剑气已横秋
'jian'shuo'jiao'pin 见说娇颦
'jian'shuo'min'e'qian'gu'xue 见说岷峨千古雪
'jian'shuo'yin'bian'bu'bu'yao 见说吟鞭步步摇
'jian'xi'mao 荐溪毛
'jian'xin'zuo'jiu 艰辛做就
'jian'zhu'tian'xin'wa 笕竹添新瓦
'jian'zhu'xi'chuang'ye'wei'lan 剪烛西窗夜未阑
'jiang'bian'zhu'hu 江边朱户
'jiang'cheng'zi'xi'tong'guan 江城子戏同官
'jiang'dong'ri'mu 江东日暮
'jiang'guo'you'xiang 江国幽香
'jiang'hai'qu'you'you 江海去悠悠
'jiang'hai'ren'xu'zhou 江海任虚舟
'jiang'he'liu'ri'ye 江河流日夜
'jiang'jun'bai'zhan'shen'ming'lie 将军百战身名裂
'jiang'jun'zhi'ke'shan'nan'pan 将军止渴山南畔
'jiang'mei'ying'li 江梅影里
'jiang'nan'hao'jing 江南好景
'jiang'nan'jin'chu 江南尽处
'jiang'rao'rao 将扰扰
'jiang'sha'long'zhu'zhao'yu'fei 绛纱笼烛照于飞
'jiang'shan'mei 江山美
'jiang'shan'te'di'chou'yu 江山特地愁余
'jiang'shan'yi'ye 江山一夜
'jiang'shen'zi'kan'jun'ren'wu'han'xi'dou 江神子看君人物汉西都
'jiang'shen'zi'liang'lun'wu'jiao'zou'ru'suo 江神子两轮屋角走如梭
'jiang'shen'zi'luan'yun'rao'rao'shui'chan'chan 江神子乱云扰扰水潺潺
'jiang'shen'zi'wu'yun'gao'chu'wang'xi'qing 江神子五云高处望西清
'jiang'tian'ri'mu 江天日暮
'jiang'tou'chou'sha'wu'lei 江头愁杀吾累
'jiang'tou'ri'ri'da'tou'feng 江头日日打头风
'jiang'tou'san'yue'qing'ming 江头三月清明
'jiang'tou'yi'dai'xie'yang'shu 江头一带斜阳树
'jiang'xian'lao'ren 绛县老人
'jiang'zuo'chen'han'qiu'ming'zhe 江左沉酣求名者
'jiao'di'di 娇滴滴
'jiao'er'pai'le 轿儿排了
'jiao'er'sun 教儿孙
'jiao'gui'dao'can'kan'tu 椒桂捣残堪吐
'jiao'jiao'rao'rao'ji'shi'xiu 胶胶扰扰几时休
'jiao'jiao'tai'du'li 皎皎太独立
'jiao'kai'chang'he 叫开阊阖
'jiao'qie'zhong'fu'rong 教且种芙蓉
'jiao'qing'mo'zuo'sui'sha'tuan 交情莫作碎沙团
'jiao'ru'wu 娇如舞
'jiao'shu'yuan'ji 交疏怨极
'jiao'xiu'wu'li'ying'ren'chi 娇羞无力应人迟
'jiao'you'tuan'sha 交友抟沙
'jiao'yu'yu 娇欲语
'jie'chao'shi'qian'yang'xiong 解嘲试倩扬雄
'jie'che'zai'jia'ju 借车载家具
'jie'dao'cheng'jiang'ru'lian 解道澄江如练
'jie'fei'quan 捷飞泉
'jie'fei'que 嗟费却
'jie'jin'xiao'yi'zui 借今宵一醉
'jie'jun'zhu'zhang'yu'mang'xie 借君竹杖与芒鞋
'jie'mei'e'nan'qi 嗟美恶难齐
'jie'men'qian'bu'shi'zheng'che'dao 解门前不使征车到
'jie'ni'xiang'ru 解拟相如
'jie'pin'jiao'hua'niao 解频教花鸟
'jie'shi'yi'jiang'wu'zhuo'chu 借使移将无着处
'jie'ting'san'si'wu 结亭三四五
'jie'wang'shi 嗟往事
'jie'wen'xing'ren'jia'zhu'chu 借问行人家住处
'jie'wo'bang'wu'lu 借我榜吾庐
'jie'wu'xi'tou 结屋溪头
'jie'xiao'da'xiang'xing 嗟小大相形
'jie'yi'nian'zhong'bian 嗟一念中变
'jie'yu'yu'shi'yuan'you'shi 嗟鱼欲事远游时
'jie'yu'zhi'le 嗟予之乐
'jin'can'shan'hua'leng 噤嘇山花冷
'jin'chan'tu'qi'du'jiang'chu 锦襜突骑渡江初
'jin'dai'gu'jiao'xin'gui'hou 今代故交新贵后
'jin'diao'tou'shang 金貂头上
'jin'ge'tie'ma 金戈铁马
'jin'gu'ji'chi'tai 今古几池台
'jin'gu'ji'qian'nian 今古几千年
'jin'gu'you'you'duo'shao'shi 今古悠悠多少事
'jin'gui'lao 金闺老
'jin'ji'qian'nian 今几千年
'jin'jian'feng'yu'yuan'chun'shi 锦笺封与怨春诗
'jin'jiang'jun 晋将军
'jin'ke'cheng'nan 金可成难
'jin'lai'chou'si'tian'lai'da 近来愁似天来大
'jin'lai'kan'ru'hua'tu'kan 近来堪入画图看
'jin'lai'shi'jue'gu'ren'shu 近来始觉古人书
'jin'lao'yi 今老矣
'jin'mo'hu 锦模糊
'jin'nang'lai'wang'ji'shi'xiu 锦囊来往几时休
'jin'nang'shi'juan'chang'liu 锦囊诗卷长留
'jin'nian'yan'zi'lai 今年燕子来
'jin'que'ming'cun 金阙名存
'jin'rao'ta 尽饶他
'jin'ri'jin'nang'wu'zhuo'chu 今日锦囊无着处
'jin'ri'shi'yu'meng'meng 尽日时雨濛濛
'jin'se'pang'bian'xu'zui 锦瑟旁边须醉
'jin'shi'ge'wu'jiu'shi'qing 近时歌舞旧时情
'jin'su'ru'lai'chu'shi 金粟如来出世
'jin'sui'quan'shou 今岁全收
'jin'tang'tang'ba'chi'xu'ran'gu 尽堂堂八尺须髯古
'jin'xi'qie'huan'xiao 今夕且欢笑
'jin'xiao'shan'guan 今宵山馆
'jin'xiao'yuan'zhang 今宵鸳帐
'jin'xiu'ma'xia'zuo'huang'ge 锦绣麻霞坐黄阁
'jin'xiu'ye'jian'xing 锦绣夜间行
'jin'yi'le 进亦乐
'jin'yin'guang'chui'zu 金印光垂组
'jin'yin'lei'lei'pei'lu'li 金印累累佩陆离
'jin'yin'xu'jiao'dou'da 金印须教斗大
'jin'you'wei'zu'zu'he'shi 今犹未足足何时
'jin'yu'bu'lai 今雨不来
'jin'yu'jiu'qing'huai 金玉旧情怀
'jin'yu'keng'ru 金玉铿如
'jin'yun'he 浸云壑
'jin'zhan'da 金盏大
'jin'zhang'chun'chun'se'nan'liu 锦帐春春色难留
'jin'zhang'zi'shou 金章紫绶
'jin'zhao'bu'guan'luan'yun'shen 今朝不管乱云深
'jin'zhao'fang'zui'shang'en'kuan 今朝放罪上恩宽
'jin'zhao'mei'yu'ji 今朝梅雨霁
'jin'zhao'zhu'zhang'guo'xi'xiang 今朝拄杖过西乡
'jing'de'wen'he'ru 经德问何如
'jing'dong'bai'yun'su 惊动白云宿
'jing'ji'di 经济地
'jing'liu'bu'bian'ya'si 泾流不辨涯涘
'jing'qi'wei'wu 精气为物
'jing'qi'yi'jiu'chang'ting'lu 旌旗依旧长亭路
'jing'ru'liao'tian'yi 径入寥天一
'jing'shen'bian'shi'shen'xian 精神便是神仙
'jing'shen'gu'jiao 精神孤矫
'jing'shen'hun'si'ge 精神浑似个
'jing'shen'xian'fu'yu 精神先付与
'jing'shui'si 竟谁似
'jing'sui'ren'sheng 境随人胜
'jing'ting'su'su'xie'xing'sha 静听窣窣蟹行沙
'jing'xing'ji'chu'jiang'shan'gai 经行几处江山改
'jing'xu'cong'ci'qu 径须从此去
'jing'yin'wei'tun'hai 鲸饮未吞海
'jing'zhong'yi'jue'xing'xing'wu 镜中已觉星星误
'jiong'ran'shuang'rui'qi'jue 迥然双蕊奇绝
'jiong'ran'tian'yu'qi'jue 迥然天与奇绝
'jiong'yu'yu'hua'bie 迥与馀花别
'jiu'bei'chang'qian 酒杯常浅
'jiu'bing'er'jin'jiao'jian'xie 酒病而今较减些
'jiu'chao'hai'you'yan'ni'xin 旧巢还有燕泥新
'jiu'chao'hong'jia 酒嘲红颊
'jiu'chao'xin'lei'hua'lian'di 旧巢新垒画帘低
'jiu'feng'bo 旧风波
'jiu'han'er're 酒酣耳热
'jiu'hao'shi'xing'liang'lian'mian 酒豪诗兴两联绵
'jiu'huan'xin'meng'li 旧欢新梦里
'jiu'huo'tian'yi 就火添衣
'jiu'jia'shi'dou'you'xie'er 旧家时都有些儿
'jiu'jiao'pin'jian 旧交贫贱
'jiu'mian'di'mi'cui'bei'zhong 酒面低迷翠被重
'jiu'ming'wu'shang 鸠鸣屋上
'jiu'ni'nan 旧呢喃
'jiu'peng'zi'le 鸠鹏自乐
'jiu'qian'shen 酒浅深
'jiu'qu'zhong 九衢中
'jiu'quan'ba'hou 酒泉罢侯
'jiu'ru'xiang'sai'fen'wai'yi 酒入香腮分外宜
'jiu'she'yu'shi'tan 酒社与诗坛
'jiu'sheng'shi'hao 酒圣诗豪
'jiu'shi'duan'rao'ge'shi'jiang 酒是短桡歌是桨
'jiu'shi'feng'luo'wu'jiang'ju 旧时枫落吴江句
'jiu'shi'ge'chu 旧时歌处
'jiu'shi'lou'shang'ke 旧时楼上客
'jiu'shi'mao'dian'she'lin'bian 旧时茅店社林边
'jiu'shi'ru'xiang 九十入相
'jiu'shi'xing'chu 旧时行处
'jiu'sui'chui'yan'hun'yu'duan 旧岁炊烟浑欲断
'jiu'tu'jin'you'ji'gao'yang 酒徒今有几高阳
'jiu'wan'li'feng'si'zai'xia 九万里风斯在下
'jiu'wei'xun 酒微醺
'jiu'xian'ge'shang'fu'tou 九仙阁上扶头
'jiu'yu'chang'lai 旧雨常来
'ju'cuo'tuo'ti'bie 举措脱体别
'ju'dui'dong'jun'tong'yin 且对东君痛饮
'ju'hai'ba'xi'tou'jiao'chu 巨海拔犀头角出
'ju'li'chun'feng'zheng'jian'cai 句里春风正剪裁
'ju'li'ming'zhu'zi'zi'pai 句里明珠字字排
'ju'mao'lan'xu'yue 菊茂兰须悦
'ju'shan'yi'si'geng'sang'chu 居山一似庚桑楚
'ju'tou'xi'bei'fu'yun 举头西北浮云
'ju'you'huang'hua'rui 菊有黄花蕊
'ju'zhong'zi'niang'qiu'pei 橘中自酿秋醅
'juan'juan'liu'shui'xi'qin'jie 涓涓流水细侵阶
'juan'lian'fang'gui'san'yu'xiang 卷帘芳桂散馀香
'juan'you'hui'shou'qie'jia'can 倦游回首且加餐
'jue'ce'shang'you'you 决策尚悠悠
'jue'chen'ying'xiu 绝尘英秀
'jue'lai'geng'yi'yao'ru'shu 觉来更忆腰如束
'jue'lai'huan'zi'xiao 觉来还自笑
'jue'lai'you'hen 觉来幽恨
'jue'sheng'ge'lian'ge 绝胜隔帘歌
'jue'si'hao'ren'jia 绝似好人家
'jue'tuan'shan'bian'yu'ren'shu 觉团扇便与人疏
'jun'bu'jian 君不见
'jun'bu'jian'wang'ting'xie'guan 君不见王亭谢馆
'jun'en'zhong 君恩重
'jun'fei'wo 君非我
'jun'gui'xiu'yi'wu'mang'shen 君归休矣吾忙甚
'jun'hou'yao'shi'shui'qing'zhong 君侯要识谁轻重
'jun'jia'jiu'shi 君家旧事
'jun'jia'li 君家里
'jun'jia'you'shi'lao'quan'gong 君家右史老泉公
'jun'jia'yu'xue'hua'ru'wu 君家玉雪花如屋
'jun'kan 君看
'jun'kan'dang'ri'zhong'ni'qiong 君看当日仲尼穷
'jun'kan'liu'di'shui 君看流地水
'jun'kan'qi'mu'fen'suo'ji 君看启母愤所激
'jun'kan'zhuang'sheng'da'zhe 君看庄生达者
'jun'qi'geng'zhen'jiu 君起更斟酒
'jun'ru'jiu'yun'tai'nian'zhan 君如九酝台黏盏
'jun'ru'xing'dou 君如星斗
'jun'ruo'wen 君若问
'jun'shi'hao 君诗好
'jun'shi'hao'chu 君诗好处
'jun'shi'si 君试思
'jun'tian'guang'yue 钧天广乐
'jun'ting'qu 君听取
'jun'wei'wo 君为我
'jun'wu'qu'ci 君无去此
'jun'wu'zhu 君无助
'jun'yan'bing'qi'wu'mei 君言病岂无媒
'jun'zhi'wo 君知我
'jun'zi'bu'gui'gui'shen'yi 君自不归归甚易
'jun'zi'zhi'jiao'dan'ru'shui 君子之交淡如水
'kai'bian'nan'zhi'wei'jue 开遍南枝未觉
'kai'jue'jing 开绝境
'kai'ran'lian'wo'shu'zhuo 慨然怜我疏拙
'kai'shi'lao'lai'shi'ju'yan 揩拭老来诗句眼
'kai'yao'yao'wo'qu'xi'nong'jiu 慨遥遥我去羲农久
'kan'bei'shan'yi 看北山移
'kan'chang'shen'yu'li 看长身玉立
'kan'chang'sheng 看长生
'kan'cong'cong'xi'xiao 看匆匆西笑
'kan'dao'diao'chan'qi'ye'sun 看到貂蝉七叶孙
'kan'deng'yuan'shi'pu'ti'ye 看灯元是菩提叶
'kan'diao'qian'xi'yue 堪钓前溪月
'kan'fei'hong'ji'pian 看飞红几片
'kan'feng'guan'wai'shui'yun'hou 看封关外水云侯
'kan'feng'liu'zhang'ju 看风流仗屦
'kan'gong'feng'gu 看公风骨
'kan'hua'suo'ju 看花索句
'kan'jiang'tou'you'nv'ru'yun 看江头有女如云
'kan'jun'bu'liao'chi'er'shi 看君不了痴儿事
'kan'jun'ren'wu'han'xi'dou 看君人物汉西都
'kan'jun'zhan'jiang'geng'qian'qi 看君斩将更搴旗
'kan'jun'zi'shi'chang'nian 看君自是长年
'kan'kan'hong'yao'you'fan'jie 看看红药又翻阶
'kan'luan'yun'ji'yu 看乱云急雨
'kan'ming'chao 看明朝
'kan'ming'nian 看明年
'kan'qiu'long'niu'yang 看丘陇牛羊
'kan'qu'chang'an'de'yi 看取长安得意
'kan'qu'dong'gui 看取东归
'kan'qu'huang'jin'jia'yue 看取黄金假钺
'kan'qu'jin'bei'ji'xu'shen 看取金杯几许深
'kan'qu'xiang'yue'tang'qian 看取香月堂前
'kan'qu'xiao'ran'lin'xia'feng 看取萧然林下风
'kan'qu'yu'wo'qing'dao 看渠与我倾倒
'kan'ren'jian'zheng'qiu'xin'qiao 看人间争求新巧
'kan'shan'xia'meng'meng'xi'yu 看山下濛濛细雨
'kan'shuang'qi'chao'lai'san'shu'feng 看爽气朝来三数峰
'kan'si'ma'guang'hua'zhou'dao 看驷马光华周道
'kan'tian'kuo'yuan'fei 看天阔鸢飞
'kan'tian'shang'duo'shao'fu'yun 看天上多少浮云
'kan'ting'yun 看停云
'kan'tou'shang'feng'chui'yi'lv 看头上风吹一缕
'kan'xian'wang'gao'hui 看贤王高会
'kan'xiao'gao'ren'du'shu'chu 堪笑高人读书处
'kan'xing'yun'xing'yu 看行云行雨
'kan'yan'yan 看燕燕
'kan'yi'ri'xu'you'zhi'jun'shi 看一日须有致君时
'kan'yi'shi'yu'niao'wang'qing'xi 看一时鱼鸟忘情喜
'kan'yu'qiao'zhi'dian'wei'lou 看渔樵指点危楼
'kan'yun'lian'mai'long 看云连麦陇
'kan'zong'heng'dou'zhuan 看纵横斗转
'kan'zun'qian 看尊前
'ke'chong'lai'feng'liu'shang'yong 客重来风流觞咏
'ke'er'yin'ru 渴而饮汝
'ke'kan'hui'shou 可堪回首
