'jin'xiang'yu'bo'cai'tang 金镶玉菠菜汤
'jin'yu'xi'lian 金鱼戏莲
'jing'sha'yu'gao 荆沙鱼糕
'jiu'cai'si'mo'yu'tang 韭菜丝墨鱼汤
'jiu'niang'jin'tui 酒酿金腿
'ju'ban'guang'chang'lian 桔瓣广昌莲
'ju'ban'yu'cuan 桔瓣鱼汆
'ju'hua'huo'guo 菊花火锅
'ju'hua'long'hu'feng'she'geng 菊花龙虎凤蛇羹
'ju'hua'lu'yu 菊花鲈鱼
'ju'hua'you'yu 菊花鱿鱼
'ju'san'xian 聚三鲜
'jue'gen'fen'zhu'shan'yu 蕨根粉煮鳝鱼
'ka'li'niu'rou 咖哩牛肉
'kai'shui'bai'cai 开水白菜
'kao'pai'zi 烤牌子
'kao'ru'zhu 烤乳猪
'ke'jia'feng'ji 客家封鸡
'kong'xin'yu'wan'tang 空心鱼丸汤
'kou'gan'yan'jian'rou 口感盐煎肉
'kou'shui'ji 口水鸡
'kou'wei'jin'niu'ti 口味金牛蹄
'kou'wei'shan'pian 口味鳝片
'ku'gua'niang'rou 苦瓜酿肉
'la'chao'zhu'rou'dou'fu 辣炒猪肉豆腐
'la'chi'xiang'tu 辣豉香兔
'la'dou'ban'yu 辣豆瓣鱼
'la'jiao'yu 辣椒鱼
'la'rou'chao'cai'tai 腊肉炒菜苔
'la'wei'guo'jiang'ji 辣味过江鸡
'la'zhi'jiang'xiang'zhou 辣汁酱香肘
'la'zhi'ni'chang 辣汁泥肠
'la'zi'ji'ding 辣子鸡丁
'la'zi'yu'kuai 辣子鱼块
'lai'tang'yuan 赖汤圆
'lan'hua'da'xia 兰花大虾
'lan'qiu'ge'dan 篮球鸽蛋
'leng'dong'ya'zhang 冷冻鸭掌
'li'zhi'rou 荔枝肉
'li'zi'men'yang'rou 栗子焖羊肉
'lian'li'shuang'wei'yu 连理双味鱼
'lian'zi'ji'ding 莲子鸡丁
'liang'ban'you'yu 凉拌鱿鱼
'liang'gua'pai'gu 凉瓜排骨
'ling'zhi'lian'yu'chan 灵芝恋玉蝉
'liu'bai'ju'xiang'chang'fen'du 六百居香肠粉肚
'liu'huang'qing'xie 流黄青蟹
'liu'li'ou 琉璃藕
'liu'niu'li'ji 溜牛里脊
'liu'yu'bei'mian 熘鱼焙面
'long'chao'shou 龙抄手
'long'feng'pei 龙凤配
'long'feng'tui 龙凤腿
'long'hu'dou 龙虎斗
'long'jing'xia'ren 龙井虾仁
'long'shen'feng'wei'xia 龙身凤尾虾
'long'xu'yan'wan 龙须燕丸
'long'yan'xia'ren 龙眼虾仁
'long'zhua'rou'si 龙爪肉丝
'long'zhua'yu'chi 龙爪鱼翅
'lu'cai 鲁菜
'lu'dou'fu 卤豆腐
'lu'gao'jian'lu'rou 陆稿荐卤肉
'luo'fen'yu'tou'dou'fu'tang 箩粉鱼头豆腐汤
'luo'guo'rou 罗锅肉
'ma'la'dong'sun 麻辣冬笋
'ma'la'huang'shan 麻辣黄鳝
'ma'la'zi'ji 麻辣子鸡
'ma'po'dou'fu 麻婆豆腐
'ma'ren'su'ya 麻仁酥鸭
'ma'xiang'su'ya 麻香酥鸭
'ma'yi'shang'shu 蚂蚁上树
'ma'you'ji 麻油鸡
