'ai'guan 艾官
'ting'qu'wen'bao'yu'wu'chan'ji 听曲文宝玉悟禅机
'tong'ling'bao'yu 通灵宝玉
'tou'shu'ji'qi'bao'yu'man'zang 投鼠忌器宝玉瞒赃
'tu'bi'tang 凸碧堂
'tu'bi'tang'pin'di'gan'qi'qing 凸碧堂品笛感凄清
'wan'mu'zhu'jia'zheng'can'ju'san 玩母珠贾政参聚散
'wan'yan'tong'bei 万艳同杯
'wang'ban'er 王板儿
'wang'cheng 王成
'wang'dao'shi'hu'zhou'du'fu'fang 王道士胡诌妒妇方
'wang'duan'tui 王短腿
'wang'er 旺儿
'wang'er'jia'de 旺儿家的
'wang'er'tiao 王尔调
'wang'er'xi'fu 旺儿媳妇
'wang'feng'jie'li'qu'shi'ren'xin 王凤姐力诎失人心
'wang'feng'jie'nong'quan'tie'kan'si 王凤姐弄权铁槛寺
'wang'fu'ren 王夫人
'wang'gou'er 王狗儿
'wang'he'rong 王和荣
'wang'ji'ren 王济仁
'wang'jun'xiao 王君效
'wang'lao'ye 王老爷
'wang'mo'mo 王嬷嬷
'wang'nai'ma 王奶妈
'wang'ning'mei 枉凝眉
'wang'qing'er 王青儿
'wang'ren 王仁
'wang'shan'bao 王善保
'wang'tai'yi 王太医
'wang'xi'feng 王熙凤
'wang'xi'feng'du'she'xiang'si'ju 王熙凤毒设相思局
'wang'xi'feng'li'huan'fan'jin'ling 王熙凤历幻返金陵
'wang'xi'feng'shi'qiang'xiu'shuo'bing 王熙凤恃强羞说病
'wang'xi'feng'xiao'xi'cai'ban'yi 王熙凤效戏彩斑衣
'wang'xi'feng'xie'li'ning'guo'fu 王熙凤协理宁国府
'wang'xi'feng'zheng'yan'dan'du'yi 王熙凤正言弹妒意
'wang'xi'feng'zhi'huo'bao'xiu'can 王熙凤致祸抱羞惭
'wang'xi'xian 王希献
'wang'xing 王兴
'wang'zhu'er 王柱儿
'wang'zi'sheng 王子胜
'wang'zi'teng 王子腾
'wang'zuo'mei 王作梅
'wen'mi'shi'feng'jie'xun'jia'tong 闻秘事凤姐讯家童
'wu'er 五儿
'wu'gui 吴贵
'wu'ji'ya 无稽崖
'wu'jiang'jun 邬将军
'wu'jin'xiao 乌进孝
'wu'shi'mang 无事忙
'wu'tian'you 吴天佑
'wu'xin'deng 吴新登
'wu'xin'deng'jia'de 吴新登家的
'wu'xing'deng 吴兴登
'wu'xun'fu 吴巡抚
'wu'yu'feng 吴玉峰
'wu'zhuang'tou 乌庄头
'xi'chu'wang'wai'ping'er'li'zhuang 喜出望外平儿理妆
'xi'chun 惜春
'xi'er 喜儿
'xi'feng 熙凤
'xi'fu 西府
'xi'ning'wang 西宁王
'xi'ren 袭人
'xi'xiang'ji'miao'ci'tong'xi'yu 西厢记妙词通戏语
'xia'bing'zhong 夏秉忠
'xia'jin'gui 夏金桂
'xia'ma 夏妈
'xia'po 夏婆
'xia'po'zi 夏婆子
'xia'san 夏三
'xia'shou'zhong 夏守忠
'xia'tai'jian 夏太监
'xia'xu'zhuo 虾须镯
'xia'ying'sha 霞影纱
'xian'qu'le'ou'cuan'jin'qing'shou 闲取乐偶攒金庆寿
'xian'xi'ren'jiao'chen'zhen'bao'yu 贤袭人娇嗔箴宝玉
'xian'xi'ren'you'xin'sheng'xian'xi 嫌隙人有心生嫌隙
'xiang'fu'ren'fu'shen'hai'dao'fu 享福人福深还祷福
'xiang'ling 香菱
'xiang'yun 湘云
'xiang'yun'mian'shao 湘云眠芍
'xiao'chan 小蝉
'xiao'chan'er 小蝉儿
'xiao'er 笑儿
'xiao'hong 小红
'xiao'hong'gu'jian'zui'shen'qing 小红骨践最身轻
'xiao'ji'xiang'er 小吉祥儿
'xiao'jiu'er 小鸠儿
'xiao'nei'jian 小内监
'xiao'que 小鹊
'xiao'sha'mi 小沙弥
'xiao'she'er 小舍儿
'xiao'xiang'fei'zi 潇湘妃子
'xiao'xiang'guan 潇湘馆
'xiao'xiang'guan'chun'kun'fa'you'qing 潇湘馆春困发幽情
'xiao'xiang'zi'ya'xue'bu'yu'xiang 潇湘子雅谑补余香
'xiao'xie'zhua 小蟹爪
'xiao'yao'er 小幺儿
'xiao'zhu'se 小著色
'xie'ji'guan'pin'er'mi'ben'xing 泄机关颦儿迷本性
'xie'luan 偕鸾
'xin'ju'dang'e'zi'du'cheng'jia 欣聚党恶子独承家
'xing'de'quan 邢德全
'xing'er 兴儿
'xing'fu'ren 邢夫人
'xing'lian'zai'wang 杏帘在望
'xing'nu 杏奴
'xing'qin'bie'shu 省亲别墅
'xing'sao'zi 邢嫂子
'xing'xing'zhan 猩猩毡
'xing'xiu'yan 邢岫烟
'xing'zhong 邢忠
'xing'zi'yin'jia'feng'qi'xu'huang 杏子阴假凤泣虚凰
'xiu'guo'gong'hou'xiao'ming 修国公侯晓明
'xiu'ju 绣桔
'xiu'yuan'yang'meng'zhao'jiang'yun'xuan 绣鸳鸯梦兆绛芸轩
'xuan'zhen'guan 玄真观
'xue'bao'chai 薛宝钗
'xue'bao'chai'chu'gui'cheng'da'li 薛宝钗出闺成大礼
'xue'bao'chai'xiu'long'hong'she'chuan 薛宝钗羞笼红麝串
'xue'bao'qin 薛宝琴
'xue'heng'wu'feng'he'pang'xie'yong 薛蘅芜讽和螃蟹咏
'xue'ke 薛蝌
'xue'pan 薛蟠
'xue'wen'long'hui'qu'he'dong'shi 薛文龙悔娶河东狮
'xue'wen'qi'fu're'fang'liu'xing 薛文起复惹放流刑
'xue'xiao'mei'xin'bian'huai'gu'shi 薛小妹新编怀古诗
'xue'yan 雪雁
'xue'ye 靴掖
'xue'yi'ma 薛姨妈
'ya'huan 丫环
'ya'huan 丫鬟
'yan'hai'tang'jia'mu'shang'hua'yao 宴海棠贾母赏花妖
'yan'hong 嫣红
'yan'mo'fa'zi'di'feng'wu'gui 魇魔法姊弟逢五鬼
'yan'ning'fu'bao'yu'hui'qin'zhong 宴宁府宝玉会秦钟
'yan'zhi'gao'zi 胭脂膏子
'yao'guan 药官
'ye'ma 叶妈
'yi'hong'gong'zi 怡红公子
'yi'hong'kuai'lv 怡红快绿
'yi'hong'yuan 怡红院
'yi'hong'yuan'jie'yu'mu'huang'chong 怡红院劫遇母蝗虫
'yi'jia'hun'zhen'bao'yu'feng'dian 以假混真宝玉疯颠
'yi'mian'mian'jing'ri'yu'sheng'xiang 意绵绵静日玉生香
'yin'die 银蝶
'yin'e'cheng'shi'yuan'fei'hong'shi 因讹成实元妃薨逝
'yin'qi'lin'fu'bai'shou'shuang'xing 因麒麟伏白首双星
'yin'xian'lao'qu'yan'hong'lou'meng 饮仙醪曲演红楼梦
'yin'zhi'wen 阴骘文
'ying'chun 迎春
'ying'er 莺儿
'ying'ge 鹦哥
'ying'lian 英莲
'ying'shan'lang 营缮郎
'ying'zhou 蝇帚
'yong'qing'wen'bing'bu'que'jin'qiu 勇晴雯病补雀金裘
'you'cun 右寸
'you'er'jie 尤二姐
'you'feng'lai'yi 有凤来仪
'you'fu'ce 又副册
'you'huan'jing'zhi'mi'shi'er'chai 游幻境指迷十二钗
'you'lao'niang 尤老娘
'you'po'zi 尤婆子
'you'san'jie 尤三姐
'you'san'jie'si'jia'liu'er'lang 尤三姐思嫁柳二郎
'you'shi 尤氏
'you'shu'nv'bei'ti'wu'mei'yin 幽淑女悲题五美吟
'yu'chuan 玉钏
'yu'chuan'er 玉钏儿
'yu'guan 玉官
'yu'gui'er 玉桂儿
'yu'lu'teng 玉蕗藤
'yu'ping'bo 俞平伯
'yu'xin 余信
'yu'zhu'er 玉柱儿
'yuan'chun 元春
'yuan'xin 圆信
'yuan'yang 鸳鸯
'yuan'yang'nv'shi'jue'yuan'yang'ou 鸳鸯女誓绝鸳鸯偶
'yuan'yang'nv'wu'yi'yu'yuan'yang 鸳鸯女无意遇鸳鸯
'yuan'yang'nv'xun'zhu'deng'tai'xu 鸳鸯女殉主登太虚
'yuan'ying'tan'xi 原应叹息
'yue'di'bao'lao'jiu'zi'dan'jing 阅邸报老舅自担惊
'yun'er 云儿
'yun'lao'ye 云老爷
'yun'xiang 芸香
'zai'quan 载权
'zang'hua'yin 葬花吟
'zhan'guang 詹光
'zhan'wang'xiang'si'mei'diao'you'yu 占旺相四美钓游鱼
'zhan'zi'liang 詹子亮
'zhang'cai 张材
'zhang'cai'jia'de 张材家的
'zhang'cai'zhu 张财主
'zhang'da'lao'ye 张大老爷
'zhang'dao'shi 张道士
'zhang'fa'guan 张法官
'zhang'hua 张华
'zhang'jia'de 张家的
'zhang'jin'ge 张金哥
'zhang'ma'ma 张妈妈
'zhang'nai'ma 张奶妈
'zhang'ru'gui 张如圭
'zhang'ruo'jin 张若锦
'zhang'tai'yi 张太医
'zhang'tai'yi'lun'bing'xi'qiong'yuan 张太医论病细穷源
'zhang'you'shi 张友士
'zhang'zan 张暂
'zhang'zhen'ren 张真人
'zhao'er 昭儿
'zhao'guo'ji 赵国基
'zhao'mo'mo 赵嬷嬷
'zhao'nai'ma 赵奶妈
'zhao'quan 赵全
'zhao'rong 昭容
'zhao'shi'lang 赵侍郎
'zhao'tai'jian 赵太监
'zhao'tang'guan 赵堂官
'zhao'tian'dong 赵天栋
'zhao'tian'liang 赵天梁
'zhao'yi'hua 赵亦华
'zhao'yi'niang 赵姨娘
'zhen'bao'yu 甄宝玉
'zhen'er 臻儿
'zhen'fei 甄费
'zhen'fu'ren 甄夫人
'zhen'guo'gong'niu'qing 镇国公牛清
'zhen'jia'pu'tou'kao'jia'jia'men 甄家仆投靠贾家门
'zhen'mu 甄母
'zhen'shi'yin 甄士隐
'zhen'shi'yin'meng'huan'shi'tong'ling 甄士隐梦幻识通灵
'zhen'shi'yin'xiang'shuo'tai'xu'qing 甄士隐详说太虚情
'zhen'xia'ge 枕霞阁
'zhen'xia'jiu'you 枕霞旧友
'zhen'ying'jia 甄应嘉
'zhen'ying'jia'meng'en'hai'yu'que 甄应嘉蒙恩还玉阙
'zhen'ying'lian 甄英莲
'zhen'you'zhong 甄友忠
'zhen'zhu 珍珠
'zheng'fang 正房
'zheng'fang'da'yuan 正房大院
'zheng'jia'fa'jia'zhen'bian'han'pu 正家法贾珍鞭悍仆
'zheng'tong'lei'bao'yu'shi'xiang'zhi 证同类宝玉失相知
'zhi'ben 脂本
'zhi'deng'mi'jia'zheng'bei'chen'yu 制灯迷贾政悲谶语
'zhi'fen'xiang'wa'ge'xing'dan'shan 脂粉香娃割腥啖膻
'zhi'guo'gong'ma'kui 治国公马魁
'zhi'neng 智能
'zhi'neng'er 智能儿
'zhi'pi 脂批
'zhi'ping'ben 脂评本
'zhi'shan 智善
'zhi'tong 智通
'zhi'yan'zhai 脂砚斋
'zhong'jing'hou 忠靖侯
'zhong'jing'hou'shi'ding 忠靖侯史鼎
'zhong'shan'lang 中山狼
'zhong'shen'wu 终身误
'zhong'shun'qin'wang 忠顺亲王
'zhong'shun'wang'ye 忠顺王爷
'zhong'xiang'kui'bao'yu'que'chen'yuan 中乡魁宝玉却尘缘
'zhong'yi'qin'wang 忠义亲王
'zhou'cai'zhu 周财主
'zhou'da'niang 周大娘
'zhou'er'ye 周二爷
'zhou'nai'ma 周奶妈
'zhou'qiong 周琼
'zhou'rui 周瑞
'zhou'rui'jia'de 周瑞家的
'zhou'rui'xi'fu 周瑞媳妇
'zhou'sao'zi 周嫂子
'zhou'tai'jian 周太监
'zhou'yi'niang 周姨娘
'zhu'er 住儿
'zhu'er'xian 珠儿线
'zhuan'er 篆儿
'zhui'er 坠儿
'zhui'er'niang 坠儿娘
'zhui'jin'lou 缀锦楼
'zi'juan 紫鹃
'zi'ling'zhou 紫菱洲
'zi'yun 紫云
'zi'yun 紫芸
'zong'yin'xin'bao'chan'gong'she'ji 纵淫心宝蟾工设计
'zu'chao'fan'jia'ren'shuang'hu'yu 阻超凡佳人双护玉
'zui'jin'gang'qing'cai'shang'yi'xia 醉金刚轻财尚义侠
'zui'jin'gang'xiao'qiu'sheng'da'lang 醉金刚小鳅生大浪
'zuo'chan'ji'zou'huo'ru'xie'mo 坐禅寂走火入邪魔
