'a'wei 阿魏
'lian'xu 莲须
'lian'zi 莲子
'lian'zi'xin 莲子心
'liang'mian'zhen 两面针
'liang'tou'jian 两头尖
'liao'da'qing'ye 蓼大青叶
'liao'gao'ben'pian 辽藁本片
'ling'xiao'hua 凌霄花
'ling'yang'jiao 羚羊角
'ling'yang'jiao'bang'pian 羚羊角镑片
'ling'yang'jiao'fen 羚羊角粉
'ling'yang'jiao'jian'fen 羚羊角尖粉
'ling'zhi 灵芝
'liu'huang 硫黄
'long'dan 龙胆
'long'li'ye 龙脷叶
'long'yan'rou 龙眼肉
'lou'lu 漏芦
'lu'gan'shi 炉甘石
'lu'gen 芦根
'lu'hui 芦荟
'lu'jiao 鹿角
'lu'jiao'jiao 鹿角胶
'lu'jiao'shuang 鹿角霜
'lu'lu'tong 路路通
'lu'rong 鹿茸
'lu'rong'fen 鹿茸粉
'lu'rong'pian 鹿茸片
'lu'xian'cao 鹿衔草
'luo'bu'ma'ye 罗布麻叶
'luo'han'guo 罗汉果
'luo'shi'teng 络石藤
'lv'dou 绿豆
'ma'bao 马宝
'ma'bian'cao 马鞭草
'ma'bo 马勃
'ma'chi'xian 马齿苋
'ma'dou'ling 马兜铃
'ma'huang 麻黄
'ma'huang'gen 麻黄根
'ma'nao 玛瑙
'ma'qian'zi 马钱子
'ma'qian'zi'fen 马钱子粉
'mai'dong 麦冬
'mai'ya 麦芽
'man'jing'zi 蔓荆子
'man'shan'hong 满山红
'mang'xiao 芒硝
'mao'he'zi 毛诃子
'mao'zhao'cao 猫爪草
'mei'gui'hua 玫瑰花
'mei'hua 梅花
'mei'yao 没药
'mi'bai'bu 蜜百部
'mi'bai'he 蜜百合
'mi'ban'mao 米斑蝥
'mi'huai'jiao 蜜槐角
'mi'kuan'dong'hua 蜜款冬花
'mi'ma'huang 密麻黄
'mi'meng'hua 密蒙花
'mi'pi'pa'ye 蜜枇杷叶
'mi'qian'hu 蜜钱胡
'mi'sang'bai'pi 蜜桑白皮
'mi'xuan'fu'hua 蜜旋覆花
'mi'ying'su'ke 蜜罂粟壳
'mi'zi'wan 蜜紫菀
'mian'bi'xie 绵萆薢
'mian'ma'guan'zhong 绵马贯众
'mian'ma'guan'zhong'tan 绵马贯众炭
'ming'dang'shen 明党参
'mo'han'lian 墨旱莲
'mu'bie'zi 木鳖子
'mu'dan'pi 牡丹皮
'mu'ding'xiang 母丁香
'mu'gua 木瓜
'mu'hu'die 木蝴蝶
'mu'jing'ye 牡荆叶
'mu'li 牡蛎
'mu'mian'hua 木棉花
'mu'tong 木通
'mu'xiang 木香
'mu'zei 木贼
'nan'ban'lan'gen 南板蓝根
'nan'chai'hu 南柴胡
'nan'fang'da'ban'mao 南方大斑蝥
'nan'gua'zi 南瓜子
'nan'he'shi 南鹤虱
'nan'sha'shen 南沙参
'nan'wu'wei'zi 南五味子
'nao'yang'hua 闹羊花
'nei'meng'zi'cao 内蒙紫草
'nei'meng'zi'cao'qie'pian 内蒙紫草切片
'niu'bang'zi 牛蒡子
'niu'huang 牛黄
'niu'xi 牛膝
'nv'zhen'zi 女贞子
'ou'jie 藕节
'ou'jie'tan 藕节炭
'pang'da'hai 胖大海
'pao'fu'pian 炮附片
'pao'jiang 炮姜
'pao'shan'jia 炮山甲
