'a'li'bu'ge 阿里不哥
'sheng'zong 圣宗
'shi'di 石袛
'shi'guang 始光
'shi'guo 十国
'shi'hong 石弘
'shi'hu 石虎
'shi'jian 石鉴
'shi'jing'tang 石敬瑭
'shi'le 石勒
'shi'liu'guo 十六国
'shi'yuan 始元
'shi'zhong'gui 石重贵
'shi'zong 世宗
'shi'zu 世祖
'shi'zu 始祖
'shou'guang 寿光
'shou'guo 收国
'shou'meng 寿梦
'shu'ren 庶人
'shu'shi'yu 鼠石与
'shun'yi 顺义
'shun'zhi 顺治
'shuo'de'ba'ci 硕德八刺
'si'kong 司空
'si'ma'chi 司马炽
'si'ma'dan 司马聃
'si'ma'de'wen 司马德文
'si'ma'de'zong 司马德宗
'si'ma'pi 司马丕
'si'ma'rui 司马睿
'si'ma'shao 司马绍
'si'ma'yan 司马衍
'si'ma'yan 司马炎
'si'ma'yao 司马曜
'si'ma'ye 司马业
'si'ma'yi 司马奕
'si'ma'yu 司马昱
'si'ma'yue 司马岳
'si'ma'zhong 司马衷
'si'qi 姒启
'si'sheng 嗣圣
'si'wen'ming 姒文命
'song'bi'gong 宋辟公
'song'cheng'gong 宋成公
'song'dai'gong 宋戴公
'song'dao'gong 宋悼公
'song'ding'gong 宋丁公
'song'du'zong 宋度宗
'song'duan'zong 宋端宗
'song'gao'zong 宋高宗
'song'gong 宋公
'song'gong'di 宋恭帝
'song'gong'gong 宋共公
'song'guang'zong 宋光宗
'song'huan'gong 宋桓公
'song'hui'gong 宋惠公
'song'hui'zong 宋徽宗
'song'jing'gong 宋景公
'song'li'gong 宋厉公
'song'li'zong 宋理宗
'song'min'gong 宋闵公
'song'mu'gong 宋穆公
'song'ning'zong 宋宁宗
'song'ping'gong 宋平公
'song'qin'zong 宋钦宗
'song'ren'zong 宋仁宗
'song'shang'gong 宋殇公
'song'shao'di 宋少帝
'song'shen'zong 宋神宗
'song'shun'di 宋顺帝
'song'tai'zong 宋太宗
'song'tai'zu 宋太祖
'song'wei'zhong 宋微仲
'song'wei'zi 宋微子
'song'wen'di 宋文帝
'song'wen'gong 宋文公
'song'wu'di 宋武帝
'song'wu'gong 宋武公
'song'xi'gong 宋僖公
'song'xiang'gong 宋襄公
'song'xiao'zong 宋孝宗
'song'xiu'gong 宋休公
'song'xuan'gong 宋宣公
'song'yang'gong 宋炀公
'song'ying'zong 宋英宗
'song'yuan'gong 宋元公
'song'zhao'gong 宋昭公
'song'zhe'zong 宋哲宗
'song'zhen'zong 宋真宗
'song'zhuang'gong 宋庄公
'sui'gong'di 隋恭帝
'sui'wen'di 隋文帝
'sui'yang'di 隋炀帝
'sui'yue'wang 隋越王
'sun'hao 孙皓
'sun'liang 孙亮
'sun'quan 孙权
'sun'xiu 孙休
'sun'zhong'shan 孙中山
'tai'an 太安
'tai'chang 太昌
'tai'chang 泰昌
'tai'chu 太初
'tai'ding 太丁
'tai'ding 泰定
'tai'ding'di 泰定帝
'tai'geng 太庚
'tai'he 太和
'tai'jia 太甲
'tai'jian 太建
'tai'kang 太康
'tai'ning 太宁
'tai'ping 太平
'tai'ping'tian'guo 太平天国
'tai'qing 太清
'tai'shang 太上
'tai'shi 泰始
'tai'wu 太戊
'tai'wu'di 太武帝
'tai'zong 太宗
'tai'zu 太祖
'tang'dai'zong 唐代宗
'tang'de'zong 唐德宗
'tang'gao'zong 唐高宗
'tang'gao'zu 唐高祖
'tang'jing'zong 唐敬宗
'tang'long 唐隆
'tang'mu'zong 唐穆宗
'tang'rui'zong 唐睿宗
'tang'shun'zong 唐顺宗
'tang'su'zong 唐肃宗
'tang'tai'zong 唐太宗
'tang'wang 唐王
'tang'wen'zong 唐文宗
'tang'wu'zong 唐武宗
'tang'xi'zong 唐僖宗
'tang'xian'zong 唐宪宗
'tang'xuan'zong 唐宣宗
'tang'xuan'zong 唐玄宗
'tang'yao 唐尧
'tang'yi'zong 唐懿宗
'tang'zhao'xuan'di 唐昭宣帝
'tang'zhao'zong 唐昭宗
'tang'zhong'zong 唐中宗
'teng'guang 滕光
'ti'cheng 剔成
'tian'an 天安
'tian'bao 天保
'tian'bao 天宝
'tian'bi'jiang 田辟彊
'tian'cheng 天成
'tian'cong 天聪
'tian'dao'zi 田悼子
'tian'de 天德
'tian'di 田地
'tian'fa'zhang 田法章
'tian'feng 天凤
'tian'fu 天福
'tian'he'zi 田和子
'tian'hui 天会
'tian'jia 天嘉
'tian'jian 田建
'tian'li 天历
'tian'lu 天禄
'tian'ming 天命
'tian'ping 天平
'tian'qi 天启
'tian'qing 天庆
'tian'shan 田剡
'tian'sheng 天圣
'tian'shou 天授
'tian'shun 天顺
'tian'tong 天统
'tian'wang 天王
'tian'wu 田午
'tian'xi 天禧
'tian'yin'qi 田因齐
'tian'you 天祐
'tian'zheng 天正
'tian'zuo'di 天祚帝
'tiao'lu 调露
'tie'miu 铁缪
'tie'mu'er 铁木耳
'tie'mu'zhen 铁木真
'tong'guang 同光
'tong'he 统和
'tong'wen 通文
'tong'zhi 同治
'tou'man 头曼
'tu'fa'li'lu'gu 秃发利鹿孤
'tu'fa'ruan'tan 秃发偄檀
'tu'fa'wu'gu 秃发乌孤
'tu'tie'mu'er 图帖睦尔
'tuo'ba'gui 拓跋珪
'tuo'ba'hong 拓跋弘
'tuo'ba'jun 拓跋濬
'tuo'ba'shi'yi'jian 拓跋什翼键
'tuo'ba'si 拓跋嗣
'tuo'ba'tao 拓跋焘
'tuo'ba'yu 拓跋余
'tuo'huai'tie'mu'er 妥怀帖睦尔
'wai'bing 外丙
'wai'ren 外壬
'wan'li 万历
'wan'yan'cheng'lin 完颜承麟
'wan'yan'dan 完颜亶
'wan'yan'jing 完颜景
'wan'yan'liang 完颜亮
'wan'yan'min 完颜旻
'wan'yan'sheng 完颜晟
'wan'yan'shou'xu 完颜守绪
'wan'yan'xun 完颜珣
'wan'yan'yong 完颜雍
'wan'yan'yong'ji 完颜永济
'wang'chang 王昶
'wang'chen 王臣
'wang'jian 王建
'wang'mang 王莽
'wang'xi 王曦
'wang'yan 王衍
'wang'yan'jun 王延钧
'wang'yan'zheng 王延政
'wei'an'wang 魏安王
'wei'an'xi'wang 魏安僖王
'wei'cheng'gong 卫成公
'wei'cheng'hou 卫成侯
'wei'chu'gong 卫出公
'wei'dai'gong 卫戴公
'wei'dao'gong 卫悼公
'wei'di 威帝
'wei'ding'gong 卫定公
'wei'huai'gong 卫怀公
'wei'huai'jun 卫怀君
'wei'huan'gong 卫桓公
'wei'hui'gong 卫惠公
'wei'hui'wang 魏惠王
'wei'jing'bo 卫靖伯
'wei'jing'gong 卫敬公
'wei'jing'min'wang 魏景闵王
'wei'kang'bo 卫康伯
'wei'kang'hou 卫康侯
'wei'kang'shu 卫康叔
'wei'kao'bo 卫考伯
'wei'ling'gong 卫灵公
'wei'ming'di 魏明帝
'wei'mu'gong 卫穆公
'wei'ping'gong 卫平公
'wei'qing'hou 卫顷侯
'wei'shang'gong 卫殇公
'wei'shao'wang 卫绍王
'wei'shen'gong 卫慎公
'wei'sheng'gong 卫声公
'wei'si 魏斯
'wei'si'bo 卫嗣伯
'wei'wang 卫王
'wei'wen'di 魏文帝
'wei'wen'gong 卫文公
'wei'wen'hou 魏文侯
'wei'wu'di 魏武帝
'wei'wu'gong 卫武公
'wei'wu'hou 魏武侯
'wei'xi'hou 卫僖侯
'wei'xian'gong 卫献公
'wei'xiang'gong 卫襄公
'wei'xiang'wang 魏襄王
'wei'xuan'gong 卫宣公
'wei'yi'gong 卫懿公
'wei'yuan'di 魏元帝
'wei'yuan'jun 卫元君
'wei'zhao'gong 卫昭公
'wei'zhao'wang 魏昭王
'wei'zhen'bo 卫贞伯
'wei'zhuang'gong 卫庄公
'wei'zi'jun 卫子君
'wei'zi'qi 微子启
'wen'cheng'di 文成帝
'wen'di 文帝
'wen'ding 文丁
'wen'ming 文明
'wen'wang 温王
'wen'xuan'di 文宣帝
'wen'zhao'wang 文昭王
'wo'ding 沃丁
'wo'jia 沃甲
'wo'kuo'tai 窝阔台
'wu'cheng 武成
'wu'cheng'di 武成帝
'wu'da'di 吴大帝
'wu'dai'shi'guo 五代十国
'wu'dao'tian'wang 武悼天王
'wu'de 武德
'wu'di 武帝
'wu'ding 武丁
'wu'hou 武后
'wu'jing'di 吴景帝
'wu'mo'di 吴末帝
'wu'qiang 无强
'wu'san'gui 吴三桂
'wu'shi'fan 吴世璠
'wu'su'wang 武肃王
'wu'wang 吴王
'wu'xuan'wang 武宣王
'wu'yi 武义
'wu'yi 武乙
'wu'yuan'wang 武元王
'wu'yue 吴越
'wu'ze'tian 武则天
'wu'zhao 武瞾
'wu'zhao'wang 武昭王
'wu'zi 武子
'xi'chu'ba'wang 西楚霸王
'xi'han 西汉
'xi'jin 西晋
'xi'liang 西凉
'xi'liao 西辽
'xi'lou'gong 西楼公
'xi'ning 熙宁
'xi'ping 熙平
'xi'qin 西秦
'xi'wei 西魏
'xi'xia 西夏
'xi'yan 西燕
'xi'zhou 西周
'xi'zong 熙宗
'xia'qi 夏启
'xia'yu 夏禹
'xian'an 咸安
'xian'chun 咸淳
'xian'dao 显道
'xian'de 显德
'xian'feng 咸丰
'xian'he 咸和
'xian'ning 咸宁
'xian'ping 咸平
'xian'qing 咸清
'xian'tong 咸通
'xian'wen'di 献文帝
'xian'wu'di 献武帝
'xian'zong 献宗
'xiang'gong 襄公
'xiang'xing 祥兴
'xiang'yu 项羽
'xiang'zi 襄子
'xiao'bao'juan 萧宝卷
'xiao'bao'rong 萧宝融
'xiao'cha 萧察
'xiao'cong 萧琮
'xiao'dao'cheng 萧道成
'xiao'dong 萧栋
'xiao'fang'zhi 萧方智
'xiao'gang 萧纲
'xiao'jia 小甲
'xiao'jian 孝建
'xiao'jing'di 孝敬帝
'xiao'kui 萧岿
'xiao'luan 萧鸾
'xiao'ming'di 孝明帝
'xiao'ming'wang 小明王
'xiao'shao'wen 萧绍文
'xiao'ta'bu'yan 萧塔不烟
'xiao'wen'di 孝文帝
'xiao'wu'di 孝武帝
'xiao'xin 小辛
'xiao'yan 萧衍
'xiao'yi 萧绎
'xiao'yi 小乙
'xiao'ze 萧赜
'xiao'zhao'di 孝昭帝
'xiao'zhao'ye 萧昭业
'xiao'zhuang 萧莊
'xiao'zhuang'di 孝庄帝
'xin'xing'wang 新兴王
'xing'an 兴安
'xing'zong 兴宗
'xiong'du'ao'xi 熊堵敖喜
'xiong'e 熊鄂
'xiong'fen'mao 熊蚡冒
'xiong'fu'chu 熊负刍
'xiong'heng 熊横
'xiong'jia'ao 熊郏敖
'xiong'lv 熊侣
'xiong'qi'ji 熊弃疾
'xiong'ruo'ao 熊若敖
'xiong'shang'chen 熊商臣
'xiong'shuang 熊霜
'xiong'tong 熊通
'xiong'xiao'ao 熊霄敖
'xiong'xin 熊心
'xiong'xiong'wei 熊熊围
'xiong'xun 熊循
'xiong'yan 熊严
'xiong'yi 熊绎
'xiong'yong 熊勇
'xiong'zhen 熊珍
'xu'zhuang'gong 许庄公
'xuan'de 宣德
'xuan'di 宣帝
'xuan'tong 宣统
'xuan'wu'di 宣武帝
'xuan'ye 玄烨
'xuan'zong 宣宗
'yan'ai'hou 燕哀侯
'yan'cheng'gong 燕成公
'yan'chu 延初
'yan'dao'gong 燕悼公
'yan'di 炎帝
'yan'gong'gong 燕共公
'yan'guang 延光
'yan'huan'gong 燕桓公
'yan'hui'gong 燕惠公
'yan'hui'hou 燕惠侯
'yan'hui'wang 燕惠王
'yan'jian'gong 燕简公
'yan'min'gong 燕闵公
'yan'mu'hou 燕穆侯
'yan'ping 延平
'yan'ping'gong 燕平公
'yan'qing 延庆
'yan'qing'hou 燕顷侯
'yan'wen'gong 燕文公
'yan'wu'cheng'wang 燕武成王
'yan'wu'gong 燕武公
'yan'xi 延熙
'yan'xi 延熹
'yan'xi'hou 燕僖侯
'yan'xiang'gong 燕襄公
'yan'xiao'gong 燕孝公
'yan'xiao'wang 燕孝王
'yan'xing 延兴
'yan'xuan'gong 燕宣公
'yan'xuan'hou 燕宣侯
'yan'yi'gong 燕懿公
'yan'yuan 燕元
'yan'zhao'gong 燕召公
'yan'zhao'gong 燕昭公
'yan'zhao'wang 燕昭王
'yan'zheng'hou 燕郑侯
'yan'zhuang'gong 燕庄公
'yang'dong 杨侗
'yang'guang 杨广
'yang'jia 阳甲
'yang'jian 杨坚
'yang'long'yan 杨隆演
'yang'pu 杨溥
'yang'wo 杨渥
'yang'xing'mi 杨行密
'yang'you 杨侑
'yao'chang 姚苌
'yao'hong 姚泓
'yao'xing 姚兴
'ye'lv'a'bao'ji 耶律阿保机
'ye'lv'da'shi 耶律大石
'ye'lv'de'guang 耶律德光
'ye'lv'hong'ji 耶律洪基
'ye'lv'jing 耶律璟
'ye'lv'long'xu 耶律隆绪
'ye'lv'pu'su'wan 耶律普速完
'ye'lv'ruan 耶律阮
'ye'lv'xian 耶律贤
'ye'lv'yan'xi 耶律延禧
'ye'lv'yi'lie 耶律夷列
'ye'lv'zhi'lu'gu 耶律直鲁古
'ye'lv'zong'zhen 耶律宗真
'ye'sun'tie'mu'er 也孙铁木儿
'yi'gu 益姑
'yi'lin'zhi'ban 懿璘质班
'yi'ning 义宁
'yi'wang 易王
'yi'yang'wang 义阳王
'yi'zhu 奕坾
'yi'zong 毅宗
'yin'di 隐帝
'yin'zhen 胤禛
'ying'hong 嬴弘
'ying'hou'bo'che 嬴后伯车
'ying'li 应历
'ying'qian 应乾
'ying'ren'hao 嬴任好
'ying'shun 应顺
'ying'si 赢驷
'ying'tian 应天
'ying'wu'di 英武帝
'ying'ze 嬴则
'ying'zheng 嬴政
'ying'zhu 嬴柱
'ying'zi'chu 嬴子楚
'yong'an 永安
'yong'chang 永昌
'yong'chu 永初
'yong'ding 永定
'yong'guang 永光
'yong'han 永汉
'yong'he 永和
'yong'hong 永宏
'yong'jia 永嘉
'yong'jia'wang 永嘉王
'yong'jian 永坚
'yong'jian 永建
'yong'kang 永康
'yong'le 永乐
'yong'li 永历
'yong'long 永隆
'yong'ming 永明
'yong'ning 永宁
'yong'ping 永平
'yong'xi 雍熙
'yong'xi 永熙
'yong'xing 永兴
'yong'yan 顒琰
'yong'yi 雍已
'yong'yuan 永元
'yong'zhen 永贞
'yong'zheng 雍正
'you'di 幽帝
'you'gong 幽公
'you'zhu 幼主
'yu'heng 玉恒
'yu'ji 余祭
'yu'jia 圉假
'yu'lu 阈路
'yu'mei 余昧
'yu'shun 虞舜
'yu'shuo 御说
'yu'wen'bin 宇文斌
'yu'wen'tai 宇文泰
'yu'wen'yan'da'xiang 宇文衍大象
'yu'wen'yong 宇文邕
'yu'wen'yu 宇文毓
'yu'yi 与夷
'yu'zhang'wang 豫章王
'yuan'bao'ju 元宝炬
'yuan'cheng'zong 元成宗
'yuan'di 元帝
'yuan'gong 元公
'yuan'gong 元恭
'yuan'guang 元光
'yuan'he 元和
'yuan'hong 元宏
'yuan'hui 元徽
'yuan'jia 元嘉
'yuan'ke 元恪
'yuan'lang 元朗
'yuan'ming'zong 元明宗
'yuan'ning'zong 元宁宗
'yuan'ren'zong 元仁宗
'yuan'shan'jian 元善见
'yuan'shi 元始
'yuan'shi'kai 袁世凯
'yuan'shi'zu 元世祖
'yuan'shun'di 元顺帝
'yuan'wen'zong 元文宗
'yuan'wu'zong 元武宗
'yuan'xi 元熙
'yuan'xing 元兴
'yuan'xiu 元修
'yuan'xu 元诩
'yuan'ye 元晔
'yuan'ying'zong 元英宗
'yuan'you 元祐
'yuan'zi'you 元子攸
'yuan'zong 元宗
'yue'wang 越王
'yun'chang 允常
'zai'chun 载淳
'zai'tian 载湉
'zhang'jun 张骏
'zhang'mao 张茂
'zhang'shi 张实
'zhang'tian'xi 张天锡
'zhang'wu 章武
'zhang'xian'zhong 张献忠
'zhang'xuan'jing 张玄靓
'zhang'zhong'hua 张重华
'zhang'zong 章宗
'zhang'zuo 张祚
'zhao'bing 赵昺
'zhao'cheng'di 昭成帝
'zhao'cheng'hou 赵成侯
'zhao'dai'wang 赵代王
'zhao'dao'xiang'wang 赵悼襄王
'zhao'dun 赵惇
'zhao'gou 赵构
'zhao'guang'yi 赵光义
'zhao'heng 赵恒
'zhao'huan 赵桓
'zhao'hui'wen'wang 赵惠文王
'zhao'ji 赵佶
'zhao'ji 赵基
'zhao'jing'hou 赵敬侯
'zhao'kuang'yin 赵匡胤
'zhao'kuo 赵扩
'zhao'lie'di 昭烈帝
'zhao'lie'hou 赵烈侯
'zhao'shen 赵昚
'zhao'shi 赵昰
'zhao'shu 赵曙
'zhao'si 赵丝
'zhao'su'hou 赵肃侯
'zhao'wang 赵王
'zhao'wen'di 昭文帝
'zhao'wu 昭武
'zhao'wu'di 昭武帝
'zhao'wu'ling'wang 赵武灵王
'zhao'xian'hou 赵献侯
'zhao'xiao'cheng'wang 赵孝成王
'zhao'xu 赵顼
'zhao'xu 赵煦
'zhao'yun 赵昀
'zhao'zhen 赵祯
'zhao'zhu 赵主
'zhen'guan 贞观
'zhen'ming 祯明
'zhen'you 贞祐
'zhen'yuan 贞元
'zheng'ai'gong 郑哀公
'zheng'cheng'gong 郑成公
'zheng'da 正大
'zheng'dao'gong 郑悼公
'zheng'de 正德
'zheng'ding'gong 郑定公
'zheng'gong'gong 郑共公
'zheng'huan'gong 郑桓公
'zheng'jian'gong 郑简公
'zheng'jun 郑君
'zheng'li'gong 郑厉公
'zheng'ling'gong 郑灵公
'zheng'mu'gong 郑穆公
'zheng'ru'gong 郑繻公
'zheng'sheng'gong 郑声公
'zheng'shi 正始
'zheng'tong 正统
'zheng'wen'gong 郑文公
'zheng'wu'gong 郑武公
'zheng'xi'gong 郑僖公
'zheng'xian'gong 郑献公
'zheng'xiang'gong 郑襄公
'zheng'you'gong 郑幽公
'zheng'yuan 正元
'zheng'zhao'gong 郑昭公
'zheng'zhuang'gong 郑庄公
'zhi'da 至大
'zhi'de 至德
'zhi'hou 之侯
'zhi'ping 治平
'zhi'zheng 至正
'zhi'zhi 至治
'zhong'cheng'gong 忠成公
'zhong'ding 中丁
'zhong'hua 重华
'zhong'hua'min'guo 中华民国
'zhong'kang 仲康
'zhong'ren 仲壬
'zhong'tong 中统
'zhong'xing 中兴
'zhong'yuan 中元
'zhong'zong 中宗
'zhou'ai'wang 周哀王
'zhou'an'wang 周安王
'zhou'cheng'wang 周成王
'zhou'dao'wang 周悼王
'zhou'ding'wang 周定王
'zhou'gong 周公
'zhou'gong'di 周恭帝
'zhou'gong'wang 周共王
'zhou'huan'wang 周桓王
'zhou'hui'wang 周惠王
'zhou'jian'wang 周简王
'zhou'jing'di 周静帝
'zhou'jing'wang 周敬王
'zhou'jing'wang 周景王
'zhou'kang'wang 周康王
'zhou'kao'wang 周考王
'zhou'kuang'wang 周匡王
'zhou'li'wang 周厉王
'zhou'lie'wang 周烈王
'zhou'ling'wang 周灵王
'zhou'ming'di 周明帝
'zhou'mu'wang 周穆王
'zhou'nan'wang 周赧王
'zhou'ping'wang 周平王
'zhou'qing'wang 周顷王
'zhou'shen'jing'wang 周慎靓王
'zhou'shi'zong 周世宗
'zhou'si'wang 周思王
'zhou'tai'zu 周太祖
'zhou'wei'lie'wang 周威烈王
'zhou'wen'wang 周文王
'zhou'wu'di 周武帝
'zhou'wu'wang 周武王
'zhou'xi'wang 周僖王
'zhou'xian'wang 周显王
'zhou'xiang'wang 周襄王
'zhou'xiao'wang 周孝王
'zhou'xuan'di 周宣帝
'zhou'xuan'wang 周宣王
'zhou'yi'wang 周夷王
'zhou'yi'wang 周懿王
'zhou'you'wang 周幽王
'zhou'yuan'wang 周元王
'zhou'zhao'wang 周昭王
'zhou'zhen'ding'wang 周贞定王
'zhou'zhuang'wang 周庄王
'zhu'chang'luo 朱常洛
'zhu'di 朱棣
'zhu'fan 诸樊
'zhu'gao'chi 朱高炽
'zhu'hou'cong 朱厚熜
'zhu'hou'zhao 朱厚照
'zhu'jian'shen 朱见深
'zhu'qi'yu 朱祁钰
'zhu'qi'zhen 朱祁镇
'zhu'wen 朱温
'zhu'yi'jun 朱翊钧
'zhu'yin'gong 邾隐公
'zhu'you'gui 朱友珪
'zhu'you'jian 朱由检
'zhu'you'jiao 朱由校
'zhu'you'lang 朱由榔
'zhu'you'song 朱由菘
'zhu'you'tang 朱祐樘
'zhu'you'zhen 朱友贞
'zhu'yu'jian 朱聿键
'zhu'yu'yue 朱聿粤
'zhu'yuan'zhang 朱元璋
'zhu'yun'wen 朱允炆
'zhu'zai'hou 朱载垕
'zhu'zhan'ji 朱瞻基
'zhuan'xu 颛顼
'zhuang'zong 莊宗
'zi'fu 兹甫
'zi'ying 子婴
'zou'mu'gong 邹穆公
'zu'ding 祖丁
'zu'geng 祖庚
'zu'jia 祖甲
'zu'xin 祖辛
'zu'yi 祖乙
