'a'bing 阿炳
'ling'nan'tian'hong'qin'guan 岭南天虹琴馆
'ling'qiu'luo'luo 灵邱罗罗
'ling'yi 零一
'ling'you 伶优
'ling'zhou'jiu 伶州鸠
'liu'bei'mao 刘北茂
'liu'chang'an 刘长安
'liu'chang'fu 刘长福
'liu'chang'shou 刘昌寿
'liu'chang'yu 刘长瑜
'liu'chang'yuan 刘长远
'liu'chi 刘炽
'liu'chi'cheng 刘赤城
'liu'chu'hua 刘楚华
'liu'cong 刘聪
'liu'da'ming 刘大鸣
'liu'de'yin 刘德荫
'liu'de'zeng 刘德增
'liu'ding 刘丁
'liu'dun'nan 刘敦南
'liu'er'ling 六儿令
'liu'feng 刘烽
'liu'feng'shan 刘凤山
'liu'gan'san 刘赶三
'liu'guan'yue 刘管乐
'liu'guang'yu 刘光宇
'liu'hong 刘虹
'liu'ji 刘籍
'liu'ji'dian 刘吉典
'liu'jian 刘健
'liu'jun'shou 刘君寿
'liu'li 刘力
'liu'liang'mo 刘良模
'liu'lv 六律
'liu'ming'yuan 刘明源
'liu'nian'qu 刘念劬
'liu'pei 刘沛
'liu'peng 刘鹏
'liu'qi 刘奇
'liu'qiang 柳腔
'liu'qin'xi 柳琴戏
'liu'qing 刘青
'liu'qing'niang 柳青娘
'liu'sen 刘森
'liu'shang'ren 刘尚仁
'liu'shi'kun 刘诗昆
'liu'shi'ren 刘施任
'liu'shi'ying 刘世瑛
'liu'shi'zhao 刘诗召
'liu'shui 流水
'liu'shui'ban 流水板
'liu'song'qiao 刘嵩樵
'liu'tian'hua 刘天华
'liu'tian'lang 刘天浪
'liu'tie'shan 刘铁山
'liu'ting'yu 刘廷禹
'liu'wei'guang 刘为光
'liu'wen'jin 刘文金
'liu'xi'jin 刘锡津
'liu'xue'an 刘雪庵
'liu'xue'xuan 刘学轩
'liu'ya 刘亚
'liu'yao 六幺
'liu'yao'jin 柳摇金
'liu'yao'ling 六幺令
'liu'ying'chun 柳迎春
'liu'yu'lian 刘玉莲
'liu'yuan 刘湲
'liu'yuan 刘源
'liu'yue'xue 六月雪
'liu'zhao'xia 刘朝霞
'liu'zhen'qiu 刘振球
'liu'zhi'fang 刘志方
'liu'zhuang 刘庄
'liu'zi'li 刘自力
'liu'zi'tiao 六字调
'liu'zi'xi 柳子戏
'long'fei 龙飞
'long'feng'hui 龙凤会
'long'hu'dou 龙虎斗
'long'jiang'song 龙江颂
'long'ju 陇剧
'long'men'zhen 龙门阵
'long'nv'mu'yang 龙女牧羊
'long'yao'yang'ge 隆尧秧歌
'long'zuo 龙佐
'lou'shu'hua 娄树华
'lu'an'du 卢安度
'lu'chun'ling 陆春龄
'lu'dang'huo'zhong 芦荡火种
'lu'hua'bai 陆华柏
'lu'hua'he 芦花河
'lu'li 陆隶
'lu'liang'hui 卢亮辉
'lu'lin 芦林
'lu'ming 路明
'lu'ming 陆明
'lu'pei 陆培
'lu'qi'ren 路歧人
'lu'ri'rong 鲁日融
'lu'sheng'kui 卢胜奎
'lu'su 卢肃
'lu'xing 路行
'lu'yan 卢炎
'lu'yao 录要
'lu'you 陆友
'lu'yun 陆云
'lu'zai'yi 陆在易
'lu'zhu'guo 陆柱国
'lu'zong'ren 陆宗仁
'lu'zu'long 陆祖龙
'luan'tan 乱弹
'luan'yun'fei 乱云飞
'luo'cheng'jiao'guan 罗成叫关
'luo'da'you 罗大佑
'luo'gu'qu'pai 锣鼓曲牌
'luo'gu'za'xi 锣鼓杂戏
'luo'ji'yi 骆集益
'luo'lang 罗浪
'luo'li'bin 罗立斌
'luo'luo'qiang 罗罗腔
'luo'mai'shuo 罗麦朔
'luo'nian'yi 罗念一
'luo'qian'li 罗千里
'luo'shou'shan 罗寿山
'luo'xi 罗戏
'luo'xin 洛辛
'luo'zhong'xing 罗仲兴
'luo'zi'xi 罗子戏
'luo'zong'xian 罗宗贤
'lv'bing 吕冰
'lv'chang 吕畅
'lv'ji 吕骥
'lv'ju 吕剧
'lv'jun 律均
'lv'li 律历
'lv'li'he'yi 律历合一
'lv'li'rong'tong 律历融通
'lv'lv 律吕
'lv'lv'he'yi 律吕合一
'lv'lv'jing'yi 律吕精义
'lv'lv'xue 律吕学
'lv'lv'yuan'sheng 律吕元声
'lv'lv'zheng'lun 律吕正论
'lv'lv'zhi'yi'bian'huo 律吕质疑辨惑
'lv'meng 吕蒙
'lv'mu 律母
'lv'qi'ming 吕其明
'lv'ruo'ceng 吕若曾
'lv'shi'chun'qiu 吕氏春秋
'lv'shu 律数
'lv'wei 律位
'lv'wen'cheng 吕文成
'lv'xiang 律象
'lv'xin'dong 吕欣冬
'lv'xue'xin'shuo 律学新说
'lv'yao 绿腰
'lv'yuan 吕远
'lv'yuan 律元
'ma'bao'shan 马宝山
'ma'chang'li 马长礼
'ma'dian'yin 马殿银
'ma'ge'shun 马革顺
'ma'hui'wen 马惠文
'ma'jian'ling 马健翎
'ma'jie 马杰
'ma'ke 马可
'ma'lian'liang 马连良
'ma'ru'ming 马汝明
'ma'shui'long 马水龙
'ma'si'cong 马思聪
'ma'zhi'yuan 马致远
'mai'ma 卖马
'mai'xin 麦新
'man'ban 慢板
'man'gong'diao 慢宫调
'man'jiao'tiao 慢角调
'man'shang'diao 慢商调
'mao'qiang 茂腔
'mao'yi 茅毅
'mao'yuan 茅沅
'mei'an'qin'pai 梅庵琴派
'mei'an'qin'she 梅庵琴社
'mei'bao'jiu 梅葆玖
'mei'bao'yue 梅葆玥
'mei'hu'xi 眉户戏
'mei'hua'qu 梅花曲
'mei'hua'san'nong 梅花三弄
'mei'hua'xin'tiao 梅花新调
'mei'jun 每均
'mei'lan'fang 梅兰芳
'mei'lin'xi 梅林戏
'mei'long'zhen 梅龙镇
'mei'qiao'ling 梅巧玲
'mei'wu'xian 郿坞县
'mei'yu'pei 梅玉配
'mei'yu'tian 梅雨田
'meng'bo 孟波
'meng'cai'ren 孟才人
'meng'hong'shou 孟鸿寿
'meng'hua'suo'bu 梦华琐簿
'meng'liang'lu 梦梁录
'meng'xiao'dong 孟小冬
'mi'shi 密誓
'miao'xi 苗戏
'mie'xie 乜斜
'min'jian'ge'qu 民间歌曲
'min'jian'xiao'qu 民间小曲
'min'ju 闽剧
'min'xi'cai'cha'xi 闽西采茶戏
'min'xi'han'ju 闽西汉剧
'min'xi'shan'ge'xi 闽西山歌戏
'min'zu'qi'yue 民族器乐
'ming'qing'qin'pai 明清琴派
'miu'tian'rui 缪天瑞
'mo'deng'jia'nv 摩登伽女
'mu'ju 睦剧
'mu'ka'mu 木卡姆
'mu'lian'jiu'mu 目连救母
'mu'min'xin'ge 牧民新歌
'mu'tong'duan'di 牧童短笛
'mu'yang'qu 牧羊曲
'na'tian'e 拿天鹅
'nan'bang'zi 南梆子
'nan'bei'he'tao 南北合套
'nan'bei'jiu'gong 南北九宫
'nan'bei'lian'tao 南北连套
'nan'bei'pai'shi'san'tao'da'qu 南北派十三套大曲
'nan'bei'qu'shi'er'gong'tiao 南北曲十二宫调
'nan'chang'cai'cha'xi 南昌采茶戏
'nan'chao'jiu'le 南朝旧乐
'nan'chao'song'ren 南朝宋人
'nan'ci'xi 南词戏
'nan'ci'xu'lu 南词叙录
'nan'fu 南府
'nan'ju 南剧
'nan'lv 南吕
'nan'lv'jun 南吕均
'nan'lv'shang 南吕商
'nan'lv'tiao 南吕调
'nan'ni'wan 南泥湾
'nan'qu 南曲
'nan'qu'shi'san'tiao 南曲十三调
'nan'tang'gu 南堂鼓
'nan'xi 南戏
'nan'xian'zi 南弦子
'nan'xin'zhuang'mu'ou'xi 南辛庄木偶戏
'nan'yang'bang'zi 南阳梆子
'nan'yin 南音
'nao'bo 铙钹
'nao'gu'bu 铙鼓部
'nao'hou'yin 脑后音
'nao'nian'luo'gu 闹年锣鼓
'ne'zha'ling 哪吒令
'ni'gu'xia'shan 尼姑下山
'ni'shang'yu'yi'qu 霓裳羽衣曲
'ni'shi'yun 倪诗韵
'nian'bai 念白
'nie'er 聂耳
'nie'zheng'ci'han'wang 聂政刺韩王
'ning'du'cai'cha'xi 宁都采茶戏
'ning'hai'ping'diao 宁海平调
'ning'he'xi 宁河戏
'niu'lang'zhi'nv 牛郎织女
'niu'si 扭丝
'niu'zhong 钮钟
'nuo'xi 傩戏
'ou'ju 瓯剧
'ou'lu'wang'ji 鸥鹭忘机
'pa'shan'tiao 爬山调
'pa'zi'diao 趴字调
'pai'ban 拍板
'pai'chang 俳倡
'pai'gu 排鼓
'pai'sheng 排笙
'pai'xiao 排箫
'pai'you 俳优
'pai'zi'qu 牌子曲
'pan'gu'wu 盘古舞
'pan'qiu 盘秋
'pan'shi'wan 磐石湾
'pan'si'dong 盘丝洞
'pan'zi'wu 盘子舞
'pang'fan 旁犯
'pang'pu 旁谱
'pang'yu'zhu 庞雨珠
'pao'han'chuan 跑旱船
'pao'ma'deng 跑马灯
'pei'jin'bao 裴金宝
'pei'lan 佩兰
'pen'kou 喷口
'peng'ban 碰板
'peng'ban'tiao 碰板调
'peng'jia'peng 彭家鹏
'peng'lai'xu 蓬莱序
'peng'wen'yuan 彭文元
'peng'xiu'wen 彭修文
'peng'zhong 碰钟
'pi'huang'qiang 皮黄腔
'pi'pa 琵琶
'pi'pa'ge 琵琶歌
'pi'pa'lu 琵琶录
'pi'pa'pu 琵琶谱
'pi'pa'xin'pu 琵琶新谱
'pi'tou'ban 劈头板
'pi'xing'dai'yue'xia'tai'hang 披星戴月下太行
'pi'ying'xi 皮影戏
'pian'fan 偏犯
'pian'sha 偏杀
'piao'chang 嘌唱
'ping'diao 平调
'ping'diao'lao'zi 平调落子
'ping'jiang'xi 平讲戏
'ping'ju 平剧
'ping'ju 评剧
'ping'jun'lv 平均律
'ping'qiang 评腔
'ping'sha'luo'yan 平沙落雁
'ping'tan 评弹
'ping'xian'xi 平弦戏
'ping'xiang'cai'cha'xi 萍乡采茶戏
'ping'xiang'chun'luo 萍乡春锣
'ping'xue'bian'zong 评雪辨踪
'po'zhen'le 破阵乐
'pu'an'zhou 普庵咒
'pu'biao 谱表
'pu'deng'e 扑灯蛾
'pu'dong'shuo'shu 浦东说书
'pu'hao 谱号
'pu'ju 蒲剧
'pu'mian 谱面
'pu'qiu'shan 普球山
'pu'shi 谱式
'pu'tian'le 普天乐
'pu'tong'le'xue 普通乐学
'pu'xian'xi 莆仙戏
'pu'xue'zhai 溥雪斋
'pu'zhi 谱纸
'qi'ban 起板
'qi'bo 齐钹
'qi'bu'ji 七部伎
'qi'bu'le 七部乐
'qi'bu'wen'tan 起布问探
'qi'chui 骑吹
'qi'de'wu 七德舞
'qi'gong 七宫
'qi'gong'shi'er'tiao 七宫十二调
'qi'gu 齐鼓
'qi'hang'qi'ke 七行七科
'qi'he'xian 七和弦
'qi'jiao 七角
'qi'ju 祁剧
'qi'kou 气口
'qi'liang'tiao 凄凉调
'qi'lie 七列
'qi'lin'tong 麒麟童
'qi'lue 七略
'qi'lv 七律
'qi'pai 气牌
'qi'qiang 起腔
'qi'shang 七商
'qi'sheng'diao'shi 七声调式
'qi'sheng'yin'jie 七声音阶
'qi'shuang'hui 奇双会
'qi'tai'yang'ge 祁太秧歌
'qi'tiao'bi'qu 起调毕曲
'qi'tong 七同
'qi'xi'bai'hu'tuan 奇袭白虎团
'qi'xian'qin 七弦琴
'qi'xiao'yun 齐啸云
'qi'yan'hui 泣颜回
'qi'yang'xiao'diao 祁阳小调
'qi'yin 七音
'qi'yin'kong 七音孔
'qi'yu 七羽
'qi'yue'qu'pai 器乐曲牌
'qi'zheng'piao'piao 旗正飘飘
'qi'zi'luo 七字锣
'qian'gu'wu 钱鼓舞
'qian'hou'bu'gu'chui 前后部鼓吹
'qian'jin 千斤
'qian'jin'ge 前进歌
'qian'jin'gou 千斤钩
'qian'ju 黔剧
'qian'le'zhi 钱乐之
'qian'qiang 前腔
'qian'qiang'huan'tou 前腔换头
'qian'qiu'sui 千秋岁
'qian'ren'kang 钱仁康
'qian'ren'ping 钱仁平
'qian'sui'shi 遣隋使
'qian'tang'shi 遣唐使
'qian'xu 前叙
'qian'yi'ping 钱亦平
'qian'you'suo'cheng 前有所承
'qiang'ban 抢板
'qiang'di 羌笛
'qiang'ju'zi 抢句子
'qiang'zu'shou'gu 羌族手鼓
'qiao'cu 乔醋
'qiao'ge 樵歌
'qiao'qing'xiu 乔清秀
'qin'ban 琴板
'qin'cao 琴操
'qin'chuan'pai 琴川派
'qin'de'pu 琴德谱
'qin'deng 琴凳
'qin'diao 琴调
'qin'diao'pu 琴调谱
'qin'fang 琴房
'qin'fu 琴腹
'qin'ge 琴歌
'qin'gong 琴弓
'qin'han'le 秦汉乐
'qin'hui 琴徽
'qin'jian 琴键
'qin'ling'chang'hong 秦岭长虹
'qin'lun 琴论
'qin'lv'fa'wei 琴律发微
'qin'pai 琴派
'qin'pu 琴谱
'qin'pu'ji 琴谱记
'qin'pu'zhuan'yao 琴谱篆要
'qin'qiang 秦腔
'qin'qin 秦琴
'qin'qing 秦青
'qin'qu 琴曲
'qin'se 琴瑟
'qin'se'pu 琴瑟谱
'qin'sheng 秦声
'qin'sheng'shi'liu'fa 琴声十六法
'qin'shi 琴师
'qin'shi'tu 琴式图
'qin'shi'xu 琴史续
'qin'shu 琴书
'qin'shu 琴述
'qin'shu'da'quan 琴书大全
'qin'shu'qian'gu 琴书千古
'qin'shu'zheng'sheng 琴书正声
'qin'shuo 琴说
'qin'ti 琴体
'qin'tiao 琴挑
'qin'tong 琴筒
'qin'tong 琴统
'qin'tou 琴头
'qin'wang'po'zhen'le 秦王破阵乐
'qin'wei 琴尾
'qin'wei'han 秦维瀚
'qin'xian 琴弦
'qin'xiang 琴箱
'qin'xiang'lian 秦香莲
'qin'xiang'tang'qin'pu 琴香堂琴谱
'qin'xue 琴学
'qin'xue'chu'jin 琴学初津
'qin'xue'cong'shu 琴学丛书
'qin'xue'fang 琴雪芳
'qin'xue'jin'liang 琴学津梁
'qin'xue'nei'wai'pian 琴学内外篇
'qin'xue'ren'duan 琴学韧端
'qin'xue'ru'men 琴学入门
'qin'xue'xin'sheng 琴学心声
'qin'xue'zheng'sheng 琴学正声
'qin'xue'zun'wen 琴学尊闻
'qin'ya'lue 琴雅略
'qin'yi 琴议
'qin'yuan'xin'chuan'quan'bian 琴苑心传全编
'qin'yuan'yang'ge 沁源秧歌
'qin'zheng'sheng'jiu'nong 琴正声九弄
'qin'zhi 琴制
'qin'zhi 琴旨
'qin'zhou 琴轴
'qin'zhou'san'xian'shu 沁州三弦书
'qin'zhu 琴竹
'qin'zhuo 琴桌
'qing'ban 擎板
'qing'bei'le 倾杯乐
'qing'ding'zhu 庆顶珠
'qing'feng'ting 清风亭
'qing'guan'ce 清官册
'qing'jiang'yin 清江引
'qing'jiao 清角
'qing'le 清乐
'qing'lian'yue'fu 青莲乐府
'qing'nan'zhi 清南枝
'qing'pai'zi 清牌子
'qing'shang 清商
'qing'shang'da'qu 清商大曲
'qing'shang'san'tiao 清商三调
'qing'shi'shan 青石山
'qing'tiao 清调
'qing'yi 青衣
'qing'zheng 清徵
'qing'zhu 青主
'qing'zhuo'da'xiao 清浊大小
'qiong'ju 琼剧
'qiu'ci'le 龟兹乐
'qiu'ci'pi'pa 龟兹琵琶
'qiu'feng 秋风
'qiu'hong 秋鸿
'qiu'lao'zi 邱落子
'qiu'zheng'gui 邱正桂
'qu'cheng'du 取成都
'qu'gong'tian'fan 去工添凡
'qu'jun'hong 区君虹
'qu'nan'jun 取南郡
'qu'pai 曲牌
'qu'shang'tian'yi 去上添乙
'qu'shi 曲式
'qu'shi'jie'gou 曲式结构
'qu'ti'jie'gou 曲体结构
'qu'wo'wan'wan'qiang 曲沃碗碗腔
'qu'xiang 曲祥
'qu'xiang 曲项
'qu'xiang'pi'pa 曲项琵琶
'qu'zi 曲子
'quan'yun'qin'she 泉韵琴社
'que'ta'zhi 雀踏枝
'qun'xi 群戏
'qun'ying'hui 群英会
'ran'lie 冉列
'rao'kou'ling 绕口令
'rao'rao'ling 绕绕令
're'ba'wu 热巴舞
'ren'chen 人辰
'ren'da'min 任达敏
'ren'guang 任光
'ren'min'yin'yue 人民音乐
'ren'min'yin'yue'chu'ban'she 人民音乐出版社
'rong'hua'ji 绒花记
'rong'jian'chen 荣剑尘
'rou'xian 揉弦
'ru'diao 入调
'ru'fu'lan 茹富兰
'ru'hou'fu 入侯府
'ru'man 入慢
'ru'po 入破
'ru'xing'li 茹兴利
'ruan'gong'tiao 软工调
'ruan'ji 阮籍
'ruan'wu 软舞
'ruan'xian 阮咸
'rui'bin 蕤宾
'rui'bin'jun 蕤宾均
'rui'he'xi 瑞河戏
'run'gong 闰宫
'run'qiang 润腔
'run'zheng 闰徵
'sai'long'duo'jin 赛龙夺锦
'sai'nai'mu 赛乃姆
'sai'shang'hong 塞上鸿
'sai'shang'qu 塞上曲
'san'ban 散板
'san'cha'kou 三岔口
'san'chang 散唱
'san'chang'chui 散长锤
'san'fen'sun'yi'fa 三分损益法
'san'ji 三击
'san'ji'jiang 三祭江
'san'ji'zhang 三击掌
'san'jia'dian 三家店
'san'jiao'tong'sheng 三教同声
'san'jiao'xi 三角戏
'san'jie 三借
'san'jie'qi 三接气
'san'jin'nian'bai'si'liang'chang 三斤念白四两唱
'san'le 散乐
'san'liu 三六
'san'niang'jiao'zi 三娘教子
'san'pa 三怕
'san'qiang 三枪
'san'qing 三庆
'san'qing'hui 三庆会
'san'qu 散曲
'san'ren'cao'niu'wei 三人操牛尾
'san'sheng 散声
'san'tao 散套
'san'wu'qi 三五七
'san'xian 三弦
'san'yin 散音
'san'zhun 三准
'sang'yuan'hui 桑园会
'sang'yuan'ji'zi 桑园寄子
'sao'qin 扫秦
'se'tiao 瑟调
'sha'jia'bang 沙家浜
'shan'dong'bang'zi 山东梆子
'shan'er'huang 山二黄
'shan'nan'duan'gong'xi 陕南端公戏
'shan'nan'hua'gu'xi 陕南花鼓戏
'shan'po'yang 山坡羊
'shan'shan'bang'zi 山陕梆子
'shan'xi'dao'qing 陕西道情
'shan'xi'lao'qiang 陕西老腔
'shan'xi'wan'wan'qiang 陕西碗碗腔
'shang'dang'lao'zi 上党落子
'shang'dang'pi'huang 上党皮黄
'shang'diao'shi 商调式
'shang'hai'jiao'yu'chu'ban'she 上海教育出版社
'shang'hai'jing'ju'yuan 上海京剧院
'shang'hai'wen'yi'chu'ban'she 上海文艺出版社
'shang'hai'yin'yue'chu'ban'she 上海音乐出版社
'shang'hai'yin'yue'xue'yuan'chu'ban'she 上海音乐学院出版社
'shang'si'tiao 上四调
'shang'xiao'yun 尚小云
'shang'yang 商鞅
'shang'yin 商音
'shao'ge'he'chang 少歌和倡
'shao'ju 绍剧
'shao'le 韶乐
'shao'yang'hua'gu'xi 邵阳花鼓戏
'shen'li'qun 沈利群
'shen'rong'pu 沈蓉圃
'shen'wen'yu 沈文裕
'shen'xin'gong 沈心工
'shen'ze'zhui'zi 深泽坠子
'shen'zhi'bai 沈知白
'shen'zhong 沈重
'shen'zhou'lei 神州擂
'sheng'dan'jing'chou 生旦净丑
'sheng'dou 笙斗
'sheng'guan 笙管
'sheng'li'hong 盛礼洪
'sheng'lv'fa 生律法
'sheng'miao 笙苗
'sheng'wu'ai'yue'lun 声无哀乐论
'sheng'yin'lv'diao'yun 声音律调韵
'sheng'zong'liang 盛宗亮
'shi'ba'che 十八扯
'shi'ba'huang'sheng 十八簧笙
'shi'ba'lv 十八律
'shi'ban 实板
'shi'bu'ji 十部伎
'shi'bu'xian'lian'hua'lao 十不闲莲花落
'shi'dao'xi 师道戏
'shi'er'guan 十二管
'shi'er'lv 十二律
'shi'er'yue'bang'gong'ge 十二月帮工歌
'shi'fan 十番
'shi'fan'gu'qu 十番鼓曲
'shi'fu'xian 诗赋弦
'shi'hua 拾画
'shi'hui'bao 时慧宝
'shi'jie'ting 失街亭
'shi'jin 拾金
'shi'kuang 师旷
'shi'san'dao'da'zhe 十三道大辙
'shi'san'fan'yun 十三泛韵
'shi'san'hui 十三徽
'shi'si'zhe 十四辙
'shi'tong 十通
'shi'wu'guan 十五贯
'shi'xian'qin 十弦琴
'shi'xiao'fu 时小福
'shi'xiu'tan'zhuang 石秀探庄
'shi'yin 实音
'shi'yong'kang 施詠康
'shi'yu'zhuo 拾玉镯
'shi'ze 十则
'shou'yin 首音
'shu'le'le 疏勒乐
'shu'min'xi 庶民戏
'shu'pai 蜀派
'shua'hai'er 耍孩儿
'shuai'cha 摔叉
'shuang'bai'yue 双拜月
'shuang'sha'he 双沙河
'shuang'yao'hui 双摇会
'shuang'yin'zhong 双音钟
'shui'di'yu 水底鱼
'shui'long'yin 水龙吟
'shui'mo'tiao 水磨调
'shui'xian'cao 水仙操
'shuo'bai'zuo'gong 说白做工
'shuo'chang'xing'shi 说唱形式
'shuo'shu 硕鼠
'shuo'xian'yang'ge 朔县秧歌
'si'bian'jing 四边静
'si'bian'yi'luo 撕边一锣
'si'da'chuan'qi 四大传奇
'si'da'xu'sheng 四大须生
'si'da'zhi'dao 四达之道
'si'fan 思凡
'si'gong'wu'fa 四功五法
'si'hu 四呼
'si'jin'shi 四进士
'si'lang'tan'mu 四郎探母
'si'ping'diao 四平调
'si'tu'han 司徒汉
'si'xi 四喜
'si'xian 丝弦
'si'xian 四弦
'si'xian'qiang 丝弦腔
'si'yi'zhi'le 四夷之乐
'si'zhi'cheng 思志诚
'si'zhu 四柱
'song'da'qu 宋大曲
'song'qin'yan'li 送亲演礼
'song'sheng 送声
'song'yang'gao'qiang 松阳高腔
'song'za'ju 宋杂剧
'sou'gu'jiu'gu 搜孤救孤
'su'mu'zhe 苏慕遮
'su'ning'wu'shu'xi 肃宁武术戏
'su'qi'po 苏祇婆
'su'rui 苏芮
'su'si'di 苏思棣
'su'xiao'ming 苏小明
'su'yue 俗乐
'su'yue'er'shi'ba'tiao 俗乐二十八调
'sui'cao'mu 遂草木
'sui'dai'ba'shi'si'tiao 隋代八十四调
'sui'he'er'nian 绥和二年
'sui'shu'yin'yue'zhi 隋书音乐志
'sui'tang'yan'le 隋唐燕乐
'sui'xian'hua'gu'xi 随县花鼓戏
'sun'ji'nan 孙继南
'sun'xiu'hua 孙秀华
'sun'ying'di 孙颖迪
'sun'you'chen 孙佑臣
'sun'yu'qin 孙毓芹
'sun'yun'ying 孙云鹰
'suo'bo 梭波
'suo'lin'nang 锁麟囊
'suo'na 唢呐
'tai'chang'le'gong 太常乐工
'tai'chang'si 太常寺
'tai'cu 太簇
'tai'cu'jun 太簇均
'tai'hua'jiao 抬花轿
'tai'le 太乐
'tai'yin'chuan'xi 太音传习
'tai'yin'da'quan'ji 太音大全集
'tai'zhen'wai'zhuan 太真外传
'tai'zhou'luan'tan 台州乱弹
'tan'bo 弹拨
'tan'ci 弹词
'tan'dun 谭盾
'tan'fu'ying 谭富英
'tan'han'yao 探寒窑
'tan'huan'bao 贪欢报
'tan'po 摊破
'tan'qin'jia 探亲家
'tan'xiao'pei 谭小培
'tan'xin'pei 谭鑫培
'tan'yong'lin 谭咏麟
'tang'da'qu 唐大曲
'tang'dai'yan'le 唐代燕乐
'tang'jian'yuan 唐健垣
'tang'ju 唐剧
'tang'jun'qiao 唐俊乔
'tang'ma 趟马
'tang'mu'hai 汤沐海
'tang'pu'lin 唐朴林
'tang'ren'da'qu'pu 唐人大曲谱
'tang'shan'pi'ying 唐山皮影
'tao'gu 鼗鼓
'tao'ling 掏翎
'tao'zhen 陶真
'te'qing 特磬
'te'zhong 特钟
'ti'gu 提鼓
'tian'sheng 添声
'tian'xian'zi 天仙子
'tian'zhu'le 天竺乐
'tiao'hua'che 挑滑车
'tiao'lian'cai'yi 挑帘裁衣
'tiao'qin 调琴
'tiao'sang 调嗓
'tiao'yin 调音
'tiao'yu 调域
'tie'gong'yuan 铁弓缘
'tong'bo 铜钹
'tong'gong'san'jun 同宫三均
'tong'guang'ming'ling'shi'san'jue 同光名伶十三绝
'tong'jun'san'gong 同均三宫
'tong'lv'guan 铜律管
'tong'xiang'ling 童祥苓
'tong'zhi'ling 童芷苓
'tou'sheng 偷声
'tu'di'huan'jia 土地还家
'tu'ge 徒歌
'tuo'bu'shan 脱布衫
'tuo'zhao'peng'bei 托兆碰碑
'wa'wa'sheng 娃娃生
'wai'jiao'fang 外教坊
'wan'bang'wu'tiao'qiang 宛梆五调腔
'wan'bao'chang 万宝常
'wan'nian'huan 万年欢
'wan'zai'hua'deng'xi 万载花灯戏
'wang'bao'chuan 王宝钏
'wang'chun'e 王春娥
'wang'da'niang 王大娘
'wang'di 王迪
'wang'duo 汪铎
'wang'feng'qing 王凤卿
'wang'guang'qi 王光祈
'wang'guo'wei 王国维
'wang'ji'qu 忘机曲
'wang'jiu'ling 王九龄
'wang'li'ping 王立平
'wang'li'san 汪立三
'wang'lu 王露
'wang'ming 王酩
'wang'pei'lun 王沛纶
'wang'pu'lv 王朴律
'wang'quan'kui 王泉奎
'wang'shao'qing 王少卿
'wang'shi'fu 王实甫
'wang'shu'yuan 王树元
'wang'tie'chui 王铁锤
'wang'wen'ju 王文举
'wang'xi'lin 王西麟
'wang'xiao'dun 王小盾
'wang'xie'yuan 王燮元
'wang'yi'fang 王益芳
'wang'yong'chang 王永昌
'wang'you'bin 王友斌
'wang'you'chen 王又宸
'wang'yu'he 汪毓和
'wang'yu'jia 王羽佳
'wang'yu'rong 王玉蓉
'wang'yun'xi 王运熙
'wang'zeng'qi 汪曾祺
'wang'zhen'ya 王震亚
'wang'zhong'shan 王中山
'wei'cheng'qu 渭城曲
'wei'diao'shi 为调式
'wei'feng 魏风
'wei'han'jin 魏汉津
'wei'jiu'feng 韦久峰
'wei'sheng 尾声
'wei'shui'he 渭水河
'wei'zhong'le 卫仲乐
'wei'zhou'wu'gong'ling 蔚州蜈蚣岭
'wen'qiao'nao'fu 问樵闹府
'wen'qu'xi 文曲戏
'wen'san'chang 文三场
'wen'tan 问探
'wen'zhao'guan 文昭关
'wen'zhou'kun'qu 温州昆曲
'wen'zhou'za'ju 温州杂剧
'wen'zi'pu 文字谱
'weng'ou'hong 翁偶虹
'wo'kong'hou 卧箜篌
'wo'men'shi'gong'nong'zi'di'bing 我们是工农子弟兵
'wo'yu 卧鱼
'wu'an'lao'zi 武安落子
'wu'an'ping'diao 武安平调
'wu'chun 吴纯
'wu'da'chuan'qi 五大传奇
'wu'du'yin'cheng 五度音程
'wu'ge 吴歌
'wu'guo'zhong 伍国忠
'wu'jia'po 武家坡
'wu'jiang'feng'guang 婺江风光
'wu'jiang'yin 吴江吟
'wu'jing'lue 吴景略
'wu'ju 婺剧
'wu'jun'da 武俊达
'wu'lan'sun 吴兰荪
'wu'lei'zhen 五雷阵
'wu'lin'jiu'shi 武林旧事
'wu'mei'tiao 无媒调
'wu'na 巫娜
'wu'ning'cai'cha'xi 武宁采茶戏
'wu'pen'ji 乌盆记
'wu'san'chang 武三场
'wu'sheng 五声
'wu'sheng'wen'xi 武生文戏
'wu'sheng'yin'jie 五声音阶
'wu'shi'jian 吴石坚
'wu'su'qiu 吴素秋
'wu'tong'yu 梧桐雨
'wu'wen'guang 吴文光
'wu'xi 武戏
'wu'xian'pi'pa 五弦琵琶
'wu'xiang'cen 吴湘岑
'wu'xiang'quan 吴湘泉
'wu'xun'zhuan 武训传
'wu'ye'ti 乌夜啼
'wu'yi 无射
'wu'yi'jun 无射均
'wu'yin 五音
'wu'yin'xi 五音戏
'wu'ying'yin 吴莺音
'wu'yu'zhang 吴钰璋
'wu'zhao 吴钊
'wu'zhao'ji 吴兆基
'wu'zhi'zhai'qin'pu 五知斋琴谱
'wu'zi'kai'men 五字开门
'wu'zong'han 吴宗汉
'wu'zu'qiang 吴祖强
'xi'an'gu'yue'pu 西安鼓乐谱
'xi'hu'qin'she 西湖琴社
