'a'bi 阿碧
'jin'yan'heng'kong 金雁横空
'jin'yu'man'tang 金玉满堂
'jin'zhen'du'jie 金针渡劫
'jing'hui 静慧
'jing'ji 净济
'jing'jia 静迦
'jing'kong 静空
'jing'peng'bao'jing 敬捧宝经
'jing'qing 净清
'jing'xu'shi'tai 静虚师太
'jing'xuan'shi'tai 静玄师太
'jing'zhao 静照
'jing'zhi'da'shi 静智大师
'jiu'hua'yu'lu'wan 九花玉露丸
'jiu'jiu'wan 九九丸
'jiu'long'bian'fa 九龙鞭法
'jiu'long'pai 九龙派
'jiu'mo'zhi 鸠摩智
'jiu'nan 九难
'jiu'pi'wan 鸠砒丸
'jiu'pin'lian'tai 九品连台
'jiu'si'sheng 九死生
'jiu'yi'dao'ren 九翼道人
'jiu'yin'bai'gu'zhao 九阴白骨爪
'jiu'yin'bai'gu'zhao'jie'yao 九阴白骨爪解药
'jiu'yin'zhen'jing 九阴真经
'jiu'zhao'hui'jin'chui 救赵挥金锤
'jiu'zhuan'hui'chun'tang 九转回春汤
'jiu'zhuan'ling'bao'wan 九转灵宝丸
'jiu'zhuan'xiong'she'wan 九转熊蛇丸
'ju'fang 菊芳
'ju'huo'liao'tian 举火撩天
'ju'huo'liao'tian 举火燎天
'ju'jian 菊剑
'ju'ming'bao'shu'wang 俱明宝树王
'ju'you 菊友
'jue'jian 绝剑
'jue'men'du'zhen'jie'yao 绝门毒针解药
'jue'qing'dan 绝情丹
'jue'yuan 觉远
'jue'yuan'da'shi 觉远大师
'jue'yue 觉月
'jun'ling'heng'kong 峻岭横空
'ka'si'li 喀丝丽
'kai'bie'xing 凯别兴
'kai'men'yi'dao 开门揖盗
'kai'shan'zhang 开山掌
'kang'guang'ling 康广陵
'kang'long'you'hui 亢龙有悔
'ke'wan'jun 柯万钧
'ke'zhen'e 柯镇恶
'kong'he'gong 控鹤功
'kong'ji'cang'ying 空击苍鹰
'kong'jian 空见
'kong'ming'quan 空明拳
'kong'que'kai'ping 孔雀开屏
'kong'tong'pai 崆峒派
'kong'wen 空闻
'kong'xin'cai 空心菜
'kong'xing 空性
'kong'zhi 空智
'ku'cao'ling 枯草岭
'ku'cha'zhai 苦茶斋
'ku'mu 枯木
'ku'nao'quan 苦恼拳
'ku'rong'chan'gong 枯荣禅功
'ku'rong'zhang'lao 枯荣长老
'kuai'huo'san'shi'zhang 快活三十掌
'kuang'bao'guan 邝宝官
'kuang'feng'kuai'jian 狂风快剑
'kuang'tian'xiong 邝天雄
'kui'hua'bao'dian 葵花宝典
'kun'lun'jian'fa 昆仑剑法
'kun'lun'pai 昆仑派
'kun'ning'gong 坤宁宫
'la'ba'zhou 腊八粥
'lai'fu'er 来福儿
'lai'he'qing'quan 来鹤清泉
'lan'feng'huang 蓝凤凰
'lan'hua'fu'xue'shou 兰花拂穴手
'lan'jian 兰剑
'lan'ke'shan 烂柯山
'lan'qin 蓝秦
'lan'que'wei 揽雀尾
'lan'tian'he 蓝天和
'lang'huan'yu'dong 琅環玉洞
'lang'ji'tian'ya 浪迹天涯
'lang'shi'fu 郎师傅
'lang'yue'wu'yun 朗月无云
'lang'zi'hui'tou 浪子回头
'lao'bu'si 老不死
'lao'de'nuo 劳德诺
'lao'li 老李
'lao'tai'jian 劳太监
'lao'tou'zi 老头子
'lao'wang 老王
'lao'wu 老吴
'lao'yue'shi 捞月式
'lao'zhi'heng'xie 老枝横斜
'le'hou 乐厚
'le'shou'tang 乐寿堂
'lei'dong'yu'jiu'tian'zhi'shang'jian'fa 雷动於九天之上剑法
'lei'gu'shan 擂鼓山
'lei'meng 雷猛
'lei'yi'xiao 雷一啸
'leng'qian 冷谦
'li'bu'cong'xin 力不从心
'li'chun'lai 李春来
'li'chun'yuan 丽春院
'li'da'yuan 李大元
'li'fu'ren 黎夫人
'li'gang 黎刚
'li'gui'feng 厉鬼峰
'li'ke'xiu 李可秀
'li'kui'lei 李傀儡
'li'li'shi 李力世
'li'mo'chou 李莫愁
'li'pi'san'guan 力劈三关
'li'ping 李萍
'li'qiu'shui 李秋水
'li'san 李三
'li'she'da'chuan 利涉大川
'li'sheng 黎生
'li'shi'kai 李式开
'li'si 李四
'li'si'cui 李四摧
'li'tian'heng 李天恒
'li'ting'bao 李廷豹
'li'wan'shan 李万山
'li'wen'xiu 李文秀
'li'xi'hua 李西华
'li'xiang'yuan 梨香院
'li'yan 李岩
'li'yuan'zhi 李沅芷
'li'zhi'chang 李志常
'li'zi'cheng 李自成
'lian'cheng'jue 连诚诀
'lian'hua'shan'zhuang 莲花山庄
'lian'hua'yan'zi 怜花研姿
'lian'hua'zhang 莲花掌
'lian'huan'mi'zong'tui 连环迷踪腿
'lian'rong'dou'ni'mi'tang'zhen'zhu'hu 莲蓉豆泥蜜糖珍珠糊
'lian'shan'ruo'bo'tao 连山若波涛
'liang'fa 梁发
'liang'hui'ma'fa 两回玛法
'liang'yi'jian'fa 两仪剑法
'liang'zhang'lao 梁长老
'liang'zi'jin 梁自进
'liang'zi'weng 梁子翁
'liao'zi'li 廖自砺
'lie'huo'dan 烈火丹
'lin'chao'ying 林朝英
'lin'ping'zhi 林平之
'lin'xing'zhu 林兴珠
'lin'yong'chao 林永超
'lin'yu'long 林玉龙
'lin'yuan'tu 林远图
'lin'zhen'nan 林震南
'ling'ao'bu 灵鳌步
'ling'ao'ying 灵獒营
'ling'bo'wei'bu 凌波微步
'ling'gui'ge 灵龟阁
'ling'hu'chong 令狐冲
'ling'jing'si 灵境寺
'ling'jiu'gong 灵鹫宫
'ling'jiu'ting'jing 灵鹫听经
'ling'shan'li'fo 灵山礼佛
'ling'shang'shuang'mei 岭上双梅
'ling'she'dao 灵蛇岛
'ling'she'quan 灵蛇拳
'ling'shuang'hua 凌霜华
'ling'tui'si 凌退思
'ling'xiao'cheng 凌霄城
'ling'xu 灵虚
'ling'ying'si 灵应寺
'ling'zhi'shang'ren 灵智上人
'liu'ao 刘敖
'liu'cheng'feng 刘乘风
'liu'chu'xuan 刘处玄
'liu'da'hong 柳大洪
'liu'fang'liang 刘芳亮
'liu'he'zhen 刘鹤真
'liu'jing 刘菁
'liu'mai'shen'jian 六脉神剑
'liu'pei'sheng 刘培生
'liu'qin 刘芹
'liu'quan'xia'shan 流泉下山
'liu'shen'bu'an 六神不安
'liu'shi'si'lu'hong'tian'lei'zhen'dang'fa 六十四路轰天雷震挡法
'liu'shi'zong'ci 刘氏宗祠
'liu'xing'fei'duo 流星飞堕
'liu'xing'gan'yue 流星赶月
'liu'xu'jian'fa 柳絮剑法
'liu'xuan'chu 刘玄处
'liu'yan 柳燕
'liu'yang'zheng'qi'dan 六阳正气丹
'liu'yi'zhou 刘一舟
'liu'yin'lian'ju 柳荫联句
'liu'ying'gu 刘瑛姑
'liu'yu'yi 刘於义
'liu'yuan'he 刘元鹤
'liu'yun'die'ying 流云叠影
'liu'yun'shi 流云使
'liu'zheng'feng 刘正风
'liu'zhi'yu 刘之余
'liu'zhu'zhuang 刘竹庄
'liu'zong'min 刘宗敏
'long'dao'zhu 龙岛主
'long'de'lin 龙德邻
'long'fu'men 隆福门
'long'hu'guan 龙虎观
'long'jia'guan 龙家关
'long'ju'zhen 龙驹镇
'long'jun 龙骏
'long'quan'zhu'jian'gu 龙泉铸剑谷
'long'she'fei'dong 龙蛇飞动
'long'ya'po'po 聋哑婆婆
'long'yue'zai'yuan 龙跃在渊
'long'zhan'yu'ye 龙战于野
'long'zhua'qin'na'shou 龙爪擒拿手
'long'zhua'shou 龙爪手
'lou'xi'niu'bu 搂膝拗步
'lu'bo 陆伯
'lu'cheng'feng 陆乘风
'lu'da'ba'liu 鲁达拔柳
'lu'da'you 陆大有
'lu'ding'ji 鹿鼎记
'lu'ding'li 陆鼎立
'lu'ding'shan 鹿鼎山
'lu'er'niang 陆二娘
'lu'fei'qing 陆菲青
'lu'fu'jiang 路副将
'lu'gao'xuan 陆高轩
'lu'guan'ying 陆冠英
'lu'he'dao 六合刀
'lu'he'jin 六合劲
'lu'he'qiang 六合枪
'lu'he'quan 六合拳
'lu'jia'zhuang 卢家庄
'lu'jia'zhuang 陆家庄
'lu'kun 鲁坤
'lu'lian'rong 鲁连荣
'lu'qing'du 鹿清笃
'lu'tian'shu 陆天抒
'lu'wu'shuang 陆无双
'lu'yi'feng 卢一峰
'lu'you'jiao 鲁有脚
'lu'zhang'ke 鹿杖客
'lu'zhi'shen'zui'die 鲁智深醉跌
'lu'zi'zhong'feng'shang 路自中峰上
'luan'huan'jue 乱环诀
'luan'shi'zhai 乱石寨
'luo'bing 骆冰
'luo'da'qian 罗大千
'luo'han'jian'fa 罗汉剑法
'luo'han'quan 罗汉拳
'luo'li'ru 罗立如
'luo'ren'jie 罗人杰
'luo'ri'zhao'da'qi 落日照大旗
'luo'shen'ling'bo 洛神凌波
'luo'xin 罗信
'luo'xuan'jiu'ying 螺旋九影
'luo'yan'quan 落雁拳
'luo'yang'han'jia 洛阳韩家
'luo'ying'jian'fa 落英剑法
'luo'ying'shen'jian'zhang 落英神剑掌
'lv'bao'zhong 吕葆中
'lv'bo'xiang'lu'dao'jie'yao 绿波香露刀解药
'lv'liu'liang 吕留良
'lv'liu'shan'zhuang 绿柳山庄
'lv'qi 吕七
'lv'shuang'bing'zhi 履霜冰至
'lv'wen'de 吕文德
'lv'xiao'mei 吕小妹
'lv'yi'zhong 吕毅中
'lv'zheng'ping 吕正平
'lv'zhu'lin 绿竹林
'lv'zhu'weng 绿竹翁
'lv'zhu'zhui'lou 绿珠坠楼
'ma'bao 马宝
'ma'bo'ren 马博仁
'ma'chao'xing 马超兴
'ma'chun'hua 马春花
'ma'da'ming 马大鸣
'ma'da'ting 马大挺
'ma'da'yuan 马大元
'ma'fa'tong 马法通
'ma'fu'ren 马夫人
'ma'gong'zi 马公子
'ma'gu'xian'shou 麻姑献寿
'ma'guang'zuo 马光佐
'ma'ji'shan 马迹山
'ma'jia'jun 马家骏
'ma'jing'xia 马敬侠
'ma'la 马喇
'ma'mi'er 玛米尔
'ma'mian'tiao'xin 马面挑心
'ma'ming'feng'xiao'xiao 马鸣风萧萧
'ma'qi 马齐
'ma'qing'xiong 马青雄
'ma'shan'jun 马善均
'ma'wu'de 马五德
'ma'xi'pu 麻溪铺
'ma'xing'kong 马行空
'ma'yi'han'zi 麻衣汉子
'ma'you 马佑
'ma'yu 马钰
'ma'zhen 马真
'mai'jing 麦鲸
'mai'shao'bang'zhu 麦少帮主
'man'tuo'shan'zhuang 曼陀山庄
'mao'shi'ba 茅十八
'mao'wen'zhu 毛文珠
'mei'chao'feng 梅超风
'mei'fang'gu 梅芳姑
'mei'hua'quan 梅花拳
'mei'jian 梅剑
'mei'jian'he 梅剑和
'mei'liang'ming 梅良鸣
'mei'nian'sheng 梅念笙
'mei'nv'quan'fa 美女拳法
'mei'ren'san'zhao 美人三招
'mei'wen'xin 梅文馨
'mei'xue'feng'xia 梅雪逢夏
'mei'xue'zheng'chun 梅雪争春
'men'xiang 闷香
'meng'bo'fei 孟伯飞
'meng'ge 蒙哥
'meng'gu 梦姑
'meng'gu'shuai'jiao 蒙古摔跤
'meng'han'yao 蒙汗药
'meng'hu'fu'zhuang 猛虎伏桩
'meng'hu'xia'shan 猛虎下山
'meng'ji'duo'su 猛鸡夺粟
'meng'jia 孟家
'meng'jia'shen'quan 孟家神拳
'meng'jian'xiong 孟健雄
'meng'po'guan'tang 孟婆灌汤
'meng'shi'shu 孟师叔
'meng'zheng 孟铮
'meng'zheng'hong 孟正鸿
'meng'zhu 孟铸
'mi'chun'jiu 迷春酒
'mi'heng'ye 米横野
'mi'le'miao 弥勒庙
'mi'si'han 米思翰
'mi'wei'yi 米为义
'mi'yun'bu'yu 密云不雨
'mian'wu'ren'se 面无人色
'mian'zhang 绵掌
'miao'feng'shi 妙风使
'miao'jia'jian 苗家剑
'miao'ren'feng 苗人凤
'miao'ruo'lan 苗若兰
'miao'xiang'an 妙相庵
'mie'jian 灭剑
'mie'jue'shi'tai 灭绝师太
'min'rou 闵柔
'min'zhong'si 悯忠寺
'min'zi'hua 闵子华
'ming'jiao 明教
'ming'tuo'jun'zu 明驼骏足
'ming'xia'dao 明霞岛
'ming'yu'fang 鸣玉坊
'ming'yue 明月
'ming'yue'qiang'di 明月羌笛
'ming'zhu 明珠
'mo'chou 莫愁
'mo'da 莫大
'mo'he'ba'si 摩诃巴思
'mo'he'zhi 摩诃指
'mo'li'feng 莫厘峰
'mo'long'tian'shen'jian 魔龙天神剑
'mo'sheng'gu 莫声谷
'mo'tian'ya 摩天崖
'mu'dao'zhu 木岛主
'mu'gao'feng 木高峰
'mu'gui'fei 穆贵妃
'mu'hua'li 木华黎
'mu'jia'jian 沐家剑
'mu'jia'quan 沐家拳
'mu'jian'ping 沐剑屏
'mu'jian'sheng 沐剑声
'mu'lan'zhi'yi 木兰织衣
'mu'nian'ci 穆念慈
'mu'ren'qing 穆人清
'mu'rong'bo 慕容博
'mu'rong'fu 慕容复
'mu'rong'jing'yue 慕容景岳
'mu'sang'dao'zhang 木桑道长
'mu'tian'yan 慕天颜
'mu'wan'qing 木婉清
'mu'wang'fu 沐王府
'mu'wen'cha 木文察
'mu'ye'xiao'xiao 木叶萧萧
'mu'zhuo'lun 木卓伦
'na'si'er'ding 纳斯尔丁
'na'yun'shi 拿云式
'nai'he'gong 奈何功
'nan'hai'ye'hua'dao 南海椰花岛
'nan'huai'ren 南怀仁
'nan'lan 南兰
'nan'ren'tong 南仁通
'nan'shan'zhang'fa 南山掌法
'nan'shao'lin'pai 南少林派
'nan'xi'ren 南希仁
'nei'ba'gua'zhang'fa 内八卦掌法
'ni'bu'da 倪不大
'ni'bu'xiao 倪不小
'ni'chang'jin'lian 霓裳金莲
'ni'hao 倪浩
'ni'mo'xing 尼摩星
'ni'qiu'gong 泥鳅功
'ni'xing'jing'mai 逆行经脉
'nian'hua'qin'na'shou 拈花擒拿手
'nian'hua'si 拈花寺
'nian'hua'zhi 拈花指
'nie'yue 聂钺
'ning'bo'tian'tong'si'xin'guan'he'shang 宁波天童寺心观和尚
'ning'qiang'dao 宁强盗
'ning'shi'yi'jian 宁氏一剑
'ning'shou'gong 宁寿宫
'ning'wan'wo 宁完我
'ning'xue'shen'zhua 凝血神抓
'ning'zhong'ze 宁中则
'niu'huang'xi'jiao'san 牛黄犀角散
'niu'huang'xue'jie'dan 牛黄血竭丹
'niu'jia'cun 牛家村
'niu'mao'zhen'jie'yao 牛毛针解药
'nong'fu 农夫
'nong'fu 农妇
'nong'yu'chui'xiao 弄玉吹箫
'nu'er'hai 努儿海
'nv'mao'lang'cai'zhu'wan'hu 女貌郎才珠万斛
'ou'yang'feng 欧阳峰
'ou'yang'feng 欧阳锋
'ou'yang'gong'zheng 欧阳公政
'ou'yang'ke 欧阳克
'ou'yang'mu'zhi 欧阳牧之
'pai'huai'kong'gu 徘徊空谷
'pan'gen'cuo'jie'shi'ba'fu 盘根错节十八斧
'pan'gong'she'diao 盘弓射雕
'pan'guan'fan'bu 判官翻簿
'pan'hui'chu'bi'luo 盘回出壁箩
'pan'tian'geng 潘天耕
'pan'xian'sheng 潘先生
'pan'xiu'da 潘秀达
'pang'fu'ren 胖妇人
'pang'gai 胖丐
'pang'shang'ren 胖商人
'pang'tou'tuo 胖头陀
'pang'zi 胖子
'pao'ding'jie'niu'zhang 庖丁解牛掌
'pao'zhuan'yin'yu 抛砖引玉
'pei'jiang'jun'shi 裴将军诗
'peng'can'jiang 彭参将
'peng'cheng'wan'li 鹏程万里
'peng'lian'hu 彭连虎
'peng'san'chun 彭三春
'peng'ying'yu 彭莹玉
'peng'zhang'lao 彭长老
'pi'dao 皮岛
'pi'kang'shi 批亢式
'pi'kong'zhang 劈空掌
'pi'li'quan 霹雳拳
'pi'li'zhang 霹雳掌
'pi'pa'zhe'mian 琵琶遮面
'pi'qing'yun 皮清云
'pi'shuang 砒霜
'pi'zhen'wan 砒鸩丸
'piao'miao'feng 缥缈峰
'piao'xue'chuan'yun'zhang 飘雪穿云掌
'ping'a'si 平阿四
'ping'deng'bao'shu'wang 平等宝树王
'ping'fu'ren 平夫人
'ping'gong'tou 平工头
'ping'po'po 平婆婆
'ping'si 平四
'ping'wang'xian 平旺先
'ping'wei 平威
'ping'yang'zhai 平阳寨
'ping'yi'zhi 平一指
'po'bian'shi 破鞭式
'po'dao'shi 破刀式
'po'dun 破盾
'po'jia 破甲
'po'jian'shi 破剑式
'po'jian'shi 破箭式
'po'mo'pi'ma'jian'fa 泼墨披麻剑法
'po'na'gong 破衲功
'po'pai 破牌
'po'qi'shi 破气式
'po'qiang'shi 破枪式
'po'suo'shi 破索式
'po'yu'quan 破玉拳
'po'yue'zhui 破月锥
'po'zhang'shi 破掌式
'pu'guang'si 普光寺
'pu'ji'si 普济寺
'pu'men'zhang'fa 普门杖法
'pu'ti'yuan 菩提院
'pu'zhe'he'shang 朴者和尚
'qi'bo'tao 齐伯涛
'qi'chang'fa 戚长发
'qi'chong'qi'hua'gao 七虫七花膏
'qi'chong'ruan'jin'san 七虫软筋散
'qi'fang 戚芳
'qi'jia'jian 祁家剑
'qi'liu'san 祁六三
'qi'luo'nuo'fu 齐洛诺夫
'qi'men'san'cai'dao 奇门三才刀
'qi'men'wu'zhuan 奇门五转
'qi'pan'zhao'shi 棋盘招式
'qi'qing'biao 祁清彪
'qi'ren'you'tian 杞人忧天
'qi'shang'quan 七伤拳
'qi'tang'zhu 齐堂主
'qi'tian'biao 祁天彪
'qi'xian'wu'xing'jian'fa 七弦无形剑法
'qi'xin'bao'shu'wang 齐心宝树王
'qi'xin'hai'tang'jie'yao 七心海棠解药
'qi'yuan'kai 齐元凯
'qi'yun 齐云
'qi'zhi'cheng 祁志诚
'qi'zi'mian 齐自勉
'qian'dao'zong'heng 千道纵横
'qian'die'zhang 千跌张
'qian'er'bai 钱二败
'qian'gu'ren'long 千古人龙
'qian'jin'duo'di 千斤堕地
'qian'jun'ya'tuo 千钧压驼
'qian'kun'da'nuo'yi 乾坤大挪移
'qian'lao'ben 钱老本
'qian'li'bu'liu'xing 千里不留行
'qian'li'heng'xing 千里横行
'qian'li'liu'sha 千里流沙
'qian'li'xiao'hun'xiang 千里销魂香
'qian'liu'zhuang 千柳庄
'qian'long'huang'di 乾隆皇帝
'qian'long'tang 潜龙堂
'qian'long'wu'yong 潜龙勿用
'qian'qing'gong 乾清宫
'qian'qing'jian 钱青健
'qian'tong'si 钱通四
'qian'zheng'lun 钱正伦
'qian'zhu'wan'du'shou 千蛛万毒手
'qiang'zhu'shi 抢珠式
'qiao'bi'duan'yun 峭壁断云
'qiao'feng 乔峰
'qiao'fu 乔福
'qiao'gui 俏鬼
'qiao'zhai'zhu 乔寨主
'qiao'zi 樵子
'qin'dong 秦栋
'qin'er 琴儿
'qin'hong'mian 秦红棉
'qin'juan 秦娟
'qin'lao'wu 秦老五
'qin'long'gong 擒龙功
'qin'nai'zhi 秦耐之
'qin'tian'cheng 覃天丞
'qin'wei'bang 秦伟帮
'qin'yun'xiao'zhu 琴韵小筑
'qing'cheng'pai 青城派
'qing'du'fu'ming'gao'yao 清毒复明膏药
'qing'feng 清风
'qing'feng'ge 青风阁
'qing'feng'yin'pei'xia'yao'tai 清风引佩下瑶台
'qing'feng'zhen 青蜂针
'qing'hua 晴画
'qing'hua'ao 情花坳
'qing'jing'an 清静庵
'qing'liang'si 清凉寺
'qing'ling'zi 青灵子
'qing'long'tan 青龙滩
'qing'luo'xiao'shan 轻罗小扇
'qing'shang'xie'hong 轻上斜红
'qing'shou'si 庆寿寺
'qing'song'wang'ting 青松望亭
'qing'tuo'luo'hua'jie'yao 青陀罗花解药
'qing'xin'ning'yi 清心凝意
'qing'xu'dao'ren 清虚道人
'qing'yang'guan 青阳观
'qing'yin'dong 清音洞
'qing'yin'hui'feng 轻吟回风
'qing'yin'xiao'zhuo 清饮小酌
'qing'zi'jiu'da 青字九打
'qiong'tu'mo'lu 穷途末路
'qiu'chu'ji 丘处机
'qiu'qian'chi 裘千尺
'qiu'qian'ren 裘千仞
'qiu'qian'zhang 裘千丈
'qiu'shan'feng 邱山风
'qu'bang'ma'tou'sheng 去傍马头生
'qu'fan'nao'zhi 去烦恼指
'qu'fei'yan 曲非烟
'qu'fu'xiao'ji'gao 去腐消肌膏
'qu'jing'gun'fa 取经棍法
'qu'san 曲三
'qu'sha'gu 曲傻姑
'qu'yang 曲洋
'qu'zou'nai'he 曲走奈何
'quan'guan'qing 全冠清
'quan'jian'nan 泉建男
'quan'jin'fa 全金发
'quan'ming'fu'rong 泉鸣芙蓉
'quan'qiang'dao 全强盗
'quan'zhen'jian'fa 全真剑法
'quan'zhen'jiao 全真教
'qun'xie'pi'yi 群邪辟易
'qun'yu'yuan 群玉院
'ran'mu'dao'fa 燃木刀法
'rao'zhi'rou'jian 绕指柔剑
'ren'chu'zi 人厨子
'ren'fei'yan 任飞燕
'ren'gui'tong'tu 人鬼同途
'ren'shen'yang'rong'wan 人参养荣丸
'ren'tong'wu 任通武
'ren'wo'xing 任我行
'ren'ying'ying 任盈盈
'ri'jing'feng 日精峰
'ri'yue'shen'jiao 日月神教
'rong'cai 荣彩
'rong'zi'ju 容子矩
'rou'er 柔儿
'rou'qing'yuan 柔情院
'rou'yun'jian'shu 柔云剑术
'ru'feng'si'bi 如封似闭
'ru'lai'qian'shou'shi 如来千手式
'ru'ying'sui'xing'tui 如影随形腿
'ruan'shi'zhong 阮士忠
'ruan'xing'zhu 阮星竹
'rui'chu 蕊初
'rui'da'lin 瑞大林
'rui'dong 瑞栋
'rui'fang 瑞芳
'rui'po'po 瑞婆婆
'ruo'ke'lin 若克琳
'sa'duo 萨多
'sai'bei'bai'jia'bao 塞北白家堡
'sai'zong'guan 赛总管
'san'bai'liu'shi'yi'mei'hei'bai'qi'zi'an'qi'shou'fa 三百六十一枚黑白棋子暗器手法
'san'bei'tu'yan'nuo 三杯吐言诺
'san'chong'san'cao'du 三虫三草毒
'san'dou'ping 三斗坪
'san'fen'jian'shu 三分剑术
'san'guang'si 三光寺
'san'hua'ju'ding'zhang'fa 三花聚顶掌法
'san'hua'zhang 散花掌
'san'huan'tao'yue 三环套月
'san'huang'bao'la'wan 三黄宝腊丸
'san'ru'di'yu 三入地狱
'san'sheng'an 三圣庵
'san'sheng'ao 三圣坳
'san'shi'nao'shen'dan 三尸脑神丹
'san'wu'san'bu'shou 三无三不手
'san'wu'wu'ma'yan 三蜈五蟆烟
'san'xiao'xiao'yao'san 三笑逍遥散
'san'xiu'tai 三休台
'san'yan'tou'lin 三燕投林
'san'zhu'shen'zhuang 三铸神装
'sang'bei'wan 桑贝丸
'sang'fei'hong 桑飞虹
'sang'jie 桑结
'sang'kun 桑昆
'sang'la'ba 桑拉巴
'sang'men'gui 丧门鬼
'sang'san'niang 桑三娘
'sang'si 桑斯
'sang'tu'gong 桑土公
'sao'dang'qun'mo 扫荡群魔
'sao'xue'peng'cha 扫雪烹茶
'sao'ye'tui'fa 扫叶腿法
'sha'bao'gang 杀豹岗
'sha'guang'tian 沙广天
'sha'lao'da 沙老大
'sha'meng'ping 莎梦坪
'sha'shen'dang'dao 煞神当道
'sha'shen'gui 煞神鬼
'sha'tian'jiang 沙天江
'sha'tong'tian 沙通天
'shan'cong'ren'mian'qi 山从人面起
'shan'dian'diao'jie'yao 闪电貂解药
'shan'men'hu'fa 山门护法
'shan'ren'du 善人渡
'shan'sun'ting 山荪亭
'shan'wai'qing'yin 山外清音
'shan'xi'tong'jia 山西童家
'shang'bao'zhen 商宝震
'shang'guan 上官
'shang'guan'hong 上官虹
'shang'guan'tie'sheng 上官铁生
'shang'guan'yi'shan 上官毅山
'shang'guan'yun 上官云
'shang'jia'bao 商家堡
'shang'lao'tai 商老太
'shang'qing'guan 上清观
'shang'qing'jian 上清剑
'shang'qing'jian'fa 上清剑法
'shang'qing'quan 上清拳
'shang'shan'jian 尚膳监
'shang'xin'lou 赏心楼
'shang'yang'jian 商阳剑
'shao'chong'jian 少冲剑
'shao'fu 少妇
'shao'he 邵鹤
'shao'lin'chang'quan 少林长拳
'shao'lin'fu'mo'shen'gong 少林伏魔神功
'shao'lin'lao'seng 少林老僧
'shao'lin'pai 少林派
'shao'lin'qin'na'shi'ba'da 少林擒拿十八打
'shao'shang'jian 少商剑
'shao'yan 邵燕
'shao'yang'dan 少阳丹
'shao'ze'jian 少泽剑
'she'dao 蛇岛
'she'diao'ying'xiong'zhuan 射雕英雄传
'she'fu'wai'dao 慑服外道
'she'kou'feng'zhen 蛇口蜂针
'she'li'yuan 舍利院
'she'pan'qing'zhu 蛇磐青竹
'she'pi'zhang 蛇皮张
'she'shen'ya 舍身崖
'she'xing'li'fan 蛇行狸翻
'she'xing'shu'cuan 蛇行鼠窜
'she'yao 蛇药
'shen'cang'shen'yu'ming 深藏身与名
'shen'cheng 沈城
'shen'de'qian 沈德潜
'shen'diao'xia'lv 神雕侠侣
'shen'jie'si 身戒寺
'shen'long'bai'wei 神龙摆尾
'shen'long'jiao 神龙教
'shen'men'shi'san'jian 神门十三剑
'shen'qing'gang 沈青刚
'shen'ren'jun 申人俊
'shen'shan'shang'ren 神山上人
'shen'she'ge 神蛇阁
'shen'tang 参汤
'shen'xing'bai'bian 神行百变
'shen'yin 神音
'shen'zhao'jing 神照经
'shen'zhao'shang'ren 神照上人
'shen'zhi'fan 申志凡
'sheng'feng'zhang 圣峰嶂
'sheng'huo'ling'wu'gong 圣火令武功
'sheng'sheng'zao'hua'dan 生生造化丹
'sheng'si'fu 生死符
'sheng'si'fu'jie'yao 生死符解药
'sheng'si'ling 生死令
'sheng'si'yi'xian 生死一线
'sheng'tian'wan 升天丸
'sheng'yin'shi'tai 圣因师太
'shi'bi'zi 狮鼻子
'shi'biao'tou 史镖头
'shi'bing'guang 史秉光
'shi'bing'wen 史秉文
'shi'bo'wei 史伯威
'shi'bu'sha'yi'ren 十步杀一人
'shi'cheng'liu'long 时乘六龙
'shi'dai'zi 施戴子
'shi'deng'da 史登达
'shi'fo'miao 石佛庙
'shi'guan'hui'ma 石关回马
'shi'hong'shi 史红石
'shi'huo'long 史火龙
'shi'ji'qiang 史季强
'shi'jia'zhi'xiang'gong 释迦掷象功
'shi'jian 侍剑
'shi'jian'ting 试剑亭
'shi'jun 石骏
'shi'lang 施琅
'shi'li 室里
'shi'liang'pai 石梁派
'shi'liao'fu'yi'qu 事了拂衣去
'shi'lin'jian'fa 石廪剑法
'shi'lin'shu'sheng 石廪书声
'shi'ling'wei 施令威
'shi'meng'long 史孟龙
'shi'po'tian 石破天
'shi'po'tian'jing 石破天惊
'shi'qing 石清
'shi'qing'lu 石清露
'shi'sao 石嫂
'shi'shu'gang 史叔刚
'shi'shuang'ying 石双英
'shi'song 史松
'shi'wan'chen 石万嗔
'shi'xiang'mi'hun'san 十香迷魂散
'shi'xiang'ruan'jin'san 十香软筋散
'shi'xiao'cui 史小翠
'shi'zhong'jun 史仲俊
'shi'zhong'meng 史仲猛
'shi'zhong'yu 石中玉
'shi'zi'hou 狮子吼
'shi'zi'shou 十字手
'shou'bei 守备
'shou'gai 瘦丐
'shou'hui'pi'pa 手挥琵琶
'shou'hui'wu'xian 手挥五弦
'shou'kang'gong 寿康宫
'shou'nan'shan 寿南山
'shou'que'shi 守缺式
'shou'shang'ren 瘦商人
'shou'tou'tuo 瘦头陀
'shu'chi 术赤
'shu'dao'nan'pai'fa 蜀道难牌法
'shu'fa'wu'xue 书法武学
'shu'hua'long 舒化龙
'shu'ji 书记
'shu'jian'en'chou'lu 书剑恩仇录
'shu'nv'jian 淑女剑
'shu'qi 舒奇
'shu'shao'qin'hou 树梢擒猴
'shu'sheng 书生
'shu'tong 书僮
'shuang'er 双儿
'shuang'feng'yi 双凤驿
