'a'bo'du 阿卜杜
'fu'li'te'zhong'xin'qiu'guan 福利特中心球馆
'fu'qing'fei 付庆飞
'fu'rui'si'bei 弗瑞斯贝
'fu'si'te 福斯特
'fu'te 福特
'fu'ye 弗耶
'fu'yi'er 福伊尔
'ga'nai'te 伽奈特
'gai'huo'guo 盖火锅
'gai'mao 盖帽
'gan'rao'fa'qiu 干扰罚球
'gan'rao'qiu 干扰球
'gan'rao'ru'qiu 干扰入球
'gan'rao'tou'lan'de'fen 干扰投篮得分
'gang'de 冈德
'gang'de'ti'yu'guan 冈德体育馆
'gao'de 高德
'gao'deng 高登
'gao'wei 高位
'gao'wei'fa'qiu'hu 高位罚球弧
'gao'zhong'lan'qiu'lian'sai 高中篮球联赛
'ge'deng 戈登
'ge'deng'ji'li'sai'ke 戈登吉里塞克
'ge'la'han'mu 格拉汉姆
'ge'la'na'da 格拉纳达
'ge'lan'er'de 格兰尔德
'ge'lan'er'de'ge'lin 格兰尔德格林
'ge'lan'ge 格兰格
'ge'lan'te 格兰特
'ge'lan'te'xi'er 格兰特希尔
'ge'lei 格雷
'ge'lei'ge 格雷格
'ge'lei'ge'ao'deng 格雷格奥登
'ge'lei'ge'ba'ke'na 格雷格巴克纳
'ge'lei'wen'lai'en'si 格雷文莱恩斯
'ge'li'fen 格里芬
'ge'lin 格林
'ge'lun 格伦
'ge'lun'dai'wei'si 格伦戴维斯
'ge'mai'si 戈麦斯
'ge'meng'deng'si'wo'en'si 格蒙登斯沃恩斯
'ge'ren'fan'gui 个人犯规
'ge'ta'te 戈塔特
'ge'ting'gen 哥廷根
'ge'zhong'tong'ji'shu'yu 各种统计术语
'ge'zhong'tou'lan'fang'shi 各种投篮方式
'gen'jian 跟腱
'geng'yi'shi 更衣室
'gong'da'ming 龚大明
'gong'niu 公牛
'gong'niu'dui 公牛队
'gong'song'lin 龚松林
'gou'she'tou'lan 钩射投篮
'gou'shou'tou'lan 钩手投篮
'gu'deng 古登
'gu'li'da'fa 孤立打法
'gu'li'ye 谷立业
'guan'jian'shi'jian 关键时间
'guan'jian'shi'ke 关键时刻
'guan'lan 灌篮
'guan'le 关乐
'guang'dong'hong'yuan 广东宏远
'guang'dong'hong'yuan'dui 广东宏远队
'guang'dong'hua'nan'hu 广东华南虎
'guang'dong'hua'nan'hu'dui 广东华南虎队
'guang'hui 广汇
'guang'hui'dui 广汇队
'guang'sha 广厦
'guang'sha'dui 广厦队
'guang'sha'jian'she 广厦建设
'guang'sha'jian'she'dui 广厦建设队
'gui'ze 规则
'guo'ji'lan'qiu'lian'he'hui 国际篮球联合会
'guo'jia'lan'qiu'lian'meng 国家篮球联盟
'guo'jia'lan'qiu'xie'hui 国家篮球协会
'guo'lei 郭磊
'guo'wang 国王
'guo'wang'dui 国王队
'ha'da'wei 哈达威
'ha'de'sen 哈德森
'ha'fu'li'si 哈弗里斯
'ha'ji'mu 哈基姆
'ha'ji'mu'wa'li'ke 哈基姆瓦里克
'ha'li'sen 哈里森
'ha'li'si 哈里斯
'ha'ling'dun 哈灵顿
'ha'lu'ka'si 哈卢卡斯
'ha'pu'er'jia'li'le'ang 哈普尔加里勒昂
'ha'pu'ling 哈普灵
'ha'sai'er 哈塞尔
'ha'si'le'mu 哈斯勒姆
'ha'te 哈特
'ha'wa'li'si 哈瓦里斯
'ha'wa'li'si'ke'li'te'dun 哈瓦里斯克里特顿
'ha'ye'si 哈耶斯
'hai'de 海德
'hai'mo'fa'er'mu 海默法尔姆
'hai'rui 海瑞
'hai'wu'de 海伍德
'hai'ye'si 海耶斯
'han'lei 韩磊
'han'mi'er'dun 汉密尔顿
'han'shuo 韩硕
'han'si 汉斯
'han'si'dui 汉斯队
'han'ze'wa'si'te 汉泽瓦斯特
'hang'kong'zhong'xin 航空中心
'hao'si 豪斯
'hao'ye'si 豪耶斯
'he'ben 何奔
'he'er'man 赫尔曼
'he'er'wei 赫尔维
'he'er'wei'la'mi'zha'na 赫尔维拉米扎纳
'he'lan'dan'bo'shi'ai'fei'er'ta 荷兰丹博施埃菲尔塔
'he'lan'han'ze'wa'si'te 荷兰汉泽瓦斯特
'he'li'fang'shou'wei'zhi 合理防守位置
'he'luo'na'a'ka'si'wa'yi 赫罗纳阿卡斯瓦伊
'he'ning 何宁
'he'tong'qi'man 合同期满
'he'tong'qi'man'de'yun'dong'yuan 合同期满的运动员
'hei'shan'gong'he'guo'bu'da'nuo'si'te 黑山共和国布达诺斯特
'heng'te 亨特
'hong'he 红河
'hong'he'dui 红河队
'hong'yuan 宏远
'hong'yuan'dui 宏远队
'hong'zha'ji 轰炸机
'hong'zha'ji'dui 轰炸机队
'hou'bei'qiu'yuan 后备球员
'hou'bing 候冰
'hou'chang 后场
'hou'chang'lan'ban 后场篮板
'hou'wei'zu 后卫组
'hou'yang'shi'tiao'tou 后仰式跳投
'hou'yang'tou'lan 后仰投篮
'hu'an 胡安
'hu'an'ka'luo'si'na'wa'luo 胡安卡洛斯纳瓦罗
'hu'guang 胡光
'hu'ke 胡克
'hu'ren 湖人
'hu'ren'dui 湖人队
'hu'xue'feng 胡雪峰
'hua'lai'shi 华莱士
'hua'sheng'dun'guo'hui 华盛顿国会
'hua'sheng'dun'guo'hui'dui 华盛顿国会队
'hua'sheng'dun'hua'sheng'dun'guo'hui 华盛顿华盛顿国会
'hua'sheng'dun'hua'sheng'dun'guo'hui'dui 华盛顿华盛顿国会队
'hua'sheng'dun'qi'cai 华盛顿奇才
'hua'sheng'dun'qi'cai'dui 华盛顿奇才队
'huai'te 怀特
'huan'ren 换人
'huan'shou'yun'qiu 换手运球
'huang'feng 黄蜂
'huang'feng'dui 黄蜂队
'huang'jia'ma'de'li 皇家马德里
'huang'jin 黄金
'huang'jin'dui 黄金队
'hui'xiong 灰熊
'hui'xiong'dui 灰熊队
'hui'zhong 汇中
'hui'zhong'dui 汇中队
'huo'fu'de 霍弗德
'huo'hua'de 霍华德
'huo'jian 火箭
'huo'jian'dui 火箭队
'huo'li 霍里
'huo'lin'si 霍林斯
'huo'qiu 活球
'huo'sai 活塞
'huo'sai'dui 活塞队
'huo'xuan'xin'xiu 获选新秀
'ji'ben'zhan'shu'pei'he 基本战术配合
'ji'bu'sen 吉布森
'ji'chen 积臣
'ji'de 基德
'ji'di'chuan'qiu 击地传球
'ji'er 吉尔
'ji'er'bo'te 吉尔伯特
'ji'er'bo'te'a'li'na'si 吉尔伯特阿里纳斯
'ji'er'fu'de're'huo 吉尔福德热火
'ji'fen'tai 记分台
'ji'fu 基辅
'ji'hou'sai 季后赛
'ji'la'ba'le 吉拉巴勒
'ji'le 季乐
'ji'li 基利
'ji'li'ke'wo'er 基利科沃尔
'ji'li'lian'ke 基里连科
'ji'li'luo 基里洛
'ji'li'luo'fei'shen'ke 基里洛费申科
'ji'li'sai'ke 吉里塞克
'ji'lin'dong'bei'hu 吉林东北虎
'ji'lin'dong'bei'hu'dui 吉林东北虎队
'ji'lin'tong'gang 吉林通钢
'ji'lin'tong'gang'dui 吉林通钢队
'ji'lu'tai 记录台
'ji'nuo'bi'li 吉诺比利
'ji'sai 季赛
'ji'sen'a'wei'tuo'si 吉森阿维托斯
'ji'shu'fan'gui 技术犯规
'ji'shu'tong'ji 技术统计
'ji'shu'tong'ji'zhi'biao 技术统计指标
'ji'si 基斯
'ji'si'bo'gan'si 基斯博甘斯
'ji'weng 基翁
'ji'weng'du'lin 基翁杜林
'jia'ba'you'sa 贾巴尤萨
'jia'bi 加比
'jia'bi'pu'rui'te 加比普瑞特
'jia'bo 嘉伯
'jia'bo'mo'nei'te 嘉伯莫内特
'jia'de'na 加德纳
'jia'dong'zuo 假动作
'jia'la'ta'sa'lei 加拉塔萨雷
'jia'li 加里
'jia'li'de 贾里德
'jia'li'de'du'de'li 贾里德杜德利
'jia'li'di 加里蒂
'jia'li'pei'dun 加里佩顿
'jia'li'qi 贾里奇
'jia'lun 贾伦
'jia'lun'ke'lin'si 贾伦科林斯
'jia'ma'er 贾马尔
'jia'ma'er'ke'lao'fu'de 贾马尔克劳福德
'jia'ma'er'ma'ge'luo'yi'er 贾马尔马格洛伊尔
'jia'ma'er'ting'si'li 贾马尔汀斯利
'jia'ma'li'ao 贾马里奥
'jia'ma'li'ao'mu'en 贾马里奥穆恩
'jia'mi'sen 贾米森
'jia'na'da'hang'kong'zhong'xin 加拿大航空中心
'jia'na'da'hang'kong'zhong'xin'qiu'chang 加拿大航空中心球场
'jia'nan 贾楠
'jia'nei'te 加内特
'jia'qi 贾奇
'jia'rui'de 贾瑞德
'jia'rui'de'jie'fu'li'si 贾瑞德杰弗里斯
'jia'sen 贾森
'jia'sen'ha'te 贾森哈特
'jia'sen'ji'de 贾森基德
'jia'sen'ka'bo'nuo 贾森卡波诺
'jia'sen'ke'lin'si 贾森科林斯
'jia'sen'li'cha'de'sen 贾森理查德森
'jia'sen'ma'ke'xi'er 贾森马克希尔
'jia'sen'shi'mi'si 贾森史密斯
'jia'sen'te'li 贾森特里
'jia'sen'wei'lian'mu'si 贾森威廉姆斯
'jia'shi'sai 加时赛
'jia'si'ting 贾斯汀
'jia'si'ting'bu'lang 贾斯汀布朗
'jia'si'ting'wei'lian'mu'si 贾斯汀威廉姆斯
'jia'suo'er 加索尔
'jia'wei'si 贾维斯
'jia'wei'si'hai'ye'si 贾维斯海耶斯
'jia'zu'li'qi 加祖里奇
'jian'ni'nuo 简尼诺
'jian'ni'nuo'pa'ke 简尼诺帕科
'jiang'ming 姜明
'jiang'nan 姜楠
'jiang'su'da'hua 江苏大华
'jiang'su'da'hua'dui 江苏大华队
'jiang'su'long 江苏龙
'jiang'su'long'dui 江苏龙队
'jiao'cha'yun'qiu'guo'ren 交叉运球过人
'jiao'jian 焦健
'jiao'lian 教练
'jiao'ti'qiu 脚踢球
'jie'fu 杰夫
'jie'fu 杰弗
'jie'fu'fu'si'te 杰弗福斯特
'jie'fu'ge'lin 杰夫格林
'jie'fu'li'si 杰弗里斯
'jie'fu'mai'jin'ni'si 杰夫麦金尼斯
'jie'fu'sen 杰弗森
'jie'fu'xun 杰弗逊
'jie'jun 接军
'jie'ke 杰克
'jie'ke'ni'mu'bo'ke 捷克尼姆波克
'jie'ke'wo'si'ku'er 杰克沃斯库尔
'jie'ke'xun 杰克逊
'jie'la'er'de 杰拉尔德
'jie'la'er'de'hua'lai'shi 杰拉尔德华莱士
'jie'li 杰里
'jie'li'si'ta'ke'hao'si 杰里斯塔克豪斯
'jie'luo'mu 杰罗姆
'jie'luo'mu'zhan'mu'si 杰罗姆詹姆斯
'jie'ma'li'ao 杰马里奥
'jie'ma'li'ao'dai'wei'sen 杰马里奥戴维森
'jie'mei'yin 杰梅因
'jie'mei'yin'ao'ni'er 杰梅因奥尼尔
'jie'mi'er 杰米尔
'jie'mi'er'ni'er'sen 杰米尔尼尔森
'jie'mu'sen 杰姆森
'jie'rui'te 杰瑞特
'jie'rui'te'jie'ke 杰瑞特杰克
'jin'gong'dui'yuan'chong'zhuang'ju'you'he'li'fang'shou'wei'zhi'qie'mei'you'yi'dong'de'fang'shou'dui'yuan'de'fan'gui 进攻队员冲撞具有合理防守位置且没有移动的防守队员的犯规
'jin'gong'fang'chi'qiu'qiu'yuan'bei'dui'lan'kuang'dan'chi'dui'fang'fang'shou'qiu'yuan 进攻方持球球员背对篮框单吃对方防守球员
'jin'gong'fang'chi'qiu'qiu'yuan'de'chuan'qie'zhan'shu 进攻方持球球员的传切战术
'jin'gong'fang'gan'rao'tou'lan'de'fen 进攻方干扰投篮得分
'jin'gong'fang'shi'miao'zhong'nei'wei'dai'qiu'guo'zhong'chang 进攻方十秒钟内未带球过中场
'jin'gong'fang'yi'yun'qiu'fang'shi'xiao'hao'diao'bi'sai'suo'sheng'xia'shi'jian 进攻方以运球方式消耗掉比赛所剩下时间
'jin'gong'fang'yi'yun'qiu'huo'chuan'qiu'fang'shi'xiao'hao'diao'bi'sai'suo'sheng'xia'shi'jian 进攻方以运球或传球方式消耗掉比赛所剩下时间
'jin'gong'fang'zuo'yan'hu'qiu'yuan'de'dang'qie'zhan'shu 进攻方做掩护球员的挡切战术
'jin'gong'qiu'yuan 进攻球员
'jin'gong'wei'li 进攻违例
'jin'kuai 金块
'jin'li'peng 金立鹏
'jin'qu 禁区
'jin'qu'nei'lan'kuang'xia'de'xiao'yuan'quan'qu'yu 禁区内篮框下的小圆圈区域
'jin'yu 金隅
'jin'yu'dui 金隅队
'jin'zhou'yong'shi 金州勇士
'jin'zhou'yong'shi'dui 金州勇士队
'jin'zi'ta 金字塔
'jin'zi'ta'qiu'chang 金字塔球场
'jing'ji'chang 竞技场
'jing'ji'ren 经纪人
'ju'hai'feng 鞠海峰
'ju'peng 鞠鹏
'jue'jin 掘金
'jue'jin'dui 掘金队
'jue'shi 爵士
'jue'shi'dui 爵士队
'ka'bo'nuo 卡波诺
'ka'di'na'er 卡迪纳尔
'ka'di'nuo 卡蒂诺
'ka'di'nuo'mo'bu'li 卡蒂诺莫布里
'ka'er 卡尔
'ka'er'di'lun 卡尔迪伦
'ka'er'lan'de'li 卡尔兰德里
'ka'er'lang'de'li 卡尔朗德里
'ka'er'wen 卡尔文
'ka'er'wen'bu'si 卡尔文布斯
'ka'er'wen'mai'er'si 卡尔文迈尔斯
'ka'le'fu 卡勒夫
'ka'li'mu 卡里姆
'ka'li'mu'la'shi 卡里姆拉什
'ka'long 卡龙
'ka'long'ba'te'le 卡龙巴特勒
'ka'luo 卡洛
'ka'luo'si 卡洛斯
'ka'luo'si'a'luo'yue 卡洛斯阿罗约
'ka'luo'si'bu'ze'er 卡洛斯布泽尔
'ka'luo'si'de'er'fei'nuo 卡洛斯德尔菲诺
'ka'ma'la 卡马拉
'ka'man 卡曼
'ka'mei'long 卡梅隆
'ka'mei'long'an'dong'ni 卡梅隆安东尼
'ka'na'li'ya 卡那里亚
'ka'nei 卡内
'ka'sai'er 卡塞尔
'ka'shan 喀山
'ka'te 卡特
'ka'wei 卡位
'ka'ya'pa 卡亚帕
'kai'er 凯尔
'kai'er'luo'li 凯尔罗里
'kai'er'te'ren 凯尔特人
'kai'er'te'ren'dui 凯尔特人队
'kai'li 凯利
'kai'li'wei'te'ni 凯利威特尼
'kai'sai'er'jiang 凯赛尔江
'kai'tuo'zhe 开拓者
'kai'tuo'zhe'dui 开拓者队
'kai'wen 凯文
'kai'wen'ao'li 凯文奥利
'kai'wen'du'lan'te 凯文杜兰特
'kai'wen'jia'nei'te 凯文加内特
'kai'wen'ma'ding 凯文马丁
'kan'bi 坎比
'kan'tu 坎图
'kang'li 康利
'kao'bi 考比
'kao'bi'ka'er 考比卡尔
'kao'jin'jin'qu'ding'duan'zhi'san'fen'xian'fu'jin 靠近禁区顶端之三分线附近
'kao'na'si'sa'er'ji'li'si 考那斯萨尔吉利斯
'ke'bi 科比
'ke'bi'bu'lai'en'te 科比布莱恩特
'ke'chang'bi'sai 客场比赛
'ke'dui 客队
'ke'er'ke 科尔克
'ke'er'ke'si'nai'de 科尔克斯耐德
'ke'er'man 科尔曼
'ke'er'si'di'qi 克尔斯蒂奇
'ke'ke 柯克
'ke'ke'xin'li'qi 柯克辛里奇
'ke'la'ke'si'dun 克拉克斯顿
'ke'lai'meng 克莱蒙
'ke'lao'fu'de 克劳福德
'ke'lei'ge 克雷格
'ke'lei'ge'shi'mi'si 克雷格史密斯
'ke'lei'sa 科雷萨
'ke'li 科里
'ke'li'bu'lu'er 科里布鲁尔
'ke'li'fu'lan'pan'ni'zhe 克利夫兰叛逆者
'ke'li'fu'lan'pan'ni'zhe'dui 克利夫兰叛逆者队
'ke'li'fu'lan'qi'shi 克里夫兰骑士
'ke'li'fu'lan'qi'shi'dui 克里夫兰骑士队
'ke'li'ma'gai'di 科里马盖蒂
'ke'li'sen 科里森
'ke'li'si 克里斯
'ke'li'si 科利斯
'ke'li'si'bao'luo 克里斯保罗
'ke'li'si'bo'shen 克里斯伯什
'ke'li'si'bo'shen 克里斯波什
'ke'li'si'du'hong 克里斯杜洪
'ke'li'si'ha'fu'li'si 克里斯哈弗里斯
'ke'li'si'ka'man 克里斯卡曼
'ke'li'si'li'cha'de 克里斯理查德
'ke'li'si'mi'mu 克里斯米姆
'ke'li'si'wei'bo 克里斯韦伯
'ke'li'si'wei'er'kao'ke'si 克里斯韦尔考克斯
'ke'li'si'wei'lian'mu'sen 科利斯威廉姆森
'ke'li'te'dun 克里特顿
'ke'lin'si 科林斯
'ke'long'jiu'jiu'ren 科隆九九人
'ke'long'jiu'shi'jiu'ren 科隆九十九人
'ke'lun'na 克伦纳
'ke'lun'na'a'zu'bu'ke 克伦纳阿祖布克
'ke'luo'di'ya'sa'ge'le'bu'xi'bo'na 克罗地亚萨格勒布希波纳
'ke'luo'di'ya'zha'da'er 克罗地亚扎达尔
'ke'luo'xi'er 克罗希尔
'ke'si'ta 科斯塔
'ke'si'ta'pei'luo'wei'qi 科斯塔佩罗维奇
'ke'te 柯特
'ke'te'ni 科特尼
'ke'te'ni'xi'mu'si 科特尼希姆斯
'ke'te'tuo'ma'si 柯特托马斯
'ke'wo'er 科沃尔
'ke'xi 科西
'ke'xi'ya'ge'bu'sen 科西雅各布森
'ken'de'li'ke 肯德里克
'ken'de'li'ke'pa'jin'si 肯德里克帕金斯
'ken'ni 肯尼
'ken'ni'tuo'ma'si 肯尼托马斯
'ken'sai 肯塞
'ken'yang 肯扬
'ken'yang'ma'ding 肯扬马丁
'ken'yue'han'xun 肯约翰逊
'kong'qiu'hou'wei 控球后卫
'kong'xin'qiu 空心球
'kong'xin'qiu'ru'lan 空心球入篮
'kong'zhong'jie'li 空中接力
'ku'ke 库克
'ku'li 库里
'kua'mei 夸梅
'kua'mei'bu'lang 夸梅布朗
'kua'xia'yun'qiu 胯下运球
'kuai'chuan 快船
'kuai'chuan'dui 快船队
'kuai'gong 快攻
'kuai'gong'shi'chang'chuan 快攻时长传
'kuai'su'tu'po 快速突破
'kuai'ting 快艇
'kuai'yao'fan'man'li'chang 快要犯满离场
'kuang'meng'guan'lan 狂猛灌篮
'kun'ting 昆廷
'kun'ting'li'cha'de'sen 昆廷理查德森
'kun'ting'luo'si 昆廷罗斯
'kun'xi 昆西
'kun'xi'dao'bi 昆西道比
'kuo'chong'qiu'dui 扩充球队
'la'de'ma'nuo'wei'qi 拉德马诺维奇
'la'duo'si'la'fu 拉多斯拉夫
'la'duo'si'la'fu'nei'si'te'luo'wei'qi 拉多斯拉夫内斯特洛维奇
'la'fu 拉夫
'la'fu'a'er'si'tong 拉夫阿尔斯通
'la'fu'lun'ci 拉弗伦茨
'la'gan'shi'tou'lan 拉杆式投篮
'la'jia 拉加
'la'jia'bei'er 拉加贝尔
'la'jian 拉简
'la'jian'lang'duo 拉简朗多
'la'la'dui 啦啦队
'la'li 拉里
'la'li'xiu'si 拉里休斯
'la'ma'er 拉马尔
'la'ma'er'ao'duo'mu 拉马尔奥多姆
'la'ma'ku'si 拉马库斯
'la'ma'ku'si'a'er'de'li'qi 拉马库斯阿尔德里奇
'la'meng 拉蒙
'la'meng'sai'shen'si 拉蒙塞申斯
'la'mi'zha'na 拉米扎纳
'la'ren'fan'gui 拉人犯规
'la'sha'de 拉沙德
'la'sha'de'liu'yi'si 拉沙德刘易斯
'la'shi 拉什
'la'shou 拉手
'la'shou'fan'gui 拉手犯规
'la'si'mu 拉斯姆
'la'te'li'fu 拉特利夫
'la'tuo'wei'ya'li'jia 拉脱维亚里加
'la'tuo'wei'ya'wen'si'bi'er'si 拉脱维亚文斯比尔斯
'la'xi'de 拉希德
'la'xi'de'hua'lai'shi 拉希德华莱士
'la'xi'de'mai'ken'ci 拉希德麦肯茨
'la'xi'mu 拉希姆
'la'xiu 拉休
'la'xiu'ba'te'le 拉休巴特勒
'lai'en 莱恩
'lai'en'bo'wei 莱恩波维
'lai'si 莱斯
'lai'te 赖特
'lan'ban 篮板
'lan'ban'qiu 篮板球
'lan'de'li 兰德里
'lan'di 兰迪
'lan'di'fu'ye 兰迪弗耶
'lan'duo'fu 兰多夫
'lan'duo'fu'mo'li'si 兰多夫莫里斯
'lan'kuang 篮框
'lan'kuang 篮筐
'lan'qiu'lian'meng 篮球联盟
'lan'qiu'lian'sai 篮球联赛
'lan'qiu'ming'ren'tang 篮球名人堂
'lan'qiu'shu'yu 篮球术语
'lan'qiu'yun'dong'guan'li'zhong'xin 篮球运动管理中心
'lan'quan 篮圈
'lan'wai'kong'xin'qiu 篮外空心球
'lan'wang 篮网
'lan'xia 篮下
'lan'xia'ka'wei 篮下卡位
'lan'xia'san'miao'zhong 篮下三秒钟
'lang'de'li 朗德里
'lang'duo 朗多
'lao'niao 老鸟
'lao'niao'qiu'yuan 老鸟球员
'lao'ying 老鹰
'lao'ying'dui 老鹰队
'lao'zi'xie'ding 劳资协定
'le'a'fu'er 勒阿弗尔
'le'bu'lang 勒布朗
'le'bu'lang'zhan'mu'si 勒布朗詹姆斯
'le'mang 勒芒
'le'wo'ku'sen 勒沃库森
'lei'a'lun 雷阿伦
'lei'di'ke 雷迪克
'lei'ji 雷吉
'lei'ji'ai'wen'si 雷吉埃文斯
'lei'meng'de 雷蒙德
'lei'meng'de'fa'er'dun 雷蒙德法尔顿
'lei'na'de 雷纳德
'lei'na'de'ba'ke'man 雷纳德巴克曼
'lei'na'de'ke'er'si'di'qi 雷纳德克尔斯蒂奇
'leng'dong 冷冬
'li'ai'jun 李爱军
'li'an 里安
'li'an'huo'lin'si 里安霍林斯
'li'cha'de 理查德
'li'cha'de'han'mi'er'dun 理查德汉密尔顿
'li'cha'de'jie'fu'sen 理查德杰弗森
'li'cha'de'sen 理查德森
'li'de 里德
'li'de'nuo 里德诺
'li'ding'tou'lan 立定投篮
'li'dong'liang 李栋梁
'li'fu 里夫
'li'fu'la'fu'lun'ci 里夫拉弗伦茨
'li'guang 李光
'li'hang 李航
'li'hou'yin 李厚银
'li'ji 里基
'li'ji'dai'wei'si 里基戴维斯
'li'jia 里加
'li'jian'zhou 李建周
'li'jun 李俊
'li'ke 李克
'li'ke 李可
'li'lin 李林
'li'meng 李萌
'li'na'si 李纳斯
'li'na'si'ke'lei'sa 李纳斯科雷萨
'li'nan 李楠
'li'tao 李涛
'li'tao'wan'kao'na'si'sa'er'ji'li'si 立陶宛考那斯萨尔吉利斯
'li'tao'wan'wei'er'niu'si 立陶宛维尔纽斯
'li'tao'wan'xi'ao'li'ai 立陶宛希奥利埃
'li'ti'suo'er'suo'ni'ka 里替索尔索尼卡
'li'wen'si'dun 利文斯顿
'li'xiang 李翔
'li'xiao'xu 李晓旭
'li'yi'ding 李一丁
'lian'bai'chang'shu 连败场数
'lian'bai'ji'lu 连败纪录
'lian'fang'fang'shou 联防防守
'lian'fang'le 联防了
'lian'he'zhong'xin 联合中心
'lian'he'zhong'xin'qiu'guan 联合中心球馆
'lian'meng 联盟
'lian'sheng'chang'shu 连胜场数
'lian'sheng'ji'lu 连胜纪录
'lian'xu'bu'sheng'chang'shu 连续不胜场数
'lian'xu'bu'sheng'ji'lu 连续不胜记录
'liang'bu'zhan 两不沾
'liang'ci'yun'qiu 两次运球
'liang'fen'qiu 两分球
'liang'shuang 两双
'liang'wei 梁伟
'liang'xiang'ji'shu'tong'ji'zhi'biao'da'liang'wei'shu 两项技术统计指标达两位数
'liao'ning'lie'ren 辽宁猎人
'liao'ning'lie'ren'dui 辽宁猎人队
'liao'ning'pan'pan 辽宁盼盼
'liao'ning'pan'pan'dui 辽宁盼盼队
'lie'ying 猎鹰
'lie'ying'dui 猎鹰队
'lin'chen'yao 林晨耀
'lin'de'luo 林德罗
'lin'de'luo'ba'bo'sa 林德罗巴博萨
'lin'sai 林赛
'lin'sai'heng'te 林赛亨特
'ling'dao'yi'zhang'zhun'bi'ye'zheng'shu 领到一张准毕业证书
'ling'xian'qiu'dui 领先球队
'liu'bie'er'qi'sheng'li'zhe 柳别尔齐胜利者
'liu'gang 刘钢
'liu'hai'long 刘海龙
'liu'hao 刘昊
'liu'jia 刘佳
'liu'jiu'long 刘久龙
'liu'li'ming 刘力铭
'liu'ma 溜马
'liu'peng 柳鹏
'liu'tao 刘涛
'liu'tie 刘铁
'liu'wei 刘炜
'liu'wei 柳伟
'liu'wei'wei 刘维伟
'liu'xiang'tao 刘相韬
'liu'xiao'yu 刘晓宇
'liu'xu 刘旭
'liu'yang 刘扬
'liu'yi'si 刘易斯
'liu'yu 刘宇
'liu'zhuo 刘卓
'lou'yan'dong 娄延东
'lu'ben 鲁本
'lu'ben'pa'te'sen 鲁本帕特森
'lu'bu'er'ya'na 卢布尔雅纳
'lu'de'wei'xi'bao 路德维希堡
'lu'di 鲁迪
'lu'di'gai 鲁迪盖
'lu'fen 鲁芬
'lu'kao'yi'xue'yuan 卢考伊学院
'lu'ke 鲁克
'lu'ke 卢克
'lu'ke'li'de'nuo 鲁克里德诺
'lu'ke'wo'dun 卢克沃顿
'lu'se 卢瑟
'lu'se'hai'de 卢瑟海德
'lu'wei 卢伟
'lu'yao 路遥
'lu'yi'si 路易斯
'lu'yi'si'si'ke'la 路易斯斯科拉
'lu'yi'si'wei'lian'mu'si 路易斯威廉姆斯
'luo'ang 罗昂
'luo'bi 罗比
'luo'bi'qiao'yi'nuo 罗比乔伊诺
'luo'bin'xun 罗宾逊
'luo'bo'te 罗伯特
'luo'bo'te'huo'li 罗伯特霍里
'luo'bo'te'si'wei'fu'te 罗伯特斯威福特
'luo'de'li'ge'si 罗德里格斯
'luo'de'ni 罗德尼
'luo'de'ni'ka'nei 罗德尼卡内
'luo'de'ni'si'ta'ji 罗德尼斯塔基
'luo'en 罗恩
'luo'en'a'tai'si'te 罗恩阿泰斯特
'luo'er 罗尔
'luo'er'deng 罗尔邓
'luo'ge 罗格
'luo'ge'ma'sen 罗格马森
'luo'ke 罗克
'luo'ke'wu'ji'qi 罗克乌基奇
'luo'li 罗里
'luo'lun 洛伦
'luo'lun'cen 洛伦岑
'luo'lun'cen'lai'te 洛伦岑赖特
'luo'lun'wu'zi 洛伦伍兹
'luo'ma'luo'tuo'ma'di'ka 罗马罗托马蒂卡
'luo'ma'ni'ya'a'si'suo'fu'te 罗马尼亚阿斯索夫特
'luo'na'de 罗纳德
'luo'na'de'du'pu'lei 罗纳德杜普雷
'luo'na'de'du'pu'li 罗纳德杜普里
'luo'na'de'mu'lei 罗纳德穆雷
'luo'ni 罗尼
'luo'ni'bu'lu'er 罗尼布鲁尔
'luo'ni'pu'lai'si 罗尼普莱斯
'luo'ni'tu'li'ya'fu 罗尼图里亚夫
'luo'shan'ji'hu'ren 洛杉矶湖人
'luo'shan'ji'hu'ren'dui 洛杉矶湖人队
'luo'shan'ji'kuai'chuan 洛杉矶快船
'luo'shan'ji'kuai'chuan'dui 洛杉矶快船队
'luo'si 罗斯
'luo'xu'dong 罗旭东
'luo'yi 罗伊
'luo'yi'er 罗伊尔
'luo'yi'er'yi'wo'yi 罗伊尔伊沃伊
'luo'zhi 罗智
'lv'xiao'ming 吕晓明
'lv'yan 吕岩
'ma'bu'li 马布里
'ma'chao 马超
'ma'ci 马刺
'ma'ci'dui 马刺队
'ma'de'li'ai'si'tu'dian'te'si 马德里埃斯图典特斯
'ma'di 马蒂
'ma'di'ke'lin'si 马蒂科林斯
'ma'ding 马丁
'ma'er'ku'si 马尔库斯
'ma'er'ku'si'wei'lian'mu'si 马尔库斯威廉姆斯
'ma'er'xin 马尔辛
'ma'er'xin'ge'ta'te 马尔辛戈塔特
'ma'gai'di 马盖蒂
'ma'ge'luo'yi'er 马格洛伊尔
'ma'ke 马克
'ma'ke 马科
'ma'ke'bei'li'nei'li 马克贝里内利
'ma'ke'bu'lang'te 马克布朗特
'ma'ke'jia'li'qi 马科贾里奇
'ma'ke'mai'de'sen 马克麦德森
