'ai'dui'le 哀对乐
'lou'dui'ge 楼对阁
'lou'ge'tian'liang'feng'sa'sa 楼阁天凉风飒飒
'lou'qian'gong'zi 楼前公子
'lou'wai'wan'shan'qian'ren 楼外晚山千仞
'lu'ban'ti 鲁班梯
'lu'cao'dui'shuang'jian 露草对霜菅
'lu'fei'dui'yu'yue 鹭飞对鱼跃
'lu'ju'dui'zhuang'chun 陆橘对庄椿
'lu'li'dui'yu'qian 鹭立对鱼潜
'lu'li'liao'hua'tan 鹭立蓼花滩
'lu'li'ya'tou'sha 鹭立崖头沙
'lu'sheng'yi'ya 橹声咿轧
'lu'tao'yun'nen'lian 露桃匀嫩脸
'lu'yi'hao'hua'pan'yue'xian 露浥好花潘岳县
'lu'yin'dui'qi'huan 鲁隐对齐桓
'lu'zhong'dui'yan'wei 露重对烟微
'lu'zhong'jian'yao'huo 炉中煎药火
'lu'zhuan'zhuan 露漙漙
'luan'qi'di'yi'jin'wang'tian 栾棋第一晋王恬
'lun'zhu'qian'shen 论著钱神
'luo'ji'qing'nong 螺髻青浓
'luo'ri'dui'liu'xia 落日对流霞
'luo'xu'dui'you'si 落絮对游丝
'luo'yang'cai'zi'zhe'chang'sha 洛阳才子谪长沙
'luo'ye'wu'feng'gao'fu'xia 落叶舞风高复下
'lv'an'dui'hong'xi 绿暗对红稀
'lv'cao'dui'qing'ping 绿草对青萍
'lv'chuang'dui'zhu'hu 绿窗对朱户
'lv'dui'ma 缕对麻
'lv'kun'ke'fang'jing'ba'shui 驴困客方经灞水
'lv'lv'qing'yan'fang'cao'du 缕缕轻烟芳草渡
'lv'qian'dao 吕虔刀
'lv'sang'ying'mu 绿桑盈亩
'lv'sha'yuan'shang'mu'tong'gui 绿莎原上牧童归
'lv'ye'geng'fu'chun'ju'si 绿野耕夫春举耜
'lv'ye'jin'gong'tang 绿野晋公堂
'lv'zhu'dui'cang'song 绿竹对苍松
'ma'che'lin'wei'bi'lian'po 马车蔺为避廉颇
'ma'qian'xiu'shi'ji 马迁修史记
'ma'shou'bu'rong'gu'zhu'kou 马首不容孤竹扣
'ma'sui'dui'yang'xin 马燧对羊欣
'mai'sui'dui'he'miao 麦穗对禾苗
'mai'sui'dui'sang'bao 麦穗对桑苞
'man'lan'huang'hua'dou'man'jing 漫烂黄花都满径
'man'lao'geng'zhe'shou'zhu 漫劳耕者守株
'man'yuan'hua'liu'ge'zheng'chun 满园花柳各争春
'mao'dui'shan 帽对衫
'mao'she'wu'ren 茅舍无人
'mei'dui'mu 眉对目
'mei'ke'wang 梅可望
'mei'la'shu'wen 美剌殊文
'mei'liu'dui'ku'he 媚柳对枯荷
'mei'nong'yue'huang'hun 梅弄月黄昏
'mei'suan'dui'li'ku 梅酸对李苦
'men'qi'shan'zhen'yan'xiang'gui 闷欹珊枕掩香闺
'men'qian'wu'ke'ye'chang'ju 门前无客曳长裾
'men'wai'da'tou'feng 门外打头风
'meng'jing'xiao'zhen 梦惊晓枕
'meng'jing'zhen'shang'wu'geng'ji 梦惊枕上五更鸡
'meng'li'rong'hua 梦里荣华
'meng'xun'wen'gong'tan'xing'shan 孟训文公谈性善
'mi'dui'xi 密对稀
'mian'you'dui'xin'peng 面友对心朋
'min'sun'dui'zeng'shen 闵损对曾参
'ming'chan'chang'che'ye 明蟾常彻夜
'ming'dui'an 明对暗
'ming'jia'lv'yin'si'shu'ye 命驾吕因思叔夜
'ming'jiang'dui'li'suo 名缰对利锁
'ming'yi'jiang'shuai 命伊将帅
'mo'dui'sheng 墨对绳
'mo'guai'ren'ji'wei'e'hu 莫怪人讥为饿虎
'mo'hu'song'chu'shi 墨呼松处士
'mu'bi'dui'tai'qian 木笔对苔钱
'mu'gu'dui'chen'zhong 暮鼓对晨钟
'mu'song'lou'tou'qian'li'yan 目送楼头千里雁
'mu'zi'dui'yu'weng 牧子对渔翁
'nai'shi'liu'huo'ji 乃士流活计
'nan'er'qi'zhuang 男儿气壮
'nan'mo'cao'qing'xiang'zhen'zhen 南陌草青香阵阵
'nan'pu'ke'gui 南浦客归
'nan'que'chen'ai'sheng'ta'shang 难却尘埃生榻上
'nan'tao'shi'hao'zuo'ji'ying 难逃世号作饥鹰
'nan'wang'ju'lv'cheng'huang 难忘橘绿橙黄
'nei'shi'dui'zhong'shu 内史对中书
'neng'dui'fou 能对否
'ni'ruan'yan'zheng'xian 泥软燕争衔
'nian'nian'chun'qu'shang'hun 年年春去伤魂
'nian'si'qiao 廿四桥
'nian'yin'xu 捻吟须
'niang'xin'pei 酿新醅
'niao'han'jing'ye'yue 鸟寒惊夜月
'niao'jie'jie 鸟喈喈
'niao'yi'chang'sui 鸟翼长随
'niu'dui'ma 牛对马
'niu'lang'du'zhu 牛郎渡渚
'nong'lv'liu'fu'yin 浓绿柳敷阴
'nong'yin'sheng 弄银笙
'nong'zhi'kong'que'shi'jia'qin 侬知孔雀是家禽
'nuan'yan'xiang'ai'ai 暖烟香霭霭
'nv'zi'mei'xian 女子眉纤
'o'cheng'shi'ju 哦成诗句
'ou'duo'li'long'han'xia'zhu 偶夺骊龙颔下珠
'ou'qing'tong'ye 偶擎桐叶
'pan'shuai'dui'piao'xiao 蟠蟀对螵蛸
'pan'yue'bu'wang'qiu'xing'fu 潘岳不忘秋兴赋
'pao'ba'neng'gu'se 匏巴能鼓瑟
'pei'jian'dui'wan'gong 佩剑对弯弓
'pei'zi'dui'yu'qing 佩紫对纡青
'pi'li'dui'hong'ni 霹雳对虹霓
'piao'hu'zhen'zhong'zhi'ke 飘忽枕中之客
'piao'yang'jing'ba'qiu'qian'wu 飘扬竞把秋千舞
'pin'di'dui'chui'jia 品笛对吹笳
'pin'dui'fu 贫对富
'pin'li'mei'gan'li'huo'wei 贫里每甘藜藿味
'pin'xiao'ruan'xian 贫笑阮咸
'ping'tian'tu'shao 平田兔少
'ping'zhan'qing'yin 平展青茵
'po'de'er'tan'niu'xin 破的而探牛心
'po'fu'dui'zheng'pao 破斧对征袍
'po'wu'dui'kong'jie 破屋对空阶
'pu'yu'dui'hun'jin 璞玉对浑金
'qi'chi'bi'shi'ren 栖迟避世人
'qi'dui'zheng 欹对正
'qi'ge'dui'diao'lou 绮阁对雕镂
'qi'hua'dui'yi'hui 奇花对异卉
'qi'hua'sui'yue'zhuan'qing'yin 砌花随月转清阴
'qi'ping'dui'bi'jia 棋枰对笔架
'qi'qi'fang'cao'yuan'wang'sun 萋萋芳草怨王孙
'qi'wu'xuan'bao'yin'nan'shan 岂无玄豹隐南山
'qi'yin'dui'qiang'wo 砌蚓对墙蜗
'qi'zi'dui'sang'yu 杞梓对桑榆
'qi'zi'fen'hei'bai 棋子分黑白
'qian'chi'shui'lian 千尺水帘
'qian'chou'dui'yi'zui 千愁对一醉
'qian'dian'qiang'wei'xiang'lu 千点蔷薇香露
'qian'dui'bai 千对百
'qian'dui'hou 前对后
'qian'kun'he'jiang'yong'gong'mo 乾坤何匠用功磨
'qian'li'ma 千里马
'qian'qu'bai 千取百
'qian'shu'luo'hua'hong 千树落花红
'qian'zi'ce 千字策
'qiang'pan'jia'ren 墙畔佳人
'qiao'hui'dui'chi'wan 巧慧对痴顽
'qie'ke'dui'ti'hu 挈榼对提壶
'qin'dui'se 琴对瑟
'qin'dui'zhao 秦对赵
'qin'ling'yun'heng 秦岭云横
'qin'wang'qin'ji'fou 秦王亲击缶
'qin'zai'fu 琴再抚
'qing'bu'man 青布幔
'qing'cao'an'bian'yu'fu'qu 青草岸边渔父去
'qing'chen'sheng'fan'zeng 轻尘生范甑
'qing'dui'yu 晴对雨
'qing'dui'zhuo 清对浊
'qing'feng'sheng'jiu'she 清风生酒舍
'qing'shen'bei'su'shan 情深悲素扇
'qing'suo'ta 青琐闼
'qing'yan'dui'bai'mei 青眼对白眉
'qing'yan'dui'bai'tou 青眼对白头
'qing'yi'neng'bao'she 青衣能报赦
'qiu'dui'dong 秋对冬
'qiu'feng'na'geng'ye'wen'qiong 秋风那更夜闻蛩
'qiu'han'fu'nian'ji'bian'yi 秋寒妇念寄边衣
'qiu'ju'ao'shuang'kai 秋菊傲霜开
'qiu'leng'jie'shuang'wei 秋冷借霜威
'qiu'liang'wu'duo'ye 秋凉梧堕叶
'qiu'ri'mu'zheng'ren'zhi'ma 秋日牧征人之马
'qiu'shuang'duo'guo'yan 秋霜多过雁
'qiu'tian'han'wai'yan'yong'yong 秋天寒外雁雍雍
'qiu'tian'pan'yue'bin'bian'shuang 秋添潘岳鬓边霜
'qiu'wang'jia'ren 秋望佳人
'qiu'xi'yue'ming 秋夕月明
'qiu'yu'xiao'xiao 秋雨潇潇
'qiu'yu'yi'chuan'qi'ao'zhu 秋雨一川淇澳竹
'qiu'yue'shi'fen'ming 秋月十分明
'qiu'zhao'ji'he'tian 秋沼芰荷天
'qu'fu'yin'tan'lin'she'zao 去妇因探邻舍枣
'qu'shuo'zi'gui'wei'di'po 渠说子规为帝魄
'qu'yan'yi'fang'duan'shi'yan 鸲眼一方端石砚
'qu'yu'dui'lu'si 鸲鹆对鹭鸶
'qu'zhao'chang'xin'he 曲沼长新荷
'qu'zhao'yu'duo 曲沼鱼多
'qu'zhong'hai'yao'jin'chan'tou 曲终还要锦缠头
'qu'zi'chen'jiang 屈子沉江
'quan'dui'mao 犬对猫
'quan'heng'dui'chi'du 权衡对尺度
'quan'hui'dui'jiao'xu 畎浍对郊墟
'quan'ma'dui'ji'tun 犬马对鸡豚
'quan'zi'dui'yang'gao 犬子对羊羔
'que'luo'dui'yu'wang 雀罗对鱼网
'que'ma'han'wen'si'ba'xian 却马汉文思罢献
'ran'ran'bai'yun 冉冉白云
'ran'ran'yi'xi'bing 冉冉一溪冰
'rang'dui'gong 让对恭
'rang'ji'fei'jun'zi'suo'wei 攘鸡非君子所为
'ren'cheng'lian'bi 人称连壁
'ren'chu'ling'nan 人处岭南
'ren'dui'yi 仁对义
'ren'fan'mu'lan'zhou 人泛木兰舟
'ren'jian'qing'shu'dian 人间清暑殿
'ren'wu'di 仁无敌
'ren'yu'lan'tang 人浴兰汤
'ri'ai'yuan'lin'hua'yi'shang 日暧园林花易赏
'ri'chi'feng'nuan 日迟风暖
'ri'dong'sheng 日东生
'ri'dong'sheng'er'yue'xi'chu 日东生而月西出
'ri'guan'dui'tian'jin 日观对天津
'ri'jiang'qing 日将晴
'ri'mu'chang'fei'hong'liao'an 日暮常飞红蓼岸
'ri'nuan'dui'feng'he 日暖对风和
'ri'rong'rong 日融融
'rong'dui'ru 荣对辱
'rong'shang'dui'hui'zhang 蓉裳对蕙帐
'rong'yin'yuan'hong'zhi'xu 荣引鹓鸿之序
'ru'dui'shi 儒对士
'ru'dui'si 如对似
'ruan'ji'jiu'neng'wei'yan'bai 阮籍旧能为眼白
'ruan'tu'qiong 阮途穷
'ruan'zhang'dui'huan'zheng 阮杖对桓筝
'rui'xiang'feng'jing'cai 蕊香蜂竞采
'run'he'dui'lin'quan 润壑对林泉
'sa'sa'qiu'feng 飒飒秋风
'sai'cheng'wen'zou'jiao 塞城闻奏角
'sai'dui'tong 塞对通
'sai'shang'you'hong'xing'yi'guo 塞上有鸿行已过
'san'chi'jian 三尺剑
'san'gu'shi'da 三姑石大
'san'jing'ju'hua'huang 三径菊花黄
'san'nong'di 三弄笛
'san'xian'bian'he'chang'qi'yu 三献卞和尝泣玉
'san'yue'chun'nong 三月春浓
'san'yue'shao'guang 三月韶光
'sha'dui'shui 沙对水
'sha'mao'ban'yan'lin'she'jiu 纱帽半淹邻舍酒
'shan'bu'duan 山不断
'shan'chuan'dui'cao'mu 山川对草木
'shan'dui'shui 山对水
'shan'hu'dui'dai'mao 珊瑚对玳瑁
'shan'ji'ji 山岌岌
'shan'lei'lei 山垒垒
'shan'ming'dui'shui'xiu 山明对水秀
'shan'po'dai 山泼黛
'shan'seng'jiu'yin 山僧久隐
'shan'shi'yong'qing'lan 山市拥晴岚
'shan'si'qing'you 山寺清幽
'shan'song'you'yu'gao 山耸有余高
'shan'tan'ju'xiang'kou'zhong'chi 善探巨象口中齿
'shan'zhong'liang'zai'xiang 山中梁宰相
'shang'liu'feng'yue'zai'chuang'jian 尚留风月在窗间
'shang'shan'dui'cheng'jian 赏善对惩奸
'shang'zhi'dui'zhong'yong 上智对中庸
'shao'dui'duo 少对多
'shao'yao'cong'zhong'hu'die'wu 芍药丛中蝴蝶舞
'shao'yao'dui'fu'rong 芍药对芙蓉
'she'qiao'pian'song'sun 设桥偏送笋
'shen'dui'jiao 蜃对蛟
'shen'dui'qian 深对浅
'shen'gui'chu'luo 神龟出洛
'shen'pi'he'chang'zi'wang'gong 身披鹤氅自王恭
'shen'yuan'luo 深院落
'sheng'dui'se 声对色
'sheng'dui'xian 圣对贤
'sheng'xiao'ming'xi'xi 笙箫鸣细细
'sheng'you'gong'zi 胜游公子
'shi'bei'xi'hui'xie 时辈喜诙谐
'shi'ben'zhong'ni'shan 诗本仲尼删
'shi'bu'wang'yu'duan'wu 事不忘于端午
'shi'cai'jun'yi'bao'can'jun 诗才俊逸鲍参军
'shi'cai'tui'yong'shu 史才推永叔
'shi'ce'dui'shu'jian 史册对书缄
'shi'cheng'liu'yi'bei 诗成六义备
'shi'dan'quan'ma'zhi'lao 誓殚犬马之劳
'shi'dian'dui'xian'jing 释典对仙经
'shi'dui'fei 是对非
'shi'dui'gan 湿对干
'shi'dui'xu 实对虚
'shi'fen'gao'xia 势分高下
'shi'fu'dui'zhong'qun 事父对忠群
'shi'jia'jin'gu'qi'fang'yuan 石家金谷启芳园
'shi'jing'dui'lv'yan 市井对闾阎
'shi'que'dui'jiang'yan 石碏对江淹
'shi'wei'jun'zi'shen'jiao 实为君子神交
'shi'xian'ke'sheng'ya 实闲客生涯
'shi'xing'zi'you'di'fan'zhao 适兴子猷帝泛棹
'shi'yang'shuang'xian 世仰双仙
'shi'yue'dui'zheng'man 使越对征蛮
'shi'zhang'dui'xun'chu 石帐对郇厨
'shi'zhang'jie'wei'jia'dao'yun 施帐解围嘉道韫
'shi'zhi'zhu'li'mao'she 适志竹篱茅舍
'shi'zhong'lu'chang 侍中卢昶
'shi'zhu'chu'shi'jin'si'gan 食猪处士仅思肝
'shi'zu'zhong'xing'yan'ma'wu 世祖中兴延马武
'shou'bo'xie'ao'cong'bi'zhuo 手擘蟹螯从毕卓
'shou'jian'dui'yao'lian 手剑对腰镰
'shu'dui'ba 蜀对巴
'shu'dui'shi 书对史
'shu'gan'yi'gua'du'bi 竖竿以挂犊鼻
'shu'mai'dui'sang'ma 菽麦对桑麻
'shu'mu'dui'niao'jian 鼠目对茑肩
'shu'qian'dui'bi'jia 书签对笔架
'shu'qie'qin'nang 书箧琴囊
'shu'qie'shuo 鼠且硕
'shu'quan'dui'wu'niu 蜀犬对吴牛
'shu'sheng'xi'zhuang'sui'shao'hua 书生惜壮岁韶华
'shu'shui'dui'qin'chuan 蜀水对秦川
'shu'xia'han'jiang'jun 树下汉将军
'shu'yin'dui'chuan'pi 书淫对传癖
'shu'zhao'wu'an 数朝雾暗
'shu'zhi'qu'guan'wen'guang'shou 叔侄去官闻广受
'shu'zi'dai 叔子带
'shuai'liu'nai'qiu'han 衰柳耐秋寒
'shuang'dui'lu 霜对露
'shuang'feng'yi 双凤翼
'shuang'hou'zhen'hong'ai 霜后阵鸿哀
'shuang'hua'man'bin 霜华满鬓
'shuang'ju'shou 霜菊瘦
'shuang'leng'yan'hu'qun 霜冷雁呼群
'shui'an'dui'sha'ting 水岸对沙汀
'shui'bi'jue'yu'xi'jiang 水必决于西江
'shui'chan'chan 水潺潺
'shui'cong'cong 水淙淙
'shui'dui'ni 水对泥
'shui'fu'lan 水浮蓝
'shui'ge'dui'shan'ting 水阁对山亭
'shui'han'yu'bu'yue 水寒鱼不跃
'shui'hu'dui'yan'wei 水浒对岩隈
'shui'jia'qiu'ye'yuan 谁家秋夜圆
'shui'jing'yan 水晶盐
'shui'liu'wu'xian'kuo 水流无限阔
'shui'qian'dui'shan'shen 水浅对山深
'shui'wu'ya 水无涯
'shui'xia'run'er'huo'shang'yan 水下润而火上炎
'shui'xiang'ling 水襄陵
'shui'yan'dui'shan'ji 水雁对山鸡
'shui'yang'bi'liu'li 水漾碧琉璃
'shui'yuan'dui'shan'yao 水远对山遥
'shui'yun'xiang 水云乡
'shui'zhi'ruan'yu'jing'fen'che 谁知阮裕竟焚车
'shun'hao'hua'zhe 吮毫画者
'si'dui'zhu 丝对竹
'si'fu'dui'san'jun 四辅对三军
'si'gui'wang'can'qiang'deng'lou 思归王粲强登楼
'si'ji'dui'san'qiu 四季对三秋
'si'jiang'kong'que'xie'wei'ping 思将孔雀写为屏
'si'ma'dui'an'che 驷马对安车
'si'mu'xie 四目颉
'si'ru'sheng'xian'jue'yu 思入圣贤绝域
'si'si'wei'yu'xing'hua'cun 丝丝微雨杏花村
'si'zhi'yang'zhen'gu'ci'jin 四知杨震固辞金
'song'cheng'jiu'de 颂成酒德
'song'dui'bai 松对柏
'song'dui'ying 送对迎
'song'huan'tui 宋桓魋
'song'shan'dui'qi'zi 松杉对杞梓
'song'xuan'dui'zhu'kan 松轩对竹槛
'song'yu'yu 松郁郁
'song'zong'ji 宋宗鸡
'su'bi'dui'min'yan 俗弊对民岩
'su'dui'chi 速对迟
'su'huo'dui'sai'gang 宿火对塞缸
'su'niao'dui'ming'chong 宿鸟对鸣虫
'su'wu'jie 苏武节
'su'wu'mu'yang 苏武牧羊
'su'zhi'dui'dan'xin 素志对丹心
'su'zi'huang'gang'you'chi'bi 苏子黄岗游赤壁
'su'zi'qiu 苏子裘
'su'zui'dui'yu'cheng 宿醉对余酲
'sui'han'fu'wei'lin 岁旱傅为霖
'sui'leng'song'jun'jie'you'jie 岁冷松筠皆有节
'sui'sui'qiu'lai'qi'hen 岁岁秋来泣恨
'sun'hong'dong'ge'ji'shi'kai 孙弘东阁几时开
'tai'gao'ming'xi'ma 台高名戏马
'tai'gong'she'wei'shui'zhi'yu 太公舍渭水之渔
'tai'shan'wan'ren'shi'yan'yan 泰山万仞势岩岩
'tan'dui'xin 炭对薪
'tan'zhu'dui'xian'yu 探珠对献玉
'tang'li'du 唐李杜
'tang'ru'bo'shi 唐儒博识
'tang'shi'dui'han'shi 唐诗对汉史
'tao'hong'dui'liu'lv 桃红对柳绿
'tao'hua'liu'shui'wu'ling'xi 桃花流水武陵溪
'tao'ji'nv 桃荠女
'tao'lin'niu'yi'fang 桃林牛已放
'tao'tao'san'xia'shui 滔滔三峡水
'tao'zhi'dui'gui'ye 桃枝对桂叶
'tao'zhuo'zhuo 桃灼灼
'ti'xian'dui'wan'tai 剔藓对剜苔
'ti'xiao'shu'niao 啼宵蜀鸟
'tian'bei'que 天北缺
'tian'di'dui'shan'chuan 天地对山川
'tian'han'zou'chui'lv 天寒邹吹律
'tian'hao'hao 天浩浩
'tian'lu'dui'shi'qu 天禄对石渠
'tian'shang'guang'han'gong 天上广寒宫
'tian'tai'sun'chuo'fu 天台孙绰赋
'tian'wen'dui'di'li 天文对地理
'tian'yu'fei'shuang 天欲飞霜
'tian'yu'xiao 天欲晓
'tiao'di'ba'qian'yuan'lu 迢递八千远路
'tiao'geng'bi'yao'yong'yan'mei 调羹必要用盐梅
'ting'pan'you'ren'chi'duan'jian 庭畔有人持短剑
'ting'qian'duo'yi'zhen'xian'pai 庭前多蚁阵先排
'ting'qian'yu'yu'liang'huai 庭前郁郁凉槐
'ting'ye'yin'shuang'cui'nen'se 庭叶因霜摧嫩色
'ting'zhong'gong'nv'zheng'shu'zhuang 听钟宫女正梳妆
'tong'yin'dui'gao'ge 痛饮对高歌
'tou'zan'dui'jie'shou 投簪对结绶
'tu'ci'zao'hang'zhi'ke 途次早行之客
'tu'dui'ao 凸对凹
'tu'duo'chan 兔多毚
'tun'huang'tang'tai'ji'yi'zai 吞蝗唐太冀移灾
'wan'di'dui'qiu'zhen 晚笛对秋砧
'wan'dui'hui 蜿对虺
'wan'juan'shu'rong'xian'ke'lan 万卷书容闲客览
'wan'li'qing'shan'fo'si'you 万里青山佛寺幽
'wan'lv'zai'xin'bao 万虑在心包
'wan'qing'liu'mo'hua'qu 玩情柳陌花衢
'wan'shi'dui'qian'jun 万石对千钧
'wan'tiao'dui'chen'zhuang 晚眺对晨妆
'wan'wan'ye'yue'yi'gou'xian 弯弯夜月一钩纤
'wan'xia'shu'jin'xiu 晚霞舒锦绣
'wan'zhao'dui'qing'kong 晚照对晴空
'wang'gu'dui'lai'jin 往古对来今
'wang'jia'neng'yi'you'wu'xian 王家能乂有巫咸
'wang'lai'ying'lei'yan'shuang'shuang 往来营垒燕双双
'wang'lang'mao 王郎帽
'wang'qing'guan'jue 忘情官爵
'wang'yan'shan'qing'tan 王衍善清谈
'wei'ge'yang'liu'yi'yi 为歌杨柳依依
'wei'guan'dui'hun'jian 卫瓘对浑瑊
'wei'han'chun'gui 惟憾春归
'wei'shang'dui'zhou'kan 魏尚对周堪
'wei'yu'yin'zong 未遇殷宗
'wei'zheng'neng'zhi'jian 魏征能直谏
'wen'gu'sai'bing'fang'zhan'dou 闻鼓塞兵方战斗
'wen'hua'shu'min'jie'cao'yan 闻化蜀民皆草偃
'wen'lang'hua'zhu 文郎画竹
'wen'zai'yan'tong 文在淹通
'wo'fa'dui'xian'ran 握发对掀髯
'wu'cheng'xian 武城弦
'wu'di'dui'san'wang 五帝对三王
'wu'dian'dui'san'fen 五典对三坟
'wu'die'dui'ming'qiong 舞蝶对鸣蛩
'wu'dui'chu 吴对楚
'wu'dui'wen 武对文
'wu'dui'you 无对有
'wu'fu'gong'qi'she 武夫攻骑射
'wu'geng'tian'xiao 五更天晓
'wu'guan'dui'ge'tai 舞馆对歌台
'wu'ji'dui'yan'huan 雾髻对烟鬟
'wu'jian'dui'wei'qi 舞剑对围棋
'wu'ke'zui'ru'ni 无客醉如泥
'wu'lao'feng'gao 五老峰高
'wu'nv'yao'zhi'yang'liu'ruan 舞女腰肢杨柳软
'wu'sha'ban'zhui'zui'weng'mian 乌纱半坠醉翁眠
'wu'shan'yu'xi 巫山雨洗
'wu'tong'dui'ju'you 梧桐对橘柚
'wu'xia'ye'shen 巫峡夜深
'wu'xing'shi'xu 五行式序
'wu'yin'wei'er'ting 五音惟耳听
'wu'yu'feng'jia'bi'xu'dan 无鱼冯铗必须弹
'wu'zi'yu'chou'yu'fu'jian 伍子欲酬渔父剑
'xi'bian'wan'diao'zhi'weng 溪边晚钓之翁
'xi'dui'you 喜对忧
'xi'huang'chan'wei'er'hua'gua 羲皇阐微而画卦
'xi'jian'jiao'long'de'shui 喜见蛟龙得水
'xi'jiao'dai 犀角带
'xi'jiao'qian'qing'jia'ru'yun 西郊千顷稼如云
'xi'kong'dui'xi'yan 习孔对希颜
'xi'liu'bo'zhou'bi'lin'lin 溪流波皱碧粼粼
'xi'lou'ren'qiao 西楼人悄
'xi'shuai'dui'tang'lang 蟋蟀对螳螂
'xi'yang'ban'luo 夕阳半落
'xi'yu'xin'ju 溪臾新居
'xi'zhong'chun'shui'ban'gao 溪中春水半篙
'xia'dui'yin 夏对殷
'xia'hou'che'shang'bing'pan'an 夏候车上并潘安
'xia'ri'chi'tang 夏日池塘
'xia'ri'dui'qiu'shuang 夏日对秋霜
'xia'shu'ke'si'qi'shi'zhen 夏暑客思欹石枕
'xia'wei'dui'yun'zheng 霞蔚对云蒸
'xia'zhou'dui'chun'xiao 夏昼对春宵
'xian'ai'deng'shan'chuan'xie'ji 闲爱登山穿谢屐
'xian'dui'sheng 贤对圣
'xian'gong'dui'fan'yu 仙宫对梵宇
'xian'gua'dui'tou'li 献瓜对投李
'xian'guan'qia'cong'yun'li'jiang 仙管恰从云里降
'xian'peng'zhu'gen 闲捧竹根
'xian'ren'bi'shu 闲人避暑
'xian'shan'bei 岘山碑
'xian'tai'ping'shi'er'ce 献太平十二策
'xian'zhou'yu'cong'you'qi'mo 闲骤玉骢游绮陌
'xiang'chuan'feng'yu'ruo'jin'yong 响传风雨若金镛
'xiang'dui'huo 香对火
'xiang'dui'jie 巷对街
'xiang'dui'xi 象对犀
'xiang'dui'yao 象对爻
'xiang'liu'ying'er'bing'yu 像流莺而并语
'xiang'ya'shu 象牙梳
'xiang'zhu'dui'xi'bei 象箸对犀杯
'xiao'chi'tang 小池塘
'xiao'er'yi'zhuo'lao'lai'ban 小儿衣着老莱斑
'xiao'ge'dui'chang'lang 小阁对长廊
'xiao'geng'dui'han'diao 晓耕对寒钓
'xiao'he'fu'shui'juan'hai'shu 小荷浮水卷还舒
'xiao'jiang'pao'pi'ren'gui'bai 骁将袍披仁贵白
'xiao'qing'yan 小晴蜒
'xiao'shi'feng 萧史凤
'xiao'yu'zheng'jiang'cu'ju'pao 笑语争将蹴踘抛
'xiao'zheng'fang'su'su 宵征方肃肃
'xiao'zhong'han'ying'yi'tian'xing 宵中寒映一天星
'xie'dong'shan 谢东山
'xie'dui'zheng 邪对正
'xie'pai'zheng'zhu 斜排筝柱
'xie'zhi'dui'qi'lin 獬豸对麒麟
'xin'bian'xiao'ren'chang'qi'qi 心褊小人长戚戚
'xin'chi'tang'xuan 心侈唐玄
'xin'di'zhi'tou'gong'zi'zhu 新缔直投公子纻
'xin'dui'jiu 新对旧
'xin'huan'dui'jiu'hen 新欢对旧恨
'xing'chang'ji'yu'chong'yang 兴常记于重阳
'xing'dui'fei 兴对废
'xing'dui'shang 刑对赏
'xing'dui'zhi 行对止
'xing'gong'bei 星拱北
'xing'hua'hong'ying'zhong'ni'tan 杏花红映仲尼坛
'xing'shan'dui'wan'shui 行山对万水
'xing'shi'zuo 行时坐
'xing'wu'zong 行无踪
'xing'zhou'dui'yu'ma 行舟对御马
'xiong'dui'hu 熊对虎
'xiong'nie'shi'qing'wen'zu'ti 凶孽誓清闻祖逖
'xiong'zhong'tu'wan'zhang'chang'hong 胸中吐万丈长虹
'xiu'cha'yun'xiao'ru'yu'bi 秀插云霄如玉笔
'xiu'dui'jiu 休对咎
'xiu'gu'dui'diao'an 绣毂对雕鞍
'xiu'hu'dui'diao'long 绣虎对雕龙
'xiu'juan'jia'ren 绣倦佳人
'xiu'kan'bai'lian'qing'tong 羞看百炼青铜
'xiu'mu'dui'zhu'lian 绣幕对朱帘
'xiu'rang'bi 羞攘臂
'xiu'zhan'ming'li'xian'chen 羞沾名利纤尘
'xu'dui'shi 虚对实
'xu'mi'kun'fu'yan'zhi'zhu 胥靡困傅岩之筑
'xu'ping'shi'jiu'yang'shu'yong 须凭诗酒养疏慵
'xu'zhi'ta 徐稚榻
'xue'dui'feng 雪对风
'xue'fu'dui'feng'yao 雪赋对风谣
'xue'han'cun'she'jiu'nan'gu 雪寒村舍酒难沽
'xue'hua'dui'yun'ye 雪花对云叶
'xue'leng'shuang'yan 雪冷霜严
'xue'ling'dui'yun'tan 雪岭对云潭
'xue'lv'can'yu'bei'hai 雪屡餐于北海
'xue'si'dui'yun'an 雪寺对云庵
'xue'zhu'dui'yan'luo 雪竹对烟萝
'xun'dui'meng 荀对孟
'xun'feng'sheng'dian'ge 薰风生殿阁
'xun'shi'sheng'ren'da'dao 洵是圣人大道
'ya'fu'fen'sheng'zhuang'yu'dou 亚父愤生撞玉斗
'ya'tou'bo'fan'mai'yu'chuan 鸭头波泛卖鱼船
'ya'tou'lv'ni 鸭头绿腻
'yan'chao'yi'sui'ge 燕巢依邃阁
'yan'di'dui'mei'jian 眼底对眉尖
'yan'dui'ge 沿对革
'yan'dui'xiu 岩对岫
'yan'fei'gao'tie'chu'tian'yun 雁飞高贴楚天云
'yan'guan'dui'chu'shui 燕关对楚水
'yan'hang'dui'yu'zhen 雁行对鱼阵
'yan'hong'hua'nong'se 艳红花弄色
'yan'kan'ni'chang'zhi'qu 厌看霓裳之曲
'yan'ni'nan 燕呢喃
