'a'mu'chang'ren'ce 阿母常仁恻
'feng'xi'feng'xi'gui'gu'xiang 凤兮凤兮归故乡
'feng'xiao'xiao'xi'zhuan'qing 风萧萧兮转清
'feng'xuan'jian'hao 逢轩见皞
'feng'yi'shi'xi'hu'qing'rao 冯夷逝兮护轻桡
'feng'zheng'rong'yi'lu'jue 峰峥嵘以路绝
'fu'bao'chao'gao'sheng'xiang'cu 腹饱巢高声响粗
'fu'bao'hu'er'xi'qi'xia'zhan'yi 抚抱胡儿兮泣下沾衣
'fu'che'yin'e 辅车龂齶
'fu'er'wang'zhi 俯而望之
'fu'fu'yu'jun'wei'jian'cao 幅幅与君为谏草
'fu'fu'zhi'nan 复复之难
'fu'gui'rong'le'ji'shi'xi 富贵荣乐几时兮
'fu'gui'ying'xu'zhi'shen'zao 富贵应须致身早
'fu'gui'zhi'yi'ning'xiang 抚桂枝以凝想
'fu'he'jing'ying'xi 复何经营兮
'fu'he'qiu'ye'zhi'wu'qing'xi 夫何秋夜之无情兮
'fu'jing'jiao'xi'zhan'yi 复惊叫兮沾衣
'fu'ke'shang'xi 夫可伤兮
'fu'lao'yuan'lai'xi'xiang'zhui'sui 父老远来兮相追随
'fu'niao'hu'chao'dang'zhou'ti 鵩鸟护巢当昼啼
'fu'pang'yang 福滂洋
'fu'she'dong'lai'shui'shang'you 蝮蛇东来水上游
'fu'shi'er'xi'tong'qu 俯十二兮通衢
'fu'wei'jun'shang'xi 夫为君上兮
'fu'xia'yi'xi'fu'zhi'wen 服遐裔兮敷质文
'fu'xiu'zhou'zhang 黼绣周张
'fu'yao'shi'yuan'he'you'zhi 扶摇势远何由知
'fu'yi'he'ming'zheng'yu'zu 抚翼和鸣整羽族
'fu'yuan'ming'xi'shuang'qiu 复猿鸣兮霜秋
'fu'yun'juan'ai 浮云卷霭
'fu'zhu'wo'kou'shi'di'yi 扶助倭寇事第一
'fu'zong'tong'yue 副总统曰
'gai'huan'er'mu'kou'bi'ya'she'mei 改换耳目口鼻牙舌眉
'gai'tian'di'zhi'wei'xing 盖天地之委形
'gai'yin'zi'ran'zhi'xi'fu 盖因自然之谿阜
'gan'chang'jiao'ci'xi'ren'mo'wo'zhi 肝肠搅刺兮人莫我知
'gan'chen'chi'xin 感臣赤心
'gan'ge'ri'xun'xi'dao'lu'wei 干戈日寻兮道路危
'gan'lu'jiang 甘露降
'gan'pi'wei'lan'fu 肝脾为烂腐
'gan'shi'nian'fu'mu 感时念父母
'gan'yang'chun'xi'sheng'bi'cao'zhi'you'you 感阳春兮生碧草之油油
'gan'zheng'wang'wang 敢正亡王
'gao'ge'gao'ge 高阁高阁
'gao'lou'si'fu 高楼思妇
'ge'di'jue'tian 隔地绝天
'ge'jing'jue'shi 各敬厥事
'ge'lu'shui 歌渌水
'ge'miao'hu'xi'xi'yan'chen 格苗扈兮息烟尘
'ge'ming'feng'lei'dong'da'di 革命风雷动大地
'ge'yue 歌曰
'geng'dian'dian'xi'ye'chang 更点点兮夜长
'geng'shen'ye'lan'xi'meng'ru'lai'si 更深夜阑兮梦汝来斯
'geng'shuang'qi'ju 更爽其居
'geng'wei'ting'zao'chan'ge 耿湋听早蝉歌
'geng'zhi'you'zhi 耕之耰之
'gong'bu'lan'shang 功不滥赏
'gong'cheng'dao'shang'xi'lie'jing'qi 功成道上兮列旌旗
'gong'cheng'yin'si 恭承禋祀
'gong'cheng'zhe'qu 功成者去
'gong'ge'yu'qi'shen'shen 宫阁郁其沈沈
'gong'shi'ji'cheng 公室既成
'gong'tian'xia'ye 公天下耶
'gong'wu'yi'shi'xi'wu'shan'ping 功无已时兮吾山平
'gong'yi'he'da 功亦何大
'gong'yi'yi 共翊翊
'gou'dang'hu'qun'shi'yi'ju 狗党狐群失依据
'gou'tian'wei'cong'xi 苟天未从兮
'gou'yi'ji'yi'xiang'chou 购异籍以相酬
'gu'bo'qi'zhi 姑博其制
'gu'chui'xiao'tiao'xi'jia'long'che 鼓吹萧条兮驾龙车
'gu'du'xie'zhen'chuan'shi'ren 故独写真传世人
'gu'er'wei'qin'ming'he'you 顾尔微禽命何有
'gu'fen'xia'yin 孤愤遐吟
'gu'fu'ge'yu'dao'bian 鼓腹歌于道边
'gu'jiang'qi'tian'di'er'yi'shen 固将弃天地而遗身
'gu'ke'wei'zuo'xin'zi'chou 孤客危坐心自愁
'gu'kuang'chao'shang'qing'ge 顾况朝上清歌
'gu'kuang'shang'gu'zhi'shen 顾况上古之什
'gu'lai'wang'shuo'xian'hua'bao 古来妄说衔花报
'gu'lai'yuan'yu'wu'shi'wu 古来冤狱无时无
'gu'ling'gen 固灵根
'gu'mo'you'mo'ji 故莫由莫己
'gu'mo'zhou'mo'zhi 故莫周莫止
'gu'mu'long'zong'zhi'xiang'jiu 古木巃嵸枝相樛
'gu'qian'zhen'yu'wan'guai'xi 顾千珍与万怪兮
'gu'ren'san'le'xi 古人三乐兮
'gu'rou'lai'ying'ji 骨肉来迎己
'gu'shen'tong'dao 谷神同道
'gu'shi'he'zhe'zi'xing'ai 孤士何者自兴哀
'gu'su'jiang'qu 故素将去
'gu'wu'si'kun'lun'zhi'qi'shu 故吾思昆仑之琪树
'gu'xiang'bu'ke'jian'xi 故乡不可见兮
'gu'xiang'ge'xi'yin'chen'jue 故乡隔兮音尘绝
'gu'yan'gui'xi'sheng'ying'ying 孤雁归兮声嘤嘤
'gu'yuan'nuan'zu'lian'bu'chi 鹘缘暖足怜不吃
'gu'zhen'fa'xi'dong'cheng 孤砧发兮东城
'gua'he'qing'li 寡鹤清唳
'gua'xing'chen'yu'yan'ao 挂星辰于岩嶅
'gua'yu'guan'yu'xi'yang 挂余冠于夕阳
'guan'shan'zu'xiu'xi'xing'lu'nan 关山阻修兮行路难
'guan'wei'shi'xi'you'wu 观未始兮有物
'guan'xiu'gan'yu'ying'qi 贯休甘雨应祈
'guan'xiu'song'lu'she'ren'san'shou 贯休送卢舍人三首
'guan'yu'tai 观玉台
'guan'zhe'jie'xu'xi 观者皆歔欷
'guang'shuo'shuo 光烁烁
'gui'jiu'chuan'xi'shen'zai'pei 归旧川兮神哉沛
'gui'lai'reng'zhan'zhu'ren'shu 归来仍占主人树
'gui'ren'qie'fu'ai'guang'cai 贵人妾妇爱光彩
'gui'ren'wan'ruan'lian'yi'bi 贵人腕软怜易臂
'gui'you'de'ye 归有德耶
'guo'huo'shi'ku 果获是苦
'guo'tian'men 过天门
'guo'you'shi'mo 国有世谟
'guo'zei'shou'shou'kan'ri'jin 国贼授首看日近
'ha'ma'lue'ru'liang'wen'guo 虾蟆掠汝两吻过
'hai'cang'cang'xi'lu'mang'mang 海苍苍兮路茫茫
'hai'dan'li'po 骇胆栗魄
'hai'gu'miao'ming'ming 还顾邈冥冥
'hai'gu'zhi'xi'po'ren'qing 还顾之兮破人情
'hai'jiao'tian'ya'nan'tao'bi 海角天涯难逃避
'hai'nei'xing'yi'shi 海内兴义师
'hai'ru'yue'ming 还汝月明
'han'ai'ye'xi'ti'zhan'jing 含哀咽兮涕沾颈
'han'fu'sha'ying'qi'zhu'mu 悍妇杀鹦欺主母
'han'gong'tu'jiao'ji'zheng'qing 函宫吐角激徵清
'han'hou'ren'ke'tian'qi'zhi 汉后忍渴天岂知
'han'ji'shi'quan'bing 汉季失权柄
'han'qi'xi'bi'wan'wu'feng 寒气屃奰顽无风
'han'quan'xi'ju'zu 寒泉兮菊菹
'han'shi'ying'wo'xi'si'mu'fei'fei 汉使迎我兮四牡騑騑
'han'shu'bu'tei'kuang'huang'zhang 寒暑不忒况皇章
'han'wei'er'jiang 汉魏而降
'han'yu'bian'zhou'luan'er'shou 韩愈汴州乱二首
'han'yu'sa'sa'ku'shu'shi 寒雨飒飒枯树湿
'han'yu'yue'shi'shi 韩愈月蚀诗
'hao'ge'yi'qu'xi'lin'he'qiu 浩歌一曲兮林壑秋
'hao'hao'gan'gan'xi'lv'dan'wei'he 皓皓旰旰兮闾殚为河
'hao'ling'po'you'qian'xian'feng 号令颇有前贤风
'hao'qi'shou'fu'mo 号泣手抚摩
'hao'si'yi'qi'chu'peng'heng 浩思一气初彭亨
'he'bi'yi'ri'zhi'nei 何必一日之内
'he'bu'gu'feng'lian'ye'shao 何不鼓风连夜烧
'he'bu'wang'fu 何不妄敷
'he'chu'yang'nv'bai'chou'xing 何处养女百丑形
'he'dan'sui'ti'shui'er'lian 鹖旦虽啼谁尔怜
'he'dao'bu'xing'xi 何道不行兮
'he'de'bu'yi'xiang'jian'xu'qing'ci 何得不一相见叙情词
'he'feng'zai'sheng 和风载升
'he'gan'yue'fen'sheng'si'wei 何敢越分生思惟
'he'gong'xu'xi'xin'bu'shu 河公许兮薪不属
'he'gu'xu'shi'shi'pian'mang 何故许食使偏盲
'he'hao'xiao'huan'yu'tai'yi 合好效欢虞泰一
'he'ke'qu'zhi 曷可去之
'he'kuang'chi'you'zhi'cu'ta 何况蚩尤之蹴蹋
'he'kui'kui'xi'yu'zhuo 河溃溃兮愈浊
'he'qi'shun'zhi'su'ye 何弃舜之速耶
'he'qing'ge'xie 和清歌些
'he'ri'fei'xiong'xiu'mai'tu 何日非熊休卖屠
'he'ri'yu'yu 曷日于雨
'he'san'guang'zhi'bing'zhao'xi 何三光之并照兮
'he'shang'shang'xi'ji'chan'yuan 河汤汤兮激潺湲
'he'shi'fu'jiao'hui 何时复交会
'he'shi'jian'xu'xi 何时见许兮
'he'shi'long'zhong'man'kai'kou 何事笼中漫开口
'he'shui'dong'liu'xi'xin'shi'si 河水东流兮心是思
'he'shui'huo'huo 河水活活
'he'suo'si 合所思
'he'wang'bu'zhi 何枉不直
'he'wei'dan'xi'yun'wei'ma 和为丹兮云为马
'he'wei'jian'ji'yu'luo'zhong 何为见羁虞罗中
'he'wu'jin'xi'sheng'si'tang 何悟今兮升斯堂
'he'xiu'sheng'miao'shuai 禾秀盛苗衰
'he'yi'wei'ming 何以为明
'he'yin'si'zhi'bu'fan 何胤嗣之不繁
'he'you'bing'xi'shan'you'xue 河有冰兮山有雪
'he'yu'qing'zhi'dang'yang 曷余情之荡漾
'he'yu'xiao'zhi'ya'ya 何语笑之哑哑
'he'yuan'jiao'jing'wei'yuan'yang 何缘交颈为鸳鸯
'he'yun'mu'zhi'mei'li 何云木之美丽
'he'zhan'yin'xi'he'bu 何詹尹兮何卜
'he'zhi'qu'cheng'xi'xin'zhuan'chou 何知曲成兮心转愁
'heng'e'hai'gong'shi 姮娥还宫室
'heng'gui'zhi'yu'xi'di 横桂枝于西第
'heng'tai'he 横泰河
'hong'dong'hao'han'zhen'wu'ming 澒洞浩汗真无名
'hong'he'ling'jing'bu'ke'yi'jing'du 洪河凌竞不可以径度
'hong'jia'ying'xi'yao'hua'zeng 鸿驾迎兮瑶华赠
'hong'rong'bi'yan'zuo'kan'xie 红荣碧艳坐看歇
'hong'yan'you'cun'liu'shu'hua 红艳犹存榴树花
'hong'yan'zai'hai 洪湮灾害
'hong'zhuo'zhuo 红灼灼
'hou'gu'qian'zhan'gao'shu'zhi 后顾前瞻高树枝
'hou'jia'mao'ci 后加茅茨
'hou'lai'zhe'shui 后来者谁
'hou'qian'nian'wu'ren 后千年无人
'hou'qian'nian'you'ren 后千年有人
'hou'shi'shi'yue'zui'dang'si 后时食月罪当死
'hu'bu'ba'huang'ting'ting'ru'di'ping 胡不八荒圢圢如砥平
'hu'bu'fen'fei 胡不奋飞
'hu'bu'lai'xi'yu'fu'jia 胡不来兮玉斧家
'hu'bu'ri'che'gao'gao'zhou'ye'xing 胡不日车杲杲昼夜行
'hu'bu'zhong'hun'cheng 胡不终浑成
'hu'chen'an'tian'dao'lu'chang 胡尘暗天道路长
'hu'er'hao'xi'shui'de'zhi 胡儿号兮谁得知
'hu'fen'fei 忽分飞
'hu'feng'chun'xia'qi 胡风春夏起
'hu'feng'hao'hao'xi'an'sai'ying 胡风浩浩兮暗塞营
'hu'feng'ye'ye'chui'bian'yue 胡风夜夜吹边月
'hu'hu'liu'shi'yu'nian 忽乎六十馀年
'hu'ji'liang 虎脊两
'hu'jia'ben'zi'chu'hu'zhong 胡笳本自出胡中
'hu'jia'dong'xi'bian'ma'ming 胡笳动兮边马鸣
'hu'lang'fang'xu'mu 虎狼妨畜牧
'hu'long'huan'hu'ting'zhi'hui 呼龙唤虎听指麾
'hu'mai'xing'xi'shou'gu 虎卖杏兮收谷
'hu'ning'bu'er'si 胡宁不尔思
'hu'po'jiu'xi'diao'hu'fan 琥珀酒兮雕胡饭
'hu'ran'she'wo 胡然舍我
'hu'ran'you'wu'lai'dan'zhi 忽然有物来啖之
'hu'ran'yu'zhou'bian'cha'yi 忽然宇宙变差异
'hu'ren'chong'wo'xi'you'er'zi 胡人宠我兮有二子
'hu'shan'gao'yi'cui'hai'hong'cheng 胡山高屹崒海泓澄
'hu'shan'xi'xi'xi'yang 忽山西兮夕阳
'hu'shi'shuang'zhang'xi'wu'jiang'he'cong 忽失双杖兮吾将曷从
'hu'si'yi'xi'cheng'nan 忽思瘗兮城南
'hu'wei'bo'beng 胡为波迸
'hu'wei'bu'yi 胡为不易
'hu'wei'cao'qi 胡为草戚
'hu'wei'chen'zhuo'yi'sheng'qing 胡为沉浊以升清
'hu'wei'sheng'xi'du'li'ci'yang 胡为生兮独罹此殃
'hu'wei'yue'lun'mie'que'xing'ding 胡为月轮灭缺星盯
'hu'wen'han'shan'zi 忽闻寒山子
'hu'xi'qun'lai 呼吸群籁
'hu'xi'yin'yang'xi'bing'chi'huo'fu 呼吸阴阳兮秉持祸福
'hu'xiao'feng'xi'lv'ming 虎啸风兮屡鸣
'hu'xiao'gu'er'sheng'feng 虎啸谷而生风
'hu'xie'hang'xi'gong'ao'xiang 胡颉颃兮共翱翔
'hu'xiong'pi 呼熊罴
'hu'ye 忽耶
'hu'ye'qing'xi 瓠叶青兮
'hu'yu'han'shi'xi'cheng'jin'zhao 忽遇汉使兮称近诏
'hu'yu'han'xi'yi'yu'shu'feng 胡与汉兮异域殊风
'hu'zi'jue'xi'jiang'nai'he 瓠子决兮将奈何
'hua'chang'jiu'you 华畅九有
'hua'fei'fei'xi'li'jing 华斐斐兮丽景
'hua'liu'ying'ying 化流瀛瀛
'hua'ruo'gui 化若鬼
'hua'xia'du'li'xin'shi'ji 华夏独立新世纪
'hua'xu'lian'ye'fa 花须连夜发
'hua'yan'kai'xi'la'jiu'xiang 华筵开兮腊酒香
'hua'ye'ye 华晔晔
'hua'zuo'gang'dao'yi'shi'jie 化作刚刀一时截
'hua'zuo'xun'gan'qi 化作珣玕琪
'huai'bu'zhan'xi'ju'wu'liao 怀不展兮居无聊
'huai'fei'ge 怀飞阁
'huai'mei'ren'xi'lv'ying'que 怀美人兮屡盈缺
'huai'nan'ji'quan'qu'shang'tian 淮南鸡犬驱上天
'huai'you'zhong'nian'sui 怀忧终年岁
'huai'yu'zhou'yi'shang'yuan 怀宇宙以伤远
'huan'hu'yao'qi'you'sui'xi 圜户杳其幽邃兮
'huan'yu'huan'xi'liang'wang 欢与欢兮两忘
'huan'yun'jin'xi'pen'xiong'yong 焕云锦兮喷汹涌
'huang'bu'zhi'qi'suo'zhi 怳不知其所之
'huang'chua'xi'xi'ta'you'ai 怳欻翕兮沓幽霭
'huang'di'deng'yun 黄帝登云
'huang'di'you'si'mu 黄帝有四目
'huang'hao'gu'cheng'yun'bu'kai 黄蒿古城云不开
'huang'he'wen'du'bu'wu'qi 黄河稳渡不吾弃
'huang'he'you'you'wu'qi'ji 黄河悠悠吾其济
'huang'hu'sheng'kuang'chi 恍惚生狂痴
'huang'huang'hua'xia'qi'wu'ren 皇皇华夏岂无人
'huang'huang'zhong'tang 煌煌中堂
'huang'huang'zi'wei'jun 皇皇紫微君
'huang'huang'zun'yan'xi'you'dou'zai'bei 煌煌尊严兮有斗在北
'huang'hui'xi'lv'shui'yin 皇徽兮绿水阴
'huang'jing'wu'miao'shan'xue'sheng 黄精无苗山雪盛
'huang'liu'zhong'guan'xi'fa'yuan'kun'lun 黄流中贯兮发源昆崙
'huang'tian'xi'wu'hui 皇天兮无慧
'huang'xi'huang'xi'cong'wo'qi 凰兮凰兮从我栖
'huang'yan'zhi'ren 荒岩之人
'huang'ye 恍耶
'huang'zi'shi'wei 荒恣是为
'hui'ci'zheng'ren 惠此蒸人
'hui'he'xi'cuan'cong 回合兮攒丛
'hui'huang'kun'yao'qi'you'an 辉煌焜耀启幽暗
'hui'shi'gao'bi 绘事告毕
'hui'shou'wang'qun'feng 回首望群峰
'hui'xing'zun'gu'dao 回行遵故道
'hui'zhang'luo'yan'xi'dong'yuan'shi 蕙帐萝筵兮洞元室
'hun'du'chu'ci'you'mo'xi 魂独处此幽默兮
'hun'shen'hu'fei'shi 魂神忽飞逝
'hun'tian'di'xi'bu'fen 混天地兮不分
'hun'xiao'ying'jue'xi'en'ai'yi 魂消影绝兮恩爱遗
'hun'zhao'bu'lai'gui'gu'xiang 魂招不来归故乡
'huo'bian'jia'chui'zhang 或便加棰杖
'huo'chang'ru'wei'she 或长如蜲蛇
'huo'da'ru'weng'ang 或大如瓮盎
'huo'ji'bao'chun'zhi 火急报春知
'huo'luo'yan'gu'jian 或落岩谷间
'huo'mi'meng'long'xi'kai'yue'guan 靃蘼蒙茏兮开樾馆
'huo'you'gu'rou'ju 或有骨肉俱
'ji'chang'che'si'wu'you'ming 饥肠彻死无由鸣
'ji'cong'bai'di'ci 既从白帝祠
'ji'dang'shi'xi'bu'neng'can 饥当食兮不能餐
'ji'de'zi'jie'mian 己得自解免
'ji'dui'rou'lao'xi'bu'neng'can 饥对肉酪兮不能餐
'ji'er'jiu'tu 济尔九土
'ji'fan'fan'xi'bu'ning 济翻翻兮不宁
'ji'feng'qian'li'xi'yang'chen'sha 疾风千里兮扬尘沙
'ji'jian'dong'nan'feng 寄笺东南风
'ji'ju'zu'yi'zheng'shi 鸡聚族以争食
'ji'juan'juan'er'lv'guan 济涓涓而缕贯
'ji'lin'tang'er'yi'liu 寄林塘而一留
'ji'luo'zhi'li 即骆之力
'ji'lv'zhi 藉绿芷
'ji'men'ba'shang'deng'er'xi 棘门霸上等儿戏
'ji'mi'zhe'ju'zhi 及靡者居之
'ji'qing'zhong 击青钟
'ji'ru'ji'sheng 及汝既生
'ji'shang'zheng'zhi'bu'ke'xi 既上征之不可兮
'ji'sheng'zhi'yin'xi'tong'suo'yu 寄声知音兮同所欲
'ji'shi'xue'pu'si'lei'jing 激石滈瀑似雷惊
'ji'wang'fan'xi'ji'pu 几往返兮极浦
'ji'wu'pin'shen 饥鼯颦呻
'ji'zhi'jia'ren'jin 既至家人尽
'jia'ceng'he'xia'shan'ge 贾曾和下山歌
'jia'ji'ying'xi'dang'gui'ning 家既迎兮当归宁
'jia'jin'yan'zhi'zhen'shu'xi 嘉锦筵之珍树兮
'jia'qing'niao'zhi'chen 嘉青鸟之辰
'jia'qing'qiu'xi'cheng'bai'lu 驾青虬兮乘白鹿
'jia'ren'xu'ban'yuan'chu'shi 佳人许伴鹓雏食
'jia'shan'xiang'juan'xi'hui'shi'xi 家山乡眷兮会时稀
'jia'tian'xia'ye 家天下耶
'jia'wei'yi'shen 家唯一身
'jia'xi'yi'xi 甲兮乙兮
'jia'yi'hui'xi'qin'yi'pai 笳一会兮琴一拍
'jia'you'lan'xi'yan'xiu 嘉幽兰兮延秀
'jia'zai'yu'jing'chao'zi'wei 家在玉京朝紫微
'jian'cha'hua'ren 鉴察化人
'jian'ci'beng'wu'nei 见此崩五内
'jian'dong'gao'xi'yuan'cun 见东皋兮远村
'jian'du'yan'liu'er'bu'gui 蹇独淹留而不归
'jian'er'zheng'kua'sha'liu'hou 健儿争夸杀留后
'jian'he'han'zhi'xi'luo 见河汉之西落
'jian'hu'an'zhi'si'lian 见胡鞍之似练
'jian'mu'gong'ju'yue'qing'jun 监牧攻驹阅清峻
'jian'nan'sui'yue'bu'ke'du 剑南岁月不可度
'jian'xu'qiao'hui'gui'wu'qing 兼须巧会鬼物情
'jian'yi'he'shen 俭亦何深
'jian'yi'mu'lan'zhi'xiu'xiang'pei'hui 间以木兰之秀香裴回
'jian'you'tong'shi'bei 兼有同时辈
'jian'zhi'bu'wang 见之不忘
'jian'zhi'zuo'you'jiu'geng'xin 见之座右久更新
'jiang'chang'zheng'zhan'he'shi'xie 疆场征战何时歇
'jiang'chun'li'zao'duo'zao'mei 江春例早多早梅
'jiang'de'zhi'zhe'bu'wei 将德之者不位
'jiang'du'ku'yi 将蠹枯矣
'jiang'fei'shui'xian'xi'bu'de 江妃水仙惜不得
'jiang'hai'wei'wei'chang 江海为胃肠
'jiang'huai'he'han'ru'zhang'wo 江淮河汉入掌握
'jiang'jie'mei'xi'cong'yu'si 将解袂兮丛予思
'jiang'nai'he'xi'wan'li'zhi'hun'huang 将奈何兮万里之浑黄
'jiang'qian'ling'xi'ci'yu 将千龄兮此遇
'jiang'qin'dai'yu'xi 将琴代语兮
'jiang'qing'bai'xi'yi'shui 将清白兮遗谁
'jiang'shi'du'si 匠氏度思
'jiang'wo'hang'xi'xiang'tian'ya 将我行兮向天涯
'jiang'xin'pan'shi'sheng'tao'zhu 江心蟠石生桃竹
'jiang'yao'ju 将摇举
'jiang'ye'ru'xi'bian'cheng 将夜入兮边城
'jiang'yi'bi'zao'shi 将以避燥湿
'jiao'chuo'fan'guan'jia 嚼啜烦官家
'jiao'gu'chui'xi'tan'si 交鼓吹兮弹丝
'jiao'gui'zhi'fu'xi 椒桂之馥兮
'jiao'jiao'long'xing'he'bian'hua 矫矫龙性合变化
'jiao'jiao'ze'kui 皎皎则亏
'jiao'jiao'zhi'zi'xi'zi'du'li 皎皎之子兮自独立
'jiao'long'cheng'xi'fang'yuan'you 蛟龙骋兮放远游
'jiao'long'xing'xi'luo'zeng'chao 蛟龙行兮落增潮
'jiao'lu'shi 叫鹿豕
'jiao'miao'ge'ci'qing'rong 郊庙歌辞庆融
'jiao'miao'ge'ci'shu'he 郊庙歌辞舒和
'jiao'miao'ge'ci'yu'he 郊庙歌辞豫和
'jiao'qing'tong'yi'xin'he'xie 交情通意心和谐
'jiao'sui'huang'cheng'mei'hu'ku 搅碎荒城魅狐窟
'jiao'ta'huo'lun'pan'jiu'chi 脚踏火轮蟠九螭
'jiao'tu'zhong'quan'tou'fen'gu 狡兔中拳头粉骨
'jiao'xiao'you'you'er'tai'chang 皎皛悠悠而太长
'jiao'yang'shuang'ying'zhu'xin'fu 娇养双鹦嘱新妇
'jie'bie'zhi'zi'xi'hui'wu'yin 嗟别稚子兮会无因
'jie'bo'hu'xi'zao'shi'huan 嗟薄祜兮遭世患
'jie'ceng'tou'shi'lu'chi'yu 皆曾偷食渌池鱼
'jie'er'wan'dai 戒尔万代
'jie'fang'jun'qi'shen'zheng'yi 解放军旗伸正义
'jie'fang'yi'er'shui'shang 结芳意而谁赏
'jie'jie'hu'shuang'chi 嗟嗟乎双齿
'jie'lin'zuo'zai'guang'han'gui'shu'gen 结璘坐在广寒桂树根
'jie'shan'wei'wei'xi'wang'e'wo'qing 羯羶为味兮枉遏我情
'jie'shang'wang 嗟伤王
'jie'shi'xi'xiao'xiang 碣石兮潇湘
'jie'wei'run'er'shen'cang 皆委润而深藏
'jie'wu'chi'zi 皆吾赤子
'jie'xin'zi'xu'li 竭心自勖励
'jie'yan'chao'shang'qing 洁眼朝上清
'jie'yi'cui'xi'ling'hong'yong 杰屹崒兮零澒涌
'jie'you'men'xi'zai'huang'ting 结幽门兮在黄庭
'jie'zhe'liang'yan'shun 解折两眼蕣
'jie'zhong'fang'zhi'chou'mou 结众芳之绸缪
'jin'an'pi 今安匹
'jin'an'pi'xi'long'wei'you 今安匹兮龙为友
'jin'bie'zi'xi'gui'gu'xiang 今别子兮归故乡
'jin'diao'bu'de'qin'mei'hu 金雕不得擒魅狐
'jin'feng'yu'lin 金凤玉麟
'jin'guang'yan'qi'xi'zhou'xing'mei 金光延起兮骤兴没
'jin'he'geng'bu'ci 今何更不慈
'jin'hua'fa'fei'qi'chen 今华发非其辰
'jin'jia'yao'ri'guang 金甲耀日光
'jin'jiu'fu'xi'jie'si'lin 尽九服兮皆四邻
'jin'jun'zhi'lao'yi 今君之老矣
'jin'liang'an'yin'wu'yong'ti 津梁暗引无用鹈
'jin'lu'wei'yi'xi'shan'lu'chang 锦路逶迤兮山路长
'jin'ning'hao'yu 近佞好谀
'jin'pi'li'jie'bo'geng'da 筋疲力竭波更大
'jin'pu'lan'ruo 金铺烂若
'jin'qi'jiao 金其角
'jin'ri'zhui'huai'xi'zhui'lei 今日追怀兮坠泪
'jin'shi'wen'qin'xia'liao'kuo 晋室闻琴下寥廓
'jin'shi'zhong'zui 尽释众罪
'jin'su'mao'sui'lou 今素貌虽陋
'jin'tian'jing'xi'li'san'guang 金天净兮丽三光
'jin'tian'zhi'liang'mu 今天只两目
'jin'xi'han'xi 浸兮暵兮
'jin'zhao'she'yan'xi'gong'san'fei 今朝设宴兮觥散飞
'jin'zheng'xuan'xi'li'zu'zhe 巾征轩兮历阻折
'jin'zhi'ha'ma'yu'lao'ya 禁制虾蟆与老鸦
'jin'zhi'hua'tu'wu'nai'shi 今之画图无乃是
'jin'zhi'xi'xi'chu'xi 今之夕兮除夕
'jin'zhi'zhi'jian 巾栉之间
'jin'zhi'zhu'ren'fan'er'yi 今之主人翻尔疑
'jing'fu'jiang'xi'sheng'de'yuan 景福降兮圣德远
'jing'gai'sa'ta 旌盖飒沓
'jing'gui'xue'xi'bo'yi 鲸归穴兮渤溢
'jing'he'er'zhi 静和而止
'jing'ji'duo'xi'ke'nai'he 荆棘多兮可奈何
'jing'nan'xi'zhao'bei 荆南兮赵北
'jing'qian'li 径千里
'jing'quan'qi 精权奇
'jing'rong'rong 旌容容
'jing'shen'jian'yue 兢慎俭约
'jing'wan'li'xi'gui'you'de 经万里兮归有德
'jing'wei'xian'lu'sai'hai'yi 精卫衔芦塞海溢
'jing'xi'shu'yi'li'yue'chun'qiu'shi 敬习书易礼乐春秋诗
'jing'yan'si'xi'yong'jue 静言思兮永绝
'jing'yuan'qian'li'na'nv'fu 径圆千里纳女腹
'jing'zao'zheng'kui'wu'yi'shi 竞噪争窥无已时
'jiong'lu'xian'qie'zu 迥路险且阻
'jiu'bu'fan'xi'shui'wei'huan 久不反兮水维缓
'jiu'dan'xian'er'you'si 就单鲜而又死
'jiu'er'miu'ye 久而谬耶
'jiu'ge'bi'zou'fei'ran'shu 九歌毕奏斐然殊
'jiu'ji'zui 酒既醉
'jiu'men'ge'kuo'an'zai'zai 九门隔阔安在哉
'jiu'pai'huai'qing'xi'shei'yu'chuan 九拍怀情兮谁与传
'jiu'tian'xia'shi'ri'yue'zhuan 九天下视日月转
'jiu'yi'bin 九疑宾
'jiu'yi'fu 九夷服
'jiu'yuan'ping'xi'xin'yuan'chang 旧怨平兮新怨长
'ju'ao'tang'tu'gao'yan'yan 巨鳌唐突高焰延
'ju'chang'an'zhu'yuan'chu'zhuo 疽肠暗著鹓雏啄
'ju'feng'zuo'xi'zhou'ye'chang'kuang 飓风作兮昼夜猖狂
'ju'hu'chuang'xi'shu'kong 据胡床兮书空
'ju'jue'wu'se'ruo'mu'ying 咀嚼五色若木英
'ju'long'shi'sheng 句龙是生
'ju'lu'chui 具炉锤
'ju'tou'yang'wang'xi'kong'yun'yan 举头仰望兮空云烟
'ju'zhi'yu'zhi'xi'bu'xiu'chi 鞠之育之兮不羞耻
'juan'dong'yuan'xi'dan'bei'huan 眷东愿兮但悲欢
'jue'hou'tong'wu'xin'xi'wu'xiu'xie'shi 觉后痛吾心兮无休歇时
'jue'jiao'a'du'xi'shang'sheng'can'shu 绝交阿堵兮尚剩残书
'jue'wang'zheng'zha'nan'gou'yan 绝望挣扎难苟延
