'an'xiang'si 暗相思
'mei'jian'cui'dian'shen 眉间翠钿深
'mei'qian'dan'yan'ru'liu 眉浅淡烟如柳
'mei'ren'he'lei'ci 美人和泪辞
'mei'ren'zhi 没人知
'mei'yan'xi 眉眼细
'men'lin'chun'shui'qiao'bian 门临春水桥边
'men'sha'wu'tong'can'yu 闷煞梧桐残雨
'men'wai'cao'qi'qi 门外草萋萋
'men'wai'ma'si'lang'yu'bie 门外马嘶郎欲别
'meng'can'chou'chang'wen'xiao'ying 梦残惆怅闻晓莺
'meng'chang'jun'bu'zhi 梦长君不知
'meng'chu'jing 梦初惊
'meng'hun'fei'duan'yan'bo 梦魂飞断烟波
'meng'hun'mi'wan'chao 梦魂迷晚潮
'meng'hun'xiang'duan'xu 梦魂相断续
'meng'jiang'nan'qian'wan'hen 梦江南千万恨
'meng'jiang'nan'shu'xi'ba 梦江南梳洗罢
'meng'jue'ban'chuang'xie'yue 梦觉半床斜月
'meng'jue'yun'ping'yi'jiu'kong 梦觉云屏依旧空
'meng'jun'en 梦君恩
'meng'li'mei'chou'yi'wei 梦里每愁依违
'meng'yu'geng'lou'cu 梦馀更漏促
'meng'zhong'gui 梦中归
'miao'qian'chun'yu'lai'shi 庙前春雨来时
'ming'jing'zhao'xin'zhuang 明镜照新妆
'mo'ci'man 莫辞满
'mo'ci'zui 莫辞醉
'mo'shang'shui'jia'nian'shao 陌上谁家年少
'mo'su'jin'bei'man 莫诉金杯满
'mo'xiang'yi 莫相遗
'mo'zhi 莫知
'mu'dan'hua'xie'ying'sheng'xie 牡丹花谢莺声歇
'mu'dan'yi'ye'jing'wei'yu 牡丹一夜经微雨
'mu'lan'hua'du'shang'xiao'lou'chun'yu'mu 木兰花独上小楼春欲暮
'mu'tian'chou'ting'si'gui'le 暮天愁听思归乐
'nan'ge'zi'duo'di'shu'ji 南歌子鬌低梳髻
'nan'ge'zi'lan'fu'yuan'yang'zhen 南歌子懒拂鸳鸯枕
'nan'ge'zi'lian'shang'jin'xia'xi 南歌子脸上金霞细
'nan'ge'zi'pu'rui'tian'huang'zi 南歌子扑蕊添黄子
'nan'ge'zi'shou'li'jin'ying'wu 南歌子手里金鹦鹉
'nan'ge'zi'si'dai'ru'si'liu 南歌子似带如丝柳
'nan'ge'zi'zhuan'mian'ru'bo'yan 南歌子转眄如波眼
'nan'nei'qiang'dong'yu'lu'di 南内墙东御路帝
'nan'pu'ying'sheng'duan'chang 南浦莺声断肠
'nan'wang'qu'cheng'he'xu 南望去程何许
'nan'xiang'jian 难相见
'nan'yuan'man'di'dui'qing'xu 南园满地堆轻絮
'ni'jiao'ren'song'you'xin'song 拟交人送又心忪
'ni'jing'jiang'jie'yi'qun'qun 霓旌绛节一群群
'nian'nian'zheng'zhan 年年征战
'niao'xian'yao 袅纤腰
'niao'zhi'ti'lu'dong'fang'yin 袅枝啼露动芳音
'ning'hen'dui'can'hui 凝恨对残晖
'ning'qing'li 凝情立
'nong'qing'xiang'dui'yu 弄晴相对浴
'nong'zhu'jiang'shang'cao'qi'qi 弄珠江上草萋萋
'nong'zhuang'shu'xi'chi 弄妆梳洗迟
'nuan'xiang're'meng'yuan'yang'jin 暖香惹梦鸳鸯锦
'nv'guan'zi'han'jiao'han'xiao 女冠子含娇含笑
'nv'guan'zi'si'yue'shi'qi 女冠子四月十七
'nv'guan'zi'xia'pei'yun'fa 女冠子霞帔云发
'nv'guan'zi'zuo'ye'ye'ban 女冠子昨夜夜半
'ou'si'qiu'se'qian 藕丝秋色浅
'ou'si'qiu'se'ran 藕丝秋色染
'pan'ruo'liu 攀弱柳
'pi'pa'jin'cui'yu 琵琶金翠羽
'pian'zhao'hua'tang'qiu'si 偏照画堂秋思
'piao'ling'qian'li 飘零千里
'pin'di'liu'ye'mei 频低柳叶眉
'ping'di'yi'sheng'lei 平地一声雷
'ping'lan'gan 凭栏干
'ping'lan'hun'yu'xiao 凭栏魂欲销
'ping'ting'si'liu'yao 娉婷似柳腰
'ping'xiu'kan 凭绣槛
'pu'bei'gui 浦北归
'pu'nan'gui 浦南归
'pu'rui'tian'huang'zi 扑蕊添黄子
'pu'sa'man'bao'han'dian'que'jin'xi'chi 菩萨蛮宝函钿雀金鸂鶒
'pu'sa'man'cui'qiao'jin'lv'shuang'xi'chi 菩萨蛮翠翘金缕双鸂鶒
'pu'sa'man'feng'huang'xiang'dui'pan'jin'lv 菩萨蛮凤凰相对盘金缕
'pu'sa'man'hong'lou'bie'ye'kan'chou'chang 菩萨蛮红楼别夜堪惆怅
'pu'sa'man'luo'yang'cheng'li'chun'guang'hao 菩萨蛮洛阳城里春光好
'pu'sa'man'man'gong'ming'yue'li'hua'bai 菩萨蛮满宫明月梨花白
'pu'sa'man'mu'dan'hua'xie'ying'sheng'xie 菩萨蛮牡丹花谢莺声歇
'pu'sa'man'nan'yuan'man'di'dui'qing'xu 菩萨蛮南园满地堆轻絮
'pu'sa'man'quan'jun'jin'ye'xu'chen'zui 菩萨蛮劝君今夜须沉醉
'pu'sa'man'ren'ren'jin'shuo'jiang'nan'hao 菩萨蛮人人尽说江南好
'pu'sa'man'ru'jin'que'yi'jiang'nan'le 菩萨蛮如今却忆江南乐
'pu'sa'man'rui'huang'wu'xian'dang'shan'e 菩萨蛮蕊黄无限当山额
'pu'sa'man'shui'jing'lian'li'po'li'zhen 菩萨蛮水精帘里颇黎枕
'pu'sa'man'xiao'shan'chong'die'jin'ming'mie 菩萨蛮小山重叠金明灭
'pu'sa'man'xing'hua'han'lu'tuan'xiang'xue 菩萨蛮杏花含露团香雪
'pu'sa'man'ye'lai'hao'yue'cai'dang'wu 菩萨蛮夜来皓月才当午
'pu'sa'man'yu'lou'ming'yue'chang'xiang'yi 菩萨蛮玉楼明月长相忆
'pu'sa'man'yu'qing'ye'he'ling'long'yue 菩萨蛮雨晴夜合玲珑月
'pu'sa'man'yu'xian'dan'chu'zhen'zhu'luo 菩萨蛮玉纤弹处真珠落
'pu'sa'man'zhu'feng'qing'dong'ting'chu'leng 菩萨蛮竹风轻动庭除冷
'qi'cheng'wu 起城乌
'qi'ma'shang'xu'kong 骑马上虚空
'qi'ma'yi'xie'qiao 骑马倚斜桥
'qi'nan'sha'shang'jing'yan'qi 碛南沙上惊雁起
'qi'shu'feng'lou'qian 琪树凤楼前
'qi'yu'chang'zheng'ban'ding'yuan 岂欲长征班定远
'qian'li'meng 千里梦
'qian'li'yu'guan'chun'xue 千里玉关春雪
'qian'li'yun'ying'bo 千里云影薄
'qian'shan'wan'shui'bu'ceng'xing 千山万水不曾行
'qian'wan'hen 千万恨
'qian'wan'hong'zhuang 千万红妆
'qiang'di'yi'sheng'chou'jue 羌笛一声愁绝
'qiao'xia'shui'liu'wu'ye 桥下水流呜咽
'qie'ni'jiang'shen'jia'yu 妾拟将身嫁与
'qing'e'hong'lian'xiao'lai'ying 青娥红脸笑来迎
'qing'guo 倾国
'qing'huai'yue'ying'mi'lou 清淮月映迷楼
'qing'jun'mo'xiang'na'an'bian 请君莫向那岸边
'qing'lou'yuan 青楼远
'qing'mai'yan'fei'luo'luo 青麦燕飞落落
'qing'ping'le'chun'chou'nan'mo 清平乐春愁南陌
'qing'ping'le'he'chu'you'nv 清平乐何处游女
'qing'ping'le'luo'yang'chou'jue 清平乐洛阳愁绝
'qing'ping'le'lv'yang'chun'yu 清平乐绿杨春雨
'qing'ping'le'shang'yang'chun'wan 清平乐上阳春晚
'qing'ping'le'suo'chuang'chun'mu 清平乐琐窗春暮
'qing'ping'le'ye'hua'fang'cao 清平乐野花芳草
'qing'ping'le'ying'ti'can'yue 清平乐莺啼残月
'qing'qing 轻轻
'qing'sha'juan'bi'yan 轻纱卷碧烟
'qing'suo'dui'fang'fei 青琐对芳菲
'qing'xiao'zhuang'cheng'han'shi'tian 清晓妆成寒食天
'qing'yun'li 轻云里
'qiu'bo'jin'wan'xia 秋波浸晚霞
'qiu'dao'chang'men'qiu'cao'huang 秋到长门秋草黄
'qiu'feng'qi'qie'shang'li 秋风凄切伤离
'qu'lu'xiang'chen'mo'sao 去路香尘莫扫
'quan'jun'jin'ye'xu'chen'zui 劝君今夜须沉醉
'quan'wo'zao'gui'jia 劝我早归家
'que'lian'xi'mei'gui'xiu'hu 却敛细眉归绣户
'que'qiao'heng 鹊桥横
'que'ru'jiu'xiang'gui 却入旧香闺
'qun'shang'jin'lv'feng 裙上金缕凤
'ran'jiu'yi'xi'xin'lv 染就一溪新绿
'rao'ting'fang'cao'lv 绕庭芳草绿
'ren'cai'xi'du'zheng'fen'fen 人才西渡正纷纷
'ren'ji'ji 人寂寂
'ren'lei'yang'di'mian 忍泪佯低面
'ren'ren'jin'shuo'jiang'nan'hao 人人尽说江南好
'ren'sheng'cen'ci'jian 人胜参差剪
'ren'sheng'neng'ji'he 人生能几何
'ren'si'yu 人似玉
'ren'xiong'xiong 人汹汹
'ren'yu'bie 人欲别
'ren'yuan'lei'lan'gan 人远泪阑干
'ren'zhuo'zhuo 人灼灼
'ri'gao'you'zi'ping'zhu'lan 日高犹自凭朱栏
'ri'luo'xie'jia'chi'guan 日落谢家池馆
'ri'mu'yin'gui'he'chu'ke 日暮饮归何处客
'ri'xie'gui'qu'ren'nan'jian 日斜归去人难见
'ri'ying'sha'chuang 日映纱窗
'ri'zhao'yu'lou'hua'si'jin 日照玉楼花似锦
'ru'gu'xiang'si'zhi'bu'zhi 入骨相思知不知
'ru'he'bei'fen'er'chang'yi 汝何悲愤而长忆
'ru'jin'ju'shi'yi'xiang'ren 如今俱是异乡人
'ru'jin'que'yi'jiang'nan'le 如今却忆江南乐
'ru'xue 如雪
'rui'huang'wu'xian'dang'shan'e 蕊黄无限当山额
'ruo'ye'xi 若耶溪
'sai'men'san'yue'you'xiao'suo 塞门三月犹萧索
'sai'wai'cao'xian'shuai 塞外草先衰
'sai'yuan'jiu'wu'yin'wen 塞远久无音问
'san'geng'yu 三更雨
'san'san'jin'xian'fu'ping'qiao 毵毵金线拂平桥
'sao'ji'lang'qu'gui'chi 扫即郎去归迟
'shan'yue'bu'zhi'xin'li'shi 山月不知心里事
'shan'zhen'ni 山枕腻
'shan'zhen'yin'nong'zhuang 山枕隐浓妆
'shang'gao'tai 上高台
'shang'ma'zheng'quan'li'shang 上马争劝离觞
'shang'xin'bu'nai'chun'he 伤心不奈春何
'shang'xin'ming'yue'ping'lan'gan 伤心明月凭栏干
'shang'xing'bei'bai'ma'yu'bian'jin'pei 上行杯白马玉鞭金辔
'shang'xing'bei'fang'cao'ba'ling'chun'an 上行杯芳草灞陵春岸
'shang'yang'chun'wan 上阳春晚
'shao'nian 少年
'shao'nian'lang'li'bie'rong'yi 少年郎离别容易
'she'qian'shuang'yan'hui 社前双燕回
'shen'bi'zhu'men'ban'wu'yao 深闭朱门伴舞腰
'shen'chang'qi'chi'hao'qi'nan 身长七尺好奇男
'shen'chu'she'yan'chang 深处麝烟长
'shen'ye 深夜
'shen'ye'gui'lai'chang'ming'ding 深夜归来长酩酊
'shen'yuan'bi 深院闭
'shen'yuan'wu'ren'chun'zhou'wu 深院无人春昼午
'shi'chou'hong 湿愁红
'shi'jie'yu'huang'hun 时节欲黄昏
'shi'jie'zheng'shi'qing'ming 时节正是清明
'shou'li'jin'ying'wu 手里金鹦鹉
'shou'ruo'dai'rao'jie'xing 手挼带绕阶行
'shu'guo'duo'yun'yu 蜀国多云雨
'shu'se'dong'fang'cai'dong 曙色东方才动
'shu'xi'ba 梳洗罢
'shuang'bin'cui'xia'jin'lv 双鬓翠霞金缕
'shuang'bin'ge'xiang'hong 双鬓隔香红
'shuang'lian 双脸
'shuang'shuang'jin'zhe'gu 双双金鹧鸪
'shui'cun'jiang'pu'guo'feng'lei 水村江浦过风雷
'shui'feng'kong'luo'yan'qian'hua 水风空落眼前花
'shui'feng'liang 水风凉
'shui'guang'rong 水光融
'shui'jiao'lv'huan'feng'luan 睡觉绿鬟风乱
'shui'jing'lian'li'po'li'zhen 水精帘里颇黎枕
'shui'shang'yuan'yang'yu 水上鸳鸯浴
'shui'tang'xi'mian'hua'lian'chui 水堂西面画帘垂
'shui'wen'xi'qi'chun'chi'bi 水纹细起春池碧
'shui'xiang'qiao'bian'chui'di 谁向桥边吹笛
'shuo'jin'ren'jian'tian'shang 说尽人间天上
'si'dai'ru'si'liu 似带如丝柳
'si'di'xiang'chun'ri'you 思帝乡春日游
'si'di'xiang'hua'hua 思帝乡花花
'si'di'xiang'yun'ji'zhui 思帝乡云髻坠
'si'jun'qie 思君切
'si'nan'ren 思难任
'si'wu'qiong 思无穷
'si'yue'shi'qi 四月十七
'song'jun'wen'ma'si 送君闻马嘶
'su'cui'can'hong'yao'tiao 宿翠残红窈窕
'su'di'xiu'luo'jin'lv 窣地绣罗金缕
'su'xiao'men'qian'liu'wan'tiao 苏小门前柳万条
'su'zhong'qing'bi'zhao'hong'fang'yan'yu'jing 诉衷情碧沼红芳烟雨静
'su'zhong'qing'ying'yu 诉衷情莺语
'su'zhong'qing'zhu'jin'xiang'can'lian'ban'juan 诉衷情烛烬香残帘半卷
'su'zhuang'chou'chang'yi'gao'ge 宿妆惆怅倚高阁
'su'zhuang'mei'qian'fen'shan'heng 宿妆眉浅粉山横
'su'zhuang'yin'xiao'sha'chuang'ge 宿妆隐笑纱窗隔
'sui'di'chun'mu 隋堤春暮
'suo'chuang'chun'mu 琐窗春暮
'suo'chuang'zhong 琐窗中
'tao'hua'chun'shui'lv 桃花春水绿
'tian'ji'yun'niao'yin'qing'yuan 天际云鸟引晴远
'tian'jin'qiao'shang 天津桥上
'tian'jin'qiao'shang'wu'ren'zhi 天津桥上无人知
'tian'shang'chang'e'ren'bu'shi 天上嫦娥人不识
'tian'shang'tan'ren'hui 天上探人回
'tian'sheng'jiu'wu'bu'ru'xin 天生旧物不如新
'tian'wai'hong'sheng'zhen'shang'wen 天外鸿声枕上闻
'tian'xian'zi'chan'cai'shuang'hua'ye'bu'fen 天仙子蟾彩霜华夜不分
'tian'xian'zi'chang'wang'qian'hui'meng'li'qi 天仙子怅望前回梦里期
'tian'xian'zi'jin'si'yi'shang'yu'si'shen 天仙子金似衣裳玉似身
'tian'xian'zi'meng'jue'yun'ping'yi'jiu'kong 天仙子梦觉云屏依旧空
'tian'xian'zi'shen'ye'gui'lai'chang'ming'ding 天仙子深夜归来长酩酊
'tiao'di'qu'cheng'qian'wan'li 迢递去程千万里
'tiao'jin'jin'deng'hong'jin 挑尽金灯红烬
'tiao'tiao 迢迢
'ting'suo'chui'lei'yi'zheng'ren 停梭垂泪忆征人
'tong'ban 同伴
'tong'gu'sai'shen'lai 铜鼓赛神来
'tou'lian'mu 透帘幕
'tou'yan'an'xing'xiang 偷眼暗形相
'tuan'su'wo'xue'hua 团酥握雪花
'wan'ban'chou'chang'xiang'shui'lun 万般惆怅向谁论
'wan'lai'geng'dai'long'chi'yu 晚来更带龙池雨
'wan'lai'ren'yi'xi 晚来人已稀
'wan'zhi'xiang'niao'hong'si'fu 万枝香袅红丝拂
'wan'zhi'xiang'xue'kai'yi'bian 万枝香雪开已遍
'wang'shi'na'kan'yi 往事那堪忆
'wang'yan'fen 望烟分
'wang'yuan'xing'yu'bie'wu'yan'yi'hua'ping 望远行欲别无言倚画屏
'wei'de'jun'shu 未得君书
'wei'juan'zhu'lian 未卷珠帘
'wei'jun'qiao'cui'jin 为君憔悴尽
'wei'lao'mo'huan'xiang 未老莫还乡
'wei'mian'shi 未眠时
'wei'qie'jiang'shang'ming'jun 为妾将上明君
'wei'si'jun 为思君
'wei'wo'nan'fei'chuan'wo'yi 为我南飞传我意
'wei'you'duo'qing'song'yu'zhi 唯有多情宋玉知
'wei'you'ruan'lang'chun'jin 惟有阮郎春尽
'wei'zhuang'juan 韦庄卷
'wen'hua'hua'bu'yu 问花花不语
'wen'ting'yun'juan 温庭筠卷
'wo'shi'liu'bo'zhuang 卧时留薄妆
'wo'si'chen'shi'an'xiao'hun 卧思陈事暗消魂
'wu'bo'yun'qing 雾薄云轻
'wu'chu'shuo 无处说
'wu'ding'chu 无定处
'wu'ji'de'chuan'xiao'xi 无计得传消息
'wu'lao'feng 五老峰
'wu'lao'feng'tou'pian'xiang'zuo 五老峰头偏向左
'wu'liao'du'yi'men 无聊独倚门
'wu'tong'shu 梧桐树
'wu'yan'yun'shui'lian 无言匀睡脸
'wu'yi'chen'an'sheng 舞衣尘暗生
'wu'yi'hong'shou'dai 舞衣红绶带
'wu'yi'wu'li'feng'lian 舞衣无力风敛
'xi'de'wang'sun'gui'yi'qie 系得王孙归意切
'xi'die'you'feng'hua'lan'man 戏蝶游蜂花烂漫
'xi'liang'chen 惜良辰
'xi'ling'feng'yu'xiao'xiao 西陵风雨萧萧
'xi'qian'ying'jie'gu'dong 喜迁莺街鼓动
'xi'qian'ying'ren'xiong'xiong 喜迁莺人汹汹
'xi'shui'xi 溪水西
'xi'yu'fei'fei'li'hua'bai 细雨霏霏梨花白
'xi'yu'shuang'yan 细雨双燕
'xi'yu'xiao'ying'chun'wan 细雨晓莺春晚
'xia'fang'yuan'hua'ban'che 遐方怨花半坼
'xia'fang'yuan'ping'xiu'kan 遐方怨凭绣槛
'xia'pei'yun'fa 霞帔云发
'xia'qun'yue'pei'yi'qun'qun 霞裙月帔一群群
'xian'bao'pi'pa'xun'jiu'qu 闲抱琵琶寻旧曲
'xian'chou'shang'cui'mei 闲愁上翠眉
'xian'jing'ge'nv'cai'lian 仙景个女采莲
'xian'jue'kou'zhi'xiang 先觉口脂香
'xian'ke'yi'qu'yan'yi'fei 仙客一去燕已飞
'xian'meng'yi'jin'tang 闲梦忆金堂
'xian'niao'chun'feng'ban'wu'yao 闲袅春风伴舞腰
'xian'shang'huang'ying'yu 弦上黄莺语
'xian'wang 闲望
'xian'xian'shou 纤纤手
'xian'xiang'lv'ping'chi'shang 闲向绿萍池上
'xian'yan'cui'ping'jin'feng 闲掩翠屏金凤
'xian'yi'bo'shan'chang'tan 闲倚博山长叹
'xian'yi'hu 闲倚户
'xiang'bie 相别
'xiang'chen'yin'ying 香尘隐映
'xiang'de'ci'shi'qing'qie 想得此时情切
'xiang'deng'ban'juan'liu'su'zhang 香灯半卷流苏帐
'xiang'huan 相唤
'xiang'jian'geng'wu'yin 相见更无因
'xiang'jian'mu'dan'shi 相见牡丹时
'xiang'jian'xi 相见稀
'xiang'jun'si'wo'jin'qin'han 想君思我锦衾寒
'xiang'man'yi 香满衣
'xiang'wu'bo 香雾薄
'xiang'yi'jiu 相忆久
'xiang'yi'meng'nan'cheng 相忆梦难成
'xiang'yu 香玉
'xiang'zhu'xiao'cheng'lei 香烛销成泪
'xiang'zuo'sui 香作穗
'xiao'chong'shan'chun'dao'chang'men'chun'cao'qing 小重山春到长门春草青
'xiao'chong'shan'qiu'dao'chang'men'qiu'cao'huang 小重山秋到长门秋草黄
'xiao'chong'shan'yi'bi'zhao'yang'chun'you'chun 小重山一闭昭阳春又春
'xiao'chuan'yao'yang'ru'hua'li 小船摇漾入花里
'xiao'chuang'feng'chu'ming'qin 小窗风触鸣琴
'xiao'feng'zhan'bi'jin'zhan'yan 小凤战篦金飐艳
'xiao'he'he 笑呵呵
'xiao'lou'gao'ge'xie'niang'jia 小楼高阁谢娘家
'xiao'niang 小娘
'xiao'niang'hong'fen'dui'han'lang 小娘红粉对寒浪
'xiao'ping'shan'duan'xu 晓屏山断续
'xiao'shan'chong'die'jin'ming'mie 小山重叠金明灭
'xiao'ting'kong 小庭空
'xiao'ting'zhong 晓庭中
'xiao'xi'duan 消息断
'xiao'yuan'fang'cao'lv 小园芳草绿
'xiao'zhuang'xian 晓妆鲜
'xie'hui'mo'mo'shui'you'you 斜晖脉脉水悠悠
'xie'jia'ting'shu'jin'ji'ming 谢家庭树锦鸡鸣
'xie'niang'chou'chang'yi'lan'rao 谢娘惆怅倚兰桡
'xie'niang'cui'e'chou'bu'xiao 谢娘翠蛾愁不消
'xie'niang'wu'xian'xin'qu 谢娘无限心曲
'xie'shou'an'xiang'qi 携手暗相期
'xie'yi'yin'ping'wu'yu 斜倚银屏无语
'xin'sheng'yang'liu'zhi'jing'di'dian'deng'shen'zhu'yi 新生杨柳枝井底点灯深烛伊
'xin'sheng'yang'liu'zhi'yi'chi'shen'hong'meng'qu'chen 新生杨柳枝一尺深红蒙曲尘
'xin'shi'jing'shui'zhi 心事竟谁知
'xin'shui'jiao'lai'wu'li 新睡觉来无力
'xin'sui'qing'ping'si'tong'nian 新岁清平思同辇
'xin'tie'xiu'luo'ru 新贴绣罗襦
'xing'dou'jian'wei'mang 星斗渐微茫
'xing'dou'xi 星斗稀
'xing'hua'chui'man'tou 杏花吹满头
'xing'hua'han'lu'tuan'xiang'xue 杏花含露团香雪
'xing'hua'hong 杏花红
'xing'hua'ling'luo'xiang 杏花零落香
'xing'hua'wei'ken'wu'qing'si 杏花未肯无情思
'xing'hua'xi 杏花稀
'xing'ke'wei'gui'shi 行客未归时
'xiong'qian'xiu'feng'huang 胸前绣凤凰
'xiu'an'cong'ma'yi'sheng'si 绣鞍骢马一声嘶
'xiu'feng'fei'cui'qun 休缝翡翠裙
'xiu'ge'xiang'deng'mie 绣阁香灯灭
'xiu'lian'chui'lu'su 绣帘垂箓簌
'xiu'luo'qing 绣罗轻
'xiu'qin'xiang'leng'lan'zhong'xun 绣衾香冷懒重熏
'xiu'shan'zhe'xiao'ye 绣衫遮笑靥
'xiu'wei'chui 绣帷垂
'xiu'yi'chang 绣衣长
'xiu'yi'jin'lv 绣衣金缕
'xiu'yuan'yang 绣鸳鸯
'xu'chou'chun'lou'duan 须愁春漏短
'xu'ge'shang 虚阁上
'xu'kui 须愧
'xu'quan 须劝
'xu'zhi'chun'se'liu'si'huang 须知春色柳丝黄
'xuan'cao'lv 萱草绿
'xue'mei'xiang 雪梅香
'xue'xiong'luan'jing'li 雪胸鸾镜里
'xun'sheng'chi'zhou'qing'chen 寻胜驰骤轻尘
'xun'xun'jiu'qi'she'lan'he 醺醺酒气麝兰和
'yan'ai'du'nan'yuan 烟霭渡南苑
'yan'ai'ge 烟霭隔
'yan'cao'nian'fei'die 烟草黏飞蝶
'yan'fei'can'yue'tian 雁飞残月天
'yan'fei'chun'you'can 燕飞春又残
'yan'fu'hua'lian'jin'e 燕拂画帘金额
'yan'gui'jun'bu'gui 燕归君不归
'yan'hong'kai'jin'ru'xue 艳红开尽如血
'yan'hua'qiao'bian'chun'shui 罨画桥边春水
'yan'lai'ren'bu'lai 雁来人不来
'yan'lai'xi 雁来稀
'yan'liu'zhong 烟柳重
'yan'men'xiao'xi'bu'gui'lai 雁门消息不归来
'yan'nan'fei 雁南飞
'yan'pu'hua'qiao'lu'yao 烟浦花桥路遥
'yan'ru'qiu'shui'bin'ru'yun 眼如秋水鬓如云
'yan'shuang'shuang 燕双双
'yan'yin'ping 掩银屏
'yan'yu 烟雨
'yang'liu'duo'xin'mei 杨柳堕新眉
'yang'liu'hua'piao'xue 杨柳花飘雪
'yang'liu'se'yi'yi 杨柳色依依
'yang'liu'you'ru'si 杨柳又如丝
'yang'liu'zhi'guan'wa'gong'wai'ye'cheng'xi 杨柳枝馆娃宫外邺城西
'yang'liu'zhi'jin'lv'san'san'bi'wa'gou 杨柳枝金缕毵毵碧瓦沟
'yang'liu'zhi'liang'liang'huang'li'se'si'jin 杨柳枝两两黄鹂色似金
'yang'liu'zhi'nan'nei'qiang'dong'yu'lu'di 杨柳枝南内墙东御路帝
'yang'liu'zhi'su'xiao'men'qian'liu'wan'tiao 杨柳枝苏小门前柳万条
'yang'liu'zhi'yi'chun'yuan'wai'zui'chang'tiao 杨柳枝宜春苑外最长条
'yang'liu'zhi'yu'liu'ru'si'ying'jiu'chong 杨柳枝御柳如丝映九重
'yang'liu'zhi'zhi'jin'ji'bian'ying'yu'pin 杨柳枝织锦机边莺语频
'yao'jian'cui'kan'hong'lou 遥见翠槛红楼
'yao'luo'shi'ren'bei 摇落使人悲
'yao'ye'bi'yun'xie 摇曳碧云斜
'ye'chang'qin'zhen'han 夜长衾枕寒
'ye'fen'fen 叶纷纷
'ye'han'gong'lou'yong 夜寒宫漏永
'ye'hua'fang'cao 野花芳草
'ye'jin'men'chun'lou'cu 谒金门春漏促
'ye'jin'men'chun'yu'zu 谒金门春雨足
'ye'jin'men'kong'xiang'yi 谒金门空相忆
'ye'lai'hao'yue'cai'dang'wu 夜来皓月才当午
'ye'ye'lv'chuang'feng'yu 夜夜绿窗风雨
'ye'ye'xiang'si'geng'lou'can 夜夜相思更漏残
'ye'ye'xiu'ping'gu'su 夜夜绣屏孤宿
'yi'bi'zhao'yang'chun'you'chun 一闭昭阳春又春
'yi'bian'lan'gan'ji'qu 倚边栏干几曲
'yi'chang'men 倚长门
'yi'chi'shen'hong'meng'qu'chen 一尺深红蒙曲尘
'yi'chun'qing'yi'chi 意蠢情亦痴
'yi'chun'yuan'wai'zui'chang'tiao 宜春苑外最长条
'yi'cun'li'chang'qian'wan'jie 一寸离肠千万结
'yi'dian'lu'zhu'ning'leng 一点露珠凝冷
'yi'feng'zhen 移凤枕
'yi'jiu'tao'hua'mian 依旧桃花面
'yi'jun'chang'yu'duan 忆君肠欲断
'yi'jun'jun'bu'zhi 忆君君不知
'yi'lai'wei'ba'jiu'shu'kan 忆来唯把旧书看
'yi'lan'rao 倚兰桡
'yi'lan'wang 倚栏望
'yi'mian'xin'zhuang'dai'xiao'feng 一面新妆待晓风
'yi'qiao'chun'yu'shi 驿桥春雨时
'yi'qu'chun'shui'chi'lan'qiao 一渠春水赤栏桥
'yi'qu'li'sheng'chang'cun'duan 一曲离声肠寸断
'yi'ri'ri 一日日
'yi'sheng'cun'luo'ji 一声村落鸡
'yi'sheng'fu'gui'he'ke'qi 一生富贵何可期
'yi'sheng'sheng 一声声
'yi'sheng'xiu 一生休
'yi'shuang'chou'dai'yuan'shan'mei 一双愁黛远山眉
'yi'shuang'jiao'yan'yu'diao'liang 一双娇燕语雕梁
'yi'wang'wu'shan'yu 一望巫山雨
'yi'xi'zai'zhao'yang 忆昔在昭阳
'yi'xiang'bie 易相别
'yi'ye'lian'qian'feng'han'zhu 一夜帘前风撼竹
'yi'ye'man'cheng'che'ma 一夜满城车马
'yi'ye'ye 一叶叶
'yi'yi 依依
'yi'zhen'fu'yuan'qin 敧枕覆鸳衾
'yi'zhi'chun'xue'dong'mei'hua 一枝春雪冻梅花
'yi'zhi'chun'yan'nong 一枝春艳浓
'yin'jian'yu'hua'jun 引见玉华君
'yin'xin'bu'gui'lai 音信不归来
'yin'zhu'jin 银烛尽
'ying'ti'can'yue 莺啼残月
'ying'tian'chang'bie'lai'ban'sui'yin'shu'jue 应天长别来半岁音书绝
'ying'tian'chang'lv'huai'yin'li'huang'ying'yu 应天长绿槐阴里黄莺语
'ying'yi'qian 莺已迁
'ying'ying'yu 莺莺语
'ying'yong'hong'jun'ping'rou'bo 英勇红军凭肉搏
'ying'yu 莺语
'ying'yu'kong'chang'duan 莺语空肠断
'you'fei'hui 又飞回
'you'ge'jiao'rao'ru'yu 有个娇娆如玉
'you'ren'zhi'he'jiang'nan'lao 游人只合江南老
'you'shi'yu'lou'hua'si'xue 又是玉楼花似雪
'you'xi'bie'shi'hong'dou 犹系别时红豆
'you'xiang'hai'tang'hua'xia'yin 又向海棠花下饮
'yu'bian'hun'duan'yan'xia'lu 玉鞭魂断烟霞路
'yu'bian'jin'le 玉鞭金勒
'yu'bie'wu'yan'yi'hua'ping 欲别无言倚画屏
'yu'chai'tou'shang'feng 玉钗头上风
'yu'chai'xie'sen'yun'huan'zhong 玉钗斜篸云鬟重
'yu'chan'jin'que 玉蝉金雀
'yu'chu'qing 雨初晴
'yu'duo'shi 语多时
'yu'fei'fei 雨霏霏
'yu'fei'wei 雨霏微
