'chen'jiang'cha 沉降差
'chen'jiang'feng 沉降缝
'chen'jiang'guan'ce 沉降观测
'chen'jiang'guan'ce'dian 沉降观测点
'chen'jiang'xi'shu 沉降系数
'chen'lie'pin'zhao'ming 陈列品照明
'chen'lie'shi 陈列室
'chen'she 陈设
'chen'tou'mu'luo'shuan 沉头木螺栓
'cheng'bang 城邦
'cheng'bao'gong'cheng 承包工程
'cheng'ben'fu'jia'shou'fei 成本附加收费
'cheng'ben'ji'hua 成本计划
'cheng'ben'kong'zhi 成本控制
'cheng'cha'guan 承插管
'cheng'cha'jie'tou 承插接头
'cheng'cha'lian'jie 承插连接
'cheng'de'bi'shu'shan'zhuang 承德避暑山庄
'cheng'fa'bao'fang'shi 承发包方式
'cheng'gan'tiao'gao'chang'di 撑竿跳高场地
'cheng'hao 城濠
'cheng'ke'dian'ti 乘客电梯
'cheng'kong'dian'yuan 程控电源
'cheng'kong'tai 程控台
'cheng'mao'kun 程懋堃
'cheng'pin'ku 成品库
'cheng'shi'bian'yuan 城市边缘
'cheng'shi'bing 城市病
'cheng'shi'bu'ju 城市布局
'cheng'shi'ce'liang 城市测量
'cheng'shi'chong'jian 城市重建
'cheng'shi'dao'lu 城市道路
'cheng'shi'dao'lu'xi'tong 城市道路系统
'cheng'shi'di'li'xue 城市地理学
'cheng'shi'dian'li'wang 城市电力网
'cheng'shi'dian'li'xi'tong 城市电力系统
'cheng'shi'fa'zhan'zhan'lue 城市发展战略
'cheng'shi'fang'hong 城市防洪
'cheng'shi'fang'zai 城市防灾
'cheng'shi'fang'zhen 城市防震
'cheng'shi'fang'zhen'she'ji 城市防震设计
'cheng'shi'fen'lei 城市分类
'cheng'shi'feng'mao 城市风貌
'cheng'shi'fu'she'li 城市辐射力
'cheng'shi'gai'jian 城市改建
'cheng'shi'gei'shui 城市给水
'cheng'shi'gei'shui'she'ji 城市给水设计
'cheng'shi'gei'shui'xi'tong 城市给水系统
'cheng'shi'geng'xin 城市更新
'cheng'shi'gong'dian 城市供电
'cheng'shi'gong'dian'she'ji 城市供电设计
'cheng'shi'gong'gong'jiao'tong 城市公共交通
'cheng'shi'gong'gong'jiao'tong'xi'tong 城市公共交通系统
'cheng'shi'gong'neng'fen'qu 城市功能分区
'cheng'shi'gong're 城市供热
'cheng'shi'gong're'she'ji 城市供热设计
'cheng'shi'gong're'xi'tong 城市供热系统
'cheng'shi'gong'yuan 城市公园
'cheng'shi'gong'yuan'she'ji 城市公园设计
'cheng'shi'gong'yuan'xi'tong 城市公园系统
'cheng'shi'guang'chang 城市广场
'cheng'shi'gui'hua 城市规划
'cheng'shi'gui'hua'biao'zhun 城市规划标准
'cheng'shi'gui'hua'fa'gui 城市规划法规
'cheng'shi'gui'hua'gang'yao 城市规划纲要
'cheng'shi'gui'hua'guan'li 城市规划管理
'cheng'shi'gui'hua'li'lun 城市规划理论
'cheng'shi'gui'hua'qu 城市规划区
'cheng'shi'gui'hua'she'ji 城市规划设计
'cheng'shi'gui'hua'she'ji'yuan 城市规划设计院
'cheng'shi'gui'hua'shi'shi 城市规划实施
'cheng'shi'gui'mo 城市规模
'cheng'shi'he'xin 城市核心
'cheng'shi'hua 城市化
'cheng'shi'hua'shui'ping 城市化水平
'cheng'shi'huan'jing 城市环境
'cheng'shi'huan'jing'bao'hu 城市环境保护
'cheng'shi'huan'jing'she'ji 城市环境设计
'cheng'shi'huan'jing'wei'sheng 城市环境卫生
'cheng'shi'ji'li 城市肌理
'cheng'shi'jian'cheng'qu 城市建成区
'cheng'shi'jian'she'guan'li 城市建设管理
'cheng'shi'jian'zhu'fa'gui 城市建筑法规
'cheng'shi'jian'zhu'xiao'pin 城市建筑小品
'cheng'shi'jiao'tong 城市交通
'cheng'shi'jie'gou 城市结构
'cheng'shi'jing'guan 城市景观
'cheng'shi'jing'ji 城市经济
'cheng'shi'jing'ji'xue 城市经济学
'cheng'shi'kan'cha 城市勘察
'cheng'shi'ke'xue 城市科学
'cheng'shi'kong'jian 城市空间
'cheng'shi'li'shi'bao'hu 城市历史保护
'cheng'shi'lv'di 城市绿地
'cheng'shi'lv'di'xi'tong'gui'hua 城市绿地系统规划
'cheng'shi'lv'hua'fu'gai'lv 城市绿化覆盖率
'cheng'shi'mei'xue 城市美学
'cheng'shi'pai'shui 城市排水
'cheng'shi'pai'shui'xi'tong 城市排水系统
'cheng'shi'ping'jia 城市评价
'cheng'shi'qi'hou 城市气候
'cheng'shi'qun 城市群
'cheng'shi'ran'qi'gong'ying'xi'tong 城市燃气供应系统
'cheng'shi'ren'kou 城市人口
'cheng'shi'ren'kou'fen'bu 城市人口分布
'cheng'shi'ren'kou'gui'mo 城市人口规模
'cheng'shi'ren'kou'liu'dong 城市人口流动
'cheng'shi'ren'kou'xue 城市人口学
'cheng'shi'ren'kou'yu'ce 城市人口预测
'cheng'shi'she'hui'xue 城市社会学
'cheng'shi'she'ji 城市设计
'cheng'shi'she'qu 城市社区
'cheng'shi'sheng'tai 城市生态
'cheng'shi'sheng'tai'she'ji 城市生态设计
'cheng'shi'sheng'tai'xi'tong 城市生态系统
'cheng'shi'shi 城市史
'cheng'shi'shou'wei'du 城市首位度
'cheng'shi'shuai'tui 城市衰退
'cheng'shi'tong'xin'xi'tong 城市通信系统
'cheng'shi'wen'ti 城市问题
'cheng'shi'xi'yin'li 城市吸引力
'cheng'shi'xiang'xi'gui'hua 城市详细规划
'cheng'shi'xing'shi 城市形式
'cheng'shi'xing'tai 城市形态
'cheng'shi'xing'ti'huan'jing 城市形体环境
'cheng'shi'xing'xiang 城市形象
'cheng'shi'xing'zhi 城市性质
'cheng'shi'xuan'zhi 城市选址
'cheng'shi'yi'shu 城市艺术
'cheng'shi'yong'di 城市用地
'cheng'shi'yong'di'xuan'ze 城市用地选择
'cheng'shi'yong'dian'fu'he 城市用电负荷
'cheng'shi'yong'shui 城市用水
'cheng'shi'zhi'neng 城市职能
'cheng'shi'zong'ti'gui'hua 城市总体规划
'cheng'shi'zu'tuan 城市组团
'cheng'tai 承台
'cheng'tou 撑头
'cheng'zai'li 承载力
'cheng'zai'long'gu 承载龙骨
'cheng'zhen'ji'ju'qu 城镇集聚区
'cheng'zhen'ti'xi 城镇体系
'cheng'zhen'ti'xi'gui'hua 城镇体系规划
'cheng'zhong 承重
'cheng'zhong'ge'qiang 承重隔墙
'cheng'zhong'jie'gou 承重结构
'cheng'zhong'qiang 承重墙
'cheng'zhong'qiang'jie'gou 承重墙结构
'cheng'zhong'zhuan'qiang 承重砖墙
'chi'bi 池壁
'chi'bian'zuo'ren'ai'qiang 池边坐人矮墙
'chi'cun'xian 尺寸线
'chi'dao'xi 迟到席
'chi'li 持力
'chi'li'ceng 持力层
'chi'lun'chang 齿轮厂
'chi'wei 鸱尾
'chi'zuo'ceng 池座层
'chi'zuo'qian'pai 池座前排
'chong'dian'zhan 充电站
'chong'fen'pei 重分配
'chong'fu'jie'di 重复接地
'chong'jiao 虫胶
'chong'qie 冲切
'chong'qie'po'huai 冲切破坏
'chong'ya'che'jian 冲压车间
'chong'yan 重檐
'chong'yan'wu'dian 重檐庑殿
'chou'cha'she'ding 抽查射钉
'chou'jian'xiang'mu 筹建项目
'chou'qi'feng'dao'jian'cha'ji'lu 抽气风道检查记录
'chou'qi'feng'shan 抽气风扇
'chou'qi'tong'feng 抽气通风
'chu'bu'cao'tu 初步草图
'chu'bu'fang'an 初步方案
'chu'bu'she'ji 初步设计
'chu'bu'she'ji'jie'duan 初步设计阶段
'chu'bu'she'ji'tu 初步设计图
'chu'bu'she'ji'tu'ji'shuo'ming 初步设计图及说明
'chu'cang'shi 储藏室
'chu'chuang'zhao'ming 橱窗照明
'chu'dian'ya'li 触点压力
'chu'fang'ba'qi'zhao 厨房拔气罩
'chu'fang'pai'yan'ji 厨房排烟机
'chu'fang'she'bei'bu'zhi 厨房设备布置
'chu'fang'she'shi 厨房设施
'chu'ji 出际
'chu'jian'fei'yong 初建费用
'chu'kou'jia'gong'qu 出口加工区
'chu'li'jian'cao'ji 畜力剪草机
'chu'na'chu 出纳处
'chu'ning 初凝
'chu'ping'mian 出平面
'chu'ru'kou 出入口
'chu'she 初设
'chu'shui'kong 出水孔
'chu'shui'kou 出水口
'chu'tiao 出跳
'chu'xian'he 出线盒
'chu'xian'kou 出线口
'chu'xing'fen'bu 出行分布
'chu'xing'sheng'cheng 出行生成
'chu'xing'xi'yin 出行吸引
'chu'xiu 除锈
'chu'xu'suo 储蓄所
'chu'you'chi 除油池
'chu'yuan 厨园
'chu'zu'qi'che 出租汽车
'chu'zu'qi'che'ting'che'chang 出租汽车停车场
'chu'zu'qi'che'zhan 出租汽车站
'chuan'bing'lian'dian'lu 串并联电路
'chuan'cha'fang 穿插枋
'chuan'di'bi 传递比
'chuan'di'chuang 传递窗
'chuan'dou'shi'gou'jia 穿斗式构架
'chuan'guan 穿管
'chuan'kong'ban 穿孔板
'chuan'kong'lv 穿孔率
'chuan'kong'lv'kou'ban 穿孔铝扣板
'chuan'lian'dian'chi'zu 串联电池组
'chuan'lian'xian'quan 串联线圈
'chuan'liang 穿梁
'chuan'ran'bing'yuan 传染病院
'chuan're 传热
'chuan're'xi'shu 传热系数
'chuan'tong'yuan'lin'jian'zhu 传统园林建筑
'chuan'xian'gong'cheng 穿线工程
'chuan'yue'tong'feng 穿越通风
'chuan'zhi 传质
'chuan'zi 椽子
'chuang'bo'li 窗玻璃
'chuang'cha'xiao 窗插销
'chuang'cheng'tou 窗撑头
