'an'wa'fa 暗挖法
'yan'ti'ji'ben'zhi'ying'fen'ji 岩体基本质蛍分级
'yan'ti'jie'gou 岩体结构
'yan'ti'jie'gou'mian'zhi'si'shi'yan 岩体结构面直四试验
'yan'ti'sheng'bo'su'du'ce'shi 岩体声波速度测试
'yan'ti'yuan'wei'ying'li'ce'shi 岩体原位应力测试
'yan'tu'gong'cheng 岩土工程
'yan'tu'gong'cheng'fen'ji 岩土工程分级
'yan'tu'gong'cheng'kan'cha 岩土工程勘察
'yan'tu'gong'cheng'kan'cha'bao'gao 岩土工程勘察报告
'yan'tu'gong'cheng'ping'jia 岩土工程评价
'yan'tu'mao'gu 岩土锚固
'yan'xin'bian'qu'lv 岩芯釆取率
'yan'xin'huo'de'lv 岩芯获得率
'yan'xu'xing 延续性
'yang'gong 仰拱
'yang'ya'li 扬压力
'yao'gan'kan'ce 遥感勘测
'yao'liang 腰梁
'ye'hua'shi 液化势
'ye'xian 液限
'ye'xing'zhi'shu 液性指数
'ying'bian'kong'jian 应变空间
'ying'li'fen'bu 应力分布
'ying'li'ji'zhong 应力集中
'ying'li'kong'jian 应力空间
'ying'li'li'shi 应力历史
'ying'li'lu'jing 应力路径
'ying'li'song'chi 应力松弛
'ying'xiang'ban'jing 影响半径
'yong'jiu'bian'po 永久边坡
'yong'jiu'zhi'hu 永久支护
'you'fang'tu'gong'zhi'wu 有纺土工织物
'you'ji'cheng'tu 有机成土
'you'xiao'li'jing 有效粒径
'you'xiao'ying'li'fa 有效应力法
'you'xiao'ying'li'yuan'li 有效应力原理
'yu'di'ba 淤地坝
'yu'la'li'mao'gan 预拉力锚杆
'yu'ni 淤泥
'yu'ni'zhi'tu 淤泥质土
'yu'ya'li'mao'gan 预压力锚杆
'yu'ying'li'mao'gan 预应力锚杆
'yu'zhi'zhuang 预制桩
'yuan'hu'hua'dong 圆弧滑动
'yuan'sheng'jie'gou'mian 原生结构面
'yuan'wei'shi'yan 原位试验
'yuan'wei'zhi'jie'qu'qie'shi'yan 原位直接取切试验
'yuan'xing'jian'ce 原型监测
'yuan'zhui'dong'li'chu'tan'shi'yan 圆锥动力触探试验
'za'tian'tu 杂填土
'zai'hai'di'zhi'xue 灾害地质学
'zai'he'shi'yan 载荷试验
'zhang'kai'du 张开度
'zhe'qu 褶曲
'zhe'zhou 褶皱
'zhen'chong 振冲
'zhen'dong'ya'shi 振动压实
'zhen'kong'yu'ya 真空预压
'zhen'mi 振密
'zhen'san'zhou'shi'yan 真三轴试验
'zhen'xian 震陷
'zheng'chang'gu'jie'tu 正常固结土
'zheng'ti'wan'qu 整体弯曲
'zheng'ti'yong'qie'po'huai 整体勇切破坏
'zhi'cheng 支撑
'zhi'dun'shi'dang'qiang 支墩式挡墙
'zhi'huan 置换
'zhi'jian'shi'yan 直剪试验
'zhong'du 重度
'zhong'li'ba 重力坝
'zhong'li'shi'dang'qiang 重力式挡墙
'zhong'li'shui 重力水
'zhong'xian'shi'zhu'ba'fa 中线式筑坝法
'zhong'xin'he'zai 中心荷载
'zhou'qi'he'zai 周期荷载
'zhu'dong'tu'ya'li 主动土压力
'zhu'dong'zhuang 主动桩
'zhu'dui'shi'qu 主堆石区
'zhu'gu'jie 主固结
'zhu'gu'jie'chen'jiang 主固结沉降
'zhu'shui'shi'yan 注水试验
'zhu'xia'tiao'xing'ji'chu 柱下条形基础
'zhuang'ce'zu'li 桩侧阻力
'zhuang'cheng'tai 桩承台
'zhuang'de'shui'ping'bian'xing'xi'shu 桩的水平变形系数
'zhuang'de'zhong'xing'dian 桩的中性点
'zhuang'di'chen'qing'jian'ce 桩底沉清检测
'zhuang'duan'zu'li 桩端阻力
'zhuang'ji'chu 桩基础
'zhuang'ji'deng'xiao'chen'jiang'xi'shu 桩基等效沉降系数
'zhuang'ji'tuo'huan 桩基托换
'zhui'xing'ji'chu 锥形基础
'zi'ba 子坝
'zi'ran'bian'po 自然边坡
'zi'you'peng'zhang'lv 自由膨胀率
'zi'you'shui 自由水
'zi'zheng'ying'li 自正应力
'zong'he'gong'cheng'di'zhi'tu 综合工程地质图
'zong'he'zhu'zhuang'tu 综合柱状图
'zong'ying'li 总应力
'zong'ying'li'fa 总应力法
'zu'he'zhuang 组合桩
'zuan'bao'fa 钻爆法
'zuan'kong'bian'xing'shi'yan 钻孔变形试验
'zuan'tan 钻探
'zui'da'gan'mi'du 最大干密度
'zui'you'han'shui'lv 最优含水率
'zui'zhong'chen'jiang 最终沉降
