'an'mei 暗煤
'ji'dian'jie'he'gui'dao'heng 机电结合轨道衡
'ji'he'gao 几何高
'ji'jia 机架
'ji'keng 基坑
'ji'liao'cao 集料槽
'ji'nan'xuan'mei 极难选煤
'ji'pai'shui 给排水
'ji'pai'shui'zhuan'ye 给排水专业
'ji'shu'bi'jiao 技术比较
'ji'shu'jing'ji'bi'jiao 技术经济比较
'ji'shu'jing'ji'zhi'biao'biao 技术经济指标表
'ji'shu'jing'ji'zhuan'ye 技术经济专业
'ji'shu'she'ji 技术设计
'ji'shui'qi 集水器
'ji'tou'liu'cao 机头溜槽
'ji'xie'gui'dao'heng 机械轨道衡
'ji'xie'lian'xi'tu 机械联系图
'ji'xie'pai'gan'che'jian 机械排矸车间
'ji'xie'zhuan'ye 机械专业
'ji'yi'xuan'mei 极易选煤
'ji'zhen 激振
'ji'zhen'dian'ji 激振电机
'ji'zhen'li 激振力
'ji'zhen'qi 激振器
'ji'zhen'tou 激振头
'ji'zhi'zhuan'ye 机制专业
'ji'zhong'shui'chi 集中水池
'ji'zhong'zhuang'che 集中装车
'ji'zu'an'zhuang'tu 机组安装图
'jia'di 假底
'jia'gan 夹矸
'jia'gan'ceng 夹矸层
'jia'gan'liang 夹矸量
'jia'gan'mei 夹矸煤
'jia'gu'quan 加固圈
'jia'ke 夹壳
'jia'kong'shi 架空式
'jia'mei 加煤
'jia're'qi 加热器
'jia'ya'guo'lv 加压过滤
'jia'ya'guo'lv'ji 加压过滤机
'jia'yao'lou'dou 加药漏斗
'jia'zai'fa 加载阀
'jia'zhong'zhi 加重质
'jian'bai'xing 简摆型
'jian'cha'kong 检查孔
'jian'cha'shai'fen 检查筛分
'jian'gan 拣矸
'jian'gan'xiao'lv 拣矸效率
'jian'jie'ci'xuan 间接磁选
'jian'xiu'che'jian 检修车间
'jian'xiu'kong 检修孔
'jian'xiu'liang 检修梁
'jian'xiu'she'bei 检修设备
'jian'xuan 兼选
'jian'zhen'zhuang'zhi 减振装置
'jian'zhu'mo'shu 建筑模数
'jiang'hui 降灰
'jiang'liao'cao 浆料槽
'jiao'ban'qi 搅拌器
'jiao'ban'shi 搅拌式
'jiao'ban'tong 搅拌桶
'jiao'bing 焦饼
'jiao'dai'ceng'shu 胶带层数
'jiao'dai'cheng 胶带秤
'jiao'dai'ji 胶带机
'jiao'dai'lun 胶带轮
'jiao'dai'shu'song'ji 胶带输送机
'jiao'dai'zou'lang 胶带走廊
'jiao'mei 焦煤
'jiao'mian 胶面
'jiao'tan 焦炭
'jiao'tong'wei'zhi'tu 交通位置图
'jiao'yan'fa'ma 校验砝码
'jiao'zha 焦渣
'jiao'zhui'chen'dian'chi 角锥沉淀池
'jiao'zhui'chi 角锥池
'jie'dong'ku 解冻库
'jie'hao 介耗
'jie'jiao'xing 结焦性
'jie'jing'mei 洁净煤
'jie'li'li'du 解离粒度
'jie'ti'shi'ran'shao'lu 阶梯式燃烧炉
'jie'zhi'beng 介质泵
'jie'zhi'liu'cheng 介质流程
'jie'zhi'mo'sui'ji 介质磨碎机
'jie'zhi'nong'suo 介质浓缩
'jie'zhi'ping'heng'biao 介质平衡表
'jie'zhi'tong 介质桶
'jie'zhi'xi'tong 介质系统
'jie'zhi'xi'tong'ping'heng'biao 介质系统平衡表
'jie'zhi'zhi'bei'che'jian 介质制备车间
'jin'liao'li'du 进料粒度
'jin'mo'gao'du 浸没高度
'jin'qi'gai'ban 进气盖板
'jin'qi'shi 进气室
'jin'shu'si'fang'kong'shai 金属丝方孔筛
'jin'tou'shi 尽头式
'jing'cha 精查
'jing'ge 井格
'jing'ge'hua 晶格化
'jing'ge'ji'chu 井格基础
'jing'hua'hui'shou 净化回收
'jing'hua'nong'suo'ji 净化浓缩机
'jing'ji'bi'jiao 经济比较
'jing'ji'zhuan'ye 经济专业
'jing'kuang 精矿
'jing'kuang'cao 精矿槽
'jing'kuang'huan'chong'cao 精矿缓冲槽
'jing'mei 镜煤
'jing'mei 精煤
'jing'mei'cang 精煤仓
'jing'mei'chan'lv 精煤产率
'jing'mei'chu'mei'chang 精煤储煤场
'jing'mei'duan 精煤段
'jing'mei'fen'ji'shai 精煤分级筛
'jing'mei'fen'ji'tuo'shui'shai 精煤分级脱水筛
'jing'mei'kuai'su'ya'lv'ji 精煤快速压滤机
'jing'mei'li'lun'chan'lv 精煤理论产率
'jing'mei'li'xin'ji 精煤离心机
'jing'mei'liu'cao 精煤溜槽
'jing'mei'shai 精煤筛
'jing'mei'tuo'jie'shai 精煤脱介筛
'jing'mei'tuo'jie'tuo'shui'shai 精煤脱介脱水筛
'jing'mei'tuo'shui'shai 精煤脱水筛
'jing'mei'tuo'shui'tuo'jie'shai 精煤脱水脱介筛
'jing'mei'xi'jie'tong 精煤稀介桶
'jing'mei'zhu'mei'chang 精煤贮煤场
'jing'que'gei'liao 精确给料
'jing'shui'ta 静水塔
'jing'ta 井塔
'jing'tai'gui'dao'heng 静态轨道衡
'jing'tian'di'zhi'jing'cha'bao'gao 井田地质精查报告
'jing'yan'gong'shi 经验公式
'jing'zhi 镜质
'jing'zhi'jiao 静止角
'jing'zhi'zu 镜质组
'ju'an'zhi'shai'ban 聚氨酯筛板
'ju'an'zhi'shai'mian 聚氨酯筛面
'ju'xing'cang 矩形仓
'juan'yang'ji 卷扬机
'jun'hun 均混
'jun'hun'ru'xi 均混入洗
'kai'kong 开孔
'kai'kong'lv 开孔率
'kai'lu'po'sui 开路破碎
'kai'wa 开挖
'kang'sui 抗碎
'kang'sui'qiang'du 抗碎强度
'ke'dong'chi'gun 可动齿辊
'ke'fan'zhuan'hu'xing'shai 可翻转弧形筛
'ke'fu'xing 可浮性
'ke'fu'xing'shi'yan 可浮性试验
'ke'hua 刻划
'ke'hua'ying'du 刻划硬度
'ke'mo'xing 可磨性
'ke'neng'pian'cha 可能偏差
'ke'neng'xing'pian'cha 可能性偏差
'ke'ni'pei'cang'jiao'dai'shu'song'ji 可逆配仓胶带输送机
'ke'ni'pei'cang'shu'song'ji 可逆配仓输送机
'ke'sui'xing 可碎性
'ke'sui'xing'shi'yan 可碎性试验
'ke'xing'xing'yan'jiu 可行性研究
'ke'xing'xing'yan'jiu'bao'gao 可行性研究报告
'ke'xuan 可选
'ke'xuan'xing 可选性
'ke'xuan'xing'qu'xian 可选性曲线
'keng'kou 坑口
'keng'tan 坑探
'kong'ban 孔板
'kong'che'tie'niu 空车铁牛
'kong'duan 空段
'kong'duan'qing'sao'qi 空段清扫器
'kong'qi'gan'zao'ji 空气干燥基
'kong'qi'gan'zao'ji'shui'fen 空气干燥基水分
'kong'qi'jie'zhi'liu 空气介质流
'kong'qi'shi 空气室
'kong'qi'ti'sheng'qi 空气提升器
'kong'qi'xian 空气线
'kong'qi'xiang 空气箱
'kong'qi'ya'suo'ji 空气压缩机
'kong'qi'zhong'jie'liu'hua'chuang 空气重介流化床
'kong'ya'ji 空压机
'kong'ya'ji'fang 空压机房
'kuai'gan'shi 块矸石
'kuai'jing'mei 块精煤
'kuai'jing'mei'cang 块精煤仓
'kuai'jing'mei'li'xin'ji 块精煤离心机
'kuai'kai'shi'ge'mo'ya'lv'ji 快开式隔膜压滤机
'kuai'kai'shi'ya'lv'ji 快开式压滤机
'kuai'mei'cao'xuan'ji 块煤槽选机
'kuai'mei'fen'ji'shai 块煤分级筛
'kuai'mei'li'xin'ji 块煤离心机
'kuai'mei'tiao'tai 块煤跳汰
'kuai'mei'tiao'tai'ji 块煤跳汰机
'kuai'mei'xian'xia'lv 块煤限下率
'kuai'mei'zhong'jie 块煤重介
'kuai'su'ding'liang'zhuang'che'zhan 快速定量装车站
'kuai'su'gei'liao 快速给料
'kuan'cao 宽槽
'kuan'cao'xing 宽槽型
'kuan'fen'ji 宽分级
'kuang'cang 矿仓
'kuang'che 矿车
'kuang'deng'fang 矿灯房
'kuang'fen 矿粉
'kuang'hua 矿化
'kuang'jiang'beng 矿浆泵
'kuang'jiang'cao 矿浆槽
'kuang'jiang'fen'pei'qi 矿浆分配器
'kuang'jiang'guan 矿浆管
'kuang'jiang'mi'du 矿浆密度
'kuang'jiang'tong 矿浆桶
'kuang'jiang'tong'guo'liang 矿浆通过量
'kuang'jiang'yu'chu'li'qi 矿浆预处理器
'kuang'jiang'zhun'bei'qi 矿浆准备器
'kuang'jing'xuan'mei'chang 矿井选煤厂
'kuang'jing'zi'liao 矿井资料
'kuang'li 矿粒
'kuang'qu'gai'kuang 矿区概况
'kuang'qu'xuan'mei'chang 矿区选煤厂
'kuang'wu'jia'gong 矿物加工
'kuang'wu'jia'gong'gong'cheng 矿物加工工程
'kuang'wu'jia'gong'gong'cheng'zhuan'ye 矿物加工工程专业
'kuang'wu'xue 矿物学
'kuo'jian'chang 扩建厂
'la'ban'zhuang'zhi 拉板装置
'la'jin'gun'tong 拉紧滚筒
'la'jin'sheng'lun 拉紧绳轮
'la'sheng'bao'hu 拉绳保护
'lai'liao'li'du 来料粒度
'lai'mei 来煤
'lai'mei'pi'dai 来煤皮带
'lai'yang'mei 来样煤
'lao'dong'ding'yuan'biao 劳动定员表
'lao'keng 捞坑
'lao'keng'chen'dian 捞坑沉淀
'lei'ji'chan'lv 累计产率
'leng'que'qi 冷却器
'leng'que'shui 冷却水
'leng'que'shui'chi 冷却水池
'li'du'biao'zheng 粒度表征
'li'du'fen'ji 粒度分级
'li'du'te'xing 粒度特性
'li'du'te'xing'qu'xian 粒度特性曲线
'li'du'zu'cheng 粒度组成
'li'ji 粒级
'li'ji'mei 粒级煤
'li'lun 立轮
'li'lun'fen'xuan'ji 立轮分选机
'li'lun'ji'suan'gong'shi 理论计算公式
'li'lun'pai'liao'ji 立轮排料机
'li'lun'ping'heng'biao 理论平衡表
'li'mei 粒煤
'li'qing'mei 沥青煤
'li'shi 犁式
'li'shi'cha'ban 立式插板
'li'shi'feng'fa 立式风阀
'li'shi'xie'liao'qi 犁式卸料器
'li'shi'zhen'dong 立式振动
'li'xin'beng 离心泵
'li'xin'chen'jiang 离心沉降
'li'xin'guo'lv 离心过滤
'li'xin'ji 离心机
'li'xin'shi'gu'feng'ji 离心式鼓风机
'li'xin'shi'tong'feng'ji 离心式通风机
'li'xin'tong'feng'ji 离心通风机
'li'xin'tuo'shui 离心脱水
'li'xin'tuo'shui'ji 离心脱水机
'li'xin'yao'chuang 离心摇床
'li'xin'ye 离心液
'li'xin'ye'chi 离心液池
'lian'gan'tou 连杆头
'lian'he'beng'fang 联合泵房
'lian'he'jian'zhu 联合建筑
'lian'he'liu'cheng 联合流程
'lian'jiao'mei 炼焦煤
'lian'jiao'mei'xuan'mei'chang 炼焦煤选煤厂
'lian'jie'guan 连接管
'lian'jie'huan 连接环
'lian'lun'xiao'che 链轮小车
'lian'lun'xiao'che'shi 链轮小车式
'lian'mu 链幕
'lian'shi'gei'liao'ji 链式给料机
'lian'su 链速
'lian'zhou'qi 联轴器
'liang'chan'pin 两产品
'liang'chan'pin'ping'heng'fa 两产品平衡法
'liang'chan'pin'zhong'jie 两产品重介
'liang'chan'pin'zhong'jie'fen'xuan 两产品重介分选
'liang'chan'pin'zhong'jie'xuan'liu'qi 两产品重介旋流器
'liang'chan'pin'zhong'jie'zhi'xuan'liu'qi 两产品重介质旋流器
'liang'chan'pin'zhu'zai'xi 两产品主再洗
'liang'duan'beng'gong'liao 两段泵供料
'liang'duan'ci'xuan 两段磁选
'liang'duan'po'sui 两段破碎
'liang'gan'chang 晾干场
'liang'he'mei 亮褐煤
'liang'mei 亮煤
'liao'cao 料槽
'liao'chang 料场
'liao'dou 料斗
'liao'kuai 料块
'liao'wei'ji 料位计
'lin'jin'mi'du 邻近密度
'lin'jin'wu 邻近物
'liu'cao 溜槽
'liu'cao'jie'duan 溜槽节段
'liu'cheng'ji'suan 流程计算
'liu'fang 溜放
'liu'fang'diao'che 溜放调车
'liu'fen 硫分
'liu'fen'bi 硫分比
'liu'fen'ce'liang'yi 硫分测量仪
'liu'fen'yi 硫分仪
'liu'jing'kuang 硫精矿
'liu'liang'ji 流量计
'lou'zui 漏嘴
'lu'bi 炉篦
'lu'tian'zhu'mei'chang 露天贮煤场
'lun'gu 轮毂
'lun'huan'ru'xuan 轮换入选
'luo'ci'gu'feng'ji 罗茨鼓风机
'luo'jia'zhi'shu 罗加指数
'luo'mei 落煤
'luo'mei'dian 落煤点
'luo'xuan'cao 螺旋槽
'luo'xuan'fen'xuan'ji 螺旋分选机
'luo'xuan'gua'dao 螺旋刮刀
'luo'xuan'la'jin 螺旋拉紧
'luo'xuan'la'jin'zhuang'zhi 螺旋拉紧装置
'luo'xuan'liu'cao 螺旋溜槽
'luo'xuan'pai'liao 螺旋排料
'luo'xuan'shai 螺旋筛
'luo'xuan'shi'gan'zao'ji 螺旋式干燥机
'luo'xuan'shu'song'ji 螺旋输送机
'luo'xuan'ti 螺旋体
'luo'xuan'tou'shu 螺旋头数
'luo'xuan'tui'mei 螺旋推煤
'luo'xuan'xie'liao 螺旋卸料
'luo'xuan'xie'mei'ji 螺旋卸煤机
'lv'ban 滤板
'lv'bing 滤饼
'lv'bu 滤布
'lv'shi 滤室
'lv'ye'chi 滤液池
'lv'ye'shou'ji'tong 滤液收集桶
'lv'you'qi 滤油器
'man'dong'juan'yang'ji 慢动卷扬机
'mao'mei 毛煤
'mao'xi'guan'shui 毛细管水
'mei'bing 煤饼
'mei'cang 煤仓
'mei'cang'kou 煤仓口
'mei'cang'liao'wei'ji 煤仓料位计
'mei'cang'tuo'shui 煤仓脱水
'mei'ceng'mei'yang'zi'liao 煤层煤样资料
'mei'che 煤车
'mei'che'jie'dong'ku 煤车解冻库
'mei'dao 煤道
'mei'de'yong'tu 煤的用途
'mei'dian 煤点
'mei'dui 煤堆
'mei'fen'xi'yi'qi 煤分析仪器
'mei'hua 煤化
'mei'hua'cheng'du 煤化程度
'mei'hua'jie'duan 煤化阶段
'mei'hua'zuo'yong 煤化作用
'mei'hui'rong'rong'xing 煤灰熔融性
'mei'jiang 煤浆
'mei'jiang'guan 煤浆管
'mei'keng 煤坑
'mei'li 煤粒
'mei'liang 煤量
'mei'liu 煤流
'mei'lu 煤路
'mei'ni 煤泥
'mei'ni'chen'dian'chi 煤泥沉淀池
'mei'ni'dui 煤泥堆
'mei'ni'fen'xuan'ji 煤泥分选机
'mei'ni'fu'xuan 煤泥浮选
'mei'ni'fu'xuan'shi'yan'zi'liao 煤泥浮选试验资料
'mei'ni'gan'rao'chuang'fen'xuan'ji 煤泥干扰床分选机
'mei'ni'hui'shou 煤泥回收
'mei'ni'hui'shou'shai 煤泥回收筛
'mei'ni'li'xin'ji 煤泥离心机
'mei'ni'liang 煤泥量
'mei'ni'liu'cao 煤泥溜槽
'mei'ni'nong'suo'ji 煤泥浓缩机
'mei'ni'shai 煤泥筛
'mei'ni'shui 煤泥水
'mei'ni'shui'chu'li 煤泥水处理
'mei'ni'shui'xi'tong 煤泥水系统
'mei'ni'shui'xian 煤泥水线
'mei'ni'tong 煤泥桶
'mei'ni'xian 煤泥线
'mei'tan'gong'ye 煤炭工业
'mei'tan'gong'ye'chu'ban'she 煤炭工业出版社
'mei'tian'chu'liang 煤田储量
'mei'tian'di'zhi 煤田地质
'mei'tian'di'zhi'kan'tan 煤田地质勘探
'mei'tian'di'zhi'kan'tan'bao'gao 煤田地质勘探报告
'mei'xin 煤芯
'mei'yan 煤岩
'mei'yan'fen'xi'shi'yan'zi'liao 煤岩分析试验资料
'mei'yang 煤样
'mei'yang'shi 煤样室
'mei'yong 煤用
'mei'yuan 煤源
'mei'zhi 煤质
'mei'zhi'te'zheng 煤质特征
'mei'zhi'zi'liao 煤质资料
'mei'zhi'zi'liao'fen'xi 煤质资料分析
'mei'zhong 煤种
'men'shi 门式
'men'shi'diao'che 门式吊车
'men'shi'dui'qu'liao'ji 门式堆取料机
'men'shi'luo'xuan'xie'mei'ji 门式螺旋卸煤机
'mi'du'ji 密度计
'mi'du'kong'zhi'qi 密度控制器
'mi'du'qu'xian 密度曲线
'mi'du'zu'cheng 密度组成
'mi'feng'ban 密封板
'mi'feng'shi'fen'sui'ji 密封式粉碎机
'mo'ca'pan 摩擦盘
'mo'ca'te'xing 摩擦特性
'mo'ca'xuan 摩擦选
'mo'ji 磨机
'mo'jie 磨介
'mo'jing'mei 末精煤
'mo'jing'mei'cang 末精煤仓
'mo'kuai'hua'xuan'mei'chang 模块化选煤厂
'mo'kuai'shi'xuan'mei'chang 模块式选煤厂
'mo'kuai'xuan'mei'chang 模块选煤厂
'mo'kuang 磨矿
'mo'kuang'che'jian 磨矿车间
'mo'mei 末煤
'mo'mei'li'xin'ji 末煤离心机
'mo'mei'tiao'tai 末煤跳汰
'mo'mei'tiao'tai'ji 末煤跳汰机
'mo'sui'ji 磨碎机
'nai'mo'ban 耐磨板
'nai'mo'cai'liao 耐磨材料
'nai'mo'chen'ban 耐磨衬板
'nai'mo'gang'ban 耐磨钢板
'nai'mo'guan 耐磨管
'nai'mo'guan'dao 耐磨管道
'nai'mo'nei'chen 耐磨内衬
'nai'ya'xing 耐压性
'nan'xuan 难选
'nan'xuan'mei 难选煤
'nei'ge'qiang 内隔墙
'nei'heng'qiang 内横墙
'nei'lv 内滤
'nei'lv'guo'lv'ji 内滤过滤机
'nei'lv'shi 内滤式
'nei'zong'qiang 内纵墙
'ni'hua 泥化
'ni'hua'shi'yan 泥化试验
'ni'hua'te'xing 泥化特性
'ni'jiang'beng 泥浆泵
'ni'liu'shi 逆流式
'ni'tan 泥炭
'ni'tan'ceng 泥炭层
'ni'tan'hua'jie'duan 泥炭化阶段
'ni'zhi'qi 逆止器
'nian'jie'mei 粘结煤
'nie'jiao 啮角
'ning'ju'ji 凝聚剂
'ning'ju'ji'xian 凝聚剂线
'nong'jie'tong 浓介桶
'nong'jie'zhi 浓介质
'nong'jie'zhi'tong 浓介质桶
'nong'suo 浓缩
'nong'suo'che'jian 浓缩车间
'nong'suo'cheng'qing 浓缩澄清
'nong'suo'chi 浓缩池
'nong'suo'fa 浓缩法
'nong'suo'ji 浓缩机
'nong'suo'lou'dou 浓缩漏斗
'nong'suo'she'bei 浓缩设备
'nong'suo'xuan'liu'qi 浓缩旋流器
'nong'suo'zuo'ye 浓缩作业
'nuan'tong'zhuan'ye 暖通专业
'pa'dou 爬斗
'pa'zi 耙子
'pai'chu'guan 排出管
'pai'chu'kou 排出口
'pai'gan 排矸
'pai'gan'che'jian 排矸车间
'pai'gan'liang 排矸量
'pai'gan'lun 排矸轮
'pai'gan'she'shi 排矸设施
'pai'hui 排灰
'pai'kuang'kou 排矿口
'pai'liao'dao 排料道
'pai'liao'guan 排料管
'pai'liao'ji 排料机
'pai'liao'kou 排料口
'pai'liao'liang 排料量
'pai'liao'lun 排料轮
'pai'liao'pan 排料盘
'pai'liao'qi 排料器
'pai'liao'xi'tong 排料系统
'pai'liao'zha'ban 排料闸板
'pai'liao'zha'men 排料闸门
'pai'liao'zhuang'zhi 排料装置
'pai'mei'lun 排煤轮
'pai'qi'gai'ban 排气盖板
'pai'shui 排水
'pai'wu'beng 排污泵
'pai'ye 排液
'pan'shi'dang'ban 盘式挡板
'pan'shi'zhen'kong'guo'lv'ji 盘式真空过滤机
'pang'lu 旁路
'pang'lu'xi'tong 旁路系统
'pao'mei'qi 抛煤器
'pao'mo'fu'xuan 泡沫浮选
'pao'pian'bao'hu 跑偏保护
'pao'pian'kai'guan 跑偏开关
'pei'cang 配仓
'pei'cang'gua'ban 配仓刮板
'pei'cang'jiao'dai 配仓胶带
'pei'cang'jiao'dai'ji 配仓胶带机
'pei'cang'pi'dai 配仓皮带
'pei'liao'zha'men 配料闸门
'pei'mei 配煤
'pei'mei'gua'ban 配煤刮板
'pei'mei'jiao'dai 配煤胶带
'pei'mei'pi'dai 配煤皮带
'pei'zhi'hua'yan'zong'yang 配置化验总样
'pei'zhi'tu 配置图
'pen'she'shi 喷射式
'pen'she'shi'fu'xuan'ji 喷射式浮选机
'pen'shui'duan 喷水段
'pen'shui'guan 喷水管
'pen'tou 喷头
'pen'zui 喷嘴
'pi'dai 皮带
'pi'dai'bao'hu'kai'guan 皮带保护开关
'pi'dai'cheng 皮带秤
'pi'dai'zou'lang 皮带走廊
'pian'nan'xuan'mei 偏难选煤
'pian'xin'lun 偏心轮
'pian'xin'shi 偏心式
'pin'mei 贫煤
'pin'shou'mei 贫瘦煤
'pin'zhong'mei 品种煤
'ping'ban'zha'men 平板闸门
'ping'cao'xing 平槽型
'ping'heng'biao 平衡表
'ping'heng'chui 平衡锤
'ping'mei 平煤
'ping'mei'zhuang'zhi 平煤装置
'ping'zha'men 平闸门
'po'gong'gun 破拱辊
'po'sui 破碎
'po'sui'bi 破碎比
'po'sui'che'jian 破碎车间
'po'sui'chi'ban 破碎齿板
'po'sui'chi'gun 破碎齿辊
'po'sui'du 破碎度
'po'sui'gun 破碎辊
'po'sui'ji 破碎级
'po'sui'qiang 破碎腔
'po'sui'she'bei 破碎设备
'po'sui'xiao'lv 破碎效率
'po'sui'zuo'ye 破碎作业
'pou'mian'tu 剖面图
'pu'cha 普查
'qi'che'fang 汽车房
'qi'dong'e'shi'zha'men 气动颚式闸门
'qi'dong'feng'fa 气动风阀
'qi'dong'shan'xing'zha'men 气动扇形闸门
'qi'dong'tuo'shui'ping'zha'men 气动脱水平闸门
'qi'dong'zha'men 气动闸门
'qi'fei'mei 气肥煤
'qi'hua'lu 气化炉
'qi'hua'yong'mei 气化用煤
'qi'mei 气煤
'qi'pao'ji 起泡剂
'qi'shui'fen'li'qi 汽水分离器
'qi'xiang'zi'liao 气象资料
'qi'zhen 起振
'qi'zhong'jian'xiu'she'bei 起重检修设备
'qi'zhong'liang 起重梁
'qi'zhong'she'bei 起重设备
'qian'cao 浅槽
'qian'che'tai 迁车台
'qian'jin'ding 千斤顶
'qian'qian'di'gou'shi 前牵地沟式
'qian'qian'shi 前牵式
'qian'shou'mei'cao 浅受煤槽
'qian'su'kai'guan 欠速开关
'qiang'li'fen'ji'po'sui'ji 强力分级破碎机
'qiang'li'shai 强力筛
'qiang'nian'jie 强粘结
'qiang'nian'jie'mei 强粘结煤
'qiao'jia'shi 桥架式
'qiao'jia'shi'dui'qu'liao'ji 桥架式堆取料机
'qiao'jia'shi'yuan'xing'liao'chang'dui'qu'liao'ji 桥架式圆形料场堆取料机
'qiao'shi 桥式
'qiao'shi'diao'che 桥式吊车
'qiao'shi'luo'xuan'xie'mei'ji 桥式螺旋卸煤机
'qiao'shi'zhua'dou 桥式抓斗
'qiao'tai 桥台
'qin'shui'kuang'wu 亲水矿物
'qin'xian'shai 琴弦筛
'qing'cao'xing 轻槽型
'qing'jiao'xi'shu 倾角系数
'qing'kuang'wu 轻矿物
'qing'sao'qi 清扫器
'qing'shui'beng 清水泵
'qing'shui'xian 清水线
'qing'shui'xiang 清水箱
'qing'xi'cao 清洗槽
'qing'xie'ban 倾斜板
'qing'xie'ban'chen'dian'cao 倾斜板沉淀槽
'qing'xie'guan 倾斜管
'qing'xie'zhong'chui'shi'dui'liao'kai'guan 倾斜重锤式堆料开关
'qing'xie'zi'dong'wang'fu'lu'pai'ran'shao'lu 倾斜自动往复炉排燃烧炉
'qiu'mo'ji 球磨机
'qu'liao'ji 取料机
'qu'ru'dian 趋入点
'quan'liu 全硫
'quan'shui'fen 全水分
'quan'yuan'gong'xiao 全员工效
'quan'yuan'xiao'lv 全员效率
'quan'zhong'jie 全重介
'qun'kuang 群矿
'qun'kuang'xing 群矿型
'qun'kuang'xing'xuan'mei'chang 群矿型选煤厂
'ran'shao'lu 燃烧炉
're'li'gan'zao 热力干燥
'ren'kong 人孔
'rong'ji'mi'du 容积密度
'rong'ji'nong'du 容积浓度
'rong'ji'shi'qi'ti'ya'suo'ji 容积式气体压缩机
'ru'hua'zhan 乳化站
'ru'liao 入料
'ru'liao'beng 入料泵
'ru'liao'cao 入料槽
'ru'liao'guan 入料管
'ru'liao'kou 入料口
'ru'liao'li'du 入料粒度
'ru'liao'nong'du 入料浓度
'ru'liao'ya'li 入料压力
'ru'shai 入筛
'ru'shai'yuan'liao 入筛原料
'ru'xi 入洗
'ru'xi'li'du 入洗粒度
'ru'xi'li'du'shang'xian 入洗粒度上限
'ru'xi'liang 入洗量
'ru'xi'wu'liao 入洗物料
'ru'xi'xia'xian 入洗下限
'ru'xuan'li'du 入选粒度
'ru'xuan'li'du'shang'xian 入选粒度上限
'ru'xuan'liang 入选量
'ru'xuan'wu'liao 入选物料
'ru'xuan'xia'xian 入选下限
'ru'xuan'yuan'mei 入选原煤
'ruo'nian'jie 弱粘结
'ruo'nian'jie'mei 弱粘结煤
'ruo'zhan'mei 弱粘煤
'sa'luo'shi'gan'zao'ji 洒落式干燥机
'san'chan'pin 三产品
'san'chan'pin'tiao'tai 三产品跳汰
'san'chan'pin'zhong'jie 三产品重介
'san'chan'pin'zhong'jie'xuan'liu'qi 三产品重介旋流器
'san'chan'pin'zhong'jie'zhi'xuan'liu'qi 三产品重介质旋流器
'san'gun 三辊
'san'mei'qi 散煤器
'sao'xuan 扫选
'sha'beng 砂泵
'shai'ban 筛板
'shai'bi 筛比
'shai'ce 筛侧
'shai'ce'kong'qi'shi'fen'mei'tiao'tai'ji 筛侧空气室粉煤跳汰机
'shai'ce'kong'qi'shi'tiao'tai'ji 筛侧空气室跳汰机
'shai'fen 筛分
'shai'fen'che'jian 筛分车间
'shai'fen'ji 筛分机
'shai'fen'jian 筛分间
'shai'fen'po'sui'che'jian 筛分破碎车间
'shai'fen'shi'yan 筛分试验
'shai'fen'xiao'lv 筛分效率
'shai'fen'zi'liao 筛分资料
'shai'fen'zu'cheng 筛分组成
'shai'fen'zuo'ye 筛分作业
'shai'kong 筛孔
'shai'kong'zhi'jing 筛孔直径
'shai'kuang 筛框
'shai'lan 筛篮
'shai'mian 筛面
'shai'pan 筛盘
'shai'shang 筛上
'shai'shang'lei'ji 筛上累计
'shai'shang'wu 筛上物
'shai'si 筛丝
'shai'ti 筛体
'shai'tiao 筛条
'shai'wang 筛网
'shai'xia 筛下
'shai'xia'ci'xuan 筛下磁选
'shai'xia'kong'qi'shi'tiao'tai'ji 筛下空气室跳汰机
'shai'xia'qi'shi 筛下气室
'shai'xia'shui 筛下水
'shai'xia'wu 筛下物
'shai'xiang 筛箱
'shai'xuan'chang 筛选厂
'shai'xuan'che'jian 筛选车间
'shai'xuan'liu'cheng 筛选流程
'shai'xuan'mei 筛选煤
'shai'zi 筛子
'shai'zuo 筛座
'shan'xing'ban 扇形板
'shan'xing'gei'liao'ji 扇形给料机
'shan'xing'zha'men 扇形闸门
'shang'cang 上仓
'shang'cang'pi'dai 上仓皮带
'shang'mei 上煤
'shang'mei'pi'dai 上煤皮带
'shang'pin'mei 商品煤
'shang'tuo'gun 上托辊
'shang'zhen'xing 上振型
'she'bei'an'zhuang'tu 设备安装图
'she'bei'biao 设备表
'she'bei'ding'huo'biao 设备订货表
'she'bei'ding'huo'mu'lu 设备订货目录
'she'bei'liu'cheng 设备流程
'she'bei'liu'cheng'tu 设备流程图
'she'bei'pei'zhi'tu 设备配置图
'she'bei'qing'ce 设备清册
'she'bei'qing'dan 设备清单
'she'bei'xi'tong'tu 设备系统图
'she'bei'xuan'xing 设备选型
'she'ji'fang'an 设计方案
'she'ji'ren'wu'shu 设计任务书
'she'ji'shuo'ming'shu 设计说明书
'shen'jia'gong 深加工
'shen'suo'liu'cao 伸缩溜槽
'shen'zhui 深锥
'shen'zhui'nong'suo'ji 深锥浓缩机
'sheng'chan'da'yang 生产大样
'sheng'chan'ji'shu'jian'cha 生产技术检查
'sheng'chan'jian'cha'mei'yang'shi 生产检查煤样室
'sheng'chan'mei'yang 生产煤样
'sheng'chan'mei'yang'zi'liao 生产煤样资料
'sheng'chan'qing'shui 生产清水
