'a'mu'ze'wan'lie 阿母责顽劣
'huan'qu'yi'shang'chen'zao 浣取衣裳趁早
'huan'sha'nv'ban'yue'tong'lai 浣纱女伴约同来
'huan'tuo'ti'hen 欢唾啼痕
'huan'xi'sha 浣溪沙
'huan'xing'li'hun 唤醒离魂
'huan'yi'shao 欢意少
'huang'hun'geng'song'xiao'xiao'yu 黄昏更送潇潇雨
'huang'hun'jian'jin 黄昏渐近
'huang'hun'xiu'shou'kan'can'qi 黄昏袖手看残棋
'huang'tai'yan'shi 荒苔掩石
'huang'tian'lao'wu 荒田老屋
'hui'chang'xiang'yin 回肠香印
'hui'che'sui'gai'lu 回车遂改路
'hui'jia'cha'hua'ping 回家插花瓶
'hui'lang'zhuan 回廊转
'hui'luan'dui'feng'xiang'wei'bao 回鸾对凤相偎抱
'hui'shou'ba'shan'yuan 回首巴山远
'hui'shou'he'qiao'xia 回首河桥下
'hui'shou'wang'chang'an 回首望长安
'hui'tou'chu'tian'yuan 回头楚天远
'hui'wen'sheng'huo 灰温剩火
'hun'ba'shi'nian'zhan'fa'dang'cheng'ping 浑把十年战伐当承平
'hun'meng'kong'jiao'guo'xie'qiao 魂梦空教过谢桥
'hun'meng'tian'ya'sui'zhuan'gu 魂梦天涯随转毂
'hun'ming'gu'zi'tuo 诨名固自妥
'ji'bian'qin'zeng'shui'jing'suo 机边亲赠水精梭
'ji'ceng'xiang'jian'sheng'xiang'si 几曾相见胜相思
'ji'dang'shi'bi'shu'cang'ya 记当时碧树苍崖
'ji'du'hui'chang 几度回肠
'ji'fan'ye'yu 几番夜雨
'ji'hui'xin'ku'dian'qing'luo 几回辛苦点青螺
'ji'ji'bu'xi'jiao 鸡鸡不洗脚
'ji'ji'zhong'lian'si'yu'xi 寂寂重帘私语细
'ji'ji'zhu'lian'chun'qu'ye 寂寂珠帘春去也
'ji'lv'yun'shi'li 记绿云十里
'ji'ming'yao'ce'ren'xiang'wang 记名瑶册忍相忘
'ji'mu'dui'gao'di 积木堆高低
'ji'mu'han'yan'ren'yi'qu 极目寒烟人已去
'ji'mu'jiang'nan'yuan 极目江南远
'ji'mu'xing'yun'du'yi'lan 极目行云独倚阑
'ji'nian'chen'qie'chong'kai 几年尘箧重开
'ji'qin'huai'sheng'you'huan'yan 记秦淮胜游欢宴
'ji'qu'ping'shan'shan'wan'die 几曲屏山山万叠
'ji'qu'tuan'luan'tian'shang'yue 记取团圞天上月
'ji'ren'hui'de 几人会得
'ji'ren'xia'zhu'yan'gan'fei 几人下箸厌甘肥
'ji'ri'bo'ba'xian'zhong 几日薄罢嫌重
'ji'ri'nang'zhong'qian'shao 几日囊中钱少
'ji'ri'qing'chen'an'jing'luan 几日清尘黯镜鸾
'ji'ri'qing'qin'pin'ji'yu 几日青禽频寄语
'ji'ri'xiang'si'luo'dai'zhong 几日相思罗带重
'ji'rou'jiu'ku'gao 肌肉久枯槁
'ji'shi'fu'jian'shang'peng'shan 几时抚剑上蓬山
'ji'xing'deng'cu'meng 记星灯簇梦
'ji'yin'pan'qian'shou'bao'xiang 记银盘纤手包香
'ji'yu'jiu'meng'zhong'bu'bian 寄语旧盟终不变
'jia'guo'piao'ling 家国飘零
'jia'jia'bao'bu'dong 家家抱不动
'jia'jia'hao'bao'bao 家家好宝宝
'jia'jia'jiao'bu'xie 家家叫不歇
'jia'jia'lao'qie'bing 家家老且病
'jia'jia'lian'bu'pu 家家怜不扑
'jia'jia'shi'lao'shi 家家是老师
'jia'jia'wei'fan'bao 家家喂饭饱
'jia'jia'xin'chui'shu'shu 家家新炊黍熟
'jia'jin'wu'men'yin'ma'qiao 家近吴门饮马桥
'jia'zhong'you'a'shui 家中有阿谁
'jian'bu'duan'xiang'si'yi'lv 剪不断相思一缕
'jian'jian'mai'xiu'wang'shen'zhou 渐渐麦秀望神州
'jian'jiang'nan'di'ru 渐江南地溽
'jian'jue'xiu'ren'mian 渐觉羞人面
'jian'shi'xin'ku'kuang'fen'li 见时辛苦况分离
'jian'shuo'hua'kai'gui'lu'jin 见说花开归路近
'jian'xin'bu'xi'lei'ru'chao 煎心不惜泪如潮
'jian'xing'jian'yuan'xiang'tian'ya 渐行渐远向天涯
'jian'zhang'xiao'bei'huan'juan'li 渐长宵悲欢倦理
'jian'zi'mu'lan'hua 减字木兰花
'jiang'bing'liu'chun'gong'zhu 将病留春共住
'jiang'di'chou'yu 江底愁鱼
'jiang'kong'gu'ye'yuan 江空菰叶怨
'jiang'lang'cai'bi'piao'ling'jiu 江郎彩笔飘零久
'jiang'liu'bu'jin'wu'gong'yuan 江流不尽吴宫怨
'jiang'nan'chun'shui'ru'tian'bi 江南春水如天碧
'jiang'nan'feng'jing'jian'cheng'qiu 江南风景渐成秋
'jiang'shan'que'chu'ju'chou'duo 江山缺处聚愁多
'jiang'shan'ru'ci 江山如此
'jiang'shan'yi'jiu'huo'yin'mou 江山依旧豁吟眸
'jiang'shen'chu'po 江沈楚魄
'jiang'shui'dai'chao'hui'chu 江水带潮回处
'jiang'tan'lao'liu'zi'ying'chou 江潭老柳自萦愁
'jiang'xiang'gui'lu'ji'duo'chang 江乡归路几多长
'jiao'cong'si'guo'tong'pu 骄骢嘶过铜铺
'jiao'san'sheng'meng'hen'dou'sui 搅三生梦痕都碎
'jiao'xiao'zi'ling'long 娇小自玲珑
'jie'dao'huan'xiang'xu'ji'zao 解道还乡须及早
'jie'dao'piao'ling'ku 解道飘零苦
'jie'de'xiang'si'wu'xian'yi 解得相思无限意
'jie'hou'shan'chuan 劫后山川
'jie'hui'hong'wu 劫灰红舞
'jie'lian'huan'mu'yun'tian'bei 解连环暮云天北
'jie'pei'jiang'kong 解佩江空
'jie'xi'you'cong'liu'ke'zhu 解系游骢留客住
'jie'yi'chui'yang'guan'song'ying 解意垂杨管送迎
'jin'bi'zhu'lian 锦壁珠帘
'jin'chan'nie'zhen'ye'chang'jiong 金蟾齧镇夜长扃
'jin'chun'hua'xin 今春花信
'jin'jing'lu 金井露
'jin'ping'ren'ge'wan'chong'shan 锦屏人隔万重山
'jin'qian'mi'ye 金钱迷夜
'jin'qin'ren'du 锦衾人独
'jin'ri'cheng'lao'chou 今日成老丑
'jin'ri'gao'che'da'ma'guo'huang'huang 今日高车大马过煌煌
'jin'ri'hua'mei'dou'lan 今日画眉都懒
'jin'ri'jiang'nan'zi'ke'ai 今日江南自可哀
'jin'se'an'sheng'chen 锦瑟暗生尘
'jin'se'chen'sheng 锦瑟尘生
'jin'se'hua'nian'tou'huan 锦瑟华年偷换
'jin'shi'shang'xin'de 尽是伤心地
'jin'shou'guan'luo'fu'xin'feng 尽收关洛付新烽
'jin'xian'can'lei'tong'tuo'hen 金仙残泪铜驼恨
'jin'ye'ye'ye'zou 今夜爷爷走
'jin'zhao'geng'sheng'qian'chao'yu 今朝更胜前朝遇
'jin'zhao'ri'nuan'feng'wei 今朝日暖风微
'jin'zun'lv'xu 金尊绿醑
'jing'bao'wu'duan'jing'meng'zao 警报无端惊梦早
'jing'bo'hai'man'jiang'hu 惊波还满江湖
'jing'feng'he'shi'chui'san 惊风何事吹散
'jing'guo'gu'huan'you'ji 京国古欢犹记
'jing'hua'gu'huan'yi'zhi 京华古欢已掷
'jing'jian'ge'mao'bi'jiang'yan 惊见戈矛逼讲筵
'jing'li'shuang'bin'zhuang'cheng 镜里双鬓妆成
'jing'luan'guan'he'sheng'si'bie 经乱关河生死别
'jing'nian'gui'meng'zong'mi'li 经年归梦总迷离
'jing'nian'hong'lei'yue'luo'jin 经年红泪黦罗襟
'jing'sui'jian'guan'liu'zhuan 经岁间关流转
'jing'tan'yi'wen'hao 惊叹疑问号
'jing'xing'chu'xin'chou'ru'zhi 经行处新愁如织
'jing'zhan'ming'shuang'xue 晶盏明霜雪
'jing'zhong'can'dai 镜中残黛
'jing'zhong'can'dai'lv 镜中残黛绿
'jing'zhong'wan'yi'sun'mei'wan 镜中万一损眉弯
'jing'zhong'yan'se'hun'fei'gu 镜中颜色浑非故
'jiu'bian'chun'gan 酒边春感
'jiu'bing'chang'chou'sun'jiu'mei 久病长愁损旧眉
'jiu'bing'chang'pin 久病长贫
'jiu'chao'nan'mi 旧巢难觅
'jiu'chou'liu'bu'jin 旧愁流不尽
'jiu'chou'qing 酒愁倾
'jiu'chou'xiao'wei 旧愁消未
'jiu'huan'huan'dao'meng'hun'zhong 旧欢还到梦魂中
'jiu'huan'xin'yuan'fei'chen'si 旧欢新怨费沉思
'jiu'jia'shi 旧家时
'jiu'lei'dan'shan 旧泪单衫
'jiu'lou'ge'xie'xiao'zhang'ye 酒楼歌榭消长夜
'jiu'lou'tai 旧楼台
'jiu'shi'tian'qi 旧时天气
'jiu'tian'chang'he'cai'yun'jian 九天阊阖彩云间
'jiu'xiang'wei'mie 旧香未灭
'jiu'xing'chou'yi'bi'lan'gan 酒醒愁倚碧阑干
'jiu'yuan'xin'huan'wang'fei'cai 旧怨新欢枉费猜
'ju'jia'duo'cu'shu 举家多粗疏
'ju'shou'zi'wo'pai 举手自挝拍
'juan'lian'jin'ye'yue'mei'wan 卷帘今夜月眉弯
'juan'lian'ke'tiao 倦恋柯条
'juan'lian'ren'shou'wan'feng'qian 卷帘人瘦晚风前
'juan'lian'ri'ri'yi'zhu'lou 卷帘日日倚朱楼
'jue'sai'bing'shuang 绝塞冰霜
'jun'mo'guan 君莫管
'ka'fei'ru'lao'xiang'chu'tou 咖啡乳酪香初透
'kai'ge'qi'yan'gu'pi'zhong 凯歌凄咽鼓鼙中
'kan'dao'shen'xiao'yue 看到深宵月
'kan'jie'huo'can'hui'zi'wu 看劫火残灰自舞
'kan'yi'dian'lu'ying'zhui 看一点露萤坠
'kan'zhu'cheng'bi 看朱成碧
'ke'chou'kuan 客愁宽
'ke'chou'she 客愁赊
'ke'lai'feng'xin'zheng 客来逢新正
'ke'li'qing'zun'wei'you'lei 客里清尊惟有泪
'ke'lian'chun'se 可怜春色
'ke'lian'yan'yu'jiu'lou'tai 可怜烟雨旧楼台
'ke'lian'zong'you'bing'dao 可怜纵有并刀
'ke'nai'jiu'kuang'dou'jian 可奈旧狂都减
'ke'qu'zhi'xiang'song 客去知相送
'ke'yi'shang'chun'hua'fei'lei 刻意伤春花费泪
'kong'ji'qu'nian'xiang'shi 空记去年相识
'kong'jue'yue'zhong'ti 空绝月中梯
'kong'lao'dang'zha'ji'yao'jing 空劳珰劄寄瑶京
'kong'lian'chu'xia'jiao'dang 空怜厨下焦铛
'kong'lian'ye'cao'xiao'xiao 空怜野草萧萧
'kong'wei'dui'ying 空帷对影
'kong'xi'lv'jin'yi 空惜缕金衣
'kong'yi'jiang'nan'shou'sui 空忆江南守岁
'kong'zi'yin'qin'peng'yu'shang 空自殷勤捧玉觞
'kong'zuo'jia 空作嫁
'ku'hen'xiang'feng'chun'yi'wan 苦恨相逢春已晚
'ku'hen'zhong'lian'xiao'xi'zu 苦恨重帘消息阻
'ku'xin'xiang'dai'qian'chun 苦辛相待千春
'ku'zhi'shang'tan'qi'nan'ding 枯枝尚叹栖难定
'kua'wu'xiu 誇舞袖
'kuai'yu'si'nan'xi 脍玉丝难细
'kuang'feng'ku'zhu'che'chen'qi 狂烽苦逐车尘起
'kuang'gao'lou'si'mian 况高楼四面
'kuang'ying'cai'die'du 况莺猜蝶妒
'kuang'you'ke'sheng'li'hen 况有客生离恨
'la'lei'zong'heng 腊泪纵横
'la'pan'bu'xi'hui'cheng'cun 蜡盘不惜灰成寸
'lai'qu'ren'shu'hu 来去任倏忽
'lai'wan'chen'kong'xi 来玩趁空隙
'lan'gan'jin'shui 阑干近水
'lan'gan'si'mian'xia'zhong'lian 阑干四面下重帘
'lan'gan'wai'yue'hua'jian'que 阑干外月华渐缺
'lan'gan'yi'chu'shui'kan'bing 阑干倚处谁堪并
'lan'liao'li'shang'chun'yi'xu 懒料理伤春意绪
'lan'xu'san'sheng'zheng'guo'yin 兰絮三生證果因
'lan'zhou'gui'ji 兰舟桂楫
'lang'tao'sha'man 浪淘沙慢
'le'shi'ren'jian'neng'you'ji 乐事人间能有几
'lei'hen'dou'hua'han'chao 泪痕都化寒潮
'lei'shi'shu'hang'mo 泪湿数行墨
'lei'yan'qi'mi 泪眼凄迷
'lei'yan'xiang'kan 泪眼相看
'lei'zuo'zhu'deng 泪作珠灯
'leng'lu'yi'pan 冷露移盘
'leng'luo'ge'deng 冷落歌灯
'leng'yu'fen'qiao'yuan'wa 冷雨纷敲鸳瓦
'li'bi'bian'shi'fei 理必辨是非
'li'chou'you'man 离愁又满
'li'he'yun'zong'yi'zhuan'mi 离合云踪意转迷
'li'hua'man'di'juan'ti'xue 梨花满地鹃啼血
'li'hua'yuan'luo'yue'wei'mang 梨花院落月微茫
'li'hun'mu'feng'yu 离魂沐风雨
'lian'fang'zi'shou'fang'xin'ku 莲房自守芳心苦
'lian'feng'mei'yu 楝风梅雨
'lian'huan'qing'bu'jue 连环情不绝
'lian'li'ku'yin'cai'ba 帘里苦吟才罢
'lian'mu'chong'chong'hu'zhu'zhi 帘幕重重护烛枝
'lian'mu'duo'feng'xue 帘幕多风雪
'lian'wai'qing'han'shui'yu'gong 帘外轻寒谁与共
'lian'wan'zhao 怜晚照
'lian'ye'du'jiang'lai 连夜渡江来
'lian'zhou'shu 怜骤暑
'lian'zuo'cun 莲作寸
'liang'bi'deng'hua'ru'shu 凉逼灯花如菽
'liang'san'shang'shi'xin'shu 两三上市新蔬
'liang'sui'zui'she'qiao 两岁嘴舌巧
'liang'xiao'sheng'hui 良宵盛会
'liao'liu'bo'bu'guo'heng'tang 料流波不过横塘
'liao'ping'du'guan'xie'xin'sheng 聊凭蠹管写新声
'liao'tian'gui'he'hui'chong'lai 辽天归鹤悔重来
'liao'xiang'yi'ju'zhu'qian'chun 蓼香一掬伫千春
'lin'bie'gao'jia'jia 临别告家家
'lin'jiang'xian 临江仙
'lin'li'jie'ai'lian 邻里皆爱怜
'lin'qi'fan'zhe'ti'zong'heng 临歧反辙涕纵横
'lin'qi'xin'shi'zhuan'qi'mi 临歧心事转凄迷
'lin'ren'lai'xiang'wen 邻人来相问
'lin'wai'chen'xuan'yi'pian 林外晨喧一片
'lin'ye'shao'hong'zhu 临夜烧红烛
'ling'dui'shui'jia'yao'tiao'niang 领队谁家窈窕娘
'ling'kong'xue'za'ji 淩空学杂技
'ling'long'si'fan 玲珑四犯
'ling'lu'fan'shuang'fang'xu'huan 零露繁霜芳序换
'ling'luo'fan'xiang'juan'you'lei 零落繁香鹃有泪
'ling'xing'wang'shi'nai'si'liang 零星往事耐思量
'liu'chao'yan'shui'jiu'hao'hua 六朝烟水旧豪华
'liu'de'gu'guang'yi'sui'zhao'chang'xiao 留得孤光一穗照长宵
'liu'guang'yi'wan 流光易晚
'liu'hong'ai'bi 榴红艾碧
'liu'long'lin'jia'geng'jin'chi 六龙临驾更矜持
'liu'ming'fan'cheng'hou'si'ai 留命翻成后死哀
'liu'mo'tao'xi 柳陌桃蹊
'liu'se'duan'chang'ting 柳色短长亭
'liu'wai'yan'ning'bi 柳外烟凝碧
'liu'ye'feng'qing 柳叶风轻
'liu'ying'hua'zhong'lou 柳影画中楼
'long'luan'jiao'shan'yong'tian'ren 龙鸾交扇拥天人
'lou'jin'yin'ping 漏尽银屏
'lou'jing'qing'meng'bu'cheng'yun 漏惊轻梦不成云
'lou'tiao'tiao 漏迢迢
'lou'tou'liu'se 楼头柳色
'lou'zhu'sheng'ge'yong 漏逐笙歌永
'lu'chen'hu'ma 虏尘胡马
'lu'man'man 路漫漫
'lu'mi'gui'he 路迷归鹤
'lu'pan'kong'zhu'lei 露盘空贮泪
'lu'shang'xing'ren'zhi'xing'shi 路上行人知姓氏
'lu'xiang'jian'jin 炉香渐烬
'luan'bo'qin'zheng 乱拨秦筝
'luan'dai'dang'shi'shuang'jie 鸾带当时双结
'luan'dao'zha'shi 鸾刀乍试
'luan'fei'guo'yi'fu'han'xing 乱飞过鹢拂寒星
'luan'shan'cui'ming'du'bing'ying 乱山催暝独屏营
'luan'shi'si'sheng'he'zu'dao 乱世死生何足道
'luan'xian'beng'lei'yan'shen'ai 鸾弦迸泪咽沈哀
'lun'wen'you'you'zhu'neng'shao 论文犹有烛能烧
'luo'dai'dang'shi 罗带当时
'luo'dai'tong'xin'he'hen'wan 罗带同心和恨绾
'luo'hua'shuang'jiang 落花双桨
'luo'jin'fan'xiang'chun'zao'xie 落尽繁香春早歇
'luo'qin'yi'ye'si'liang'bian 罗衾一夜思量遍
'luo'qin'you'shi'qian'chun'bing 罗衾犹是前春病
'luo'shan'lei'yun 罗衫泪晕
'luo'ye'man'tian'ya 落叶满天涯
'luo'yi'chen'yuan'nan'pin'huan 罗衣尘涴难频换
'luo'yi'chu'xia'jing'nian 罗衣厨下经年
'luo'yi'ran'bian 罗衣染遍
'luo'yin'bi'xue 罗裀比雪
'lv'chuang'ren'yi'zhu'yan'lao 绿窗人易朱颜老
'lv'yi 绿意
'lv'yun'shen'ge'zhu'hu 绿云深隔朱户
'ma'gu'bin'gai'hai'nan'qing 麻姑鬓改海难清
'ma'ma'zhi'ban'qi 妈妈值班期
'man'chun'dian 满春殿
'man'dao'ren'jian'luo'ye'bei 漫道人间落叶悲
'man'du'li 漫独立
'man'geng'yi'po'jiu'tian'xun 漫更忆泼酒添熏
'man'guan'xin 漫关心
'man'jie'yan'liu'xie 满街烟柳斜
'man'mu'fang'fei'jun'mo'wu 满目芳菲君莫误
'man'mu'qing'wu'sui'bu'fang 满目青芜岁不芳
'man'mu'shan'he 满目山河
'man'nian'jia'yuan 漫念家园
'man'ping'jiang'shui'wen'gui'qi 漫凭江水问归期
'man'tian'bing'xue'bi'zhong'guan 漫天冰雪闭重关
'man'tian'feng'yu'song'huang'hun 漫天风雨送黄昏
'man'tian'yi'wang'bi'wu'qing 鬘天一望碧无情
'man'xian'jie'gu'du'xin'qiang 蛮弦羯鼓度新腔
'man'zou'fang'qing'die 慢走防倾跌
'mang'xie'duan'he'jiu'shi'zhuang 芒鞋短褐旧时装
'mao'dian'chou'hun'xiao 茅店愁昏晓
'mao'ze'dong'si'xiang 毛泽东思想
'mei'hen'shen'qian'ping'shui'wen 眉痕深浅凭谁问
'mei'jian'xiao'you'lai 每见小友来
'mei'mu'han'xing'zhao 美目寒星昭
'mei'ren'wan'shan'gui'he'chu 美人纨扇归何处
'mei'ren'yun'wai'nong'zhuang'chi 美人云外弄妆迟
'mei'zhuan'shi'miao'miao 美馔视藐藐
'men'qian'fang'cao'lian'tian'bi 门前芳草连天碧
'men'qian'jiang'shui'shen 门前江水深
'men'qian'jie'ying'ke 门前解迎客
'men'qian'shan'se'gong'mei'dai 门前山色供眉黛
'men'wai'chui'yang 门外垂杨
'men'wai'qu'lai'chao 门外去来潮
'men'you'wo'lai'suo 门由我来锁
'meng'chou'yuan'bie'she'xun'wei 梦愁远别麝熏微
'meng'hen'fen'fu'qing'zun'xi 梦痕分付清尊洗
'meng'hui'ren'shuo'xiao'hun'wu 梦回忍说销魂误
'meng'hun'yu'hua'xing'yun'qu 梦魂欲化行云去
'meng'li'huan'qing'you'wei'yuan 梦里欢情犹未远
'meng'li'jing'yi 梦里惊疑
'meng'li'xiao'hun'neng'ji'du 梦里销魂能几度
'meng'ou'que'xiang'ba'jiang'jian 盟鸥却向巴江见
'meng'wai'gu'shan'qing 梦外故山青
'meng'wai'shen'shen'ye'jian'zhang 梦外沈沈夜渐长
'meng'xing'yin'ping'ren'wei'huan 梦醒银屏人未还
'meng'xing'you'shi'guan'shan'bie 梦醒又是关山别
'meng'zhong'cong'ci'wu'chun 梦中从此无春
'mi'gui'fang'cao'tian'xin'lv 迷归芳草添新绿
'mi'li'meng'hui'zhu'guan 迷离梦回珠馆
'mi'ying'xun'sheng 觅影寻声
'mi'yue'mai'chai'you'wu 密约卖钗又误
'miao'hua'xiu'feng 描花绣凤
'miao'ran'nan'ren'jiu'shan'chuan 渺然难认旧山川
'ming'chao'feng'yu'shang'li'bie 明朝风雨伤离别
'ming'chao'geng'xiang'ni 明朝更相昵
'ming'chao'hai'pa 明朝还怕
'ming'chao'huan'xiang'xi'bian 明朝浣向溪边
'ming'chao'zhi'shi'shui'jia 明朝知是谁家
'ming'ming'dong'hai'zha'yang'chen 冥冥东海乍扬尘
'ming'ri'zheng'cheng'jun'mo'wen 明日征程君莫问
'mo'ba'ci'qing'zhong'zhi 莫把此情重织
'mo'bian'fan'cheng'jue 莫便翻成玦
'mo'jiang'luo'dai'jie'shuang'yuan 莫将罗带结双鸳
'mo'ping'hua'lan 莫凭画阑
'mo'shang'che'zhe 陌上车辙
'mo'wen'dai'wei'kuan'zhai 莫问带围宽窄
'mo'xi'pu'shang 莫惜蒲觞
'mo'xiang'xi'chuan'wen'du'juan 莫向西川问杜鹃
'mo'yu'er 摸鱼儿
'mou'guo'wei'wen'zhu'qie'gou 谋国惟闻诛窃钩
'mu'duan'ping'wu'lai'ri'lu 目断平芜来日路
'mu'jia'sheng'qi 暮笳声起
'mu'shou'xiang'dao'chao'luo'qi 暮收香稻朝罗绮
'mu'yun'shan'fu'shan 暮云山复山
'mu'yun'si'a'po 母云似阿婆
'mu'yun'tian'bei 暮云天北
'mu'yun'xi'ge'ji'chong'shan 暮云西隔几重山
'na'kan'ye'ye'xiao'mo 那堪夜夜销磨
'na'shi'qing'hua 那时情话
'nai'chui'can'di'li'mei'hua 奈吹残笛里梅花
'nan'cong'gu'zhi'mi'tao'yuan 难从故纸觅桃源
'nan'de'jin'zhao'tian'qi'hao 难得今朝天气好
'nan'hai'shi'ming'zhu 南海失明珠
'nan'jian'er'chang'shi 难见儿长时
'nan'jiang'shen'zui'huan'chang'xing 难将沈醉换长醒
'nan'wang'dang'nian'shi 难忘当年事
'nan'wen'bing'yi 难温冰意
'nan'yan'xiang'feng 南雁相逢
'neng'gong'ji'pan 能供几盼
'nian'guo'jiang'yi'xu 念过江意绪
'nian'lai'ai'yue'tang'jun'zhi 年来哀乐傥君知
'nian'nian'fang'cao'bian'tian'ya 年年芳草遍天涯
'nian'nian'luan'jing'gong'li'hen 年年鸾镜供离恨
'nian'qian'yue 念前约
'nian'shao'dang'xing'le 年少当行乐
'nian'shao'feng'chun 年少逢春
'nian'tian'feng'lang 黏天风浪
'nian'wang'xie'feng'liu 念王谢风流
'nian'xiang'guan'bie'hou'wu'jia 念乡关别后无家
'ning'wang'jiu 凝望久
'nong'huo'guo'kong'kao 弄火锅空烤
'nu'hou'shi'yu'yao 怒吼势欲咬
'nuan'ri'hong'chun'jiang'shang'lu 暖日烘春江上路
'ou'bian'hai'qi'jing'bo 鸥边还起惊波
'ou'tuo'wei'bo 偶托微波
'ou'xiang'bi'tao'hua'xia'jian 偶向碧桃花下见
'pa'chang'an'can'ju 怕长安残局
'pa'chun'wan'ji'ji'kong'ting 怕春晚寂寂空庭
'pa'ming'chao'ri'ya'diao'yan 怕明朝日压雕檐
'pa'qing'yan'bo'ai 怕轻烟薄霭
'pa'shuo'wan'liang'xiao'xi 怕说晚凉消息
'pa'zong'shang'gao'mu 怕纵伤高目
'pai'chang'lu'yuan 排阊路远
'pai'chuang'qing'ke'zuo 拍床请客坐
'pai'huai'luan'jing'xia 徘徊鸾镜下
'pai'huai'zhong'ren'hong'qiao 徘徊重认红桥
'pan'dao'chong'lai 盼到重来
'pan'dao'xiang'feng 盼到相逢
'pan'de'zui'fu'gui'qu 拚得醉扶归去
'pan'jiang'can'zui'tian'xin'kun 拚将残醉添新困
'pan'jue'jue 拚决绝
'pan'wan'duan'luo'jin 拚挽断罗巾
'pao'can'sou'yu'zhen 抛残锼玉枕
'pao'feng'peng'long 炰凤烹龙
'peng'hu'chong'gui 蓬户重归
'peng'lai'feng'lu'li'duo'shi 蓬莱风露立多时
'pian'xi'ren 偏系人
'piao'deng'ting'yuan'yu'si'liang 飘灯庭院雨丝凉
'piao'ling'shui'yi'yi'xing'deng 飘零水驿一星灯
'piao'xiang'ting'xie'liu'chun'zhu 飘香亭榭留春住
'ping'an'yi'yu 平安一语
'ping'jiao'jian'duan'rou'chang 凭教剪断柔肠
'ping'lan'wu'xian'yi 凭阑无限意
'ping'lan'zheng'xi'geng'si'liang 凭阑争惜更思量
'ping'shang'lue 凭商略
'ping'shui'su'yu'li'you 凭谁诉与离忧
'ping'shui'wen 凭谁问
'ping'shui'wen'xun'ba'shan 凭谁问讯巴山
'ping'tan'hai'ke'ying'zhou'meng 凭谈海客瀛洲梦
'po'hun'jing'wei'ding 婆魂惊未定
'po'li'zhen'shang'jing'ping'qu 颇黎枕上晶屏曲
'pu'sa'man 菩萨蛮
'qi'can'bian 泣残编
'qi'fu'xue'zhang'ju 岂复学章句
'qi'he'kai'huan'yan 祇合开欢宴
'qi'hen'xian'bei'xue'yu'wei'neng'gong 祇恨鲜卑学语未能工
'qi'ji 凄寂
'qi'jue'gu'yuan'xin'yan 凄绝故园心眼
'qi'liang'xiang'se'yuan 凄凉湘瑟怨
'qi'qie 凄切
'qi'xu'yu'shi 祇须臾事
'qi'zhong'luo'qing'zha'nuan'han 绮重罗轻乍暖寒
'qia'ai'liang'qiu'hao 恰爱凉秋好
'qia'shi'yin'ping 恰是银屏
'qian'fei'hong'ji 倩飞鸿寄
'qian'hua'bai'cao'ping'lian'qu 千花百草凭怜取
'qian'hua'bai'cao'yong'hui'lai 千花百草慵回睐
'qian'jia'ye'ku'bai'cheng'qing 千家野哭百城倾
'qian'lei'liu'hen 铅泪留痕
'qian'meng'nan'yuan'chun'yi'mu 浅梦难圆春易暮
'qian'nian'shang'qiang'bao 前年尚襁褓
'qian'ri'yi'yi'yang'liu'lu 前日依依杨柳路
'qian'shan'chou'ri'mu 千山愁日暮
'qian'wei'zha'yu 搴帷乍遇
'qian'you'xiu'geng'ji 前游休更记
'qian'you'zong'xu 前游纵续
'qiang'di'guan'shan'yuan 羌笛关山怨
'qiang'shuo'jia'can'fan 强说加餐饭
'qiang'yin'xie'zhao'yi'deng'lou 强因斜照一登楼
'qiang'zuo'wu'qing 强作无情
'qiao'chuang'luan'er 敲窗乱而
'qiao'mu'cang'liang 乔木苍凉
'qiao'mu'huang'liang'yan'shui'ge 乔木荒凉烟水隔
'qiao'que'tuo'hu'qiu'yu'ji 敲缺唾壶秋雨急
'qiao'xi'yu'she 樵蹊渔舍
'qie'liu'xiang'xin'ting'bei'qi 且留向新亭悲泣
'qie'shang'ceng'lou 怯上层楼
'qie'zuo'cong'rong'wang 且作从容往
'qin'gu'shang'sheng 沁骨商声
'qin'huai'jiu'shi'nan'lun 秦淮旧事难论
'qing'chou'zheng'de'jiu'shi'duo 清愁争得旧时多
'qing'gai'xiang'feng 倾盖相逢
'qing'han'ce'ce'shang'lian'yao 轻寒恻恻上帘腰
'qing'huan'hua'lei'jian'cheng'bing 清欢化泪渐成冰
'qing'huan'ren'ji'dang'nian 清欢忍记当年
'qing'ke'han'hai'nuan 顷刻寒还暖
'qing'lei'cheng'he'xi'meng'hen 倾泪成河洗梦痕
'qing'lei'yi'cheng'he 倾泪易成河
'qing'lei'zha'qi 轻雷乍起
'qing'meng'jing'chun 轻梦惊春
'qing'niao'peng'shan'miao'xin'yin 青鸟蓬山渺信音
'qing'ping'le 清平乐
'qing'qin'xiao'zhen'zha'han'shi 轻衾小枕乍寒时
'qing'qing'shu'feng'zai 青青数峰在
'qing'shan'bi'xue'ye'ru'nian 青山碧血夜如年
'qing'shan'ji'dian'yan'zhi'xue 青山几点胭脂血
'qing'shui'wen'hong'lou'xiao'xi 清谁问红楼消息
'qing'yang'su'lan'feng'xi 轻漾素兰风细
'qing'yin'ji'ri'yuan'yang'meng 清阴几日鸳鸯梦
'qing'zhi'meng'duan'wu'you'xu 情知梦断无由续
'qiong'lou'xiao'xi'shui'chuan 琼楼消息谁传
