'huang'he'zhi'he'qu 黄鹤知何去
'huang'tian'hou'tu 皇天后土
'huang'yang'jie'shang 黄洋界上
'huang'yang'jie'shang'pao'sheng'long 黄洋界上炮声隆
'hui'chang 会昌
'hui'chang'cheng'wai'gao'feng 会昌城外高峰
'hui'chi'fang'qiu 挥斥方遒
'hui'shou'cong'zi'qu 挥手从兹去
'hui'shou'feng'luan'ru'mang'cang 回首峰峦入莽苍
'huo'duo'lao'cui 或多劳瘁
'huo'shu'su'en 或属素恩
'huo'shu'yin'hua'bu'ye'tian 火树银花不夜天
'ji'da'tuan'jie'zhe'sheng'kuang'yun'er 纪大团结这盛况云尔
'ji'de'dang'nian'cao'shang'fei 记得当年草上飞
'ji'dong'min'qin 即东民覃
'ji'hang'chen'ji 几行陈迹
'ji'huang'di'ling 祭黄帝陵
'ji'lv'hao 纪律好
'ji'mo'chang'e'shu'guang'xiu 寂寞嫦娥舒广袖
'ji'mu'chu'tian'shu 极目楚天舒
'ji'mu'wen 祭母文
'ji'sheng'chou'qi 几声抽泣
'ji'sheng'qi'li 几声凄历
'ji'shi'nian 几十年
'ji'yang'wen'zi 激扬文字
'jian'ci'wei'ye 建此伟业
'jian'ju'ju'fen 剑屦俱奋
'jian'jue'di'kang 坚决抵抗
'jian'ku'dou'zheng 艰苦斗争
'jian'xin'bei'li 艰辛备历
'jian'zi'mu'lan'hua 减字木兰花
'jiang'gui'zhan'zheng 蒋桂战争
'jiang'hai'fan'bo'lang 江海翻波浪
'jiang'he'heng'yi 江河横溢
'jiang'jun'fu'cai'wei 将军赋采薇
'jiang'shan'ru'ci'duo'yao 江山如此多妖
'jiang'shan'ru'hua 江山如画
'jiang'tian'shui'yi'hong 江天水一泓
'jiao'de'zhou'tian'han'che 搅得周天寒彻
'jiao'yu'ji'shi'kan'zan'shang 教育及时堪赞赏
'jiao'yuan'xue 郊原血
'jie'ban'qin'shi 皆伴亲时
'jie'bao'en'shi 皆报恩时
'jie'duan'wu'shan'yun'yu 截断巫山云雨
'jie'fang'jun 解放军
'jie'jing'zhi'feng 洁净之风
