'a'bi'de'nv'xing'ya'mu'qin 阿必的女性亚母亲
'lai'he'qu 来和去
'lai'shao'ru 来少如
'lan'wen'fu 兰文甫
'lan'zhou'ren'jia 兰州人家
'lang'qing'lang 郎庆浪
'lang'zu'jun 郎祖筠
'lao'dan 老旦
'lao'fu'huan'xiang 老妇还乡
'lao'ren'hua'shi'dai 老人话时代
'lao'shao'le 老少乐
'lao'she 老舍
'lao'sheng 老生
'lao'shu'mi'yu 老鼠秘语
'lao'ting'da'gu 乐亭大鼓
'lao'tou'zui'jiu 老头醉酒
'lao'wan'gu 老顽固
'le'guan'de'bei'ju 乐观的悲剧
'le'tou 勒头
'lei'kai'yuan 雷开元
'lei'wen'shun 雷文顺
'lei'yu 雷雨
'li'bao'qi 李宝麒
'li'bao'sen 李宝森
'li'bao'shan 李宝山
'li'bao'zhang 李宝璋
'li'bing'jie 李炳杰
'li'bo'ren 李伯仁
'li'bo'xiang 李伯祥
'li'cha'er'shi 理查二世
'li'cha'san'shi 理查三世
'li'chang'chun 李长春
'li'chong'wu 李崇武
'li'cun'min 李存民
'li'de'xiang 李德祥
'li'de'yang 李德钖
'li'de'zi 李得子
'li'di'yu 李迪域
'li'di'zhen 李迪振
'li'dong'qiao 李东桥
'li'er'wang 李尔王
'li'fa'lao 李发牢
'li'feng'ming 李凤鸣
'li'feng'shan 李凤山
'li'fu'rong 李富荣
'li'fu'sheng 李福盛
'li'gui'shan 李桂山
'li'guo'quan 李国权
'li'guo'rui 李国瑞
'li'guo'sheng 李国盛
'li'guo'xian 李国先
'li'guo'xiu 李国修
'li'guo'ying 李国英
'li'hao'ran 李浩然
'li'hun'qian'zou'qu 离婚前奏曲
'li'ji'xia 李霁霞
'li'jia'cun 李嘉存
'li'jia'ju 李佳举
'li'jia'jun 李佳骏
'li'jian'hua 李建华
'li'jie'chen 李洁尘
'li'jie'mao 李洁茂
'li'jin'dou 李金斗
'li'jin'kuan 李金宽
'li'jin'xiang 李金祥
'li'jun'mei 李君梅
'li'kui'tan'mu 李逵探母
'li'li'shan 李立山
'li'lian'wei 李连伟
'li'long 李龙
'li'long'yun 李龙云
'li'mai'gang 李买刚
'li'ming'gang 李明刚
'li'ming'qi 李鸣歧
'li'ming'zhi'qian 黎明之前
'li'qiu 立秋
'li'ren'xing 丽人行
'li'rong 李荣
'li'ru'gang 李如刚
'li'rui'feng 李瑞丰
'li'run'jie 李润杰
'li'shan 李珊
'li'shao'qing 李少卿
'li'shao'quan 李少泉
'li'sheng'su 李胜素
'li'shi'qi 李士琦
'li'shi'xu 李世续
'li'shi'zeng 李世增
'li'shou'fang 李寿芳
'li'shou'qing 李寿清
'li'shou'zeng 李寿增
'li'shu'ren 李树仁
'li'song'yan 李松岩
'li'tian'lin 李天林
'li'tong'wen 李桐文
'li'wan'xing 李万兴
'li'wei 李伟
'li'wei'jian 李伟建
'li'wei'kang 李维康
'li'wen'cheng 李文成
'li'wu 李武
'li'xi'cui'da 利西翠妲
'li'xiang'de'zhang'fu 理想的丈夫
'li'xiang'you 李相友
'li'xing'guo 李兴国
'li'xue'gui 李学贵
'li'xue'hong 李学宏
'li'yan'nian 李延年
'li'ye'ming 李业明
'li'yi 李艺
'li'ying'jie 李英杰
'li'yong 李勇
'li'yong'chun 李永春
'li'you'gang 李幼刚
'li'yu'jun 李玉君
'li'yuan'chun'qiu 梨园春秋
'li'yun'ting 李云亭
'li'zeng'man 李增满
'li'zeng'nian 李增年
'li'zeng'rui 李增瑞
'li'zhen'min 李箴民
'li'zheng'bin 李正斌
'li'zhi'qiang 李志强
'li'zhong'hua 李中华
'li'zhu'ying 李祝英
'lian'ai'de'xi'niu 恋爱的犀牛
'lian'chun'jian 连春建
'lian'chun'zhong 连春仲
'lian'qu'ti 联曲体
'lian'xiao'kun 连笑昆
'lian'xiao'lin 连小林
'lian'xiu'quan 连秀全
'liang'ge'nong'chao'er 两个弄潮儿
'liang'hong'cai 梁洪才
'liang'shang'jun'zi 梁上君子
'liang'shang'yi 梁尚义
'lie'huo'zhong'yong'sheng 烈火中永生
'lie'ning'ping'xi 列宁评戏
'lin'jia'pu'zi 林家铺子
'lin'mao 林茂
'lin'se'gui 吝啬鬼
'lin'zhao'hua 林兆华
'ling'he'ying'ren 凌河影人
'ling'hun'chu'qiao 灵魂出窍
'ling'shao'ming 凌少明
'liu'bao'rui 刘宝瑞
'liu'bao'sen 刘宝森
'liu'bing 刘兵
'liu'bo'kui 刘伯奎
'liu'chang'sheng 刘长声
'liu'chen 刘辰
'liu'di'tian 刘迪天
'liu'er'jin 刘尔金
'liu'ge'xun'zhao'zuo'jia'de'jue'se 六个寻找作家的角色
'liu'guang'yi 刘广义
'liu'gui'tian 刘桂田
'liu'guo'qi 刘国器
'liu'hong'jiang 刘洪江
'liu'hong'yi 刘洪沂
'liu'hua'min 刘化民
'liu'ji 刘际
'liu'ji'shen 刘继深
'liu'jia'ke 刘加柯
'liu'jiang'ge 刘江舸
'liu'jie 刘杰
'liu'jin'rui 刘金瑞
'liu'jun 刘军
'liu'jun'jie 刘俊杰
'liu'ke 刘科
'liu'kou'dui'zhang 流寇队长
'liu'kui'zhen 刘奎珍
'liu'lai'zi 刘来子
'liu'li 刘黎
'liu'li'sheng 刘立升
'liu'li'xin 刘立新
'liu'lian'ying 刘莲英
'liu'lin'xie'zhuang 柳林写状
'liu'liu 刘流
'liu'man'ying 刘曼影
'liu'mao'mao 刘毛毛
'liu'pai 流派
'liu'pei'qi 刘沛起
'liu'pin'chen 刘聘臣
'liu'ping 柳萍
'liu'qi 刘琪
'liu'qiao'er 刘巧儿
'liu'qing'fu 刘庆福
'liu'quan'gang 刘全刚
'liu'ru'hui 刘茹惠
'liu'shan 刘山
'liu'shou'nv'shi 留守女士
'liu'shu'jiang 刘树江
'liu'shu'qing 刘树青
'liu'song'jiang 刘松江
'liu'sui'she 刘随社
'liu'ting'kai 刘廷凯
'liu'tong 刘彤
'liu'wan'shan 刘万山
'liu'wei 刘伟
'liu'wei 刘威
'liu'wen'bu 刘文步
'liu'wen'de 刘文德
'liu'wen'heng 刘文亨
'liu'wen'liang 刘文亮
'liu'wen'zhen 刘文贞
'liu'xi'yao 刘喜尧
'liu'xian'dong 刘显东
'liu'xiao'xian 刘孝先
'liu'xue'ren 刘学仁
'liu'ya'kui 刘雅奎
'liu'yan'chang 刘彦昌
'liu'yi'ping 刘易平
'liu'yi'xue 刘义学
'liu'ying 刘颖
'liu'ying'hua 刘英华
'liu'ying'qi 刘英奇
'liu'you'shan 刘幼山
'liu'yu'cai 刘玉才
'liu'yu'feng 刘玉凤
'liu'yu'hui 刘玉辉
'liu'yue'ning 刘跃宁
'liu'yue'qiao 刘月樵
'liu'zeng'kai 刘增锴
'liu'zhi'yuan 刘志远
'long'xu'gou 龙须沟
'lou'xiang 陋巷
'lu 陆
'lu'cai'xiang 路彩祥
'lu'de'jun 卢德俊
'lu'fu'lai 卢福来
'lu'gou'qiao 芦沟桥
'lu'pai 陆派
'lu'wen'rong 陆文荣
'luan'sheng'xiong'di 孪生兄弟
'luan'tan 乱弹
'luan'xing'rong 乱形容
'luan'zhong 乱钟
'lun'quan 论拳
'lun'xian'zi 抡弦子
'luo'ai'tian 罗爱恬
'luo'bao'shan 骆宝珊
'luo'cai'wu 骆采舞
'luo'cheng'xi'diao'chan 罗成戏貂婵
'luo'duo'geng 罗多庚
'luo'feng 罗峰
'luo'jian 罗健
'luo'ke'liu'si 罗克留斯
'luo'mi'ou'yu'zhu'li'ye 罗密欧与朱丽叶
'luo'mu'luo'si'si'da'di 罗穆洛司斯大帝
'luo'rong'shou 罗荣寿
'luo'tuo'xiang'zi 骆驼祥子
'lv'chuang'nv'shi 绿窗女史
'lv'fang'zi 绿房子
'lv'ju 吕剧
'lv'pai 吕派
'lv'shao'ming 吕少明
'lv'wei'guo 吕维国
'lv'wen'sheng 吕闻升
'ma 马
'ma'bao'lu 马宝璐
'ma'bo'lin 马伯林
'ma'chun 马春
'ma'da'long 马大龙
'ma'gui'yuan 马桂元
'ma'hong'hai 马洪海
'ma'hong'sheng 马洪升
'ma'hong'xin 马洪信
'ma'ji 马季
'ma'ji'jiang 马济江
'ma'ji'qi'ren'si'ji 马机器人斯基
'ma'jin'liang 马金良
'ma'jing'bo 马敬伯
'ma'kui'yao 马魁尧
'ma'lan'hua 马兰花
'ma'lan'yu 马蓝鱼
'ma'lian'liang 马连良
'ma'liang'chen 马良臣
'ma'ling'yun 马凌云
'ma'liu'jia 马六甲
'ma'lun 马伦
'ma'ma'du 马马杜
'ma'nian'sai'ma 马年赛马
'ma'qian'po'shui 马前泼水
'ma'san'li 马三立
'ma'shi'hao 麻世豪
'ma'shou'yan 马寿岩
'ma'shu'chun 马树春
'ma'si'li 马四立
'ma'teng'xiang 马腾翔
'ma'wei'fu 马维福
'ma'wei'guo 马伟国
'ma'wen'guang 马文光
'ma'wen'rui 马文瑞
'ma'wen'xiao 马文孝
'ma'wen'zhong 马文忠
'ma'you'xian 马友仙
'ma'yun'lu 马云路
'ma'yun'xiang 马云翔
'ma'zheng 马政
'ma'zhi'cun 马志存
'ma'zhi'ming 马志明
'ma'zi'heng 马子恒
'mai'fo'kan 买佛龛
'mai'gu'yi 卖估衣
'mai'gua'piao 卖挂票
'mai'hou 买猴
'mai'hua'nv 卖花女
'mai'ke'bai 麦克白
'man'ban 慢板
'man'nong 曼侬
'mao'fang'hua 茅房话
'mao'jing 毛净
'mao'yuan 毛猿
'mei 梅
'mei'dai 梅黛
'mei'di'ya 美狄亚
'mei'lan'fang 梅兰芳
'mei'li'chang'xiang'qu 美丽畅想曲
'mei'li'da 梅里达
'mei'li'de'hai'lun 美丽的海伦
'mei'li'tang'de 梅里唐德
'mei'mao'de'gou 没毛的狗
'mei'yu 梅雨
'meng'e'yun 孟遏云
'meng'fan'gui 孟凡贵
'meng'guang'lu 孟广禄
'meng'li'jun 孟丽君
'meng'lin 孟林
'meng'wen'hui 孟文辉
'meng'xiang'guang 孟祥光
'mi'bao'cai 秘宝财
'mi'fei 米飞
'mi'hong'quan 秘鸿泉
'mi'lei'na 米雷娜
'mi'shi 密室
'mi'yi 秘艺
'miao'feng'shan 妙峰山
'miao'qu'wang'sheng 妙趣网生
'miao'shou'cheng'huan 妙手成患
'miao'wen'hao 苗文浩
'mie'shu'yi'shi 灭鼠轶事
'ming'jiao'ai'na'si'ku'de'zhong'yao'xing 名叫艾纳斯库的重要性
'ming'lang'de'tian 明朗的天
'ming'you'zhi'si 名优之死
'ming'yun'de'bo'nong 命运的拨弄
'miu'sai 缪塞
'mo'fang 魔方
'mo'gui'de'men'tu 魔鬼的门徒
'mo'gui'mian'ke 魔鬼面壳
'mo'li'ai 莫里哀
'mou'yu'chun 牟玉春
'mu 穆
'mu'dan'ting 牡丹亭
'mu'gui'ying'gua'shuai 穆桂英挂帅
'mu'rui'qing 穆瑞庆
'mu'xia'shun'er 木下顺二
'mu'xiang'lin 穆祥林
'mu'ying 穆瑛
'na'ta'sha 娜塔莎
'nan'guan'cao 南冠草
'nan'gui 南归
'nan'hai'chang'cheng 南海长城
'nan'yi'yu'liao 难以预料
'nan'zi'han'xuan'yan 男子汉宣言
'nao'gong'tang 闹公堂
'ni'hong'deng'xia'de'shao'bing 霓虹灯下的哨兵
'nian'guan'dou'zheng 年关斗争
'niao'ren 鸟人
'nie'wen'zhi 聂闻治
'nie'xing 聂嫈
'ning'meng'huang'de'wei'dao 柠檬黄的味道
'niu'cheng'zhi 牛成志
'niu'qun 牛群
'niu'zhen'hua 牛振华
'nv'bing'lian'lai'le'ge'nan'jia'shu 女兵连来了个男家属
'nv'dian'zhu 女店主
'nv'dui'chang 女队长
'nv'ji'zhe 女记者
'nv'pu 女仆
'nv'ren'de'yi'sheng 女人的一生
'ou'bao'can 欧宝灿
'ou'bao'can 欧宝璨
'ou'di'pu 欧迪普
'ou'guang'ci 欧光慈
'ou'li'bi'de'si 欧里庇得斯
'ou'li'bi'de'si 欧里庇德斯
'pa'dou'wa'gong'jue'fu'ren 帕都瓦公爵夫人
'pan'gui'cai 潘贵才
'pan'hai'bo 潘海波
'pan'long'hao 潘龙浩
'pan'qing'wu 潘庆武
'pang'pei'zhi'si 庞培之死
'pang'zi'quan 庞子泉
'pao'zhen 炮震
'pei'er'ke'te 佩尔克特
'peng'feng'lin 彭凤林
'peng'guo'liang 彭国良
'peng'zi'yi 彭子义
'pi'jian'xin 邳建新
'pi'lan'de 皮兰德
'pi'lan'de'lou 皮兰德娄
'pi'liao'zhai 批聊斋
'pi'san'guo 批三国
'pi'shu'de 皮树德
'pi'xiao'jie 皮小姐
'ping'feng'hou 屏风后
'ping'guo'che 苹果车
'ping'ju 评剧
'ping'shu 评书
'ping'shu'man'tan 评书漫谈
'po'ning'guo 破宁国
'pu 普
'pu'er'sou'ya'ke'xian'sheng 浦尔叟雅克先生
'pu'nai'si 普奈斯
'qi'ai'yun 齐爱云
'qi'che'la'ba'sheng 汽车喇叭声
'qi'cun'cai 祁存才
'qi'he'fu 契诃夫
'qi'jiang'gong'tei'bai 七将攻忒拜
'qi'li'hong 齐力宏
'qi'li'xin 齐力新
'qi'pai 戚派
'qi'qian'ning 祁乾宁
'qi'ren 棋人
'qi'song 戚松
'qi'xi'sheng 祁喜生
'qi'xin'ying 齐信英
'qi'yi'de'cha'qu 奇异的插曲
'qi'yuan'ren 祈援人
'qi'zhi 奇志
'qia'ji'qi'ren 恰机器人
'qian'lin 钱麟
'qian'niu'ji 牵牛记
'qiao'guo'qing 乔国庆
'qiao'kang'kai 乔慷慨
'qiao'xin'xian 乔新贤
'qiao'zhe'lia'die 瞧这俩爹
'qin'ai'de'zhang'fu 亲爱的丈夫
'qin'bao'qi 秦宝琦
'qin'chai'da'chen 钦差大臣
'qin'huang'fu'zi 秦皇父子
'qin'qiang'qu'pai 秦腔曲牌
'qin'qiong'mai'ma 秦琼卖马
'qin'xing'min 秦醒民
'qin'yu'gui 秦玉贵
'qin'yu'hua 秦玉华
'qin'yun'xie'ying'xiao'pu 秦云撷英小谱
'qing'chun'jin'ji'you'xi 青春禁忌游戏
'qing'feng'ting 清风亭
'qing'ju'tuan 请剧团
'qing'nian'jin'xing'qu 青年进行曲
'qing'niao 青鸟
'qing'xu'yu'jian'kang 情绪与健康
'qing'yi'sheng 请医生
'qiong'le'guan 穷乐观
'qiong'si'huang'di 琼斯皇帝
'qiu'hai'tang 秋海棠
'qiu'jin'chuan 秋瑾传
'qiu'li'si'kai'sa 裘力斯凯撒
'qiu'sheng'fu 秋声赋
'qiu'sheng'rong 裘盛戎
'qu'ben 曲本
'qu'fu'en 曲福恩
'qu'nai'xin 曲乃新
'qu'qu'si'ye 蛐蛐四爷
'qu'yi 曲艺
'qu'yi'yin'yue 曲艺音乐
'qu'yuan 屈原
'quan'chang'bao 全常保
'quan'shi'bei'jing'ren 全是北京人
'quan'xin'lang 劝新郎
'qun'ce'qun'li 群策群力
'qun'hou 群猴
'qun'ying'hui 群英会
'rang 让
'rang'ri'nai 让日奈
'rao'kou'ling 绕口令
'ren'di'shan 任迪山
'ren'min'gong'di 人民公敌
'ren'wen'li 任文立
'ren'xiao'hai 任笑海
'ren'xiao'lei 任小蕾
'ren'yu'chao'ren 人与超人
'ren'zhe'zhong 任哲中
'ri'chu 日出
'ri'xia'kan'hua'ji 日下看花记
'ri'zao'san'xian 日遭三险
'rong'di'qu 荣迪曲
'rong'guan'xiu 戎冠秀
'ru'ci'dian'li 如此典礼
'ru'ci'yao'qiu 如此要求
'ru'ci'zhao'xiang 如此照相
'ru'shao'ting 茹少亭
'ruan'ling'yu 阮玲玉
'ruan'yu'ping 软玉屏
'run'run'cang 润润苍
'run'run'zi 润润子
'sa'huang'zhe 撒谎者
'sa'le'mu'de'nv'wu 萨勒姆的女巫
'sa'man'yue'guang'de'huang'yuan 洒满月光的荒原
'sa'te 萨特
'sai'wei'li'ya'de'li'fa'shi 塞维利亚的理发师
'san'da'yi'po 三打一破
'san'di'xue 三滴血
'san'ge'mo'deng'de'nv'xing 三个摩登的女性
'san'ji'zhang 三击掌
'san'jia'dian 三家店
'san'jie'mei'mei 三姐妹妹
'san'kuai'qian'guo'bi 三块钱国币
'san'lin 三林
'san'yi'she 三意社
'san'zi'mei 三姊妹
'sang'shu'ping'ji'shi 桑树坪纪事
'sen'ben'xun 森本薰
'sha'gong'da'luo 沙恭达罗
'sha'gou'quan'qi 杀狗劝妻
'sha'le'mei 莎乐美
'sha'shi'bi'ya 莎士比亚
'sha'yue'sheng 沙跃生
'shan'dong'kuai'shu 山东快书
'shan'hao'zhe 善好者
'shan'xi'kuai'ban 陕西快板
'shang'hai'wu'yan'xia 上海屋檐下
'shang'xiao'yun 尚小云
'shang'xin'shao'xiao 伤心少校
'shang'xin'zhi'jia 伤心之家
'shang'yang 商鞅
'shang'yue 上越
'shao'bai 绍百
'shao'nai'nai'de'shan'zi 少奶奶的扇子
'shao'qi'bing 邵其炳
'shen'chun'he 沈春和
'shen'duan 身段
'shen'jun 沈君
'shen'xiang'lin 申祥麟
'shen'zheng'kun 申正昆
'shen'zhu'shan 沈竹善
'sheng'feng'qi'shi 生逢其时
'sheng'guan'tu 升官图
'sheng'nv'zhen'de 圣女贞德
'sheng'ri'yan'hui 生日宴会
'sheng'si'chang 生死场
'sheng'si'pai 生死牌
'sheng'tie'lian'cheng'gang 生铁炼成钢
'sheng'wei'nan'ren 生为男人
'shi'ba'hong 十八红
'shi'dian'zhong'kai'shi 十点钟开始
'shi'fu'kuan 石富宽
'shi'hai 逝海
'shi'jian'yu'qing'chun 时间与青春
'shi'jie'ting 失街亭
'shi'liu'tiao'qiang 十六条枪
'shi'qiao'jiu'mi 石桥久弥
'shi'sheng'jie 师胜杰
'shi'shi'yuan 师世元
'shi'wen'han 史文翰
'shi'wen'hui 史文惠
'shi'wen'lin 施文琳
'shi'xiao'jie 石小杰
'shi'yu'zhuo 拾玉镯
'shu'lai'bao 数来宝
'shu'luo'han 数罗汉
'shu'mi'da'sha'guo 书迷打砂锅
'shua'an'chun 耍鹌鹑
'shuai'fa 甩发
'shuan'wa'wa 拴娃娃
'shuang'huang 双簧
'shuang'jin'yi 双锦衣
'shuang'xi'yue'fu 双溪乐府
'shuang'zhuo'ji 双镯记
'shui'hai'pa'fu'ji'ni'ya'wu'er'fu 谁害怕弗吉尼亚伍尔夫
'shui'ku 水裤
'shui'mei'ren 睡美人
'shui'pa'bei'le'ye 谁怕贝勒爷
'shui'shang'mian 水上勉
'shui'xia'cun'zhuang 水下村庄
'shui'xian'dao'le'chong'qing 谁先到了重庆
'shui'yi 水衣
'shuo'huang'zhe 说谎者
'shuo'yi'bu'shuo'er 说一不说二
'shuo'zi 说字
'si'chuan'hao'ren 四川好人
'si'da'ming'dan 四大名旦
'si'da'xu'sheng 四大须生
'si'di'si 斯狄斯
'si'fan 思凡
'si'jin'shi 四进士
'si'lang'tan'mu 四郎探母
'si'ma'bai'tai 司马拜台
'si'shi'nian'de'yuan'wang 四十年的愿望
'si'shui'wei'lan 死水微澜
'si'te'lin'bao 斯特林堡
'si'wu'zang'shen'zhi'di 死无葬身之地
'si'xian'ce 四贤册
'si'zui 死罪
'song'bing'ren'lai'le 送冰人来了
'song'de'quan 宋德全
'song'gun 讼棍
'song'huo'zhe'pu'luo'mi'xiu'si 送火者普罗米修斯
'song'qiao'jiao 宋巧娇
'song'shao'qing 宋少卿
'song'wen'jun 宋文俊
'song'yan'bo 宋雁波
'song'yong 宋勇
'su'lian'sheng 苏连生
'su'ming'jie 苏明杰
'su'rui'e 苏蕊娥
'su'shi'jie 苏士杰
'su'wu'mu'yang 苏武牧羊
'su'zhou'tan'ci 苏州弹词
'su'zhou'ye'hua 苏州夜话
'sui'chang'xin 隋长欣
'sui'guang'bin 隋广斌
'sun'an'dong'ben 孙安动本
'sun'bao'cai 孙宝才
'sun'bao'guang 孙保光
'sun'bao'jun 孙宝钧
'sun'bao'qi 孙宝琦
'sun'bo'zhen 孙伯珍
'sun'cheng'lin 孙承林
'sun'chun'hua 孙春华
'sun'cun'die 孙存蝶
'sun'de'yi 孙得一
'sun'dian'sheng 孙殿盛
'sun'feng 孙枫
'sun'fu'hai 孙福海
'sun'guang 孙光
'sun'guo'wei 孙国伟
'sun'ji'zhong 孙继忠
'sun'qiang 孙强
'sun'qing'chi 孙庆池
'sun'qing'huai 孙庆淮
'sun'shao'chen 孙少臣
'sun'shao'lin 孙少林
'sun'shi'da 孙世达
'sun'shi'da 孙士达
'sun'tong'zeng 孙桐增
'sun'xin'mei 孙欣梅
'sun'xing'hai 孙兴海
'sun'xing'hai 孙星海
'sun'yu'jiao 孙玉娇
'sun'yu'kui 孙玉奎
'sun'zhong'shan'zhi'si 孙中山之死
'suo'fu'ke'le'si 索福克勒斯
'tai'bai'ma 太白马
'tai'li'hong 胎里红
'tan'bo'ru 谭伯如
'tan'fu'ying 谭富英
'tan'huang'ling 探皇陵
'tan'jian'xun 谭建勋
'tan'ming'liang 谭鸣亮
'tan'xiao'zeng 谭孝增
'tan'xin'pei 谭鑫培
'tan'yao 探窑
'tan'yin'shan 探阴山
'tan'yuan'shou 谭元寿
'tang'chuan'mo 唐传模
'tang'cu'huo'yu 糖醋活鱼
'tang'di'zhi'hua 棠棣之花
'tang'huang 唐璜
'tang'jie'zhong 唐杰忠
'tang'jin'cheng 汤金澄
'tang'yan'jie 汤艳杰
'tang'yi'min 汤一民
'tang'yu'fu 唐玉福
'tao'da'wei 陶大为
'tao'hua'shan 桃花扇
'tao'li'chun'feng 桃李春风
'tao'wen'hua 陶文华
'tao'xiang'jiu 陶湘九
'tao'xiang'ru 陶湘如
'tao'xiao'chun 桃小春
'tao'yuan'jie'shui 桃园借水
'te'la'a'si'fu'nv 特拉阿斯妇女
'te'li'xi'a 特里西阿
'te'luo'ai'wei'cheng'ji 特洛埃围城记
'te'luo'yi'de'fu'nv 特洛伊的妇女
'te'luo'yi'luo'si'yu'ke'rui'xi'da 特洛伊罗斯与克瑞西达
'te'luo'yi'qin'wang'pei'li'ke'li'si 特洛伊亲王配力克里斯
'te'shi'mo 特士摩
'te'zhong'bing 特种病
'teng'sheng'xiang 腾生祥
'teng'tian'xiang 藤田香
'teng'wen'chao 滕文超
'tian'bao'heng 田宝珩
'tian'bao'xin 田宝鑫
'tian'bian'wai 天边外
'tian'bian'you'yi'cu'sheng'huo 天边有一簇圣火
'tian'cai'yu'feng'zi 天才与疯子
'tian'de'nian 田德年
'tian'e'hu 天鹅湖
'tian'guo'chun'qiu 天国春秋
'tian'han 田汉
'tian'jin'shi'diao 天津时调
'tian'lai 天籁
'tian'li'he 田立禾
'tian'na'xi'wei'lian'si 田纳西威廉斯
'tian'song'shan 田松山
'tian'wen'kui 田文奎
'tian'wen'ming 田文明
'tian'xia'di'yi'lou 天下第一楼
'tian'ye'you'shi'qing'sha'zhang 田野又是青纱帐
'tian'zhi'jiao'zi 天之骄子
'tiao'wu'mi 跳舞迷
'tie'dan 贴旦
'tie'lian'hua 铁莲花
'tie'pian'da'gu 铁片大鼓
'tong'chuan'guo'du 同船过渡
'tong'da'fang 佟大方
'tong'hao'ru 佟浩如
'tong'ming 童鸣
'tong'shou'ben 佟守本
'tong'you'wei 佟有为
'tong'zhou'bang'zi 同州梆子
'tu'fu'yuan 屠夫缘
'tu'qiao'zhi'zhan 土桥之战
'tu'ran'chu'xian'de'dao'shang'yu'ren 突然出现的岛上愚人
'tu'tou'ge'nv 秃头歌女
'tui'bian 蜕变
'tui'bian'bian 蜕变变
'tui'xiao'yuan'zhi'si 推销员之死
'tuo'ka'si 托卡斯
'wan'bi'luo'fu 万比洛夫
'wan'dou'hua 豌豆花
'wan'hua'zhu'ren 玩花主人
'wan'jia'deng'huo 万家灯火
'wan'neng'ji'qi'ren 万能机器人
'wan'ni'ya'jiu'jiu 万尼亚舅舅
'wan'ou'zhi'jia 玩偶之家
'wan'shi'shi'biao 万世师表
'wan'wan'qiang 碗碗腔
'wan'wen'ying 万文英
'wang'bao'chuan 王保钏
'wang'bao'jue 王宝珏
'wang'bao'qi 汪宝琦
'wang'bao'shan 王葆山
'wang'bao'tong 王宝童
'wang'bao'zhen 王宝珍
'wang'ben'lin 王本林
'wang'bo'lin 王伯林
'wang'bo'rong 王伯荣
'wang'chang'lin 王长林
'wang'chang'you 王长友
'wang'chang'zhu 王常柱
'wang'cheng'qi 王成启
'wang'chuan'lin 王传林
'wang'chun'he 王春和
'wang'de'chang 王得昌
'wang'er'de 王尔德
'wang'feng'shan 王凤山
'wang'fu'sheng 王辅生
'wang'fu'tian 王福田
'wang'fu'ting 王辅廷
'wang'gang 王刚
'wang'hai'jiang 王海江
'wang'hong 王宏
'wang'hong'wen 王洪文
'wang'hui'lin 王惠林
'wang'ji'xiang 王吉祥
'wang'jin'dong 王金东
'wang'jin'wen 王锦文
'wang'jiu'si 王九思
'wang'jun 王俊
'wang'ming'lou 王鸣楼
'wang'ming'lu 王鸣禄
'wang'ming'shan 王鸣山
'wang'ming'yi 王鸣义
'wang'pei'yuan 王佩元
'wang'peng 王蓬
'wang'ping 王平
'wang'qi'lu 王启禄
'wang'qing 王庆
'wang'qing'dong 王庆东
'wang'qing'xin 王庆新
'wang'quan 王全
'wang'rong'rong 王蓉蓉
'wang'shao'an 王少安
'wang'shao'lin 王少林
'wang'shao'you 王绍猷
'wang'sheng'ya 汪声亚
'wang'shi'chen 王世臣
'wang'shi'yong 王世勇
'wang'shu'tian 王树田
'wang'shu'xiang 王枢祥
'wang'shun 王顺
'wang'wen'bo 王文博
'wang'wen'chang 王文昌
'wang'wen'hao 王文豪
'wang'wen'hou 王文厚
'wang'wen'jie 王文杰
'wang'wen'jin 王文进
'wang'wen'kai 王文凯
'wang'wen'lu 王闻禄
'wang'wen'qi 王文奇
'wang'wen'xi 王文喜
'wang'wen'yan 王文砚
'wang'wen'you 王文友
'wang'wen'yu 王文玉
'wang'wen'yuan 王文元
'wang'xiang'lin 王祥林
'wang'xiao'lin 王校林
'wang'xiao'sheng 王小生
'wang'xiao'yu 王笑予
'wang'xin 王信
'wang'xue'yi 王学义
'wang'ya'fu 王雅福
'wang'ya'qing 王雅青
'wang'ya'yu 王雅育
'wang'yin 王茵
'wang'yin'quan 王印权
'wang'ying'jie 王英杰
'wang'ying'jun 王英俊
'wang'you 王友
'wang'you'dao 王有道
'wang'yuan'feng 王元锋
'wang'ze'min 王泽民
'wang'zhao'jun 王昭君
'wang'zhao'lin 王兆麟
'wang'zheng'duan 王正端
'wang'zhi'tao 王志涛
'wei'chang'sheng 魏长生
'wei'chang'yu 魏常玉
'wei'jun'zi 伪君子
'wei'kun'zhi 魏昆治
'wei'la 薇拉
'wei'lan'zhu 魏兰柱
'wei'luo'na'er'shen'shi 维洛那二绅士
'wei'mei'yu 魏美玉
'wei'na'si'de'yi'han 维纳斯的遗憾
'wei'ni'si'shang'ren 威尼斯商人
'wei'qin'wang'pei'li'ke'er'si 维亲王佩力克尔斯
'wei'qing'jiao'tu'xie'de'xi'ju 为清教徒写的戏剧
'wei'qu'qiu'quan 委曲求全
'wei'wen'hua 魏文华
'wei'wen'liang 魏文亮
'wei'wu'liang 魏务良
'wei'you'chen 魏幼臣
'wei'yuan'cheng 魏元成
'wei'zhen'bai 魏真柏
'wei'zhi 魏治
'wen'cheng'gong'zhu 文成公主
'wen'fu'ren'de'shan'zi 温夫人的扇子
'wen'mi'er'fu'ren'de'shan'zi 温米尔夫人的扇子
'wen'sha'de'feng'liu'niang'er'men 温莎的风流娘儿们
'wen'sha'de'feng'liu'niang'men 温莎的风流娘们
'wen'tai'shi'xian'hun 闻太师显魂
'wen'zhang'hui 文章会
'wen'zhao'guan 文昭关
'wo'de'li'shi 我的历史
