'a'pai'luo 阿派洛
'xin'chi 鑫驰
'xin'da'shun 新大顺
'xin'gai'nian 新概念
'xin'heng 欣恒
'xin'heng'kuai'di 欣恒快递
'xin'hua 心华
'xin'xing'tong'shang 新星通商
'xin'zi'fang 欣姿芳
'xing'qi'liu 星期六
'xue'er 雪儿
'xun'qi 勋祺
'ya'ge'er 雅戈尔
'ya'lu 雅鹿
'ya'lu'nan'zhuang 雅鹿男装
'ya'shi 雅氏
'ya'xuan'guang'gao 亚宣广告
'yan'cheng'jiu'xi 盐城玖熙
'yan'huang 雁皇
'yan'ji'mao'yi 彦吉贸易
'yan'tai'xin'he'cang'chu 烟台欣和仓储
'yan'tuo 彦拓
'yan'wei'fu 妍尾服
'yan'wei'fu'cang'chu 妍尾服仓储
'yi'bang 意邦
'yi'cai 亿才
'yi'can 逸灿
'yi'er'kang 意尔康
'yi'fu'luo'lan 伊夫罗兰
'yi'gu 亦谷
'yi'lian 衣恋
'yi'lian'cang'chu 衣恋仓储
'yi'ling'jiu 艺零玖
'yi'mi'di'da 壹米滴答
'yi'nian 衣念
'yi'qing 怡庆
'yi'suo 衣索
'yi'tai 宜泰
'ying'li'sheng 英利生
'ying'mo'te 英模特
'ying'mo'te'cang'chu 英模特仓储
'ying'shi 英仕
'yong'pei 涌沛
'yong'xin 永新
'yong'xing'dong'run 永兴东润
'you'ke'xing 悠客行
'you'yi'ku 优衣库
'you'yuan 优渊
'you'ze 佑泽
'yu'fei 宇翡
'yu'feng'cang'chu 裕峰仓储
'yu'qiu'bao'kang 誉球煲康
'yu'qiu'cang'chu 誉球仓储
'yu'teng 驭腾
'yu'xu 宇旭
'yuan'yi 缘一
'yuan'yuan 苑源
'yue'hai 月海
'yue'jie 越界
'yue'ling'cang'chu 岳灵仓储
'yun'deng 韵登
'yun'na 云娜
'ze'dong 泽东
'zhang'jia'gang'hong'zhao 张家港红兆
'zhang'jia'gang'lv'shang 张家港绿尚
'zhang'jia'gang'qi'li 张家港绮丽
'zhao'hua 昭华
'zhen'jiang'bai'ling 镇江百灵
'zhen'jiang'bing'yi'jiao 镇江冰亦娇
'zhen'jiang'feng'rui 镇江丰瑞
'zhen'jiang'li'dian 镇江力点
'zhen'xin 贞鑫
'zheng'de 正德
'zhi'le 智乐
'zhi'xiao 志啸
'zhong'chi 中驰
'zhong'sai 中赛
'zhong'tie'sha'chi 中铁沙驰
'zhong'xing'tou'zi 中兴投资
'zhuo'ka 卓卡
'zhuo'shi'ni 卓诗尼
'zuo'dan'nu 佐丹奴
'zuo'tian'nu 左天奴
