'a'bi'la'ma'le'da 阿比拉玛勒达
'song'yuan'luan'ju 松元乱菊
'sui'feng 碎峰
'sui'feng'dui'zhang 碎蜂队长
'sun'sun 孙孙
'sun'sun 荪荪
'suo'jie 锁结
'suo'ka'qi'ao 索卡奇奥
'suo'shu'suo'fu 锁倏锁缚
'suo'tiao'suo'fu 锁条锁缚
'tai'hu 泰虎
'tan'cha'hui'lu 探查回路
'tan'zha'hui'lu 探査回路
'tang'guan'yin'si 唐观音寺
'tao'yuan 桃原
'te'zhi'zi'yang'qiang'zhuang'ji 特制滋养强壮剂
'teng'gang'chun'fei 藤冈春绯
'teng'kong'que 藤孔雀
'teng'kong'que'gui'dao 藤孔雀鬼道
'ti'lu'di 缇鲁蒂
'tian'bei'xiu'zhu 天贝绣助
'tian'feng'luan'tian'mo'xiao 天风乱天魔笑
'tian'gou'wan 天狗丸
'tian'lan 阗岚
'tian'qian'ming'wang 天谴明王
'tian'qing'zhi'hun 田清之魂
'tian'suo'zhan'yue 天锁斩月
'tian'ta'xuan 天踏绚
'tian'ting'kong'luo 天挺空罗
'tian'xiang'cong'lin'shi 天相从临时
'tian'xin'qian'bei 甜心前辈
'tie'jiang'qing'ting 铁浆蜻蜓
'tie'qi 铁齐
'tie'zhai 铁斋
'tong'ben'zhuo'ye 桐本琢也
'tong'bu'ren'zhi 同步认知
'tong'ting'zheng 通廷证
'tu'feng'lin 荼风林
'tu'wu 土屋
'wa'shi'tuo'de 瓦史托德
'wai'mian'fan'ying 歪面反应
'wan'jie 万解
'wan'jie 卍解
'wan'jie 卐解
'wan'jie'xiu 卍解秀
'wan'jin 卍禁
'wan'jin'tai'feng 卍禁太封
'wan'shan'yong'er 丸山咏二
'wan'wu'jie'gui'yu'hui'jin 万物皆归于灰烬
'wang'da'huai'si 汪达怀斯
'wang'xu'de'shan'guang 王虚的闪光
'wang'yue'jiu'dai 望月久代
'wei'men'xi'lin'tai'lang 卫门西凛太郎
'wei'shuang 为霜
'wei'wan 嵬腕
'wo'ling'tie'zhai 握凌铁斋
'wo'ling'tie'zhai 握菱铁斋
'wu'er'qi'ao'la 乌尔奇奥拉
'wu'er'qi'ao'la'xi'fo 乌尔奇奥拉希佛
'wu'er'qi'ao'la'xi'fo 乌尔奇奥拉西佛
'wu'fan'dui'lao'fan 五番队牢番
'wu'jia'chong 五铗虫
'wu'jia'fu 五架缚
'wu'lu 乌露
'wu'shuang'yang'yan 无双阳炎
'wu'xian'de'hua'xing 无限的滑行
'wu'xian'zhuang'tian'xu'shan 无限装填虚闪
'wu'yu 屋雨
'wu'zhi 乌织
'wu'zhu'tie'guan 五柱铁贯
'xi'cun 西村
'xi'cun'zhi'dao 西村知道
'xi'lin'tai'lang 西凛太郎
'xi'liu'hun'jie'de'zhang'lao 西流魂街的长老
'xi'mu'yan 夕暮焰
'xi'shu'lei'guang'jie'wei'wu'ren 悉数雷光皆为吾刃
'xi'shu'liu'bo'jie'wei'wu'dun 悉数流波皆为吾盾
'xi'zhu 喜助
'xia'da'lu'jia 霞大路家
'xia'da'lu'liu'li'qian'dai 霞大路琉璃千代
'xia'jing'zhen'hua 夏井真花
'xia'li 夏梨
'xia'luo'te'ku'lu'feng 夏洛特库鲁风
'xia'wu'ze'zi 下屋则子
'xian'shi 现世
'xian'tai'lang 仙太郎
'xiang'ma'fang'ye 相马芳野
'xiang'sui 香穗
'xiang'zhuan 响转
'xiao'ba 小八
'xiao'bai 小白
'xiao'chang 小菖
'xiao'chuan 小川
'xiao'chuan'man 小川满
'xiao'chuan'mei'zhi'liu 小川美知留
'xiao'chun'xian'tai'lang 小椿仙太郎
'xiao'dao 小岛
'xiao'dao'shui'se 小岛水色
'xiao'dao'tong'xue 小岛同学
'xiao'hua 小花
'xiao'ji'liang 小吉良
'xiao'li'zi 小梨子
'xiao'lian 小恋
'xiao'liu'li 小琉璃
'xiao'long'ku'fang 萧隆库方
'xiao'lu 小露
'xiao'lu'nv'wang 小露女王
'xiao'quan'yi'lang'tai 小泉一郎太
'xiao'sen'tian 小森田
'xiao'shi'lang 小狮郎
'xiao'tao 小桃
'xiao'tao'zi 小桃子
'xiao'xi'ke'xing 小西克幸
'xiao'yong 小永
'xiao'yu 小雨
'xiao'zhi 小织
'xiao'zhuang 小桩
'xiao'zhuang 小樁
'xie'e'wan'ou 邪恶玩偶
'xing'jun 刑军
'xing'jun'bing'zhang 刑军兵长
'xing'zhan'zhuang 刑战装
'xiong'zhang'da'ren 兄长大人
'xiu'bai'xue 袖白雪
'xiu'bing 修兵
'xiu'mu 朽木
'xiu'mu'bai'zai 朽木白哉
'xiu'mu'da'ren 朽木大人
'xiu'mu'dui'zhang 朽木队长
'xiu'mu'fei'zhen 朽木绯真
'xiu'mu'jia 朽木家
'xiu'mu'jia'de'jia'chen 朽木家的家臣
'xiu'mu'lu'qi'ya 朽木露琦亚
'xiu'mu'lu'qi'ya 朽木露琪亚
'xiu'mu'tong'xue 朽木同学
'xiu'mu'xiang'he 朽木响河
'xiu'mu'xiao'jie 朽木小姐
'xiu'mu'yin'ling 朽木银铃
'xu'dan 虚弹
'xu'diao 戌吊
'xu'fu 虚浮
'xu'hua 虚化
'xu'quan 虚圈
'xu'shan 虚闪
'xu'shan'chong'zou 虚闪重奏
'xu'wang'huan 须王环
'xu'wu 续舞
'xu'xu'hua 虚虚化
'xu'ye'gong 虚夜宫
'xue'xia'zhi'dun 血霞之盾
'xue'ye 雪野
'xue'ye'wu'yue 雪野五月
'xue'yue 血月
'ya'kai'shi 牙铠士
'ya'lu 亚露
'ya'luo'ni'luo 亚罗尼洛
'ya'mi 牙密
'ya'mi'li'ya'er'ge 牙密里亚尔戈
'ya'qiu'ka'si 亚丘卡斯
'ya'weng 犽翁
'ya'yi'yan'ling 压抑言灵
'ya'zhou 鸭州
'yan'jiu 岩鹫
'yan'ling'wan 严灵丸
'yan'mo'xi'shuai 阎魔蟋蟀
'yan're'di'yu 炎热地狱
'ye'tian'shun'zi 野田顺子
'ye'yi 夜一
'ye'yi'da'ren 夜一大人
'ye'yi'da'shen 夜一大婶
'ye'yi'jie 夜一姐
'ye'yi'xian'sheng 夜一先生
'ye'yun'zhong'qu 叶云终曲
'ye'zhou'tong'sheng 曳舟桐生
'yi'ban'da'ye 伊板达也
'yi'dao'huo'zang 一刀火葬
'yi'er'fu'te 伊尔弗特
'yi'guan'ban 一贯坂
'yi'guan'ban'ci'lou'fang 一贯坂慈楼坊
'yi'guan'ban'si'dan'fang 一贯坂兕丹坊
'yi'hai 义骸
'yi'he 伊鹤
'yi'hu 一护
'yi'hu'ba'ba 一护爸爸
'yi'hu'ge 一护哥
'yi'hu'jun 一护君
'yi'hu'ma'ma 一护妈妈
'yi'hu'mei'mei 一护妹妹
'yi'hu'zhan'po'dao 一护斩魄刀
'yi'hun'wan 义魂丸
'yi'jiang'cun 伊江村
'yi'jiang'cun'ba'shi'qian'he 伊江村八十千和
'yi'jiao 一角
'yi'jing 一井
'yi'liao'xiao'dui 医疗小队
'yi'lu 一露
'yi'lu'shen'dao 一露神道
'yi'lu'tian'dao 一露天道
'yi'lu'wang'dao 一露王道
'yi'lu'yu'zhou'dao 一露宇宙道
'yi'qian 一茜
'yi'shi'qi'xu 伊势七绪
'yi'teng 伊藤
'yi'teng'jian'tai'lang 伊藤健太郎
'yi'teng'shu'shu 伊藤叔叔
'yi'xin'da'shu 一心大叔
'yi'zhi 一织
'yi'zhi'lai'zhen'shu 一之濑真树
'yin'cheng'kong'wu 银城空吾
'yin'guo'zhi'suo 因果之锁
'yin'ling'hu'que 银岭弧雀
'yin'lu 银露
'yin'luan 银乱
'yin'meng 音梦
'yin'mi'ji'dong 隐秘机动
'yin'tong 银筒
'yin'yan 银彦
'yin'zi 银子
'ying'chuan'chao'hui 樱川朝惠
'ying'gui 影鬼
'ying'jing'min'zhi 樱井敏治
'ying'jing'xiao'hong 樱井孝宏
'ying'lan'gao'zhong 樱兰高中
'ying'man 萤蔓
'yong'chang 咏唱
'yong'chang'de'hui'qi 咏唱的毁弃
'yong'shan 永山
'yong'yin 勇音
'you'xi 佑希
'you'ze'long'gui 有沢竜贵
'you'ze'long'gui 有沢龙贵
'you'ze'long'gui 有泽龙贵
'you'zhao'tian'bo'xuan 有昭田钵玄
'you'zhao'tian'bo'xuan'gui'dao'zhong'fu'gui'dao'shi 有昭田钵玄鬼道众副鬼道师
'you'zi 游子
'you'zi'mei'mei 游子妹妹
'you'zuo'hao'er 游佐浩二
'yu'duo'ye'she 羽多野涉
'yu'li'se 羽里色
'yu'long 雨龙
'yu'long'zhi'ji 雨龙织姬
'yu'shi 宇柿
'yu'tian'chuan'leng 宇田川棱
'yu'tian'chuan'ling 宇田川稜
'yu'zhi 羽织
'yu'zhi 雨织
'yuan'cheng'si'chen'fang 圆乘寺辰房
'yuan'jin'xiao'yi 远近孝一
'yuan'liu'zhai 元柳斋
'yuan'shi'ri'shi'li 猿柿日世里
'yuan'shi'ri'shi'li'yuan'shi'er'fan'dui'fu'dui'zhang 猿柿日世里原十二番队副队长
'yuan'ye'cui'zi 远野翠子
'yuan'zha'shan 圆闸扇
'yue'bai 月白
'yue'sen'lian 月森莲
'yue'ya'tian'chong 月牙天冲
'yue'zhi'mei'yu 越智美谕
'zai'yan 再炎
'zang'tao'bu'dui 葬讨部队
'zao'shui 早水
'ze'du 沢渡
'zha'ai'er'a'bo'luo 扎艾尔阿波罗
'zhai'teng'hui'ji'lang 斋藤惠吉郎
'zhai'teng'zhi'lang 斋藤志郎
'zhan'gui 崭鬼
'zhan'hun'dao 斩魂刀
'zhan'ji 斩击
'zhan'na 战雫
'zhan'po'dao 斩魄刀
'zhan'shu 斩术
'zhan'yue 斩月
'zhan'yue'da'shu 斩月大叔
'zhan'yue'de'wan'jie 斩月的卍解
'zhe'dao'liu'duan 蛰刀流断
'zhe'hun'mo 遮魂膜
'zhe'li 折笠
'zhe'li'fu'mei'zi 折笠富美子
'zhe'li'jie 折笠姐
'zhe'sheng 这绳
'zhen'dian 震点
'zhen'dian'guang'zhao 真殿光昭
'zhen'hua 真花
'zhen'tian 真田
'zhen'xiao 真咲
'zhen'xiao'a'yi 真咲阿姨
'zhen'xiao'bo'mu 真咲伯母
'zhen'yang'ling'shu'xue'yuan 真央灵术学院
'zhen'yang'ling'shu'yuan 真央灵术院
'zhen'zi'ping'zi 真子平子
'zheng'yin 整音
'zhi'ba 之芭
'zhi'beng 止绷
'zhi'bo 志波
'zhi'bo'dou 志波都
'zhi'bo'hai'yan 志波海燕
'zhi'bo'jia 志波家
'zhi'bo'kong'he 志波空鹤
'zhi'bo'yan'jiu 志波岩鹫
'zhi'bo'yan'jiu 志波燕鹫
'zhi'bo'yi'zu 志波一族
'zhi'ji 织姬
'zhi'lu 织露
'zhi'nian 置鲇
'zhi'nian'long'tai'lang 置鮎龙太郎
'zhi'nian'long'tai'lang 置鲇龙太郎
'zhi'song'chun'yi 植松淳一
'zhi'zhi'zhong'guang'bang 植之冢光邦
'zhong'dao'sha'shu 中岛沙树
'zhong'duo'he'hong 中多和宏
'zhong'jing'bai'di'jian 终景白帝剑
'zhong'jing'jiang'gui 中井将贵
'zhong'qu'wan'jin'tai'feng 终曲卍禁太封
'zhong'tian'he'hong 中田和宏
'zhong'tian'zheng'zhao 冢田正昭
'zhong'wei'long'sheng 中尾隆圣
'zhong'yang'si'shi'liu'shi 中央四十六室
'zhou'yan'seng'ga 呪眼僧伽
'zhou'yan'seng'ga 咒眼僧伽
'zhu'tian'xing'ji'lang 竹添幸吉郎
'zhui'lei'dian 缀雷电
'zhuo'hai'liu 灼海流
'zi'ti'gui'ren 自体归刃
'zong'xian 宗弦
'zong'you'jie 惣右介
'zu'zhou'ren'xing 诅咒人形
'zui'ai'lu'lu 最爱露露
'zui'tu'san'shan 嘴突三闪
'zuo'jiu'jian'hong'mei 佐久间红美
'zuo'ma'li 佐马利
'zuo'ma'li 佐马力
'zuo'ma'li'lu'lu 佐马利路鲁
'zuo'ma'li'lu'lu 佐马力路鲁
'zuo'teng'mei'gui 佐藤美贵
'zuo'teng'zheng'zhi 佐藤正治
'zuo'zhen 左阵
'zuo'zuo'mu'xiu'bing 佐佐木修兵
