'ba'yue'you 八月酉
'san'yue'chen 三月辰
'sang'men 丧门
'sang'men'xing 丧门星
'sang'zhe'mu 桑柘木
'sha'zhong'jin 沙中金
'sha'zhong'tu 沙中土
'shan'di'bo 山地剥
'shan'feng'gu 山风蛊
'shan'huo'ben 山火贲
'shan'lei'yi 山雷颐
'shan'shui'meng 山水蒙
'shan'tian'da'chu 山天大畜
'shan'tou'huo 山头火
'shan'xia'huo 山下火
'shan'yi'ming'xiang'bu 山医命相卜
'shan'ze'sun 山泽损
'shang'xia'he'tong 上下和同
'shen'hou 申猴
'shen'yin'han'di'zao'chai'shi 申寅汉地燥柴湿
'shen'zheng'jie'song 慎争戒讼
'sheng'gua 升卦
'sheng'ji'jiang'shuai 盛极将衰
'sheng'ling'zhe'xiu 生令者休
'shi'er'gong 十二宫
'shi'er'gong'si'hua 十二宫四化
'shi'er'yue'chou 十二月丑
'shi'gua 师卦
'shi'ke'gua 噬嗑卦
'shi'liu'mu 石榴木
'shi'wai'yang'zhi 饰外扬质
'shi'ye'gong 事业宫
'shi'ye'gong'hua'ji 事业宫化忌
'shi'ye'gong'hua'ke 事业宫化科
'shi'ye'gong'hua'lu 事业宫化禄
'shi'ye'gong'hua'quan 事业宫化权
'shi'ye'gong'zi'hua 事业宫自化
'shi'ye'gong'zi'hua'ji 事业宫自化忌
'shi'ye'gong'zi'hua'ke 事业宫自化科
'shi'ye'gong'zi'hua'lu 事业宫自化禄
'shi'ye'gong'zi'hua'quan 事业宫自化权
'shi'ye'wei'jing 事业未竟
'shi'yi'yue'zi 十一月子
'shi'yue'hai 十月亥
'shi'zhong'yin'yu 石中隐玉
'shi'zhong'yin'yu'ge 石中隐玉格
'shou'xing'ru'miao 寿星入庙
'shou'xing'ru'miao'ge 寿星入庙格
'shou'zheng'dai'ji 守正待机
'shu'gou 戍狗
'shuang'jiang 霜降
'shuang'lu'chao'yuan 双禄朝垣
'shuang'lu'chao'yuan'ge 双禄朝垣格
'shuang'lu'jia'ming 双禄夹命
'shuang'lu'jia'ming'ge 双禄夹命格
'shui'di'bi 水地比
'shui'feng'jing 水风井
'shui'huo'ji'ji 水火既济
'shui'ke'huo 水克火
'shui'lei'tun 水雷屯
'shui'shan'jian 水山蹇
'shui'sheng'mu 水生木
'shui'tian'xu 水天需
'shui'ze'jie 水泽节
'shun'shi'er'zhi 顺势而止
'shun'shi'yi'shi 顺时依势
'shun'tian'yi'shi 顺天依时
'shun'tian'ying'ren 顺天应人
'si'hai'xiang'chong 巳亥相冲
'si'hua 四化
'si'hua'xing 四化星
'si'she 巳蛇
'si'xiang'sheng'ba'gua 四象生八卦
'si'yue'si 四月巳
'si'zhu'ba'zi 四柱八字
'song'bai'mu 松柏木
'song'gua 讼卦
'sui'gua 随卦
'sui'jian 岁建
'sui'jian'xing 岁建星
'sui'po 岁破
'sui'po'xing 岁破星
'sui'qian'shi'er'xing 岁前十二星
'sui'ri 岁驲
'sui'ri'xing 岁驲星
'sui'shi'bian'tong 随时变通
'sun'gua 损卦
'sun'shang'yi'xia 损上益下
'sun'yi'zhi'heng 损益制衡
'tai'fu 台辅
'tai'fu'xing 台辅星
'tai'gua 泰卦
'tai'ji'sheng'liang'yi 太极生两仪
'tai'yang 太阳
'tai'yang'xing 太阳星
'tai'yin 太阴
'tai'yin'xing 太阴星
'tan'huo'xiang'feng 贪火相逢
'tan'huo'xiang'feng'ge 贪火相逢格
'tan'lang 贪狼
'tan'lang'xing 贪狼星
'tan'ling'chao'yuan 贪铃朝垣
'tan'ling'chao'yuan'ge 贪铃朝垣格
'tan'ling'xiang'feng 贪铃相逢
'tan'ling'xiang'feng'ge 贪铃相逢格
'tan'wu'tong'hang 贪武同行
'tan'wu'tong'hang'ge 贪武同行格
'tian'cai 天才
'tian'cai'xing 天才星
'tian'chu 天厨
'tian'chu'xing 天厨星
'tian'de 天德
'tian'de'xing 天德星
'tian'di'fou 天地否
'tian'feng'gou 天风姤
'tian'fu 天府
'tian'fu 天福
'tian'fu'chao'yuan 天府朝垣
'tian'fu'chao'yuan'ge 天府朝垣格
'tian'fu'xing 天府星
'tian'fu'xing 天福星
'tian'gan 天干
'tian'gan'di'zhi 天干地支
'tian'gan'si'hua'biao 天干四化表
'tian'gan'xiang'chong 天干相冲
'tian'gan'xiang'he 天干相合
'tian'guan 天官
'tian'guan'xing 天官星
'tian'gui 天贵
'tian'gui'xing 天贵星
'tian'he'shui 天河水
'tian'huo'tong'ren 天火同人
'tian'ji 天机
'tian'ji'xing 天机星
'tian'kong 天空
'tian'kong'xing 天空星
'tian'ku 天哭
'tian'ku'xing 天哭星
'tian'kui 天魁
'tian'kui'xing 天魁星
'tian'lei'wu'wang 天雷无妄
'tian'liang 天梁
'tian'liang'xing 天梁星
'tian'ma 天马
'tian'ma'xing 天马星
'tian'ren'he'yi 天人合一
'tian'sha 天煞
'tian'sha'xing 天煞星
'tian'shan'dun 天山遁
'tian'shang 天伤
'tian'shang'huo 天上火
'tian'shang'xing 天伤星
'tian'shi 天使
'tian'shi'xing 天使星
'tian'shou 天寿
'tian'shou'xing 天寿星
'tian'shui'song 天水讼
'tian'tong 天同
'tian'tong'xing 天同星
'tian'wu 天巫
'tian'wu'xing 天巫星
'tian'xi 天喜
'tian'xi'xing 天喜星
'tian'xia'di'yi'shen'shu 天下第一神数
'tian'xia'you'feng 天下有风
'tian'xiang 天相
'tian'xiang'xing 天相星
'tian'xing 天刑
'tian'xing'xing 天刑星
'tian'xu 天虚
'tian'xu'xing 天虚星
'tian'yao 天姚
'tian'yao'xing 天姚星
'tian'yi'gong'ming 天乙拱命
'tian'yi'gong'ming'ge 天乙拱命格
'tian'yue 天月
'tian'yue 天钺
'tian'yue'xing 天月星
'tian'yue'xing 天钺星
'tian'ze'lv 天泽履
'tian'zhai'gong 田宅宫
'tian'zhai'gong'hua'ji 田宅宫化忌
'tian'zhai'gong'hua'ke 田宅宫化科
'tian'zhai'gong'hua'lu 田宅宫化禄
'tian'zhai'gong'hua'quan 田宅宫化权
'tian'zhai'gong'zi'hua 田宅宫自化
'tian'zhai'gong'zi'hua'ji 田宅宫自化忌
'tian'zhai'gong'zi'hua'ke 田宅宫自化科
'tian'zhai'gong'zi'hua'lu 田宅宫自化禄
'tian'zhai'gong'zi'hua'quan 田宅宫自化权
'tong'ren'gua 同人卦
'tu'ke'shui 土克水
'tu'sheng'jin 土生金
'tun'gua 屯卦
'tuo'luo 陀罗
'tuo'luo'xing 陀罗星
'wan'wu'you'jie 万物有节
'wang'shen 亡神
'wang'shen'xing 亡神星
'wang'xiang'xiu'qiu 旺相休囚
'wei'ji'gua 未济卦
'wei'yang 未羊
'wen'chang 文昌
'wen'chang'xing 文昌星
'wen'gui'wen'hua 文桂文华
'wen'gui'wen'hua'ge 文桂文华格
'wen'liang'zhen'ji 文梁振纪
'wen'liang'zhen'ji'ge 文梁振纪格
'wen'qu 文曲
'wen'qu'xing 文曲星
'wen'zhong'tu'bian 稳重图变
'wu'chen 戊辰
'wu'da'shen'shu 五大神数
'wu'gui'hua'huo 戊癸化火
'wu'ji'sheng'tai'ji 无极生太极
'wu'ma 午马
'wu'nian'sheng'ren 戊年生人
'wu'qu 武曲
'wu'qu'shou'yuan 武曲守垣
'wu'qu'shou'yuan'ge 武曲守垣格
'wu'qu'xing 武曲星
'wu'shang'tu 屋上土
'wu'shen 戊申
'wu'shu 五术
'wu'tan'yin'bi'ji 戊贪阴弼机
'wu'wang'er'de 无妄而得
'wu'wang'gua 无妄卦
'wu'wu 戊午
'wu'xu 戊戌
'wu'yin 戊寅
'wu'yue'wu 五月午
'wu'zi 戊子
'xi'shen 喜神
'xi'shen 息神
'xi'shen'xing 喜神星
'xi'shen'xing 息神星
'xia'ji'huo'dang'ling 夏季火当令
'xia'zhi 夏至
'xian'chi 咸池
'xian'chi'xing 咸池星
'xian'gua 咸卦
'xian'zu'zai'qian 险阻在前
'xiang'hu'gan'ying 相互感应
'xiang'ke 相克
'xiang'sheng 相生
'xiao'chu'gua 小畜卦
'xiao'guo'gua 小过卦
'xiao'han 小寒
'xiao'hao 小耗
'xiao'hao'xing 小耗星
'xiao'man 小满
'xiao'shu 小暑
'xiao'xue 小雪
'xin'chou 辛丑
'xin'hai 辛亥
'xin'ju'yang'qu'chang 辛巨阳曲昌
'xin'mao 辛卯
'xin'nian'sheng'ren 辛年生人
'xin'si 辛巳
'xin'wei 辛未
'xin'you 辛酉
'xing'dong'you'du 行动有度
'xing'xian'er'shun 行险而顺
'xing'xian'yong'xian 行险用险
'xiong'di'gong 兄弟宫
'xiong'di'gong'hua'ji 兄弟宫化忌
'xiong'di'gong'hua'ji'ru'cai'bo'gong 兄弟宫化忌入财帛宫
'xiong'di'gong'hua'ji'ru'fu'de'gong 兄弟宫化忌入福德宫
'xiong'di'gong'hua'ji'ru'fu'mu'gong 兄弟宫化忌入父母宫
'xiong'di'gong'hua'ji'ru'fu'qi'gong 兄弟宫化忌入夫妻宫
'xiong'di'gong'hua'ji'ru'guan'lu'gong 兄弟宫化忌入官禄宫
'xiong'di'gong'hua'ji'ru'ji'e'gong 兄弟宫化忌入疾厄宫
'xiong'di'gong'hua'ji'ru'jiao'you'gong 兄弟宫化忌入交友宫
'xiong'di'gong'hua'ji'ru'ming'gong 兄弟宫化忌入命宫
'xiong'di'gong'hua'ji'ru'nu'pu'gong 兄弟宫化忌入奴仆宫
'xiong'di'gong'hua'ji'ru'qian'yi'gong 兄弟宫化忌入迁移宫
'xiong'di'gong'hua'ji'ru'shi'ye'gong 兄弟宫化忌入事业宫
'xiong'di'gong'hua'ji'ru'tian'zhai'gong 兄弟宫化忌入田宅宫
'xiong'di'gong'hua'ji'ru'zi'nv'gong 兄弟宫化忌入子女宫
'xiong'di'gong'hua'ke 兄弟宫化科
'xiong'di'gong'hua'ke'ru'cai'bo'gong 兄弟宫化科入财帛宫
'xiong'di'gong'hua'ke'ru'fu'de'gong 兄弟宫化科入福德宫
'xiong'di'gong'hua'ke'ru'fu'mu'gong 兄弟宫化科入父母宫
'xiong'di'gong'hua'ke'ru'fu'qi'gong 兄弟宫化科入夫妻宫
'xiong'di'gong'hua'ke'ru'guan'lu'gong 兄弟宫化科入官禄宫
'xiong'di'gong'hua'ke'ru'ji'e'gong 兄弟宫化科入疾厄宫
'xiong'di'gong'hua'ke'ru'jiao'you'gong 兄弟宫化科入交友宫
'xiong'di'gong'hua'ke'ru'ming'gong 兄弟宫化科入命宫
'xiong'di'gong'hua'ke'ru'nu'pu'gong 兄弟宫化科入奴仆宫
'xiong'di'gong'hua'ke'ru'qian'yi'gong 兄弟宫化科入迁移宫
'xiong'di'gong'hua'ke'ru'shi'ye'gong 兄弟宫化科入事业宫
'xiong'di'gong'hua'ke'ru'tian'zhai'gong 兄弟宫化科入田宅宫
'xiong'di'gong'hua'ke'ru'zi'nv'gong 兄弟宫化科入子女宫
'xiong'di'gong'hua'lu 兄弟宫化禄
'xiong'di'gong'hua'lu'ru'cai'bo'gong 兄弟宫化禄入财帛宫
'xiong'di'gong'hua'lu'ru'fu'de'gong 兄弟宫化禄入福德宫
'xiong'di'gong'hua'lu'ru'fu'mu'gong 兄弟宫化禄入父母宫
'xiong'di'gong'hua'lu'ru'fu'qi'gong 兄弟宫化禄入夫妻宫
'xiong'di'gong'hua'lu'ru'guan'lu'gong 兄弟宫化禄入官禄宫
'xiong'di'gong'hua'lu'ru'ji'e'gong 兄弟宫化禄入疾厄宫
'xiong'di'gong'hua'lu'ru'jiao'you'gong 兄弟宫化禄入交友宫
'xiong'di'gong'hua'lu'ru'ming'gong 兄弟宫化禄入命宫
'xiong'di'gong'hua'lu'ru'nu'pu'gong 兄弟宫化禄入奴仆宫
'xiong'di'gong'hua'lu'ru'qian'yi'gong 兄弟宫化禄入迁移宫
'xiong'di'gong'hua'lu'ru'shi'ye'gong 兄弟宫化禄入事业宫
'xiong'di'gong'hua'lu'ru'tian'zhai'gong 兄弟宫化禄入田宅宫
'xiong'di'gong'hua'lu'ru'zi'nv'gong 兄弟宫化禄入子女宫
'xiong'di'gong'hua'quan 兄弟宫化权
'xiong'di'gong'hua'quan'ru'cai'bo'gong 兄弟宫化权入财帛宫
'xiong'di'gong'hua'quan'ru'fu'de'gong 兄弟宫化权入福德宫
'xiong'di'gong'hua'quan'ru'fu'mu'gong 兄弟宫化权入父母宫
'xiong'di'gong'hua'quan'ru'fu'qi'gong 兄弟宫化权入夫妻宫
'xiong'di'gong'hua'quan'ru'guan'lu'gong 兄弟宫化权入官禄宫
'xiong'di'gong'hua'quan'ru'ji'e'gong 兄弟宫化权入疾厄宫
'xiong'di'gong'hua'quan'ru'jiao'you'gong 兄弟宫化权入交友宫
'xiong'di'gong'hua'quan'ru'ming'gong 兄弟宫化权入命宫
'xiong'di'gong'hua'quan'ru'nu'pu'gong 兄弟宫化权入奴仆宫
'xiong'di'gong'hua'quan'ru'qian'yi'gong 兄弟宫化权入迁移宫
'xiong'di'gong'hua'quan'ru'shi'ye'gong 兄弟宫化权入事业宫
'xiong'di'gong'hua'quan'ru'tian'zhai'gong 兄弟宫化权入田宅宫
'xiong'di'gong'hua'quan'ru'zi'nv'gong 兄弟宫化权入子女宫
'xiong'di'gong'zi'hua 兄弟宫自化
'xiong'di'gong'zi'hua'ji 兄弟宫自化忌
'xiong'di'gong'zi'hua'ke 兄弟宫自化科
'xiong'di'gong'zi'hua'lu 兄弟宫自化禄
'xiong'di'gong'zi'hua'quan 兄弟宫自化权
'xiong'su'chao'yuan 雄宿朝垣
'xiong'su'chao'yuan'ge 雄宿朝垣格
'xiong'you'xian 兄友线
'xu'gua 需卦
'xu'yang'dai'jin 蓄养待进
'xun'gua 巽卦
'xun'kong 旬空
'xun'kong'xing 旬空星
'xun'wei'feng 巽为风
'yang'liang'chang'lu 阳梁昌禄
'yang'liang'chang'lu'ge 阳梁昌禄格
'yang'liu'mu 杨柳木
'yao'ci 爻辞
'yi'chou 乙丑
'yi'geng'hua'jin 乙庚化金
'yi'gua 益卦
'yi'gua 颐卦
'yi'hai 乙亥
'yi'ji'liang'zi'yin 乙机梁紫阴
'yi'li 易理
'yi'mao 乙卯
'yi'nian'sheng'ren 乙年生人
'yi'sheng'er 一生二
'yi'si 乙巳
'yi'wei 乙未
'yi'xin'chong 乙辛冲
'yi'xue 易学
'yi'yi'shun'shi 依义顺时
'yi'you 乙酉
'yi'zhong'qiu'tong 异中求同
'yin'hu 寅虎
'yin'sha 阴煞
'yin'sha'xing 阴煞星
'yin'shen'xiang'chong 寅申相冲
'yin'yang'wu'xing 阴阳五行
'ying'shi'er'bian 应时而变
'ying'xing'ru'miao 英星入庙
'ying'xing'ru'miao'ge 英星入庙格
'you'bi 右弼
'you'bi'xing 右弼星
'you'ji 酉鸡
'yu'dong'yu'shun 寓动于顺
'yu'gua 豫卦
'yu'shui 雨水
'yue'lang'tian'men 月朗天门
'yue'lang'tian'men'ge 月朗天门格
'yue'luo'hai'gong 月落亥宫
'yue'luo'hai'gong'ge 月落亥宫格
'yue'sha 月煞
'yue'sha'xing 月煞星
'yue'sheng'cang'hai 月生沧海
'yue'sheng'cang'hai'ge 月生沧海格
'zai'sha 灾煞
'zai'sha'xing 灾煞星
'ze'di'cui 泽地萃
'ze'feng'da'guo 泽风大过
'ze'huo'ge 泽火革
'ze'lei'sui 泽雷随
'ze'shan'xian 泽山咸
'ze'shui'kun 泽水困
'ze'tian'jue 泽天夬
'zhen'gua 震卦
'zhen'pi'qi'shuai 振疲起衰
'zhen'wei'lei 震为雷
'zheng'jiu'huan'san 拯救涣散
'zheng'yue'yin 正月寅
'zhi'bei 指背
'zhi'bei'xing 指背星
'zhi'er'bu'zhi 止而不止
'zhong'fu'gua 中孚卦
'zhuang'wu'wang'dong 壮勿妄动
'zi'fu'chao'yuan 紫府朝垣
'zi'fu'chao'yuan'ge 紫府朝垣格
'zi'fu'tong'gong 紫府同宫
'zi'fu'tong'gong'ge 紫府同宫格
'zi'nv'gong 子女宫
'zi'nv'gong'hua'ji 子女宫化忌
'zi'nv'gong'hua'ke 子女宫化科
'zi'nv'gong'hua'lu 子女宫化禄
'zi'nv'gong'hua'quan 子女宫化权
'zi'nv'gong'zi'hua 子女宫自化
'zi'nv'gong'zi'hua'ji 子女宫自化忌
'zi'nv'gong'zi'hua'ke 子女宫自化科
'zi'nv'gong'zi'hua'lu 子女宫自化禄
'zi'nv'gong'zi'hua'quan 子女宫自化权
'zi'shu 子鼠
'zi'tian'xian 子田线
'zi'wei 紫微
'zi'wei'dou'shu 紫微斗数
'zi'wei'ge'ju 紫薇格局
'zi'wei'xing 紫微星
'zi'wu'xiang'chong 子午相冲
'zi'wu'yin'deng'jia'bi'gou 子午银灯架壁钩
'zou'shu 奏书
'zou'shu'xing 奏书星
'zuo'fu 左辅
'zuo'fu'xing 左辅星
'zuo'gui'xiang'gui 坐贵向贵
'zuo'gui'xiang'gui'ge 坐贵向贵格
'zuo'you'tong'gong 左右同宫
'zuo'you'tong'gong'ge 左右同宫格
