'an'shi 暗示
'te'cheng'fou'ding'pan'duan 特称否定判断
'te'cheng'ken'ding'pan'duan 特称肯定判断
'te'cheng'pan'duan 特称判断
'te'shu'biao'xiang 特殊表象
'te'xu 特叙
'te'you'shu'xing 特有属性
'te'zhi'wen'ju 特指问句
'ti'cai 题材
'ti'cai'duo'yang'hua 题材多样化
'ti'gang'de'bian'xie 提纲的编写
'ti'li 题理
'ti'lian 提炼
'ti'mu 题目
'ti'qiao 题窍
'ti'zhi 题旨
'tiao'jian'fu'ju 条件复句
'tiao'jian'pan'duan 条件判断
'tiao'li 条理
'tiao'tuo'ge 跳脱格
'tiao'xing 调型
'tiao'yue 跳越
'tiao'yue'shi 跳跃式
'ting'bi 停笔
'tong'gan 通感
'tong'gan'ge 通感格
'tong'jiao 统觉
'tong'wei'ci'zu 同位词组
'tong'yi'ci 同义词
'tong'yi'lv 同一律
'tong'yin'ci 同音词
'tong'yu'ge 同语格
'tu'qi 突起
'tui'guang 推广
'tui'li 推理
'tui'lun 推论
'tui'yuan 推原
'tuo'gu 托古
'tuo'hua 脱化
'tuo'shi 托事
'tuo'wu 托物
'wa'dang'wen 瓦当文
'wai'bao 外包
'wai'dong'ci 外动词
'wai'lai'ci 外来词
'wai'yan 外延
'wai'yan'ding'yi 外延定义
'wai'zhou 外籀
'wan'qu'ge 婉曲格
'wan'xu 婉叙
'wan'zhuan'ge 婉转格
'wang'luo'jie'gou 网络结构
'wei'guan'su'cai 微观素材
'wei'guan'xin'xi'su'cai 微观信息素材
'wei'kuo'shi 尾括式
'wei'qing'jie 唯情节
'wei'sheng 尾声
'wei'wan'ge 委婉格
'wei'yu 谓语
'wen'hao 问号
'wen'mai 文脉
'wen'xue'yu'yan 文学语言
'wen'yi 文意
'wen'zi 文字
'wen'zi'yu 文字语
'wu'hui 误会
'wu'xing'yu'you'xing 无形与有形
'wu'yi'shi 无意识
'wu'yi'xiang'xiang 无意想象
'xi'ci'ge 析词格
'xi'jie 细节
'xi'jie'miao'xie 细节描写
'xi'miao 细描
'xi'qu'pan'duan 析取判断
'xi'tong'jie'gou 系统结构
'xi'tong'si'wei'fang'shi 系统思维方式
'xi'xu 细叙
'xi'zi'ge 析字格
'xia'wei'gai'nian 下位概念
'xia'yi'shi 下意识
'xian'bi 闲笔
'xian'hou 先后
'xian'hui 显晦
'xian'jie 衔接
'xian'suo 线索
'xiang'dui'gai'nian 相对概念
'xiang'lue 详略
'xiang'qian'ge 镶嵌格
'xiang'rong'xuan'yan'pan'duan 相容选言判断
'xiang'sheng'ci 象声词
'xiang'sheng'yu 象声语
'xiang'xiang 想象
'xiang'xiang'biao'xiang 想象表象
'xiang'xing'wen'zi 象形文字
'xiang'xu 详叙
'xiang'zheng 象征
'xiang'zheng'de'tong'qing 象征的同情
'xiang'zheng'shi'jie'gou 象征式结构
'xiang'zheng'xing'xi'jie 象征性细节
'xiang'zi'ge 镶字格
'xiao'biao'ti 小标题
'xiao'ji'xiang'xiang 消极想象
'xiao'ji'xiu'ci 消极修辞
'xiao'xiang'miao'xie 肖像描写
'xiao'zhong'jian'da 小中见大
'xiao'zhuan 小篆
'xie'yi 写意
'xie'zi 楔子
'xin'li'biao'xiang 心理表象
'xin'li'miao'xie 心理描写
'xin'li'yi'shi'xian'suo 心理意识线索
'xin'xiang 心象
'xing 兴
'xing'dong'miao'xie 行动描写
'xing'ge'fen'xi'shi'yi'lun 性格分析式议论
'xing'ge'xian'suo 性格线索
'xing'pang 形旁
'xing'qi 兴起
'xing'rong'ci 形容词
'xing'shen 形神
'xing'shi'luo'ji'ji'ben'gui'lv 形式逻辑基本规律
'xing'shu 行书
'xing'si 形似
'xing'xiang'shou'yun 形象受孕
'xing'xiang'si'wei 形象思维
'xing'zhi'ding'yi 性质定义
'xing'zhi'pan'duan 性质判断
'xiu'ci 修辞
'xiu'ci'fang'shi 修辞方式
'xiu'ci'ge 修辞格
'xu'bi 虚笔
'xu'ci 虚词
'xu'fang 蓄放
'xu'gou 虚构
'xu'lun 绪论
'xu'mu 序幕
'xu'shi 蓄势
'xu'shi 虚实
'xu'shi 叙事
'xu'shi'chu'qing 叙事出情
'xu'shu 叙述
'xu'shu'jiao 叙述角
'xu'shu'jiao'du 叙述角度
'xu'shu'ju 叙述句
'xu'shu'ren'cheng 叙述人称
'xu'shu'ren'yu'yan 叙述人语言
'xu'ti 虚题
'xu'zhong'jia'yi 叙中夹议
'xuan'cai 选材
'xuan'cheng 选承
'xuan'jie 选接
'xuan'nian 悬念
'xuan'ran 渲染
'xuan'yan'lun'zheng'fa 选言论证法
'xuan'yan'pan'duan 选言判断
'xuan'yan'tui'li 选言推理
'xuan'ze 选择
'xuan'ze'fu'ju 选择复句
'xuan'ze'jiao'du 选择角度
'xuan'ze'wen'ju 选择问句
'ya'yun 压韵
'ya'yun 押韵
'yan'dang 延宕
'yan'dang'shi 延宕式
'yan'ge 延搁
'yan'mu 眼目
'yan'yi'fa 演绎法
'yan'yi'lun'zheng 演绎论证
'yan'yi'tui'li 演绎推理
'yan'yu 谚语
'yang'ping 阳平
'yao'jie 遥接
'yi 意
'yi'ban'biao'xiang 一般表象
'yi'ban'ci'hui 一般词汇
'yi'dan'shu'niao'fa 一石数鸟法
'yi'fu 意符
'yi'fu'yu'li'de'shu'qing 依附于理的抒情
'yi'ji'liang'ming'fa 一击两鸣法
'yi'jian'shuang'diao'fa 一箭双雕法
'yi'jie 意接
'yi'jiu'ge 移就格
'yi'jue'ge 移觉格
'yi'li 义理
'yi'li'ge 疑离格
'yi'lun 议论
'yi'mai 意脉
'yi'nian'xian'suo 意念线索
'yi'qing 移情
'yi'qing'ge 移情格
'yi'ren'ni'wu 以人拟物
'yi'se'ge 易色格
'yi'shu'bian'zheng'fa 艺术辩证法
'yi'shu'biao'xian'shou'duan 艺术表现手段
'yi'shu'chong'dong 艺术冲动
'yi'shu'ling'gan 艺术灵感
'yi'shu'shi'yi'lun 艺术式议论
'yi'shu'shou'fa 艺术手法
'yi'shu'si'wei 艺术思维
'yi'shu'yu'ti 艺术语体
'yi'shu'yu'yan 艺术语言
'yi'ti'zi 异体字
'yi'wai'bi 意外笔
'yi'wen'ju 疑问句
'yi'wu'ni'ren 以物拟人
'yi'xiang 意象
'yi'xiao'jian'da 以小见大
'yi'yang 抑扬
'yi'yi'duan 意义段
'yin'chang 音长
'yin'gao 音高
'yin'guo'fu'ju 因果复句
'yin'guo'shi 因果式
'yin'hao 引号
'yin'jie 音节
'yin'lun 引论
'yin'ping 阴平
'yin'qiang 音强
'yin'se 音色
'yin'shen'yi 引申义
'yin'xian 隐显
'yin'xu'wen'zi 殷墟文字
'yin'yan 引言
'yin'yong'ge 引用格
'yin'yu 隐语
'yin'yu 隐喻
'yin'yu 引喻
'yin'yu'xiu 隐与秀
'yin'zheng'fa 引证法
'ying'chen 映衬
'ying'chen'ge 映衬格
'ying'she 影射
'ying'xiong'ren'wu 英雄人物
'yong'heng'zhu'ti 永恒主题
'yong'shi 用事
'yong'tan 咏叹
'yong'wu'shu'qing 咏物抒情
'you'xian'yu'wu'xian 有限与无限
'you'yi'xiang'xiang 有意想象
'you'yu'wu 有与无
'yu'ci'ding'yi 语词定义
'yu'ci'ge 纡辞格
'yu'duan 语段
'yu'fa 语法
'yu'fa'dan'wei 语法单位
'yu'fa'gong'neng 语法功能
'yu'fa'guan'xi 语法关系
'yu'fa'jie'gou 语法结构
'yu'fa'te'dian 语法特点
'yu'fa'xing'shi 语法形式
'yu'fa'xue 语法学
'yu'fa'yi'yi 语法意义
'yu'fu 预伏
'yu'jing 语境
'yu'li 寓理
'yu'qi 喻起
'yu'qi'ci 语气词
'yu'shi 预示
'yu'su 语素
'yu'ti 语体
'yu'xu'bian'hua 语序变化
'yu'yan 语言
'yu'yan'de'cen'ci'mei 语言的参差美
'yu'yan'de'da'zhong'hua 语言的大众化
'yu'yan'de'ge'xing'hua 语言的个性化
'yu'yan'de'hui'huan'mei 语言的回环美
'yu'yan'de'jie'zou 语言的节奏
'yu'yan'de'sheng'dong'xing 语言的生动性
'yu'yan'de'xian'ming'xing 语言的鲜明性
'yu'yan'de'xing'xiang'hua 语言的形象化
'yu'yan'de'yi'yang'mei 语言的抑扬美
'yu'yan'de'yin'yue'mei 语言的音乐美
'yu'yan'de'zheng'qi'mei 语言的整齐美
'yu'yan'de'zhun'que'xing 语言的准确性
'yu'yan'miao'xie 语言描写
'yu'yi'xian'yang'fa 欲抑先扬法
'yu'yin 语音
'yu'yu 迂喻
'yu'zheng'fa 喻证法
'yu'zhou'de'ren'qing'hua 宇宙的人情化
'yuan'cheng 远承
'yuan'jie 远接
'yuan'qi 原起
'yuan'shi'cai'liao 原始材料
'yuan'xing 原型
'yuan'xing'ren'wu 圆形人物
'yuan'yin'yu'jie'guo 原因与结果
'yuan'zheng'ren'wu 圆整人物
'yue'xu 约叙
'yue'yin 乐音
'yun'fu 韵腹
'yun'mu 韵母
'yun'niang 酝酿
'yun'tou 韵头
'yun'wei 韵尾
'zai'zao'xiang'xiang 再造想象
'zao'ju'fa 造句法
'zao'yin 噪音
'zeng'zi'ge 增字格
'zhang 章
'zhang'chi 张弛
'zhao'ying 照应
'zhao'ying 照映
'zhe'li'xing'yi'lun 哲理型议论
'zhe'rao'ge 折绕格
'zhen'shi'ding'yi 真实定义
'zheng'biao'ti 正标题
'zheng'chang'yu'fan'chang 正常与反常
'zheng'chen 正衬
'zheng'cheng 正承
'zheng'fan'wen'ju 正反问句
'zheng'gai'nian 正概念
'zheng'hua'fan'shuo 正话反说
'zheng'jie 正接
'zheng'lun 正论
'zheng'lun'yu'ti 政论语体
'zheng'mian'miao'xie 正面描写
'zheng'mian'pu'dian 正面铺垫
'zheng'mian'ren'wu 正面人物
'zheng'ming 证明
'zheng'shi 征实
'zheng'ti 正题
'zheng'xu 正叙
'zheng'yin 正引
'zheng'zhu'ti 正主题
'zhi 旨
'zhi'biao'shuo'ming 制表说明
'zhi'jie'kua'zhang 直接夸张
'zhi'jie'lun'zheng 直接论证
'zhi'jie'miao'xie 直接描写
'zhi'jie'shu'qing 直接抒情
'zhi'jie'tui'li 直接推理
'zhi'liang'ci'zu 指量词组
'zhi'qi 直起
'zhi'shu'xiong'yi 直抒胸臆
'zhi'xu 直叙
'zhi'yan'pan'duan 直言判断
'zhi'yi 旨意
'zhi'yu 直喻
'zhi'zhi'si'di'er'hou'sheng 置之死地而后生
'zhong'cha 种差
'zhong'ding'wen 钟鼎文
'zhong'gai'nian 种概念
'zhong'jian'ren'wu 中间人物
'zhong'jie 终结
'zhong'pian 终篇
'zhong'xin'lun'dian 中心论点
'zhong'xin'si'xiang 中心思想
'zhong'xin'yu 中心语
'zhong'xing'ci 中性词
'zhou'wen 籀文
'zhou'zhe'ge 周折格
'zhu'ci 助词
'zhu'cong 主从
'zhu'dong'ju 主动句
'zhu'ke 主客
'zhu'nao 主脑
'zhu'ren'gong 主人公
'zhu'ti 主题
'zhu'ti'biao'xian'shi'yi'lun 主题表现式议论
'zhu'ti'de'biao'xian 主题的表现
'zhu'ti'de'duo'yi'xing 主题的多义性
'zhu'ti'de'jie'shi 主题的揭示
'zhu'ti'de'kai'tuo 主题的开拓
'zhu'ti'de'shen'hua 主题的深化
'zhu'ti'de'ti'lian 主题的提炼
'zhu'ti'si'xiang 主题思想
'zhu'ti'xing'ren'wu 主题性人物
'zhu'ti'yi'jie 主题义界
'zhu'wei'ci'zu 主谓词组
'zhu'wei'dao'zhuang'ju 主谓倒装句
'zhu'wei'ju 主谓句
'zhu'wei'wei'yu'ju 主谓谓语句
'zhu'xian 主线
'zhu'xiang'xin'xi'su'cai 主向信息素材
'zhu'yao'ren'wu 主要人物
'zhu'yu 主语
'zhu'zhi 主旨
'zhuan'bian'ren'wu 转变人物
'zhuan'huan'sheng'cheng'yu'fa 转换生成语法
'zhuan'lei'ge 转类格
'zhuan'pin'ge 转品格
'zhuan'shu 篆书
'zhuan'yi 转义
'zhuan'zhe'fu'ju 转折复句
'zhuang'wu 状物
'zhuang'yu 状语
'zhuang'yu'hou'zhi'ju 状语后置句
'zhuang'yu'xie 庄与谐
'zhui'xu 追叙
'zhuo'yu'qiao 拙与巧
'zhuo'zhong'hao 着重号
'zi'dong'ci 自动词
'zi'fa'de'biao'xiang'huo'dong 自发的表象活动
'zi'jue'de'biao'xiang'bian'yi 自觉的表象变异
'zi'jue'de'biao'xiang'fen'hua 自觉的表象分化
'zi'jue'de'biao'xiang'lian'xiang 自觉的表象联想
'zi'jue'de'biao'xiang'shen'hua 自觉的表象深化
'zi'jue'de'biao'xiang'yun'dong 自觉的表象运动
'zi'ran'duan 自然段
'zi'ran'feng'jing'miao'xie 自然风景描写
'zi'ran'huan'jing 自然环境
'zi'ran'huan'jing'miao'xie 自然环境描写
'zi'ran'jing'wu'miao'xie 自然景物描写
'zi'you'ci'zu 自由词组
'zong'fen'shi 总分式
'zong'he 综合
'zong'he'fa 综合法
'zong'heng'jiao'cuo'shi'jie'gou 纵横交错式结构
'zong'jie'fu'ju 总解复句
'zong'kuo'shi'jie'gou 综括式结构
'zong'lun'dian 总论点
'zong'shi'jie'gou 纵式结构
'zong'ti'fen'shu'shi 总提分述式
'zuo'pin'de'nei'bu'xing'shi 作品的内部形式
