'ai'hao 爱好
'gui'ge'dan'wei 规格单位
'gui'ge'ming'cheng 规格名称
'gui'ge'shang'pin'shi'tu 规格商品视图
'gui'ge'shang'pin'shi'tu'xian'zhi'yuan'gong'cang'wei 规格商品视图限制员工仓位
'gui'ge'shang'pin'zong'biao'shi'tu 规格商品总表视图
'gui'ge'shang'pin'zong'biao'shi'tu'xian'zhi'yuan'gong'cang'wei 规格商品总表视图限制员工仓位
'gui'ge'shuo'ming 规格说明
'gui'ge'xin'xi 规格信息
'gui'ge'zhong'liang 规格重量
'gui'ze 规则
'gui'ze'hao 规则号
'gui'ze'hui'shou'bei'shu 规则回收倍数
'gui'zhong'qu'pin'ci 贵重区频次
'gui'zu 柜组
'guo'cheng'ming 过程名
'guo'shi 过时
'guo'shui'deng'ji'zheng 国税登记证
'guo'shui'shui'e 国税税额
'han'liang 含量
'han'shui'dan'jia 含税单价
'han'shui'jia'ge 含税价格
'han'shui'jin'e 含税金额
'hang'hao 行号
'hang'ye 行业
'hao'ma 号码
'he'dan'lei'xing 合单类型
'he'dui'biao'zhi 核对标志
'he'shou'tiao'jia'e 核售调价额
'he'suan'fang'shi 核算方式
'he'suan'jia 核算价
'he'suan'jin'jia 核算进价
'he'suan'jin'jia'e 核算进价额
'he'suan'jin'jia'kuai'zhao 核算进价快照
'he'suan'jin'jia'pan'ru 核算进价盘入
'he'suan'shou'jia 核算售价
'he'suan'shou'jia'jin'e 核算售价金额
'he'suan'shou'jia'kuai'zhao 核算售价快照
'he'suan'shou'jia'pan'ru 核算售价盘入
'he'suan'tiao'jia'e 核算调价额
'he'tong'bian'hao 合同编号
'he'tong'dui'fang'dang'shi'ren'xing'ming 合同对方当事人姓名
'he'tong'fu'jian'ming'cheng 合同附件名称
'he'tong'jia'cha'e 合同价差额
'he'tong'jin'jia 合同进价
'he'tong'qian'shu'ri'qi 合同签署日期
'he'tong'xie'yi'hao 合同协议号
'he'tong'xing'zhi 合同性质
'he'tong'xiu'gai'ji'lu 合同修改记录
'he'tong'zhuang'tai 合同状态
'he'yue'ban'ben'hao 合约版本号
'he'yue'bian'hao 合约编号
'he'yue'biao 合约表
'he'yue'hao 合约号
'he'yue'jie'zhi'ri 合约截止日
'he'yue'qi'shi'ri 合约起始日
'he'yue'ri'zhi 合约日志
'he'yue'shi'tu 合约视图
'he'yue'wen'ben 合约文本
'he'yue'xiang'mu'biao 合约项目表
'he'yue'xiang'mu'dian'biao 合约项目店表
'he'yue'xiang'mu'ri'qi'kou'kuan'biao 合约项目日期扣款表
'he'yue'xiang'mu'shang'pin'biao 合约项目商品表
'he'yue'xiang'mu'ti'cheng'biao 合约项目提成表
'he'yue'yu'ding'shang'pin'tiao'jian 合约预定商品条件
'he'yue'zhuang'tai 合约状态
'he'yue'zu 合约组
'he'yue'zu'ban'ben 合约组版本
'he'yue'zu'bian'hao 合约组编号
'he'yue'zu'zi'he'yue'dui'zhao'guan'xi 合约组子合约对照关系
'he'zuo'jie'shu'ri'qi 合作结束日期
'he'zuo'kai'shi'ri'qi 合作开始日期
'he'zuo'shang 合作商
'he'zuo'shang'dai'ma 合作商代码
'he'zuo'shang'ming'cheng 合作商名称
'hei'ming'dan 黑名单
'hong'ka'xian'zhi'bai'fen'bi 红卡限制百分比
'hong'lan'ka'xian'zhi'dan 红蓝卡限制单
'hong'lan'ka'xian'zhi'dan'ming'xi 红蓝卡限制单明细
'hong'lan'ka'xian'zhi'dan'ri'zhi 红蓝卡限制单日志
'hong'lan'ka'xian'zhi'dang'qian'zhi 红蓝卡限制当前值
'hong'lan'ka'xian'zhi'sheng'xiao'men'dian'ming'xi 红蓝卡限制生效门店明细
'hou'tai'you'hui'e 后台优惠额
'hu'chi'gui'ze 互斥规则
'hua'xue'pei'huo'xian'lu 华雪配货线路
'hua'xue'pei'huo'zhou'qi 华雪配货周期
'huai'huo'zhe'kou 坏货折扣
'huan'chu'cang'wei 换出仓位
'huan'gou'jia 换购价
'huan'kuan'jin'e 还款金额
'huan'kuan'shi'jian 还款时间
'huan'ru'cang'wei 换入仓位
'huan'ru'huan'chu'biao'ji 换入换出标记
'hui'lv 汇率
'hui'lv'dui'huan'biao 汇率兑换表
'hui'shou'cang'wei 回收仓位
'hui'shou'dan'wei 回收单位
'hui'shou'duan'xin'xiao'fei'shu'ju'ri'zhi 回收短信消费数据日志
'hui'shou'men'dian 回收门店
'hui'shou'ren 回收人
'hui'shou'shi'jian 回收时间
'hui'yuan 会员
'hui'yuan'cu'xiao'jia 会员促销价
'hui'yuan'dan'hao 会员单号
'hui'yuan'ji'fen'ri'bao'biao 会员积分日报表
'hui'yuan'jia 会员价
'hui'yuan'ka 会员卡
'hui'yuan'ka'hao 会员卡号
'hui'yuan'ka'ji'ben'ji'fen'gui'ze 会员卡基本积分规则
'hui'yuan'ka'ji'fen'gui'ze'dan 会员卡积分规则单
'hui'yuan'ka'ji'fen'gui'ze'dan'ri'zhi 会员卡积分规则单日志
'hui'yuan'ka'ji'fen'gui'ze'dan'she'zhi'sheng'xiao'dan'wei 会员卡积分规则单设置生效单位
'hui'yuan'ming'cheng 会员名称
'hui'yuan'qu'huo'shi'jian 会员取货时间
'hui'yuan'shang'pin'ji'fen 会员商品积分
'hui'yuan'shou'ji'hao 会员手机号
'hui'yuan'xian'liang'cu'xiao'zhuang'tai'biao 会员限量促销状态表
'hui'yuan'xiao'shou'dan 会员销售单
'hui'yuan'xiao'shou'dan'fu'kuan'xin'xi 会员销售单付款信息
'hui'yuan'xiao'shou'dan'he'chu'huo'dan'guan'xi 会员销售单和出货单关系
'hui'yuan'xiao'shou'dan'ming'xi 会员销售单明细
'hui'yuan'xiao'shou'dan'ri'zhi 会员销售单日志
'hui'yuan'xiao'shou'tui'huo'dan 会员销售退货单
'hui'yuan'xiao'shou'tui'huo'dan'ming'xi 会员销售退货单明细
'hui'yuan'xiao'shou'tui'huo'dan'ri'zhi 会员销售退货单日志
'hui'yuan'xiao'shou'tui'huo'dan'tui'huo'yuan'yin 会员销售退货单退货原因
'hui'yuan'xin'xi 会员信息
'hui'yuan'xing'ming 会员姓名
'huo'dao 货道
'huo'dong'dai'ma 活动代码
'huo'dong'hao 活动号
'huo'dong'lei'xing 活动类型
'huo'dong'ma 活动码
'huo'dong'ma'lei'xing 活动码类型
'huo'dong'ma'you'xiao'qi'tian'shu 活动码有效期天数
'huo'dong'miao'shu 活动描述
'huo'dong'ming'cheng 活动名称
'huo'dong'mu'ban 活动模板
'huo'dong'shuo'ming 活动说明
'huo'dong'wei'yi'biao'zhi 活动唯一标识
'huo'dong'xi'shu 活动系数
'huo'dong'xi'ze 活动细则
'huo'dong'xi'ze'miao'shu 活动细则描述
'huo'dong'xi'ze'ming'xi 活动细则明细
'huo'dong'xi'ze'ming'xi'zuo'biao 活动细则明细坐标
'huo'dong'xiao'fei'you'hui'quan 活动消费优惠券
'huo'jia 货架
'huo'jia'qi'shi'dai'ma 货架起始代码
'huo'jia'zhong'zhi'dai'ma 货架终止代码
'huo'kuan'kou'kuan'yin'hang 货款扣款银行
'huo'kuan'shi'shi'hua'kou 货款实时划扣
'huo'kuan'zong'e 货款总额
'huo'pin 货品
'huo'pin'dai'ma 货品代码
'huo'qu'dai'ma 货区代码
'huo'wei 货位
'huo'wei'dai'ma 货位代码
'huo'wei'huo'dao'dui'zhao'biao 货位货道对照表
'huo'wei'ku'cun 货位库存
'huo'wei'ku'cun'biao'zhi 货位库存标志
'huo'wei'ku'cun'kuai'zhao 货位库存快照
'huo'wei'ku'cun'yue'bao'biao 货位库存月报表
'ji'ben'shang'pin 基本商品
'ji'ben'shang'pin'gui'ge'shuo'ming 基本商品规格说明
'ji'ben'zi'liao 基本资料
'ji'ben'zi'liao'fa'song'biao'zhi 基本资料发送标志
'ji'bie 级别
'ji'cun'dan'hui'zong 寄存单汇总
'ji'cun'dan'ming'xi 寄存单明细
'ji'cun'fei 寄存费
'ji'dang'qian'ke'yong'ban'ben 机当前可用版本
'ji'fen 积分
'ji'fen'bei'shu 积分倍数
'ji'fen'bi'lv 积分比率
'ji'fen'fang'an 积分方案
'ji'fen'fang'xiang 积分方向
'ji'fen'gui'ze 积分规则
'ji'fen'ke'mu 积分科目
'ji'fen'lei'bie 积分类别
'ji'fen'zhuan'chu'zhi'guan'xi 积分转储值关系
'ji'fen'zhuan'chu'zhi'guan'xi'cao'zuo'ri'zhi 积分转储值关系操作日志
'ji'gou'fen'zhi'dai'ma 机构分支代码
'ji'hao 机号
'ji'he'hao 集合号
'ji'hua'li'run'lv 计划利润率
'ji'hua'mao'li'e 计划毛利额
'ji'hua'mao'li'lv 计划毛利率
'ji'hua'pei'huo'shu 计划配货数
'ji'hua'pei'huo'shu'liang 计划配货数量
'ji'hua'pei'huo'xiang'shu 计划配货箱数
'ji'hua'pi'fa'shu 计划批发数
'ji'hua'shu'liang 计划数量
'ji'hua'xiao'shou'e 计划销售额
'ji'hua'xiao'shou'li'run 计划销售利润
'ji'jie'xiao'shou'jie'shu'ri'qi 季节销售结束日期
'ji'jie'xiao'shou'kai'shi'ri'qi 季节销售开始日期
'ji'liang'dan'wei 计量单位
'ji'lu'hao 记录号
'ji'lu'lei'xing 记录类型
'ji'lu'shi'jian 记录时间
'ji'lu'shu 记录数
'ji'lu'zhang'kuan'biao'zhi 记录帐款标志
'ji'mi'dui'huan'guan'xi 吉米兑换关系
'ji'mi'dui'ren'min'bi'bi'li 吉米兑人民币比例
'ji'suan'bi'lv 计算比率
'ji'suan'fang'fa 计算方法
'ji'suan'fang'shi 计算方式
'ji'suan'ji'ming'cheng 计算机名称
'ji'suan'ji'shu 计算基数
'ji'suan'shi'jian'jian'ge 计算时间间隔
'ji'zhang'dan'wei 记账单位
'ji'zhang'ji'bie 记帐级别
'ji'zhang'ri'qi 记帐日期
'ji'zhang'ri'qi 记账日期
'jia'ge 价格
'jia'ge'lei'xing 价格类型
'jia'ge'ming'cheng 价格名称
'jia'ge'shang'xian 价格上限
'jia'ge'xia'xian 价格下限
'jia'ge'zu 价格组
'jia'ge'zu'dai'ma 价格组代码
'jia'ge'zu'men'dian 价格组门店
'jia'gong'dan 加工单
'jia'gong'dan'ming'xi 加工单明细
'jia'gong'he'shou'e 加工核售额
'jia'gong'he'suan'e 加工核算额
'jia'gong'jie'guo 加工结果
'jia'gong'jin'e 加工金额
'jia'gong'ku'cun'dan'ju'biao 加工库存单据表
'jia'gong'lei'xing 加工类型
'jia'gong'ling'liao'dan 加工领料单
'jia'gong'ling'liao'dan'ming'xi 加工领料单明细
'jia'gong'ling'liao'dan'ri'zhi 加工领料单日志
'jia'gong'nian'bao'biao 加工年报表
'jia'gong'ren'wu'chan'pin'ming'xi 加工任务产品明细
'jia'gong'ren'wu'dan 加工任务单
'jia'gong'ren'wu'dan'hao 加工任务单号
'jia'gong'ren'wu'pei'fang'xin'xi 加工任务配方信息
'jia'gong'ren'wu'ri'zhi 加工任务日志
'jia'gong'ren'wu'yuan'liao'ming'xi 加工任务原料明细
'jia'gong'ri'bao'biao 加工日报表
'jia'gong'ru'ku'chan'pin'ming'xi 加工入库产品明细
'jia'gong'ru'ku'dan 加工入库单
'jia'gong'ru'ku'dan'hao 加工入库单号
'jia'gong'ru'ku'pei'fang'xin'xi 加工入库配方信息
'jia'gong'ru'ku'ri'zhi 加工入库日志
'jia'gong'ru'ku'yuan'liao'ming'xi 加工入库原料明细
'jia'gong'shang'pin'qing'dan 加工商品清单
'jia'gong'shang'pin'zuo'ye 加工商品作业
'jia'gong'shang'pin'zuo'ye'sheng'xiao'men'dian 加工商品作业生效门店
'jia'gong'shi'jian 加工时间
'jia'gong'shu'liang 加工数量
'jia'gong'tu'pian 加工图片
'jia'gong'yao'qiu 加工要求
'jia'gong'yue'bao'biao 加工月报表
'jia'gong'zhou'qi 加工周期
'jia'gong'zhu'ti 加工主题
'jia'meng'dian'dai'kuan'li'lv 加盟店贷款利率
'jia'meng'dian'jiao'kuan 加盟店交款
'jia'meng'dian'jie'suan'biao 加盟店结算表
'jia'meng'dian'pei'huo'xin'yong'e'du 加盟店配货信用额度
'jia'meng'dian'she'bei'guan'li 加盟店设备管理
'jia'meng'dian'xin'yong'e'du'kou'kuan'ri'zhi 加盟店信用额度扣款日志
'jia'meng'dian'zheng'jian'zi'liao 加盟店证件资料
'jia'meng'dian'zhi'chu'fei'yong 加盟店支出费用
'jia'meng'fei 加盟费
'jia'meng'he'tong 加盟合同
'jia'mi'ma 加密码
'jia'shui'he'ji 价税合计
'jia'song'jin'e 加送金额
'jia'song'shu'liang 加送数量
'jia'su'xi'shu 加速系数
'jia'ting'ren'kou 家庭人口
'jia'ting'shou'ru 家庭收入
'jian'cheng 简称
'jian'de'gong'neng 键的功能
'jian'gao'du 键高度
'jian'huo'biao'qian'da'yin'li'shi'biao 拣货标签打印历史表
'jian'huo'dan'wei 拣货单位
'jian'huo'fang'an'dai'ma 拣货方案代码
'jian'huo'fen'qu 拣货分区
'jian'huo'gui'ge 拣货规格
'jian'huo'huo'dao'gong'zuo'biao 拣货货道工作表
'jian'huo'huo'dao'gong'zuo'biao'ming'xi 拣货货道工作表明细
'jian'huo'jian'shu 拣货件数
'jian'huo'lei'xing 拣货类型
'jian'huo'men'dian 拣货门店
'jian'huo'ri'qi 拣货日期
'jian'huo'wei 拣货位
'jian'kuan'du 键宽度
'jian'ming 键名
'jian'pan'fang'an 键盘方案
'jian'pan'fang'an'hao 键盘方案号
'jian'pan'fang'an'ming'cheng 键盘方案名称
'jian'pan'fang'an'zhu'ce'biao 键盘方案注册表
'jian'pan'sao'miao'ma 键盘扫描码
'jian'sao'miao'ma 键扫描码
'jian'shang'jie 键上界
'jian'shu 件数
'jian'yi'bu'cha'jin'e 建议补差金额
'jian'yi'pei'huo'shu 建议配货数
'jian'yi'pei'huo'shu'shang'xian 建议配货数上限
'jian'yi'pei'huo'shu'xia'xian 建议配货数下限
'jian'yi'shang'pin'shang'xia'xian'zhi'ling'shang'pin'lei'bie 建议商品上下限指令商品类别
'jian'yi'shou'jia 建议售价
'jian'yi'tui'huo 建议退货
'jian'zuo'jie 键左界
'jiang'li'ji'fen 奖励积分
'jiang'li'nei'rong 奖励内容
'jiao'fu'kuan'dan'hao 交付款单号
'jiao'huan'bu'zhou 交换步骤
'jiao'huan'ci'xu 交换次序
'jiao'huan'dan'wei 交换单位
'jiao'huan'fu'wu'qi 交换服务器
'jiao'huan'fu'wu'qi'ming'cheng 交换服务器名称
'jiao'huan'fu'wu'qi'yun'xu'chu'li'shu 交换服务器允许处理数
'jiao'huan'lei'xing 交换类型
'jiao'huan'men'dian'dai'ma 交换门店代码
'jiao'huan'men'dian'you'xian'ji 交换门店优先级
'jiao'huan'ren'wu 交换任务
'jiao'huan'ren'wu'dang'qian'zhuang'tai 交换任务当前状态
'jiao'huan'ren'wu'jie'shu'shi'jian 交换任务结束时间
'jiao'huan'ren'wu'jie'shu'zhuang'tai 交换任务结束状态
'jiao'huan'ren'wu'kai'shi'shi'jian 交换任务开始时间
'jiao'huan'ri'zhi 交换日志
'jiao'huan'shi'jian 交换时间
'jiao'huan'shi'ti 交换实体
'jiao'huan'zhu'ce'biao 交换注册表
'jiao'huo'biao'zhi 叫货标志
'jiao'huo'fang'shi 交货方式
'jiao'huo'ri'qi 交货日期
'jiao'huo'shi'jian 叫货时间
'jiao'huo'shu'liang 叫货数量
'jiao'kuan'ci'shu 缴款次数
'jiao'kuan'dan 交款单
'jiao'kuan'dan'ming'xi 交款单明细
'jiao'kuan'dan'ri'zhi 交款单日志
'jiao'kuan'ji'lu'ren 缴款记录人
'jiao'kuan'jie'zhi'shi'jian 缴款截止时间
'jiao'kuan'jin'e 缴款金额
'jiao'kuan'kai'shi'shi'jian 缴款开始时间
'jiao'kuan'qi'xian 交款期限
'jiao'kuan'ren 缴款人
'jiao'kuan'ri'qi 缴款日期
'jiao'kuan'shi'jian 缴款时间
'jiao'kuan'zong'e 交款总额
'jiao'kuan'zong'e 缴款总额
'jiao'tong'fang'shi 交通方式
'jiao'yan'biao'zhi 校验标志
'jiao'yan'ma 校验码
'jiao'yan'ma'chang'du 校验码长度
'jiao'yan'zhi 校验值
'jiao'yi'bang'ding'tiao'ma'ka'hao 交易绑定条码卡号
'jiao'yi'bi'shu 交易笔数
'jiao'yi'bian'hao 交易编号
'jiao'yi'bian'hao'shen'qing'biao 交易编号申请表
'jiao'yi'cao'zuo'biao 交易操作表
'jiao'yi'hui'yuan'jin'e'he'ji 交易会员金额合计
'jiao'yi'hui'zong'biao 交易汇总表
'jiao'yi'huo'bi'dai'ma 交易货币代码
'jiao'yi'jie'guo 交易结果
'jiao'yi'jin'e 交易金额
'jiao'yi'jin'e'he'ji 交易金额合计
'jiao'yi'kai'shi'shi'jian 交易开始时间
'jiao'yi'lei'xing 交易类型
'jiao'yi'liu'shui'hao 交易流水号
'jiao'yi'ming'xi'biao 交易明细表
'jiao'yi'ming'xi'shu 交易明细数
'jiao'yi'nei'rong 交易内容
'jiao'yi'shi'jian 交易时间
'jiao'yi'shou'yin'ji'hao 交易收银机号
'jiao'yi'xu'hao 交易序号
'jiao'yi'zan'cun'hui'zong'biao 交易暂存汇总表
'jiao'yi'zan'cun'ming'xi'biao 交易暂存明细表
'jiao'yi'zhong'lei 交易种类
'jiao'yi'zhuang'tai 交易状态
'jie'dian'bian'hao 节点编号
'jie'dian'lei'xing 节点类型
'jie'dian'ming'cheng 节点名称
'jie'guo'bao'cun'mu'lu 结果保存目录
'jie'hun'ji'nian'ri 结婚纪念日
'jie'kou'bao'sun'dan 接口报损单
'jie'kou'bao'sun'dan'ming'xi 接口报损单明细
'jie'kou'bao'yi'dan 接口报溢单
'jie'kou'bao'yi'dan'ming'xi 接口报溢单明细
'jie'kou'cang'wei'huo'qu'zhuan'huan'biao 接口仓位货区转换表
'jie'kou'dan'ju'huo'qu'xin'xi'biao 接口单据货区信息表
'jie'kou'di'kou'dan 接口抵扣单
'jie'kou'di'kou'dan'ming'xi 接口抵扣单明细
'jie'kou'di'kou'ding'dan 接口抵扣定单
'jie'kou'di'kou'ding'dan'ming'xi 接口抵扣定单明细
'jie'kou'gong'ying'shang 接口供应商
'jie'kou'gong'ying'shang'tui'huo'dan 接口供应商退货单
'jie'kou'gong'ying'shang'tui'huo'dan'ming'xi 接口供应商退货单明细
'jie'kou'gong'ying'shang'tui'huo'tong'zhi'dan 接口供应商退货通知单
'jie'kou'gong'ying'shang'tui'huo'tong'zhi'dan'ming'xi 接口供应商退货通知单明细
'jie'kou'huan'huo'dan 接口换货单
'jie'kou'huan'huo'dan'ming'xi 接口换货单明细
'jie'kou'huan'huo'ding'dan 接口换货定单
'jie'kou'huan'huo'ding'dan'ming'xi 接口换货定单明细
'jie'kou'huo'pin 接口货品
'jie'kou'huo'pin'bao'zhuang'gui'ge 接口货品包装规格
'jie'kou'huo'pin'gong'ying'shang'xin'xi 接口货品供应商信息
'jie'kou'huo'pin'gui'ge 接口货品规格
'jie'kou'huo'pin'lei'xing 接口货品类型
'jie'kou'huo'pin'tiao'ma 接口货品条码
'jie'kou'ke'hu'zi'liao 接口客户资料
'jie'kou'ku'cun'bao'biao 接口库存报表
'jie'kou'liu'shui'ri'bao'biao 接口流水日报表
'jie'kou'men'dian 接口门店
'jie'kou'men'dian'tui'huo'dan 接口门店退货单
'jie'kou'men'dian'tui'huo'dan'ju'tui'ming'xi 接口门店退货单拒退明细
'jie'kou'men'dian'tui'huo'dan'ming'xi 接口门店退货单明细
'jie'kou'men'dian'tui'huo'men'dian 接口门店退货门店
'jie'kou'men'dian'tui'huo'shang'pin 接口门店退货商品
'jie'kou'men'dian'tui'huo'tong'zhi'dan 接口门店退货通知单
'jie'kou'men'dian'tui'huo'tong'zhi'dan'ming'xi 接口门店退货通知单明细
'jie'kou'nei'bu'tiao'ba'dan 接口内部调拔单
'jie'kou'nei'bu'tiao'ba'dan'ming'xi 接口内部调拔单明细
'jie'kou'pan'dian'ji'lu 接口盘点记录
'jie'kou'pan'dian'ji'lu'ming'xi 接口盘点记录明细
'jie'kou'pei'huo'chu'huo'dan 接口配货出货单
'jie'kou'pei'huo'chu'huo'dan'ming'xi 接口配货出货单明细
'jie'kou'pei'huo'tong'zhi'dan 接口配货通知单
'jie'kou'pei'huo'tong'zhi'dan'ming'xi 接口配货通知单明细
'jie'kou'pei'huo'tong'zhi'dan'ming'xi'ming'xi 接口配货通知单明细明细
'jie'kou'pi'fa'chu'huo'dan 接口批发出货单
'jie'kou'pi'fa'chu'huo'dan'ming'xi 接口批发出货单明细
'jie'kou'pi'fa'tong'zhi'dan 接口批发通知单
'jie'kou'pi'fa'tong'zhi'dan'ming'xi 接口批发通知单明细
'jie'kou'pi'fa'tui'huo'dan 接口批发退货单
'jie'kou'pi'fa'tui'huo'dan'ming'xi 接口批发退货单明细
'jie'kou'pi'fa'tui'huo'tong'zhi'dan 接口批发退货通知单
'jie'kou'pi'fa'tui'huo'tong'zhi'dan'ming'xi 接口批发退货通知单明细
'jie'kou'shang'pin'ji'ben'xin'xi 接口商品基本信息
'jie'kou'shu'ju'jiao'huan'bao'gao 接口数据交换报告
'jie'kou'wu'liu'diao'bo'dan 接口物流调拨单
'jie'kou'wu'liu'diao'bo'dan'ming'xi 接口物流调拨单明细
'jie'kou'wu'liu'diao'bo'tong'zhi'dan 接口物流调拨通知单
'jie'kou'wu'liu'diao'bo'tong'zhi'dan'ming'xi 接口物流调拨通知单明细
'jie'kou'wu'liu'fa'song'dan'ju'lie'biao 接口物流发送单据列表
'jie'kou'wu'liu'fa'song'dan'ju'ri'zhi 接口物流发送单据日志
'jie'kou'wu'liu'jie'shou'dan'ju'lie'biao 接口物流接收单据列表
'jie'kou'wu'liu'jie'shou'dan'ju'ri'zhi 接口物流接收单据日志
'jie'kou'ye'wu'tiao'zheng'dan 接口业务调整单
'jie'kou'ye'wu'tiao'zheng'dan'ming'xi 接口业务调整单明细
'jie'kou'yi'ku'dan 接口移库单
'jie'kou'yi'ku'dan'ming'xi 接口移库单明细
'jie'kou'yi'ku'tong'zhi'dan 接口移库通知单
'jie'kou'yi'ku'tong'zhi'dan'ming'xi 接口移库通知单明细
'jie'kou'zi'ying'ding'dan 接口自营定单
'jie'kou'zi'ying'ding'dan'ming'xi 接口自营定单明细
'jie'kou'zi'ying'shou'huo'dan 接口自营收货单
'jie'kou'zi'ying'shou'huo'dan'ming'xi 接口自营收货单明细
'jie'mian'xian'shi 界面显示
'jie'ming 节名
'jie'ru'xi'tong 接入系统
'jie'shou'dan'wei 接受单位
'jie'shou'dan'wei 接收单位
'jie'shou'fang'dai'ma 接收方代码
'jie'shou'fang'fen'zhi'dai'ma 接收方分支代码
'jie'shou'fang'lei'xing 接收方类型
'jie'shou'fang'qiang'zhi'shen'he 接收方强制审核
'jie'shou'qiang'zhi'shen'he 接收强制审核
'jie'shou'ren 接收人
'jie'shou'ri'qi 接收日期
'jie'shou'shi'jian 接受时间
'jie'shou'shi'jian 接收时间
'jie'shou'shu'jian 接收数间
'jie'shou'zhe 接收者
'jie'shou'zhuang'tai 接收状态
'jie'shou'zi'liao'lei'xing 接收资料类型
'jie'shu'biao'zhi 结束标志
'jie'shu'biao'zhu 结束标注
'jie'shu'ri'qi 结束日期
'jie'shu'shi'jian 结束时间
'jie'shu'shi'ke 结束时刻
'jie'suan'biao'zhi 结算标志
'jie'suan'cang'wei 结算仓位
'jie'suan'dan'hao 结算单号
'jie'suan'dan'jia 结算单价
'jie'suan'dan'wei 结算单位
'jie'suan'dan'xing 结算单行
'jie'suan'e 结算额
'jie'suan'fang'shi 结算方式
'jie'suan'fang'shi'dai'ma 结算方式代码
'jie'suan'fang'shi'ming'cheng 结算方式名称
'jie'suan'gong'ying'shang 结算供应商
'jie'suan'jie'zhi'ri'qi 结算截止日期
'jie'suan'jin'e 结算金额
'jie'suan'kai'shi'ri'qi 结算开始日期
'jie'suan'ke'hu 结算客户
'jie'suan'lei'xing 结算类型
'jie'suan'men'dian 结算门店
'jie'suan'qing'kuang 结算情况
'jie'suan'ri 结算日
'jie'suan'shang 结算商
'jie'suan'shu'liang 结算数量
'jie'suan'wan'cheng'biao'zhi 结算完成标志
'jie'suan'xi'tong'biao'zhi 结算系统标志
'jie'suan'xiao'shou'e 结算销售额
'jie'suan'xiao'shou'jin'e 结算销售金额
'jie'suan'xing'shi 结算形式
'jie'suan'zhong'xin 结算中心
'jie'suan'zhong'xin'biao'ji 结算中心标记
'jie'suan'zhuang'tai 结算状态
'jie'suan'zu 结算组
'jie'xi'shang'pin'tiao'jian 解析商品条件
'jie'zhi'gou'mai'e 截止购买额
'jie'zhi'jin'e 截止金额
'jie'zhi'ri'qi 截止日期
'jie'zhi'ri'qi 截至日期
'jie'zhi'shi'jian 截止时间
'jie'zhi'tiao'jian 截止条件
'jie'zhuan'qi 结转期
'jie'zhuan'qi'hao 结转期号
'jie'zhuan'ri'qi 结转日期
'jin'e 金额
'jin'e'he'ji 金额合计
'jin'e'shang'xian 金额上限
'jin'e'shu'liang'tiao'ma'wei'shu'ding'yi 金额数量条码位数定义
'jin'e'tiao'zheng'dan 金额调整单
'jin'e'tiao'zheng'dan'ming'xi 金额调整单明细
'jin'e'wei'shu 金额位数
'jin'e'xia'xian 金额下限
'jin'e'zong'he 金额总和
'jin'huo'cheng'ben'tiao'zheng'e 进货成本调整额
'jin'huo'cheng'ben'tiao'zheng'zong'e 进货成本调整总额
'jin'huo'dan 进货单
'jin'huo'dan'hao 进货单号
'jin'huo'dan'ju'biao'ming 进货单据表名
'jin'huo'dan'ju'hang'hao 进货单据行号
'jin'huo'dan'ju'hao 进货单据号
'jin'huo'dan'ju'lei'xing 进货单据类型
'jin'huo'dan'ju'shen'he'ri'qi 进货单据审核日期
'jin'huo'dan'ming'xi 进货单明细
'jin'huo'dan'pi'ci'ming'xi 进货单批次明细
'jin'huo'dan'xing 进货单行
'jin'huo'e 进货额
'jin'huo'fang'shi 进货方式
'jin'huo'han'shui'jin'e 进货含税金额
'jin'huo'hang'hao 进货行号
'jin'huo'jia 进货价
'jin'huo'jie'suan'dan'wei 进货结算单位
'jin'huo'jin'e 进货金额
'jin'huo'nian'bao 进货年报
'jin'huo'qu'shui'nian'bao 进货去税年报
'jin'huo'qu'shui'ri'bao 进货去税日报
'jin'huo'qu'shui'yue'bao 进货去税月报
'jin'huo'ri'bao 进货日报
'jin'huo'ri'bao'qi'chu'zhi 进货日报期初值
'jin'huo'shu 进货数
'jin'huo'shu'liang 进货数量
'jin'huo'shui'e 进货税额
'jin'huo'tiao'zheng'dan 进货调整单
'jin'huo'tiao'zheng'dan'ming'xi 进货调整单明细
'jin'huo'tiao'zheng'dan'ri'zhi 进货调整单日志
'jin'huo'tui'huo 进货退货
'jin'huo'tui'huo'dan 进货退货单
'jin'huo'tui'huo'dan'hao 进货退货单号
'jin'huo'tui'huo'dan'ming'xi 进货退货单明细
'jin'huo'tui'huo'dan'pi'ci'ming'xi 进货退货单批次明细
'jin'huo'tui'huo'e 进货退货额
'jin'huo'tui'huo'he'shou'e 进货退货核售额
'jin'huo'tui'huo'he'suan'e 进货退货核算额
'jin'huo'tui'huo'shu 进货退货数
'jin'huo'yuan'chang'shang 进货原厂商
'jin'huo'yue'bao 进货月报
'jin'jia 进价
'jin'jia'cu'xiao 进价促销
'jin'jia'cu'xiao'dan 进价促销单
'jin'jia'cu'xiao'dan'ming'xi 进价促销单明细
'jin'jia'cu'xiao'dan'sheng'xiao'dan'wei'ming'xi 进价促销单生效单位明细
'jin'jia'jin'e 进价金额
'jin'jia'shui'e 进价税额
'jin'jia'tiao'zheng'dan 进价调整单
'jin'jia'tiao'zheng'dan'dan'ju'tiao'zheng'ming'xi 进价调整单单据调整明细
