'an'gou 暗沟
'hong'nian'tu 红黏土
'hong'shui'diao'cha 洪水调查
'hong'shui'pin'lv 洪水频率
'hou'du'jiang'di 厚度降低
'hou'zhang'fa 后张法
'hu'jian'lu'ji 护肩路基
'hu'jiao'lu'ji 护脚路基
'hu'lan 护栏
'hu'lan'qing'xi'che 护栏清洗车
'hu'li'qing 湖沥青
'hu'mian'qiang 护面墙
'hu'po 护坡
'hu'po'dao 护坡道
'hu'tan'fang'hu 护坦防护
'hu'tong 护筒
'hu'tong'shi'li'ti'jiao'cha 互通式立体交叉
'hu'zhuang 护桩
'hua'biao'xian'ji 划标线机
'hua'dong'mu'ban'zhi'jia'xi'tong 滑动模板支架系统
'hua'po 滑坡
'hua'xian'ji 划线机
'huan'bao'jing'guan'she'shi 环保景观设施
'huan'dao'shi'yan 环道试验
'huan'di'qing'ni 换底清泥
'huan'he'po'duan 缓和坡段
'huan'he'qu'xian 缓和曲线
'huan'jing'diao'cha 环境调查
'huan'ning'ji 缓凝剂
'huan'tian'dian'ceng 换填垫层
'huan'xing'gong'lu 环形公路
'huan'xing'jiao'cha 环形交叉
'huan'xing'jie'shui'gou 环形截水沟
'huan'xing'kai'wa'liu'he'xin'tu'fa 环形开挖留核心土法
'huan'xing'li'ti'jiao'cha 环形立体交叉
'huan'xing'za'dao 环形匝道
'huan'yang'li'qing 环氧沥青
'huan'yang'shu'zhi 环氧树脂
'huang'tu 黄土
'hui'che'shi'ju 会车视距
'hui'liu'li'shi 汇流历时
'hui'sha 回砂
'hui'sha'ji 回砂机
'hui'shui'mian'ji 汇水面积
'hui'tan'fa 回弹法
'hui'tan'mo'liang 回弹模量
'hui'tan'wan'chen 回弹弯沉
'hui'tian'tu 回填土
'hui'tou'qu'xian 回头曲线
'hui'tu 灰土
'hun'he'che'gao'feng'xiao'shi'jiao'tong'liang 混合车高峰小时交通量
'hun'he'jiao'tong 混合交通
'hun'he'liao 混合料
'hun'he'shi'ji'ceng 混合式基层
'hun'he'ti'xi'qiao 混合体系桥
'hun'ning'tu'beng'che 混凝土泵车
'hun'ning'tu'guan'che 混凝土罐车
'hun'ning'tu'jiao'ban'shu'song'che 混凝土搅拌输送车
'hun'ning'tu'kang'dong'shi'yan'ji 混凝土抗冻试验机
'hun'ning'tu'zhen'dao'qi 混凝土振捣器
'huo'che'zhuan'yong'che'dao 货车专用车道
'huo'dong'zhi'zuo 活动支座
'huo'shan'hui 火山灰
'huo'shan'zha 火山渣
'ji'ben'de'zhen'dong'can'shu 基本地震动参数
'ji'ben'tong'xing'neng'li 基本通行能力
'ji'ben'zhao'ming 基本照明
'ji'ceng 基层
'ji'chu 基础
'ji'dian'she'shi 机电设施
'ji'dian'she'shi'da'xiu 机电设施大修
'ji'dian'she'shi'ding'qi'jian'xiu 机电设施定期检修
'ji'dian'she'shi'jing'chang'xing'jian'xiu 机电设施经常性检修
'ji'dian'she'shi'ri'chang'jian'cha'wei'hu 机电设施日常检查维护
'ji'guang'ping'zheng'du'ce'ding'yi 激光平整度测定仪
'ji'jie'dong'tu 季节冻土
'ji'keng'hui'tian 基坑回填
'ji'liao 集料
'ji'liu'cao 急流槽
'ji'mi'pen'jiang'fa 挤密喷浆法
'ji'mi'sha'zhuang 挤密砂桩
'ji'mi'zhuang 挤密桩
'ji'ni 唧泥
'ji'pei 级配
'ji'pei'lu'mian 级配路面
'ji'pei'qu'xian 级配曲线
'ji'ping'ce'liang 基平测量
'ji'san'che'dao 集散车道
'ji'shi'shi'yan 击实试验
'ji'shi'yi 击实仪
'ji'shu'zi'xun'fu'wu 技术咨询服务
'ji'shui'jing 集水井
'ji'shui'mian'ji 集水面积
'ji'suan'shi'gao 计算矢高
'ji'suan'xing'che'su'du 计算行车速度
'ji'xian 基线
'ji'xian'cheng'zai'li 极限承载力
'ji'xian'zhuang'tai 极限状态
'ji'xian'zui'xiao'ping'qu'xian'ban'jing 极限最小平曲线半径
'ji'xie'tong'feng 机械通风
'ji'xing'jiao'cha'kou 畸形交叉口
'ji'xue'biao'gan 积雪标杆
'ji'yu'xing'neng'de'qiao'liang'jie'gou'she'ji 基于性能的桥梁结构设计
'ji'zhi'sha 机制砂
'ji'zhong'pai'shui 集中排水
'ji'zhun'dian 基准点
'jia'feng 假缝
'jia'gu 加固
'jia'gu'di'ji 加固地基
'jia'jin'tu'dang'tu'qiang 加筋土挡土墙
'jia'kuan'huan'he'duan 加宽缓和段
'jia'kuan'zhuan'jiao'shi'jiao'cha'kou 加宽转角式交叉口
'jia'pu'zhuan'jiao'shi'jiao'cha'kou 加铺转角式交叉口
'jia'qi'ji 加气剂
'jia'qiang'zhao'ming 加强照明
'jia'qiao'ji 架桥机
'jia'qiao'ji'jia'qiao'fa 架桥机架桥法
'jia're'fang'dong'fa 加热防冻法
'jia'shi'fu'he 驾驶负荷
'jia'shi'mo'ni'shi'yan 驾驶模拟实验
'jia'shi'qi'wang 驾驶期望
'jia'shi'ren'zhi'dong'fan'ying'shi'jian 驾驶人制动反应时间
'jia'su'che'dao 加速车道
'jia'zhou'cheng'zai'bi 加州承载比
'jia'zhuang 加桩
'jian'ce 监测
'jian'ce'xi'tong 监测系统
'jian'ce'xiang'mu 检测项目
'jian'ce'yu'jian'ce 监测与检测
'jian'ce'zhi'biao 检测指标
'jian'cha'jing 检查井
'jian'duan'ji'pei'li'qing'hun'he'liao 间断级配沥青混合料
'jian'kang'jian'ce 健康监测
'jian'kong'liang'ce 监控量测
'jian'kong'xi'tong 监控系统
'jian'li 监理
'jian'shui'ji 减水剂
'jian'su'che'dao 减速车道
'jian'xiu'dao 检修道
'jian'zhi'liang 简支梁
'jian'zhi'liang'qiao 简支梁桥
'jian'zhong'fan'ya 减重反压
'jiang'yu'li'shi 降雨历时
'jiao'cha'bu 交叉部
'jiao'cha'jiao 交叉角
'jiao'cha'kou 交叉口
'jiao'cha'kou'chu'kou 交叉口出口
'jiao'cha'kou'jin'kou 交叉口进口
'jiao'cha'kou'ping'mian'tu 交叉口平面图
'jiao'cha'kou'she'ji 交叉口设计
'jiao'cha'zhong'ge'bi'fa 交叉中隔壁法
'jiao'che 绞车
'jiao'dian 交点
'jiao'gong'yan'shou 交工验收
'jiao'liu'dian'fa 交流电法
'jiao'tong'an'quan 交通安全
'jiao'tong'an'quan'she'shi 交通安全设施
'jiao'tong'biao'xian 交通标线
'jiao'tong'biao'zhi 交通标志
'jiao'tong'chong'tu 交通冲突
'jiao'tong'dao 交通岛
'jiao'tong'diao'cha 交通调查
'jiao'tong'fa'sheng 交通发生
'jiao'tong'fang'shi'hua'fen 交通方式划分
'jiao'tong'fang'zhen 交通仿真
'jiao'tong'fen'bu 交通分布
'jiao'tong'fen'bu 交通分部
'jiao'tong'fen'pei 交通分配
'jiao'tong'fen'qu 交通分区
'jiao'tong'gong'cheng'ji'yan'xian'she'shi 交通工程及沿线设施
'jiao'tong'gong'hai 交通公害
'jiao'tong'guan'li 交通管理
'jiao'tong'gui'hua 交通规划
'jiao'tong'gui'ze 交通规则
'jiao'tong'jian'shi'xi'tong 交通监视系统
'jiao'tong'jie'gou 交通结构
'jiao'tong'kong'zhi 交通控制
'jiao'tong'liang 交通量
'jiao'tong'liang'diao'cha 交通量调查
'jiao'tong'liang'fen'pei 交通量分配
'jiao'tong'liang'guan'ce'zhan 交通量观测站
'jiao'tong'liang'yu'ce 交通量预测
'jiao'tong'liu 交通流
'jiao'tong'liu'li'lun 交通流理论
'jiao'tong'mi'du 交通密度
'jiao'tong'sheng'cheng 交通生成
'jiao'tong'shi'gu 交通事故
'jiao'tong'shi'gu'duo'fa'dian'duan 交通事故多发点段
'jiao'tong'shi'gu'lv 交通事故率
'jiao'tong'shi'jian 交通事件
'jiao'tong'tong 交通桶
'jiao'tong'xin'hao 交通信号
'jiao'tong'xin'hao'deng 交通信号灯
'jiao'tong'ying'ji 交通应急
'jiao'tong'yu'ce 交通预测
'jiao'tong'yun'shu'bu'gong'lu'ju 交通运输部公路局
'jiao'tong'zhui 交通锥
'jiao'tong'zu'cheng 交通组成
'jiao'you'li'qing 焦油沥青
'jiao'zhi 交织
'jiao'zhi'dian 交织点
'jiao'zhi'lu'duan 交织路段
'jiao'zhu'shi'li'qing'lu'mian 浇注式沥青路面
'jie'chu'ya'li 接触压力
'jie'duan 节段
'jie'feng 接缝
'jie'feng'chuan'he'xi'shu 接缝传荷系数
'jie'gou'mian 结构面
'jie'gou'nai'jiu'xing 结构耐久性
'jie'gou'ti 结构体
'jie'gou'xing'neng 结构性能
'jie'he'liao 结合料
'jie'jin'duan 接近段
'jie'shui'gou 截水沟
'jie'tu 借土
'jin'du 劲度
'jin'ji'dian'hua 紧急电话
'jin'ji'ting'che'dai 紧急停车带
'jin'ling'biao'zhi 禁令标志
'jin'shen 浸渗
'jin'shui'dang'tu'qiang 浸水挡土墙
'jing'dian'jiang'shui 井点降水
'jing'gao'biao'zhi 警告标志
'jing'ji'che'su 经济车速
'jing'li'chu'tan'shi'yan 静力触探试验
'jing'liu 径流
'jing'liu'xi'shu 径流系数
'jing'nei'jiao'tong 境内交通
'jing'xie'ce'jing 井斜测井
'jiu'di'guan'zhu'zhuang 就地灌注桩
'jiu'di'leng'zai'sheng'shi'gong'she'bei 就地冷再生施工设备
'jiu'di're'zai'sheng'shi'gong'she'bei 就地热再生施工设备
'ju'bing'keng 聚冰坑
'ju'bu'mao'gan 局部锚杆
'ju'bu'po'sun'jian'ce'fang'fa 局部破损检测方法
'ju'he'wu'shui'ni'hun'ning'tu'lu'mian 聚合物水泥混凝土路面
'juan'yang'ji 卷扬机
'jue'dui'ji'mian 绝对基面
'jue'dui'shi'gu'lv 绝对事故率
'jun'gong'ce'liang 竣工测量
'jun'gong'yan'shou 竣工验收
'jun'lie 龟裂
'kai'cao'ji 开槽机
'kai'he'qiao 开合桥
'kai'ji'pei'li'qing'hun'he'liao 开级配沥青混合料
'kai'qi'qiao 开启桥
'kai'wa'mian 开挖面
'kai'wa'xiao'ying 开挖效应
'kan'ce 勘测
'kan'cha 勘察
'kan'tan'dian 勘探点
'kang'dong'xing'neng 抗冻性能
'kang'hua'zhuang 抗滑桩
'kang'jian'qiang'du 抗剪强度
'kang'la'qiang'du 抗拉强度
'kang'lie'du 抗裂度
'kang'qing'fu'wen'ding'xing 抗倾覆稳定性
'kang'wan'qiang'du 抗弯强度
'kang'ya'qiang'du 抗压强度
'kang'zhen'cuo'shi 抗震措施
'kang'zhen'dang'kuai 抗震挡块
'kang'zhen'she'fang'biao'zhun 抗震设防标准
'kang'zhen'she'fang'di'zhen'dong 抗震设防地震动
'kang'zhen'she'fang'lie'du 抗震设防烈度
'ke'bian'he'zai 可变荷载
'ke'bian'xin'xi'biao'zhi 可变信息标志
'ke'bian'zuo'yong 可变作用
'ke'kao'du 可靠度
'ke'kao'zhi'shu 可靠指数
'ke'li'fen'xi'shi'yan 颗粒分析试验
'ke'li'zu'cheng 颗粒组成
'ke'neng'tong'xing'neng'li 可能通行能力
'ke'tu'pen'bo 客土喷播
'ke'xing'xing'yan'jiu 可行性研究
'ken'bian 啃边
'keng'tan 坑探
'kong'dong 孔洞
'kong'fu'gong'qiao 空腹拱桥
'kong'jian'ping'jun'su'du 空间平均速度
'kong'xi'bi 孔隙比
'kong'xi'bi 空隙比
'kong'xi'lv 孔隙率
'kong'xi'lv 空隙率
'kong'xin'qiao'dun 空心桥墩
'kong'zhi'ce'liang'zhuang 控制测量桩
'kong'zhi'ce'lue 控制策略
'kong'zhi'dao'xian 控制导线
'kong'zhi'wang'fu'ce 控制网复测
'kong'zhi'wang'jian'ce 控制网检测
'kong'zhong'fang'xian'fa 空中纺线法
'kong'zhong'san'jiao'ce'liang 空中三角测量
'ku'an'wen'ding'xing 库岸稳定性
'kua'jing 跨径
'kua'kong'fa 跨孔法
'kua'xian'gou'zao'wu 跨线构造物
'kua'xian'qiao 跨线桥
'kuai'che'dao 快车道
'kuai'liao'lu'mian 块料路面
'kuai'shi 块石
'kuai'shi'ji'ceng 块石基层
'kuai'tong'hun'ning'tu 快通混凝土
'kuan'du'zhe'jian'xi'shu 宽度折减系数
'kuang'fen 矿粉
'kuang'jia'qiao 框架桥
'kuang'liao 矿料
'kuang'shan'fa 矿山法
'kuang'zha 矿渣
'kuo'da'ji'chu 扩大基础
'la'ba'xing'li'ti'jiao'cha 喇叭形立体交叉
'la'gan 拉杆
'la'gan'cha'ru'ji 拉杆插入机
'lan'dang'ba 拦挡坝
'lan'shi'qiang 拦石墙
'lan'shui'dai 拦水带
'lan'suo'diao'zhuang'fa 缆索吊装法
'lan'suo'diao'zhuang'she'bei 缆索吊装设备
'lao'hua 老化
'lei'shi'jia 雷式夹
'leng'ba'gang'si 冷拔钢丝
'leng'ban'fa 冷拌法
'leng'la'gang'jin 冷拉钢筋
'leng'pu'fa 冷铺法
'li'cheng'bei 里程碑
'li'jing 粒径
'li'liao 粒料
'li'liao'dian'ceng 粒料垫层
'li'qing 沥青
'li'qing'beng 沥青泵
'li'qing'biao'mian'chu'zhi 沥青表面处治
'li'qing'chou'du 沥青稠度
'li'qing'gao 沥青膏
'li'qing'guan'feng'ji 沥青灌缝机
'li'qing'guan'ru'sui'shi'lu'mian 沥青贯入碎石路面
'li'qing'hun'he'liao 沥青混合料
'li'qing'hun'he'liao'ban'huo'she'bei 沥青混合料拌和设备
'li'qing'hun'he'liao'di'wen'kang'lie'xing 沥青混合料低温抗裂性
'li'qing'hun'he'liao'gao'wen'wen'ding'xing 沥青混合料高温稳定性
'li'qing'hun'he'liao'tan'pu'ji 沥青混合料摊铺机
'li'qing'hun'ning'tu'hun'he'liao 沥青混凝土混合料
'li'qing'hun'ning'tu'lu'mian 沥青混凝土路面
'li'qing'jia're'qi 沥青加热器
'li'qing'la'han'liang 沥青蜡含量
'li'qing'lu'mian 沥青路面
'li'qing'ma'ti'zhi'sui'shi 沥青玛蹄脂碎石
'li'qing'ma'ti'zhi'sui'shi'hun'he'liao 沥青玛蹄脂碎石混合料
'li'qing'nian'du'yi 沥青粘度仪
'li'qing'ruan'hua'dian'yi 沥青软化点仪
'li'qing'sa'bu'che 沥青洒布车
'li'qing'sa'bu'ji 沥青洒布机
'li'qing'sha 沥青砂
'li'qing'sui'shi'hun'he'liao 沥青碎石混合料
'li'qing'sui'shi'lu'mian 沥青碎石路面
'li'qing'wen'ding'sui'shi'hun'he'liao 沥青稳定碎石混合料
'li'qing'yan'du'yi 沥青延度仪
'li'qing'yu'ji'liao'kang'bo'luo'xing 沥青与集料抗剥落性
'li'qing'zhen'ru'du'yi 沥青针入度仪
'li'shi 砾石
'li'ti'jiao'cha 立体交叉
'li'xi 离析
'li'yong'xi'shu 利用系数
'li'yuan'shi 立缘石
'lian'gong'sui'dao 连拱隧道
'lian'he'liang'qiao 联合梁桥
'lian'jie'ceng 联结层
'lian'tong'che'dao 连通车道
'lian'xu'gang'gou'qiao 连续刚构桥
'lian'xu'ji'pei'li'qing'hun'he'liao 连续级配沥青混合料
'lian'xu'liang 连续梁
'lian'xu'liang'qiao 连续梁桥
'lian'xu'pei'jin'hun'ning'tu'lu'mian 连续配筋混凝土路面
'lian'xu'qu'xian 连续曲线
'liang'du 亮度
'liang'qiao 梁桥
'liao'shi 料石
'lie'feng 裂缝
'lie'feng'chang'du 裂缝长度
'lie'feng'fa'zhan'su'du 裂缝发展速度
'lie'feng'guan'jiang 裂缝灌浆
'lie'feng'kuan'du 裂缝宽度
'lie'feng'shen'du 裂缝深度
'lin'jie'su'du 临界速度
'lin'jie'zhuang'tai 临界状态
'lin'qu'dao'lu 林区道路
'lin'shi'xing'qiao 临时性桥
'lin'shi'yang'hu'zuo'ye 临时养护作业
'ling'min'du 灵敏度
'ling'xing'li'ti'jiao'cha 菱形立体交叉
'liu'bing 流冰
'liu'sha 流沙
'liu'tai'hun'ning'tu 流态混凝土
'liu'yu 流域
'lu'ban'fa 路拌法
'lu'cao 路槽
'lu'ce 路侧
'lu'ce'an'quan'jing'qu 路侧安全净区
'lu'ce'dai 路侧带
'lu'chuang 路床
'lu'di 路堤
'lu'di'jia'jin 路堤加筋
'lu'di'qiang 路堤墙
'lu'fu 路幅
'lu'gong 路拱
'lu'gong'heng'po 路拱横坡
'lu'gong'qu'xian 路拱曲线
'lu'gu 露骨
'lu'ji 路基
'lu'ji'bian'po'hua'dong'mian 路基边坡滑动面
'lu'ji'bian'po'hua'ta 路基边坡滑塌
'lu'ji'bian'po'wen'ding'xing 路基边坡稳定性
'lu'ji'dong'tai'she'ji 路基动态设计
'lu'ji'fang'hu'zhi'dang 路基防护支挡
'lu'ji'gan'shi'lei'xing 路基干湿类型
'lu'ji'gao'du 路基高度
'lu'ji'gong'cheng 路基工程
'lu'ji'gong'zuo'qu 路基工作区
'lu'ji'gong'zuo'qu'shen'du 路基工作区深度
'lu'ji'heng'duan'mian 路基横断面
'lu'ji'heng'po 路基横坡
'lu'ji'jian'ce'yu'jian'ce 路基监测与检测
'lu'ji'kuan'du 路基宽度
'lu'ji'lei'xing 路基类型
'lu'ji'lin'jie'gao'du 路基临界高度
'lu'ji'pai'shui 路基排水
'lu'ji'ping'heng'shi'du 路基平衡湿度
'lu'ji'sha'dian'ceng 路基沙垫层
'lu'ji'she'ji 路基设计
'lu'ji'she'ji'biao'gao 路基设计标高
'lu'ji'she'ji'gao'cheng 路基设计高程
'lu'ji'shi'gong 路基施工
'lu'ji'shui'wen'wen'ding'xing 路基水温稳定性
'lu'ji'tuo'kuan'pin'jie 路基拓宽拼接
'lu'ji'yang'hu 路基养护
'lu'ji'zheng'ti'wen'ding'xing 路基整体稳定性
'lu'jian 路肩
'lu'jian'qiang 路肩墙
'lu'jin 露筋
'lu'kou'jie'jiao 路口截角
'lu'kou'shi'ju 路口视距
'lu'kuang 路况
'lu'kuang'diao'cha 路况调查
'lu'mian 路面
'lu'mian'ban'ji'ni 路面板唧泥
'lu'mian'bian'yuan'pai'shui 路面边缘排水
'lu'mian'biao'mian'pai'shui 路面表面排水
'lu'mian'biao'xian 路面标线
'lu'mian'bing'hai 路面病害
'lu'mian'bu'qiang 路面补强
'lu'mian'chen'xian 路面沉陷
'lu'mian'cu'cao'du 路面粗糙度
'lu'mian'cuo'ban 路面搓板
'lu'mian'dong'zhang 路面冻胀
'lu'mian'fan'xiu 路面翻修
'lu'mian'gong'cheng 路面工程
'lu'mian'hua'liu 路面滑溜
'lu'mian'jian'ce'yu'jian'ce 路面监测与检测
'lu'mian'jie'gou 路面结构
'lu'mian'jie'gou'ceng 路面结构层
'lu'mian'ju'feng'ji 路面锯缝机
'lu'mian'jun'lie 路面龟裂
'lu'mian'keng'cao 路面坑槽
'lu'mian'kuan'du 路面宽度
'lu'mian'lei'xing 路面类型
'lu'mian'liang'du'zong'jun'yun'du 路面亮度总均匀度
'lu'mian'mo'ca'xi'shu 路面摩擦系数
'lu'mian'nei'bu'pai'shui 路面内部排水
'lu'mian'ping'jun'liang'du 路面平均亮度
'lu'mian'ping'jun'zhao'du 路面平均照度
'lu'mian'ping'zheng'du 路面平整度
'lu'mian'ping'zheng'du'ce'ding'yi 路面平整度测定仪
'lu'mian'qie'feng'ji 路面切缝机
'lu'mian'qie'ge'ji 路面切割机
'lu'mian'qing'feng'ji 路面清缝机
'lu'mian'qu'lv'ban'jing'ce'ding'yi 路面曲率半径测定仪
'lu'mian'she'ji 路面设计
'lu'mian'she'ji'shi'yong'nian'xian 路面设计使用年限
'lu'mian'shi'gong 路面施工
'lu'mian'song'san 路面松散
'lu'mian'sui'lie 路面碎裂
'lu'mian'sui'shi'hua'ji'shu 路面碎石化技术
'lu'mian'tian'feng'ji 路面填缝机
'lu'mian'tou'shui'du'ce'ding'yi 路面透水度测定仪
'lu'mian'wang'lie 路面网裂
'lu'mian'xi'bao'ji 路面铣刨机
'lu'mian'zhong'xian'liang'du'zong'xiang'jun'yun'du 路面中线亮度纵向均匀度
'lu'mian'zhu'jiang'ji 路面注浆机
'lu'qian 路堑
'lu'qian'qiang 路堑墙
'lu'rong 路容
'lu'wang'feng'xian'ping'gu 路网风险评估
'lu'wang'rong'liang 路网容量
'lu'wang'tong'xing'neng'li 路网通行能力
'lu'xian'dao'xian 路线导线
'lu'xian'fang'an'tu 路线方案图
'lu'xian'jiao'cha 路线交叉
'lu'xian'kong'zhi'dian 路线控制点
'lu'xian'kong'zhi'wang 路线控制网
'lu'xian'kong'zhi'zhuang 路线控制桩
'lu'xian'ping'mian'tu 路线平面图
'lu'xian'zong'duan'mian'tu 路线纵断面图
'lu'yong'li'qing 路用沥青
'lu'yuan'dai 路缘带
'lu'yuan'shi 路缘石
'lu'zheng'guan'li 路政管理
'luan'shi 卵石
'lun'kuo'biao 轮廓标
'luo'chui'hang 落锤夯
'luo'chui'shi'wan'chen'yi 落锤式弯沉仪
'luo'shan'ji'mo'hao'shi'yan'ji 洛杉矶磨耗试验机
'luo'shi'cao 落石槽
'luo'shi'hun'ning'tu'lu'mian 裸石混凝土路面
'lv'bo 绿波
'lv'hua'dai 绿化带
'lv'xin'bi 绿信比
'ma'mian 麻面
'ma'xie'er'shi'yan 马歇尔试验
'ma'xie'er'wen'ding'du 马歇尔稳定度
'ma'xie'er'wen'ding'du'yi 马歇尔稳定度仪
'mai'zhi'shi'qiao'tai 埋置式桥台
'man'che'dao 慢车道
'man'shui'qiao 漫水桥
'mang'gou 盲沟
'mao'dao 猫道
'mao'ding 锚锭
'mao'ding'ban'shi'dang'tu'qiang 锚锭板式挡土墙
'mao'ding'ban'shi'qiao'tai 锚碇板式桥台
'mao'ding'shi'dang'tu'qiang 锚碇式挡土墙
'mao'gan 锚杆
'mao'gan'kuang'jia'ge 锚杆框架格
'mao'gan'kuang'jia'liang 锚杆框架梁
'mao'gan'shi'dang'tu'qiang 锚杆式挡土墙
'mao'gan'zhou'li 锚杆轴力
'mao'xi'shui 毛细水
'mei'gan'shi 煤矸石
'mei'li'qing 煤沥青
'mi'du'yi 密度仪
'mian'ceng 面层
'mian'jing 面镜
'mian'kong'zhi 面控制
'mian'zhen'hun'ning'tu 免振混凝土
'min'gong'jian'qin 民工建勤
'ming'dong 明洞
'ming'dong'shi'dong'men 明洞式洞门
'ming'wa'fa 明挖法
'mo'ca'zhuang 摩擦桩
'mo'hao'ceng 磨耗层
'mo'hao'du 磨耗度
'mo'hao'shi'yan 磨耗试验
'mo'hu'xiang'liang'dan'zhi'hua 模糊向量单值化
'mo'hu'zong'he'ping'jia 模糊综合评价
'mo'liang'bi 模量比
'mu'ban'tai'che 模板台车
'mu'qiao 木桥
'mu'xu'ye'xing'li'ti'jiao'cha 苜蓿叶形立体交叉
'mu'xu'ye'xing'li'ti'jiao'cha 苜蓿页形立体交叉
'nai'jiu'xing'ping'gu 耐久性评估
'nao'du 挠度
'nei'ce'che'dao 内侧车道
'nei'lun'kuo 内轮廓
'nei'mo'ca'jiao 内摩擦角
'nei'ran'hang'shi'ji 内燃夯实机
'nei'xian'ju 内限距
'ni'fan'she'biao'zhi 逆反射标志
'ni'guang'zhao'ming 逆光照明
'ni'jiang 泥浆
'ni'jiang'beng 泥浆泵
'ni'jie'shi'lu'mian 泥结石路面
'ni'shi'liu 泥石流
'ni'tan 泥炭
'ni'zhao 泥沼
'nian'ceng 黏层
'nian'di'wei'zui'da'xiao'shi'jiao'tong'liang 年第位最大小时交通量
'nian'du 粘度
'nian'du 黏度
'nian'jie'li 黏结力
'nian'ju'li 黏聚力
'nian'ping'jun'ri'jiao'tong'liang 年平均日交通量
'nian'ya 碾压
'nian'ya'hun'ning'tu'lu'mian 碾压混凝土路面
'nian'ya'shi'shui'ni'hun'ning'tu 碾压式水泥混凝土
'nian'ya'shi'yan 碾压试验
'nian'zhi'tu 黏质土
'nian'zui'da'xiao'shi'jiao'tong'liang 年最大小时交通量
'ou'fa'xing'jiao'tong'yong'ji 偶发性交通拥挤
'ou'ran'he'zai 偶然荷载
'ou'ran'zuo'yong 偶然作用
'pa'po'che'dao 爬坡车道
'pai'dao'gou 排导沟
'pai'fang'fu'he'chen'qi 排放复合衬砌
'pai'jia'zhuang'dun 排架桩墩
'pai'shui'ban 排水板
'pai'shui'ceng 排水层
'pai'shui'gou 排水沟
'pai'shui'li'qing'lu'mian 排水沥青路面
'pai'shui'sha'dian'ceng 排水砂垫层
'pai'shui'she'shi'yu'cai'liao 排水设施与材料
'pang'ya'shi'yan 旁压试验
'pao'mo'hun'ning'tu 泡沫混凝土
'pao'mo'ju'ben'yi'xi'ban'kuai 泡沫聚苯乙烯板块
'pao'mo'qing'zhi'tu 泡沫轻质土
'pao'shi 抛石
'pao'shi'fang'hu 抛石防护
'pao'shi'ji'yu 抛石挤淤
'pao'zhi'bao'po 抛掷爆破
'pen'mao'zhi'hu 喷锚支护
'pen'sa'li'qing 喷洒沥青
'pen'she'hun'ning'tu 喷射混凝土
'peng'dong 棚洞
'peng'zhang'li 膨胀力
'peng'zhang'lv 膨胀率
'peng'zhang'tu 膨胀土
'pi'lao'shi'yan 疲劳试验
'pi'lao'xing'neng 疲劳性能
'pi'lie'qiang'du 劈裂强度
'pi'lie'shi'yan 劈裂试验
'pian'jiao 偏角
'pian'shi 片石
'pian'ya 偏压
'pian'ya'sui'dao 偏压隧道
'pin'hun'ning'tu 贫混凝土
'ping'ban'che 平板车
'ping'di'ji 平地机
'ping'feng 平缝
'ping'jia'deng'ji 评价等级
'ping'jun'chou'du 平均稠度
'ping'jun'su'du 平均速度
'ping'jun'wei'xiu'gong'zuo'shi'jian 平均维修工作时间
'ping'jun'wu'gu'zhang'gong'zuo'shi'jian 平均无故障工作时间
'ping'jun'zong'po 平均纵坡
'ping'mian'jiao'cha 平面交叉
'ping'mian'jiao'cha'kou 平面交叉口
'ping'mian'shi'yi'tu 平面示意图
'ping'mian'xian'xing 平面线形
'ping'qu'xian 平曲线
'ping'qu'xian'jia'kuan 平曲线加宽
'ping'yuan'qu 平原区
'ping'yuan'shi 平缘石
'ping'zheng'du 平整度
'ping'zheng'du'shi'yan 平整度试验
'po'bing'ti 破冰体
'po'chang'xian'zhi 坡长限制
'po'ding 坡顶
'po'jiao 坡脚
'po'mian'pai'shui 坡面排水
'po'qiao 坡桥
'po'zhe'jian 坡折减
'pu'qi 铺砌
'pu'qi'fa 铺砌法
'pu'sha'fa 铺砂法
'pu'tong'hun'ning'tu'lu'mian 普通混凝土路面
'qi'che'biao'zhun'zhou'zai 汽车标准轴载
'qi'kou'feng 企口缝
'qi'kuai'lu'mian 砌块路面
'qi'pao'jian'ju'xi'shu 气泡间距系数
'qi'pi 起皮
'qi'qi'dian'diao'cha 起讫点调查
'qi'shi'lu'ji 砌石路基
'qi'ta'jiao'cha 其他交叉
'qi'tu 弃土
'qi'tu'chang 弃土场
'qi'tu'dui 弃土堆
'qi'wang'che'su 期望车速
'qi'ying'xing 气硬性
'qi'zhong'hu'lu 起重葫芦
'qi'zhong'hua'che 起重滑车
'qi'zhong'ji 起重机
'qi'zhong'ji'jia'qiao'fa 起重机架桥法
'qian'ceng'tu'jia'gu 浅层土加固
'qian'feng 嵌缝
'qian'jin'ding 千斤顶
'qian'mai'an'wa 浅埋暗挖
'qian'mai'sui'dao 浅埋隧道
'qian'qiang 前墙
'qian'yin'che 牵引车
'qian'yin'shi'hua'po 牵引式滑坡
'qiang'du 强度
'qiang'du'jiang'di 强度降低
'qiang'du'zeng'zhang'xi'shu 强度增长系数
'qiang'hang'fa 强夯法
'qiang'xiu 抢修
'qiao'dun 桥墩
'qiao'dun'ju'bu'chong'shua 桥墩局部冲刷
'qiao'han'gong'cheng 桥涵工程
'qiao'han'ji'suan'kua'jing 桥涵计算跨径
'qiao'han'jian'ce'yu'jian'ce 桥涵监测与检测
'qiao'han'jie'gou 桥涵结构
