'bai'la'cai'jie'gui'hua'gen'zi'bu'zheng'gen'gu'bu 白蜡材结桂花根子不正根骨不
'bai'la'gan'zi'fan'chang'du'tiao 白蜡杆子翻场独挑
'bai'la'zuo'de'xin'jian'bu'de'ri'tou'jian'bu'de'huo 白蜡做的心见不得日头见不得火
'bai'le'wei'ba'jian'de'hu'li'lao'jian'ju'hua 白了尾巴尖的狐狸老奸巨猾
'bai'li'cao'yuan'yi'ren'jia'gu'gu'dan'dan 百里草原一人家孤孤单单
'bai'li'xi'si'niu'bai'xiang'ren'bu'ke'mao'xiang 百里奚饲牛拜相人不可貌相
'bai'lian'jian'chen'chu'chang'e'xiang'e'mu'yang 白脸奸臣出场恶相恶模样
'bai'lian'lang'dai'cao'mao'bian'bu'liao'ren 白脸狼戴草帽变不了人
'bai'lian'lang'dai'yan'jing'mao'chong'hao'ren'chong'hao'ren 白脸狼戴眼镜冒充好人充好人
'bai'ling'xi'mu'dan'niao'yu'hua'xiang 百灵戏牡丹鸟语花香
'bai'mao'wu'ya'yu'zhong'bu'tong 白毛乌鸦与众不同
'bai'mao'zuan'zao'keng'zi'ji'gei'zi'ji'mo'hei 白猫钻灶坑自己给自己抹黑
'bai'nian'de'zui'ba'jin'shuo'hao'hua 拜年的嘴巴尽说好话
'bai'nian'song'shu'wu'yue'ba'jiao'cu'zhi'da'ye 百年松树五月芭蕉粗枝大叶
'bai'niang'zi'dou'fa'hai'jing'da'guang 白娘子斗法海精打光
'bai'niang'zi'yu'xu'xian'qian'li'yin'yuan'yi'xian'qian 白娘子遇许仙千里姻缘一线牵
'bai'ri'bu'xia'yu'jiu'qing'qing 百日不下雨久情晴
'bai'ri'jian'gui'xuan'hu'xin'li'you'bing 白日见鬼玄乎心里有病
'bai'ri'zuo'meng'hu'si'luan'xiang 白日做梦胡思乱想
'bai'shui'guo'li'jie'nai'pi'ban'bu'dao'mei'fa'ban 白水锅里揭奶皮办不到没法办
'bai'shui'xia'shi'gao'cheng'bu'liao'dou'fu 白水下石膏成不了豆腐
'bai'shui'zhu'bai'cai'dan'er'wu'wei 白水煮白菜淡而无味
'bai'shui'zuo'fan'wu'mi'zhi'chui 白水做饭无米之炊
'bai'su'zhen'bu'she'xu'xian'en'ai'nan'fen 白素贞不舍许仙恩爱难分
'bai'sui'gong'gong'chui'huo'lao'qi 百岁公公吹火老气
'bai'tang'bao'pi'shuang'du'zai'li'mian 白糖包砒霜毒在里面
'bai'tang'zui'ba'dao'zi'xin'kou'mi'fu'jian 白糖嘴巴刀子心口蜜腹剑
'bai'tian'da'deng'long'bai'da 白天打灯笼白搭
'bai'tian'pan'yue'liang'beng'xiang'mo'xiang'xiu'xiang 白天盼月亮甭想莫想休想
'bai'tian'zhao'dian'jian'duo'ci'yi'ju 白天照电简多此一举
'bai'tian'zhuo'gui'mei'ying'er'de'shi 白天捉鬼没影儿的事
'bai'tie'fu'tou'liang'mian'guang 白铁斧头两面光
'bai'wan'xiong'shi'xia'jiang'nan'xing'shi'dong'zhong 百万雄师下江南兴师动众
'bai'xian'he'zhang'le'ge'tu'wei'ba'mei'zhong'bu'zu 白仙鹤长了个秃尾巴美中不足
'bai'you'tang'zhu'tou'lian'gen'ba 柏油烫猪头连根拔
'bai'zhang'gao'gan'gua'hong'deng'hong'dao'ding'le 百丈高竿挂红灯红到顶了
'bai'zhi'zuo'de'deng'long'yi'dian'jiu'liang 白纸做的灯笼一点就亮
'ban'bian'yang'tou'du'jiao 半边羊头独角
'ban'bian'zhu'tou'du'yan 半边猪头独眼
'ban'bu'dao'qi'tu'zi'bu'wen'dang'bu'wen 扳不倒骑兔子不稳当不稳
'ban'bu'dao'zuo'dao'shao'bing'shang'mian'shang'ren 扳不倒坐到烧饼上面上人
'ban'chuo'qi'shi'gun'za'nian'pan'shi'shi'da'shi'shi 搬辍起石磙砸碾盘实石打实石
'ban'dao'dui'wo'bai'jiu'xia'po'po'po'fu 扳倒碓窝白臼吓婆婆泼妇
'ban'dao'hu'lu'sa'le'you'yi'bu'zuo'er'bu'xiu 扳倒葫芦洒了油一不做二不休
'ban'dao'pa'zai'fen'chi'bian'li'si'shi'bu'yuan 绊倒趴在粪池边离死屎不远
'ban'dao'shang'jian'ge'la'ba'you'chui'de'le 半道上捡个喇叭有吹的了
'ban'deng'dao'li'si'jiao'chao'tian 板凳倒立四脚朝天
