'a'hou'zai'he'chu 阿侯在何处
'fu'rong'qi'lu'xiang'lan'xiao 芙蓉泣露香兰笑
'fu'shi'mian'tou'zhi 赋诗面投掷
'fu'wei'zai'san'gong 夫位在三宫
'fu'wu'ge'ci 拂舞歌辞
'fu'xiu'feng'chui'shu'guo'xian 拂袖风吹蜀国弦
'fu'yi'zuo'er'si'yi'zuo'shi'bi'yi'zuo'bai 服一作饵似一作是碧一作白
'fu'yin'qing'niao'song 符因青鸟送
'fu'yuan'bi'xia'hong'ming'zhong'bu'xie 伏愿陛下鸿名终不歇
'fu'zhu'yan'yu'xi 浮珠噞鱼戏
'gan'chun 感春
'gan'feng'wu'shou 感讽五首
'gan'lu'xi'kong'lv 甘露洗空绿
'gan'ni'bo'zhong'li'jiao'yun 干腻薄重立脚匀
'gan'tou'jiu'qi'huan'qing'zhu 竿头酒旗换青苎
'gan'zuo'cang'wu'bao 甘作藏雾豹
'gang'hua'ye'xiao'ning'you'ming 缸花夜笑凝幽明
'gao'cha'tian 高插天
'gao'lou'chang'yue'qiao'xuan'dang 高楼唱月敲悬珰
'gao'men'zuo'you'ri'yue'huan 高门左右日月环
'gao'mian'fu'yu'rong 高眠服玉容
'gao'xuan'guo 高轩过
'gao'xuan'yin'bang'zhao'qing'shan 高悬银牓照青山
'gao'zuo'yuan'ti'yao'jian'fu 高作猿啼摇箭箙
'ge'chen'du'mu'zai 歌尘蠹木在
'ge'cheng'bin'xian'gai 歌成鬓先改
'ge'hui'la'ban'ming 歌回蜡板鸣
'ge'sheng'chun'cao'lu 歌声春草露
'ge'sheng'qie'qian'nong 歌声且潜弄
'ge'tai'xiao'ji'yao'xiang'wang 歌台小妓遥相望
'ge'yi'duan'sui'zhao'cheng'qiu 葛衣断碎赵城秋
'ge'yin'yin 歌淫淫
'ge'zi'liu'qing'chun 各自留青春
'ge'zuo'ying'xiang'jian 隔坐应相见
'geng'bian'qian'nian'ru'zou'ma 更变千年如走马
'geng'rong'yi'ye'chou'qian'chi 更容一夜抽千尺
'geng'shi'yu'lin'qi 耕势鱼鳞起
'geng'yi'zuo'you 更一作又
'geng'zhi'yi'nian'qiu 更值一年秋
'gong'bei'tian'cheng'xiao'qi'han 宫北田塍晓气酣
'gong'cheng'tuan'hui'lin'yan'guang 宫城团回凛严光
'gong'chuan'yu'kou'hong 觥船饫口红
'gong'guan'shao'la'huo 宫官烧蜡火
'gong'hu'gong'hu 公乎公乎
'gong'hu'gong'hu'qi'nai'ju 公乎公乎其奈居
'gong'hua'fu'mian'song'xing'ren 宫花拂面送行人
'gong'kan'he'bi'shu'wen'tian 公看呵壁书问天
'gong'lian'ge'yu'hua 宫帘隔御花
'gong'men'zhang'shi'bao'yi'geng 宫门掌事报一更
'gong'mo'wu'ge'bing'xu 公莫舞歌并序
'gong'nv'yi'zuo'cai'nv'tian'jiang'yi'zuo'tian'he 宫女一作彩女天江一作天河
'gong'qing'zong'bu'lian 公卿纵不怜
'gong'ren'zheng'ye'huang 宫人正靥黄
'gong'ru'feng'huang'chi 宫如凤凰翅
'gong'tai'guang'cuo'luo 宫台光错落
'gong'wa'ge 宫娃歌
'gong'wu'chu'men 公无出门
'gong'wu'du'he 公无渡河
'gong'ya'kai'xiao'qian 宫牙开小茜
'gong'yi'shui'jian'huang 宫衣水溅黄
'gong'yi'xiao'dui'hong 宫衣小队红
'gong'zhu'qian'bing'yu'xu'hu 公主遣秉鱼须笏
'gou'tao'bian'wu'zong 钩绦辫五总
'gou'zhui'xiao'chan'chu 钩坠小蟾蜍
'gu'bi'cai'qiu'jin'tie'wei 古壁彩虬金帖尾
'gu'bi'sheng'ning'chen 古壁生凝尘
'gu'cha'shu'zhong'du 古刹疏钟度
'gu'chu'si'fei'long 骨出似飞龙
'gu'chu'yi'zuo'shi'chu'hua'yan'yi'zuo'jun'yan 古础一作石础华筵一作军筵
'gu'chun'nian'nian'zai 古春年年在
'gu'ci'jin'yue'chan'gui'han 古祠近月蟾桂寒
'gu'di'da'liu'yan'zhong'cui 古堤大柳烟中翠
'gu'feng'feng 鼓逢逢
'gu'gong'jiao'bi'pi 故宫椒壁圮
'gu'gui'na'yun'bi 古桧拿云臂
'gu'jian'yong'yi'hou 古剑庸一吼
'gu'jing'fu'fan'shi 孤景拂繁事
'gu'jiu'dai'xin'feng 沽酒待新丰
'gu'luan'jing'ti'shang'si'fa 孤鸾惊啼商丝发
'gu'mi'zhe'shuang'yu 菰米蛰双鱼
'gu'ren'san'zou'wu'cui'cu 古人三走无摧捽
'gu'shi'tian'bo'xie 古时填渤澥
'gu'shu'ping'hei'shi 古书平黑石
'gu'tai'shi'deng'xuan'chang'cao 古台石磴悬肠草
'gu'xing'qian'ren'ma'shang'an 骨兴牵人马上鞍
'gu'ye'cheng'tong'zi'yao'xiao'wang'can'ci'cao'cao 古邺城童子谣效王粲刺曹操
'gu'you'you'xing 古悠悠行
'gu'zhong'shen'han'tian'miao'qi 骨重神寒天庙器
'gu'zhu'lao'shao're'bi'yun 古竹老梢惹碧云
'guan'bu'lai 官不来
'guan'bu'lai'ti'huang'fu'san'shi'xian'bei'ting 官不来题皇甫氵是先辈厅
'guan'dong'li'ren'fa'gou'zu 关东吏人乏诟租
'guan'huai'ru'tu'mu 官槐如兔目
'guan'jia'you'cheng 官家有程
'guan'jie'gu 官街鼓
'guan'jie'liu'dai'bu'kan'zhe 官街柳带不堪折
'guan'jin'qian'duan'mai'chen'zui 官锦千端买沉醉
'guan'jun'zi'sha'rong'zhou'cha 官军自杀容州槎
'guan'shu'lin'qu'zhao 观书临曲沼
'guan'shui'cheng'lv'ying 关水乘驴影
'guan'ting'qiu 官庭秋
'guan'yin'yin 管愔愔
'guan'you'er 关右儿
'guan'zhong'fu'lao'bai'ling'ru 关中父老百领襦
'guang'feng'cui'lan'chui'xiao'dian 光风催兰吹小殿
'guang'feng'zhuan'hui'bai'yu'li 光风转蕙百余里
'guang'jie'wu'qiu'si 光洁无秋思
'guang'lu'qi'you'lei 光露泣幽泪
'guang'lu'shi'xin'jie 光禄是新阶
'guang'ming'ai'bu'fa 光明霭不发
'guang'qiu'yi'zuo'qiu'guang'wan'yi'zuo'shuo 光秋一作秋光顽一作硕
'gui'deng'ru'qi'dian'song'hua 鬼灯如漆点松花
'gui'dong'sheng'xiao'jiu'ma'ya 桂洞生硝旧马牙
'gui'gong'zi'ye'lan'qu 贵公子夜阑曲
'gui'huo'liu'su'nuan 桂火流苏暖
'gui'jia'kai'ping'se 龟甲开屏涩
'gui'jia'ping'feng'zui'yan'xie 龟甲屏风醉眼缬
'gui'jiang'yi'zuo'gui'jia'zhuang'fu'yi'zuo'zhang'fu 归江一作归家壮夫一作丈夫
'gui'kai'ke'hua'ming'zheng'xiu 桂开客花名郑袖
'gui'lai'gu'bo'mian'wu'gao 归来骨薄面无膏
'gui'lu'dui'xian'e 桂露对仙娥
'gui'wen'shi'lie'bo 归问时裂帛
'gui'xia'pei'tuo'shu'zhang'hun 归霞帔拖蜀帐昏
'gui'ye'shua'feng'gui'zhui'zi 桂叶刷风桂坠子
'gui'ye'shui'hong'chun'mo'mo 桂叶水荭春漠漠
'gui'yu'sa'kong'cao 鬼雨洒空草
'gui'yuan'zuo'gui'li 刿原作圭刂
'gui'zhu'zheng'xing'le 贵主征行乐
'guo'hua'qing'gong 过华清宫
'hai'chen'xin'sheng'shi'shan'xia 海尘新生石山下
'hai'feng'duan'bin'fa 海风断鬓发
'hai'sha'bian'cheng'shi 海沙变成石
'hai'shen'shan'gui'lai'zuo'zhong 海神山鬼来座中
'hai'su'long'chuang'kong'xia'ge 海素笼窗空下隔
'hai'wu'yi'miao'miao 还吴已渺渺
'hai'xiao'hong'wen'xiang'qian'qing 海绡红文香浅清
'hai'zi'kuai'ji'ge'bing'xu 还自会稽歌并序
'hai'zi'kuai'ji'ge'yi'bu'qi'bei 还自会稽歌以补其悲
'han'bin'xie'chai'yu'yan'guang 寒鬓斜钗玉燕光
'han'cheng'huang'liu'ying'xin'lian 汉城黄柳映新帘
'han'feng'you'bian'wei'chun'liu 寒风又变为春柳
'han'huo'bu'guang'tian'xia'yu 旱火不光天下雨
'han'jiao'lu'zhong'sheng 含嚼芦中声
'han'jin'ming'ye'ke 寒金鸣夜刻
'han'liang'shi'yue'mo 寒凉十月末
'han'lv'you'feng'sheng'duan'si 寒绿幽风生短丝
'han'niao'chu'zeng'jiao 韩鸟处缯缴
'han'ru'fu'si'dian'ying'hun 寒入罘罳殿影昏
'han'shi'yao'yang'tian 寒食摇扬天
'han'shui'wan'e'cui 含水弯蛾翠
'han'wang'jin'ri'xu'qin'yin 汉王今日须秦印
'han'xiang'jie'ye'zui 寒香解夜醉
'han'xue'dao'wang'jia 汉血到王家
'han'yu'shan'shang'wen 撼玉山上闻
'han'yuan'xun'guan'liu 汉苑寻官柳
'han'yun'er'san'yue 旱云二三月
'hao'chi'ge 皓齿歌
'hao'chi'sao'luo'jian 好持扫罗荐
'hao'ge 浩歌
'hao'hua'sheng'mu'mo 好花生木末
'hao'xue'chi'yi'zi 好学鸱夷子
'hao'yan'cheng'xiong'cai 豪彦骋雄材
'hao'zuo'yuan'yang'meng 好作鸳鸯梦
'he'bi'xu'bai'shou 何必须白首
'he'bi'xuan'jin'dou 呵臂悬金斗
'he'bing'hui'you'qin 鹤病悔游秦
'he'chu'zhu'ying'xiong 何处逐英雄
'he'dan'chu'men'qu 荷担出门去
'he'dang'jin'luo'nao 何当金络脑
'he'huan'bu'cheng'xi 何患不成蹊
'he'huan'yi'zuo'he'wei 何患一作何畏
'he'nan'fu'shi'shi'er'yue'le'ci'bing'run'yue 河南府试十二月乐词并闰月
'he'neng'fu'hu'wei 何能伏虎威
'he'pu'ju'zi'rong 河蒲聚紫茸
'he'pu'wu'ming'zhu 合浦无明珠
'he'qiao'he'jin'zhong 河桥阂禁钟
'he'ren'gan'zheng'kan 何人敢正看
'he'ren'zhong'yang'bian 何忍重扬鞭
'he'ri'ci'jiao'hui 何日刺蛟回
'he'ri'mo'qing'shan 何日蓦青山
'he'shan'wei'kai'feng'ya'quan 阖扇未开逢猰犬
'he'sheng'chu'sai'liu 河声出塞流
'he'shi'hai'che'zai'bing'shen 何事还车载病身
'he'shi'zhe'gao'zhou 何事谪高州
'he'si'zhi'ji'lian 荷丝制机练
'he'tang'yi'shan 荷塘倚扇
'he'wei'fu'huang'jin 何为服黄金
'he'wu'zui'shang'xin 何物最伤心
'he'xu'wen'niu'ma 何须问牛马
'he'yang'ge 河阳歌
'he'yang'hua'xian 河阳花县
'he'yong'chi'dao 何用尺刀
'he'yong'qiang'zhi'yuan'hua'xin 何用强知元化心
'he'zhuan'shu'xiao'xiao 河转曙萧萧
'hei'fan'san'dian'tong'gu'ming 黑幡三点铜鼓鸣
'hei'qi'yun'shi'xuan'kong'ye 黑旗云湿悬空夜
'hei'yun'ya'cheng'cheng'yu'cui 黑云压城城欲摧
'hen'chang'hua'rong'xie 恨唱华容歇
'hen'xue'qian'nian'tu'zhong'bi 恨血千年土中碧
'heng'bo'hao'song'diao'ti'jin 横波好送雕题金
'heng'chuan'zui'mian'bai'zhou'xian 横船醉眠白昼闲
'heng'mei'cu'jin'sheng'hong'wei 横楣粗锦生红纬
'heng'shan'tie'qi'qing'jin'qiang 恒山铁骑请金枪
'heng'ting'shu'jing'kong'tu'se 横庭鼠径空土涩
'heng'yin'tu'jin'yin'ti'hua 横茵突金隐体花
'hong'bi'lan'shan'xuan'pei'dang 红壁阑珊悬佩珰
'hong'long'shu'ling'xiang 鸿珑数铃响
'hong'long'yu'gou'kai'tian'men 鸿龙玉狗开天门
'hong'sha'man'gui'xiang 红沙满桂香
'hong'tuo'mei'hui'xiang 红脱梅灰香
'hong'xia'shao'chu'dong'nan'ya 红霞梢出东南涯
'hong'xian'niao'yun'yan'shen'si 红弦袅云咽深思
'hong'ya'xiao'sheng'rao'tian'lai 洪崖箫声绕天来
'hong'you'fu'hua'yi 红油覆画衣
'hou'chong'si'lu'pu 候虫嘶露朴
'hou'jie'huang'jin'da'ru'dou 后解黄金大如斗
'hou'tiao'duan'nong'ai 侯调短弄哀
'hou'ye'jie'pan'ni 厚叶皆蟠腻
'hou'yuan'zao'jing'ge 后园凿井歌
'hu'die'fei'yi'zuo'hu'die'wu 蝴蝶飞一作蝴蝶舞
'hu'fa'gou'zu'li 户乏诟租吏
'hu'jiao'yin'bei'feng 胡角引北风
'hu'kuo'xian'meng'ma 虎鞹先蒙马
'hu'long'geng'yan'zhong'yao'cao 呼龙耕烟种瑶草
'hu'luo'jiang'xing'qu 护落将行去
'hu'po'nong 琥珀浓
'hu'qin'jin'ri'hen 胡琴今日恨
'hu'wei'ma 虎为马
'hu'wei'xiao'ren 胡为销人
'hu'xing'zhao'gui'xin'bei'pan 呼星召鬼歆杯盘
'hu'yan'ming'shen'jiao 縠烟暝深徼
'hu'yi'zhou'tian'zi 忽忆周天子
'hu'yi'zuo'he'qi'nai'ju'yi'zuo'qi'nai'jun 葫一作禾其奈居一作其奈君
'hu'zhong'huan'tian'yun'bu'kai 壶中唤天云不开
'hu'zhong'qu 湖中曲
'hu'zhong'yi'zuo'tong'hu 壶中一作铜壶
'hua'bei'bei'guo'sao 花悲北郭骚
'hua'cheng'liu'an'chou'sha'ren 花城柳暗愁杀人
'hua'e'xue'chun'bi 画蛾学春碧
'hua'e'yi'zuo'fu'e 画蛾一作拂蛾
'hua'fang'ye'dao'hong'shou'gong 花房夜捣红守宫
'hua'feng'man'qin'dao 花风满秦道
'hua'guang'bian'liang'jie 花光变凉节
'hua'he'ye'zhu'rong 花合靥朱融
'hua'jiao'dong'cheng 画角东城
'hua'ju'zhi'cui'qing'ru'cong 华裾织翠青如葱
'hua'lan'gui'shu'xuan'qiu'xiang 画栏桂树悬秋香
'hua'long'pan'pan'shang'zi'yun 花龙盘盘上紫云
'hua'lou'yu'feng'sheng'jiao'ning 花楼玉凤声娇狞
'hua'man'he'xing'zhou 花蔓阂行辀
'hua'niang'zan'sui'tuo 花娘簪绥妥
'hua'pao'bai'ma'bu'gui'lai 花袍白马不归来
'hua'qing'yuan'zhong'fan'shi'tang 华清源中矾石汤
'hua'que'ou'gen'se 花缺藕根涩
'hua'qun'cui'cai'bu'qiu'chen 花裙綷縩步秋尘
'hua'rong'bi'ying'sheng'wan'han 华容碧影生晚寒
'hua'ru'pu'yi'lou 花入曝衣楼
'hua'shao'zhong'shan'cheng 花烧中潬城
'hua'shi'zi'cang'lao 华实自苍老
'hua'tai'yu'mu'chun'ci'qu 花台欲暮春辞去
'hua'xian'su'guan'sheng'qian'fan 画弦素管声浅繁
'hua'yan'gu'chui'wu'tong'zhu 华筵鼓吹无桐竹
'hua'you'qu'bing'xu 花游曲并序
'hua'zhi'cao'man'yan'zhong'kai 花枝草蔓眼中开
'hua'zhi'ru'lian'bai'ri'chang 花枝入帘白日长
'hua'zuo'jin'ri'jing'hua'chun 化作今日京华春
'huai'zhong'yi'fang'ban 怀中一方板
'huan'hui'qian'ren'yu 阛阓千人语
'huan'jia'bai'bi'wei'shang'tou 还家白笔未上头
'huan'jia'yi'ri'yu 还家一日余
'huang'chen'qing'shui'san'shan'xia 黄尘清水三山下
'huang'di'hou 黄地厚
'huang'diao'duan'di'chui 篁掉短笛吹
'huang'e'chu'chu'zuo 黄娥初出座
'huang'e'die'wu'qian'nian'gong 黄鹅跌舞千年觥
'huang'fen'you'shan'ji'lang'zhu 黄粉油衫寄郎主
'huang'feng'xiao'wei'pu'hua'gui 黄蜂小尾扑花归
'huang'gou'gu'shui'guang'ru'dao 荒沟古水光如刀
'huang'han'shi'er'di 皇汉十二帝
'huang'he'bing'he'yu'long'si 黄河冰合鱼龙死
'huang'hun'fang'wo'lai 黄昏访我来
'huang'jia'dong 黄家洞
'huang'jin'bai'yi'kuang'jia'chen 黄金百镒贶家臣
'huang'long'jiu'bie'jing 黄龙就别镜
'huang'qi'jiu'yue'dao'cha'ya 荒畦九月稻叉牙
'huang'sang'yin'lu'su'gong'lian 黄桑饮露窣宫帘
'huang'tian'e'yun'you'ceng'lie 皇天厄运犹曾裂
'huang'tian'xin'zai'yang'shen'ji 皇天新栽养神骥
'huang'ting'liu'wei'guan 黄庭留卫瓘
'huang'tou'lang 黄头郎
'huang'tu'kua'si'hai 皇图跨四海
'hui'dai'chun'ri'yan 会待春日晏
'hui'dao'bu'ru'mi'meng'tian 挥刀不入迷蒙天
'hui'feng'song'ke'chui'yin'huo 回风送客吹阴火
'hui'hua'yi'lao'tao'ye'chang 蕙花已老桃叶长
'hui'kan'nan'mo'shang 回看南陌上
'hui'nuan'can'xiang'zhu 灰暖残香炷
'hui'xu'zhong'yin'bei'hai 会须钟饮北海
'hui'xue'wu'liang'dian 回雪舞凉殿
'huo'jing'wen'quan'zai'he'chu 火井温泉在何处
'huo'qi'yi'zuo'da'qi'xin'yi'zuo'qin'pai'yi'zuo'tiao 火旗一作大旗新一作亲排一作挑
'huo'xi'nao'xiong'he'zu'yun 臛蠵臑熊何足云
'ji'ba'long'tou'su 饥拔陇头粟
'ji'ce'ren'man'er 羁策任蛮儿
'ji'chang'xing'xuan'liu 鸡唱星悬柳
'ji'chen'fa'liang'si 羁臣发凉思
'ji'chen'shou'zhun'jian 羁臣守迍贱
'ji'chong'bu'shi'cui'sui'huang 饥虫不食摧碎黄
'ji'dai'pi'hou'men 戟带披侯门
'ji'gan'heng'long'ju 戟干横龙簴
'ji'han'ping'cheng'xia 饥寒平城下
'ji'hui'tian'shang'zang'shen'xian 几回天上葬神仙
'ji'hun'meng'zhong'yu 羁魂梦中语
'ji'jiao'qing'han'chen 鸡叫清寒晨
'ji'jing'wo'gan'peng 棘径卧干蓬
'ji'jiu'er'bie'qin 祭酒而别秦
'ji'ju'nan'shan 箕踞南山
'ji'men'bai'yu'shui 蓟门白于水
'ji'ren'ba'chang'xiao'long'cong 鸡人罢唱晓珑璁
'ji'sheng'xu'ji'yang 己生须己养
'ji'sui'zuo'jin'tong'xian'ren'ci'han'ge 吉遂作金铜仙人辞汉歌
'ji'tuo'gu 击鼍鼓
'ji'wei'bian 棘为鞭
'ji'wo'gu'cha'ya 饥卧骨查牙
'ji'xiao'duan'dong'ye 讥笑断冬夜
'ji'xin'ru'tu'liao 羁心如荼蓼
'ji'yu'xiang'tan'cao 急语向檀槽
'jia'dao'kai'dong'men 夹道开洞门
'jia'gong'lv'gui'xu'qu 贾公闾贵婿曲
'jia'guang'xiang'ri'jin'lin'kai 甲光向日金鳞开
'jia'luo'dang'men'ci'chun'xian 夹罗当门刺纯线
'jia'men'hou'zhong'yi 家门厚重意
'jia'quan'shi'yan'liang'san'jing 家泉石眼两三茎
'jia'ren'yi'hu'jiu 佳人一壶酒
'jia'ren'zhe'duan'men'qian'liu 家人折断门前柳
'jia'shan'yuan'qian'li 家山远千里
'jia'si'shuang'chuan'duan 甲丝双串断
'jia'ting'shu'xiao'chuan 家庭疏筱穿
'jia'yu'chun'feng'bu'yong'mei 嫁与春风不用媒
'jia'zhong'ma'pin'si 甲重马频嘶
'jia'zhu'qian'tang'dong'fu'dong 家住钱塘东复东
'jian'chi'xiao'ying'xie 剪翅小鹰斜
'jian'du'chun'geng'tu'gao'hei 健犊春耕土膏黑
'jian'fu'ding'wen'ya 箭箙钉文牙
'jian'guang'zhao'kong'tian'zi'bi 剑光照空天自碧
'jian'han'ji'tong'da 笺翰既通达
'jian'ke'che'pan'yin 剑客车盘茵
'jian'long'ye'jiao'jiang'jun'xian 剑龙夜叫将军闲
'jian'mai'ruo'ye'xi'shui'jian 见买若耶溪水剑
'jian'pa'xuan'lan'ying 剑杷悬兰缨
'jian'she'zhan'qiang'luo 箭射欃枪落
'jian'xia'po 剑匣破
'jiang'cheng'hai'jing'shen'mu'yan 江澄海净神母颜
'jiang'dao'zhi'jia'nian 江岛滞佳年
'jiang'e'ti'zhu'su'nv'chou 江娥啼竹素女愁
'jiang'e'yi'zuo'xiang'e 江娥一作湘娥
'jiang'fa 将发
'jiang'gan'you'ke'zhen'ke'nian 江干幼客真可念
'jiang'huan'jing'shang'zhi'jin'chan 将鬟镜上掷金蝉
'jiang'hui'ri'yue'xian'fan'zhang 将回日月先反掌
'jiang'jun'chi'bai'ma 将军驰白马
'jiang'jun'zhen'xiu'fu'jian'e 将军振袖拂剑锷
'jiang'lou'qu 江楼曲
'jiang'nan'nong 江南弄
'jiang'nan'you'qing 江南有情
'jiang'pan'chun 江畔春
'jiang'sha'yi'zuo'jiang'ya 江沙一作江涯
'jiang'shang'tuan'tuan'tie'han'yu 江上团团贴寒玉
'jiang'song'chu'xiang'wang 将送楚襄王
'jiang'tou'zha'shu'xiang 江头楂树香
'jiang'tu'hua'shui'hong 江图画水荭
'jiang'wei'wu'wang'ba'jian'can 将喂吴王八茧蚕
'jiang'yu'bu'shi'xian'sha'li 江鱼不食衔沙立
'jiang'zhong'lv'wu'qi'liang'bo 江中绿雾起凉波
'jiao'chun'yang'liu'han'xi'yan 娇春杨柳含细烟
'jiao'de'sheng'ning 教得生狞
'jiao'gui'qing'chang'xi 椒桂倾长席
'jiao'hua'mi'lu'han 蕉花密露寒
'jiao'hua'zhui'hong'shi'yun'jian 椒花坠红湿云间
'jiao'jian'yi'zuo'jiao'dao'sheng'lv'chen'yi'zuo'xiang'wu'hun 交剑一作绞刀生绿尘一作香雾昏
'jiao'jiao'dan'fei'zhi 矫矫单飞至
'jiao'long'rou 嚼龙肉
'jiao'nuan'pan'gong'yi 角暖盘弓易
'jiao'qi'si'heng'ni 骄气似横霓
'jiao'rao'fen'zi'hong 娇饶粉自红
'jiao'sheng'man'tian'qiu'se'li 角声满天秋色里
'jiao'shi'chang'sao'sao 矫士常慅慅
'jiao'si'zi'yan'ta'hua'xing 娇嘶紫燕踏花行
'jiao'tai'pi'lao'ji'li'ci 蛟胎皮老蒺藜刺
'jiao'yuan'wan'chui'bei'hao'hao 郊原晚吹悲号号
'jie'huan'lin'jing'li'xiang'chuang 解鬟临镜立象床
'jie'hui'fei'jin'gu'jin'ping 劫灰飞尽古今平
'jie'ma'tou'jiu'lin 解马投旧邻
'jie'shou'jin'si'qun 结绶金丝裙
'jie'song'ke'mao'ji'xin'tu 解送刻毛寄新兔
'jie'wen'zhu'cheng'li 借问筑城吏
'jin'cao'pi'pa'ye'cheng'cheng 金槽琵琶夜枨枨
'jin'chan'ya'ya'lan'zhu'xiang 金蟾呀呀兰烛香
'jin'chan'yu 锦襜褕
'jin'chuang'xiao'wo'yu'ji'leng 锦床晓卧玉肌冷
'jin'chun'hai'bu'gui 今春还不归
'jin'dai'xiu'jing'yan 锦带休惊雁
'jin'e'ping'feng'shu'shan'meng 金鹅屏风蜀山梦
'jin'feng'ci'yi'zhu'ti'han 金凤刺衣著体寒
'jin'feng'dian'qiu 今风殿秋
'jin'gu'he'chu'jin 今古何处尽
'jin'hu'cu'qiu'pen'xue'ban 金虎蹙裘喷血斑
'jin'huan'ya'pei'yao'ling'long 金环压辔摇玲珑
'jin'jia'xiang'nong'qian'lun'ming 金家香弄千轮鸣
'jin'jiang'xia'dong'dao 今将下东道
'jin'ke'zhuan'zi'hong'qu'pan 金窠篆字红屈盘
'jin'lie'wei'zhang'ya 金埒畏长牙
'jin'lu'xi'zhu'tong 金炉细炷通
'jin'men'shi'ge'zhi'qing'you 金门石阁知卿有
'jin'ni'tai'shan'ding 金泥泰山顶
'jin'nian'shui'qu'chun'sha'shang 今年水曲春沙上
'jin'pu'zhui'ri'za'hong'guang 金铺缀日杂红光
'jin'qiao'e'ji'chou'mu'yun 金翘峨髻愁暮云
'jin'qiu'si'qu'qiu 今秋似去秋
'jin'qu'xiu'mian'han'di'pang 锦祛绣面汉帝旁
'jin'ri'chang'pu'hua 今日菖蒲花
'jin'ri'fei'xi'ri 今日非昔日
'jin'ri'jia'wen'yang 今日稼文鸯
'jin'ri'jian'yin'pai 今日见银牌
'jin'ri'si'xiang'wang 今日似襄王
'jin'ri'zao'kong'tong 今日凿崆峒
'jin'shui'nan'shan'ying 锦水南山影
'jin'su'dui'bian'ku'ling'shu 金粟堆边哭陵树
'jin'sui'he'chang'lai'sui'chi 今岁何长来岁迟
'jin'tang'xian'shui'yao'bi'yi 金塘闲水摇碧漪
'jin'tong'xian'ren'ci'han'ge'bing'xu 金铜仙人辞汉歌并序
'jin'tou'song'bie'chang'liu'shui 津头送别唱流水
'jin'xi'sui'hua'luo 今夕岁华落
'jin'xiao'hao'feng'yue 今宵好风月
'jin'yan'wu'shan'bo 仅厌舞衫薄
'jin'ye'ming'yu'yan 今夜鸣玉宴
'jin'yu'gong'zi'jia'shan'chang 金鱼公子夹衫长
'jin'yu'gua'zai'shen 金鱼挂在身
'jin'yuan'xuan'lian'ge'yu'guang 禁院悬帘隔御光
'jin'zhao'hua'mei'zao 今朝画眉早
'jin'zhao'qing'jian'qu 今朝擎剑去
'jin'zhao'shui'shi'niu'hua'ren 今朝谁是拗花人
'jin'zhao'xiang'qi'ku 今朝香气苦
'jin'zhao'zhi'ji'qian 今朝值几钱
'jin'zhao'zui'cheng'wai 今朝醉城外
'jing'cheng 京城
'jing'chuan'fu'dao'you'jiao'fang 径穿复道游椒房
'jing'guo'xin'lan'man 京国心烂漫
'jing'ji'qian'hua'shui 井汲铅华水
'jing'kan'lin'qing'qi 井槛淋清漆
'jing'qi'fu'rong'shui'xin'zu 惊起芙蓉睡新足
'jing'sha'yuan 经沙苑
'jing'shang'lu'lu'chuang'shang'zhuan 井上辘轳床上转
'jing'shi'zhui'yuan'ai 惊石坠猿哀
'jing'shuang'luo'su'si 惊霜落素丝
'jing'zhong'liao'zi'xiao 镜中聊自笑
'jing'zhong'shuang'lei'zi 镜中双泪姿
'jiu'ba'zhang'da'che'suo'zeng'shi'shi'zhang'chu'xiao'lu'mu 酒罢张大彻索赠诗时张初效潞幕
'jiu'bei'ruo'ye'lu 酒杯箬叶露
'jiu'bu'dao'liu'ling'fen'shang'tu 酒不到刘伶坟上土
'jiu'cong'dong'fang'zhuan 酒从东方转
'jiu'gong'wan'dai'xin'cheng'huan 酒觥绾带新承欢
'jiu'gong'yi'zuo'jiu'yu 酒觥一作酒余
'jiu'han'he'yue'shi'dao'xing 酒酣喝月使倒行
'jiu'jie'chang'pu'shi'shang'si 九节菖蒲石上死
'jiu'jing'zhao'yao'guan'dang'zhong 九精照耀贯当中
'jiu'jing'zhao'yao'yi'zuo'yuan'jing'geng'geng 九精照耀一作元精耿耿
'jiu'jiu'chi'di'qi'long'lai 啾啾赤帝骑龙来
'jiu'ke'bei'han'nan'shan'si 酒客背寒南山死
'jiu'lan'gan'jue'zhong'qu'zhai 酒阑感觉中区窄
'jiu'qing'liu'guan'jie'wang'lv 九卿六官皆望履
'jiu'se'shang'lai'chi 酒色上来迟
'jiu'shan'jing'lv'lei'hua'hong 九山静绿泪花红
'jiu'xi'li'chun'hui 酒喜沥春灰
'jiu'yue 九月
'jiu'yue'da'ye'bai 九月大野白
'jiu'zhong'dao'wo'nan'shan'lv 酒中倒卧南山绿
'jiu'zhong'gao'heng'pai'jian'ti 厩中高桁排蹇蹄
'jiu'zhong'jie'rou'ma 厩中皆肉马
'jiu'zhou'ren'shi'jie'ru'ci 九州人事皆如此
'ju'bi'yi'shan'he 巨鼻宜山褐
'ju'hua'chui'shi'lu 菊花垂湿露
'ju'jiao'chen'guang'xi'hun 讵教晨光夕昏
'ju'shi'nan'shan'qi 讵是南山期
'ju'tou'wei'cheng 举头为城
'juan'qi'huang'he'xiang'shen'xie 卷起黄河向身泻
'juan'yi'qin'di 卷衣秦帝
'juan'yun'xiang'man'ci 罥云香蔓刺
'jue'bin'ku'chang'chen'bu'lun 绝膑刳肠臣不论
'jue'jian'ban'chuang'yue 觉见半床月
