'an'gen'zi 暗根子
'pao'si'tui'qi 炮四退七
'pao'si'tui'san 炮四退三
'pao'si'tui'si 炮四退四
'pao'si'tui'wu 炮四退五
'pao'si'tui'yi 炮四退一
'pao'wu'jin'ba 炮五进八
'pao'wu'jin'er 炮五进二
'pao'wu'jin'jiu 炮五进九
'pao'wu'jin'liu 炮五进六
'pao'wu'jin'qi 炮五进七
'pao'wu'jin'san 炮五进三
'pao'wu'jin'si 炮五进四
'pao'wu'jin'wu 炮五进五
'pao'wu'jin'yi 炮五进一
'pao'wu'ping'ba 炮五平八
'pao'wu'ping'er 炮五平二
'pao'wu'ping'jiu 炮五平九
'pao'wu'ping'liu 炮五平六
'pao'wu'ping'qi 炮五平七
'pao'wu'ping'san 炮五平三
'pao'wu'ping'si 炮五平四
'pao'wu'ping'yi 炮五平一
'pao'wu'tui'ba 炮五退八
'pao'wu'tui'er 炮五退二
'pao'wu'tui'jiu 炮五退九
'pao'wu'tui'liu 炮五退六
'pao'wu'tui'qi 炮五退七
'pao'wu'tui'san 炮五退三
'pao'wu'tui'si 炮五退四
'pao'wu'tui'wu 炮五退五
'pao'wu'tui'yi 炮五退一
'pao'yi'jin'ba 炮一进八
'pao'yi'jin'er 炮一进二
'pao'yi'jin'jiu 炮一进九
'pao'yi'jin'liu 炮一进六
'pao'yi'jin'qi 炮一进七
'pao'yi'jin'san 炮一进三
'pao'yi'jin'si 炮一进四
'pao'yi'jin'wu 炮一进五
'pao'yi'jin'yi 炮一进一
'pao'yi'ping'ba 炮一平八
'pao'yi'ping'er 炮一平二
'pao'yi'ping'jiu 炮一平九
'pao'yi'ping'liu 炮一平六
'pao'yi'ping'qi 炮一平七
'pao'yi'ping'san 炮一平三
'pao'yi'ping'si 炮一平四
'pao'yi'ping'wu 炮一平五
'pao'yi'tui'ba 炮一退八
'pao'yi'tui'er 炮一退二
'pao'yi'tui'jiu 炮一退九
'pao'yi'tui'liu 炮一退六
'pao'yi'tui'qi 炮一退七
'pao'yi'tui'san 炮一退三
'pao'yi'tui'si 炮一退四
'pao'yi'tui'wu 炮一退五
'pao'yi'tui'yi 炮一退一
'pi'ma'dan'dao 匹马单刀
'pian'jia'bu'hui 片甲不回
'qi'bing 七兵
'qi'dou'xing'bei'xiang'jia'lian'sai 七斗星杯象甲联赛
'qi'gui 棋规
'qi'gui'jiao'liu 棋规交流
'qi'he 骑河
'qi'li 棋理
'qi'li'cai'jue 棋例裁决
'qi'lian'da'shi 棋联大师
'qi'ma 起马
'qi'ma'dui'ting'zu 起马对挺卒
'qi'ma'ju 起马局
'qi'ma'shi'san'zhe 弃马十三着
'qi'ping 棋评
'qi'ping 棋枰
'qi'qu'xiang'qi'pai'ju'pu 奇趣象棋排局谱
'qi'shu 棋书
'qi'xiang'xian'che 弃象陷车
'qi'xie'da'shi 棋协大师
'qi'xin'gao'er'fu'bei'quan'guo'xiang'qi'jia'ji'lian'sai 启新高尔夫杯全国象棋甲级联赛
'qi'zhe 起着
'qi'zi'cheng'he 弃子成和
'qi'zi'jie'kun 弃子解困
'qi'zi'mou'zi 弃子谋子
'qi'zi'qu'shi 弃子取势
'qi'zi'ru'ju 弃子入局
'qi'zi'xian'zi 弃子陷子
'qi'zi'zhan'shu 弃子战术
'qi'zu 七卒
'qian'li'zhao'mian 千里照面
'qian'zhi'zhan'shu 牵制战术
'qiao'lian'cheng'ju 巧连成局
'qu'tou'ping'feng'ma 屈头屏风马
'quan'heng'huan'ji 权衡缓急
'san'bing 三兵
'san'che'nao'shi 三车闹士
'san'gu'cao'lu 三顾草庐
'san'ji'qi'shi 三级棋士
'san'xian'lian'dan 三仙炼丹
'san'zu 三卒
'sha'fa 杀法
'sha'qi 杀棋
'sha'zhe 杀着
'shan'lu 闪露
'shang'hai'jin'wai'tan 上海金外滩
'shang'wei 尚威
'she'xiao'jiu'da 舍小救大
'shen'ju 审局
'shen'ju'du'shi 审局度势
'shen'peng 申鹏
'shen'shi 审势
'shen'zhou'ba'jun 神州八骏
'shen'zi 审子
'sheng'ding 胜定
'sheng'shi 胜势
'shi'jiao'pao 士角炮
'shi'jiao'pao'dui'qi'ma'ju 士角炮对起马局
'shi'jiao'pao'dui'ting'zu 士角炮对挺卒
'shi'lin'guang'ji 事林广记
'shi'liu'jin'wu 士六进五
'shi'qing'ya'qu 适情雅趣
'shi'qing'ya'qu'xiang'qi'gu'pu'xin'bian 适情雅趣象棋古谱新编
'shi'si'jin'wu 士四进五
'shi'wu'jin'liu 士五进六
'shi'wu'jin'si 士五进四
'shi'wu'tui'liu 士五退六
'shi'wu'tui'si 士五退四
'shi'yong'can'ju 实用残局
'shi'zhan'zhong'de'wu'qu 实战中的误区
'shi'zi'de'shi 失子得势
'shi'zi'shi'shi 失子失势
'shu'xian 数闲
'shuai'liu'jin'yi 帅六进一
'shuai'liu'ping'wu 帅六平五
'shuai'liu'tui'yi 帅六退一
'shuai'si'jin'yi 帅四进一
'shuai'si'ping'wu 帅四平五
'shuai'si'tui'yi 帅四退一
'shuai'wu'jin'yi 帅五进一
'shuai'wu'ping'liu 帅五平六
'shuai'wu'ping'si 帅五平四
'shuai'wu'tui'yi 帅五退一
'shuan'lian 栓链
'shuan'lian'kun'di 拴链困敌
'shuang'bei'xian'jiu 双杯献酒
'shuang'che'cuo 双车错
'shuang'jiang 双将
'shuang'jing'jiu 双敬酒
'shuang'ma'yin'quan 双马饮泉
'shuang'pao'guo'he 双炮过河
'shuang'qi'bing 双弃兵
'shuang'xian'jiu'bei 双闲酒杯
'shun'pao 顺炮
'shun'pao'heng'che'dui'zhi'che 顺炮横车对直车
'shun'pao'zhi'che'bian'ma'dui'huan'kai'che 顺炮直车边马对缓开车
'shun'pao'zhi'che'dui'heng'che 顺炮直车对横车
'shun'pao'zhi'che'dui'huan'kai'che 顺炮直车对缓开车
'shun'pao'zhi'che'jin'qi'bing'dui'huan'kai'che 顺炮直车进七兵对缓开车
'shun'pao'zhi'che'wu'liu'pao'dui'heng'che 顺炮直车五六炮对横车
'shun'shou'pao 顺手炮
'si'che'xiang'jian 四车相见
'si'xian'qian'niu 丝线牵牛
'song'chi 送吃
'suan'du'shen'yuan 算度深远
'sun'yong'zheng 孙勇征
'suo'hou'dai'jian 锁喉带箭
'tai'jian'zhui'huang'di 太监追皇帝
'tao'han'ming 陶汉明
'tao'lue'yuan'ji 韬略元机
'te'ji'da'shi 特级大师
'te'ji'da'shi'xiang'qi'shi'zhan'bu'ju 特级大师象棋实战布局
'te'ji'guo'ji'da'shi 特级国际大师
'ti'chi 提吃
'tian'di'pao 天地炮
'tie'men'shuan 铁门栓
'tie'shen'che 贴身车
'tie'shi'jing'jiao 贴时竞叫
'ting'bing 挺兵
'ting'bing'dui'hai'zhong'pao 挺兵对还中炮
'ting'bing'dui'jin'gou'pao 挺兵对金钩炮
'ting'bing'dui'jin'ma 挺兵对进马
'ting'bing'dui'qi'ma 挺兵对起马
'ting'zhe 停着
'ting'zu 挺卒
'tong'xian'che 同线车
'tu'po'zhan'shu 突破战术
'tui'xiang 退象
'wan'chun'lin 万春林
'wang'bin 王斌
'wang'jia'liang 王嘉良
'wang'kong'xing 王孔兴
'wang'lin'na 王琳娜
'wang'yang 汪洋
'wang'yue'fei 王跃飞
'wei'kun 围困
'wen'bu'huan'gong 稳步缓攻
'wo'cao 卧槽
'wo'cao'ma 卧槽马
'wo'xin'ma 窝心马
'wo'xin'pao 窝心炮
'wu'ba'pao'dui'ping'feng'ma 五八炮对屏风马
'wu'ba'pao'jin'san'bing'dui'ping'feng'ma 五八炮进三兵对屏风马
'wu'ba'pao'jin'zheng'ma'dui'ping'feng'ma 五八炮进正马对屏风马
'wu'gen'zi 无根子
'wu'jun'qiang 武俊强
'wu'liu'pao 五六炮
'wu'liu'pao'dui'fan'gong'ma 五六炮对反宫马
'wu'qi'pao'dui'fan'gong'ma 五七炮对反宫马
'wu'qi'pao'dui'ping'feng'ma 五七炮对屏风马
'wu'qi'pao'shuang'qi'bing'dui'fan'gong'ma 五七炮双弃兵对反宫马
'wu'xia 伍霞
'wu'yang'bei 五羊杯
'xi'qi'bu'bei 袭其不备
'xia'men'gang'wu'kong'gu 厦门港务控股
'xian'fu 先负
'xian'qi'hou'qu 先弃后取
'xian'ren'zhi'lu 仙人指路
'xian'ren'zhi'lu'dui'jin'gou'pao 仙人指路对金钩炮
'xian'ren'zhi'lu'dui'zu'di'pao 仙人指路对卒底炮
'xian'ren'zhi'lu'dui'zu'di'pao'fei'zuo'xiang 仙人指路对卒底炮飞左象
'xian'ren'zhi'lu'dui'zu'di'pao'shang'ma 仙人指路对卒底炮上马
'xian'sheng 先胜
'xian'zhe 闲着
'xiang'jiu'jin'qi 相九进七
'xiang'jiu'tui'qi 相九退七
'xiang'qi'can'ju'xin'lun 象棋残局新论
'xiang'qi'jin'jiu 相七进九
'xiang'qi'jin'wu 相七进五
'xiang'qi'qi'li'yu'dai'pan'ju'mian'de'cai'jue 象棋棋例与待判局面的裁决
'xiang'qi'shi'hua 象棋史话
'xiang'qi'shi'jia 象棋世家
'xiang'qi'shi'jue 象棋十诀
'xiang'qi'shi'zhan'jing'miao'sha'fa'li 象棋实战精妙杀法例
'xiang'qi'tui'wu 相七退五
'xiang'qi'xing'shi'pan'duan 象棋形势判断
'xiang'qi'ye'yu'er'ji 象棋业余贰级
'xiang'qi'ye'yu'lu'ji 象棋业余陆级
'xiang'qi'ye'yu'san'ji 象棋业余叁级
'xiang'qi'ye'yu'si'ji 象棋业余肆级
'xiang'qi'ye'yu'wu'ji 象棋业余伍级
'xiang'qi'ye'yu'yi'ji 象棋业余壹级
'xiang'qi'zhong'ju'sha'shi 象棋中局杀势
'xiang'san'jin'wu 相三进五
'xiang'san'jin'yi 相三进一
'xiang'san'tui'wu 相三退五
'xiang'san'tui'yi 相三退一
'xiang'wu'jin'qi 相五进七
'xiang'wu'jin'san 相五进三
'xiang'wu'tui'qi 相五退七
'xiang'wu'tui'san 相五退三
'xiang'yi'jin'san 相一进三
'xiang'yi'tui'san 相一退三
'xie'jing 谢靖
'xie'kui 谢岿
'xie'si'ming 谢思明
'xie'ye'jian 谢业枧
'xin'wu'can'bian 心武残编
'xing'qi'chu'li 行棋处理
'xiong'you'quan'ju 胸有全局
'xu'chao 徐超
'xu'jian'miao 徐健秒
'xu'tian'hong 徐天红
'xu'tian'li 徐天利
'xu'yin'chuan 许银川
'xu'yin'chuan'zhong'can'ju'jing'hua 许银川中残局精华
'xuan'ji'tu'po 选机突破
'xue'wen'qiang 薛文强
'xun'he'pao 巡河炮
'yan'cheng'long 颜成龙
'yan'mu'jiang 言穆江
'yan'wen'qing 阎文清
'yang'chang'jiu'qu 羊肠九曲
'yang'de'qi 杨德琪
'yang'guan'lin 杨官璘
'yang'jiao'shi 羊角士
'yang'xiao'ping 杨小平
'yao'sha 要杀
'yi'da'yi'xian 一打一闲
'yi'gong'huai'gong 以攻坏攻
'yi'guo'he'bing 已过河兵
'yi'huan'zhi'ji 以缓制急
'yi'ji'qi'shi 一级棋士
'yi'jiang'yi'sha 一将一杀
'yi'jiang'yi'zhuo 一将一捉
'yi'jing'zhi'dong 以静制动
'yi'kuai'da'man 以快打慢
'yi'lin'jing'hua 弈林精华
'yi'lin'xin'bian 弈林新编
'yi'lin'xiong'shi 弈林雄狮
'yi'sha'yi'zhuo 一杀一捉
'yi'shi'shuang'diao 一矢双雕
'yi'tian 弈天
'yi'wen'dui'wen 以稳对稳
'yi'zhao'liang'yong 一着两用
'yin'di'bian'hua 因敌变化
'ying'zhe 应着
'yong'shi'zhi'du 用时制度
'you'gen'zi 有根子
'yu'bing 宇兵
'yu'shou'yu'gong 寓守于攻
'yu'you'hua 于幼华
'yuan'hong'liang 袁洪梁
'yuan'shen'hai'kuo 渊深海阔
'yuan'wei'zu 原位卒
'yuan'yang'pao 鸳鸯炮
'yun'tiao 运调
'yun'xu'zhe'fa 允许着法
'yun'zi'de'zi 运子得子
'yun'zi'duo'xian 运子夺先
'yun'zi'he'ji 运子合击
'yun'zi'jie'kun 运子解困
'yun'zi'qu'shi 运子取势
'yun'zi'ru'ju 运子入局
'yun'zi'zhan'shu 运子战术
'zhan'ju'yao'dao 占据要道
'zhan'lei 占肋
'zhang'guo'feng 张国凤
'zhang'jiang 张江
'zhang'qiang 张强
'zhang'shen'hong 张申宏
'zhang'ying'fu 张影富
'zhao'jiang 照将
'zhao'qing'ge 赵庆阁
'zhao'ru'quan 赵汝权
'zhao'xin'xin 赵鑫鑫
'zhao'yin 赵寅
'zhe'jiang'qiu'guan 浙江球冠
'zhe'zhong'you'shu 着中有数
'zheng'tou'che 正头车
'zheng'yi'hong 郑一泓
'zhi'yi'qi'ping 智弈棋评
'zhi'yi'xiang'qi'lun'tan 智弈象棋论坛
'zhong'gong'pao 中宫炮
'zhong'guo'gan'su'tong'xin'yi'dong 中国甘肃通信移动
'zhong'guo'xiang'qi'bing'fa'zhong 中国象棋兵法种
'zhong'guo'xiang'qi'jiao'ke'shu 中国象棋教科书
'zhong'guo'xiang'qi'ru'men'yu'ti'gao'wen'da 中国象棋入门与提高问答
'zhong'ju'cheng'sha 中局成杀
'zhong'ju'de'zi 中局得子
'zhong'ju'duo'xian 中局夺先
'zhong'ju'mou'he 中局谋和
'zhong'ju'zhan'you 中局占优
'zhong'pan'bo'sha 中盘搏杀
'zhong'pao 重炮
'zhong'pao 中炮
'zhong'pao'dui'ban'tu'lie'pao 中炮对半途列炮
'zhong'pao'dui'bu'shi'lian'pao 中炮对补士敛炮
'zhong'pao'dui'dan'ti'ma 中炮对单提马
'zhong'pao'dui'die'pao 中炮对叠炮
'zhong'pao'dui'fan'gong'ma 中炮对反宫马
'zhong'pao'dui'gui'bei'pao 中炮对龟背炮
'zhong'pao'dui'heng'che'lian'pao 中炮对横车敛炮
'zhong'pao'dui'san'bu'hu'zhuan'lie'pao 中炮对三步虎转列炮
'zhong'pao'dui'you'san'bu'hu 中炮对右三步虎
'zhong'pao'dui'yuan'yang'pao 中炮对鸳鸯炮
'zhong'pao'dui'zuo'zhong'pao'zhuan'lie'pao 中炮对左中炮转列炮
'zhong'pao'guo'he'che'bian'ma'dui'ping'feng'ma'zuo'ma'pan'he 中炮过河车边马对屏风马左马盘河
'zhong'pao'guo'he'che'dui'ping'feng'ma'gao'che'bao'ma 中炮过河车对屏风马高车保马
'zhong'pao'guo'he'che'dui'ping'feng'ma'heng'che 中炮过和车对屏风马横车
'zhong'pao'guo'he'che'dui'ping'feng'ma'ping'pao'dui'che 中炮过河车对屏风马平炮兑车
'zhong'pao'guo'he'che'dui'ping'feng'ma'shang'shi'xiang 中炮过河车对屏风马上士象
'zhong'pao'guo'he'che'dui'ping'feng'ma'zuo'ma'pan'he 中炮过河车对屏风马左马盘河
'zhong'pao'guo'he'che'ji'jin'zhong'bing'dui'ping'feng'ma'ping'pao'dui'che 中炮过河车急进中兵对屏风马平炮兑车
'zhong'pao'guo'he'che'jin'zhong'bing'dui'ping'feng'ma'liang'tou'she 中炮过河车进中兵对屏风马两头蛇
'zhong'pao'guo'he'che'qi'lu'ma'dui'ping'feng'ma'ping'pao'dui'che 中炮过河车七路马对屏风马平炮兑车
'zhong'pao'guo'he'che'zheng'ma'dui'ping'feng'ma'liang'tou'she 中炮过河车正马对屏风马两头蛇
'zhong'pao'heng'che'dui'fan'gong'ma 中炮横车对反宫马
'zhong'pao'heng'che'pan'tou'ma'dui'ping'feng'ma 中炮横车盘头马对屏风马
'zhong'pao'heng'che'qi'lu'ma'dui'ping'feng'ma 中炮横车七路马对屏风马
'zhong'pao'jin'qi'bing'guo'he'che'dui'fan'gong'ma 中炮进七兵过河车对反宫马
'zhong'pao'qi'lu'ma'dui'san'bu'hu'zhuan'lie'pao 中炮七路马对三步虎转列炮
'zhong'pao'xun'he'pao'dui'fan'gong'ma 中炮巡河炮对反宫马
'zhong'pao'xun'he'pao'dui'ping'feng'ma'san'bu'hu 中炮巡河炮对屏风马三步虎
'zhong'pao'zhi'che'dui'ping'feng'ma'zu'he'kou'pao 中炮直车对屏风马卒河口炮
'zhong'pao'zhi'che'dui'zuo'pao'feng'che'zhuan'ban'tu'lie'pao 中炮直车对左炮封车转半途列炮
'zhong'pao'zhi'che'qi'lu'ma'dui'ping'feng'ma'shuang'pao'guo'he 中炮直车七路马对屏风马双炮过河
'zhong'yuan'wu'bao 中原五豹
'zhong'zu 中卒
'zhu'cong'si 朱琮思
'zhu'xiang'zhai 竹香斋
'zhuang'yu'ting 庄玉庭
'zi'lai'chu'dong'wu'di'shou'xiang'qi'gu'pu'xin'bian 自来出洞无敌手象棋古谱新编
'zi'li'jia'zhi 子力价值
'zu'ai'di'jun 阻碍敌军
'zu'dang 阻挡
'zu'di'pao 卒底炮
'zu'lin'xian 卒林线
'zuo'sha 做杀
'zuo'shi'jiao'pao 左士角炮
'zuo'wen'jing 左文静
'zuo'zhong'pao 左中炮
