'ai'ai'feng'yan'wan 暧暧风烟晚
'ci'shi'xiang'wang'bu'xiang'wen 此时相望不相闻
'ci'weng'bai'tou'zhen'ke'lian 此翁白头真可怜
'ci'ye'jiang'zhong'yue 此夜江中月
'ci'zhong'feng'sui'yan 此中逢岁晏
'cong'bian'you'xin'mu 丛边有新墓
'cong'ci'bu'xiang'jian 从此不相见
'cong'ci'feng'lin'guan'wai'shi 从此凤林关外事
'cong'ci'jian'shan'chuan 从此间山川
'cong'ci'qie'zhong'cang 从此箧中藏
'cong'lai'bu'ru'chou 从来不如丑
'cong'lai'zi'yin'wu'yi'bei 从来自隐无疑背
'cong'ta'sheng'wang'si 从他生网丝
'cui'guo'fu'cai'lian'qu 崔国辅采莲曲
'cui'guo'fu'dui'jiu 崔国辅对酒
'cui'guo'fu'jie'yu'yuan 崔国辅婕妤怨
'cui'guo'fu'wang'zhao'jun 崔国辅王昭君
'cui'guo'fu'xiang'yang'qu'er'shou 崔国辅襄阳曲二首
'cui'guo'fu'yuan'shi'er'shou 崔国辅怨诗二首
'cui'guo'fu'zi'ye'dong'ge 崔国辅子夜冬歌
'cui'hao'xiang'feng'xing 崔颢相逢行
'cui'shi'jie'yu'yuan 崔湜婕妤怨
'cui'xiu'xi'zhu'fen 翠袖洗朱粉
'cui'zhuang'shi'xin 摧壮士心
'cun'wang'ren'da'jun 存亡任大钧
'cun'xin'shi'yu'chang'xiang'shou 寸心誓与长相守
'cun'zhong'tian'she'niang 村中田舍娘
'da'bian'fu'tong'chuan 大艑浮通川
'da'dao'shi'wen'kang'zhi'yan'fu 大道是文康之严父
'da'di'hua'yue'ye 大堤花月夜
'da'di'nv'er'lang'mo'xun 大堤女儿郎莫寻
'da'di'shang 大堤上
'da'di'xing'le'chu 大堤行乐处
'da'er'fan'cai'mu 大儿贩材木
'da'fu'cai'wan'su 大妇裁纨素
'da'ge'hu'wu'xing 大歌胡无行
'da'han'wu'zhong'ce 大汉无中策
'da'he'liu'bai'zu 大河流败卒
'da'jiang'sui'sui'yin'sha'lu 大江碎碎银沙路
'da'jun'ruo'tian'fu 大君若天覆
'da'liang'ce 大梁侧
'da'niu'shu 大牛竖
'da'peng'shua'he'xie'ming'bo 大鹏刷翮谢溟渤
'da'ren'nie'wu'dang'an'zhi 大人臲屼当安之
'da'sao'cai'fu'rong 大嫂采芙蓉
'da'wan'ti'hu'shi 大绾提壶使
'da'xian'hu'bian'yu'bu'ce 大贤虎变愚不测
'da'xiang'hong'hong'ru'yin'lei 大响谹谹如殷雷
'da'xiao'zi'bei'yin 达晓自悲吟
'da'yu'li'bai'chuan 大禹理百川
'da'yun'qie'ru'ci 大运且如此
'da'ze'jue'fang'yu 大泽绝方隅
'dai'ke'deng'lou'xiang'shui'kan 待客登楼向水看
'dai'shu'lun'chang'men'yuan 戴叔伦长门怨
'dai'shu'lun'sai'shang'qu'er'shou 戴叔伦塞上曲二首
'dan'gan'jiu'xiang'si 但感久相思
'dan'ge'da'feng'yun'fei'yang 但歌大风云飞扬
'dan'guai'bang'ren'yu 但怪傍人愚
'dan'jian'bei'niao'hao'ku'mu 但见悲鸟号枯木
'dan'jian'chang'jiang'song'liu'shui 但见长江送流水
'dan'kan'jiu'lai'ge'wu'di 但看旧来歌舞地
'dan'kong'cheng'pi'mei 但恐乘疲没
'dan'kong'mu'wang'ba'jun 但恐穆王八骏
'dan'ling'yi'wu'de'suo 但令一物得所
'dan'xin'ci'he'you 丹心此何有
'dan'ying'shu'dou'lu 但营数斗禄
'dan'you'dong'gui'ri 但有东归日
'dan'yuan'jun'en'gu'qie'shen 但愿君恩顾妾深
'dan'zhao'he'fei'yang 丹旐何飞扬
'dan'zhao'yin'jiang'qu 丹旐引将去
'dang'ge'gong'xian'bei 当歌共衔杯
'dang'jie'yi'chi'bai'li'zou 当街一叱百吏走
'dang'lai'ri'da'nan'xing 当来日大难行
'dang'lu'li'se'jin'qian'shou 当炉理瑟矜纤手
'dang'nian'le'zhen'du 当年乐贞独
'dang'nian'po'si'xun'chang'ren 当年颇似寻常人
'dang'nian'shi'xing'le 当年失行乐
'dang'qie'zhuo'shui'jian 荡妾浊水间
'dang'shi'bie'you'qing 当时别有情
'dang'shi'jun'si'qie'he'shi 当时君死妾何适
'dang'shi'ren'dao'bian'cheng'en 当时人道便承恩
'dang'xi'qin'wang'an'jian'qi 当昔秦王按剑起
'dang'zhou'you'nv'man'zhong'yang 荡舟游女满中央
'dao'ai'xing'bu'qian 道隘行不前
'dao'feng'hang'zi'bu'xiang'shi 道逢行子不相识
'dao'tou'yuan'ming'yue 刀头怨明月
'dao'yi'zhen'shang'fu'hai'lai 捣衣砧上拂还来
'dao'zei'jie'bao'yu 盗贼劫宝玉
'dao'zhang'shi'jin 道长食尽
'dao'zhong'tian'di 道重天地
'de'bei'wu'yin 德被无垠
'de'zhu'qing'feng'chu'jin'qiang 得逐晴风出禁墙
'dei'shang'jun'che'lun 得上君车轮
'deng'dao'pan'qie'jun 磴道盘且峻
'deng'gao'qiu'er'wang'yuan'hai 登高丘而望远海
'deng'lou'hong'fen'zhuang 登楼红粉妆
'deng'qian'han'xiao'geng'luo'yi 灯前含笑更罗衣
'deng'qian'shi'lei'shi'xiang'qiu 灯前拭泪试香裘
'deng'tai'bei'wang'yan'yu'shen 登台北望烟雨深
'deng'xian'tao'li'cheng'jing'ji 等闲桃李成荆棘
'di'beng'shan'cui'zhuang'shi'si 地崩山摧壮士死
'di'guo'zhou'zhong'fei'suo'ni 敌国舟中非所拟
'di'jiao'tian'ya'wai 地角天涯外
'di'ke'cui 敌可摧
'di'pang'tou'hu'duo'yu'nv 帝旁投壶多玉女
'di'shi'gui'lang'xu 底事归郎许
'di'tou'gao'di'di'bu'yan 低头告地地不言
'di'yuan'liu'hua'qian 笛怨柳花前
'dian'jun'san'shi'qian 点军三十千
'dian'zhui'wu'bu'jing 点缀无不精
'diao'e'sui'bu'ren 雕鹗虽不仁
'diao'lu'xun'zi'yan 雕炉熏紫烟
'diao'meng'bai'ri'chen 雕甍白日沉
'ding'de'lang'xiang'xu 定得郎相许
'ding'hu'fei'long'an'ke'cheng 鼎湖飞龙安可乘
'ding'nan'ye'xing'hou'xiao'xi 丁男夜行候消息
'ding'shi'chou'en'ri 定是酬恩日
'ding'shi'wu'si'jiao 定是无四角
'ding'xian'zhi'jiang'nan'qu 丁仙芝江南曲
'dong'fang'jian'gao'nai'le'he 东方渐高奈乐何
'dong'fang'lei'dong'heng'zhen'yun 东方雷动横阵云
'dong'fang'qiu'yue'ming 洞房秋月明
'dong'fang'shao'fu'xu'cong'jun 东房少妇婿从军
'dong'fang'tong'tong'chi'ri'xu 东方曈曈赤日旭
'dong'feng'zheng'shang'xin 东风正上信
'dong'jia'e'wo'ji'ming'zao 东家呃喔鸡鸣早
'dong'lai'jin'xian'chang 东来进仙倡
'dong'lin'you'xiao'gu 东邻有小姑
'dong'liu'bu'zuo'xi'gui'shui 东流不作西归水
'dong'mai'jiao'long'nan'pu'suo 冻埋蛟龙南浦缩
'dong'ming'zhi'fu'sang 东溟植扶桑
'dong'si'gong'san'fu'yan'shi 董思恭三妇艳诗
'dong'si'gong'wang'zhao'jun 董思恭王昭君
'dong'tao'dong'tao'dong'zhuo'tao 董逃董逃董卓逃
'dong'tao'dong'tao'ren'mo'xi 董逃董逃人莫喜
'dong'tao'xing 董逃行
'dong'xi'nan'bei'shao'zhi'yin 东西南北少知音
'dong'xia'qi'cheng'qi'shi'er 东下齐城七十二
'dong'yun'xiao'xiao 冻云嚣嚣
'dong'zhi'qiao'cui'xi'zhi'rong 东枝憔悴西枝荣
'du'chang'hou'ting'hua 独唱后庭花
'du'fu'hou'ku'han'xing'er'shou 杜甫后苦寒行二首
'du'fu'qian'ku'han'xing'er'shou 杜甫前苦寒行二首
'du'hu'jun'shu'zhi 都护军书至
'du'hu'zai'lou'lan 都护在楼兰
'du'lei'hen'zhi'yu'xue 睹泪痕之馀血
'du'su'gu'fang'lei'ru'yu 独宿孤房泪如雨
'du'tou'e'tian'liang'an'yuan 渡头恶天两岸远
'du'wang'fang'zi'de 独往方自得
'du'wei'fan'long'dui 都尉反龙堆
'du'you'meng'zhong'hun 独有梦中魂
'du'zhao'chang'men'gong'li'ren 独照长门宫里人
'du'zi'ti'kuang'cai'can'ye 独自提筐采蚕叶
'du'zuo'chang'men'chou'ri'mu 独坐长门愁日暮
'du'zuo'lu'bian'jie'ye'chou 独坐炉边结夜愁
'du'zuo'yuan'qiu'feng 独坐怨秋风
'duan'chu'si'duo'ci'shang'shou 断处丝多刺伤手
'duan'xian'wu'chang'feng 短线无长缝
'duan'yan'su 断烟素
'dui'ci'si'jun'lei'xiang'xu 对此思君泪相续
'dui'jing'nong'hua'zhi 对镜弄花枝
'dui'jiu'bu'ken'yin 对酒不肯饮
'dui'jiu'chang'ge'mo'chang'tan 对酒长歌莫长叹
'dui'jiu'liang'bu'yin 对酒两不饮
'dui'jiu'ming'si'tong 对酒鸣丝桐
'dui'mian'qie'ru'ci 对面且如此
'dui'shang'mi'bu'chong 碓上米不舂
'duo'cai'wei'shi'qing 多财为势倾
'duo'chong'hen'wu'qiong 夺宠恨无穷
'duo'chong'xin'na'guan 夺宠心那惯
'duo'lan'shui'fan'xiang'jing'guo 堕兰谁泛相经过
'duo'wei'quan'xia'ren 多为泉下人
'e'e'kai'xin'ying 峨峨开新茔
'e'mei'man'lian'qing'cheng'guo 蛾眉曼脸倾城国
'e'xu'bang'ren'jian 恶许傍人见
'en'guang'sheng'hu'you 恩光生户牖
'en'wu'ri'zai'zhong 恩无日再中
'er'ba'chan'juan'da'di'nv 二八婵娟大堤女
'er'che'yan'yu'xing 輀车俨欲行
'er'geng'chuan'ren'wu 而更穿人屋
'er'he'bu'xiang'bie'chu'qi 尔何不向别处栖
'er'lai'qiang'ying'bao 而来强萦抱
'er'lai'si'wan'ba'qian'sui 尔来四万八千岁
'er'nian'bian'shu'jue'yan'chen 二年边戍绝烟尘
'er'shi'deng'han'chao 二十登汉朝
'er'shi'wu'xian'he'tai'ai 二十五弦何太哀
'er'ti'bu'kui'jia 儿啼不窥家
'er'xi'you'tong'zhi 尔息犹童稚
'er'xing'wei'shuai'lao 尔形未衰老
'er'you'sheng'liang'zi 尔又生两子
'fa'guang'ru'shu'si 发光如舒丝
'fa'xiang'heng'tang'kou 发向横塘口
'fan'dao'yi'zhong'ri 饭稻以终日
'fan'gu'si'jiu'xiang 返顾思旧乡
'fan'hua'shi'zhu'dong'liu'shui 繁华事逐东流水
'fan'jie'yi'shen'ru 蕃界已深入
'fan'shi'gu'ming'yu 翻使谷名愚
'fan'zuo'bai'tou'yin 翻作白头吟
'fang'cao'mian'yan'suo'ping'di 芳草绵延锁平地
'fang'dao'ying'xun'gou'shi'shan 访道应寻缑氏山
'fang'dong'shui'wu'qiong 方冬水物穷
'fang'fei'yi'man'jin 芳菲已满襟
'fang'fei'zi'en'xing 芳菲自恩幸
'fang'sui'mo'bai'ru 方随膜拜入
'fang'wei'ji'xu'zhang 房帷即虚张
'fang'xi'zuo'ming'zhu 方希佐明主
'fang'xia'chang'chang'gou 放下长长钩
'fang'zhi'si'lu'nan 方知斯路难
'fei'dan'wei'can'ji 非但畏蚕饥
'fei'di'dong'chi'chui 飞低冻翅垂
'fei'fan'yue'hui'liu 飞帆越回流
'fei'fei'wu'yu'xing'hua'tian 霏霏雾雨杏花天
'fei'fu'jiu'lai'xin 非复旧来心
'fei'ge'lian'lian'zhi'ru'fa 飞阁连连直如发
'fei'jun'xi'luan'dian 非君惜鸾殿
'fei'lai'fei'qu'luo'shui'jia 飞来飞去落谁家
'fei'lai'shuang'bai'he 飞来双白鹤
'fei'lai'zhi'ge'xi'jiang'shui 飞来只隔西江水
'fei'lian'guan'qian'kong'yuan'mu 飞廉观前空怨慕
'fei'liang'jia'jue'ling 飞梁架绝岭
'fei'mu'zhan'liang'jiao 飞目瞻两角
'fei'qie'du'e'mei 非妾妒蛾眉
'fei'se'nan'wei'xian 废瑟难为弦
'fei'shen'ru'qing'ming 飞身入青冥
'fei'tuan'pu'liu'xiang'xuan'hui 飞湍瀑流相喧豗
'fei'xia'ci'yuan'yang 飞下雌鸳鸯
'fei'xiang'zou'hong'man'tian'chun 飞香走红满天春
'fei'yan'huang'hou'qing'shen'wu 飞燕皇后轻身舞
'fei'yan'yi'shen'qing 飞燕倚身轻
'fei'yan'yu'jun'tong 飞燕与君同
'fei'yun'yi'ke'chou 飞云亦可俦
'fen'bu'liang'xiang'shou 分不两相守
'fen'chu'ji'ji 坟出蕺蕺
'fen'hen'ling'luo'chou'hong'qian 粉痕零落愁红浅
'fen'jin'wu'xi'tang'qian 纷进舞兮堂前
'fen'lv'wu 纷屡舞
'fen'ming'shi'tan'li 分明石潭里
'fen'ming'zai'liao'kuo 分明在寥廓
'fen'yi'yuan'ling'yan 奋翼远凌烟
'fen'yun'xiang'qi'man'ting'zhou 氛氲香气满汀洲
'feng'bo'you'yi'xun 风波有异浔
'feng'chen'zhi'shi'shen'ke'qin 风尘之士深可亲
'feng'ding'shi'wu'sha 风定始无沙
'feng'en'jie'yu'yi 逢恩借羽翼
'feng'fan'zhen'cao'liang 风帆振草凉
'feng'gan'diao'dou'qing 风干刁斗清
'feng'guan'bei'ruo'yan 凤管悲若咽
'feng'guo'chang'lin'za'hua'qi 风过长林杂花起
'feng'hao'shui'ji'xi'hu'bu'wen 风号水激兮呼不闻
'feng'hou'shi'wan'shi'wu'xin 封侯十万始无心
'feng'hu'you'wei'jian 封狐犹未翦
'feng'huo'lian'shuo'fang 烽火连朔方
'feng'jiao'long'yin'bai'ri'chang 凤叫龙吟白日长
'feng'jing'ru'bin'chan 风惊入鬓蝉
'feng'jing'xiong'zhong'han'bi'shou 冯敬胸中函匕首
'feng'jun'qing'shu'dian 奉君清暑殿
'feng'lang'yu'yu'di'tou'xiao 逢郎欲语低头笑
'feng'mei'xiu'zi'tuo 凤媒羞自托
'feng'piao'ke'yi'ru'chui'yan 风飘客意如吹烟
'feng'piao'xiang'xiu'kong'zhong'ju 风飘香袖空中举
'feng'piao'yu'shi'yi'bu'yi 风飘雨湿亦不移
'feng'qi'dong'ting'qiu 风起洞庭秋
'feng'qi'qi 风凄凄
'feng'sha'zi'jie'lao'hong'yan 风沙自解老红颜
'feng'sheng'bo'lang'zu 风声波浪阻
'feng'sheng'qu'qu'wu'bian'yi 凤笙去去无边已
'feng'sheng'you'yun'kong 凤笙游云空
'feng'shi'tu'qi'si'jing'lun 逢时吐气思经纶
'feng'shu'duan'wu'yan 烽戍断无烟
'feng'tai'he'wei'yi 凤台何逶迤
'feng'wu'yi 缝舞衣
'feng'ya'an'yu'wen'wang'qin 风雅暗与文王亲
'feng'yang'wu'feng'xiu 奉养毋丰羞
'feng'yu'rao'zhuang'jing 蜂语绕妆镜
'feng'yun'gan'hui'qi'tu'diao 风云感会起屠钓
'feng'zhou'ping'ming'jin'dian'kai 奉帚平明金殿开
'feng'zhui'nan'cheng'cai'po'yi 缝缀难成裁破易
'fu'bing'hai'zhi'ke 斧冰还止渴
'fu'bu'fu 父不父
'fu'cai'tong'xin'lian 复采同心莲
'fu'dao'chao'tian'fu'yu'jing 复道朝天赴玉京
'fu'ding'nong'pan'gu 抚顶弄盘古
'fu'e'xue'chun'bi 拂蛾学春碧
'fu'gui'ke'chang'jiu 富贵可长久
'fu'guo'qiang'bing'er'shi'nian 富国强兵二十年
'fu'jian'xie'fei'quan 拂涧泻飞泉
'fu'nv'wu'hua'se 妇女无华色
'fu'ping'yao'dang'men'qian'shui 浮萍摇荡门前水
'fu'ren'wu'li'wan'duan'yi 妇人无力挽断衣
'fu'rong'chi'zuo'liang 芙蓉持作梁
'fu'rong'hua'fa'lian'ye'an 芙蓉花发莲叶暗
'fu'rong'xiang'lian'liang'bian'kai 芙蓉向脸两边开
'fu'rong'xing'zhang'yan'deng'guang 芙蓉行障掩灯光
'fu'sang'ban'cui'zhe 扶桑半摧折
'fu'sheng'su'liu'dian 浮生速流电
'fu'shui'nan'zhong'jian 覆水难重荐
'fu'shui'que'shou'bu'man'bei 覆水却收不满杯
'fu'shui'zai'shou'qi'man'bei 覆水再收岂满杯
'fu'xin'que'xiao'xi'zi'pin 拊心却笑西子颦
'fu'xiong'wei'xu'ren 父兄未许人
'fu'xiong'xiang'jiao'shi 父兄相教示
'fu'xu'da'chang'qiu 夫婿大长秋
'fu'yi'fan'liu'xia 浮蚁泛流霞
'fu'you'bu'shi'hai 蜉蝣不识还
'fu'yu'wang'jia'qing 富与王家勍
'fu'zhen'lian'chang'ye 拂枕怜长夜
'gan'chang'ci'yu'nian 肝肠辞玉辇
'gan'cong'jin'li'ku 甘从筋力枯
'gan'lang'qing'yi'shen 感郎情意深
'gan'lang'zhong'ye'du'xiao'xiang 感郎中夜渡潇湘
'gan'po'jing'zhi'fen'ming 感破镜之分明
'gan'xiao'tong'ju'xian 敢效同居贤
'gao'chan'chang'men'yuan 高蟾长门怨
'gao'chu'shi'yan'ran 高处是燕然
'gao'feng'mian'miao 高风缅邈
'gao'gao'jiu'qi'xuan'jiang'kou 高高酒旗悬江口
'gao'jia'kong'chi'chu 高驾空踟蹰
'gao'lou'ci'qi'ting 高楼次旗亭
'gao'men'di'xia'xie 高门抵狭斜
'gao'pian'sai'shang'qu'er'shou 高骈塞上曲二首
'gao'shan'you'ji'lu 高山有疾路
'gao'shi'qiu'hu'xing 高适秋胡行
'gao'shu'feng'duo 高树风多
'gao'tan'bian'fei'tu 高谈辨飞兔
'gao'xiao'gu'jin'yan'huo'si 膏销骨尽烟火死
'gao'yi'huang'jin'bian 高揖黄金鞭
'gao'zi'bi'feng'jun 高赀比封君
'ge'chui'ye'wu'sheng 歌吹夜无声
'ge'hui'la'ban'ming 歌回蜡版鸣
'ge'sheng'sui'lu'shui 歌声随渌水
'ge'wu'ru'han'gong 歌舞入汉宫
'ge'wu'xu'ji'shi 歌舞须及时
'ge'wu'yu'men'zhong 歌舞玉门中
'ge'yao'shu'bai'zhong 歌谣数百种
'ge'you'neng'bu'neng 各有能不能
'gen'zai'sha'sai 根在沙塞
'geng'bao'chang'xiang'si 更报长相思
'geng'chun'jiang'yong'nian 羹莼将永年
'geng'hua'zhu 耿华烛
'geng'jie'bie'tiao'liu'xian'zhi 更嗟别调流纤指
'geng'kai'hua'chi'zhong'fang'shu 更开华池种芳树
'geng'qian'ji'lan'zhou 更遣击兰州
'geng'wei'long'xi'xing 耿湋陇西行
'geng'wei'sai'shang'qu 耿湋塞上曲
'geng'wen'sang'tian'bian'cheng'hai 更闻桑田变成海
'geng'you'liu'qing'chu 更有留情处
'geng'you'xie'shou'ren 更有携手人
'geng'yuan'sheng'yu'yi 更愿生羽翼
'gong'che'wan'chu'xiang'nan'shan 宫车晚出向南山
'gong'cheng'cai'fan'si 恭承采蘩祀
'gong'cheng'feng'huang'zhao 恭承凤凰诏
'gong'cheng'nan'mian'you'shen'shan 宫城南面有深山
'gong'di'chang'men'yi'ye'chang 共滴长门一夜长
'gong'dian'chen'chen'yue'yu'fen 宫殿沉沉月欲分
'gong'dian'sheng'qiu'cao 宫殿生秋草
'gong'duo'fan'xia'yu 功多翻下狱
'gong'guo'ni'si'liu'hai'mei 公果溺死流海湄
'gong'hu'gong'hu 公乎公乎
'gong'hu'gong'hu'qi'nai'ju 公乎公乎其奈居
'gong'hu'yue'ma'yang'yu'bian 公乎跃马扬玉鞭
'gong'ru'feng'huang'chi 宫如凤凰翅
'gong'shen'yue'si'shuang 宫深月似霜
'gong'suo'ling'long'ri'xin'shang 宫琐玲珑日新上
'gong'wen'han'jiang'qian'li'wai 共问寒江千里外
'gong'wu'du'he'gong'zi'wei 公无渡河公自为
'gong'wu'du'he'ku'du'zhi 公无渡河苦渡之
'gong'wu'du'he'xi'gong'ku'du 公无渡河兮公苦渡
'gong'wu'xiao'ming'zhu'yu'zhi 宫乌晓鸣茱萸枝
'gong'zhong'cai'nv'ye'wu'shi 宫中彩女夜无事
'gong'zhong'wei'wo'qi'gao'lou 宫中为我起高楼
'gong'zi'wang'sun'fang'shu'xia 公子王孙芳树下
'gong'zuo'bai'xue'xian 共作白雪弦
'gou'ju'bu'gan'xia 钩距不敢下
'gu'bi'cai'qiu'jin'tie'wei 古壁彩虬金帖尾
'gu'bu'yi'xiang'shi 顾步已相失
'gu'cheng'xi'dui'shu'lou'xian 孤城夕对戍楼闲
'gu'cheng'yuan'bao'si 古称怨报死
'gu'deng'geng'bu'mie 孤灯耿不灭
'gu'dou'bang'chang'cheng 古窦傍长城
'gu'fan'ye'fa'man'xiang'zhu 孤帆夜发满湘渚
'gu'fen'he'zheng'rong 孤坟何峥嵘
'gu'fen'yue'ming'li 孤坟月明里
'gu'feng'qing 古风清
'gu'guo'jin'he'chu 故国今何处
'gu'huan'shang'tai'qing 孤圜上太清
'gu'hun'liu'luo'ci'cheng'bian 孤魂流落此城边
'gu'jun'bai'zhan'chang 孤军百战场
'gu'ke'wu'zhu'zhe 估客无住着
'gu'kuang'sai'shang'qu 顾况塞上曲
'gu'kuang'wu'ye'ti'er'shou 顾况乌夜啼二首
'gu'lai'ci'di'wu'jing'quan 古来此地无井泉
'gu'lai'de'yi'bu'xiang'fu 古来得意不相负
'gu'lao'xiang'yu'yan 古老向余言
'gu'mian'chou'jin'qin 孤眠愁锦衾
'gu'qin'zhu'lv'ji 故侵珠履迹
'gu'qing'he'chu'suo 故情何处所
'gu'ren'bu'da'jiu'bu'zu 古人不达酒不足
'gu'ren'wu'fu'luo'cheng'dong 古人无复洛城东
'gu'rou'bu'ke'li 骨肉不可离
'gu'ruo'bi'liu'shui 骨若比流水
'gu'shi'de'yi'bu'xiang'fu 古时得意不相负
'gu'su'tai'shang'wu'qi'shi 姑苏台上乌栖时
'gu'tu'ban'cang'shen 顾兔半藏身
'gu'xiang'lv'chuang'ti 故向绿窗啼
'gu'xin'zhong'bu'yi 故心终不移
'gu'yu'liu'gui'jie'hou'ren 故欲留规诫后人
'gu'zhou'piao'miao'zhi'he'wang 孤舟缥缈知何往
'gu'zhu'yan'ling 孤竹延陵
'gua'gu'yu'qi'jian 挂骨于其间
'guai'lai'zhuang'ge'bi 怪来妆阁闭
'guai'qi'fang'ji'si 乖期方积思
'guan'dao'cheng'nan'ba'sang'ye 官道城南把桑叶
'guan'gai'xing'fan'xiang'shui'shang 冠盖星繁湘水上
'guan'gao'jin'duo'pin'si'shi 官高金多聘私室
'guan'he'qi'qi'qiu 关河碛气秋
'guan'liang'si'wu'zheng 关梁似无征
'guan'mian'ru'xing'luo 冠冕如星罗
'guan'shan'zheng'fei'xue 关山正飞雪
'guan'xi'gan'ge'shi'an'ma 惯习干戈事鞍马
'guan'xi'yan'zheng'sui'chi'xi 惯习炎蒸岁絺绤
'guan'xiu'gu'sai'shang'qu'qi'shou 贯休古塞上曲七首
'guan'xiu'hao'li 贯休蒿里
'guan'xiu'hu'wu'ren'xing 贯休胡无人行
'guan'xiu'ku'han'xing 贯休苦寒行
'guan'xiu'sai'shang'qu'er'shou 贯休塞上曲二首
'guan'xiu'shan'zai'xing 贯休善哉行
'guan'xiu'shang'liu'tian 贯休上留田
'guan'xiu'yang'chun'qu 贯休阳春曲
'guan'xiu'ye'tian'huang'que'xing 贯休野田黄雀行
'guang'jiang'wu'shu'qian 广江无术阡
'guang'jing'bu'dai'ren 光景不待人
'guang'lu'chi'tai'wen'jin'xiu 光禄池台文锦绣
'guang'qi'nai'shu'fen 光气乃殊分
'guang'yao'yue'niao'chao 光摇越鸟巢
'guang'yun'wu'bu'zhi 广运无不至
'guang'zhang'san'qian'liu'bai'jun 广张三千六百钧
'gui'dian'chang'chou'bu'ji'chun 桂殿长愁不记春
'gui'fei'ya'ya'zhi'shang'ti 归飞哑哑枝上啼
'gui'jia'shui'xin'ru 归家谁信汝
'gui'jian'bu'gan'zheng 贵贱不敢争
'gui'ku'jiu'jiu'sheng'fei'tian 鬼哭啾啾声沸天
'gui'lai'cun'zhong'mai 归来村中卖
'gui'lai'gong'dao'shi'qiao'bu 归来共到市桥步
'gui'lai'ru'xian'yang 归来入咸阳
'gui'lai'shi'an'zuo 归来始安坐
'gui'lai'shui'wei'fu 归来谁为夫
'gui'lai'wu'ren'shi 归来无人识
'gui'lai'yang'lei'zu 归来养羸卒
'gui'mo'wei'sheng'zuo 规模惟圣作
'gui'qi'tang'ke'cu 归期傥可促
'gui'qu'cao'feng'shan 归去草封禅
'gui'qu'meng'qing'lou 归去梦青楼
'gui'qu'yue'wang'jia 归去越王家
'gui'ren'li'yi'bu'ke'ce 贵人立意不可测
'gui'ren'san'ge'shang 贵人三阁上
'gui'shi'gong'dai'mu'chao'shang 归时共待暮潮上
'gui'shuang'xi 跪双膝
'gui'ye'shua'feng'gui'zhui'zi 桂叶刷风桂坠子
'gui'yu'gen'di'lian 贵与根蒂连
'gui'zhao'lan'rao'xia'chang'pu 桂棹兰桡下长浦
'gui'zhao'luo'hua'qian 归棹落花前
'guo'qi'shi'bu'xie 果气时不歇
'guo'yuan'zhen'zi'ye'chun'ge'er'shou 郭元振子夜春歌二首
'guo'yuan'zhen'zi'ye'dong'ge'er'shou 郭元振子夜冬歌二首
'guo'yuan'zhen'zi'ye'qiu'ge'er'shou 郭元振子夜秋歌二首
'hai'jiang'gui'wei'ji 还将桂为楫
'hai'ke'cheng'tian'feng 海客乘天风
'hai'kong'cai'feng'ba 还恐裁缝罢
'hai'ling'san'shan 海陵三山
'hai'shang'ming'yue'gong'chao'sheng 海上明月共潮生
'hai'shang'yi'feng'huo 海上一烽火
'hai'sui'nv'ban'sai'jiang'shen 还随女伴赛江神
'hai'xiang'jin'ling'yang'chun'se 还向金陵漾春色
'hai'xiu'bei'hai'yan'shu'chi 还羞北海雁书迟
'hai'ying'zhi'qie'hen 还应知妾恨
'hai'you'meng'lai'shi 还有梦来时
'hai'zhao'jiao'duan'gong 海照角端弓
'han'chen'po'dan'jie'du'kou 悍臣破胆皆杜口
'han'chou'fu'han'xiao 含愁复含笑
'han'dan'fa'he'hua 菡萏发荷花
'han'dao'chang 汉道昌
'han'gong'cao'ying'lv 汉宫草应绿
'han'gua'ji'fu'bei'feng'li 寒刮肌肤北风利
'han'gui'bang'li'luo 寒归傍篱落
'han'gui'zhi'su'jin 寒闺织素锦
'han'guo'ju'ming'shen'jing'li 韩国讵明深井里
'han'hai'bai'zhong'bo 瀚海百重波
'han'hai'ji'wu'bo 瀚海寂无波
'han'hong'jiang'nan'qu 韩翃江南曲
'han'hua'ri'shao'rong 寒花日少容
'han'jia'ji'shi'zhong'tai'ping 汉家几时重太平
'han'jia'jing'zhi'man'yin'shan 汉家旌帜满阴山
'han'jia'san'shi'liu'jiang'jun 汉家三十六将军
'han'jia'tian'zi'tu'lin'ge 汉家天子图麟阁
'han'jia'yan'shu'lou 寒笳咽戍楼
'han'jia'zhan'shi'san'shi'wan 汉家战士三十万
'han'jiang'ai'bi'cao 寒螀爱碧草
'han'jiang'dan'feng'hou 汉将但封侯
'han'jiang'huai'bu'ping 汉将怀不平
'han'ku'bu'ren'yan 寒苦不忍言
'han'lu'xia'shen'gong 寒露下深宫
'han'lu'xiang'feng'bu'xiang'jian 汉虏相逢不相见
'han'ma'jing'wu'shi 汗马竟无施
'han'qing'ba'suo'cai 含情罢所采
'han'qing'qi'tuan'shan 含情泣团扇
'han'qing'yu'shui'dai 含情欲谁待
'han'ri'bang'cheng'mei 寒日傍城没
'han'ri'hao'shang'ming 寒日蒿上明
'han'ri'xia'cang'yan 寒日下苍烟
'han'sha'lian'qi'ji 寒沙连骑迹
'han'shi'chang'an'xue'yi'zhang 汉时长安雪一丈
'han'shi'nan'hai'jin 汉使南还尽
