'ai'ai'ding'men'wai 蔼蔼鼎门外
'da'bo'yao'jiao'chui'jie'shu 大帛夭矫垂捷书
'da'hou'pian 答后篇
'da'jiang'gui'lai'jin'ba'shu 大将归来尽把书
'da'le'tian'xi'zeng 答乐天戏赠
'da'ling'gao'an'shi'tiao'yao 大陵高岸失岧峣
'da'qian'pian 答前篇
'da'xian'cao'can'xiao'xian'qing 大弦嘈囋小弦清
'da'yang'ba'jing'zhi'jue'ju 答杨八敬之绝句
'da'yu'kuai'ji'lin'dong'ming 大禹会计临东溟
'dai'dong'yin'he'xing'ying'lian 螮蝀饮河形影联
'dai'gong'san'ru'fu'ai'chen 待公三入拂埃尘
'dai'huo'jiao'tong'yun'ben'bei 带火焦桐韵本悲
'dai'jing'an'jia'ren'yuan'er'shou'bing'yin 代靖安佳人怨二首并引
'dai'jiu'chui'bian'xie'die'hui 带酒垂鞭躞蹀回
'dai'lu'ru'zhu'zhui 带露如珠缀
'dai'qiao'ru'duan'hong 带桥如断虹
'dai'qu'yin'cheng'man'feng'chi 待取阴成满凤池
'dan'chou'hua'you'yu 但愁花有语
'dan'ding'yi'cheng'ri 丹顶宜承日
'dan'ran'li'yan'shuo 澹然离言说
'dan'wen'yuan'xiang'yin 但闻怨响音
'dan'xi'you'gui'xin 旦夕有归心
'dan'xue'chu'fei'ru'cui'ping 丹穴雏飞入翠屏
'dan'yuan'qing'shang'fu'wei'jia 但愿清商复为假
'dang'jiang'ba'tong'ge'zhu'zhi 荡桨巴童歌竹枝
'dang'jin'rui'sun'cheng'sheng'zu 当今睿孙承圣祖
'dang'ri'ren'chuan'man'feng'cheng 当日人传满凤城
'dang'shi'chao'shi'yi'wu'duo 当时朝士已无多
'dang'shi'mai'cai'zi'sou'suo 当时买材恣搜索
'dang'shi'yi'xiao'jiao'ri'zhang 当时意小觉日长
'dang'yang'fu'tian'gai 荡漾浮天盖
'dang'yang'yi'guo'jun'shan'dong 荡漾已过君山东
'dang'yu'ci'xin'qi 当与此心期
'dang'zhou'you'nv'man'zhong'yang 荡舟游女满中央
'dao'an'ben'ru'shi 道安本儒士
'dao'an'fen'yi'qu 道安奋衣去
'dao'guan'shu'su'zei'man'ye 到官数宿贼满野
'dao'jun'ju'chu'zan'kai'yan 到君居处暂开颜
'dao'pang'xiang'song'jie'xian'hao 道旁相送皆贤豪
'dao'ren'ting'yu'jing 道人庭宇静
'dao'sheng'wai'hua'zan 道胜外华簪
'dao'shi'wu'qing'hai'you'qing 道是无晴还有晴
'dao'xiang'fan'si'lan'ke'ren 到乡翻似烂柯人
'dao'xing'jing'jie'ran 道性净皆然
'dao'ying'luo'wen'dong 倒影罗文动
'dao'ying'ru'qing'lan 倒影入清澜
'de'li'luan'xiang'xian 的历乱相鲜
'de'lu'heng'zhou'shu'yin'yi'shi'ji 得卢衡州书因以诗寄
'de'xiang'neng'kai'guo 得相能开国
'deng'liu'zhou'cheng'lou'ji'zhang'ting'feng'lian'si'zhou'ci'shi 登柳州城楼寄漳汀封连四州刺史
'deng'liu'zhou'e'shan 登柳州峨山
'deng'ruo'song'zhi'liu'ke'su 灯爇松脂留客宿
'deng'shan'yu'zhong'shi'la'ji 登山雨中试蜡屐
'deng'xia'zhuang'cheng'yue'xia'ge 灯下妆成月下歌
'deng'xian'ping'di'qi'bo'lan 等闲平地起波澜
'deng'xian'zai'shu'bi'feng'jun 等闲栽树比封君
'deng'yu'gong'cheng'san'ji'shi 邓禹功成三纪事
'di'huan'huan'shi'bao'ming'yue 低鬟缓视抱明月
'di'hui'zhuan'mei'mu 低回转美目
'di'ling'cao'mu'yu 地灵草木腴
'di'pian'shan'shui'xiu 地偏山水秀
'di'shang'nv'lang'lian'mei'xing 堤上女郎联袂行
'di'shang'xing'san'shou 堤上行三首
'di'shi'dong'nan'bei 地势东南庳
'di'xia'lian'qiang'di'shang'lou 堤下连樯堤上楼
'di'xing'lin'zhu'duan 地形临渚断
'di'xing'shi'er'lu'yi'jiao 地形十二虏意骄
'di'yuan'cao'mu'hao 地远草木豪
'di'zhai'qing'xian'qie'du'xing 第宅清闲且独行
'dian'han'jia'qi'dang'long'shou 殿含佳气当龙首
'dian'que'shen'shang'wu'diao'qiu 典却身上乌貂裘
'dian'zhui'tao'gong'lu'jiu'jin 点缀陶公漉酒巾
'diao'mian'qing'yun'shui'yan'kai 雕眄青云睡眼开
'diao'qiu'dai'ma'rao'dong'yue 貂裘代马绕东岳
'diao'tou'bu'da'kan'fei'hong 掉头不答看飞鸿
'die'fei'qiu'cao'qi 蝶飞秋草畦
'ding'lie'kua'si'fang 鼎列夸四方
'ding'ning'xiang'yue'su'xuan'che 丁宁相约速悬车
'ding'zhi'yu'bao'huai'nan'zhao 定知欲报淮南诏
'dong'bian'ri'chu'xi'bian'yu 东边日出西边雨
'dong'fang'zhao'ri'chi'chi'sheng 东方朝日迟迟升
'dong'hai'jiu'yao'dang 东海久摇荡
'dong'hai'man'fu'yun 东海漫浮云
'dong'jun'xu'cai'bie'jian'zhang 东郡须才别建章
'dong'lin'hou'jia'chui'sheng'huang 东邻侯家吹笙簧
'dong'lin'si'li'yi'sha'mi 东林寺里一沙弥
'dong'luo'chi'tai'yuan'pao'zhi 东洛池台怨抛掷
'dong'men'cang'hei'yan'wu'sheng 洞门苍黑烟雾生
'dong'shan'jiu'lu'du'xing'chi 东山旧路独行迟
'dong'ting'chun'jin'shui'ru'tian 洞庭春尽水如天
'dong'ting'qiu'yue'sheng'hu'xin 洞庭秋月生湖心
'dong'ting'qiu'yue'xing 洞庭秋月行
'dong'xiang'hou'zu'qi 东乡后租期
'dong'xiao'chou'jue'cui'ping'jian 洞箫愁绝翠屏间
'dong'you'jian'qing'qian 冬游见清浅
'dong'yu'you'shi'shui'neng'mian 东隅有失谁能免
'dou'jiu'xiang'yan'xi 斗酒相宴喜
'dou'liang'ming'zhu'niao'chuan'yi 斗量明珠鸟传意
'du'chu'qiong'tu'fou 独处穷途否
'du'diao'han'jiang'xue 独钓寒江雪
'du'fu'yi'yu'chuan'peng'hao 独赴异域穿蓬蒿
'du'gui'ling'ge 度桂岭歌
'du'hen'chang'zhou'shu'qian'li 独恨长洲数千里
'du'li'si'gu'shi'ji'ang 独立四顾时激昂
'du'ling'xiao'xiao'song'bai'ai 杜陵萧萧松柏哀
'du'qu'sheng'ming'bu'yao'qian 赌取声名不要钱
'du'que'ren'jian'duo'shao'ren 渡却人间多少人
'du'shang'yi'nan'lou 独上驿南楼
'du'shang'yi'you'you 独上意悠悠
'du'tou'qing'yu'sa'han'mei 渡头轻雨洒寒梅
'du'xiang'qian'li'you'fen'qi 渡湘千里又分歧
'du'xiao'wu'yan'xin'you'shi 独笑无言心有适
'du'yin'chi'shang'ting 独吟池上亭
'du'you'jiu'xiao'qi 独有九霄期
'du'you'ting'wu'shi 独游亭午时
'du'yu'yuan'niao'chou'qing'ying 独与猿鸟愁青荧
'du'zhuan'chao'zong'lu 独专朝宗路
'du'zi'kuang'fu'bu'yi'jia 独自狂夫不忆家
'du'zi'yue'zhong'hang 独自月中行
'du'zuo'yi'han'pin 独坐亦含颦
'duan'jin'su'zhou'ci'shi'chang 断尽苏州刺史肠
'duan'yan'ai'yuan'feng'yu'xi 断雁哀猿风雨夕
'dui'ci'du'yin'hai'du'zhuo 对此独吟还独酌
'dui'ci'qing'guang'tian'xing'fa 对此清光天性发
'dun'shou'yuan'gui'huo 顿首愿归货
'duo'cai'yu'jing'jie'neng'yong 多才遇景皆能咏
'duo'can'zai'ru'jin'men'ji 多惭再入金门籍
'duo'chi'chou'shi'yuan'jian'feng 亸翅愁时愿见风
'duo'jie'ben'huai'duan'zhi'xing 多节本怀端直性
'duo'jie'xun'quan'zi 咄嗟徇权子
'duo'jiu'wei'sui'nian 多灸为随年
'duo'ju'yao'lu'jin 多居要路津
'duo'xie'luo'cheng'ren 多谢洛城人
'duo'zai'hong'yao'dai'chun'hai 多栽红药待春还
'e'jing'sui'yue'chu 俄惊岁月除
'e'mao'yu'la'feng'shan'ji 鹅毛御腊缝山罽
'e'ran'shen'gong'jiu 俄然神功就
'e'zhu'lin'liu'bie 鄂渚临流别
'e'zhu'liu'bie'li'er'shi'yi'biao'chen'dai'fu 鄂渚留别李二十一表臣大夫
'e'zhu'meng'meng'yan'yu'wei 鄂渚蒙蒙烟雨微
'en'yi'jiao'ru'shuang 恩义皎如霜
'en'ze'han'rong'li'si'chao 恩泽含容历四朝
'er'lai'qi'shao'jin'gu'lu 迩来气少筋骨露
'er'nv'jie'ping'ting 二女皆娉婷
'er'shi'san'nian'qi'zhi'shen 二十三年弃置身
'er'shi'you'tai'hang 二十游太行
'er'shi'yu'nian'bie'di'jing 二十余年别帝京
'er'shi'yu'nian'zuo'zhu'chen 二十余年作逐臣
'er'tong'xuan'cai'yi 儿童炫彩衣
'er'wo'yi'xia'zheng 而我已遐征
'fa'jiu'tiao'shen'qi 法酒调神气
'fa'xi'guan'zi'pian 发稀冠自偏
'fan'fan'que'jing'cong 翻翻鹊惊丛
'fan'gai'xiang'feng'yi'wu'xiu 幡盖向风疑舞袖
'fan'guang'po'xi'xun 翻光破夕曛
'fan'hua'ri'yi'xie 繁华日已谢
'fan'hua'yi'dan'you'xiao'xie 繁华一旦有消歇
'fan'mie'ru'liu'dian 帆灭如流电
'fan'mu'bu'gan'sheng 凡木不敢生
'fan'pa'zu'shou'jie 繁葩组绶结
'fan'ran'kong'mi'xiang'xian'chu 翻然恐迷乡县处
'fan'si'ma'shao'you 翻思马少游
'fan'yan'ling'chang'kong 泛滟凌长空
'fan'yun'lai'sui'ji'gong'qing 范云来岁即公卿
'fang'chen'he'chu'xun 芳尘何处寻
'fang'hun'sui'si'ren'bu'pa 芳魂虽死人不怕
'fang'jian'ba'hang'shu 方见八行书
'fang'lin'xin'ye'cui'chen'ye 芳林新叶催陈叶
'fang'pao'xiu'zhong'zhu'xin'shi 方袍袖中贮新势
'fang'ting'chen'ji'ming 方听晨鸡鸣
'fang'tong'chu'ke'lian'huang'shu 方同楚客怜皇树
'fang'wo'fu'yun'ping 芳幄覆云屏
'fang'xing'an'zhong'shen 芳兴暗中深
'fang'yan'yin'zhu'yi'xiang'jian 芳筵银烛一相见
'fei'fei'lai'wu'yuan 飞飞来乌鸢
'fei'lian'pu 飞练瀑
'fei'liu'tou'qian'xi 飞流透嵌隙
'fei'qu'ru'yao'bi 飞去入遥碧
'fei'ru'gong'qiang'bu'jian'ren 飞入宫墙不见人
'fei'ru'xun'chang'bai'xing'jia 飞入寻常百姓家
'fei'shang'zhu'zhen'qi 飞觞助真气
'fei'shi'bai'pin'zhou'pan'ke 非是白蘋洲畔客
'fei'shi'pen'cheng'yu'si'ma 非是湓城鱼司马
'fei'shu'yuan'xi'yan 废书缘惜眼
'fei'wen'si'an'sheng'ru'lei 飞蚊伺暗声如雷
'fei'wu'ji'peng'ying 飞舞集蓬瀛
'fei'wu'xi'ling'wei 飞舞西陵隈
'fei'yan'jin'yu'lu 非烟近御炉
'fei'yuan'cao 飞鸢操
'fen'fu'xin'sheng'yu'shun'lang 吩咐新声与顺郎
'fen'fu'ying'hua'yu'hou'sheng 分付莺花与后生
'fen'gao'san'si'chi 坟高三四尺
'fen'lun'hui'ying'hu'ming'mie 纷纶晖映互明灭
'fen'luo'jiao'fei'zhi'ji'chun 粉落椒飞知几春
'fen'ming'qiong'da'zhi 分明穷达旨
'fen'qi'hao'fan'ru 分歧浩繁缛
'fen'si'pu 棼丝瀑
'fen'ting'bei'jiang'ying 分庭备将迎
'fen'wu'shen'dou'jin'jiu'qiu 分务神都近旧丘
'fen'you'yu'ren'you'cong'gong 分忧余刃又从公
'feng'bo'chua'qian'gou 风波欻潜构
'feng'bo'yi'die'shi'wan'li 风波一跌逝万里
'feng'cheng'yan'yu'xie 凤城烟雨歇
'feng'chui'luo'ye'tian'gong'jing 风吹落叶填宫井
'feng'chui'yu'sa'xuan'cheng'chen 风吹雨洒旋成尘
'feng'dong'cui'e'pin 风动翠蛾嚬
'feng'gao'yu'liu'shu 风高榆柳疏
'feng'he'pei'ling'gong'xin'cheng'lv'ye'tang'ji'shu 奉和裴令公新成绿野堂即书
'feng'jia'chao'tou'ru'zhu'tian 风驾潮头入渚田
'feng'jing'ye'lai'yu 风惊夜来雨
'feng'jun'qing'shu'dian 奉君清暑殿
'feng'lian'zhui'gu'e 风莲坠故萼
'feng'lie'hong'qi'ru'shou'chun 风猎红旗入寿春
'feng'lin'ju'shu'zhe'gu'sheng 枫林橘树鹧鸪声
'feng'lin'she'ri'gu 枫林社日鼓
'feng'liu'sui'lao'shang'nan'dang 风流虽老尚难当
'feng'liu'tai'shou'wei'shang'shu 风流太守韦尚书
'feng'lou'nan'mian'kong'san'tiao 凤楼南面控三条
'feng'lou'yan'yu'xiao'chou'chi 凤楼烟雨啸愁鸱
'feng'lu'fa'jing'ying 风露发晶英
'feng'qi'bu'cheng'wen 风起不成文
'feng'qiang'hao'zhu'tan'cheng'qu 风樯好住贪程去
'feng'qu'ye'yong'jie 风驱叶拥阶
'feng'que'qing'zhe'fei'cui'wei 凤阙轻遮翡翠帏
'feng'ri'wei'wu'hui 风日为无晖
'feng'shi'ji'zhi'zhen 逢时即至珍
'feng'shi'yi'qiao'ran 逢时一悄然
'feng'shuang'qian'jian'wei 风霜潜减威
'feng'song'zhe'xi'li'pu'ye'xiang'gong'fu'zhen 奉送浙西李仆射相公赴镇
'feng'su'ru'kuang'zhong'ci'shi 风俗如狂重此时
'feng'tian'qi'se'shu'shang'ren 风天气色属商人
'feng'tiao'ye'jing'qing 风调夜景清
'feng'wang'shi'er'xue'shi'ru'han'lin'yin'yi'shi'zeng 逢王十二学士入翰林因以诗赠
'feng'wu'qing'yuan'mu 风物清远目
'feng'xian'jin'bang'yun'jian'chu 凤衔金榜云间出
'feng'xian'xin'zhao'jiang'en'hua 凤衔新诏降恩华
'feng'yan'ji'nan'cheng 风烟纪南城
'feng'yan'qing'cao'mi 风烟青草靡
'feng'yan'ru'xing'bian'cheng'zhang 风烟入兴便成章
'feng'yi'pian'xian'wu'lu'bo 冯夷蹁跹舞渌波
'feng'yi'yu'cui'lan 风意欲摧兰
'feng'yin'shang'gao'cen 风引上高岑
'feng'yun'bian'hua'rao'nian'shao 风云变化饶年少
'feng'yun'jian'gao'wu'ye'dong 风韵渐高梧叶动
'feng'yun'ri'yi'gai 风云日已改
'fu'bei'ming'ri'qu 浮杯明日去
'fu'bo'gu'dao'feng'yan'zai 伏波故道风烟在
'fu'gong'ji'you'chao'zhong'jiu 府公既有朝中旧
'fu'hua'yong'qu'chu 浮花拥曲处
'fu'kui'shi'tan'kong 俯窥石潭空
'fu'yun'jin'luo'nao 浮云金络脑
'fu'yun'ye'ma'gui'si'yi 浮云野马归四裔
'fu'zai'wu'ling'shui 浮在武陵水
'fu'zhuang'sha'lao'ti'qie'hao 缚壮杀老啼且号
'fu'zhuo'wu'sheng'you'lv'gu 俯啄无声犹屡顾
'fu'zi'geng'bao'chi 父子更抱持
'gan'ling'jiu'dang'diao'ling'jin 甘陵旧党凋零尽
'gan'shi'jiang'hai'si 感时江海思
'gan'tan'yi'lao'ge 感叹益劳歌
'gan'wu'ti'ying'jin 感物涕盈襟
'gan'xian'ying'ru'zhuan'cheng'ju 绀幰迎入专城居
'gan'xin'zui'shu'bei 甘心醉数杯
'gan'yu'er'shou 感遇二首
'gang'jian'sheng'ming'zhong'suo'zhi 戆谏声名众所知
'gang'tou'hua'cao'qi 冈头花草齐
'gao'biao'lian'han'man 高标连汗漫
'gao'chu'juan'lian'kan 高处卷帘看
'gao'ge'chen'kai'sao'cui'wei 高阁晨开扫翠微
'gao'ji'yun'huan'gong'yang'zhuang 高髻云鬟宫样妆
'gao'jia'pin'lin'lang 高价聘琳琅
'gao'li'fu'si'guo'zhu'wang 高丽罘罳过蛛网
'gao'lou'he'jian'xi'ceng'deng 高楼贺监昔曾登
'gao'lou'yi'yuan'you'pin'wang 高楼已远犹频望
'gao'lou'yue'hao'ye'shen'chui 高楼月好夜深吹
'gao'qiang'qi'xing'se 高樯起行色
'gao'qing'fang'zao'shi 高情方造适
'gao'qing'yi'jian'yu'fu'chi 高情一见与扶持
'gao'seng'jing'she'kai 高僧精舍开
'gao'shan'gu'wu'xian 高山固无限
'gao'shu'lin'qing'chi 高树临清池
'gao'xing'dui'hua'zhi 高兴对花枝
'gao'ye'ming'kong'jie 槁叶鸣空阶
'gao'zuo'ji'liao'chen'mo'mo 高座寂寥尘漠漠
'ge'chuan'shang'ke'lan'tang'mu 歌传上客兰堂暮
'ge'chuang'yi'qi'shang'meng'long 隔窗依砌尚蒙笼
'ge'ci'zi'zuo'bie'sheng'qing 歌词自作别生情
'ge'li'chou'ren'chang'zi'duan 个里愁人肠自断
'ge'lian'wei'jian'zhong'ting'cao 隔帘惟见中庭草
'ge'pu'wang'xing'chuan 隔浦望行船
'ge'shang'yan'shu'liu'xiang'qu 阁上掩书刘向去
'ge'shui'sheng'bie'dao 隔水生别岛
'ge'wu'jiao'qing'chun 歌舞娇青春
'ge'yan'guan'chang'jun 各言官长峻
'ge'yi'bi'tian'qiu 阁倚碧天秋
'ge'yi'qing'tian'jian'feng'chao 阁倚晴天见凤巢
'ge'ying'zhu'song'han 阁影助松寒
'gen'kong'yu'jia'yuan'tuo'qiao 亘空欲驾鼋鼍桥
'geng'bao'ming'chao'chi'shang'zhuo 更报明朝池上酌
'geng'bu'xiang'zhu'jia 更不向诸家
'geng'fu'man'ye'xing'ren'ge 耕夫满野行人歌
'geng'jiang'he'mian'shang'chun'tai 更将何面上春台
'geng'jie'dong'shan'wen'jiu'hui 更接东山文酒会
'geng'neng'si'mian'zhan'wen'zhang 更能四面占文章
'geng'nou'bu'guan'xin 耕耨不关心
'geng'qian'ji'shi'hui 更遣几时回
'geng'sa'xiang'jiang'ban'zhu'zhi 更洒湘江斑竹枝
'geng'yu'yin'qin'chang'wei'cheng 更与殷勤唱渭城
'gong'ai'su'zhuang'yan 共爱宿妆妍
'gong'cheng'pin'xian'qi'shen'zhang 功成频献乞身章
'gong'cheng'yu'ai'xian 功成欲爱闲
'gong'dai'wei'rui'cui'hua'ju 共待葳蕤翠华举
'gong'lai'bai'yue'wen'shen'di 共来百越文身地
'gong'men'shao'tui'shu 公门少推恕
'gong'ming'huai'cun'yin 功名怀寸阴
'gong'qiang'yin'lin'wei'ye'ze 宫墙隐嶙围野泽
'gong'shu'yuan'ning'bi 宫树远凝碧
'gong'xi'yan'yang'nian 共惜艳阳年
'gong'xian'fu'zhong'tang'di'hao 共羡府中棠棣好
'gong'zhan'shao'wei'xing 共占少微星
'gong'zheng'bu'du'yun 宫徵不独运
'gou'wu'zu'qie'shen 勾吴阻且深
'gu'chao'wu'yuan'shu 故巢吴苑树
'gu'chen'lei'yi'jin 孤臣泪已尽
'gu'cheng'ji'yuan'mu 孤城寄远目
'gu'cheng'she'ce'ru'wan'hu 古称射策如弯弧
'gu'chi'chun'you'zhi 故池春又至
'gu'cui'can'pai'yao'shen'ruan 鼓催残拍腰身软
'gu'dao'rao'ji'li 古道饶蒺藜
'gu'du'chan'yuan'shi 古渡潺湲石
'gu'fan'dai'ri'lai 孤帆带日来
'gu'guo'huang'tai'zai 故国荒台在
'gu'hou'ye'hao'gui'lai 故侯也好归来
'gu'ke'zui'xian'wen 孤客最先闻
'gu'lai'ming'jiang'jin'wei'shen 古来名将尽为神
'gu'lai'wei'you'wang'wen'du 古来唯有王文度
'gu'lei'xiao'xiao'lu'di'qiu 故垒萧萧芦荻秋
'gu'li'lai'ci'xin'shu'guo 故吏来辞辛属国
'gu'lin'tang'shu'qiu 故林棠树秋
'gu'ling'wu'si'bi 故令无四壁
'gu'lun'xu'zhuan'guang'bu'ding 孤轮徐转光不定
'gu'luo'cheng'gu'qiang 故洛城古墙
'gu'mian'qian'qian'cao 孤眠芊芊草
'gu'ming'xing'han'jian 孤明星汉间
'gu'mu'dai'chan'qiu 古木带蝉秋
'gu'pan'liu'hui'guang 顾盼流辉光
'gu'ren'jin'bu'jian 故人今不见
'gu'ren'nan'tai'jiu 故人南台旧
'gu'ren'qing'xia'yi 故人青霞意
'gu'ren'shu'xin'dao'chai'fei 故人书信到柴扉
'gu'ren'you'zai'san'jiang'wai 故人犹在三江外
'gu'ren'yun'yu'san 故人云雨散
'gu'sheng'yi'wei'gan 孤生易为感
'gu'shu'jian'qi'jiong 古戍见旗迥
'gu'su'tai 姑苏台
'gu'tai'cang'cang'feng'lao'jie 古苔苍苍封老节
'gu'xiang'yun'yu'guai 故乡云雨乖
'gu'yi'shui'gu'xing 顾义谁顾形
'gu'zhi'wu'yi'yi 孤志无依倚
'gu'zhou'suo'li'weng 孤舟蓑笠翁
'gu'zi'yu'nan'zhi'jun'zhang 故自渝南掷郡章
'gua'gong'wen'suo'wang 挂弓问所往
'guan'ba'zhen'tu 观八阵图
'guan'cao'chong'zhong'nan'pin'ru 官曹崇重难频入
'guan'fu'xiang'yan'zhong'ri'dai 官拂象筵终日待
'guan'jin'qi'li'zu 观津戚里族
'guan'jun'ru'cheng'ren'bu'zhi 官军入城人不知
'guan'jun'si'he'you'ying'cheng 官军四合犹婴城
'guan'lu'zheng'fei'chen 关路正飞尘
'guan'ming'si'guan'yue 官名司管籥
'guan'qi'ge'song'xuan'shi'xi'you 观棋歌送儇师西游
'guan'ran'wei'ke'zhen'yi'qi 莞然为客振衣起
'guan'shu'fu'shu'qiao'deng'yin 关树扶疏敲镫吟
'guan'wai'yang'gong'an'wen'bu 关外杨公安稳不
'guan'xian'bu'ji'cheng 官闲不计程
'guan'xian'fan'chun'zhu 管弦泛春渚
'guan'yi'ye'ming'qiu'se'shen 鹳鶂夜鸣秋色深
'guang'jing'cuo'tuo'shu'lao'fu 光景蹉跎属老夫
'gui'jiang'dong'guo'lian'shan'xia 桂江东过连山下
'gui'lai'gong'dao'shi'qiao'bu 归来共到市桥步
'gui'lai'hai'jian'qu'jiang'chun 归来还见曲江春
'gui'lai'wei'jian'qin'huai'bi 归来唯见秦淮碧
'gui'ling'yu'yu'duo'he'ji 桂岭雨余多鹤迹
'gui'ling'zhang'lai'yun'si'mo 桂岭瘴来云似墨
'gui'mu'bing'sui'hui'yan'jin 归目并随回雁尽
'gui'ren'qian'di'yi 贵人牵帝衣
'gui'ren'yin'jin'xie 贵人饮金屑
'gui'shou'tuo'ming'zheng'xian'hao 鬼手脱命争纤毫
'gui'shu'xin'zhi'se'geng'qing 桂树新枝色更青
'gui'tao'na'na'jing'zhao'zhao 归涛纳纳景昭昭
'gui'wang'wu'dan'xi 归往无旦夕
'gui'xin'du'jiang'yong 归心渡江勇
'gui'yang'ling 桂阳岭
'gui'you'hao'shi'zu'hua'yan 贵游豪士足华筵
'gui'you'zan'zu'xiang'lian'long 贵游簪组香帘栊
'gui'zhi'wu'tong'gong'sou'liu 桂枝梧桐共飕飗
'gui'zhou'xi'nan'you'qian'li 桂州西南又千里
'gui'zuo'ni'shang'yu'yi'qu 归作霓裳羽衣曲
'guo'an'ting'zhong'sheng 过岸听钟声
'guo'bian'san'miao'shi 国辨三苗氏
'guo'pu'yan'you'jing 郭璞验幽经
'hai'bei'tian'nan'ling'luo'jin 海北天南零落尽
'hai'gui'nei'dian'yue'tu'shu 还归内殿阅图书
'hai'he'yi'wei'bie 海鹤一为别
'hai'jiang'yuan'yi'wen'xiao'xiang 还将远意问潇湘
'hai'kuo'shi'men'xiao 海阔石门小
'hai'men'shuang'qing'mu'yan'xie 海门双青暮烟歇
'hai'nei'er'jin'you'zhi'sheng 海内而今有直声
'hai'pan'jian'shan'si'jian'mang 海畔尖山似剑铓
'hai'qiao'xin'ci'yong'jia'shou 海峤新辞永嘉守
'hai'ren'kuang'gu'die'xiang'zhao 海人狂顾迭相招
'hai'se'bu'dong'ru'qing'yao 海色不动如青瑶
'hai'si'xie'bing'yin'gui'qu 还思谢病吟归去
'hai'si'xie'lun'fu'guan'nu 还思写论付官奴
'hai'tian'chou'si'zheng'mang'mang 海天愁思正茫茫
'hai'tian'sha'qi'bo 海天杀气薄
'hai'yang'shi'yong'bing'yin 海阳十咏并引
'hai'zhong'xian'guo'zi'sheng'chi 海中仙果子生迟
'han'di'pian'zhi'bai'ma'sheng 汉帝偏知白马生
'han'fang'chao'jing'fa 含芳朝竞发
'han'gui'yin'qi'shou'ni'tu 寒龟饮气受泥涂
'han'hao'lang'yong'yu'shui'tong 含毫朗咏与谁同
'han'hu'hua'jiao'yuan'bian'cao 涵胡画角怨边草
'han'jia'cheng'xiang'zhong'zheng'hou 汉家丞相重征后
'han'jia'du'wei'jiu'zheng'man 汉家都尉旧征蛮
'han'jia'fei'jiang'xia'tian'lai 汉家飞将下天来
'han'jia'jing'jie'fu'xiong'cai 汉家旌节付雄才
'han'jiang'zhuan'sha'qu 寒江转沙曲
'han'lei'jun'wu'dou 汉垒麏鼯斗
'han'ling'qin'yuan'yao'cang'cang 汉陵秦苑遥苍苍
'han'sha'bu'neng'she 含沙不能射
'han'shan'mu'duo'si 寒山暮多思
'han'shen'gu'nan'chui 寒甚谷难吹
'han'shou'cheng'bian'ye'cao'chun 汉寿城边野草春
'han'shou'cheng'chun'wang 汉寿城春望
'han'shou'xiang'xiao'gu'qie'yi 韩寿香销故箧衣
'han'tou'luo'yi'yu'dian'hua 汗透罗衣雨点花
'han'xin'miao 韩信庙
'han'yan'tu'wu'yu'cen'ci 含烟吐雾郁参差
'han'yan'xuan'bi'cai 含烟绚碧彩
'han'yue'shang'dong'ling 寒月上东岭
'han'yun'ying'chu'xu 含晕迎初旭
'han'zao'wu'lun'yi 寒藻舞沦漪
'hang'dang'bai'lu'shi 行当白露时
'hang'zi'dong'shan'qi'zheng'si 行子东山起征思
'hao'chu'pai'huai'zhu'fei'xi 好处徘徊驻飞锡
'hao'dang'wu'jiang'xing 浩荡吾将行
'hao'er'shen'gu'qing 浩尔神骨清
'hao'ke'jiao'zhu'lv 好客交珠履
'hao'lv'wu'yu'ying 毫缕无余赢
'hao'qu'cong'kong'bai'yu'tai 好去从空白玉台
'hao'ran'ji'yi'xi 浩然机已息
'hao'ran'zi'xu'shi'hou'sheng 好染髭须事后生
'hao'ri'qi'qiang'gan 好日起樯竿
'hao'yu'tao'zhen'bai 好与陶贞白
'hao'zai'xiang'jiang'shui 好在湘江水
'hao'zuo'si'ren'shu 好作思人树
'he'bi'guan'xian'cui 何必管弦催
'he'bi'yan'guang'lu 何必颜光禄
'he'chu'hao'feng'pian'si'xue 何处好风偏似雪
'he'chu'hao'yu'tian 何处好畬田
'he'chu'lie'jun'ming 何处列君名
'he'chu'qiu'feng'zhi 何处秋风至
'he'chu'ren'jian'si'xian'jing 何处人间似仙境
'he'chu'yan'liu'bai'fa'sheng 何处淹留白发生
'he'kuang'meng'shan'gu'zhu'chun 何况蒙山顾渚春
'he'kuang'qian'qiao'jiu'tong'ban 何况迁乔旧同伴
'he'kuang'qing'xian'ji'guan'cui 何况清弦急管催
'he'lang'du'zai'wu'en'ze 何郎独在无恩泽
'he'lao'geng'shu'bei'tang'xuan 何劳更树北堂萱
'he'le'tian'chun'ci 和乐天春词
'he'le'tian'er'shun'yin'jian'ji'dun'shi 和乐天耳顺吟兼寄敦诗
'he'le'tian'nan'yuan'shi'xiao'le 和乐天南园试小乐
'he'le'tian'ti'zhen'niang'mu 和乐天题真娘墓
'he'le'tian'yi'jing'huan'jiu 和乐天以镜换酒
'he'le'tian'ying'wu 和乐天鹦鹉
'he'le'tian'zao'han 和乐天早寒
'he'le'tian'zhe'zhi 和乐天柘枝
'he'li'xiang'gong'ping'quan'tan'shang'xi'jian'chu'yue 和李相公平泉潭上喜见初月
'he'ling'hu'xiang'gong'bie'mu'dan 和令狐相公别牡丹
