'a'mi'qin'shu 阿米芹属
'fei'zao'jia'shu 肥皂荚属
'fei'zha'shu 菲柞属
'fei'zhou'lian'shu 非洲楝属
'fen'bao'ju'shu 粉苞菊属
'fen'bei'jue'shu 粉背蕨属
'fen'kou'lan'shu 粉口兰属
'fen'lv'teng'shu 粉绿藤属
'fen'tiao'er'cai'shu 粉条儿菜属
'fen'yao'hua'shu 分药花属
'fen'ye'jue'shu 粉叶蕨属
'feng'che'zi'shu 风车子属
'feng'chu'chao'shu 蜂出巢属
'feng'chui'nan'shu 风吹楠属
'feng'die'lan'shu 凤蝶兰属
'feng'dou'cai'shu 蜂斗菜属
'feng'dou'cao'shu 蜂斗草属
'feng'hua'cao'shu 丰花草属
'feng'huang'mu'shu 凤凰木属
'feng'lan'shu 风兰属
'feng'li'ke 凤梨科
'feng'li'shu 凤梨属
'feng'ling'cao'shu 风铃草属
'feng'long'shu 风龙属
'feng'lun'cai'shu 风轮菜属
'feng'lun'tong'shu 风轮桐属
'feng'mang'cao'shu 锋芒草属
'feng'mao'ju'shu 风毛菊属
'feng'tou'shu'shu 凤头黍属
'feng'wei'jue'ke 凤尾蕨科
'feng'wei'jue'shu 凤尾蕨属
'feng'xian'hua'ke 凤仙花科
'feng'xian'hua'shu 凤仙花属
'feng'xiang'guo'shu 风箱果属
'feng'xiang'shu'shu 风箱树属
'feng'xiang'shu'shu 枫香树属
'feng'ya'jue'shu 凤丫蕨属
'feng'yan'lan'shu 凤眼蓝属
'feng'yang'shu 枫杨属
'feng'yao'lan'shu 蜂腰兰属
'feng'zheng'guo'shu 风筝果属
'fo'shou'gua'shu 佛手瓜属
'fu'cao'shu 腐草属
'fu'di'cai'shu 附地菜属
'fu'di'du'juan'shu 伏地杜鹃属
'fu'hua'ju'tai'shu 辐花苣苔属
'fu'hua'shu 辐花属
'fu'jian'bai'shu 福建柏属
'fu'jue'shu 茯蕨属
'fu'lan'cao'shu 芙兰草属
'fu'lan'shu 馥兰属
'fu'mang'ju'shu 复芒菊属
'fu'ning'teng'shu 富宁藤属
'fu'ping'ke 浮萍科
'fu'ping'shu 浮萍属
'fu'qi'cao'shu 腹脐草属
'fu'rong'ju'shu 芙蓉菊属
'fu'shi'jue'shu 伏石蕨属
'fu'shui'cao'shu 腹水草属
'fu'wang'cao'shu 福王草属
'fu'ye'er'jue'shu 复叶耳蕨属
'fu'zi'mao'shu 拂子茅属
'gai'hou'lan'shu 盖喉兰属
'gai'lie'guo'shu 盖裂果属
'gai'lie'mu'shu 盖裂木属
'gan'cao'shu 甘草属
'gan'guo'mu'shu 干果木属
'gan'hua'dou'shu 干花豆属
'gan'ju'shu 柑橘属
'gan'lan'ke 橄榄科
'gan'lan'shu 橄榄属
'gan'song'shu 甘松属
'gan'ying'cao'shu 感应草属
'gan'zhe'shu 甘蔗属
'gang'liu'shu 杠柳属
'gang'song'shu 岗松属
'gang'zhu'shu 刚竹属
'gao'ben'shu 藁本属
'gao'he'cai'shu 高河菜属
'gao'liang'shu 高粱属
'gao'shan'dou'shu 高山豆属
'gao'shan'qin'shu 高山芹属
'gao'yuan'jie'shu 高原芥属
'ge'bao'ju'shu 革苞菊属
'ge'bi'li'shu 戈壁藜属
'ge'ji'mang'shu 割鸡芒属
'ge'ju'lan'shu 隔距兰属
'ge'lan'ma'cao'shu 格兰马草属
'ge'lv'zi'shu 葛缕子属
'ge'mai'shu'shu 格脉树属
'ge'mu'shu 格木属
'ge'na'xiang'shu 哥纳香属
'ge'she'shu'shu 割舌树属
'ge'shu 葛属
'ge'shuo'qing'shu 隔蒴苘属
'ge'ye'ji'shu 革叶荠属
'gong'chi'qin'shu 弓翅芹属
'gong'guo'shu'shu 弓果黍属
'gong'guo'teng'shu 弓果藤属
'gong'tong'shu 珙桐属
'gou'ban'shu 沟瓣属
'gou'e'cao'shu 钩萼草属
'gou'er'cha'shu 勾儿茶属
'gou'fan'lv'ke 沟繁缕科
'gou'fan'lv'shu 沟繁缕属
'gou'fu'cao'shu 沟稃草属
'gou'gan'cai'shu 狗肝菜属
'gou'gu'chai'shu 狗骨柴属
'gou'ji'shu 狗脊属
'gou'jin'man'shu 狗筋蔓属
'gou'mao'cao'shu 钩毛草属
'gou'mao'jue'shu 钩毛蕨属
'gou'qi'shu 枸杞属
'gou'she'cao'shu 狗舌草属
'gou'shu 构属
'gou'suan'jiang'shu 沟酸浆属
'gou'teng'shu 钩藤属
'gou'wa'hua'shu 狗娃花属
'gou'wei'cao'shu 狗尾草属
'gou'wen'shu 钩吻属
'gou'ya'gen'shu 狗牙根属
'gou'ya'hua'shu 狗牙花属
'gou'ye'teng'shu 钩叶藤属
'gou'ying'cao'shu 沟颖草属
'gou'zhi'teng'ke 钩枝藤科
'gou'zhi'teng'shu 钩枝藤属
'gou'zi'ji'shu 沟子荠属
'gou'zi'mu'shu 钩子木属
'gu'dang'gui'shu 古当归属
'gu'jing'cao'ke 谷精草科
'gu'jing'cao'shu 谷精草属
'gu'ke'ke 古柯科
'gu'ke'shu 古柯属
'gu'mu'shu 谷木属
'gu'pai'jue'shu 骨牌蕨属
'gu'sha'cao'shu 固沙草属
'gu'shan'long'shu 古山龙属
'gu'shu 菰属
'gu'sui'bu'ke 骨碎补科
'gu'sui'bu'shu 骨碎补属
'gua'er'dou'shu 瓜儿豆属
'gua'er'mu'shu 瓜耳木属
'gua'fu'mu'shu 瓜馥木属
'gua'li'shu 瓜栗属
'gua'lou'shu 栝楼属
'gua'mao'ju'shu 寡毛菊属
'guan'chun'hua'shu 冠唇花属
'guan'chun'lan'shu 管唇兰属
'guan'gai'teng'shu 冠盖藤属
'guan'guang'mu'shu 观光木属
'guan'hua'lan'shu 管花兰属
'guan'mang'cao'shu 冠芒草属
'guan'mao'cao'shu 冠毛草属
'guan'yin'cao'shu 观音草属
'guan'yin'lan'shu 观音兰属
'guan'yin'zuo'lian'ke 观音坐莲科
'guan'yin'zuo'lian'shu 观音座莲属
'guan'zhong'shu 贯众属
'guang'dong'wan'nian'qing'shu 广东万年青属
'guang'fang'feng'shu 广防风属
'guang'lang'shu 桄榔属
'guang'ye'jue'shu 光叶蕨属
'guang'ye'teng'jue'ke 光叶藤蕨科
'guang'ye'teng'jue'shu 光叶藤蕨属
'gui'bei'zhu'shu 龟背竹属
'gui'chui'xiao'shu 鬼吹箫属
'gui'deng'qing'shu 鬼灯檠属
'gui'hai'mu'shu 桂海木属
'gui'jiu'shu 鬼臼属
'gui'ying'shu 桂樱属
'gui'zhen'cao'shu 鬼针草属
'gui'zhu'xiang'shu 桂竹香属
'guo'jiang'teng'shu 过江藤属
'guo'shan'jue'shu 过山蕨属
'guo'xiang'ju'shu 果香菊属
'hai'an'tong'shu 海岸桐属
'hai'bin'sha'shu 海滨莎属
'hai'chang'pu'shu 海菖蒲属
'hai'dao'teng'shu 海岛藤属
'hai'er'can'shu 孩儿参属
'hai'er'cao'shu 孩儿草属
'hai'hong'dou'shu 海红豆属
'hai'jin'sha'ke 海金沙科
'hai'jin'sha'shu 海金沙属
'hai'lan'ci'shu 海榄雌属
'hai'ma'chi'shu 海马齿属
'hai'mang'guo'shu 海杧果属
'hai'nan'duan'shu 海南椴属
'hai'qi'shu 海漆属
'hai'qian'shu'shu 海茜树属
'hai'ren'shu'shu 海人树属
'hai'ru'cao'shu 海乳草属
'hai'sang'ke 海桑科
'hai'sang'shu 海桑属
'hai'tan'mu'shu 海檀木属
'hai'tong'hua'ke 海桐花科
'hai'tong'hua'shu 海桐花属
'hai'ying'su'shu 海罂粟属
'hai'yu'shu 海芋属
'han'bao'cao'shu 含苞草属
'han'cai'shu 蔊菜属
'han'he'shu 旱禾属
'han'jin'lian'ke 旱金莲科
'han'jin'lian'shu 旱金莲属
'han'jue'shu 旱蕨属
'han'mai'cao'shu 旱麦草属
'han'mao'shu 旱茅属
'han'peng'shu 寒蓬属
'han'que'dou'shu 旱雀豆属
'han'xiao'shu 含笑属
'han'xiu'cao'shu 含羞草属
'han'you'zhu'shu 旱莠竹属
'han'yuan'ji'shu 寒原荠属
'han'zhu'shu 寒竹属
'hang'zi'shao'shu 杭子梢属
'hao'jue'shu 蒿蕨属
'hao'shu 蒿属
'hao'zao'shu 貉藻属
'he'ba'wang'shu 河八王属
'he'ban'hua'shu 合瓣花属
'he'bao'jue'shu 荷包蕨属
'he'bao'mu'dan'shu 荷包牡丹属
'he'bao'teng'shu 荷包藤属
'he'ben'ke 禾本科
'he'ding'lan'shu 鹤顶兰属
'he'e'lan'shu 合萼兰属
'he'er'ju'shu 合耳菊属
'he'guo'cha'shu 核果茶属
'he'guo'mu'shu 合果木属
'he'guo'mu'shu 核果木属
'he'guo'teng'shu 盒果藤属
'he'huan'cao'shu 合欢草属
'he'huan'shu 合欢属
'he'jing'tian'shu 合景天属
'he'lian'dou'cao'shu 荷莲豆草属
'he'lin'mu'shu 褐鳞木属
'he'meng'shu 合萌属
'he'qing'hua'shu 荷青花属
'he'shang'cai'shu 和尚菜属
'he'shi'shu 鹤虱属
'he'shou'wu'shu 何首乌属
'he'tou'cao'shu 合头草属
'he'tou'ju'shu 合头菊属
'he'wang'lan'shu 鹤望兰属
'he'xi'ju'shu 河西菊属
'he'ye'cao'shu 合页草属
'he'ye'jue'ke 禾叶蕨科
'he'ye'jue'shu 禾叶蕨属
'he'ye'lan'shu 禾叶兰属
'he'zhu'jin'lian'mu'shu 合柱金莲木属
'he'zhu'lan'shu 合柱兰属
'he'zi'cao'shu 盒子草属
'he'zi'mu'shu 核子木属
'he'zi'shu 诃子属
'hei'cao'shu 黑草属
'hei'gou'ye'shu 黑构叶属
'hei'lin'shu 黑鳞属
'hei'mai'cao'shu 黑麦草属
'hei'mai'shu 黑麦属
'hei'man'teng'shu 黑鳗藤属
'hei'mian'shen'shu 黑面神属
'hei'san'leng'ke 黑三棱科
'hei'san'leng'shu 黑三棱属
'hei'sha'cao'shu 黑莎草属
'hei'shuo'shu 黑蒴属
'hei'xin'jue'shu 黑心蕨属
'hei'zao'shu 黑藻属
'hei'zhong'cao'shu 黑种草属
'heng'shuo'ju'tai'shu 横蒴苣苔属
'hong'cong'shu 红葱属
'hong'dan'bi'shu 红淡比属
'hong'dou'shan'ke 红豆杉科
'hong'dou'shan'shu 红豆杉属
'hong'dou'shu 红豆属
'hong'gua'shu 红瓜属
'hong'guang'shu'shu 红光树属
'hong'guo'shu'shu 红果树属
'hong'hou'ke'shu 红厚壳属
'hong'hua'he'shu 红花荷属
'hong'hua'jin'si'tao'shu 红花金丝桃属
'hong'hua'shu 红花属
'hong'jiao'mu'shu 红胶木属
'hong'jing'tian'shu 红景天属
'hong'mao'cao'shu 红毛草属
'hong'mao'lan'shu 红毛蓝属
'hong'mao'qi'shu 红毛七属
'hong'men'lan'shu 红门兰属
'hong'mu'ke 红木科
'hong'mu'shu 红木属
'hong'qian'ceng'shu 红千层属
'hong'que'shan'hu'shu 红雀珊瑚属
'hong'sha'shu 红砂属
'hong'shu'ke 红树科
'hong'shu'shu 红树属
'hong'si'xian'shu 红丝线属
'hong'xian'jue'shu 红腺蕨属
'hong'ya'da'ji'shu 红芽大戟属
'hong'ye'teng'shu 红叶藤属
'hou'bi'ji'shu 厚壁荠属
'hou'bi'jue'shu 厚壁蕨属
'hou'bian'jue'shu 厚边蕨属
'hou'chun'lan'shu 厚唇兰属
'hou'er'huan'shu 猴耳环属
'hou'hua'cao'shu 喉花草属
'hou'huan'xi'shu 猴欢喜属
'hou'hui'ju'shu 厚喙菊属
'hou'ju'hua'shu 厚距花属
'hou'ke'gui'shu 厚壳桂属
'hou'ke'shu'shu 厚壳树属
'hou'leng'qin'shu 厚棱芹属
'hou'mian'bao'shu'shu 猴面包树属
'hou'mo'shu'shu 厚膜树属
'hou'pi'shu'shu 厚皮树属
'hou'pi'xiang'shu 厚皮香属
'hou'rui'ju'tai'shu 后蕊苣苔属
'hou'ye'jue'shu 厚叶蕨属
'hu'ci'shu 虎刺属
'hu'die'cao'shu 蝴蝶草属
'hu'die'guo'shu 蝴蝶果属
'hu'die'lan'shu 蝴蝶兰属
'hu'er'cao'ke 虎耳草科
'hu'er'cao'shu 虎耳草属
'hu'gua'cao'shu 湖瓜草属
'hu'huang'lian'shu 胡黄连属
'hu'ji'sheng'shu 槲寄生属
'hu'jiao'ke 胡椒科
'hu'jiao'shu 胡椒属
'hu'jue'ke 槲蕨科
'hu'jue'shu 槲蕨属
'hu'lu'ba 胡卢巴
'hu'lu'cha'shu 葫芦茶属
'hu'lu'ke 葫芦科
'hu'lu'shu 葫芦属
'hu'lu'shu'shu 葫芦树属
'hu'luo'bo'shu 胡萝卜属
'hu'ma'cao'shu 胡麻草属
'hu'ma'hua'shu 胡麻花属
'hu'ma'ke 胡麻科
'hu'ma'shu 胡麻属
'hu'pi'hua'shu 虎皮花属
'hu'pi'nan'shu 虎皮楠属
'hu'she'lan'shu 虎舌兰属
'hu'tao'ke 胡桃科
'hu'tao'shu 胡桃属
'hu'tou'ji'shu 虎头蓟属
'hu'tui'zi'ke 胡颓子科
'hu'tui'zi'shu 胡颓子属
'hu'wei'cao'shu 虎尾草属
'hu'wei'lan'shu 虎尾兰属
'hu'wei'zao'shu 狐尾藻属
'hu'yan'hua'shu 虎颜花属
'hu'yan'wan'nian'qing'shu 虎眼万年青属
'hu'ye'tie'xian'lian'shu 互叶铁线莲属
'hu'zhang'shu 虎杖属
'hu'zhen'zi'shu 虎榛子属
'hu'zhi'zi'shu 胡枝子属
'hua'bi'ju'shu 画笔菊属
'hua'bian'dou'shu 华扁豆属
'hua'can'shu 华参属
'hua'dian'cao'shu 花点草属
'hua'fu'hua'shu 华福花属
'hua'gai'mu'shu 华盖木属
'hua'hua'chai'shu 花花柴属
'hua'jiao'shu 花椒属
'hua'kui'shu 花葵属
'hua'lin'ke 花蔺科
'hua'lin'shu 花蔺属
'hua'ling'cao'shu 花菱草属
'hua'mao'shu 花锚属
'hua'mei'cao'shu 画眉草属
'hua'mu'ke 桦木科
'hua'mu'shu 桦木属
'hua'pei'ju'shu 花佩菊属
'hua'pi'jiao'teng'shu 花皮胶藤属
'hua'qi'gan'shu 花旗竿属
'hua'qiu'shu 花楸属
'hua'ren'ke 花荵科
'hua'ren'shu 花荵属
'hua'tao'shu'shu 滑桃树属
'hua'teng'shu 滑藤属
'hua'xiang'shu'shu 化香树属
'hua'xie'jia'shu 华蟹甲属
'hua'ye'wan'nian'qing'shu 花叶万年青属
'hua'zhi'zhu'lan'shu 花蜘蛛兰属
'hua'zhu'cao'ke 花柱草科
'hua'zhu'cao'shu 花柱草属
'hua'zhu'shu 花烛属
'huai'shu 槐属
'huai'ye'pin'ke 槐叶蘋科
'huai'ye'pin'shu 槐叶蘋属
'huan'gen'qin'shu 环根芹属
'huan'yang'can'shu 还阳参属
'huang'an'cai'shu 黄鹌菜属
'huang'bo'shu 黄檗属
'huang'chan'shu 黄蝉属
'huang'gua'cai'shu 黄瓜菜属
'huang'gua'shu 黄瓜属
'huang'hua'jia'zhu'tao'shu 黄花夹竹桃属
'huang'hua'lin'shu 黄花蔺属
'huang'hua'mao'shu 黄花茅属
'huang'hua'mu'shu 黄花木属
'huang'hua'ren'shu 黄花稔属
'huang'hua'shu 黄华属
'huang'jin'mao'shu 黄金茅属
'huang'jing'cao'shu 黄猄草属
'huang'jing'shu 黄精属
'huang'jing'ye'gou'wen'shu 黄精叶钩吻属
'huang'ju'shu 幌菊属
'huang'lan'shu 黄兰属
'huang'li'mu'shu 黄梨木属
'huang'lian'mu'shu 黄连木属
'huang'lian'zhu 黄连属
'huang'lu'shu 黄栌属
'huang'ma'shu 黄麻属
'huang'mai'jue'chuang'shu 黄脉爵床属
'huang'mao'shu 黄茅属
'huang'mian'mu'shu 黄棉木属
'huang'niu'mu'shu 黄牛木属
'huang'pi'shu 黄皮属
'huang'qi'shu 黄耆属
'huang'qi'shu 黄杞属
'huang'qiao'er'shu 黄雀儿属
'huang'qin'jiao'shu 黄秦艽属
'huang'qin'shu 黄芩属
'huang'qiu'hua'shu 黄球花属
'huang'rong'hua'shu 黄蓉花属
'huang'rou'nan'shu 黄肉楠属
'huang'san'feng'shu 幌伞枫属
'huang'san'qi'shu 黄三七属
'huang'shan'mei'shu 黄山梅属
'huang'shan'shu 黄杉属
'huang'shan'teng'shu 黄鳝藤属
'huang'shui'zhi'shu 黄水枝属
'huang'tan'shu 黄檀属
'huang'teng'shu 黄藤属
'huang'tong'hua'shu 黄筒花属
'huang'tong'shu 黄桐属
'huang'wei'shu 黄薇属
'huang'xi'xin'shu 黄细心属
'huang'xian'yu'jue'shu 黄腺羽蕨属
'huang'yan'cao'ke 黄眼草科
'huang'yan'cao'shu 黄眼草属
'huang'yang'ke 黄杨科
'huang'yang'shu 黄杨属
'huang'ye'shu'shu 黄叶树属
'huang'ying'ju'shu 黄缨菊属
'hui'he'tao'shu 喙核桃属
'hui'hua'jiang'shu 喙花姜属
'hui'li'shu 灰莉属
'hui'man'teng'shu 荟蔓藤属
'hui'mao'dou'shu 灰毛豆属
'hui'qin'shu 茴芹属
'hui'xiang'sha'ren'shu 茴香砂仁属
'hui'xiang'shu 茴香属
'huo'ba'hua'shu 火把花属
'huo'ji'shu 火棘属
'huo'ju'lan'shu 火炬兰属
'huo'ma'shu'shu 火麻树属
'huo'rong'cao'shu 火绒草属
'huo'shao'hua'shu 火烧花属
'huo'shao'lan'shu 火烧兰属
'huo'sheng'shu'shu 火绳树属
'huo'tong'shu 火桐属
'huo'tong'shu'shu 火筒树属
'huo'xiang'ji'shu 藿香蓟属
'huo'xiang'shu 藿香属
'huo'xue'dan'shu 活血丹属
'huo'yan'cao'shu 火焰草属
'huo'yan'hua'shu 火焰花属
'huo'yan'lan'shu 火焰兰属
'huo'yan'shu'shu 火焰树属
'ji'bei'shu 吉贝属
'ji'cai'shu 蕺菜属
'ji'dan'hua'shu 鸡蛋花属
'ji'dou'shu 棘豆属
'ji'gu'chang'shan'shu 鸡骨常山属
'ji'ji'cao'shu 芨芨草属
'ji'ji'shu'shu 基及树属
'ji'jiao'can'shu 鸡脚参属
'ji'jue'ke 姬蕨科
'ji'jue'shu 姬蕨属
'ji'jue'shu 戟蕨属
'ji'li'cao'shu 蒺藜草属
'ji'li'ke 蒺藜科
'ji'li'shu 蒺藜属
'ji'ma'shu 鸡麻属
'ji'man'cao'shu 吉曼草属
'ji'mu'shu 檵木属
'ji'sheng'hua'shu 寄生花属
'ji'sheng'teng'shu 寄生藤属
'ji'shi'teng'shu 鸡矢藤属
'ji'shu 荠属
'ji'shu 蓟属
'ji'shu'lan'shu 寄树兰属
'ji'tou'shu'shu 鸡头薯属
'ji'wa'cao'shu 鸡娃草属
'ji'xiang'cao'shu 吉祥草属
'ji'xue'cao'shu 积雪草属
'ji'yan'cao'shu 鸡眼草属
'ji'ying'su'shu 蓟罂粟属
'ji'yu'teng'shu 鲫鱼藤属
'ji'zai'mu'shu 鸡仔木属
'ji'zhao'cao'shu 鸡爪草属
'ji'zhao'le'shu 鸡爪簕属
'jia'bai'he'shu 假百合属
'jia'bao'chun'shu 假报春属
'jia'bei'mu'shu 假贝母属
'jia'bing'lang'shu 假槟榔属
'jia'can'shu 茄参属
'jia'cao'su'shu 假糙苏属
'jia'chai'long'shu'shu 假柴龙树属
'jia'ci'shu'shu 嘉赐树属
'jia'dao'shu 假稻属
'jia'di'dan'cao'shu 假地胆草属
'jia'du'juan'shu 假杜鹃属
'jia'fu'wang'cao'shu 假福王草属
'jia'fu'ye'er'jue'shu 假复叶耳蕨属
'jia'gai'guo'cao'shu 假盖果草属
'jia'guo'jue'shu 荚果蕨属
'jia'hai'ma'chi'shu 假海马齿属
'jia'hai'tong'shu 假海桐属
'jia'han'xiu'cao'shu 假含羞草属
'jia'hu'ci'shu 假虎刺属
'jia'huan'yang'can'shu 假还阳参属
'jia'jian'rui'shu 假尖蕊属
'jia'jin'fa'cao'shu 假金发草属
'jia'jin'jie'shu 假金桔属
'jia'ke 茄科
'jia'lan'shu 假蓝属
'jia'lan'shu 嘉兰属
'jia'lan'shu 嘉榄属
'jia'lang'du'shu 假狼毒属
'jia'lang'zi'cao'shu 假狼紫草属
'jia'leng'jue'shu 假冷蕨属
'jia'lian'qiao'shu 假连翘属
'jia'lin'mao'jue'shu 假鳞毛蕨属
'jia'ling'hua'shu 嘉陵花属
'jia'liu'jue'shu 假瘤蕨属
'jia'long'dan'shu 假龙胆属
'jia'lou'ti'cao'shu 假楼梯草属
'jia'ma'bian'shu 假马鞭属
'jia'ma'chi'xian'shu 假马齿苋属
'jia'mai'jue'shu 假脉蕨属
'jia'mang'qi'shu 假芒萁属
'jia'mao'jue'shu 假毛蕨属
'jia'mi'shu 荚蒾属
'jia'mu'dou'shu 假木豆属
'jia'mu'zei'shu 假木贼属
'jia'nang'jue'shu 荚囊蕨属
'jia'ni'yan'gou'cao'shu 假拟沿沟草属
'jia'niu'bian'cao'shu 假牛鞭草属
'jia'niu'fan'lv'ke 假牛繁缕科
'jia'niu'fan'lv'shu 假牛繁缕属
'jia'po'po'na'shu 假婆婆纳属
'jia'shan'long'yan'shu 假山龙眼属
'jia'shan'luo'shu 假山萝属
'jia'shao'zi'shu 假韶子属
'jia'she'wei'cao'shu 假蛇尾草属
'jia'sheng'ma'shu 假升麻属
'jia'shi'gan'shu 假石柑属
'jia'shu 茄属
'jia'shui'jing'lan'shu 假水晶兰属
'jia'shui'su'shu 假水苏属
'jia'suan'jiang'shu 假酸浆属
'jia'ti'gai'jue'shu 假蹄盖蕨属
'jia'tie'gan'cao'shu 假铁秆草属
'jia'wei'mao'shu 假卫矛属
'jia'xiao'hui'ju'shu 假小喙菊属
'jia'ye'gu'shu 假野菰属
'jia'ye'shu'shu 假叶树属
'jia'ye'zhi'ma'shu 假野芝麻属
'jia'ying'zhao'shu 假鹰爪属
'jia'ze'lan'shu 假泽兰属
'jia'zha'bao'ye'shu 假奓包叶属
'jia'zhu'tao'ke 夹竹桃科
'jia'zhu'tao'shu 夹竹桃属
'jia'zi'cao'shu 假紫草属
'jia'zi'wan'nian'qing'shu 假紫万年青属
'jia'zi'zhu'shu 假紫珠属
'jia'zuan'mao'jue'shu 假钻毛蕨属
'jian'ban'hua'shu 尖瓣花属
'jian'bian'cao'shu 涧边草属
'jian'fu'cao'shu 尖稃草属
'jian'gu'ying'shu 剪股颖属
'jian'hua'teng'shu 尖花藤属
'jian'huai'teng'shu 尖槐藤属
'jian'jue'ke 剑蕨科
'jian'jue'shu 剑蕨属
'jian'mao'cao'shu 尖帽草属
'jian'mao'gen'shu 碱毛茛属
'jian'mao'shu 碱茅属
'jian'mu'shu 樫木属
'jian'nang'lan'shu 尖囊兰属
'jian'peng'shu 碱蓬属
'jian'qiu'luo'shu 剪秋罗属
'jian'rui'hua'shu 尖蕊花属
'jian'she'ju'tai'shu 尖舌苣苔属
'jian'shu 菅属
'jian'tou'hua'shu 尖头花属
'jian'wan'shu 碱菀属
'jian'xue'feng'hou'shu 见血封喉属
'jian'yao'hua'shu 尖药花属
'jian'yao'lan'shu 尖药兰属
'jian'yao'teng'shu 箭药藤属
'jian'ye'mu'shu 尖叶木属
'jian'ye'shui'su'shu 箭叶水苏属
'jian'zhou'cao'shu 坚轴草属
'jian'zhu'shu 箭竹属
'jian'zi'mu'shu 尖子木属
'jian'zi'teng'shu 尖子藤属
'jian'zui'jue'shu 尖嘴蕨属
'jiang'dou'shu 豇豆属
'jiang'guo'ju'tai'shu 浆果苣苔属
'jiang'guo'lian'shu 浆果楝属
'jiang'guo'xian'shu 浆果苋属
'jiang'hua'shu 姜花属
'jiang'huang'shu 姜黄属
'jiang'ju'shu 疆菊属
'jiang'ke 姜科
'jiang'nan'xing'shu 疆南星属
'jiang'shu 姜属
'jiang'wei'cao'shu 姜味草属
'jiang'ying'mu'shu 蒋英木属
'jiang'ying'su'shu 疆罂粟属
'jiao'gu'cui'shu 脚骨脆属
'jiao'gu'lan'shu 绞股蓝属
'jiao'guo'li'shu 角果藜属
'jiao'guo'mao'gen'shu 角果毛茛属
'jiao'guo'mu'shu 胶果木属
'jiao'guo'mu'shu 角果木属
'jiao'guo'zao'shu 角果藻属
'jiao'hao'shu 角蒿属
'jiao'he'mu'shu 胶核木属
'jiao'hu'ma'ke 角胡麻科
'jiao'hu'ma'shu 角胡麻属
'jiao'hua'shu 角花属
'jiao'hui'xiang'shu 角茴香属
'jiao'jian'teng'shu 铰剪藤属
'jiao'jue'shu 角蕨属
'jiao'mu'shu 胶木属
'jiao'mu'shu 蕉木属
'jiao'pan'lan'shu 角盘兰属
'jiao'rang'mu'ke 交让木科
'jie'bao'dou'shu 睫苞豆属
'jie'geng'ke 桔梗科
'jie'geng'shu 桔梗属
'jie'gu'mu'shu 接骨木属
'jie'jie'cai'shu 节节菜属
'jie'jie'mu'shu 节节木属
'jie'jue'shu 介蕨属
'jie'lv'cao'shu 结缕草属
'jie'mao'jue'ke 睫毛蕨科
'jie'mao'jue'shu 节毛蕨属
'jie'mao'jue'shu 睫毛蕨属
'jie'shuo'mu'shu 节蒴木属
'jie'xiang'shu 结香属
'jie'zhi'jue'shu 节肢蕨属
'jin'cai'ke 堇菜科
'jin'cai'shu 堇菜属
'jin'cao'shu 荩草属
'jin'chun'lan'shu 金唇兰属
'jin'chun'lan'shu 巾唇兰属
'jin'dai'hua'shu 锦带花属
'jin'fa'cao'shu 金发草属
'jin'fen'jue'shu 金粉蕨属
'jin'feng'teng'shu 金凤藤属
'jin'fo'shan'lan'shu 金佛山兰属
'jin'gang'da'shu 金刚大属
'jin'gou'hua'shu 金钩花属
'jin'gu'cao'shu 筋骨草属
'jin'gua'shu 金瓜属
'jin'guang'ju'shu 金光菊属
'jin'he'huan'shu 金合欢属
'jin'hu'wei'ke 金虎尾科
'jin'hu'wei'shu 金虎尾属
'jin'ji'er'shu 锦鸡儿属
'jin'ji'ju'shu 金鸡菊属
'jin'ji'na'shu 金鸡纳属
'jin'jin'xiang'shu 金锦香属
'jin'jin'xiang'shu 锦金香属
'jin'ju'shu 金橘属
'jin'kui'ke 锦葵科
'jin'kui'shu 锦葵属
'jin'lian'hua'shu 金莲花属
'jin'lian'mu'ke 金莲木科
'jin'lian'mu'shu 金莲木属
'jin'lv'mei'ke 金缕梅科
'jin'lv'mei'shu 金缕梅属
'jin'mao'gou'shu 金毛狗属
'jin'mao'luo'jue'shu 金毛裸蕨属
'jin'niu'kou'shu 金钮扣属
'jin'ping'teng'shu 金平藤属
'jin'qian'bao'shu 金钱豹属
'jin'qian'qi'shu 金钱槭属
'jin'qian'song'shu 金钱松属
'jin'qiao'er'shu 金雀儿属
'jin'shan'kui'shu 金山葵属
'jin'shi'hu'shu 金石斛属
'jin'si'tao'shu 金丝桃属
'jin'song'shu 金松属
'jin'su'lan'ke 金粟兰科
'jin'su'lan'shu 金粟兰属
'jin'tie'suo'shu 金铁锁属
'jin'xian'cao'shu 金线草属
'jin'xing'jue'ke 金星蕨科
'jin'xing'jue'shu 金星蕨属
'jin'xu'mao'shu 金须茅属
'jin'yao'jian'shu 金腰箭属
'jin'yao'shu 金腰属
'jin'ye'jie'shu 堇叶芥属
'jin'ye'ju'tai'shu 堇叶苣苔属
'jin'ye'shu'shu 金叶树属
'jin'ye'zi'shu 金叶子属
'jin'ying'shu 金英属
'jin'ying'su'shu 金罂粟属
'jin'yu'hua'shu 金鱼花属
'jin'yu'zao'ke 金鱼藻科
'jin'yu'zao'shu 金鱼藻属
'jin'zhan'hua'shu 金盏花属
'jin'zhan'ju'tai'shu 金盏苣苔属
'jin'zu'cao'shu 金足草属
'jing'dou'shu 荆豆属
'jing'gang'han'zhu'shu 井冈寒竹属
'jing'guo'cao'shu 颈果草属
'jing'jie'hua'ke 旌节花科
