'ai'san'ba 艾三把
'da'zao'shi'er'mei'ban'xia'ban'jin 大枣十二枚半夏半斤
'da'zao'shi'er'mei'qing 大枣十二枚擎
'da'zao'shi'mei 大枣十枚
'da'zao'shi'wu'mei 大枣十五枚
'da'zao'yi'mei 大枣一枚
'da'ze'wei'kou 大则为芤
'dai'fei'chang'qing'suo'ji 殆非常情所及
'dai'xia'jing'shui'bu'li 带下经水不利
'dai'zhe'shi'ru'dan'wan'da'mei'yi'sui 代赭石如弹丸大枚一碎
'dan'dang'li'qi'xiao'bian 但当利其小便
'dan'er'bu'ke'zhe 疸而不渴者
'dan'er'ke'zhe 疸而渴者
'dan'feng'qi'qu 但风气去
'dan'jian'jian'qiang'qu'zhi 但渐渐强屈之
'dan'ku'chuan'duan'qi 但苦喘短气
'dan'ku'shao'qi 但苦少气
'dan'ku'tong 但苦痛
'dan'li'qi'xiao'bian 但利其小便
'dan'li'xiao'bian'ze'yu 但利小便则愈
'dan'she'niu'rou'sha'ren 啖蛇牛肉杀人
'dan'she'zhe 啖蛇者
'dan'tou'han'chu 但头汗出
'dan'tou'xuan'zhe 但头眩者
'dan'wei'wei'si'yu'chu'han'zhe 但微微似欲出汗者
'dan'yi'mai'zi'wei'se 但以脉自微涩
'dan'yu'shu'shui 但欲漱水
'dan'yu'yin're 但欲饮热
'dan'zhi'mu 旦至暮
'dan'zuo'bu'de'mian 但坐不得眠
'dang'bai'mo'chu 当白沫出
'dang'ban'shen'bu'sui 当半身不遂
'dang'ci'qi'men 当刺期门
'dang'ci'xie'lao'gong'ji'guan'yuan 当刺泻劳宫及关元
'dang'cong'xiao'bian'qu'zhi 当从小便去之
'dang'fa'han'nai'yu 当发汗乃愈
'dang'fa'qi'han 当发其汗
'dang'fa'qi'yong 当发其痈
'dang'fu'zhong'ming 当腹中鸣
'dang'gui 当归
'dang'gui'er'liang 当归二两
'dang'gui'ge'er'liang 当归各二两
'dang'gui'san'fang 当归散方
'dang'gui'san'fen 当归三分
'dang'gui'san'liang 当归三两
'dang'gui'shao'yao'san'fang 当归芍药散方
'dang'gui'shao'yao'san'fang'jian'qian'ren'shen'zhong 当归芍药散方见前妊娠中
'dang'gui'shao'yao'san'zhu'zhi 当归芍药散主之
'dang'gui'sheng'jiang'yang'rou'tang'fang 当归生姜羊肉汤方
'dang'gui'sheng'jiang'yang'rou'tang'fang'jian'han'shan'zhong 当归生姜羊肉汤方见寒疝中
'dang'gui'sheng'jiang'yang'rou'tang'zhu'zhi 当归生姜羊肉汤主之
'dang'gui'si'liang 当归四两
'dang'gui'yi'liang 当归一两
'dang'han'chu 当汗出
'dang'han'chu'er'bu'han'chu 当汗出而不汗出
'dang'li'xiao'bian 当利小便
'dang'qi'tiao 当脐跳
'dang'shi'ru'xiao'chai 当时如小差
'dang'sui'qi'suo'de'er'gong'zhi 当随其所得而攻之
'dang'tu'chu'shi 当吐出食
'dang'tu'hui 当吐蛔
'dang'tu'ru'nong 当吐如脓
'dang'tu'zhi 当吐之
'dang'wei'ke'chuan 当微咳喘
'dang'wei'li'zhe 当微利者
'dang'xia'qi'han 当下其寒
'dang'xia'qi'zheng 当下其症
'dang'xia'xue 当下血
'dang'xia'zhi 当下之
'dang'xia'zhi'ji'yu 当下之即愈
'dang'xian'gong'ji'chong'qi'ling'zhi 当先攻击冲气令止
'dang'xian'shi'pi 当先实脾
'dang'xian'zhi'qi'tu'dan'mo 当先治其吐诞沫
'dang'xian'zhi'qi'zu'bing 当先治其卒病
'dang'xiao'han 当小汗
'dang'xin'fan 当心烦
'dang'xu'xia'zhi 当须下之
'dang'yi'fu'zi'tang'wen'qi'cang 当以附子汤温其藏
'dang'yi'han'jie'zhi 当以汗解之
'dang'yi'ri'shi'mi 当一日食糜
'dang'yi'shi'ba'ri'wei'qi 当以十八日为期
'dang'yi'shi'wu'ri'yu 当以十五日愈
'dang'yi'wen'jing'tang'zhu'zhi 当以温经汤主之
'dang'yi'wen'yao'he'zhi 当以温药和之
'dang'you'nong'xue 当有脓血
'dang'you'xue 当有血
'dang'yu'wen'yao 当与温药
'dang'yu'xu'lao'xiao'jian'zhong'tang 当与虚劳小建中汤
'dang'yue'jin'jie 当月尽解
'dang'yun'he 当云何
'dang'ze'you'shui 当责有水
'dao'fu'fang'cun'bi 捣服方寸匕
'dao'shai 捣筛
'dao'wan'ru'dan'zi'da 捣丸如弹子大
'dao'xie'zhi'guan'er'zhong 捣薤汁灌耳中
'dao'zhi'yin'zhi 捣汁饮之
'de'fu'si'wu'ji'wei'shan 得服四五剂为善
'de'kuai'xia'hou 得快下后
'de'leng'bian'si 得冷便死
'de'liu'sheng 得六升
'de'liu'sheng'nei'zhu'yao 得六升内诸药
'de'qi'ba'ri 得七八日
'de're'geng'shen 得热更甚
'de're'ni'tu 得热泥土
'de'shi'er'ou 得食而呕
'de'tu'zhe 得吐者
'de'yao'ze'ju'tu'li 得药则剧吐利
'de'yi'sheng'hou 得一升后
'de'zhi'shu'shi'ri 得之数十日
'dei'xia 得下
'dei'xia'zhi'fu 得下止服
'di'dang'tang'fang 抵当汤方
'di'dang'tang'zhu'zhi 抵当汤主之
'di'dang'wu'tou'gui'zhi'tang'zhu'zhi 抵当乌头桂枝汤主之
'dong'bing 动病
'dong'bu'shi'shen 冬不食肾
'dong'gua'zhi 冬瓜汁
'dong'ji'wei'jing 动即为惊
'dong'san'yue'jia'chai'hu'ba'fen 冬三月加柴胡八分
'dong'xia'nan'zhi 冬夏难治
'dong'yue'yong'jiu 冬月用酒
'dong'zhi'ji 动痔疾
'dong'zhi'zhi'hou 冬至之后
'dou'cheng'si'fu 都成四服
'dou'huang'juan'ge'shi'fen 豆黄卷各十分
'du'huo'si'fen 独活四分
'du'ke'suan'mi'ji 独颗蒜弥忌
'du're 肚热
'du'tou'dong'yao 独头动摇
'du'yao'bu'zhi 毒药不止
'du'yu'bu'xiu 独语不休
'du'zu'zhong'da 独足肿大
'duan'qi 短气
'duan'qi'bu'de'wo 短气不得卧
'duan'qi'bu'zu'yi'xi'zhe 短气不足以息者
'duan'qi'li'ji 短气里急
'duan'qi'zhe 短气者
'dun'fu 顿服
'dun'fu'ban 顿服半
'dun'fu'ji'xiao 顿服即消
'dun'fu'jin 顿服尽
'dun'fu'zhi 顿服之
'duo'dan'tuo 多诞唾
'duo'du 多毒
'duo'ji'shi'shang 多集食上
'duo'shi'jia'du'yi'tou 多是假毒以投
'duo'shi'ling'ren'fa'luo 多食令人发落
'duo'tu'xia'chong 多吐下虫
'duo'tuo'kou'zao 多唾口燥
'duo'wu'tang 多鹜溏
'duo'yin'nuan'shui 多饮暖水
'e'feng 恶风
'e'feng'bu'yu'qu'yi 恶风不欲去衣
'e'feng'jia'fu'zi'yi'mei'pao 恶风加附子一枚炮
'e'feng'ze'xu 恶风则虚
'e'feng'zhe'jia'fu'zi'yi'mei 恶风者加附子一枚
'e'han 恶寒
'e'han'zhe 恶寒者
'e'jiao 阿胶
'e'jiao'er'liang 阿胶二两
'e'jiao'ge'er'liang 阿胶各二两
'e'jiao'qi'fen 阿胶七分
'e'jiao'san'fen'zhi 阿胶三分炙
'e'shang'han'chu 额上汗出
'e'shang'hei 额上黑
'e'shui'bu'yu'yin 恶水不欲饮
'e'wen'shi'chou 恶闻食臭
'er'bu'e'han 而不恶寒
'er'da'da'han'bu'jie 而大大寒不解
'er'de'lou'xia'bu'zhi 而得漏下不止
'er'duan'qi 而短气
'er'fan'bao'si'zhi 而反暴思之
'er'fan'e'han 而反恶寒
'er'fan'geng'ke 而反更咳
'er'fan'sa'xi'e'han 而反洒淅恶寒
'er'fan'xia'zhi 而反下之
'er'fan'yi'xi'zhe 而反倚息者
'er'fu'da'han 二服大汗
'er'geng'fu'ke 而更复渴
'er'ke'fan'zhi'lao 而渴反止老
'er'mai'wei'ruo 而脉微弱
'er'shi'ri'yu 二十日愈
'er'tian'wei'wen'he 而天未温和
'er'tian'wen'ru'sheng'xia'wu'liu'yue'shi 而天温如盛夏五六月时
'er'wu'shi'jia'bing'yi'xia'zhi'er'chuan'shi'yi'zi 而无湿家病以下至而喘十一字
'er'you'yin'an'mo'zhi 而犹引按莫置
'er'yue'wu'shi'liao 二月勿食蓼
'er'zhe 二者
'er'zhe'bing'yu'mao 二者病郁冒
'fa'bai'bing 发百病
'fa'dang'fu'man 法当腹满
'fa'dang'gu'jie'teng'tong 法当骨节疼痛
'fa'dang'han'chu'er'jie 法当汗出而解
'fa'dang'mao 法当冒
'fa'dang'yi'zhi'shi'shao'yao'san 法当以枳实芍药散
'fa'han'de'zhi 发汗得之
'fa'han'hou 发汗后
'fa'han'hou'zhe 发汗后者
'fa'han'ji'yu 发汗即愈
'fa'han're 发寒热
'fa'han'tai'duo 发汗太多
'fa'han'ze'bi'bian'xie 发汗则必便血
'fa'han'ze'yu 发汗则愈
'fa'luo 发落
'fa'qi'han'ji'yi 发其汗即已
'fa'qi'han'wei'yi 发其汗为宜
'fa'qi'han'yi 发其汗已
'fa're 发热
'fa're'bing 发热病
'fa're'bu'zhi'zhe 发热不止者
'fa're'e'han 发热恶寒
'fa're'fan'chuan 发热烦喘
'fa're'han'chu 发热汗出
'fa're'han'chu'er'ke 发热汗出而渴
'fa're'se'he'zhe 发热色和者
'fa're'shi'ri 发热十日
'fa're'wu'han 发热无汗
'fa'shen'bing 发肾病
'fa'shi'shou'qing'fu'man 发时手青腹满
'fa'xiao'yao'cheng 发消药成
'fa'xin'tong 发心痛
'fa'yu'yin'bu 发于阴部
'fa'ze'han're 发则寒热
'fa'zuo'you'shi 发作有时
'fa'zuo'yu'si 发作欲死
'fan'bu'ke 反不渴
'fan'bu'teng 反不疼
'fan'chuan'zhe'jia'bai'shi'yi'fen 烦喘者加柏实一分
'fan'e'han'zhe 反恶寒者
'fan'er'zao 烦而躁
'fan'fa're'zhe 反发热者
'fan'feng'ying'chong'yi'deng 凡蜂蝇虫蚁等
'fan'fu'xian'zhe 反伏弦者
'fan'gan'zang 凡肝脏
'fan'hong'da 反洪大
'fan'ji'wei'nan'zhi 反极为难治
'fan'ju'tong 反聚痛
'fan'ke'zhe 烦咳者
'fan'luan'ou'ni 烦乱呕逆
'fan'luan'yu'si 烦乱欲死
'fan'man 烦满
'fan'man'bu'de'wo 烦满不得卧
'fan'neng'wei'hai 反能为害
'fan'niao'zi'si 凡鸟自死
'fan're'bu'de'wo 烦热不得卧
'fan're'xin'luan 烦热心乱
'fan'rou'ji'gan 凡肉及肝
'fan'shi'ban'jin 矾石半斤
'fan'shi'er'liang 矾石二两
'fan'shi'san'fen 矾石三分
'fan'shi'san'fen'shao 矾石三分烧
'fan'shi'shao'deng'fen 矾石烧等分
'fan'shi'shao'yin'duo 凡食少饮多
'fan'shi'sheng'ru'fu 矾石生入腹
'fan'shi'tang 矾石汤
'fan'shi'wan'fang 矾石丸方
'fan'shi'wan'zhu'zhi 矾石丸主之
'fan'shu'dao'cheng'ni 饭熟捣成泥
'fan'shui'ji'jiu 凡水及酒
'fan'xie'wei'yu'shuang 凡蟹未遇霜
'fan'xin'jie'wei'shen'shi'suo'she 凡心皆为神识所舍
'fan'yan'xiong'zhong'tong 反言胸中痛
'fan'yin'shi'zi'wei'yi'yang'yu'sheng 凡饮食滋味以养于生
'fan'zao 烦躁
'fan'zao'er'chuan 烦躁而喘
'fan'zao'fa're 烦躁发热
'fan'zhong'ye'si 凡中暍死
'fan'zhu'du 凡诸毒
'fan'zhu'yao'yin'zhi'yi'jie'du'zhe 凡煮药饮汁以解毒者
'fang'ba'shou 方八首
'fang'er'shou 方二首
'fang'feng 防风
'fang'feng'liu'fen 防风六分
'fang'feng'san'qian 防风三钱
'fang'feng'shi'fen 防风十分
'fang'feng'si'liang 防风四两
'fang'ji 防己
'fang'ji'di'huang'tang 防己地黄汤
'fang'ji'huang'qi'tang'zhu'zhi 防己黄芪汤主之
'fang'ji'san'liang 防己三两
'fang'ji'yi'liang 防己一两
'fang'ji'yi'qian 防己一钱
'fang'jian'hu'huo'zhong 方见狐惑中
'fang'jian'jiao'qi'zhong 方见脚气中
'fang'jian'jing'bing'zhong 方见痉病中
'fang'jian'jing'zhong'chan'hou'fu'zhong'teng'tong 方见痉中产后腹中疼痛
'fang'jian'ou'tu'zhong 方见呕吐中
'fang'jian'shang 方见上
'fang'jian'shui'qi'zhong 方见水气中
'fang'jian'xia'li'zhong 方见下利中
'fang'jian'xiao'ke'zhong 方见消渴中
'fang'jian'xu'lao'zhong 方见虚劳中
'fang'jian'ye'bing'zhong 方见暍病中
'fang'jiu'shou 方九首
'fang'liu'shou 方六首
'fang'qi'shou 方七首
'fang'san'shou 方三首
'fang'shi'ba'shou 方十八首
'fang'shi'er'shou 方十二首
'fang'shi'jin'ren'chong'shou'suo'shang 房室金刃虫兽所伤
'fang'shi'liu'shou 方十六首
'fang'shi'shou 方十首
'fang'shi'si'shou 方十四首
'fang'shi'wu'ling'jie'fa 房室勿令竭乏
'fang'shi'yi'shou 方十一首
'fang'si'shou 方四首
'fang'wei'jian 方未见
'fang'wu'shou 方五首
'fang'yi'fu'ling'tang'fang 防已茯苓汤方
'fang'yi'fu'ling'tang'zhu'zhi 防已茯苓汤主之
'fang'yi'huang'qi'tang'fang 防已黄芪汤方
'fang'yi'huang'qi'tang'zhu'zhi 防已黄芪汤主之
'fei'bei'shang 肺被伤
'fei'bing'jin'ku 肺病禁苦
'fei'bo'ru'shou'da'shao'hui 绯帛如手大烧灰
'fei'ci'yu're'zhi'ye 非此遇热之暍
'fei'dan'shi'zhong 非但食中
'fei'qi'shi'se'mai 非其时色脉
'fei'shui'ye 非水也
'fei'shui'zhe 肺水者
'fei'si'cang 肺死藏
'fei'wei'fei'yong'ke'sou'shang'qi'bing'mai'zheng'zhi'qi 肺痿肺痈咳嗽上气病脉证治七
'fei'wei'tu'dan'mo'er'bu'ke'zhe 肺痿吐诞沫而不咳者
'fei'wei'tuo'mo 肺痿唾沫
'fei'wei'yi'bing 非为一病
'fei'wei'zhi'bing'he'cong'de'zhi 肺痿之病何从得之
'fei'yin'bu'xian 肺饮不弦
'fei'yong 肺痈
'fei'yong'xiong'man'zhang 肺痈胸满胀
'fei'you'gui'shen 非有鬼神
'fei'zhang 肺胀
'fei'zhi'nv'shen 非止女身
'fei'zhong'feng'zhe 肺中风者
'fei'zhong'han 肺中寒
'fen'bing'ren'fa'zuo'you 分病人发左右
'fen'ling'yan'zhi 分令咽之
'fen'san'fu 分三服
'fen'san'wen'fu 分三温服
'fen'wei'san'tie 分为三贴
'fen'wen'er'fu 分温二服
'fen'wen'san'fu 分温三服
'fen'wen'si'fu 分温四服
'fen'wen'yan 分温眼
'fen'wen'zai'fu 分温再服
'fen'yi'liang 粉一两
'fen'zai'fu 分再服
'feng'chao'si'fen'zhi 蜂巢四分炙
'feng'han'xiang'bo 风寒相搏
'feng'ling'mai'fu 风令脉浮
'feng'qi'bai'ji 风气百疾
'feng'qi'sui'neng'sheng'wan'wu 风气虽能生万物
'feng'qi'xiang'bo 风气相搏
'feng'qi'xiang'ji 风气相击
'feng'qiang'ze'wei'yin'zhen 风强则为隐疹
'feng'shang'pi'mao 风伤皮毛
'feng'she'yu'fei 风舍于肺
'feng'shi 风湿
'feng'shi'ju'qu'ye 风湿俱去也
'feng'shi'xiang'bo 风湿相搏
'feng'shui 风水
'feng'shui'e'feng 风水恶风
'feng'shui'jia'shu'si'liang 风水加术四两
'feng'xue'xiang'bo 风血相搏
'feng'yin'tang 风引汤
'feng'zhong'yu'qian 风中于前
'feng'zhong'yu'wei 风中于卫
'fu'bing'gu'ji'jia'yi'zu'bing 夫病痼疾加以卒病
'fu'bing'jiu'huang'dan 夫病酒黄疸
'fu'bing'ren'yin'shui'duo 夫病人饮水多
'fu'bing'ye 府病也
'fu'bu'jie'zhe 复不解者
'fu'bu'man 腹不满
'fu'da'zhe'ke'tu'zhi 浮大者可吐之
'fu'duan'qi'you'wei'yin 夫短气有微饮
'fu'e'han 复恶寒
'fu'fa 复发
'fu'fa'han 复发汗
'fu'fa'qi'han 复发其汗
'fu'fang 附方
'fu'fang'cun'bi 服方寸匕
'fu'feng'bing 夫风病
'fu'feng'zhi'wei'bing 夫风之为病
'fu'fu'han'chu'bian'yu 复服汗出便愈
'fu'gan'zhi'bing 夫肝之病
'fu'hou'dang'ru'chong'xing'pi'zhong 服后当如虫行皮中
'fu'hou'ru'ren'xing'si'wu'li 服后如人行四五里
'fu'huan'zhi 复还止
'fu'ji'wei'qi 浮即为气
'fu'ji'wei'xu 浮即为虚
'fu'jia'zhi'wu'he 复加至五合
'fu'jing'mai 夫痉脉
'fu'jiu'ke'ke'zhe 夫酒客咳者
'fu'ling 茯苓
'fu'ling'ban'jin 茯苓半斤
'fu'ling'er'liang 茯苓二两
'fu'ling'ge'wu'fen 茯苓各五分
'fu'ling'gui'zhi'gan'cao'da'zao'tang'fang 茯苓桂枝甘草大枣汤方
'fu'ling'gui'zhi'gan'cao'da'zao'tang'zhu'zhi 茯苓桂枝甘草大枣汤主之
'fu'ling'liu'liang 茯苓六两
'fu'ling'rong'yan'tang'fang 茯苓戎盐汤方
'fu'ling'san'fen 茯苓三分
'fu'ling'san'liang 茯苓三两
'fu'ling'san'liang'yi'fa'si'liang 茯苓三两一法四两
'fu'ling'si'liang 茯苓四两
'fu'ling'xing'ren'gan'cao'tang'fang 茯苓杏仁甘草汤方
'fu'ling'xing'ren'gan'cao'tang'zhu'zhi 茯苓杏仁甘草汤主之
'fu'mai'dang'qu'tai'guo'bu'ji 夫脉当取太过不及
'fu'mai'fu 夫脉浮
'fu'mai'ji're 浮脉即热
'fu'mai'ze're 浮脉则热
'fu'man 腹满
'fu'man'bu'jian 腹满不减
'fu'man'bu'neng'yin'shi 腹满不能饮食
'fu'man'er'chuan 腹满而喘
'fu'man'han'shan'su'shi'bing'mai'zheng'zhi'shi 腹满寒疝宿食病脉证治十
'fu'man'jia'zhi'shi'yi'mei 腹满加枳实一枚
'fu'man'ru'gu 腹满如故
'fu'man'shi'jian 腹满时减
'fu'man'yin'zhong'zhe 腹满因肿者
'fu'man'zhe'nan'zhi 腹满者难治
'fu'man'zhe'qu'zao 腹满者去枣
'fu'mu'ji'shen'ben'ming'rou 父母及身本命肉
'fu'nan'zi'ping'ren 夫男子平人
'fu'pi'ji 腹皮急
'fu'qi'he 服七合
'fu'qu'wei'si'han 覆取微似汗
'fu'ren'bing 妇人病
'fu'ren'bing'wu'chang 夫人禀五常
'fu'ren'cang'zao 妇人藏躁
'fu'ren'chan'hou'bing'mai'zheng'zhi'er'shi'yi 妇人产后病脉证治二十一
'fu'ren'de'ping'mai 妇人得平脉
'fu'ren'fu'zhong'tong 妇人腹中痛
'fu'ren'fu'zhong'zhu'ji'tong 妇人腹中诸疾痛
'fu'ren'huai'shen 妇人怀娠
'fu'ren'huai'shen'liu'qi'yue 妇人怀娠六七月
'fu'ren'jing'shui'bi'bu'li 妇人经水闭不利
'fu'ren'jing'shui'bu'li'xia 妇人经水不利下
'fu'ren'liu'shi'er'zhong'feng 妇人六十二种风
'fu'ren'nian'wu'shi 妇人年五十
'fu'ren'ren'shen 妇人妊娠
'fu'ren'ren'shen'bing'mai'zheng'bing'zhi'er'shi 妇人妊娠病脉证并治二十
'fu'ren'ru'zhong'xu 妇人乳中虚
'fu'ren'shang'han'fa're 妇人伤寒发热
'fu'ren'shang'tai 妇人伤胎
'fu'ren'shao'fu'man'ru'dun'zhuang 妇人少腹满如敦状
'fu'ren'su'you'zheng'bing 妇人宿有症病
'fu'ren'tu'dan'mo 妇人吐诞沫
'fu'ren'xian'jing 妇人陷经
'fu'ren'yan'zhong'ru'you'zhi'luan 妇人咽中如有炙脔
'fu'ren'you'lou'xia'zhe 妇人有漏下者
'fu'ren'za'bing'mai'zheng'bing'zhi'er'shi'er 妇人杂病脉证并治二十二
'fu'ren'ze'ban'chan'lou'xia 妇人则半产漏下
'fu'ren'ze'jing'shui'bu'tong 妇人则经水不通
'fu'ren'zhi'bing 妇人之病
'fu'ren'zhong'feng 妇人中风
'fu'ren'zhong'feng'qi'ba'ri 妇人中风七八日
'fu'ru'gu 复如故
'fu'ru'shui'zhuang'bu'zhi 腹如水状不治
'fu'ruo 浮弱
'fu'se'xiang'bo 浮涩相搏
'fu'shi'jie'qi'leng're'ku'suan'xin'gan 服食节其冷热苦酸辛甘
'fu'shi'jing'jia 夫失精家
'fu'shou'ren'rao'qi'tong 夫瘦人绕脐痛
'fu'shu'sheng'yu 服数升愈
'fu'shui'bing'ren 夫水病人
'fu'tong 腹痛
'fu'tong'e'han'zhe 腹痛恶寒者
'fu'tong'er'ou'zhe 腹痛而呕者
'fu'tong'zhe'jia'shao'yao 腹痛者加芍药
'fu'tou'chuang 傅头疮
'fu'tu'xie 夫吐血
'fu'wai'tai'mi'yao'fang 附外台秘要方
'fu'wu'he 服五合
'fu'wu'ji'ju 腹无积聚
'fu'xin'xia'you'liu'yin 夫心下有留饮
'fu'yang'mai'dang'fu 趺阳脉当伏
'fu'yang'mai'fu 趺阳脉伏
'fu'yang'mai'fu'er'hua 趺阳脉浮而滑
'fu'yang'mai'fu'er'se 趺阳脉浮而涩
'fu'yang'mai'fu'er'shu 趺阳脉浮而数
'fu'yang'mai'jin'er'shu 趺阳脉紧而数
'fu'yang'mai'jin'wei'shang'pi 趺阳脉紧为伤脾
'fu'yang'mai'shu 趺阳脉数
'fu'yang'mai'wei'er'chi 趺阳脉微而迟
'fu'yang'mai'wei'xian 趺阳脉微弦
'fu'yi'ji'ru'shen 服一剂如神
'fu'yi'sheng 服一升
'fu'yin'you'si 夫饮有四
'fu'you'zhi'yin'jia 夫有支饮家
'fu'yu'bu'yu'zhe 复与不愈者
'fu'yu'yi'mei'pao 附于一枚炮
'fu'ze'han'zi'chu 浮则汗自出
'fu'ze'wei'feng 浮则为风
'fu'ze'wei'qi'qiang 浮则胃气强
'fu'ze'wei'xu 浮则为虚
'fu'ze'xiao'bian'nan 伏则小便难
'fu'zhang'tong 腹胀痛
'fu'zhe'wei'feng 浮者为风
'fu'zhe'xue'xu 浮者血虚
'fu'zhe'yi'xing'zi'tang 浮者宜杏子汤
'fu'zhe'zai'hou 浮者在后
'fu'zhi 服之
'fu'zhi'da'jian 浮之大坚
'fu'zhi'dang'sui'ke 服之当遂渴
'fu'zhi'hou 服之后
'fu'zhi'ji'jie 服之即解
'fu'zhi'jia 服之佳
'fu'zhi'jian 浮之坚
'fu'zhi'jie 服之解
'fu'zhi'liu'qi'ri'nai'jie 服至六七日乃解
'fu'zhi'ruo 浮之弱
'fu'zhi'shi'ru'ma'dou 浮之实如麻豆
'fu'zhi'wei'bing'zhe 夫治未病者
'fu'zhi'wu'zhi 服之勿置
'fu'zhi'xu 浮之虚
'fu'zhong'ci'tong'bu'zhi 腹中刺痛不止
'fu'zhong'fan'zhong 腹中烦重
'fu'zhong'han 腹中寒
'fu'zhong'han'jia 夫中寒家
'fu'zhong'han'qi 腹中寒气
'fu'zhong'he'wu'bing 腹中和无病
'fu'zhong'ru'dai'wu'qian'qian 腹重如带五千钱
'fu'zhong'ruan 腹中软
'fu'zhong'tong 腹中痛
'fu'zhong'wen'wei'zhi 腹中温为知
'fu'zhong'xiu'tong 腹中休痛
'fu'zhong'you'su'shi'bu'hua'ye 腹中有宿食不化也
'fu'zhu'bing'zai'cang 夫诸病在藏
'fu'zhu'tu'li'yao 服诸吐利药
'fu'zi'er'fen 附子二分
'fu'zi'er'mei'pao 附子二枚炮
'fu'zi'er'mei'pao'ji'pi 附子二枚炮击皮
'fu'zi'jing'mi'tang'fang 附子粳米汤方
'fu'zi'jing'mi'tang'zhu'zhi 附子粳米汤主之
'fu'zi'liu'liang'pao 附子六两炮
'fu'zi'pao 附子炮
'fu'zi'pao'ge'yi'liang 附子炮各一两
'fu'zi'pao'qu'pi 附子炮去皮
'fu'zi'pao'yi'liang 附子炮一两
'fu'zi'san'liang'pao 附子三两炮
'fu'zi'san'mei'pao 附子三枚炮
'fu'zi'san'mei'pao'qu'pi 附子三枚炮去皮
'fu'zi'yi'mei'ban'pao'qu'pi 附子一枚半炮去皮
'fu'zi'yi'mei'pao 附子一枚炮
'fu'zun'rong'ren 夫尊荣人
'gai'fa'qi'han 盖发其汗
'gan'bing'jin'xin 肝病禁辛
'gan'cao 甘草
'gan'cao'ban'liang'chao 甘草半两炒
'gan'cao'ban'liang'zhi 甘草半两炙
'gan'cao'er'liang 甘草二两
'gan'cao'er'liang'zhi 甘草二两炙
'gan'cao'er'qian 甘草二钱
'gan'cao'er'shi'ba'fen 甘草二十八分
'gan'cao'fen'mi'tang'fang 甘草粉蜜汤方
'gan'cao'fen'mi'tang'zhu'zhi 甘草粉蜜汤主之
'gan'cao'fu'zi'tang'fang 甘草附子汤方
'gan'cao'fu'zi'tang'zhu'zhi 甘草附子汤主之
'gan'cao'gan'jiang'fu'ling'bai'zhu'tang'fang 甘草干姜茯苓白术汤方
'gan'cao'gan'jiang'tang'fang 甘草干姜汤方
'gan'cao'gan'jiang'tang'yi'wen'zhi 甘草干姜汤以温之
'gan'cao'ge'san'liang 甘草各三两
'gan'cao'ge'yi'liang 甘草各一两
'gan'cao'liang'zhi 甘草两炙
'gan'cao'ma'huang'tang'fang 甘草麻黄汤方
'gan'cao'ma'huang'tang'yi'zhu'zhi 甘草麻黄汤亦主之
'gan'cao'qi'fen 甘草七分
'gan'cao'ru'zhi'da'yi'mei'zhi'yi'ben'zuo'wu 甘草如指大一枚炙一本作无
'gan'cao'ru'zhong'zhi'jie 甘草如中指节
'gan'cao'san'fen'gong'ba'wei 甘草三分共八味
'gan'cao'san'liang 甘草三两
'gan'cao'san'liang'zhi 甘草三两炙
'gan'cao'san'liang'zhi'xi'xin'san'liang 甘草三两炙细辛三两
'gan'cao'shi'ba'fen 甘草十八分
'gan'cao'si'liang 甘草四两
'gan'cao'si'liang'zhi 甘草四两炙
'gan'cao'xiao'mai'da'zao'tang'fang 甘草小麦大枣汤方
'gan'cao'xie'xin'tang'fang 甘草泻心汤方
'gan'cao'xie'xin'tang'zhu'zhi 甘草泻心汤主之
'gan'cao'yi'liang 甘草一两
'gan'cao'yi'liang'zhi 甘草一两炙
'gan'cao'yi'liang'zhi'qian'jin'yong'gui'xin'er'liang 甘草一两炙千金用桂心二两
'gan'cao'zhi 甘草炙
'gan'cao'zhu'zhi 甘草煮汁
'gan'dang'han'chu 敢当汗出
'gan'di'huang 干地黄
'gan'di'huang'ba'liang 干地黄八两
'gan'di'huang'shi'liang 干地黄十两
'gan'di'huang'si'liang 干地黄四两
'gan'jiang 干姜
'gan'jiang'er'fen 干姜二分
'gan'jiang'er'liang 干姜二两
'gan'jiang'er'liang'pao 干姜二两炮
'gan'jiang'ge'san'liang 干姜各三两
'gan'jiang'ling'shu'tang'zhu'zhi 甘姜苓术汤主之
'gan'jiang'ren'shen'ban'xia'wan'fang 干姜人参半夏丸方
'gan'jiang'ren'shen'ban'xia'wan'zhu'zhi 干姜人参半夏丸主之
'gan'jiang'san'fen 干姜三分
'gan'jiang'san'liang 干姜三两
'gan'jiang'shi'liang 干姜十两
'gan'jiang'si'liang 干姜四两
'gan'jiang'yi'liang 干姜一两
'gan'lan'shui'fa 甘澜水法
'gan'li'gen'bai'pi'yi'sheng 甘李根白皮一升
'gan'mai'da'zao'tang'zhu'zhi 甘麦大枣汤主之
'gan'ou'han'chu 干呕汗出
'gan'qi'yi'liang 干漆一两
'gan'ru'pi 甘入脾
'gan'se'qing'er'fan'bai 肝色青而反白
'gan'shui'zhe 肝水者
'gan'si'cang 肝死藏
'gan'su'ye'er'liang 干苏叶二两
'gan'sui 甘遂
'gan'sui'ban'xia'tang'fang 甘遂半夏汤方
