'a'er'ni 阿尔尼
'liang'hui'ma'fa 两回玛法
'liang'yi'jian'fa 两仪剑法
'liang'zhang'lao 梁长老
'liang'zi'jin 梁自进
'liang'zi'weng 梁子翁
'liao'zi'li 廖自砺
'lie'hu'ling'zhe 猎户令者
'lin'tai'ping 林太平
'lin'xing'zhu 林兴珠
'lin'yong'chao 林永超
'lin'yuan'tu 林远图
'ling'ao'bu 灵鳌步
'ling'bao 羚豹
'ling'bo'wei'bu 凌波微步
'ling'hu'yun'yan 令狐云烟
'ling'ji'qi 灵寂期
'ling'jiu'ting'jing 灵鹫听经
'ling'shan'li'fo 灵山礼佛
'ling'shang'shuang'mei 岭上双梅
'ling'she'quan 灵蛇拳
'ling'shuang'hua 凌霜华
'ling'su'e 凌素娥
'ling'tui'si 凌退思
'ling'yuan'xing 凌源星
'ling'zhi'shang'ren 灵智上人
'liu'ao 刘敖
'liu'chang'jie 柳长街
'liu'cheng'feng 刘乘风
'liu'da'hong 柳大洪
'liu'fang'liang 刘芳亮
'liu'he'zhen 刘鹤真
'liu'mai'shen'jian 六脉神剑
'liu'pei'sheng 刘培生
'liu'quan'xia'shan 流泉下山
'liu'shang'zhen 流殇阵
'liu'wu'mei 柳无眉
'liu'xing'fei'duo 流星飞堕
'liu'xing'guan'ding 流星灌顶
'liu'xu'jian'fa 柳絮剑法
'liu'xuan'chu 刘玄处
'liu'yi'zhou 刘一舟
'liu'yin'lian'ju 柳荫联句
'liu'ying'gu 刘瑛姑
'liu'yu'yi 刘於义
'liu'yuan'he 刘元鹤
'liu'yun'die'ying 流云叠影
'liu'yun'ju'shi 流云居士
'liu'yun'shi 流云使
'liu'zhi'yu 刘之余
'long'dao'zhu 龙岛主
'long'de'lin 龙德邻
'long'jun 龙骏
'long'ya'po'po 聋哑婆婆
'long'yue'zai'yuan 龙跃在渊
'long'zhua'qin'na'shou 龙爪擒拿手
'lu'bo 陆伯
'lu'cheng'feng 陆乘风
'lu'da'ba'liu 鲁达拔柳
'lu'da'you 陆大有
'lu'ding'ji 鹿鼎记
'lu'ding'li 陆鼎立
'lu'er'niang 陆二娘
'lu'fei'qing 陆菲青
'lu'fu'jiang 路副将
'lu'gao'xuan 陆高轩
'lu'guan'ying 陆冠英
'lu'he'dao 六合刀
'lu'he'jin 六合劲
'lu'he'qiang 六合枪
'lu'lian'rong 鲁连荣
'lu'qing'du 鹿清笃
'lu'tian'shu 陆天抒
'lu'xiao'feng 陆小凤
'lu'yi'feng 卢一峰
'lu'yin'lu 陆音路
'lu'you'jiao 鲁有脚
'lu'zhi'shen'zui'die 鲁智深醉跌
'lu'zi'zhong'feng'shang 路自中峰上
'luan'huan'jue 乱环诀
'luan'shi'qing'huai 乱世情怀
'luo'bing 骆冰
'luo'cha'er'shi 罗刹二使
'luo'da'qian 罗大千
'luo'han'ji'bie 罗汉级别
'luo'han'jian'fa 罗汉剑法
'luo'hou'shi 猡睺使
'luo'li'ru 罗立如
'luo'ren'jie 罗人杰
'luo'ri'da'qi 落日大旗
'luo'ri'zhao'da'qi 落日照大旗
'luo'shen'ling'bo 洛神凌波
'luo'tian'shang'xian 罗天上仙
'luo'xin 罗信
'luo'xuan'jiu'ying 螺旋九影
'luo'yan'quan 落雁拳
'luo'yang'han'jia 洛阳韩家
'luo'ying'jian'fa 落英剑法
'luo'ying'shen'jian'zhang 落英神剑掌
'lv'bao'zhong 吕葆中
'lv'nan'ren 吕南人
'lv'qi 吕七
'lv'su'wen 吕素文
'lv'wen'de 吕文德
'lv'xiao'mei 吕小妹
'lv'yi'zhong 吕毅中
'lv'zheng'ping 吕正平
'lv'zhu'weng 绿竹翁
'ma'bo'ren 马博仁
'ma'chao'xing 马超兴
'ma'da'ming 马大鸣
'ma'da'ting 马大挺
'ma'fa'tong 马法通
'ma'gong'zi 马公子
'ma'guang'zuo 马光佐
'ma'jia'jun 马家骏
'ma'jing'xia 马敬侠
'ma'mi'er 玛米尔
'ma'mian'tiao'xin 马面挑心
'ma'qing'xiong 马青雄
'ma'shan'jun 马善均
'ma'shang'shang'ma 马上上马
'ma'xing'kong 马行空
'ma'ya'di'guo 玛雅帝国
'ma'yi'han'zi 麻衣汉子
'ma'you 马佑
'mai'jing 麦鲸
'mai'shao'bang'zhu 麦少帮主
'mao'shi'ba 茅十八
'mao'wen'zhu 毛文珠
'mei'fang'gu 梅芳姑
'mei'hua'quan 梅花拳
'mei'jian'he 梅剑和
'mei'liang'ming 梅良鸣
'mei'mei'mao 媚媚猫
'mei'nian'sheng 梅念笙
'mei'nv'quan'fa 美女拳法
'mei'ren'san'zhao 美人三招
'mei'wen'xin 梅文馨
'mei'xue'feng'xia 梅雪逢夏
'mei'xue'zheng'chun 梅雪争春
'mei'yin'xue 梅吟雪
'meng'bo'fei 孟伯飞
'meng'gu'shuai'jiao 蒙古摔跤
'meng'hu'fu'zhuang 猛虎伏桩
'meng'ji'duo'su 猛鸡夺粟
'meng'jia'shen'quan 孟家神拳
'meng'jian'xiong 孟健雄
'meng'lei 蒙雷
'meng'na'ta'sha 蒙娜塔莎
'meng'po'guan'tang 孟婆灌汤
'meng'shi'shu 孟师叔
'meng'tian 蒙阗
'meng'zheng 孟铮
'meng'zheng'hong 孟正鸿
'meng'zhu 孟铸
'mi'heng'ye 米横野
'mi'jia'luo'huang'yuan 弥珈洛荒原
'mi'si'han 米思翰
'mi'wei'yi 米为义
'mian'zhang 绵掌
'miao'feng'shi 妙风使
'miao'jia'jian 苗家剑
'miao'jia'jian'fa 苗家剑法
'miao'seng'wu'hua 妙僧无花
'mie'jian 灭剑
'mie'xing'jing 灭星境
'min'rou 闵柔
'min'zi'hua 闵子华
'ming'huang 冥皇
'ming'tuo'jun'zu 明驼骏足
'ming'yu 明域
'ming'yue'qiang'di 明月羌笛
'mo'bi 魔闭
'mo'dao'hong'lie 魔刀洪烈
'mo'de 蓦得
'mo'ding 魔定
'mo'fei'tuo 墨菲托
'mo'feng 魔封
'mo'gu 魔固
'mo'he'ba'si 摩诃巴思
'mo'he'zhi 摩诃指
'mo'ji'zhu'xian'jue 魔戟诛仙诀
'mo'jie 魔解
'mo'jie'xing 摩羯星
'mo'jin 魔禁
'mo'jue 魔诀
'mo'li'hei'dong 魔力黑洞
'mo'long'tian'shen'jian 魔龙天神剑
'mo'men 墨门
'mo'po 魔破
'mo'sheng'gu 莫声谷
'mo'ying 魔婴
'mo'yu'de'tai'yang'shi 魔域的太阳使
'mo'zhi'ran 莫之然
'mu'bei'de 穆贝德
'mu'dao'zhu 木岛主
'mu'gao'feng 木高峰
'mu'gui'fei 穆贵妃
'mu'hu 穆护
'mu'jia'jian 沐家剑
'mu'jia'quan 沐家拳
'mu'jian'sheng 沐剑声
'mu'lan'zhi'yi 木兰织衣
'mu'long'zhen'ren 木龙真人
'mu'ren'qing 穆人清
'mu'rong'jing'yue 慕容景岳
'mu'rong'jiu 慕容九
'mu'rong'shuang 慕容双
'mu'sang'dao'zhang 木桑道长
'mu'su'xiao'xing 暮宿晓行
'mu'tian'yan 慕天颜
'mu'wang'fu 沐王府
'mu'wen'cha 木文察
'mu'ye'xiao'xiao 木叶萧萧
'mu'zhuo'lun 木卓伦
'na'si'er'ding 纳斯尔丁
'na'yun'shi 拿云式
'nai'he'gong 奈何功
'nan'gong'ling 南宫灵
'nan'gong'ping 南宫平
'nan'hai'jian'zong 南海剑宗
'nan'hai'ye'hua'dao 南海椰花岛
'nan'lan 南兰
'nan'ren'tong 南仁通
'nan'shan'zhang'fa 南山掌法
'nan'shao'lin'pai 南少林派
'nan'xi'ren 南希仁
'nei'ba'gua'zhang'fa 内八卦掌法
'ni'bu'da 倪不大
'ni'bu'xiao 倪不小
'ni'chang'jin'lian 霓裳金莲
'ni'hao 倪浩
'ni'ma'la'mu 尼玛拉姆
'ni'mo'xing 尼摩星
'ni'qiu'gong 泥鳅功
'ni'xing'jing'mai 逆行经脉
'nian'hua'qin'na'shou 拈花擒拿手
'nie'yue 聂钺
'ning'qiang'dao 宁强盗
'ning'shi'yi'jian 宁氏一剑
'ning'wan'wo 宁完我
'ning'xue'shen'zhua 凝血神抓
'ning'zhong'ze 宁中则
'niu'dao'shi 拗道师
'niu'tou'ren'shen 牛头人身
'nu'jian'zhen'ren 怒剑真人
'nv'mao'lang'cai'zhu'wan'hu 女貌郎才珠万斛
'ou'fei'xiong 欧飞雄
'ou'luo'ba'lian'bang 欧罗巴联邦
'ou'ran'feng'han 偶染风寒
'ou'yang'gong'zheng 欧阳公政
'ou'yang'mu'zhi 欧阳牧之
'ou'ying'wen 欧英文
'pai'duan 拍断
'pai'huai'kong'gu 徘徊空谷
'pan'gen'cuo'jie'shi'ba'fu 盘根错节十八斧
'pan'gong'she'diao 盘弓射雕
'pan'guan'fan'bu 判官翻簿
'pan'hui'chu'bi'luo 盘回出壁箩
'pan'xiu'da 潘秀达
'pang'fu'ren 胖妇人
'pang'gai 胖丐
'pang'shang'ren 胖商人
'pao'ding'jie'niu'zhang 庖丁解牛掌
'pei'jiang'jun'shi 裴将军诗
'pei'jue 裴珏
'peng'can'jiang 彭参将
'peng'lian'hu 彭连虎
'peng'san'chun 彭三春
'peng'ying'yu 彭莹玉
'peng'zhang'lao 彭长老
'pi'kang'shi 批亢式
'pi'pa'gong'zhu 琵琶公主
'pi'pa'zhe'mian 琵琶遮面
'pi'qing'yun 皮清云
'pi'qiu 皮裘
'piao'xue'chuan'yun'zhang 飘雪穿云掌
'ping'a'si 平阿四
'ping'deng'bao'shu'wang 平等宝树王
'ping'fu'ren 平夫人
'ping'gong'tou 平工头
'ping'po'po 平婆婆
'ping'wang'xian 平旺先
'ping'wei 平威
'ping'yi'zhi 平一指
'po'bian'shi 破鞭式
'po'dao'shi 破刀式
'po'jian'shi 破箭式
'po'mo'pi'ma'jian'fa 泼墨披麻剑法
'po'pai 破牌
'po'qi'shi 破气式
'po'qiang'shi 破枪式
'po'sui'xu'kong 破碎虚空
'po'suo'shi 破索式
'po'yu'quan 破玉拳
'po'yue'zhui 破月锥
'po'zhang'shi 破掌式
'pu'men'zhang'fa 普门杖法
'pu'tong'xian'ren 普通仙人
'pu'zhe'he'shang 朴者和尚
'qi'bo'tao 齐伯涛
'qi'can'de'dao'kou 凄惨的刀口
'qi'chang'fa 戚长发
'qi'da'kou'zhi'feng'jiang 七大寇之锋将
'qi'da'kou'zhi'ji'jian 七大寇之祭剑
'qi'da'shou'zuo 七大首座
'qi'fang 戚芳
'qi'jia'jian 祁家剑
'qi'liu'san 祁六三
'qi'luo'nuo'fu 齐洛诺夫
'qi'men'san'cai'dao 奇门三才刀
'qi'men'wu'zhuan 奇门五转
'qi'pan'zhao'shi 棋盘招式
'qi'qing'biao 祁清彪
'qi'tang'zhu 齐堂主
'qi'tian'biao 祁天彪
'qi'xian'wu'xing'jian'fa 七弦无形剑法
'qi'xin'bao'shu'wang 齐心宝树王
'qi'yuan'kai 齐元凯
'qi'zhi'cheng 祁志诚
'qi'zi'mian 齐自勉
'qian'dao'zong'heng 千道纵横
'qian'die'zhang 千跌张
'qian'er'bai 钱二败
'qian'gu'ren'long 千古人龙
'qian'jin'duo'di 千斤堕地
'qian'jun'ya'tuo 千钧压驼
'qian'kun'da'nuo'yi 乾坤大挪移
'qian'kun'yan'mie 乾坤湮灭
'qian'lao'ben 钱老本
'qian'li'liu'sha 千里流沙
'qian'qing'jian 钱青健
'qian'tong'si 钱通四
'qian'zheng'lun 钱正伦
'qian'zhu'wan'du'shou 千蛛万毒手
'qiang'zai'sheng 羌再生
'qiang'zhu'shi 抢珠式
'qiao'bi'duan'yun 峭壁断云
'qiao'fu 乔福
'qiao'gui 俏鬼
'qiao'zhai'zhu 乔寨主
'qin'er 琴儿
'qin'lao'wu 秦老五
'qin'long'gong 擒龙功
'qin'nai'zhi 秦耐之
'qin'tian'cheng 覃天丞
'qin'wei'bang 秦伟帮
'qing'cheng'dao'jia 青城道家
'qing'feng'yin'pei'xia'yao'tai 清风引佩下瑶台
'qing'feng'zhen 青蜂针
'qing'hua 晴画
'qing'ling'zi 青灵子
'qing'luo'xiao'shan 轻罗小扇
'qing'shang'xie'hong 轻上斜红
'qing'song'wang'ting 青松望亭
'qing'tong'shi'dai 青铜时代
'qing'xin'ning'yi 清心凝意
'qing'xu'dao'ren 清虚道人
'qing'yin'hui'feng 轻吟回风
'qing'yin'xiao'zhuo 清饮小酌
'qing'zi'jiu'da 青字九打
'qiu'ci'guo'wang 龟兹国王
'qiu'ju 秋菊
'qiu'ling'su 秋灵素
'qiu'qian'zhang 裘千丈
'qiu'shan'feng 邱山风
'qiu'shan'yuan 秋山远
'qiu'xiao'yun 秋小韵
'qiu'zi'jia'zu 秋字家族
'qu'bang'ma'tou'sheng 去傍马头生
'qu'fan'nao'zhi 去烦恼指
'qu'fei'yan 曲非烟
'qu'jing'gun'fa 取经棍法
'qu'san 曲三
'qu'sha'gu 曲傻姑
'qu'wu'rong 曲无容
'qu'yang 曲洋
'qu'zhun 觑准
'qu'zou'nai'he 曲走奈何
'quan'jian'nan 泉建男
'quan'jin'fa 全金发
'quan'ma 泉妈
'quan'ming'fu'rong 泉鸣芙蓉
'quan'qiang'dao 全强盗
'quan'zhen'jian'fa 全真剑法
'qun'long'zhi'shou 群龙之首
'qun'xie'pi'yi 群邪辟易
'ran'mu'dao'fa 燃木刀法
'rao'zhi'rou'jian 绕指柔剑
'ren'ci 任慈
'ren'tong'wu 任通武
'ren'wo'xing 任我行
'rong'cai 荣彩
'rong'xing'dan'ding 熔星丹鼎
'rong'zi'ju 容子矩
'rou'yun'jian'shu 柔云剑术
'ru'lai'qian'shou'shi 如来千手式
'ru'mo'dao 入魔道
'ru'yi'wen'fei'jin 儒以文非今
'ru'ying'sui'xing'tui 如影随形腿
'ruan'shi'zhong 阮士忠
'rui'chu 蕊初
'rui'da'lin 瑞大林
'rui'dong 瑞栋
'rui'mu'zu 睿木族
'rui'po'po 瑞婆婆
'rui'wei 芮玮
'ruo'ke'lin 若克琳
'sa'duo 萨多
'sai'bei'bai'jia'bao 塞北白家堡
'sai'zong'guan 赛总管
'san'bei'tu'yan'nuo 三杯吐言诺
'san'dai'di'zi 三代弟子
'san'fen'jian'shu 三分剑术
'san'hua'ju'ding'zhang'fa 三花聚顶掌法
'san'hua'zhang 散花掌
'san'jiang'ge 三江阁
'san'shi'liu'hu'fa'wei'tuo 三十六护法韦驮
'san'wu'san'bu'shou 三无三不手
'san'yan'tou'lin 三燕投林
'san'zhu'shen'zhuang 三铸神装
'sang'jie 桑结
'sang'kun 桑昆
'sang'la'ba 桑拉巴
'sang'men'gui 丧门鬼
'sang'san'niang 桑三娘
'sang'si 桑斯
'sang'tu'gong 桑土公
'sao'dang'qun'mo 扫荡群魔
'sao'xue'peng'cha 扫雪烹茶
'sao'ye'tui'fa 扫叶腿法
'sha'chu 杀楚
'sha'guang'tian 沙广天
'sha'lao'da 沙老大
'sha'le'ni'hao'ma 杀了你好吗
'sha'ren'de'xin'tiao 杀人的心跳
'sha'shen'dang'dao 煞神当道
'sha'shen'gui 煞神鬼
'sha'shou'shan'zai 杀手善哉
'sha'si'xue'shan'fei'hu 杀死雪山飞狐
'sha'tian'jiang 沙天江
'sha'tong'tian 沙通天
'shan'men'hu'fa 山门护法
'shan'wai'qing'yin 山外清音
'shan'xi'tong'jia 山西童家
'shang'bao'zhen 商宝震
'shang'guan'hong 上官虹
'shang'guan'jin'hong 上官金虹
'shang'guan'lian'lian 上官怜怜
'shang'guan'ren 上官刃
'shang'guan'tie'sheng 上官铁生
'shang'guan'xian'er 上官仙儿
'shang'guan'yi'shan 上官毅山
'shang'guan'yun 上官云
'shang'lao'tai 商老太
'shang'qing'guan 上清观
'shang'qing'jian'fa 上清剑法
'shang'qing'quan 上清拳
'shao'chong'jian 少冲剑
'shao'dian'zhi'zi 少典之子
'shao'he 邵鹤
'shao'lin'chang'quan 少林长拳
'shao'lin'fu'mo'shen'gong 少林伏魔神功
'shao'lin'qin'na'shi'ba'da 少林擒拿十八打
'shao'nian'leng'xue 少年冷血
'shao'nian'tie'shou 少年铁手
'shao'nian'zhui'ming 少年追命
'shao'shang'jian 少商剑
'shao'yan 邵燕
'she'diao'ying'xiong'zhuan 射雕英雄传
'she'fu'wai'dao 慑服外道
'she'pan'qing'zhu 蛇磐青竹
'she'pi'zhang 蛇皮张
'she'xing'li'fan 蛇行狸翻
'she'xing'shu'cuan 蛇行鼠窜
'shen'bi'jun 沈壁君
'shen'diao'xia'lv 神雕侠侣
'shen'du'xing 慎笃行
'shen'hui'lin 沈慧琳
'shen'hui'shan 沈慧珊
'shen'kong'hang 慎空行
'shen'mu'wang'ding 神木王鼎
'shen'qi'kai'tian 神器开天
'shen'qing'gang 沈青刚
'shen'ren'jun 申人俊
'shen'shan'shang'ren 神山上人
'shen'tu'ji'dou 申屠计都
'shen'wai'hua'shen 身外化身
'shen'yi'lai'yao'er 神医赖药儿
'shen'yin 神音
'shen'zhao'shang'ren 神照上人
'shen'zhi'fan 申志凡
'shen'zhou'wu'di 神州无敌
'sheng'huo'ling'wu'gong 圣火令武功
'sheng'ling'lun'hui 生灵轮回
'sheng'si'ling 生死令
'sheng'yan 盛颜
'sheng'yin'shi'tai 圣因师太
'shi'bi'zi 狮鼻子
'shi'biao'tou 史镖头
'shi'bing'guang 史秉光
'shi'bing'wen 史秉文
'shi'bo'wei 史伯威
'shi'chong'wu 石崇武
'shi'dai'zi 施戴子
'shi'deng'da 史登达
'shi'er'pu'sa'zhi'yi 十二菩萨之一
'shi'gu'long'shou 噬骨龙兽
'shi'guan'hui'ma 石关回马
'shi'hong'shi 史红石
'shi'huo'long 史火龙
'shi'ji'qiang 史季强
'shi'jia'zhi'xiang'gong 释迦掷象功
'shi'jian 侍剑
'shi'jian'gui'ze 时间规则
'shi'jun 石骏
'shi'li 室里
'shi'liang'pai 石梁派
'shi'lin'jian'fa 石廪剑法
'shi'lin'shu'sheng 石廪书声
'shi'ling'wei 施令威
'shi'meng'long 史孟龙
'shi'po'tian 石破天
'shi'qi'lang 史七郎
'shi'shu'gang 史叔刚
'shi'shuang'ying 石双英
'shi'song 史松
'shi'tou'quan 石头拳
'shi'tuo 石驼
'shi'wan'chen 石万嗔
'shi'wei'han 时未寒
'shi'xiao'cui 史小翠
'shi'zhong'jun 史仲俊
'shi'zhong'meng 史仲猛
'shi'zi'hou 狮子吼
'shou'gai 瘦丐
'shou'hui'pi'pa 手挥琵琶
'shou'que'shi 守缺式
'shou'shang'ren 瘦商人
'shou'tou'tuo 瘦头陀
'shu'dao'nan'pai'fa 蜀道难牌法
'shu'de 倏得
'shu'fa'wu'xue 书法武学
'shu'hua'long 舒化龙
'shu'jian'en'chou'lu 书剑恩仇录
'shu'nv'jian 淑女剑
'shu'qi 舒奇
'shu'shan'jian'zong 蜀山剑宗
'shu'shao'qin'hou 树梢擒猴
'shuang'long'qu'shui 双龙取水
'shuang'tuo'xi'lai 双驼西来
'shui'dai 水岱
'shui'fu 水福
'shui'jian 水鉴
'shui'ling'guang 水灵光
'shui'long'yi'zu 水龙一族
'shui'long'zu 水龙族
'shui'mu'yin'ji 水母阴姬
'shui'tian'ji 水天姬
'shui'xi'dao'shu 水系道术
'shui'yun'dao'ren 水云道人
'shuo'feng'hu'qi 朔风忽起
'shuo'feng'kuang'xiao 朔风狂啸
'si'da'ming'bu'da'lao'hu 四大名捕打老虎
'si'da'ming'bu'dou'jiang'shi 四大名捕斗僵尸
'si'da'ming'bu'zhen'guan'dong 四大名捕震关东
'si'da'tian'jun 四大天君
'si'da'zhu'si 四大主司
'si'gui 司鬼
'si'gui'zhe 司鬼者
'si'hai'ao'you 四海遨游
'si'kong'xuan 司空玄
'si'kong'zhai'xing 司空摘星
'si'luo'bai'jie 丝萝百结
'si'ma'chang'kong 司马长空
'si'ma'da 司马大
'si'ma'lin 司马林
'si'mei 四妹
'si'ming 司冥
'si'tu'bo'lei 司徒伯雷
'si'tu'guang 司徒光
'si'tu'he 司徒鹤
'si'tu'heng 司徒横
'si'tu'jing 司徒静
'si'tu'lei 司徒雷
'si'tu'liu'xing 司徒流星
'si'tu'qian'zhong 司徒千钟
'si'xiang'bu'fa 四象步法
'si'xiang'zhang'fa 四象掌法
'si'yin 司阴
'si'yin'zhe 司阴者
'song'shan'jian'fa 嵩山剑法
'song'shan'peng 宋善朋
'song'tao'ru'lei 松涛如雷
'song'tian'bao 宋天保
'song'tian'er 宋甜儿
'song'wu 宋五
'song'xia'dui'yi 松下对弈
'song'xian'ce 宋献策
'song'xu'yi'zhen 嵩旭一振
'song'yang'gan'yuan 嵩阳干元
'song'yang'pai 嵩阳派
'song'zhang'lao 宋长老
'sou'hun'shi 搜魂使
'sou'hun'shu 搜魂术
'su'gang 苏冈
'su'li'song 苏李宋
'su'meng'qing 苏梦清
'su'pu 苏普
'su'quan 苏荃
'su'san'jie 苏三姐
'su'xi'zhi 苏习之
'suan'ru'wen'ren 酸儒文人
'sun'da'shan 孙大善
'sun'gang'feng 孙刚峰
'sun'ke'tong 孙克通
'sun'lao'san 孙老三
'sun'san'hui 孙三毁
'sun'si'ke 孙思克
'sun'wan'nian 孙万年
'sun'xiao'hong 孙小红
'sun'xiu'qing 孙秀清
'sun'xue'pu 孙学圃
'sun'ze'you'fu 损则有孚
'sun'zhong'shou 孙仲寿
'sun'zhong'yin 孙仲尹
'suo'di'cheng'cun 缩地成寸
'suo'ming'shi 索命使
'tai'bie'shan 太别山
'tai'huang'tai'hou 太皇太后
'tai'ji'liang'yi'sheng'mie'zhen 太极两仪生灭阵
'tai'shan'jian'fa 泰山剑法
'tai'shan'shi'ba'pan 泰山十八盘
'tai'xu'zi 太虚子
'tai'xuan'shen'gong 太玄神功
'tai'yang'ling 太阳令
'tai'yang'shi 太阳使
'tai'yi'pai 太乙派
'tai'yue'san'qing'feng 太岳三青峰
'tai'zu'bang 太祖棒
'tai'zu'chang'quan 太祖长拳
'tan'di'ren 谭迪人
'tan'qing 谭青
'tan'wen'li 谭文理
'tan'zhong 檀中
'tang'fang'yi'zhan 唐方一战
'tang'guang'xiong 唐光雄
'tang'liu'ye 唐六爷
'tang'shi'jian'fa 唐诗剑法
'tang'wen'liang 唐文亮
'tang'yang 唐洋
'tang'zu'de 汤祖德
'tao'bai'sui 陶百岁
'tao'gan'xian 桃干仙
'tao'guan'jia 陶管家
'tao'hong'ying 陶红英
'tao'shi'fu 陶师傅
'tao'zi'an 陶子安
'teng'ping 藤萍
'teng'yi'lei 腾一雷
'ti'shou'shang'shi 提手上式
'tian'chang'zhang'fa 天长掌法
'tian'dao'xian'yu'zong 天道仙域宗
'tian'di'zhen'ren 天地真人
'tian'fang'jie'jie 天防结界
'tian'feng'da'shi 天峰大师
'tian'feng'shi'si'lang 天枫十四郎
'tian'fu'bing'yi 天赋秉异
'tian'fu'yi'bing 天赋异秉
'tian'gang'mei'hua'zhuang 天罡梅花桩
'tian'gen'zhen'ren 天艮真人
'tian'hong'chan'shi 天虹禅师
'tian'hu'xing 天狐星
'tian'jian'xiu 田见秀
'tian'jue'shang'ren 天决上人
'tian'lei'zhen'ren 天雷真人
'tian'li'zhen'ren 天离真人
'tian'long'ba'bu 天龙八部
'tian'luo'di'wang'shi 天罗地网势
'tian'men'dao'ren 天门道人
'tian'ming'fang'zhang 天鸣方丈
'tian'qing'wen 田青文
'tian'sao 天嫂
'tian'shan'liu'yang'zhang 天山六阳掌
'tian'shan'zhe'mei'shou 天山折梅手
'tian'shen'dao'xuan 天绅倒悬
'tian'shi'fu'lu'zong 天师符菉宗
'tian'shu'xing'li'jian 天枢星力剑
'tian'shu'xing'li'jian 天枢星力箭
'tian'shu'xing'li'wang 天枢星力网
'tian'shui'zhen'ren 天水真人
'tian'song'dao'ren 天松道人
'tian'sun'zhi'jin 天孙织锦
'tian'wai'fei'long 天外飞龙
'tian'wai'lai'yun 天外来云
'tian'wang'bu'xin'zhen 天王补心针
'tian'xu 天虚
'tian'xun'zhen 天巽真
'tian'yi'dao'ren 天乙道人
'tian'ze'zhen'ren 天泽真人
'tian'zhu'fo'zhi 天竺佛指
'tian'zhu'jian'fa 天柱剑法
'tian'zhu'seng 天竺僧
'tian'zhu'seng'ren 天竺僧人
'tian'zhu'yun'qi 天柱云气
'tiao'he'jiang'you 调和酱油
'tie'gou'gong'fu 铁钩功夫
'tie'jian'men 铁剑门
'tie'kai'cheng 铁开诚
'tie'lian'zi 铁莲子
'tie'men'shuan'dao'fa 铁门闩刀法
'tie'niu'geng'di 铁牛耕地
'tie'pi'pa'shou 铁琵琶手
'tie'qi'tu'chu 铁骑突出
'tie'xian'quan 铁线拳
'tie'xue'ji'di 铁血基地
'tie'xue'xing 铁血星
'tie'zhang 铁掌
'tie'zhi'jue 铁指诀
'tie'zhong'tang 铁中棠
'tie'zhou'tui'fa 铁帚腿法
'tong'bai'xiong 童百熊
'tong'da'hai 童大海
'tong'gui'jian'fa 同归剑法
'tong'guo'gang 佟国纲
'tong'huai'dao 童怀道
'tong'jia'liu'xing'chui'fa 童家流星锤法
'tong'zhao'he 童兆和
'tong'zhuo'hou'sheng 同桌后生
'tou'gu'da'xue 透骨打穴
'tu'bi'weng 秃笔翁
'tu'er'bu'qing 图尔布青
'tu'hai'dao 图海道
'tu'xi'dao'shu 土系道术
'tui'chuang'wang'yue 推窗望月
'tun'huo'qing'huai 吞火情怀
'wa'er'la'qi 瓦尔拉齐
'wan'da'ping 万大平
'wan'gui 万圭
'wan'hua'jian'fa 万花剑法
'wan'li'feng 万里风
'wan'lu'lei'ting 万路雷霆
'wan'qing'lan 万庆澜
'wan'she'xiong'yong 万蛇汹涌
'wan'yan'a'gu'da 完颜阿古打
'wan'yan'hong'xi 完颜洪熙
'wan'yan'ping 完颜萍
'wan'zhen'shan 万震山
'wang'ba'shuai 王八衰
'wang'bao'bao 王保保
'wang'bo'fen 王伯奋
'wang'dong 王动
'wang'han 王罕
'wang'hao'tian 汪浩天
'wang'jia'ju 王家驹
'wang'jia'jun 王家骏
'wang'jian'jie 王剑杰
'wang'jin'bao 王进宝
'wang'lao'liu 王老六
'wang'nan'gu 王难姑
'wang'shi'san 王十三
'wang'shi'xiong 王师兄
'wang'tie'e 汪铁鹗
'wang'tie'jiang 王铁匠
'wang'wan'ren 王万仞
'wang'wan'yi 汪万翼
'wang'wei'yang 王维扬
'wang'wei'zhong 王惟忠
'wang'wu'tong 王武通
'wang'yuan'ba 王元霸
'wang'zhang'gui 王掌柜
'wang'zhi'tan 王志坦
'wang'zhong'ping 王仲萍
'wang'zhong'qiang 王仲强
'wang'zi'si'dao 王字四刀
'wei'bi 卫璧
'wei'chun'hua 韦春花
'wei'chun'hua 卫春华
'wei'feng'niang 卫凤娘
'wei'si'niang 卫四娘
'wei'tuo'men 韦陀门
'wei'tuo'zhang 韦陀掌
'wei'yi'xiao 韦一笑
'wei'zhen'ma'fa 威震玛法
'wen'cang'song 闻苍松
'wen'dai'dai 温黛黛
'wen'fang'da 温方达
'wen'fang'shan 温方山
'wen'fang'shi 温方施
'wen'fang'wu 温方悟
'wen'fang'yi 温方义
'wen'jun'dang'lu 文君当炉
'wen'nan'yang 温南扬
'wen'qing 温青
'wen'ren'hou 温仁厚
'wen'rou'yi'dao 温柔一刀
'wen'tai'lai 文泰来
'wen'wan'fu 闻万夫
'wen'xian'sheng 闻先生
'wen'you'dao 温有道
'wen'you'fang 温有方
'wen'zheng 温正
'wen'zui'weng 文醉翁
'wu'bai'ying 吴柏英
'wu'ban 武版
'wu'bao'yu 吴宝宇
'wu'biao'tou 吴镖头
'wu'chang'dou'suo 无常抖索
'wu'chang'feng 吴长风
'wu'chang'gui 无常鬼
'wu'chang'suo'ming 无常锁命
'wu'chen'dao'ren 无尘道人
