'a'kong 阿空
'xuan'wu'zhi'ze 玄武之泽
'xuan'ye 玄爷
'xuan'yun'hai 玄云海
'xue'hu 血湖
'xue'yue'ying'hua'zhi'guo 雪月樱花之国
'ya'kong'xue 亚空穴
'ya'ma'sa'na'du 亚玛萨那度
'yan'chuan'de'fei'cui 厌川的翡翠
'yan'de'zi'an'bei 燕的子安贝
'yan'li 岩笠
'yan'mo 阎魔
'yan'xing 焰星
'yao'chong 妖虫
'yao'guai'ce'huang'ji 妖怪测谎机
'yao'guai'de'shu'hai 妖怪的树海
'yao'guai'huang'gua 妖怪黄瓜
'yao'guai'li 妖怪狸
'yao'guai'li'can'dao 妖怪里参道
'yao'guai'li'zhi'sen 妖怪狸之森
'yao'guai'shu 妖怪鼠
'yao'guai'si 妖怪寺
'yao'guai'zhi'shan 妖怪之山
'yao'jing'da'zhan'zheng 妖精大战争
'yao'meng 妖梦
'yao'mo'ye'xing 妖魔夜行
'yao'shi 要石
'yao'shou 妖兽
'yao'tu 妖兔
'yao'yao'meng 妖妖梦
'yao'yue'tuan'de'li'shi 幺乐团的历史
'ye'chong'long'juan 夜虫龙卷
'ye'fu 叶符
'ye'huo'di'man 业火地幔
'ye'mu'huan'ying'sha'ren'gui 夜幕幻影杀人鬼
'ye'que 夜雀
'ye'que'zhi'ge 夜雀之歌
'ye'ting 叶庭
'ye'wu'nv 腋巫女
'ye'wu'zhong'de'huan'ying'sha'ren'gui 夜雾中的幻影杀人鬼
'yi'bian 异变
'yi'chui 伊吹
'yi'chui'cui'xiang 伊吹萃香
'yi'chui'piao 伊吹瓢
'yi'dou'neng'mai'shen 伊豆能卖神
'yi'ji 依姬
'yi'jiu 衣玖
'yi'li'si 依莉斯
'yi'lian'wei'zhuo'yan 依恋未酌宴
'yi'lun 一轮
'yi'ming'tong'guan 一命通关
'yi'nian'wu'liang'jie 一念无量劫
'yi'she 一设
'yi'tiao'gui'qiao 一条归桥
'yi'wang'zhi'gu 遗忘之谷
'yi'wang'zhi'ji'yi 遗忘之祭仪
'yi'wu'ren'du'de'qiao 已无人渡的桥
'yi'zang'nuo'wu'zhi 伊奘诺物质
'yi'zhe 易者
'yin'fan'di 因幡帝
'yin'wan'xing 寅丸星
'yin'yang'gui'shen'yu 阴阳鬼神玉
'yin'yang'san'hua 阴阳散华
'yin'yang'yu 阴阳玉
'ying'hua'guai'dao 樱花怪道
'ying'hua'ying'hua 樱花樱花
'ying'hua'zhi'lian'zhong 樱花之恋塚
'ying'lang 影狼
'yong'jiang'yi'jiu 永江衣玖
'yong'lin 永琳
'yong'ye'chao 永夜抄
'yong'ye'fan 永夜返
'yong'ye'si'chong'jie'jie 永夜四重结界
'yong'ye'yi'bian 永夜异变
'yong'ye'zhe'ju 永夜蛰居
'yong'yi 勇仪
'yong'yuan'de'shi'qi'sui 永远的十七岁
'yong'yuan'he'xu'yu'de'zui'ren 永远和须臾的罪人
'yong'yuan'ting 永远亭
'you'bi'xing'guang 幽闭星光
'you'ding'tian 有顶天
'you'gu'xiang'zi 幽谷响子
'you'huan'luan'wu 幽幻乱舞
'you'huan'mo'yan 幽幻魔眼
'you'ling'chuan'zhi'gang 幽灵船之港
'you'ling'yue'tuan 幽灵乐团
'you'meng 幽梦
'you'ming'ge'lou'de'wang'ling'shao'nv 幽冥阁楼的亡灵少女
'you'ming'jie'jie 幽冥结界
'you'ren'ting'shi 幽人庭师
'you'xiao'de'hong'yue 幼小的红月
'you'xuan'de'feng'shu 幽玄的枫树
'you'xuan'mo'yan 幽玄魔眼
'you'ya'de'sheng'kai'mo'ran'de'ying'hua 幽雅的盛开墨染的樱花
'you'you'zi 幽幽子
'yu'a'li'zhi'zi 御阿礼之子
'yu'fu 雨符
'yu'ye'guai'tan 雨夜怪谈
'yu'zha 御札
'yu'zuo'jian'jin'zi 宇佐见堇子
'yu'zuo'jian'lian'zi 宇佐见莲子
'yuan'fu 源符
'yuan'ling 怨灵
'yuan'wei'hua 鸢尾花
'yuan'ye'zhi'sen 远野之森
'yue'dou 月都
'yue'jian'cao 月见草
'yue'ren 月人
'yue'shi'ji 月时计
'yue'tu 月兔
'yue'ye'jian 月夜见
'yue'zhi'dou 月之都
'yue'zhi'tou'nao 月之头脑
'yue'zhi'yao'niao'hua'mao'zhi'huan 月之妖鸟化猫之幻
'yun'ju 云居
'yun'ju'yi'lun 云居一轮
'yun'shan 云山
'zai'si'zhi'dao 再思之道
'zao'miao 早苗
'zhang'fu 瘴符
'zhe'fan'she 折反射
'zhen'miao'wan 针妙丸
'zheng'ti'bu'ming 正体不明
'zheng'xie 正邪
'zheng'zhi'zhe'zhi'si 正直者之死
'zhi'fu 贽符
'zhi'shi'he'ri'yin'de'shao'nv 知识和日阴的少女
'zhong'fu 终符
'zhong'quan'sui'ji 重拳碎击
'zhong'shen'juan'lian'de'huan'xiang'xiang 众神眷恋的幻想乡
'zhong'yang'shen'hua 中央神话
'zhong'you'zhi'dao 中有之道
'zhou'jing 咒精
'zhu'lu'zi 朱鹭子
'zhu'qu'fei'xiang 竹取飞翔
'zhu'qu'ji 竹取姬
'zhuan'fu 转覆
'zhuan'zhuan 转转
'zhuan'zhuan'shen 转转神
'zhuo're'di'yu'ji 灼热地狱迹
'zhuo're'di'yu'yi'zhi 灼热地狱遗址
'zi'ji 自机
'zi'ji'ju 自机狙
'zi'ma 紫妈
'zi'mei 紫妹
'zi'xiang'hua 紫香花
'zou'fang'da'zhan 诹访大战
'zou'fang'hu 诹访湖
'zou'fang'ming'shen 诹访明神
'zou'fang'zi 诹访子
'zu'xian'tuo'meng 祖先托梦
'zui'ren'bu'shi'zhi'jia 罪人不释之枷
