'a'du'li'yu'fo'shen'tong 阿闍梨与佛身同
'hao'shu'shi'shu'qie'gui'qu 好束诗书且归去
'hao'ting'zhe'gu'ti'yu'chu 好听鹧鸪啼雨处
'hao'xiang'dong'lin'du'ci'sheng 好向东林度此生
'hao'xiang'wu'chao'kan 好向吴朝看
'hao'yu'bu'yu'feng'bu'feng 好雨不雨风不风
'he'bi'cheng'xiao'sa 何必称潇洒
'he'bi'he'yang'xian 何必河阳县
'he'bi'xian'yin'shu'dao'nan 何必闲吟蜀道难
'he'bi'yao'shi'mian 何必要识面
'he'bi'yuan'shi'shi'jie'cai 何必圆时始竭才
'he'bi'zhuo'wu'ying 何必濯吾缨
'he'bing'lian'di'dong 河冰连地冻
'he'can'suo'mai'zhen 何惭所买真
'he'ceng'cheng'zai'cheng 何曾称在城
'he'ceng'zhu'ku'yin 何曾著苦吟
'he'chang'li'shi'sui'xing'pi 鹤氅褵褷遂性披
'he'chang'ren'cong'heng'yue'zhi 鹤氅人从衡岳至
'he'chang'yi'chu'jia 何尝异出家
'he'chi'jiu'ling'chi 何啻旧凌迟
'he'chu'bao'ren'en 何处报人恩
'he'chu'bei'fan'hong 何处背繁红
'he'chu'bi'shan'feng'zhang'lao 何处碧山逢长老
'he'chu'cheng'zhen'xin 何处称真心
'he'chu'cuo'xie'zong 何处挫邪宗
'he'chu'duo'you'sheng 何处多幽胜
'he'chu'fen'ming'zhu'xing'ming 何处分明著姓名
'he'chu'feng'jiang'guo'jiu'you 何处封疆过旧游
'he'chu'gu'shan'qing 何处故山青
'he'chu'guan'shan'you'ke'xing 何处关山有客行
'he'chu'jian'nian'zhong 何处见年终
'he'chu'jing'hong'qi 何处惊鸿起
'he'chu'jing'nian'bi'hao'yin 何处经年閟好音
'he'chu'kan'tou'ci'zong'ji 何处堪投此踪迹
'he'chu'liu'long'ben'ri'yu 喝出六龙奔日驭
'he'chu'luo'jin'tao 何处落金桃
'he'chu'mi'jing'zhou 何处觅荆州
'he'chu'mu'chan'xuan'ni'lv 何处暮蝉喧逆旅
'he'chu'pei'you'sheng 何处陪游胜
'he'chu'ping'lan'gan 何处凭阑干
'he'chu'ren'jing'qi 何处人惊起
'he'chu'tong'ji'lan 何处同嵇懒
'he'chu'wu'fan'fei 何处误翻飞
'he'chu'xi'feng'ye 何处西风夜
'he'chu'yun'gen'cai'de'lai 何处云根采得来
'he'chu'zhao'ren'hong 何处照人红
'he'dang'bian'yao'luo 何当便摇落
'he'dang'ci'jian'yi 何当此见遗
'he'dang'duan'yu'bian'fei'qu 何当断欲便飞去
'he'dang'hui'ji'liao 何当惠寂寥
'he'dang'jian'liang'yue 何当见凉月
'he'dang'jian'yao'shun 何当见尧舜
'he'dang'jian'zhao'wo 何当见招我
'he'dang'jiu'quan'shi 何当旧泉石
'he'dang'jiu'xiao'ke 何当九霄客
'he'dang'tan'xiao'wai 何当谈笑外
'he'dang'yi'yu'su'wo'miao 何当一雨苏我苗
'he'de'ban'yin'yun 合得伴吟云
'he'fa'bu'kan'yan'ci'shi 鹤发不堪言此世
'he'fang'chu'shi'liu 何妨出世流
'he'fang'ji'wo'lin'chi'xing 何妨寄我临池兴
'he'fang'ji'yu'xi 何妨继馀习
'he'fang'jin'fen'zi'gao'ge 何妨金粉资高格
'he'fang'shen'xiao'shou 何妨甚消瘦
'he'fang'shu'zuo'cong'long'shi 何妨舒作从龙势
'he'fang'ye'jiao'shi'xiang'yi 何妨夜醮时相忆
'he'feng'chu'shi'shi'tai'qian 何峰触石湿苔钱
'he'feng'shi'lin'ce 何峰是邻侧
'he'feng'yi'hui'shou 何峰一回首
'he'gui'niao'wai'cang'you'ji 合归鸟外藏幽迹
'he'jian'dan'cheng'qu 鹤见丹成去
'he'jian'jiu'shan'chuan 贺监旧山川
'he'jing'kui'qiu'pian 鹤静窥秋片
'he'jing'xun'seng'qu 鹤静寻僧去
'he'ju'chang'shu'xia 合居长树下
'he'kuang'geng'ru'li'xing'ru'li'shuo 何况更如理行如理说
'he'li'shu'ji 和李书记
'he'ling'seng'lai'xi'hua'jun 鹤岭僧来细话君
'he'lv'duan'chang'yuan 何虑断肠猿
'he'lv'qu'nan'er 何虑屈男儿
'he'lv'wei'zhi'yin 何虑未知音
'he'men'geng'he'xiang'chen'ai 何门更合向尘埃
'he'men'shi'le'yin 何门是了因
'he'min'gong'song'li'ping'shi'wang'yi'chun 和岷公送李评事往宜春
'he'mo'kan'fen'jing 鹤默堪分静
'he'neng'xiang'wai'qiu'pan'zhe 何能向外求攀折
'he'neng'xun'si'hao 何能寻四皓
'he'pao'qing'han'lai'yan'gui 鹤抛青汉来岩桧
'he'qiao'song'bie'zhe 河桥送别者
'he'qiong'ci'xin'xing 何穷此心兴
'he'quan'qi'sheng 何全其生
'he'ren'an'jian'deng'ying'ying 何人按剑灯荧荧
'he'ren'chuan'zhi'fa 何人传指法
'he'ren'dai'qing'nuan 何人待晴暖
'he'ren'dao'ci'si'gao'zhu 何人到此思高躅
'he'ren'geng'duo'lei 何人更堕泪
'he'ren'geng'shang'zhi 何人更赏之
'he'ren'geng'yi'lou 何人更倚楼
'he'ren'he'yong'xin 何人合用心
'he'ren'jiu'sui'han 何人旧岁寒
'he'ren'lei'yu'liu 何人泪欲流
'he'ren'shi'de'yi 何人识得伊
'he'ren'wang'lv'yun 何人忘律韵
'he'ren'wei'shang'lou 何人未上楼
'he'ru'bang'zhu'xiu 何如傍主休
'he'ru'fei'ru'han'gong'li 何如飞入汉宫里
'he'seng'qiang'ru'yun'zhong'qiao 和僧抢入云中峭
'he'shi'ci'xie'shou 何时此携手
'he'shi'dao'shan'si 何时到山寺
'he'shi'de'yu'ying'xiong'zhu 何时得遇英雄主
'he'shi'ding'xiu'jiang 何时定休讲
'he'shi'ge'xian'seng 合是个闲僧
'he'shi'jian'qing'ji 何时见清霁
'he'shi'qing'guang'yu'chan'tu 何事清光与蟾兔
'he'shi'sui'qing'xing 何时遂情兴
'he'shi'xie'juan'chu 何时携卷出
'he'shi'ying'men'sui'yue'zhong 何事膺门岁月重
'he'shi'zu'yin'si 何事阻吟思
'he'shu'guo'nan'chao 禾黍过南朝
'he'si'dang'shi'shi'jie'kong 何似当时石解空
'he'sun'zhi'shi'hui'shi'yuan'zhong'ting'zhu'zhi'shen 和孙支使惠示院中庭竹之什
'he'sun'zhi'shi'lang'zhong'qian'ju 贺孙支使郎中迁居
'he'tan'yu'shang'ren'ji'zeng'zhi'shen 和昙域上人寄赠之什
'he'weng'yuan'wai'ti'ma'tai'fu'zhai'jia'xiang'gong'jing 和翁员外题马太傅宅贾相公井
'he'wu'bu'wei'lang'ji'jing 何物不为狼藉境
'he'xi'deng'qian'jin'ci'qing 何夕灯前尽此情
'he'xi'shu'ke'zhun'da'shi'yuan'ji'zhi'shen 和西蜀可准大师远寄之什
'he'xiang'hao'shan'chuan 合向好山川
'he'xiao'cai'zi'ti'shi'wai 何消才子题诗外
'he'xin'yu'tui'cang 何心欲退藏
'he'xin'zhong'lian'ci'lin'jian 何心终恋此林间
'he'xing'jun'tai'fu'de'bai'shi'dong'lin'ji 贺行军太傅得白氏东林集
'he'xu'dai'ke'zhao 何须待客招
'he'xu'xun'niao'dao 何须寻鸟道
'he'xu'zhao'ling'jing 何须照菱镜
'he'xue'chang'meng'rong 和雪长蒙茸
'he'yan'de'yi'jing 和烟得一茎
'he'yan'xie'yun'niao 何言谢云鸟
'he'yang'xian'shen'zhou'bu'fei 鹤养闲神昼不飞
'he'yao'chu'ren'qun 何要出人群
'he'yao'hong'liao'cu 河遥红蓼簇
'he'yi'hui'xun'chang 何以惠寻常
'he'yi'shi'han'hui 何以示寒灰
'he'yin'hui'xian'shou 何因会仙手
'he'yin'zai'xiang'seng'yuan'li 何因栽向僧园里
'he'yong'chan'yuan'xi'wu'wen 何用潺湲洗污闻
'he'you'ni'mian'zhi 何由拟免之
'he'you'qing'chui'bu'xiu'ming 合有清垂不朽名
'he'you'wang'lai'shu 何有往来书
'he'you'zhu'xian'geng'fu'ying 合有诸贤更服膺
'he'zheng'gu'lang'zhong'kan'qi 和郑谷郎中看棋
'he'zheng'gu'lang'zhong'you'qi'zhi'shen 和郑谷郎中幽栖之什
'he'zhi'zhang'zai'jing'chi'bian 贺知章在镜池边
'he'zhu'xian'shen'qu 合逐闲身去
'he'zhu'ya'nan'xuan 和竹亚南轩
'hei'long'kuang'yu'zuo'feng'lei 黑龙狂欲作风雷
'hei'ye'bu'jin'qiu 黑也不禁秋
'heng'mei'tu'qi'ru'hong'ni 横眉吐气如虹霓
'heng'xing'bu'pa'ri'yue'ming 横行不怕日月明
'heng'yang'shu'ji'hong 衡阳树即红
'heng'yang'you'lei'yang 衡阳又耒阳
'heng'yue'chan'yi'wu'si'yun 衡岳禅依五寺云
'heng'yue'qu'dou'wang 衡岳去都忘
'heng'yue'qu'you'she 衡岳去犹赊
'heng'yue'zuo'jing'qiu 衡岳坐经秋
'hong'bei'ji'gong'cheng'xiao'xue 烘焙几工成晓雪
'hong'beng'jin'yin'jiao 红迸锦茵焦
'hong'can'lv'man'hai'tang'zhi 红残绿满海棠枝
'hong'chen'cui'li'pan 红尘翠里盘
'hong'chen'mei'ma'zong 红尘没马踪
'hong'chen'na'pan'qu'ying'shu 红尘那畔去应疏
'hong'chui'ban'shu'tao 红垂半熟桃
'hong'dui'luo'ri'yun'qian'ren 红堆落日云千仞
'hong'fang'pian'pian'you'qing'di 红芳片片由青帝
'hong'fu'rong'zhe'ai'he'qing 红芙蓉折爱河清
'hong'jin'zi'ning'qing'ye'duo 红烬自凝清夜朵
'hong'lan'bai'pin'zhu 红兰白蘋渚
'hong'lan'pu'nuan'xie'cai'zi 红兰浦暖携才子
'hong'luo'di'duo'tai 红落地多苔
'hong'qiang'wei'hua 红蔷薇花
'hong'ri'wu'si'wang'xiang'chuan 红日无私罔象川
'hong'sui'qiu'guo'jin 鸿随秋过尽
'hong'wen'chu'ming'xia'jiang'bian 弘文初命下江边
'hong'xia'chan'shi'shang 红霞禅石上
'hong'xia'qing'bi'di 红霞青壁底
'hong'xia'ying'li'qing'xiao'suo 红霞影里擎萧索
'hong'xia'zhang'di'chan'chan'se 红霞嶂底潺潺色
'hong'xia'zhong'jie'she 红霞中结社
'hong'xia'zi'yan'ning'lao'bi 红霞紫烟凝老壁
'hong'xian'bi'zi'cheng 洪纤必自呈
'hong'xian'zi'bing'li'gong'se 红藓自禀离宫色
'hong'xin'ye'guo'xiang'xin'luan 鸿心夜过乡心乱
'hong'ya'qian'hou'ming'he'yuan 洪崖遣后名何远
'hong'yan'jiu'li'xing 鸿雁久离行
'hong'yan'tang'xiu'dao'bu'shu 洪偃汤休道不殊
'hong'ye'ji'xin'ti 红叶几新题
'hong'ye'zheng'duo'li'she'ke 红叶正多离社客
'hong'zhong'zhi'han'yu'lu'pian 红重知含雨露偏
'hou'bei'fu'he'ru 后辈复何如
'hou'bei'si'liang'dai'kou'guan 后辈思量待扣关
'hou'bei'yang'zhen'gui 后辈仰箴规
'hou'dai'ru'sheng'lan'shou'shi 后代儒生懒收拾
'hou'hui'wei'qi'xin'de'de 后会未期心的的
'hou'lai'qiu'fa'geng'wu'jun 后来求法更无君
'hou'men'dao'yue'feng 侯门叨月俸
'hou'men'gang'you'bao'yin'yuan 侯门刚有薄因缘
'hou'men'mian'qiang'ju 侯门勉强居
'hou'men'zhong'xie'qu 侯门终谢去
'hou'ren'cai'di'shui'cheng'duan 后人才地谁称短
'hou'she'chu'diao'shu'ye'qin 喉舌初调叔夜琴
'hou'ti'lun'shi'kou'lan'kai 候体论诗口懒开
'hou'tu'you'li'zhe 后徒游礼者
'hou'xin'duo'xiang'ji 后信多相寄
'hou'xu'li'ying'xiang 后须离影响
'hou'ye'chan'chu'ru 后夜禅初入
'hou'ye'shui'dang'que'chu'kan 后夜谁当缺处看
'hou'ye'xiao'sao'dong 后夜萧骚动
'hu'cheng'ban'ye'tian 湖澄半夜天
'hu'ci'hui'xi'yin 忽此惠希音
'hu'cong'hong'liao'an 忽从红蓼岸
'hu'de'mi'qi'si 胡得迷其死
'hu'gong'song'yan'su 虎共松岩宿
'hu'guang'qiu'zhen'shang 湖光秋枕上
'hu'guang'yao'cui'mu 湖光摇翠木
'hu'hu'dong'zhong'si 忽忽动中私
'hu'hu'zhen'qian'hu'die'meng 忽忽枕前蝴蝶梦
'hu'jia'zi'mu'yang 胡家自牧羊
'hu'jue'zao'he'xiang 忽觉早禾香
'hu'lai'hai'you'yi 忽来还有意
'hu'ren'e'mei'zai'cui'wei 忽认峨嵋在翠微
'hu'shan'cui'dian'shu 湖山翠点疏
'hu'shang'yi'ren 湖上逸人
'hu'si'xiao'xiang'an 忽似潇湘岸
'hu'sui'nan'zhao'qu'heng'yang 忽随南棹去衡阳
'hu'wei'xu'ren 胡为勖人
'hu'wen'chan'yi'sheng 忽闻蝉一声
'hu'xi'qiao'shang'long'tan'si 虎溪桥上龙潭寺
'hu'xi'sheng'he'ji'feng'quan 虎溪声合几峰泉
'hu'xi'yi'ren 湖西逸人
'hu'ya'yao'che'jiang'zhu'fei 忽讶轺车降竹扉
'hu'yan'bei'feng'fei'xiang'nan 胡雁背风飞向南
'hu'you'yun'he'xue'chang'tong 忽有云和雪唱同
'hu'yu'wen'shu'kai'hui'yan 忽遇文殊开慧眼
'hu'yun'nian'yan'zhong 湖云黏雁重
'hu'zao'chan'shen'wen 护噪蝉身稳
'hua'bian'ming'shan'jing 话遍名山境
'hua'bian'ou'guo'zong 花边偶过踪
'hua'ding'wei'lin'hai 华顶危临海
'hua'ding'xing'bian'chu 华顶星边出
'hua'fan'jian'lao'ying 花繁渐老莺
'hua'fei'zu'wei'nian 花飞卒未蔫
'hua'guo'dao'yu'tou 花过岛屿头
'hua'jin'cao'chang'fang'bi'hu 花尽草长方闭户
'hua'lian'zhu'ying'chang 花连竹影长
'hua'long'bu'kua'tou'jiao'ji'xu'lin 画龙不夸头角及须鳞
'hua'luo'bi'men'seng 花落闭门僧
'hua'luo'shui'xuan'xuan 花落水喧喧
'hua'ming'cao'jin'chang 花明草尽长
'hua'pan'shi'deng'hong 花盘石磴红
'hua'shao'lu'duo'gan 花烧露朵干
'hua'shuai'yuan'ren'shang 花衰苑任伤
'hua'ting'lai'fu'qu'zhi'tian 华亭来复去芝田
'hua'tong'shi'shi'shao 话通时事少
'hua'tu'jian'lie'yuan'shan'qiu 画图兼列远山秋
'hua'wai'xian'ni'qu 花外衔泥去
'hua'yi'jian'xi'liu 华夷见细流
'hua'yu'luo'chun'can 花雨落春残
'hua'yuan'xiang'zhong'dian'po'tai 花院相重点破苔
'hua'yue'zhong'xuan'wei'qu'qing 华岳终悬未去情
'hua'zai'yue'ming'hu'die'meng 花在月明蝴蝶梦
'huai'ba'ling'jiu'you 怀巴陵旧游
'huai'cai'nan'zi'zhu 怀才难自住
'huai'dao'lin'si'dao'you 怀道林寺道友
'huai'dao'lin'si'yin'ji'ren'yong'er'shang'ren 怀道林寺因寄仁用二上人
'huai'dian'dang'nian'yi'lv'you 淮甸当年忆旅游
'huai'dong'hu'si 怀东湖寺
'huai'hua'ding'dao'ren 怀华顶道人
'huai'hua'guan'yi'mu'chen'hun 槐花馆驿暮尘昏
'huai'jin'ling'li'tui'guan'seng'zi'mu 怀金陵李推官僧自牧
'huai'jin'ling'zhi'jiu 怀金陵知旧
'huai'liu'ye'qiao'bian 槐柳野桥边
'huai'lu'feng'jiu'ju 怀炉峰旧居
'huai'na'liang'tian'yong 坏衲凉天拥
'huai'ti'xiu'shang'ren 怀体休上人
'huai'tian'tai'hua'ding'seng 怀天台华顶僧
'huai'wu'ling'yin'ji'mu'zhong'han'xian'bei'he'cong'shi 怀武陵因寄幕中韩先辈何从事
'huai'xian'fei'fu'shuai 怀贤肺腑衰
'huai'xiao'xiang'ji'shi'ji'you'ren 怀潇湘即事寄友人
'huai'xuan'yuan'xian'sheng 怀轩辕先生
'huai'zhong'nan'seng 怀终南僧
'huan'jia'ji'duo'xing 还家几多兴
'huan'kou'bo'zhou'xiao'wang'tian'zhu'feng 浣口泊舟晓望天柱峰
'huan'qu'you'zhu'quan'bing'qi 寰区有主权兵器
'huan'zhu'zheng'si'fu'bu'min 还珠争似复逋民
'huang'cao'li'xun'bei 荒草里寻碑
'huang'cun'can'la'xiang'feng'ye 荒村残腊相逢夜
'huang'fei'ju'hua'li 荒废菊花篱
'huang'huang'jing'luo'xing 煌煌京洛行
'huang'hui'man'ting'qi 荒秽满汀畦
'huang'hun'yi'an'yin'feng'qi 黄昏一岸阴风起
'huang'jin'mai'sui'han 黄金买岁寒
'huang'ling'miao'mu'shen 黄陵庙木深
'huang'mei'fu'zhu'shen 黄梅付嘱深
'huang'tian'an'zui'de 皇天安罪得
'huang'tian'chan'er'wei'sheng'ning 皇天产尔为生狞
'huang'wai'tu'fen'bei 荒外土坟卑
'huang'yang'beng'teng'da'jing'nie 滉漾崩腾大鲸臬
'huang'ye'chan'sheng'jian'jian'wu 黄叶蟾声渐渐无
'huang'ye'feng'qian'zhou'yan'guan 黄叶风前昼掩关
'huang'ye'qing'feng'chan'yi'lin 黄叶清风蝉一林
'huang'ye'yu'ceng'tong'wo'wu 黄叶喻曾同我悟
'huang'yuan'bai'yuan'ti'ri'ri 黄猿白猿啼日日
'huang'yuan'ti'zi'yan 黄猿啼紫烟
'huang'zhai'song'zhu'lao 荒斋松竹老
'hui'dai'ying'xiong'qi'jin'kou 会待英雄启金口
'hui'dao'yue'men'dong 回到岳门东
'hui'de'cheng'chun'li 会得承春力
'hui'fei'yi'jin'xiu 灰飞一烬休
'hui'gu'shen'chu'ge 蟪蛄深处歌
'hui'gui'yuan'shang'fen'shen'hou 会归原上焚身后
'hui'he'zhi'ming'gong 会合值明公
'hui'ji'shi'yong'shu 回寄示慵疏
'hui'li'fa'gao'wu 嘒唳发高梧
'hui'mang'cui'qiu'xu 秽莽摧丘墟
'hui'pao'xiang'si'qu 会抛湘寺去
'hui'qi'xue'feng'chui 回骑雪风吹
'hui'ru'qian'feng'qu 会入千峰去
'hui'shou'he'bian'shi'kong'di 回首何边是空地
'hui'shou'jing'men'yi'lu'chen 回首荆门一路尘
'hui'tan'yi'wu'qu 挥谈一无取
'hui'tou'que'gu'peng'lai'ding 回头却顾蓬莱顶
'hui'wo'shuang'long'bu'yan'jia 惠我双龙不言价
'hui'xiang'hong'xia'qiao 会向红霞峤
'hui'xin'du'bi'men 灰心独闭门
'hui'xin'ming'mu'wai'wu'fang 灰心冥目外无妨
'hui'yao'jin'xi'que'xi'xing 会摇金锡却西行
'hui'zha'ying'jian'shi'se'jian 回札应缄十色笺
'hui'zhu'nan'gui'chu'ke'chuan 会逐南归楚客船
'hui'zhuan'hu'feng'ji 会转胡风急
'hun'bu'yong'bing'fang 浑不用兵防
'hun'fei'hai'shang'shan 魂飞海上山
'hun'meng'chuan'yan'guo'chu'gao 魂梦穿沿过处高
'hun'meng'zi'fen'ming 魂梦自分明
'hun'po'wang'lai'pi 魂魄往来疲
'hun'qing'you'xiang'xian 魂清有象先
'huo'dao'jin'you'qian 或道近游黔
'huo'shao'bing'jie'duan'qiu'zhong 火烧兵劫断秋钟
'huo'you'ke'xiang'sui 或有客相随
'huo'yun'qi'jue'yi'kong'qi 火云奇崛倚空齐
'huo'yun'ru'shao'jie'cang'wu 火云如烧接苍梧
'huo'yun'yang'yan'yu'shao'kong 火云阳焰欲烧空
'huo'yun'zheng'rong'fen'jue'liao 火云峥嵘焚泬寥
'ji'bu'neng'duan'jue'ji'li'jing'ji'zhi'gen'zhu 既不能断绝蒺藜荆棘之根株
'ji'ceng'lu'yue'ting 几曾庐岳听
'ji'ceng'qian'po'bie'li'xin 几曾牵破别离心
'ji'ceng'shan'ying'xia 几层山影下
'ji'cheng'qing'cao'jian'ba'ling 几程青草见巴陵
'ji'cheng'shuang'xue'jing'can'la 几程霜雪经残腊
'ji'chi'rao'chuang'ni 屐齿绕床泥
'ji'chi'yin'song'hua 屐齿印松花
'ji'chou'gao'nian'tui'guan 寄酬高辇推官
'ji'chou'qin'fu'gao'tui'guan'nian 寄酬秦府高推官辇
'ji'chu'hun'sui'luo'zhao'fei 几处魂随落照飞
'ji'chu'ping'shang'ren 寄楚萍上人
'ji'ci'chu'ren'jian 即此出人间
'ji'ci'jian'chi'yan 即此鉴媸妍
'ji'cui'yao'tian'ya 积翠杳天涯
'ji'da'wu'ling'mu'zhong'he'zhi'shi'er'shou 寄答武陵幕中何支使二首
'ji'dang'yang'zhang'ming'fu 寄当阳张明府
'ji'dao'lin'si'zhu'you 寄道林寺诸友
'ji'de'lie'xian'ming 记得列仙名
'ji'di'hai'quan'shu 及第还全蜀
'ji'dong'lin'yan'zhi'chan'zi 寄东林言之禅子
'ji'du'ti'shi'shang'shi'qiao 几度题诗上石桥
'ji'duo'shi'ge'dan'xiao'xing 几多事隔丹霄兴
'ji'fan'shu'jin'tao 几番熟金桃
'ji'fan'song'gu'xiu 几番松骨朽
'ji'fan'xin'di'zi 几番新弟子
'ji'fang'gan'chu'shi'jian'hu'jiu'ju 寄方干处士鉴湖旧居
'ji'fu'hong'se'tou 肌肤红色透
'ji'fu'shi'fen'wu 肌肤十分无
'ji'ge'zai'qing'shan 几个在青山
'ji'geng'kuang'tu'xiong'di 寄赓匡图兄弟
'ji'gong'yuan'yang'mian 几共鸳鸯眠
'ji'gu'chan'chu'shi'hao'yu'shan'shui 寄顾蟾处士好于山水
'ji'gu'chu'shi 寄顾处士
'ji'gu'kan'qiu'ji 稽古堪求己
'ji'gu'shan'zhang'lao 寄谷山长老
'ji'gui'zhou'ma'pan'guan 寄归州马判官
'ji'han'tui'xiu'cai 寄韩蜕秀才
'ji'he'chong'qiu'yuan'wai 寄何崇丘员外
'ji'hua'shan'si'kong'tu 寄华山司空图
'ji'huai'ceng'kou'si'wen'ying'da'shi 寄怀曾口寺文英大师
'ji'huai'dong'lin'si'kuang'bai'jian'si 寄怀东林寺匡白监寺
'ji'huai'gui'zhou'ma'pan'guan 寄怀归州马判官
'ji'huai'jiang'xi'qi'gong 寄怀江西栖公
'ji'huai'jiang'xi'seng'da'chan'weng 寄怀江西僧达禅翁
'ji'huai'jiang'xi'zheng'min'er'lv'shi 寄怀江西徵岷二律师
'ji'huai'xi'chan'shi'di 寄怀西蟾师弟
'ji'huai'zhong'ling'jiu'you'yin'ji'zhi'ji 寄怀钟陵旧游因寄知己
'ji'huan'que'xia'gao'nian'xian'bei'juan 寄还阙下高辇先辈卷
'ji'huang'hui'chu'shi 寄黄晖处士
'ji'jian'li'si'kong'xue'shi 寄监利司空学士
'ji'jian'zhen'long'que'jing'pa 及见真龙却惊怕
'ji'jiang'ju'geng'chu'shi 寄江居耿处士
'ji'jiang'xi'mu'zhong'sun'fang'yuan'wai 寄江西幕中孙鲂员外
'ji'jiang'xia'ren'gong 寄江夏仁公
'ji'jie'bu'mi'ren 几劫不迷人
'ji'jin'ling'mu'zhong'li'lang'zhong 寄金陵幕中李郎中
'ji'jing'hu'fang'gan'chu'shi 寄镜湖方干处士
'ji'jing'mu'sun'lang'zhong 寄荆幕孙郎中
'ji'jing'ting'qing'yue 寄敬亭清越
'ji'jiu'ju'lin'you 寄旧居邻友
'ji'ju'dao'lin'si'zuo 寄居道林寺作
'ji'jue'geng'he'qiu 既觉更何求
'ji'jue'wei'zhen'yin 迹绝为真隐
'ji'kan'xing'yue'zai 几看星月在
'ji'ku'xi'chuan'tan'chang'guang'ji'da'shi 寄哭西川坛长广济大师
'ji'kuang'fu'zhu'gong'er'shou 寄匡阜诸公二首
'ji'lai'tun'shi'qu'chang'bao 饥来吞噬取肠饱
'ji'lang'ling'er'chan'you 寄朗陵二禅友
'ji'lao'dan'zhao'wen 几劳丹诏问
'ji'lao'zai'zhong'gong 几劳栽种工
'ji'li'dong'xiu'cai 寄李洞秀才
'ji'li'ru'tao'hua 几里入桃花
'ji'li'yang'wu'shi'jun 寄澧阳吴使君
'ji'lian'shi'xu'di'san'du 几联诗许敌三都
'ji'liang'xian'bei 寄梁先辈
'ji'liao'he'yi'lun 寂寥何以论
'ji'liao'zhong'ying'ji 寂寥中影迹
'ji'ling'shi'xia'lai 鶺鴒时下来
'ji'lu'yue'seng 寄庐岳僧
'ji'luo'xia'wang'yi'xun'xian'bei'er'shou 寄洛下王彝训先辈二首
'ji'mao'sui'zhi'dong'zu'gui'you'zuo 己卯岁值冻阻归有作
'ji'meng'zhong'chao'shi 几梦中朝事
'ji'mian'er'san'zi 寄勉二三子
'ji'ming'yue'shan'seng 寄明月山僧
'ji'mo'huang'zhai'wai 寂寞荒斋外
'ji'nan'xu'liu'yuan'wai'er'shou 寄南徐刘员外二首
'ji'nan'ya'shang'ren 寄南雅上人
'ji'nan'yue'bai'lian'dao'shi'neng'yu'chang'xiao 寄南岳白莲道士能于长啸
'ji'nan'yue'tai'chan'shi 寄南岳泰禅师
'ji'nan'yue'zhu'dao'you 寄南岳诸道友
'ji'ni'shu'lang'zhong 寄倪署郎中
'ji'ou'yang'shi'lang'shi'zai'jia'zhou'kui'yi 寄欧阳侍郎时在嘉州馈遗
'ji'ping'xiang'tang'bing'zheng'zi 寄萍乡唐禀正字
'ji'pu'ming'da'shi'ke'zhun 寄普明大师可准
'ji'pu'sa'gui'qiang 极浦洒归樯
'ji'pu'ye'ming'hong 极浦夜鸣鸿
'ji'qi'bai'shang'ren 寄栖白上人
'ji'qian'tang'luo'gei'shi 寄钱塘罗给事
'ji'qing'xi'dao'you 寄清溪道友
'ji'qing'xi'dao'zhe 寄清溪道者
'ji'rao'luo'lai'quan 急绕落来泉
'ji'ren'jing'ci'wu'qiu'qing 几人经此无秋情
'ji'san'jue'shan'cong'yi'shang'ren 寄三觉山从益上人
'ji'shan'zhong'sou 寄山中叟
'ji'shan'zhong'zhu'you 寄山中诸友
'ji'shang'jing'zhu 寄上荆渚
'ji'shang'yan'gong'shou'xu'zhou'xue'shang'shu'jian'zhi 寄尚颜公受徐州薛尚书见知
'ji'shi'zhong'yi'ju 几时终一局
'ji'shu'cong'rong'xue'zhao'yan 鸡树从容雪照筵
'ji'shu'guo'guang'ji'da'shi 寄蜀国广济大师
'ji'shuang'quan'da'shi'shi'xiong 寄双泉大师师兄
'ji'song'jiang'lu'gui'meng'chu'shi 寄松江陆龟蒙处士
'ji'su'bo'hu'shan 几宿泊湖山
'ji'su'duo'shan'chu 几宿多山处
'ji'sun'fang'xiu'cai 寄孙鲂秀才
'ji'sun'pi'cheng'zheng'gu'lang'zhong 寄孙辟呈郑谷郎中
'ji'tang'bing'zheng'zi 寄唐禀正字
'ji'tang'zhu'chu'shi 寄唐洙处士
'ji'ting'nan'yuan'lan'shu'shi 几听南园烂熟时
'ji'tong'yun'ying'guo'ren'jian 迹同云影过人间
'ji'wang'shi'da'hai 机忘是大还
'ji'wang'zhen'shi'yi'wu'chen'sui 寄王振拾遗戊辰岁
'ji'wei'shang'song'feng 即未上嵩峰
'ji'wen'hao'bai'fa'jian'yu'yong'cui'can'chan 寄文浩百法间欲拥毳参禅
'ji'wen'wo'zhou'kai'shi'pi 即问沃州开士僻
'ji'wen'xiu'da'shi 寄文秀大师
'ji'wu'dou'shen'yuan'wai'bin 寄吴都沈员外彬
'ji'wu'guo'xi'gong'feng 寄吴国西供奉
'ji'wu'guo'zhi'jiu 寄吴国知旧
'ji'wu'ling'dao'you 寄武陵道友
'ji'wu'ling'guan'wei'shang'ren'er'shou 寄武陵贯微上人二首
'ji'wu'ling'wei'shang'ren 寄武陵微上人
'ji'wu'shi'yi 寄吴拾遗
'ji'wu'yuan'shang'ren 寄无愿上人
'ji'xi'chuan'hui'guang'da'shi'tan'yu 寄西川惠光大师昙域
