'an'gen'zi 暗根子
'xin'wu'can'bian 心武残编
'xing'qi'chu'li 行棋处理
'xiong'you'quan'ju 胸有全局
'xiu'shou'pao 袖手炮
'xu'chao 徐超
'xu'tian'hong 徐天红
'xu'yin'chuan 许银川
'xu'yin'chuan'zhong'can'ju'jing'hua 许银川中残局精华
'xuan'ji'tu'po 选机突破
'xun'he'pao 巡河炮
'ya'ma 压马
'yan'cheng'long 颜成龙
'yan'hu'xiao'zu 掩护小卒
'yan'hu'xiao'zu'guo'he 掩护小卒过河
'yang'guan'lin 杨官璘
'yang'han'min 杨汉民
'yang'jiao'shi 羊角士
'yao'qu'fang'xiang 要去方向
'ye'fei'tiao'bu'ke'le 也非跳不可了
'ye'ke'yi'heng'zou'yi'bu 也可以横走一步
'yi'che 移车
'yi'da'yi'xian 一打一闲
'yi'fang'chu'xian 一方出现
'yi'fang'de'qi'zi 一方的棋子
'yi'fang'ti'he 一方提和
'yi'gong'huai'gong 以攻坏攻
'yi'guo'he'bing 已过河兵
'yi'heng 一横
'yi'hong'you 亦红优
'yi'hou'hei'pao 以后黑炮
'yi'huan'zhi'ji 以缓制急
'yi'ji'qi'shi 一级棋士
'yi'jiang 一将
'yi'jiang'yi'sha 一将一杀
'yi'jiang'yi'zhuo 一将一捉
'yi'jie 以解
'yi'ke'gai'zou 亦可改走
'yi'kuai'da'man 以快打慢
'yi'lin'jing'hua 弈林精华
'yi'lin'xin'bian 弈林新编
'yi'lin'xiong'shi 弈林雄狮
'yi'sha'yi'zhuo 一杀一捉
'yi'shi'shuang'diao 一矢双雕
'yi'wan'di 弈完第
'yi'wen'dui'wen 以稳对稳
'yi'xia'hei 以下黑
'yi'xian'zhan'ju 已先占据
'yi'xiang 一象
'yi'xie 一斜
'yi'yu'da'dan'chuan'xin 意欲大胆穿心
'yi'zhao'liang'yong 一着两用
'yi'zhao'qi 一着棋
'yi'zhi'di 弈至第
'yi'zhi'jiu 一至九
'yi'zu 一卒
'yin'di'bian'hua 因敌变化
'ying'dang'bian'zhe'er'bu'bian 应当变着而不变
'ying'dui'bu'jia 应对不佳
'ying'gai 应改
'ying'jiang 应将
'ying'shi'shuang'fang 应使双方
'ying'zhe 应着
'ying'zou'zhe'shu 应走着数
'yong'pao 用炮
'yong'shi'tai'duo 用时太多
'yong'zhong'wen'shu'zi 用中文数字
'you'bie'de'qi'zi'dang'zhu 有别的棋子挡住
'you'ci'ru'ju 由此入局
'you'dui'fang'qi'zi'cun'zai 有对方棋子存在
'you'gen'zi 有根子
'you'quan'pan'wei'he'qi 有权判为和棋
'you'shuai 右帅
'you'yu'hei'fang 由于黑方
'you'zhi'hong'qi 由执红棋
'yu'shou'yu'gong 寓守于攻
'yu'you'hua 于幼华
'yuan'pu 原谱
'yuan'shen'hai'kuo 渊深海阔
'yuan'wei'zu 原位卒
'yuan'yang'pao 鸳鸯炮
'yue'en 约恩
'yun'ma 运马
'yun'tiao 运调
'yun'xu'zhao'fa 允许着法
'yun'zi'de'zi 运子得子
'yun'zi'duo'xian 运子夺先
'yun'zi'he'ji 运子合击
'yun'zi'jie'kun 运子解困
'yun'zi'qu'shi 运子取势
'yun'zi'ru'ju 运子入局
'yun'zi'zhan'shu 运子战术
'zai'bu'ju'hou 在布局后
'zai'ci'ti'he 再次提和
'zai'dui'ju'shi 在对局时
'zai'ma 再马
'zai'mei'you'guo 在没有过
'zai'shi 再仕
'ze'ma 则马
'ze'ma'er 则马二
'ze'shi 则仕
'ze'shuai 则帅
'ze'shuai'wu 则帅五
'ze'xiang'san 则相三
'ze'zu 则卒
'zhan'ju'yao'dao 占据要道
'zhan'lei 占肋
'zhan'lue'si'wei 战略思维
'zhan'shu'ji'qiao 战术技巧
'zhang'shen'hong 张申宏
'zhang'xue'chao 张学潮
'zhao'fa'hong'xian 着法红先
'zhao'fa'lao'lian 着法老练
'zhao'jiang 照将
'zhao'qing'ge 赵庆阁
'zhao'ru'quan 赵汝权
'zhao'xin'xin 赵鑫鑫
'zhao'zi'yi 赵子仪
'zhe'gai'zou 着改走
'zhe'jiang'bo'er'zhou'cheng'dui 浙江波尔轴承队
'zhe'jiang'qiu'guan 浙江球冠
'zhe'zhong'you'shu 着中有数
'zheng'duo'dui'shou 争夺对手
'zheng'tou'che 正头车
'zhi'che 直车
'zhi'heng'che 直横车
'zhi'jie'dui'mian 直接对面
'zhi'neng'zai'ti'he'hou 只能在提和后
'zhi'sheng'miao'fa 制胜妙法
'zhi'tui 直退
'zhi'xu'xiang'qian'zhi'zou'yi'bu 只许向前直走一步
'zhi'xu'zou'yi'bu 只许走一步
'zhi'yi'qi'ping 智弈棋评
'zhi'you'pao'chi'zi 只有炮吃子
'zhi'zhong 制中
'zhong'bing 中兵
'zhong'gong'pao 中宫炮
'zhong'guo'xiang'qi'ai'hao'zhe 中国象棋爱好者
'zhong'guo'xiang'qi'bing'fa'zhong 中国象棋兵法种
'zhong'guo'xiang'qi'guan'jun 中国象棋冠军
'zhong'guo'xiang'qi'jin'biao'sai 中国象棋锦标赛
'zhong'guo'xiang'qi'pu'ku 中国象棋谱库
'zhong'guo'xiang'qi'ru'men'yu'ti'gao'wen'da 中国象棋入门与提高问答
'zhong'guo'xiang'qi'shi'jie'jin'biao'sai 中国象棋世界锦标赛
'zhong'hou'ju 中后局
'zhong'ju 中局
'zhong'ju'cheng'sha 中局成杀
'zhong'ju'de'zi 中局得子
'zhong'ju'duo'xian 中局夺先
'zhong'ju'hun'zhan 中局混战
'zhong'ju'jie'duan 中局阶段
'zhong'ju'mou'he 中局谋和
'zhong'ju'zhan'you 中局占优
'zhong'lu'qu'shi 中路取势
'zhong'pan'bo'sha 中盘搏杀
'zhong'pao 中炮
'zhong'pao'dui'ban'tu'lie'pao 中炮对半途列炮
'zhong'pao'dui'bu'shi'lian'pao 中炮对补士敛炮
'zhong'pao'dui'dan'ti'ma 中炮对单提马
'zhong'pao'dui'die'pao 中炮对叠炮
'zhong'pao'dui'fan'gong'ma 中炮对反宫马
'zhong'pao'dui'gui'bei'pao 中炮对龟背炮
'zhong'pao'dui'heng'che'lian'pao 中炮对横车敛炮
'zhong'pao'dui'san'bu'hu'zhuan'lie'pao 中炮对三步虎转列炮
'zhong'pao'dui'you'san'bu'hu 中炮对右三步虎
'zhong'pao'dui'yuan'yang'pao 中炮对鸳鸯炮
'zhong'pao'dui'zuo'zhong'pao'zhuan'lie'pao 中炮对左中炮转列炮
'zhong'pao'guo'he'che'dui'ping'feng'ma'gao'che'bao'ma 中炮过河车对屏风马高车保马
'zhong'pao'guo'he'che'dui'ping'feng'ma'heng'che 中炮过和车对屏风马横车
'zhong'pao'guo'he'che'dui'ping'feng'ma'ping'pao'dui'che 中炮过河车对屏风马平炮兑车
'zhong'pao'guo'he'che'dui'ping'feng'ma'shang'shi'xiang 中炮过河车对屏风马上士象
'zhong'pao'guo'he'che'dui'ping'feng'ma'zuo'ma'pan'he 中炮过河车对屏风马左马盘河
'zhong'pao'guo'he'che'zheng'ma'dui'ping'feng'ma'liang'tou'she 中炮过河车正马对屏风马两头蛇
'zhong'pao'heng'che'dui'fan'gong'ma 中炮横车对反宫马
'zhong'pao'heng'che'pan'tou'ma'dui'ping'feng'ma 中炮横车盘头马对屏风马
'zhong'pao'heng'che'qi'lu'ma'dui'ping'feng'ma 中炮横车七路马对屏风马
'zhong'pao'jin'qi'bing'guo'he'che'dui'fan'gong'ma 中炮进七兵过河车对反宫马
'zhong'pao'qi'lu'ma'dui'san'bu'hu'zhuan'lie'pao 中炮七路马对三步虎转列炮
'zhong'pao'sha 重炮杀
'zhong'pao'xun'he'pao'dui'fan'gong'ma 中炮巡河炮对反宫马
'zhong'pao'xun'he'pao'dui'ping'feng'ma'san'bu'hu 中炮巡河炮对屏风马三步虎
'zhong'pao'zhi'che'dui'ping'feng'ma'zu'he'kou'pao 中炮直车对屏风马卒河口炮
'zhong'pao'zhi'che'dui'zuo'pao'feng'che'zhuan'ban'tu'lie'pao 中炮直车对左炮封车转半途列炮
'zhong'yuan'wu'bao 中原五豹
'zhong'zu 中卒
'zhu'dui'shen'fen 主队身份
'zhu'xiang'zhai 竹香斋
'zhuan'ru'zhong'ju 转入中局
'zhuang'yu'ting 庄玉庭
'zhun'bei'gan'zou 准备赶走
'zhun'bei'ping'zhong 准备平中
'zhun'bei'zhen'zhong 准备镇中
'zi'lai'chu'dong'wu'di'shou'xiang'qi'gu'pu'xin'bian 自来出洞无敌手象棋古谱新编
'zi'li'jia'zhi 子力价值
'zi'li'wei'zhi 子力位置
'zi'ran'xian'zhe 自然限着
'zou'fa'tong'che'yi'yang 走法同车一样
'zou'qi'he'chi'zi 走棋和吃子
'zou'yi'zhao'qi'shi 走一着棋时
'zu'ai'di'jun 阻碍敌军
'zu'di'pao 卒底炮
'zu'fen'liang'yi 卒分两翼
'zu'gong 组攻
'zu'lin'xian 卒林线
'zu'wu'ge 卒五个
'zuo'sha 做杀
'zuo'shi'jiao'pao 左士角炮
'zuo'wen'jing 左文静
'zuo'zhong'pao 左中炮
