'ai'di'cha 矮地茶
'xiao'xian'xiong'tang 小陷胸汤
'xiao'xue 小雪
'xiao'yao'san 逍遥散
'xiao'zheng 哮证
'xie'bai 薤白
'xie'bai'san 泻白散
'xie'tong 胁痛
'xie'xie 泄泻
'xin'fei 心肺
'xin'ji 心悸
'xin'shen 心肾
'xin'shen'bu'jiao 心肾不交
'xin'yi 辛夷
'xing'ren 杏仁
'xing'su'san 杏苏散
'xiong'bi 胸痹
'xiong'can'e 雄蚕蛾
'xiong'dan'fen 熊胆粉
'xiong'huang 雄黄
'xu'chang'qing 徐长卿
'xu'duan 续断
'xu'lao 虚劳
'xu'shi 虚实
'xu'shi'jia'za 虚实夹杂
'xu'zheng 虚证
'xuan'fu'dai'zhe'tang 旋覆代赭汤
'xuan'fu'hua 旋覆花
'xuan'shen 玄参
'xuan'yun 眩晕
'xue'fu'zhu'yu'tang 血府逐瘀汤
'xue'jie 血竭
'xue'lian'hua 雪莲花
'xue'xu 血虚
'xue'yu 血瘀
'xue'yu'tan 血余炭
'xue'zheng 血证
'ya'dan'zi 鸦胆子
'ya'zhi'cao 鸭跖草
'yan'hu'suo 延胡索
'yan'shang 炎上
'yan'tang'tan'tu'fang 盐汤探吐方
'yang'he'tang 阳和汤
'yang'jie 阳结
'yang'jin'hua 洋金花
'yang'mai 阳脉
'yang'ming 阳明
'yang'ming'zao'jin 阳明燥金
'yang'mu 阳木
'yang'qi'shi 阳起石
'yang'ti 羊蹄
'yang'tu 阳土
'yang'wei 阳痿
'yang'xin'tang 养心汤
'yang'xu 阳虚
'yang'yin'qing'fei'tang 养阴清肺汤
'yao'tong 腰痛
'ye'ge 噎膈
'ye'jiao'teng 夜交藤
'ye'ju'hua 野菊花
'yi'bei'mu 伊贝母
'yi'guan'jian 一贯煎
'yi'huang'tang 易黄汤
'yi'jing 遗精
'yi'mi 薏米
'yi'mu 乙木
'yi'mu'cao 益母草
'yi'sheng 一盛
'yi'tang 饴糖
'yi'tian 一天
'yi'wei'tang 益胃汤
'yi'yang 一阳
'yi'yi'ren 薏苡仁
'yi'yin 一阴
'yi'zhi'ren 益智仁
'yin'chai'hu 银柴胡
'yin'chen 茵陈
'yin'chen'hao'tang 茵陈蒿汤
'yin'jie 阴结
'yin'mai 阴脉
'yin'mu 阴木
'yin'qiao'san 银翘散
'yin'tu 阴土
'yin'xing'ye 银杏叶
'yin'xu 阴虚
'yin'yang 阴阳
'yin'yang'huo 淫羊藿
'yin'zheng 饮证
'ying'bing 瘿病
'ying'su'ke 罂粟壳
'you'gui'wan 右归丸
'you'song'jie 油松节
'yu'gong'san 禹功散
'yu'jin 郁金
'yu'li'ren 郁李仁
'yu'mi'xu 玉米须
'yu'nv'jian 玉女煎
'yu'ping'feng'san 玉屏风散
'yu'shui 雨水
'yu'xing'cao 鱼腥草
'yu'ye'tang 玉液汤
'yu'yu'liang 禹余粮
'yu'zhen'san 玉真散
'yu'zheng 郁证
'yu'zhu 玉竹
'yuan'hu 元胡
'yuan'hua 芫花
'yuan'zhi 远志
'yue'ji'hua 月季花
'yue'ju'wan 越鞠丸
'zai'zao'san 再造散
'zang'xiang 脏象
'zang'zao 脏躁
'zao'ci 皂刺
'zao'fan 皂矾
'zao'jia 皂荚
'zao'jiao'ci 皂角刺
'zao'ren 枣仁
'zao'xin'tu 灶心土
'ze'lan 泽兰
'ze'xie 泽泻
'zeng'ye'cheng'qi'tang 増液承气汤
'zeng'ye'tang 増液汤
'zhang'nao 樟脑
'zhe'bei'mu 浙贝母
'zhen'gan'xi'feng'tang 镇肝熄风汤
'zhen'ren'yang'zang'tang 真人养脏汤
'zhen'wu'tang 真武汤
'zhen'zhu 珍珠
'zhen'zhu'cao 珍珠草
'zhen'zhu'mu 珍珠母
'zhen'zhu'mu'wan 珍珠母丸
'zhi'bao'dan 至宝丹
'zhi'gan'cao'tang 炙甘草汤
'zhi'jie 治节
'zhi'ju'zi 枳椇子
'zhi'ke 枳壳
'zhi'mu 知母
'zhi'shi 枳实
'zhi'shi'dao'zhi'wan 枳实导滞丸
'zhi'shi'xiao'pi'wan 枳实消痞丸
'zhi'sou'san 止嗽散
'zhi'zi 栀子
'zhong'feng 中风
'zhong'ru'shi 钟乳石
'zhong'zheng 中正
'zhou'dou 州都
'zhu'che'wan 驻车丸
'zhu'dan'fen 猪胆粉
'zhu'li 竹沥
'zhu'ling 猪苓
'zhu'ling'tang 猪苓汤
'zhu'ma'gen 苎麻根
'zhu'ru 竹茹
'zhu'sha 朱砂
'zhu'sha'an'shen'wan 朱砂安神丸
'zhu'ye 竹叶
'zhu'ye'shi'gao'tang 竹叶石膏汤
'zi'bei'chi 紫贝齿
'zi'cao 紫草
'zi'cao'rong 紫草茸
'zi'han 自汗
'zi'he'che 紫河车
'zi'hua'di'ding 紫花地丁
'zi'jin'ding 紫金锭
'zi'ran'tong 自然铜
'zi'shi'ying 紫石英
'zi'su'geng 紫苏梗
'zi'su'ye 紫苏叶
'zi'su'zi 紫苏子
'zi'wan 紫菀
'zi'xue 紫雪
'zi'yuan 紫苑
'zi'zhu'ye 紫珠叶
'zong'lv'tan 棕榈炭
'zuo'gui'wan 左归丸
'zuo'jin'wan 左金丸
'zuo'qiang 作强
