'a'la'tan'wu'wei'wan 阿拉坦五味丸
'ji'de'sheng'she'yao'pian 季德胜蛇药片
'ji'gu'cao'jiao'nang 鸡骨草胶囊
'ji'li'zao'gan'jiao'nang 蒺藜皂苷胶囊
'ji'sheng'ju'he'wan 济生橘核丸
'ji'sheng'shen'qi'wan'pian 济生肾气丸片
'ji'xiang'an'kun'wan 吉祥安坤丸
'ji'xue'gan'shuang'ruan'gao 积雪苷霜软膏
'ji'zhi'ke'li 急支颗粒
'ji'zhi'tang'jiang 急支糖浆
'jia'wei'sheng'hua'ke'li 加味生化颗粒
'jia'wei'tian'ma'jiao'nang 加味天麻胶囊
'jia'wei'xiao'yao'wan'pian'jiao'nang'ke'li 加味逍遥丸片胶囊颗粒
'jia'wei'zuo'jin'wan 加味左金丸
'jian'er'qing'jie'ye 健儿清解液
'jian'er'xiao'shi'he'ji'kou'fu'ye 健儿消食合剂口服液
'jian'gan'le'ke'li 健肝乐颗粒
'jian'pi'sheng'xue'pian'ke'li 健脾生血片颗粒
'jian'pi'wan 健脾丸
'jian'pi'yi'shen'ke'li 健脾益肾颗粒
'jian'pi'zhi'xie'ning'ke'li 健脾止泻宁颗粒
'jian'wei'xiao'shi'kou'fu'ye 健胃消食口服液
'jian'wei'xiao'shi'pian 健胃消食片
'jian'wei'xiao'yan'ke'li 健胃消炎颗粒
'jian'wei'yu'yang'pian'jiao'nang'ke'li 健胃愈疡片胶囊颗粒
'jian'xin'he'mi'er'gao'zi'ban'an'bi're'pian 健心合米尔高滋斑安比热片
'jiang'zhi'ling'pian'ke'li 降脂灵片颗粒
'jiang'zhi'tong'bian'jiao'nang 降脂通便胶囊
'jiang'zhi'tong'mai'jiao'nang 降脂通脉胶囊
'jiao'gu'lan'zong'dai'pian'jiao'nang 绞股蓝总甙片胶囊
'jiao'gu'lan'zong'gan'jiao'nang'ke'li 绞股蓝总苷胶囊颗粒
'jie'bai'wan'jiao'nang 洁白丸胶囊
'jie'du'huo'xue'shuan 解毒活血栓
'jie'du'shao'shang'ruan'gao 解毒烧伤软膏
'jie'du'sheng'ji'gao 解毒生肌膏
'jie'gu'qi'li'san'wan'pian'jiao'nang 接骨七厘散丸片胶囊
'jie'he'wan 结核丸
'jie'shi'kang'jiao'nang 结石康胶囊
'jie'shi'tong'pian'jiao'nang 结石通片胶囊
'jin'chan'zhi'yang'jiao'nang 金蝉止痒胶囊
'jin'dan'pian 金胆片
'jin'fu'kang'kou'fu'ye 金复康口服液
'jin'gang'teng'tang'jiang 金刚藤糖浆
'jin'gang'teng'wan'pian'jiao'nang'ke'li 金刚藤丸片胶囊颗粒
'jin'gu'lian'pian'jiao'nang 金骨莲片胶囊
'jin'gu'shang'pen'wu'ji 筋骨伤喷雾剂
'jin'gu'zhi'tong'ning'jiao 筋骨止痛凝胶
'jin'hou'jian'pen'wu'ji 金喉健喷雾剂
'jin'hua'ming'mu'wan 金花明目丸
'jin'huang'li'dan'jiao'nang 金黄利胆胶囊
'jin'ji'pian'jiao'nang'ke'li 金鸡片胶囊颗粒
'jin'kui'shen'qi'wan'pian 金匮肾气丸片
'jin'li'da'ke'li'kou'fu'ye 津力达颗粒口服液
'jin'lian'hua'pian'jiao'nang'ke'li'kou'fu'ye'ruan'jiao'nang 金莲花片胶囊颗粒口服液软胶囊
'jin'lian'qing're'jiao'nang'ke'li 金莲清热胶囊颗粒
'jin'long'jiao'nang 金龙胶囊
'jin'qi'jiang'tang'wan'pian'jiao'nang'ke'li 金芪降糖丸片胶囊颗粒
'jin'qian'cao'pian'jiao'nang'ke'li 金钱草片胶囊颗粒
'jin'qian'dan'tong'ke'li 金钱胆通颗粒
'jin'qiao'mai'pian'jiao'nang 金荞麦片胶囊
'jin'sang'kai'yin'wan'pian'jiao'nang'ke'li 金嗓开音丸片胶囊颗粒
'jin'sang'san'jie'wan'pian'jiao'nang'ke'li 金嗓散结丸片胶囊颗粒
'jin'shui'bao'pian'jiao'nang 金水宝片胶囊
'jin'suo'gu'jing'wan 金锁固精丸
'jin'tian'ge'jiao'nang 金天格胶囊
'jin'wei'tai'jiao'nang 金胃泰胶囊
'jin'wu'gu'tong'jiao'nang 金乌骨通胶囊
'jin'ye'bai'du'ke'li 金叶败毒颗粒
'jin'zhen'kou'fu'ye 金振口服液
'jing'fang'ke'li'he'ji 荆防颗粒合剂
'jing'fu'kang'ke'li 颈复康颗粒
'jing'fu'zhi'yang'ke'li 荆肤止痒颗粒
'jing'hua'wei'kang'jiao'wan 荆花胃康胶丸
'jing'qian'shu'ke'li 经前舒颗粒
'jing'shu'jiao'nang'ke'li 经舒胶囊颗粒
'jing'shu'ke'li 颈舒颗粒
'jing'tong'ke'li 颈痛颗粒
'jing'tong'ke'li 颈通颗粒
'jing'wan'hong'ruan'gao 京万红软膏
'jing'zhi'gou'pi'gao 精制狗皮膏
'jiu'hua'gao 九华膏
'jiu'hua'zhi'chuang'shuan 九华痔疮栓
'jiu'wei'gan'tai'jiao'nang 九味肝泰胶囊
'jiu'wei'niu'huang'wan 九味牛黄丸
'jiu'wei'qiang'huo'pian'kou'fu'ye 九味羌活片口服液
'jiu'wei'qiang'huo'wan'ke'li 九味羌活丸颗粒
'jiu'wei'shuang'jie'kou'fu'ye 九味双解口服液
'jiu'wei'xi'feng'ke'li 九味熄风颗粒
'jiu'wei'zhen'xin'ke'li 九味镇心颗粒
'jiu'xin'wan 救心丸
'ju'fang'zhi'bao'wan 局方至宝丸
'ju'hong'tan'ke'ke'li'jian'gao'ye 橘红痰咳颗粒煎膏液
'ju'hong'wan'pian'jiao'nang'ke'li 橘红丸片胶囊颗粒
'kai'hou'jian'pen'wu'ji'han'er'tong'xing 开喉剑喷雾剂含儿童型
'kai'xiong'shun'qi'wan'jiao'nang 开胸顺气丸胶囊
'kang'bing'du'jiao'nang'ke'li'kou'fu'ye 抗病毒胶囊颗粒口服液
'kang'fu'ning'jiao 康妇凝胶
'kang'fu'xiao'yan'shuan 康妇消炎栓
'kang'fu'xin'ye 康复新液
'kang'fu'yan'jiao'nang 康妇炎胶囊
'kang'fu'yan'jiao'nang 抗妇炎胶囊
'kang'gong'yan'pian'jiao'nang'ke'li 抗宫炎片胶囊颗粒
'kang'gu'sui'yan'pian 抗骨髓炎片
'kang'gu'zeng'sheng'wan'pian'jiao'nang'ke'li 抗骨增生丸片胶囊颗粒
'kang'gu'zhi'zeng'sheng'wan 抗骨质增生丸
'kang'lai'te'ruan'jiao'nang 康莱特软胶囊
'kang'lang'chuang'san 抗狼疮散
'kang'li'xin'jiao'nang 康力欣胶囊
'ke'chuan'ning 咳喘宁
'ke'chuan'ning'pian'jiao'nang'ke'li'he'ji'kou'fu'ye 咳喘宁片胶囊颗粒合剂口服液
'ke'chuan'shun'wan 咳喘顺丸
'ke'ke'pian'jiao'nang 克咳片胶囊
'ke'li'sha'jiao'nang 克痢痧胶囊
'ke'lin'tong'jiao'nang 克淋通胶囊
'ke'luo'xin'jiao'nang 渴络欣胶囊
'ke'zhi'jiao'nang 壳脂胶囊
'kou'qiang'kui'yang'san 口腔溃疡散
'kou'qiang'yan'qi'wu'ji'pen'wu'ji 口腔炎气雾剂喷雾剂
'kou'yan'qing'ke'li 口炎清颗粒
'kou'yan'qing'pian'jiao'nang 口炎清片胶囊
'ku'die'zi'zhu'she'ye 苦碟子注射液
'ku'huang'ke'li 苦黄颗粒
'ku'huang'zhu'she'ye 苦黄注射液
'ku'shen'ruan'gao'ning'jiao 苦参软膏凝胶
'kuai'wei'pian 快胃片
'kuan'xiong'qi'wu'ji 宽胸气雾剂
'kun'fu'kang'pian'jiao'nang 坤复康片胶囊
'kun'ming'shan'hai'tang'pian 昆明山海棠片
'kun'ning'ke'li'kou'fu'ye 坤宁颗粒口服液
'kun'tai'jiao'nang 坤泰胶囊
'kun'xian'jiao'nang 昆仙胶囊
'lan'qin'ke'li 蓝芩颗粒
'lang'chuang'wan 狼疮丸
'le'mai'wan'pian'jiao'nang'ke'li 乐脉丸片胶囊颗粒
'lei'gong'teng'pian'lei'gong'teng'duo'gan'dai'pian 雷公藤片雷公藤多苷甙片
'li'dan'pai'shi'san'pian'jiao'nang'ke'li 利胆排石散片胶囊颗粒
'li'dan'pian 利胆片
'li'dan'zhi'tong'jiao'nang 利胆止痛胶囊
'li'fei'pian 利肺片
'li'gan'long'pian'jiao'nang'ke'li 利肝隆片胶囊颗粒
'li'nao'xin'pian'jiao'nang 利脑心片胶囊
'li'qi'huo'xue'di'wan 理气活血滴丸
'li'shu'kang'jiao'nang 利舒康胶囊
'li'zhong'pian 理中片
'li'zhong'wan 理中丸
'lian'fan'zhi'xie'jiao'nang 连番止泻胶囊
'lian'hua'qing'ke'pian 连花清咳片
'lian'hua'qing'wen'pian'jiao'nang'ke'li 连花清瘟片胶囊颗粒
'lian'qiao'bai'du'wan'pian'gao 连翘败毒丸片膏
'lian'qin'zhen'zhu'di'wan 连芩珍珠滴丸
'liang'fu'wan'di'wan 良附丸滴丸
'liang'xue'shi'wei'san'pian 凉血十味散片
'ling'bao'hu'xin'dan 灵宝护心丹
'ling'gui'ke'chuan'ning'jiao'nang 苓桂咳喘宁胶囊
'ling'gui'shu'gan'ke'li 苓桂术甘颗粒
'ling'ze'pian 灵泽片
'liu'gan'wan 流感丸
'liu'jun'zi'wan 六君子丸
'liu'shen'jiao'nang 六神胶囊
'liu'shen'ning'jiao 六神凝胶
'liu'shen'wan 六神丸
'liu'wei'an'shen'jiao'nang 六味安神胶囊
'liu'wei'an'xiao'san'pian'jiao'nang 六味安消散片胶囊
'liu'wei'an'xiao'wan 六味安消丸
'liu'wei'di'huang'pian'jiao'nang'ke'li'kou'fu'ye 六味地黄片胶囊颗粒口服液
'liu'wei'di'huang'wan 六味地黄丸
'liu'wei'ding'xiang'pian 六味丁香片
'liu'wei'ming'mu'wan 六味明目丸
'liu'wei'neng'xiao'wan'jiao'nang 六味能消丸胶囊
'liu'wei'qu'feng'huo'luo'gao 六味祛风活络膏
'liu'wei'wu'ling'pian 六味五灵片
'liu'wei'xiang'lian'jiao'nang 六味香连胶囊
'liu'ying'wan 六应丸
'long'bi'shu'pian'jiao'nang 癃闭舒片胶囊
'long'dan'xie'gan'wan'pian'jiao'nang'ke'li 龙胆泻肝丸片胶囊颗粒
'long'jia'tong'luo'jiao'nang 龙加通络胶囊
'long'jin'tong'lin'jiao'nang 龙金通淋胶囊
'long'mu'zhuang'gu'ke'li 龙牡壮骨颗粒
'long'qing'pian'jiao'nang 癃清片胶囊
'long'sheng'zhi'jiao'nang 龙生蛭胶囊
'long'xin'su'jiao'nang 龙心素胶囊
'long'xue'jie'san'pian'jiao'nang 龙血竭散片胶囊
'long'xue'tong'luo'jiao'nang 龙血通络胶囊
'long'zhu'ruan'gao 龙珠软膏
'lu'dang'shen'kou'fu'ye 潞党参口服液
'lu'he'ding'zhong'wan 六合定中丸
'luo'bu'fu'ke'bi'ri'wan 罗补甫克比日丸
'luo'fu'shan'feng'shi'gao'yao 罗浮山风湿膏药
'luo'hua'zi'zhu'pian'jiao'nang'ke'li 裸花紫珠片胶囊颗粒
'luo'hua'zi'zhu'shuan 裸花紫珠栓
'ma'huang'zhi'sou'wan'jiao'nang 麻黄止嗽丸胶囊
'ma'li'zhong'zi'ti'qu'wu'pian 马栗种子提取物片
'ma'mu'ran'zhi'xie'jiao'nang 玛木然止泻胶囊
'ma'qin'xiao'ke'ke'li 麻芩消咳颗粒
'ma'ren'run'chang'wan'ruan'jiao'nang 麻仁润肠丸软胶囊
'ma'ren'wan'jiao'nang'ruan'jiao'nang 麻仁丸胶囊软胶囊
'ma'ren'zi'pi'wan 麻仁滋脾丸
'ma'xing'xuan'fei'ke'li 麻杏宣肺颗粒
'ma'ying'long'ba'bao'yan'gao 马应龙八宝眼膏
'ma'ying'long'she'xiang'zhi'chuang'gao 马应龙麝香痔疮膏
'mai'guan'fu'kang'pian'jiao'nang 脉管复康片胶囊
'mai'luo'ning'ke'li'kou'fu'ye 脉络宁颗粒口服液
'mai'luo'ning'zhu'she'ye 脉络宁注射液
'mai'luo'shu'tong'wan'ke'li 脉络舒通丸颗粒
'mai'luo'tong 脉络通
'mai'luo'tong'pian'jiao'nang'ke'li 脉络通片胶囊颗粒
'mai'ping'pian 脉平片
'mai'qi'jiang'tang'wan 麦芪降糖丸
'mai'wei'di'huang'wan'pian'jiao'nang'kou'fu'ye 麦味地黄丸片胶囊口服液
'mai'xue'kang'jiao'nang'chang'rong'pian 脉血康胶囊肠溶片
'mai'zhi'ling'pian 迈之灵片
'man'gan'yang'yin'pian'jiao'nang 慢肝养阴片胶囊
'mei'gui'hua'kou'fu'ye 玫瑰花口服液
'mei'hua'dian'she'wan'pian'jiao'nang 梅花点舌丸片胶囊
'meng'shi'gun'tan'pian 礞石滚痰片
'meng'shi'gun'tan'wan 礞石滚痰丸
'mi'lian'chuan'bei'pi'pa'gao 蜜炼川贝枇杷膏
'mi'lin'jiao'nang'ke'li 泌淋胶囊颗粒
'mi'lin'qing'jiao'nang 泌淋清胶囊
'mi'ning'jiao'nang 泌宁胶囊
'ming'mu'di'huang'jiao'nang 明目地黄胶囊
'ming'mu'di'huang'wan 明目地黄丸
'ming'mu'ji'li'wan 明目蒺藜丸
'ming'mu'shang'qing'wan'pian 明目上清丸片
'mo'luo'dan 摩罗丹
'mu'dan'ke'li 木丹颗粒
'mu'gua'wan'pian 木瓜丸片
'mu'xiang'bing'lang'wan 木香槟榔丸
'mu'xiang'shun'qi'wan'ke'li 木香顺气丸颗粒
'na'ru'san'wei'wan 那如三味丸
'nao'an'pian'jiao'nang'ke'li'di'wan 脑安片胶囊颗粒滴丸
'nao'de'sheng'wan'pian'jiao'nang'ke'li 脑得生丸片胶囊颗粒
'nao'li'qing'wan'pian'jiao'nang 脑立清丸片胶囊
'nao'mai'li'ke'li 脑脉利颗粒
'nao'mai'tai'jiao'nang 脑脉泰胶囊
'nao'shuan'kang'fu'jiao'nang 脑栓康复胶囊
'nao'shuan'tong'jiao'nang 脑栓通胶囊
'nao'xin'an'jiao'nang 脑心安胶囊
'nao'xin'qing'pian'jiao'nang 脑心清片胶囊
'nao'xin'tong'wan'pian'jiao'nang 脑心通丸片胶囊
'nao'xue'kang'pian'di'wan 脑血康片滴丸
'nao'xue'shu'kou'fu'ye 脑血疏口服液
'nei'xiao'luo'li'pian 内消瘰疬片
'nei'xiao'luo'li'wan 内消瘰疬丸
'nian'mo'kui'yang'san 粘膜溃疡散
'niao'du'qing'ke'li 尿毒清颗粒
'niao'gan'ning'ke'li 尿感宁颗粒
'niao'qing'shu'ke'li 尿清舒颗粒
'niao'sai'tong'pian'jiao'nang 尿塞通片胶囊
'niao'shi'tong'wan 尿石通丸
'niao'tong'ka'ke'nai'qi'pian 尿通卡克乃其片
'ning'mi'tai'jiao'nang 宁泌泰胶囊
'ning'xin'bao'jiao'nang 宁心宝胶囊
'niu'huang'bao'long'wan 牛黄抱龙丸
'niu'huang'jiang'ya'wan'pian'jiao'nang 牛黄降压丸片胶囊
'niu'huang'jie'du'wan'pian'jiao'nang'ruan'jiao'nang 牛黄解毒丸片胶囊软胶囊
'niu'huang'qing'huo'wan 牛黄清火丸
'niu'huang'qing'wei'wan 牛黄清胃丸
'niu'huang'qing'xin'wan 牛黄清心丸
'niu'huang'qing'xin'wan'ju'fang 牛黄清心丸局方
'niu'huang'shang'qing'wan'pian'jiao'nang 牛黄上清丸片胶囊
'niu'huang'she'dan'chuan'bei'ye'pian'jiao'nang'san'di'wan 牛黄蛇胆川贝液片胶囊散滴丸
'niu'huang'xing'xiao'wan 牛黄醒消丸
'niu'huang'zhi'bao'wan 牛黄至宝丸
'niu'shang'gui'jiao'nang 扭伤归胶囊
'nuan'gong'qi'wei'wan'san 暖宫七味丸散
'nuo'di'kang'pian'jiao'nang'ke'li'kou'fu'ye 诺迪康片胶囊颗粒口服液
'nv'jin'wan'pian'jiao'nang 女金丸片胶囊
'nv'zhen'ke'li 女珍颗粒
'pa'zhu'wan 帕朱丸
'pai'shi'ke'li 排石颗粒
'pan'long'qi'pian 盘龙七片
'pei'yuan'tong'nao'jiao'nang 培元通脑胶囊
'pen'yan'jing'pian'jiao'nang'ke'li'kou'fu'ye 盆炎净片胶囊颗粒口服液
'pi'fu'kang'xi'ye 皮肤康洗液
'pi'min'xiao'jiao'nang 皮敏消胶囊
'pi'pa'zhi'ke'jiao'nang'ke'li'ruan'jiao'nang 枇杷止咳胶囊颗粒软胶囊
'ping'gan'shu'luo'wan 平肝舒络丸
'ping'xiao'pian'jiao'nang 平消片胶囊
'ping'xuan'jiao'nang 平眩胶囊
'pu'can'jiao'nang 蒲参胶囊
'pu'ji'zhi'chuang'shuan 普济痔疮栓
'pu'le'an'pian'jiao'nang 普乐安片胶囊
'qi'can'jiao'nang 芪参胶囊
'qi'can'tong'luo'jiao'nang 芪参通络胶囊
'qi'can'yi'qi'di'wan 芪参益气滴丸
'qi'dan'tong'luo'ke'li 芪丹通络颗粒
'qi'dan'tong'mai'pian 芪丹通脉片
'qi'dong'yi'xin'ke'li'kou'fu'ye 芪冬颐心颗粒口服液
'qi'gu'jiao'nang 芪骨胶囊
'qi'huang'ke'li 芪黄颗粒
'qi'jiao'sheng'bai'jiao'nang 芪胶升白胶囊
'qi'ju'di'huang'kou'fu'ye 杞菊地黄口服液
'qi'ju'di'huang'wan'pian'jiao'nang 杞菊地黄丸片胶囊
'qi'li'qiang'xin'jiao'nang 芪苈强心胶囊
'qi'li'san'jiao'nang 七厘散胶囊
'qi'long'jiao'nang 芪龙胶囊
'qi'ming'ke'li 芪明颗粒
'qi'pi'wan'kou'fu'ye 启脾丸口服液
'qi'rong'run'chang'kou'fu'ye 芪蓉润肠口服液
'qi'shi'wei'zhen'zhu'wan 七十味珍珠丸
'qi'wei'hong'hua'shu'sheng'san'wan 七味红花殊胜散丸
'qi'wei'tong'bi'kou'fu'ye 七味通痹口服液
'qi'xiong'tong'luo'jiao'nang 芪芎通络胶囊
'qi'ye'shen'an'pian 七叶神安片
'qi'zhen'jiao'nang 芪珍胶囊
'qi'zhi'jiang'tang'pian'jiao'nang 芪蛭降糖片胶囊
'qi'zhi'wei'tong'pian'jiao'nang'ke'li 气滞胃痛片胶囊颗粒
'qi'zhi'xiang'fu'wan 七制香附丸
'qian'bai'bi'yan'pian 千柏鼻炎片
'qian'jin'zhi'dai'wan 千金止带丸
'qian'lie'an'shuan 前列安栓
'qian'lie'an'tong'pian'jiao'nang 前列安通片胶囊
'qian'lie'bei'xi'jiao'nang 前列倍喜胶囊
'qian'lie'long'bi'tong'pian'jiao'nang'ke'li 前列癃闭通片胶囊颗粒
'qian'lie'ping'jiao'nang 前列平胶囊
'qian'lie'shu'le'pian'jiao'nang'ke'li 前列舒乐片胶囊颗粒
'qian'lie'shu'tong'jiao'nang 前列舒通胶囊
'qian'lie'shu'wan 前列舒丸
'qian'lie'tai'wan'pian'jiao'nang'ke'li 前列泰丸片胶囊颗粒
'qian'lie'tong'pian'jiao'nang 前列通片胶囊
'qian'lie'xin'jiao'nang 前列欣胶囊
'qian'xi'jiao'nang 千喜胶囊
'qian'zhi'jiao'nang 茜芷胶囊
'qian'zhi'pian 茜芷片
'qiang'gan'pian'jiao'nang'ke'li 强肝片胶囊颗粒
'qiang'gu'jiao'nang 强骨胶囊
'qiang'li'ding'xuan'pian'jiao'nang 强力定眩片胶囊
'qiang'li'pi'pa'gao'mi'lian 强力枇杷膏蜜炼
'qiang'li'pi'pa'lu'jiao'nang'ke'li 强力枇杷露胶囊颗粒
'qiang'li'tian'ma'du'zhong'wan'jiao'nang 强力天麻杜仲丸胶囊
'qin'bao'hong'zhi'ke'ke'li'kou'fu'ye 芩暴红止咳颗粒口服液
'qin'gui'huo'luo'kou'fu'ye 秦归活络口服液
'qin'xiang'qing'jie'kou'fu'ye 芩香清解口服液
'qing'fei'xiao'yan'wan 清肺消炎丸
'qing'fei'yi'huo'wan'pian'jiao'nang 清肺抑火丸片胶囊
'qing'gan'jiang'ya'jiao'nang 清肝降压胶囊
'qing'gan'jiu'wei'wan 清感九味丸
'qing'hao'bie'jia'pian 青蒿鳖甲片
'qing'hou'yan'ke'li 清喉咽颗粒
'qing'kai'ling'pian'jiao'nang'ke'li'ruan'jiao'nang 清开灵片胶囊颗粒软胶囊
'qing'kai'ling'zhu'she'ye 清开灵注射液
'qing'ke'ping'chuan'ke'li 清咳平喘颗粒
'qing'long'she'yao'pian 青龙蛇药片
'qing'nao'fu'shen'ye 清脑复神液
'qing'nao'jiang'ya'pian'jiao'nang'ke'li 清脑降压片胶囊颗粒
'qing'ning'wan 清宁丸
'qing'peng'gao'ji'ruan'gao 青鹏膏剂软膏
'qing'qi'hua'tan'wan 清气化痰丸
'qing're'ba'wei'wan'san'jiao'nang 清热八味丸散胶囊
'qing're'ding'jing'san 清热定惊散
'qing're'jie'du'kou'fu'ye 清热解毒口服液
'qing're'jie'du'pian'jiao'nang'ke'li 清热解毒片胶囊颗粒
'qing're'ka'sen'ke'li 清热卡森颗粒
'qing're'san'jie'pian'jiao'nang 清热散结片胶囊
'qing're'tong'lin'wan'pian'jiao'nang 清热通淋丸片胶囊
'qing'wei'zhi'tong'wei'wan 清胃止痛微丸
'qing'wen'jie'du'wan'pian 清瘟解毒丸片
'qing'xin'chen'xiang'ba'wei'wan'san 清心沉香八味丸散
'qing'xuan'zhi'ke'ke'li 清宣止咳颗粒
'qing'yan'di'wan 清咽滴丸
'qing'yan'run'hou'wan 清咽润喉丸
'qing'yin'wan 清音丸
'qing'zhuo'qu'du'wan 清浊祛毒丸
'qiu'xie'ling'ke'li 秋泻灵颗粒
'qu'feng'gu'tong'ning'jiao'gao'qu'feng'gu'tong'ba'bu'gao 祛风骨痛凝胶膏祛风骨痛巴布膏
'qu'feng'zhi'tong'wan'pian'jiao'nang 祛风止痛丸片胶囊
'qu'tan'ling'kou'fu'ye 祛痰灵口服液
'qu'tan'zhi'ke'jiao'nang 祛痰止咳胶囊
'qu'tan'zhi'ke'ke'li 祛痰止咳颗粒
'quan'du'zhong'jiao'nang 全杜仲胶囊
'quan'tian'ma'pian'jiao'nang 全天麻片胶囊
're'du'ning'zhu'she'ye 热毒宁注射液
're'lin'qing'pian'jiao'nang'ke'li 热淋清片胶囊颗粒
're'yan'ning'he'ji 热炎宁合剂
'ren'qing'chang'jue 仁青常觉
'ren'qing'mang'jue 仁青芒觉
'ren'qing'mang'jue'jiao'nang 仁青芒觉胶囊
'ren'shen'gui'pi'wan 人参归脾丸
'ren'shen'jian'pi'wan'pian 人参健脾丸片
'ren'shen'yang'rong'wan 人参养荣丸
'ren'shen'zai'zao'wan 人参再造丸
'rou'kou'si'shen'wan 肉蔻四神丸
'rou'kou'wu'wei'wan 肉蔻五味丸
'ru'he'san'jie'pian'jiao'nang 乳核散结片胶囊
'ru'kang'wan'pian'jiao'nang'ke'li 乳康丸片胶囊颗粒
'ru'kuai'xiao'pian'jiao'nang'ke'li 乳块消片胶囊颗粒
'ru'ning'ke'li 乳宁颗粒
'ru'ning'wan'pian'jiao'nang 乳宁丸片胶囊
'ru'pi'san'jie'pian'jiao'nang'ke'li 乳癖散结片胶囊颗粒
'ru'pi'xiao'pian'jiao'nang'ke'li 乳癖消片胶囊颗粒
'ru'pi'xiao'wan 乳癖消丸
'ru'yi'jin'huang'san 如意金黄散
'ru'yi'zhen'bao'wan 如意珍宝丸
'ru'zeng'ning'pian'jiao'nang 乳增宁片胶囊
'run'fei'gao 润肺膏
'run'zao'zhi'yang'jiao'nang 润燥止痒胶囊
'san'feng'huo'luo'wan 散风活络丸
'san'feng'tong'qiao'di'wan 散风通窍滴丸
'san'huang'gao'wan 三黄膏丸
'san'huang'pian'jiao'nang 三黄片胶囊
'san'jie'zhen'tong'jiao'nang 散结镇痛胶囊
'san'jin'ke'li 三金颗粒
'san'jin'pian'jiao'nang 三金片胶囊
'san'jiu'wei'tai'ke'li'jiao'nang 三九胃泰颗粒胶囊
'san'niu'pian 三拗片
'san'qi'shang'yao'pian'jiao'nang'ke'li 三七伤药片胶囊颗粒
'san'qi'tong'shu'jiao'nang 三七通舒胶囊
'san'qi'xue'shang'ning'san'jiao'nang 三七血伤宁散胶囊
'san'ren'he'ji 三仁合剂
'san'shi'wu'wei'chen'xiang'wan 三十五味沉香丸
'sang'ju'gan'mao'wan'pian'ke'li 桑菊感冒丸片颗粒
'sao'ri'lao'qing'fei'zhi'ke'jiao'nang 扫日劳清肺止咳胶囊
'se'chang'zhi'xie'san 涩肠止泻散
'shan'hu'qi'shi'wei'wan 珊瑚七十味丸
'shan'la'mei'ye'ke'li 山蜡梅叶颗粒
'shang'ke'jie'gu'pian 伤科接骨片
'shang'ke'ling'pen'wu'ji 伤科灵喷雾剂
'shang'qing'wan'pian'jiao'nang 上清丸片胶囊
'shao'fu'zhu'yu'wan'jiao'nang'ke'li 少腹逐瘀丸胶囊颗粒
'shao'ma'zhi'jing'ke'li 芍麻止痉颗粒
'shao'qi'ke'li 芍杞颗粒
'she'dan'chen'pi'san'pian'jiao'nang 蛇胆陈皮散片胶囊
'she'dan'chen'pi'ye'kou'fu'ye 蛇胆陈皮液口服液
'she'dan'chuan'bei'pi'pa'gao 蛇胆川贝枇杷膏
'she'dan'chuan'bei'san'jiao'nang'ruan'jiao'nang 蛇胆川贝散胶囊软胶囊
'she'dan'chuan'bei'ye 蛇胆川贝液
'she'ma'kou'fu'ye 射麻口服液
'she'shang'jie'du'pian 蛇伤解毒片
'she'xiang'bao'xin'wan 麝香保心丸
'she'xiang'hai'ma'zhui'feng'gao 麝香海马追风膏
'she'xiang'huo'xue'hua'yu'gao 麝香活血化瘀膏
'she'xiang'tong'xin'di'wan 麝香通心滴丸
'she'xiang'zhi'chuang'shuan 麝香痔疮栓
'she'xiang'zhui'feng'gao 麝香追风膏
'she'xiang'zhui'feng'zhi'tong'gao 麝香追风止痛膏
'she'zhi'can'huang'ruan'gao 蛇脂参黄软膏
'she'zhu'ming'mu'di'yan'ye 麝珠明目滴眼液
'shen'an'jiao'nang 肾安胶囊
'shen'fu'kang'pian'jiao'nang 肾复康片胶囊
'shen'kang'ning'pian'jiao'nang'ke'li 肾康宁片胶囊颗粒
'shen'kang'shuan 肾康栓
'shen'kang'zhu'she'ye 肾康注射液
'shen'ling'bai'zhu'pian'jiao'nang 参苓白术片胶囊
'shen'ling'bai'zhu'wan'san'ke'li 参苓白术丸散颗粒
'shen'mai'zhu'she'ye 参麦注射液
'shen'nong'zhen'tong'gao 神农镇痛膏
'shen'qi'fu'zheng'zhu'she'ye 参芪扶正注射液
'shen'qi'gan'kang'pian'jiao'nang 参芪肝康片胶囊
'shen'qi'jiang'tang'pian'jiao'nang'ke'li 参芪降糖片胶囊颗粒
'shen'qi'shi'yi'wei'ke'li 参芪十一味颗粒
'shen'qi'wu'wei'zi'pian'jiao'nang'ke'li 参芪五味子片胶囊颗粒
'shen'qi'xiao'ke'ke'li 参芪消渴颗粒
'shen'qu'xiao'shi'kou'fu'ye 神曲消食口服液
'shen'shi'tong'wan'pian'ke'li 肾石通丸片颗粒
'shen'shu'ke'li 肾舒颗粒
'shen'shuai'ning'pian'jiao'nang'ke'li 肾衰宁片胶囊颗粒
'shen'su'wan'pian'jiao'nang 参苏丸片胶囊
'shen'yan'kang'fu'pian 肾炎康复片
'shen'yan'shu'pian'jiao'nang'ke'li 肾炎舒片胶囊颗粒
'shen'yan'si'wei'pian'jiao'nang 肾炎四味片胶囊
'shen'yan'si'wei'wan'ke'li 肾炎四味丸颗粒
'shen'yan'xiao'zhong'pian 肾炎消肿片
'shen'yang'hong'yao 沈阳红药
'shen'yang'hong'yao'jiao'nang 沈阳红药胶囊
