'a'da'li'yan'nian 阿大李延年
'pian'zhou'xin'wang'huan 扁舟信往还
'piao'yao'zhao'pu'fu 嫖姚召仆夫
'pie'de'wo'sha'chuang'yue'xiao 撇得我纱窗月晓
'pin'shi'yin 贫士吟
'ping'sheng'gu'ru'ci 平生固如此
'ping'sheng'wu'yi'xin'wu'chi 平生吾亦信吾痴
'po'dai'luan'guang'cui'ru'shi 泼黛峦光翠如湿
'pu'zhong'fu'ru'ya 浦中浮乳鸭
'qi'can'hu'luo'tu 旗参虎落图
'qi'du'gui'lai'jiao'feng'tian 骑犊归来浇葑田
'qi'fei'wang'shi'yuan 岂非往世缘
'qi'jian'ju'jin'cheng'zhen'ze 其间巨浸称震泽
'qi'jie'xin'yuan 气结心冤
'qi'lin'ge'shang'dan'qing'bi 麒麟阁上丹青笔
'qi'qi'bai'lu'ling 凄凄白露零
'qi'qi'fang'cao'mi'yan'yu 凄凄芳草迷烟雨
'qi'wu'tong'pao'shi 岂无同袍士
'qi'zhi'shi'yun'xi 七秩世云稀
'qian'cheng'liang'xiu'huang'jin'lei 前程两袖黄金泪
'qian'chu'you'nian'hou'chu'lao 前除幼年后除老
'qian'dian'ti'hen 千点啼痕
'qian'feng'wan'feng'ru'bing'hu 千峰万峰如秉笏
'qian'jun'zhi'gu'dou 潜军执骨都
'qian'kun'qian'gu'xing'wang'ji 乾坤千古兴亡迹
'qian'lin'ying'ri'ying'luan'ti 千林映日莺乱啼
'qian'nian'bu'gai'gu'su'ming 千年不改姑苏名
'qian'qian'shui 浅浅水
'qiao'fu'jia'zhu'xi'shan'li 樵夫家住西山里
'qiao'ge'geng'can'jiao'yun'bei 谯阁更残角韵悲
'qie'shi'jiang'nan'hao'ming'yue 且是江南好明月
'qin'er'yu'lang'mo'xia'yan 勤尔渔郎莫下罨
'qing'ba'shi'qing'xiang'xi'kan 请把世情详细看
'qing'chao'lan'ming'jing 清朝揽明镜
'qing'fan'dai'ying'lue'shuang'fu 轻帆带影掠双凫
'qing'feng'man'bin'si 清风满鬓丝
'qing'jun'xi'dian'yan'qian'ren 请君细点眼前人
'qing'ke'qian'tang'san'bai'li 顷刻钱塘三百里
'qing'kou'shan'cha'lv'e'mei 磬口山茶绿萼梅
'qing'lang'jin'ye'ban'hua'mian 请郎今夜伴花眠
'qing'shan'bai'fa'lao'chi'wan 青山白发老痴顽
'qing'shan'dian'dian'wang'zhong'wei 青山点点望中微
'qing'shan'du'shu'tu 青山读书图
'qing'shan'liao'ji'wu'yan'ai 青山寥寂无烟埃
'qing'song'man'shan'xiang'qiao'fu 青松满山响樵斧
'qing'tian'yang'mian'wu'can'se 青天仰面无惭色
'qing'yuan'tuo'pi'pa 清怨托琵琶
'qing'yun'lian'feng'ge 青云连风阁
'qing'zai'lv'luo'chong'zai'niu 轻载驴骡重载牛
'qing'zhen'yan'gan'guan'liao'xia 青袗掩骭官僚下
'qiu'lai'wan'shan'he'shou'cang 秋来纨扇合收藏
'qiu'lao'fu'rong'yi'ye'shuang 秋老芙蓉一夜霜
'qiu'qian'dang'wu'yao'zhi'nen 秋千荡舞腰肢嫩
'qu'ji'ru'ge'shi 阒寂如隔世
'qu'jia'ri'yi'yuan 去家日以远
'qu'nian'ren'bi'jin'nian'lao 去年人比今年老
'qu'qu'yi'zuo'lao'cun'zhuang 区区已作老村庄
'qu'qu'zhe'zhe'nan'hui'tou 曲曲折折难回头
'qu'qu'zhe'zhe'xiang'dong'liu 曲曲折折向东流
'qu'ri'ku'duo 去日苦多
'qu'wan'chu'yu'tian 渠碗出于阗
'qu'wu'xiu 去无休
'qu'zui'hai'chou'ge'li'shi 取醉还酬个里诗
'quan'fei'liao'liao'jing'ye'meng 犬吠嘹嘹惊夜梦
'quan'ren'bing'zhu'ye'you'lai 劝人秉烛夜游来
'quan'sheng'wu'ye'lu'gao'di 泉声呜咽路高低
'quan'tou'zi'fu'zuo 泉头自趺坐
'que'luo'de'yan'zheng'zheng 却落得眼睁睁
'que'xu'shan'ren'shan'zhi'hui 却许山人擅指挥
'rang'huang'jiang'xi'tong'nan'mian 让皇降席同南面
'rao'jing'nian'chou'xi 扰景念畴昔
'ren'ai'rou 人爱肉
'ren'jia'lian'luo'zhu'qing'shan 人家联络住青山
'ren'jing'ying'ao'xi 人静莺聱细
'ren'ming'cu 人命促
'ren'sheng'bu'xiang'hua'qian'zui 人生不向花前醉
'ren'sheng'qi'shi'gu'lai'shao 人生七十古来少
'ren'shi'nan'liang'duo'ju'yu 人事难量多龃龉
'ren'wu'ci'wei'jiang'he'xing 人无此味将何行
'ren'xin'bu'gu'jin'fei'zuo 人心不古今非昨
'ri'gao'shan'quan'fei'li'ba 日高山犬吠篱笆
'ri'you'qun'ou'ban'ku'yin 日有群鸥伴苦吟
'ri'yue'cu'shu 日月徂暑
'ri'yue'you'you 日月悠悠
'ri'zhang'he'suo'shi 日长何所事
'ri'zhang'xiu'lian'juan 日长绣帘卷
'rong'rong'wen'nuan'xiang'ji'ti 融融温暖香肌体
'rong'wei'qi'ji'shuai 荣卫岂及衰
'rou'duo'bu'ru'xian'ren'fu 肉多不入贤人腹
'ru'jie'wu'sheng'you'kuang 辱皆无剩有狂
'ruo'jiang'fu'gui'bi'pin'jian 若将富贵比贫贱
'ruo'jiang'pin'jian'bi'che'ma 若将贫贱比车马
'sa'sao'ting'hu'jian 洒扫庭户间
'sa'sao'zhong'ting 洒扫中庭
'san'ban'suo'chuan'ye'bu'ru 三板桫船叶不如
'san'fu'chi'xing'tu 三辅弛刑徒
'san'geng'zhi'deng'yan'zu'gang 三更炙灯雁足缸
'san'peng'gu'cheng'shou 三朋古称寿
'san'ri'wu'yan'bu'jue'ji 三日无烟不觉饥
'san'sheng'zi'you'qing'xian'fu 三生自有清闲福
'san'tan'heng'liu'ti 三叹横流涕
'san'tian'men'li'ge'chang'geng 三天门吏葛长庚
'san'wang'zhi'zuo'lie'ding'nai 三王制作列鼎鼐
'san'xia'qiao'bian'lu'yu'mi 三峡桥边路欲迷
'seng'fang'zhuo'jiu'song'jun'xing 僧房酌酒送君行
'sha'shen'liang'bu'xi 杀身良不惜
'shan'dian'tuo'chai'chu'huan'jiu 山佃驮柴出换酒
'shan'guang'yuan'jin'cheng'mo'hu 山光远近成模糊
'shan'hui'shui'bao'du'wang 山回水抱独往
'shan'ju'ke'zhi'tu 山居客至图
'shan'quan'xiong'yong'shui'bo'tao 山泉汹涌水波涛
'shan'se'fu'nan'yue 山色浮南岳
'shan'shan'ling'ling'nan'zu'liu 山山岭岭难阻留
'shan'shui'qing'qie'jia 山水清且嘉
'shan'shui'tu 山水图
'shan'ting'liao'luo'jie'ren'xi 山亭寥落接人稀
'shan'tou'zhi'you'jiu'shi'yue 山头只有旧时月
'shan'weng'yao'sheng'qian'nian'shi 山翁要省千年事
'shan'yao'yin'yin'jian'zhao'ti 山腰隐隐见招提
'shang'nei 伤内
'shang'xia'san'qian'liu'bai'nian 上下三千六百年
'shang'xin'le'shi'gong'shui'lun 赏心乐事共谁论
'shang'zhi'ci'wei'huo'li'zeng 商知此味货利增
'shao'nian'qu 少年去
'shao'nian'yi'guo'bu'chong'lai 少年易过不重来
'she'gan'bi'yu'zhang 射干蔽豫章
'shen'cai'miao'tiao'lian'er'jun 身材苗条脸儿俊
'shen'hong'qian'bai'yi'shi'kai 深红浅白一时开
'shen'you'zhi'chu'xi'huang'qian 神游直出羲皇前
'sheng'ge'duan'lu'dong'xi 生隔断路东西
'sheng'yi'yi'cong'wen'chu'qiu 生意宜从稳处求
'sheng'zhu'qiu'xian'an'hua'tu 圣主求贤按画图
'shi'chao'feng'yu'ruo'hun'mi 十朝风雨若昏迷
'shi'dao'sui'fu'chen 世道随浮沉
'shi'fei'gong'lun'ri'fen'fen 是非公论日纷纷
'shi'feng'bu'he 时风布和
'shi'jian'er'mu'niu'shi'su 世间耳目狃时俗
'shi'ming'tu 事茗图
'shi'nian'you'shang'jing'xing'bian 十年游赏经行遍
'shi'qian'gu'jiu'chi'tou'shang 十千沽酒螭头觞
'shi'ren'qian'duo'zhuan'bu'jin 世人钱多赚不尽
'shi'shang'ren'sheng'neng'ji'he 世上人生能几何
'shi'shi'mo'jue 戺戺莫绝
'shi'tai'shi'feng'chu'mi'jian 世泰时丰刍米贱
'shi'yi'long'hu'chi'xun'rao 世疑龙虎茌驯扰
'shi'zhi'ci'wei'shi'ye'cheng 士知此位事业成
'shi'zhong'sun'jia'jian'ru'ni 市中笋价贱如泥
'shou'qiong'ye'jin'xiang'zhu'jie 瘦筇曳尽湘竹节
'shu'duo'qing'ying'jiao'yu'yu 数朵轻盈娇欲语
'shu'hua'shi'wen'zong'bu'gong 书画诗文总不工
'shu'se'gao'di'hun'you'wu 树色高低混有无
'shu'sheng'kong'bai'tou 书生空白头
'shu'si'qi'xue 鼠思泣血
'shu'tui'da'huo'liu 暑退大火流
'shu'yong'you'shang 庶永忧伤
'shuang'hua'man'tian'ren'qie'leng 霜华满天人怯冷
'shuang'luo'piao'yao 霜落飘飖
'shuang'xie'ta'dao'jiang'sha'mang 双鞋踏倒江莎芒
'shui'kou'jing'fei'jing'he'meng 谁叩荆扉惊鹤梦
'shui'lai'mai'wo'hua'zhong'shan 谁来买我画中山
'shui'zhi'yi'xiao'qing'ren'guo 谁知一笑倾人国
'si'bi'tu'hua'fei'yun'yan 四壁图画飞云烟
'si'hai'wu'hu'jie'yi'wang 四海五湖皆一望
'si'hai'zi'shen'bi'yi'zhi 四海资身笔一枝
'si'qiu'xiang 思秋香
'si'shi'xu'xiang'dai 四峕序相代
'song'chen'xian'zhang 送陈宪章
'song'jian'cao'ge'yi'yan'kai 松间草阁依岩开
'song'jian'lv'bei'zi'chang'lu 耸肩驴背自长路
'song'luo'shen'jing'ji'mei'tai 松萝深径积莓苔
'song'wen'wen'zhou 送文温州
'song'yin'man'di'ning'kong'cui 松阴满地凝空翠
'song'zhu'tu 松竹图
'song'zhu'xie'su'yin 松竹谐素音
'su'zhou'ci'shi'bai'shang'shu 苏州刺史白尚书
'sui'di'shan'mao'hao'jie'lu 随地芟茅好结庐
'sui'feng'piao'bo'zai'qing'qu 随风漂泊在清渠
'sui'yan'yi'xiang'xian 虽言异乡县
'sui'yue'xin'yan'mai 岁月信言迈
'suo'wei'xiao'ren'you'he'yi 琐尾小人有何益
'suo'yi'yu'ren'cheng'da'gong 所以与人成大功
'ta'dai'yao'ba'shou 她待要罢手
'ta'dei'qu'chi'wo'de'xian 他得驱驰我得闲
'ta'ri'hui'luan'shu'dao'zhong 他日回銮蜀道中
'ta'ri'jiang'zhou'mao'wu'di 他日江州茅屋底
'tao'hua'an'ge 桃花庵歌
'tao'hua'an'xia'tao'hua'xian 桃花庵下桃花仙
'tao'hua'lang'nuan'jin'ceng'ceng 桃花浪暖锦层层
'tao'hua'wu'li'tao'hua'an 桃花坞里桃花庵
'tao'hua'xian'ren'zhong'tao'shu 桃花仙人种桃树
'tao'hua'yu'guo'shui'lian'tian 桃花雨过水连天
'tao'hua'yu'guo'tu 桃花雨过图
'tao'li'chun'feng'hao'fang'huai 桃李春风好放怀
'tao'tian'bo'lang'jing'sha'ren 滔天波浪惊刹人
'ti'hua'jiu'shou 题画九首
'ti'hua'nian'si'shou 题画廿四首
'ti'hua'si'shou 题画四首
'ti'nian'hua'wei'xiao'tu 题拈花微笑图
'ti'qiu'feng'wan'shan'tu 题秋风纨扇图
'ti'shen'shi'tian'he'zhou'tu 题沈石田壑舟图
'ti'si'tu'liu'lian 涕泗徒留连
'ti'xiang'kong'shan'bu'ren'wen 啼向空山不忍闻
'ti'zuo'chan'chu'chi'jiao'xing 体坐蟾蜍赤脚行
'tian'ping'zhi'shan'he'qi'gao 天平之山何其高
'tian'qi'wen'he'feng'yu'duo 天气温和风雨多
'tian'ran'xing'qu'nan'mo'xie 天然兴趣难摹写
'tian'ruo'ken'zhou'quan 天若肯周全
'tian'shi'bu'ce'duo'feng'yu 天时不测多风雨
'tian'shi'ren'shi'liang'bu'qi 天时人事两不齐
'tian'tai'ming'yue'li'xian'zhen 天台明月礼仙真
'tian'ya'zhi'chi 天涯咫尺
'ting'zhi'nian'zhou'xuan 庭止念周旋
'tuo'gu'qie'juan'bian 脱毂且卷鞭
'wa'pen'er'nv'gong'cun'lao 瓦盆儿女共村醪
'wan'dian'ti'hen 万点啼痕
'wan'jia'yue'se'mi'yan'wu 万家月色迷烟雾
'wan'ku'fen'cao'chang'jian'ci 纨裤分曹唱健词
'wan'mu'hao'feng'yi'hu'hou 万木号风疑虎吼
'wan'qing'hu'guang'jing'ning'bi 万顷湖光净凝碧
'wan'shan'lian'shu'yi'qian'zhong 晚山连树一千重
'wan'shu'tao'hua'yue'man'tian 万树桃花月满天
'wan'shu'wei'chun'yan'shuang'wu 万树围春燕双舞
'wang'di'chun'xin'gui'du'yu 望帝春心归杜宇
'wang'sun'yi'qu'chun'wu'zhu 王孙一去春无主
'wei'jiao'jue'deng'zou'xing'lv 危椒绝磴走行旅
'wei'neng'chu'de'jiu'qin'yuan 未能除得旧琴缘
'wei'shang'lin'xi'hao'xing'hua 为赏临溪好杏花
'wei'shi'xian'weng'shi'tie'bao 为是仙翁诗帖报
'wei'wo'tiao'ming'qin 为我调鸣琴
'wei'you'li'bai'shi'neng'shuo 惟有李白诗能说
'wei'zi'zhuo'da'dou 为子酌大斗
'wen'jian'an'neng'mian'wo'chuo 闻见安能免龌龊
'wen'lang'hua'hao'nu'yan'hao 问郎花好奴颜好
'wen'qiong 闻蛩
'wen'yi'ben'teng'he'shi'xie 问伊奔腾何时歇
'wen'yi'shang'xin'he'qi'duo 问伊伤心何其多
'wo'ai'cai 我爱菜
'wo'ba'qing'jian'shi'gao'jie 我把轻缣试高揭
'wo'dang'li'bai'dui'ming'yue 我当李白对明月
'wo'dao'qian'jin'mai'bu'hui 我道千金买不回
'wo'guan'gu'xi'zhi'ying'xiong 我观古昔之英雄
'wo'guan'jin'ri'zhi'cai'yan 我观今日之才彦
'wo'he'ceng'kai'kou 我何曾开口
'wo'jiang'guan'li'liao'kui'ce 我将管蠡聊窥测
'wo'jin'bai'bei'fu'qian'shou 我今百杯复千首
'wo'kan'xie'yang'jiang'shang'feng 卧看斜阳江上峰
'wo'kui'sui'wu'li'bai'cai 我愧虽无李白才
'wo'sheng'gao'qiu 我生告遒
'wo'si'you'you 我思悠悠
'wo'xiao'bie'ren'kan'bu'chuan 我笑别人看不穿
'wo'xin'zhong'hen'zhe 我心中恨着
'wo'ye'ben'chi'ming'li'ren 我也奔驰名利人
'wo'ye'bu'deng'tian'zi'chuan 我也不登天子船
'wo'ye'bu'shang'chang'an'mian 我也不上长安眠
'wo'yi'zhu'chu'zhen'kan'hua 我依住处真堪画
'wu'de'chen'ai'se'shen'xiang 悟得尘埃色身相
'wu'geng'shuang'li'pei'huang'jin 五更霜里佩黄金
'wu'hua'wu'jiu'chu'zuo'tian 无花无酒锄做田
'wu'ji'yao'tiao'cheng'jue'se 吴姬窈窕称绝色
'wu'jiang'tong'suo'gui 吾将同所归
'wu'jin'yu'ru'yao'zhi'zhi 吾今与汝要知止
'wu'lv'wu'you'geng'wu'ru 无虑无忧更无辱
'wu'nai'yun'shan'zhe'bi 无奈云山遮蔽
'wu'qiang'gong'suo'qi 无强共所祈
'wu'ren'jie'de'you'you'yi 无人解得悠悠意
'wu'ren'lai'mai'shan'tou'shi 无人来买扇头诗
'wu'sheng'yi'xiu'yan 吾生已休焉
'wu'shi'yun'di'bie'zhong'qing 雾湿云低别种情
'wu'ti 无题
'wu'wang'ye'yan'tu 五王夜燕图
'wu'wang'you'le'cheng'chun'lai 吴王游乐乘春来
'wu'wu'ye'ye'ri'ye'ku 呜呜咽咽日夜哭
'wu'yan'bu'ji 无言不疾
'wu'you'de'jian'tian 无由得见天
'wu'yue'xing'wang'fu'liu'shui 吴越兴亡付流水
'xi'chi'lu'yi'wu'shu'fei 鸂鶒鸬鹢无数飞
'xi'chuan'zhou'shang'bai'hua'kai 昔传洲上百花开
'xi'jing'wu'yan'gui 隙景无淹晷
'xi'jue'chuan'fu'bai 洗爵传浮白
'xi'ming'you'ce'jian 夕瞑犹策蹇
'xi'qiao'tu'wu'tian'cheng'lie 溪桥突兀田塍裂
'xi'shang'da'wang'lv'ji 席上答王履吉
'xi'shuai'deng'tang 蟋蟀登堂
'xi'shui'jie'tian'san'wan'qing 系水接天三万顷
'xi'yang'ban'luo'feng'lang'wu 夕阳半落风浪舞
'xia'shang'yin'zhou'bing'qi'ji 夏商殷周并契稷
'xian'na'qin'hui'pi'ni'lin 献纳亲会批逆鳞
'xian'yu'tian'xia'ban'chun'wang 先与天下颁春王
'xiang'fan'yu'geng'shou'tong'bai 香饭鱼羹首同白
'xiang'feng'ruo'you'zhi'yin'zhe 相逢若有知音者
'xiang'feng'xia'xie'jian 相逢狭邪间
'xiang'feng'xing 相逢行
'xiang'guan'yin'shao'you'you'si 乡关阴少悠悠思
'xiang'liu'niang 香柳娘
'xiang'qi'yu'jun'lao'hu'shang 相期与君老湖上
'xiang'sha'ni 想煞你
'xiang'xie'chang'lang'gu'ji'xian 响屧长廊故几閒
'xiang'yu'ren'hua'rong'liu'mei 想玉人花容柳眉
'xiao'de'qing'si'ji'liang'xie 消得青丝几两鞋
'xiao'kan'tian'se'mu'kan'yun 晓看天色暮看云
'xiao'sen'shan'liu'ge'fen'ai 萧森杉柳隔纷埃
'xiao'xiao'ruo'xue 歊歊若穴
'xiao'yue'li'chen'liang 晓月丽尘梁
'xie'wo'ping'sheng'xin 写我平生心
'xin'hong'zhe'yi'mei 新红折一枚
'xin'qi'yu'jian'gu'zhi'ren 心期欲见古之人
'xin'shi'lao'tian'zhen'xi'wo 信是老天真戏我
'xing'chen'jin'shao'wei 星辰近少微
'xing'guo'song'yin'lan'zhuo'bian 行过松阴懒着鞭
'xing'ti'ze'ren'xin'ze'tian 形体则人心则天
'xing'ye'si'jun 行也思君
'xiong'jun'que'fen'fu 雄郡却分符
'xiong'zhong'man'you'tie'shi'chang 胸中漫有铁石肠
'xiu'ba'dong'feng'fu'e'qing 休把东风负俄顷
'xiu'du'hua'liang'yan 羞睹画梁燕
'xiu'fu'he'zu'lun 朽腐何足论
'xiu'hua'guan'yin'tu 嗅花观音图
'xu'fu'qing'chun 虚负青春
'xuan'ni'tan'xi'gu'bu'gu 宣尼叹息觚不觚
'xuan'niao'le'gao'yin 玄鸟乐高荫
'xuan'shou'you'hua'si 玄首有华丝
'xuan'wang'shi'gu'yi'bo'luo 宣王石鼓已剥落
'xuan'xu'qian'dai'yun 玄序潜代运
'xuan'yu'kan'ci'fei 悬鱼看赐绯
'xue'li'mei'kai'mei'sheng'xue 雪里梅开梅胜雪
'xue'man'kong'shan'xiao'hui'qin 雪满空山晓会琴
'xue'man'liang'yuan'shui'jie'fu 雪满梁园谁解赋
'xue'shan'hui'qin'tu 雪山会琴图
'xue'shen'shan'lu'hua'yu'tai 雪深山路滑于苔
'xue'ya'jiang'cun'zhen'zuo'han 雪压江村阵作寒
'xun'jia'yao'nan'zhui 迅驾杳难追
'xun'yang'song'bie'tu 浔阳送别图
'ya'qi'wu'chao 雅栖无巢
'yan'er'xue'wu'ying'tiao'ge 燕儿学舞莺调歌
'yan'qian'jing'hao'shi'nan'sheng 眼前景好诗难胜
'yan'qian'qie'kan'ya'chu'bin 眼前且看鸦雏鬓
'yan'ran'shi'zai'ku 燕然石再刳
'yan'se'an'zhi'fei'lan'yu 颜色安知非滥竽
'yan'shu'mang'mang'hun'shui'mo 烟树茫茫浑水墨
'yan'shui'yun'shan'tian'di'kuan 烟水云山天地宽
'yan'suo'chui'yang'yuan 烟锁垂杨院
'yan'tan 严滩
'yan'yan'kong'wu'ling'qing'xiao 岩岩空兀凌青霄
'yan'zheng'zheng'wang'zhe'deng'qian'bi'shang 眼睁睁望着灯前壁上
'yan'zhi'qi'ta 焉知其他
'yang'jian'hua'xing 仰见华星
'yang'kan'wu'mei'tian'ning'bi 仰看乌没天凝碧
'yang'shi'hong'yan'zheng 仰视鸿雁征
'yang'yan'cao'mu'jian 仰偃草木间
'yang'zhu'qi'lu'qi 杨朱泣路岐
'yao'hua'xu'kan'de'jian'nan 要画须看得见难
'yao'shou'bu'yi'tian 夭寿不疑天
'yao'tian'liang'liang'sha'ou'qi 遥天两两沙鸥起
'yao'tiao'jiao'nuo'yu'yun'ping 窈窕娇娜与云平
'yao'wang'huang'chen'dao'zhong'ke 遥望黄尘道中客
'yao'yun'ya'wang'sai 妖云压亡塞
'ye'ji'xian'sheng'yi'ri'qiong 也济先生一日穷
'ye'shi'xu'sheng'zai'ren'shi 也是虚生在人世
'ye'zhong'si'qin 夜中思亲
'yi'bian'wen'zi'yi'lu'xiang 一编文字一炉香
'yi'chong'sheng'qing'si'zhi'ji 义重生轻死知己
'yi'cong'lou'ge'kong'jiang'shang 一丛楼阁空江上
'yi'gu'ge 怡古歌
'yi'nian'ge 一年歌
'yi'nian'san'bai'liu'shi'ri 一年三百六十日
'yi'nian'xi'suan'liang'chen'shao 一年细算良辰少
'yi'nian'yi'ban'wu'ren'sao 一年一半无人扫
'yi'nian'yi'du'mai'huang'cao 一年一度埋荒草
'yi'qu'pi'pa'lei'ru'ba 一曲琵琶泪如把
'yi'quan'yu'xie'qiu'lin'lang 一泉玉泻秋琳琅
'yi'ran'zun'yan'yu'qi'jian 怡然尊偃于其间
'yi'shang'yi'shang'you'yi'shang 一上一上又一上
'yi'shang'zhi'dao'gao'shan'shang 一上直到高山上
'yi'shi'ge 一世歌
'yi'shou'qing'ci 一首情词
'yi'shou'qing'shi 一首情诗
'yi'wu'xin'qu'wen'chan'ji 已无心去问禅机
'yi'you'shu'mei'huan'ke'kan 亦有疏梅唤客看
'yi'yun'jiang'shui'you'ju'lin 一云江水有巨鳞
'yi'yun'shen'shan'you'da'mu 一云深山有大木
'yi'zai'ping'di'yi'zai'tian 一在平地一在天
'yin'an'yu'le'dou'xiang'chen 银鞍玉勒斗香尘
'ying'xiong'cai'yan'bu'gan'dang 英雄才彦不敢当
'yong'huai'shi'er'shou 咏怀诗二首
'yong'mei'ci'yang'lian'fu'yun 咏梅次杨廉夫韵
'yong'yong'lu'lu'wo'he'qi 庸庸碌碌我何奇
'you'bian'jiu'zhou'dao'ren'bu'shi 游遍九州岛人不识
'you'bian'xi'hu'ye'ji'ming 游遍西湖夜继明
'you'jiu'yu'jun'zhen'zhuo'zhi 有酒与君斟酌之
'you'ke'ge'lin'jie'wen 有客隔林借问
'you'lai'ru'si 忧来如丝
'you'shi'yi'fan'chun'ji'le 又是一番春计了
'you'si'gu'yu'du 忧思固逾度
'you'xian'pao'que'si'lun'zuo 游仙抛却丝纶坐
'you'yan'tian'xia'wu'xiang'si 又言天下无相似
'you'you'cong'ma'qu 悠悠骢马驱
'you'you'shang'xin'bing'le'shi 又有赏心并乐事
'you'you'yan'shuang'yu'fan'nao 又有炎霜与烦恼
'you'zhai'tao'hua'mai'jiu'qian 又摘桃花卖酒钱
'you'zi'shang'han'ru 游子尚寒襦
'yu'chu'wu'qi 欲出无岐
'yu'da'li'hua'shen'bi'men 雨打梨花深闭门
'yu'ji'shi'nan'xu'yi'cai 欲济时难须异才
'yu'ji'you'xi'shi'ren'fei 渔矶犹昔世人非
'yu'jia'le 渔家乐
'yu'jin'wei'jian'cao'ban'ban 于今惟见草斑斑
'yu'ju'bu'neng 欲举不能
'yu'jun'tong'xin'fu'tong'de 与君同心复同德
'yu'qi'hu'cheng'bei 雨泣忽成悲
'yu'qiao'wen'da'ge 渔樵问答歌
'yu'weng'wen'zuo'chuan'tou'shui 渔翁稳作船头睡
'yu'weng'zhou'bo'dong'hai'bian 渔翁舟泊东海边
'yu'wo'shi'nian'wei'jiu'shi 与我十年为旧识
'yu'xiang'ying'cui'xiu 余香盈翠袖
'yu'yu'liang'lian'zi 郁郁梁楝姿
'yuan'ji'zhong'nan'shuo 怨极终难说
'yuan'jiang'pi'li 远将仳离
'yuan'lin'hao 园林好
'yuan'lin'ju'shi'yu'hua'cuan 园林俱是玉花攒
'yuan'zi'su'ying 缘子素缨
'yue'guang'lian'yan'dang'hu'guang 月光潋滟荡湖光
'yue'lai'gao 月来高
'yue'ming'qian'li'gu'ren'lai 月明千里故人来
'yue'xia'xiao'hun 月下销魂
'yue'yu'li'bai'an'neng'zhi 月与李白安能知
'yue'zai'qing'tian'ji'yuan'que 月在青天几圆缺
'yun'san'chu'feng'gao 云散楚峰高
'zai'shan'qing 在山清
'ze'zhong'you'shan'qi'shi'er 泽中有山七十二
'zhang'juan'lin'tai'jing'ru'he 张娟林态竟如何
'zhang'meng'jin'gai'liu'shui'shi 张梦晋改流水诗
'zhe'de'long'tou'feng'yi'shi 折得陇头逢驿使
'zhe'lai'dui'jing'bi'hong'zhuang 折来对镜比红妆
'zhe'zhong'chang'shi'er'lue'lue'su 这衷肠事儿略略诉
'zhen'ze'yan'shu'tu 震泽烟树图
'zheng'shi'yi'yu'qiu 整饰衣与裘
'zhi'chi'qing'ren'yuan 咫尺情人远
'zhi'jin'gao'yun'ren'you'chuan 至今高韵人犹传
'zhi'jin'yi'hen'liu'cang'bo 至今遗恨流沧波
'zhi'pa'lu'zu'lan'qiao 只怕路阻蓝桥
'zhi'rong'bu'ke'qi'lv'dao 只容逋客骑驴到
'zhi'shang'hua'kai'neng'ji'ri 枝上花开能几日
'zhi'wei'lian'chun'se 只为怜春色
'zhi'you'xiao'xian'bu'wei'yu 只有消闲不为鱼
'zhi'yu'qiu'a 止于丘阿
'zhi'zhi'zhu'zhu 踯踯躅躅
'zhong'chen'zhi'shi'zui'kan'bei 忠臣志士最堪悲
'zhong'jian'guang'yin'bu'duo'shi 中间光阴不多时
'zhong'jian'you'shen'kan'tu'hua 中间有甚堪图画
'zhong'ni'bei'zhi'bian 仲尼悲执鞭
'zhong'song'huang'hun'ji'bao'xiao 钟送黄昏鸡报晓
'zhong'you'hao'chuan'guo'yue'shui 中有昊船过越水
'zhong'you'meng'hu'chi'ren'rou 中有猛虎吃人肉
'zhou'chuan'ru'gang'wu'wei'dian 舟船入港无危颠
'zhou'geng'ye'du'gu'ren'shu 昼耕夜读古人书
'zhu'ding'ming'zhong'feng'jue'yi 铸鼎铭钟封爵邑
'zhu'jia'jian'bu'lu 朱家荐逋虏
'zhu'lian'shi'er'ying'e'mei 朱帘十二映娥眉
'zhu'lin'shen'chu'huan'xiao'ming 竹林深处唤小名
'zhu'ting'shang'huai'bao 伫听伤怀抱
'zhuang'zai'feng'yun'qi 壮哉风云气
'zhuang'zhi'zuo'shuai'lao 壮志坐衰老
'zhui'bu'ji 追不及
'zhun'xian'cao'cao 衠弦嘈嘈
'zi'kua'qing'lv'de'de'lai 自跨青驴得得来
'zi'wei'ci'le'neng'tong'xian 自谓此乐能通仙
'zui'lai'ju'zhan'lei'ming'yue 醉来举盏酹明月
'zui'shi'han'xiu'wu'na'yi 最是含羞无那意
'zui'shi'shi'ren'an'wen'chu 最是诗人安稳处
'zui'yan'mo'hu'chang'bu'xing 醉眼模糊长不醒
'zun'jiu'qian'chen 尊酒前陈
'zuo'chao'hua'sheng'jin'zhao'hao 昨朝花胜今朝好
'zuo'ye'hai'tang'chu'zhe'yu 昨夜海棠初着雨
'zuo'ye'si'jun 坐也思君
'zuo'you'xing'shang 左右行觞
