'an'leng'tie 暗冷铁
'qi'mi'xing 气密性
'qi'mo 起模
'qi'mo'ji 起模机
'qi'mo'shi'jian 起模时间
'qi'mo'xie'du 起模斜度
'qi'mo'xing 起模性
'qi'suo'kong 气缩孔
'qi'ta'te'zhong'zhu'zao 其他特种铸造
'qi'ying'sha 气硬砂
'qi'ying'shu'zhi'xi 气硬树脂系
'qian'chu'li 前处理
'qian'lu 前炉
'qian'qing'tong 铅青铜
'qian're'chu'li 潜热处理
'qiang'huo 呛火
'qiang'zhi'leng'que 强制冷却
'qiao'mo 敲模
'qie'xiao'zao'xing'fa 切削造型法
'qing'chan 清铲
'qing'li 清理
'qing'sha 清砂
'qing'sha'ji'qing'li 清砂及清理
'qing'tong 青铜
'qiu'hua'bu'liang 球化不良
'qiu'hua'chu'li 球化处理
'qiu'hua'ji 球化剂
'qiu'hua'lv 球化率
'qiu'hua'shuai'tui 球化衰退
'qiu'mo 球墨
'qiu'mo'ke'duan'zhu'tie 球墨可锻铸铁
'qiu'mo'shu 球墨数
'qiu'mo'zhu'tie 球墨铸铁
'qiu'tie 球铁
'qiu'zhuang'shi'mo 球状石墨
'qu'chu'jiao'mao'kou 去除浇冒口
'qu'mao'ci 去毛刺
'qu'xin'ji'gou 取芯机构
'qu'yang'hua'pi 去氧化皮
'qu'yu'rong'lian 区域熔炼
'que'xian'zhu'jian 缺陷铸件
're'bian'xing'xing'sha 热变形型砂
're'chu'li'lie'wen 热处理裂纹
're'feng'chong'tian'lu 热风冲天炉
're'gu'xing'shu'zhi'nian'jie'ji 热固性树脂粘结剂
're'jie 热节
're'lie 热裂
're'lie'qing'xiang'xing 热裂倾向性
're'mao'kou 热冒口
're'qi'liu'hong'sha'zhuang'zhi 热气流烘砂装置
're'qiang'du 热强度
're'sha 热砂
're'sha'leng'que'zhuang'zhi 热砂冷却装置
're'shi'la'qiang'du 热湿拉强度
're'shi'ya'zhu'ji 热室压铸机
're'su'xing'shu'zhi'nian'jie'ji 热塑性树脂粘结剂
're'xin'he'fa 热芯盒法
're'xin'he'sha 热芯盒砂
're'xing'lian'zhu 热型连铸
're'ying'li 热应力
're'ying'shu'zhi'sha 热硬树脂砂
're'ying'shu'zhi'xi 热硬树脂系
'ren'gong'sha 人工砂
'ren'zao'sha 人造砂
'rong'bu 熔补
'rong'chi 熔池
'rong'hua'dai 熔化带
'rong'hua'lv 熔化率
'rong'hua'qiang'du 熔化强度
'rong'ji 熔剂
'rong'lian 熔炼
'rong'lian'ji'ben'shu'yu 熔炼基本术语
'rong'lian'jiao'zhu 熔炼浇注
'rong'lian'sun'hao 熔炼损耗
'rong'mo 熔模
'rong'mo'ya'zhi 熔模压制
'rong'mo'zhu'zao 熔模铸造
'rong'rang'xing 容让性
'rong'sun 熔损
'rong'zha 熔渣
'ru'chong'zhuang'shi'mo 蠕虫状石墨
'ru'hua'chu'li 蠕化处理
'ru'hua'ji 蠕化剂
'ru'hua'lv 蠕化率
'ru'mo 蠕墨
'ru'mo'zhu'tie 蠕墨铸铁
'ru'tie 蠕铁
'sa'sha 撒砂
'sai'sha 塞砂
'san'jiao'shi'kuai 三角试块
'san'yi'an'leng'xin'he'fa 三乙胺冷芯盒法
'sha'chong 砂舂
'sha'chu'li 砂处理
'sha'chuang 砂床
'sha'gou 砂钩
'sha'leng'que 砂冷却
'sha'lun'ji 砂轮机
'sha'tie'bi 砂铁比
'sha'wan'fen'li'qi 砂丸分离器
'sha'wen'tiao'jie'qi 砂温调节器
'sha'xiang 砂箱
'sha'xiang'she'ji 砂箱设计
'sha'xin 砂芯
'sha'xin'fen'ji 砂芯分级
'sha'xin'jiao'he'ji 砂芯胶合剂
'sha'xin'mo'liang 砂芯磨量
'sha'xin'she'ji 砂芯设计
'sha'xin'ying'hua 砂芯硬化
'sha'xin'yu'zhuang 砂芯预装
'sha'xing 砂型
'sha'xing'hong'gan 砂型烘干
'sha'xing'tu'liao 砂型涂料
'sha'xing'xin'ying'du 砂型芯硬度
'sha'xing'zhu'jian 砂型铸件
'sha'xing'zhu'zao 砂型铸造
'sha'yan 砂眼
'shai'sha'ji 筛砂机
'shai'xi 筛析
'shang'xiang 上箱
'shang'xing 上型
'shao'sun 烧损
'she'xin'ji 射芯机
'she'ya'zao'xing 射压造型
'she'ya'zao'xing'ji 射压造型机
'shen'bu 渗补
'shen'liu'zhu'zao 渗流铸造
'shen'lou 渗漏
'shen'tan'ti 渗碳体
'shen'tou'zhan'sha 渗透粘砂
'shen'zhu 渗铸
'sheng'tie 生铁
'sheng'ye'guan 升液管
'shi'fa'qing'li 湿法清理
'shi'gao'mu 石膏模
'shi'gao'xing 石膏型
'shi'gao'xing'zhu'zao 石膏型铸造
'shi'hui'shi'sha 石灰石砂
'shi'la'zhu'zao 失蜡铸造
'shi'mo 失模
'shi'mo'cu'da 石墨粗大
'shi'mo'gang 石墨钢
'shi'mo'hua 石墨化
'shi'mo'hua'du 石墨化度
'shi'mo'hua'tui'huo 石墨化退火
'shi'mo'hua'yin'zi 石墨化因子
'shi'mo'ji'jie 石墨集结
'shi'mo'mian'ji'lv 石墨面积率
'shi'mo'piao'fu 石墨漂浮
'shi'mo'qiu'hua'chu'li 石墨球化处理
'shi'mo'qiu'shu 石墨球数
'shi'mo'ru'hua'chu'li 石墨蠕化处理
'shi'mo'xing 石墨型
'shi'mo'xing'sha 石墨型砂
'shi'mo'xing'zhu'zao 石墨型铸造
'shi'mo'zhu'zao 失模铸造
'shi'qiang'du 湿强度
'shi'sha'xing 湿砂型
'shi'ti'zao'xing 实体造型
'shi'tu'liao 施涂料
'shi'wu'zao'xing 实物造型
'shi'xing 湿型
'shi'xing'sha 湿型砂
'shi'xing'zhu'zao 实型铸造
'shi'ying'sha 石英砂
'shi'zhi'zhu'jian 试制铸件
'shi'zi'jiao'jie 十字交接
'shou'gong'zao'xing 手工造型
'shou'suo 收缩
'shou'suo'lie'wen 收缩裂纹
'shou'suo'que'xian 收缩缺陷
'shou'suo'ying'li 收缩应力
'shou'suo'yu'liang 收缩余量
'shou'zu'shou'suo 受阻收缩
'shu'liao'sha 熟料砂
'shu'song'xian'wei'suo'song 疏松显微缩松
'shu'wei 鼠尾
'shu'zhi'nian'jie'ji 树脂粘结剂
'shu'zhi'zi'ying'sha 树脂自硬砂
'shu'zhi'zi'ying'sha'hun'sha'ji 树脂自硬砂混砂机
'shua'shui 刷水
'shuang'chong'tou'ya'zhu 双冲头压铸
'shuang'jin'shu'fu'he'zhu'zao 双金属复合铸造
'shuang'jin'shu'li'xin'zhu'zao 双金属离心铸造
'shuang'jin'shu'zhu'zao 双金属铸造
'shuang'lian'rong'lian 双联熔炼
'shuang'mian'mu'ban 双面模板
'shui'bao'qing'sha 水爆清砂
'shui'bi 水笔
'shui'bo'li'bo'mei'nong'du 水玻璃波美浓度
'shui'bo'li'mo'shu 水玻璃模数
'shui'bo'li'nian'jie'ji 水玻璃粘结剂
'shui'bo'li'sha 水玻璃砂
'shui'fen'ning'ju'qu 水分凝聚区
'shui'ji'tu'liao 水基涂料
'shui'leng'chong'tian'lu 水冷冲天炉
'shui'leng're'feng'wu'lu'chen'chong'tian'lu 水冷热风无炉衬冲天炉
'shui'li'qing'sha 水力清砂
'shui'ni'sha 水泥砂
'shui'ping'fen'xing'tuo'xiang'zao'xing'ji 水平分型脱箱造型机
'shui'ping'lian'zhu'ji 水平连铸机
'shui'sha'qing'sha 水砂清砂
'shui'xi'sha 水洗砂
'shun'shi'yun'yu 瞬时孕育
'shun'xu'ning'gu 顺序凝固
'song'feng'qiang'du 送风强度
'song'feng'ya'li 送风压力
'song'feng'yu're'qi 送风预热器
'song'san'mi'du'xing'sha 松散密度型砂
'song'sha 松砂
'song'sha'ji 松砂机
'su'liao'mo 塑料模
'suan'hao'zhi 酸耗值
'suan'xing'chong'tian'lu 酸性冲天炉
'suan'xing'dian'hu'lu 酸性电弧炉
'suan'xing'lu'chen 酸性炉衬
'suan'xing'zha 酸性渣
'sui'liu'yun'yu 随流孕育
'sui'tie'ji 碎铁机
'sun'shang 损伤
'suo'chen 缩沉
'suo'chi 缩尺
'suo'chi'bu'fu 缩尺不符
'suo'kong 缩孔
'suo'lie 缩裂
'suo'qian'peng'zhang 缩前膨胀
'suo'shi'ti'zhu'tie 索氏体铸铁
'suo'song 缩松
'suo'xian 缩陷
'suo'xing 锁型
'suo'xing'ji'gou 锁型机构
'suo'xing'li 锁型力
'tai'he'jin 钛合金
'tai'xiang 抬箱
'tai'xing 抬型
'tan'dang'liang 碳当量
'tan'dang'liang'yi 碳当量仪
'tan'hua'wu 碳化物
'tan'hua'wu'xing'cheng'yuan'su 碳化物形成元素
'tan'kai'xi'shu 摊开系数
'tan'li'sha 炭粒砂
'tan'liu 坍流
'tao'ci'xin 陶瓷芯
'tao'ci'xing'ke 陶瓷型壳
'tao'ci'xing'xin 陶瓷型芯
'tao'ci'xing'zhi'zao 陶瓷型制造
'tao'ci'xing'zhu'zao 陶瓷型铸造
'tao'xiang 套箱
'tao'xiao 套销
'te'zhong'zhu'tie 特种铸铁
'te'zhong'zhu'zao 特种铸造
'ti'gou 提钩
'tian'bu 填补
'tian'chong'sha 填充砂
'tian'ran'nian'tu'sha 天然粘土砂
'tian'ran'sha 天然砂
'tian'ran'xing'sha 天然型砂
'tian'sha 填砂
'tian'sha'kuang 填砂框
'tiao'yun'sha 调匀砂
'tie'he'jin 铁合金
'tie'ji'zhu'zao'gao'wen'he'jin 铁基铸造高温合金
'tie'jiao'bi 铁焦比
'tie'su'ti'ke'duan'zhu'tie 铁素体可锻铸铁
'tie'su'ti'zhu'gang 铁素体铸钢
'tie'su'ti'zhu'tie 铁素体铸铁
'tie'tan'xiang'tu 铁碳相图
'tong'qi'la'xian 通气蜡线
'tong'qi'sheng 通气绳
'tong'qi'zhen 通气针
'tong'shi'ning'gu 同时凝固
'tong'xiang'ji 捅箱机
'tong'xing'ji 捅型机
'tou'qi'sha'xin 透气砂芯
'tou'qi'xing 透气性
'tu'liao'jie'ba 涂料结疤
'tu'liao'zha'kong 涂料渣孔
'tu'shua'xing 涂刷性
'tuan'xu'shi'mo 团絮石墨
'tui'rang'xing 退让性
'tuo'la 脱蜡
'tuo'lin 脱磷
'tuo'liu 脱硫
'tuo'liu'ji 脱硫剂
'tuo'luo'shi'xin'he 脱落式芯盒
'tuo'mo'ji 脱模剂
'tuo'shi'song'feng 脱湿送风
'tuo'tan 脱碳
'tuo'xiang 脱箱
'tuo'xiang'zao'xing 脱箱造型
'tuo'xin 脱芯
'tuo'yang 脱氧
'tuo'yang'ji 脱氧剂
'wai'jiao'kou 外浇口
'wai'leng'tie 外冷铁
'wai'shen'dou 外渗豆
'wai'shen'wu 外渗物
'wai'sheng'jia'za'wu 外生夹杂物
'wai'sheng'sheng'zhang 外生生长
'wan'xing'hun'sha'ji 碗形混砂机
'wang'ge'pou'fen 网格剖分
'wang'zhuang'hua'wen 网状花纹
'wang'zhuang'lie'wen 网状裂纹
'wei'fen'han'liang 微粉含量
'wei'guan'pian'xi 微观偏析
'wei'hong'gan 未烘干
'wei'jiao'man 未浇满
'wei'liang'he'jin'hua'zhu'gang 微量合金化铸钢
'wei'si'fa 喂丝法
'wei'xian'fa 喂线法
'wei'zhen'ya'shi'zao'xing 微振压实造型
'wei'zhen'ya'shi'zao'xing'ji 微振压实造型机
'wen'xin'he'fa 温芯盒法
'wo'shi'li'xin'zhu'zao'ji 卧式离心铸造机
'wo'shi'ya'zhu'ji 卧式压铸机
'wu'ci'xing'zhu'gang 无磁性铸钢
'wu'ji'nian'jie'ji 无机粘结剂
'wu'jiao'chong'tian'lu 无焦冲天炉
'wu'li'li'xue'xing'neng'bu'he'ge 物理力学性能不合格
'wu'pian'xi'ning'gu 无偏析凝固
'wu'rong'zhi'zai'fen'pei'ning'gu 无溶质再分配凝固
'wu'xiang'zao'xing 无箱造型
'wu'yu'liang'jing'mi'zhu'zao 无余量精密铸造
'xi'dou 锡豆
'xi'jing'zhu'zao 细晶铸造
'xi'lan'liang'shi'yan 吸蓝量试验
'xi'qi'jin'shu 吸气金属
'xi'qing'tong 锡青铜
'xi'shi'xing 吸湿性
'xi'tan 吸碳
'xia'xiang 下箱
'xia'xin 下芯
'xia'xin'jia'ju 下芯夹具
'xia'xin'liang'ju 下芯量具
'xia'xing 下型
'xiang'bian'dian 相变点
'xiang'bian'ying'li 相变应力
'xiang'dai'xiang'dang 箱带箱挡
'xiang'zhu 镶铸
'xiao'ping'mian'xing'sheng'zhang 小平面型生长
'xiao'shi'mo'qi'hua'mo 消失模气化模
'xiao'shi'mo'zhu'zao 消失模铸造
'xin'cheng 芯撑
'xin'dang'liang 锌当量
'xin'gu 芯骨
'xin'he 芯盒
'xin'he'she'ji 芯盒设计
'xin'he'tu 芯盒图
'xin'sha 芯砂
'xin'tou 芯头
'xin'tou'jian'xi 芯头间隙
'xin'tou'xie'du 芯头斜度
'xin'zi 芯子
'xin'zuo 芯座
'xing'bi'yi'dong 型壁移动
'xing'he'cheng'he 形核成核
'xing'he'ji 形核剂
'xing'he'lv 形核率
'xing'jiao'jie 形交接
'xing'ke 型壳
'xing'leng'shi'jian 型冷时间
'xing'lie 型裂
'xing'lou 型漏
'xing'nei'bian'zhi 型内变质
'xing'nei'guo'lv 型内过滤
'xing'nei'he'jin'hua 型内合金化
'xing'nei'qiu'hua 型内球化
'xing'nei'yun'yu 型内孕育
'xing'qiang 型腔
'xing'sha'fu'jia'wu 型砂附加物
'xing'sha'gao'wen'shi'yan 型砂高温试验
'xing'sha'he'xin'sha 型砂和芯砂
'xing'sha'nai'huo'du 型砂耐火度
'xing'sha'peng'zhang'shi'yan 型砂膨胀试验
'xing'sha'qiang'du 型砂强度
'xing'sha'que'xian'qing'xiang 型砂缺陷倾向
'xing'sha'ren'xing 型砂韧性
'xing'sha'shi'yan 型砂试验
'xing'sha'shi'yan'yi 型砂试验仪
'xing'sha'shi'yang 型砂试样
'xing'sha'shui'fen'kong'zhi'zhuang'zhi 型砂水分控制装置
'xing'sha'suan'jian'du'zhi 型砂酸碱度值
'xing'sha'xing'neng 型砂性能
'xing'sha'zao'xing'hun'he'liao 型砂造型混合料
'xing'sha'zhi'bei 型砂制备
'xing'sha'zhi'liang'kong'zhi 型砂质量控制
'xing'xin 型芯
'xing'xin'cheng 型芯撑
'xing'xin'jia'ju 型芯夹具
'xing'xin'xia'chen 型芯下沉
'xing'zhuang'bu'he'ge 形状不合格
'xing'zhuang'ji'zhong'liang'cha'cuo'lei'que'xian 形状及重量差错类缺陷
'xiu'xing 修型
'xiu'xing'gong'ju 修型工具
'xu'tuan'zhuang'shi'mo'tui'huo'tan 絮团状石墨退火碳
'xuan'fu'ji 悬浮剂
'xuan'fu'jiao'zhu 悬浮浇注
'xuan'fu'rong'lian 悬浮熔炼
'xuan'fu'zhu'zao 悬浮铸造
'xuan'zhu'fa 旋铸法
'ya'bian'jiao'kou 压边浇口
'ya'gong'jing'he'jin 亚共晶合金
'ya'gong'jing'lv'gui'he'jin 亚共晶铝硅合金
'ya'gong'jing'zhu'tie 亚共晶铸铁
'ya'la'ji 压蜡机
'ya'li'mao'kou 压力冒口
'ya'li'zhu'zao 压力铸造
'ya'sai 压塞
'ya'she 压射
'ya'she'bi'ya 压射比压
'ya'she'chong'tou 压射冲头
'ya'she'ji'gou 压射机构
'ya'she'su'du 压射速度
'ya'she'zhu'sai 压射柱塞
'ya'shi 压实
'ya'shi'ya'she'shi 压室压射室
'ya'shi'zao'xing'ji 压实造型机
'ya'tie 压铁
'ya'xing 压型
'ya'yang'tuo'tan'fa 氩氧脱碳法
'ya'zhu 压铸
'ya'zhu'he'jin 压铸合金
'ya'zhu'ji 压铸机
'ya'zhu'lv'he'jin 压铸铝合金
'ya'zhu'mei'he'jin 压铸镁合金
'ya'zhu'tong'he'jin 压铸铜合金
'ya'zhu'tu'liao 压铸涂料
'ya'zhu'xin'he'jin 压铸锌合金
'ya'zhu'xing 压铸型
'yan'mo 盐模
'yan'xiang 验箱
'yan'xing 验型
'yang'fu'li'zi'ying'hua'leng'xin'he'fa 氧负离子硬化冷芯盒法
'yang'hua'qi 氧化期
'yang'hua'qi'fen 氧化气氛
'yang'hua'rong'lian'fa 氧化熔炼法
'yang'hua'zha 氧化渣
'yao'bao 摇包
'ye'gu'shou'suo 液固收缩
'ye'tai'shou'suo 液态收缩
'ye'ti'pen'sha'ji 液体喷砂机
'yi'ge'mao'kou 易割冒口
'yi'ge'pian 易割片
'yi'liu'cao 溢流槽
'yi'lu 一炉
'yi'pi 一批
'yin'hen 印痕
'ying'dian 硬点
'ying'hua'gu'hua 硬化固化
'ying'hua'shi'jian 硬化时间
'ying'hua'wen'du 硬化温度
'yong'jiu'xing 永久型
'you'ji'nian'jie'ji 有机粘结剂
'you'ji'peng'run'tu 有机膨润土
'you'ji'zhi 有机酯
'you'lei'nian'jie'ji 油类粘结剂
'you'li'ben'fen'han'liang 游离苯酚含量
'you'li'jia'quan'han'liang 游离甲醛含量
'you'li'tan 游离碳
'you'sha 油砂
'you'sha'xin 油砂芯
'you'xiang'zao'xing 有箱造型
'you'xiao'bu'suo'ju'li 有效补缩距离
'you'xiao'gao'du 有效高度
'you'xiao'nian'tu 有效粘土
'you'xiao'peng'run'tu'liang 有效膨润土量
'yu'hun 预混
'yu'jin'shi 预紧实
'yu'liao 余料
'yu'lin'shi'jiao'zhu'xi'tong 雨淋式浇注系统
'yu're'song'feng 预热送风
'yu'zhi'xin 预置芯
'yuan'jiao 圆角
'yuan'sha 原砂
'yuan'sha'ca'xi'ji 原砂擦洗机
'yuan'sha'ke'li'chi'cun 原砂颗粒尺寸
'yuan'sha'ke'li'fen'bu 原砂颗粒分布
'yuan'sha'ke'li'xing'zhuang 原砂颗粒形状
'yuan'sha'li'du 原砂粒度
'yuan'sha'shi'yan 原砂试验
'yuan'sha'xi'du 原砂细度
'yuan'sha'xin'sha 原砂新砂
'yuan'su'shao'sun 元素烧损
'yuan'su'zeng'jia 元素增加
'yun'yu 孕育
'yun'yu'bu'liang 孕育不良
'yun'yu'ji 孕育剂
'yun'yu'qi 孕育期
'yun'yu'shuai'tui 孕育衰退
'yun'yu'zhu'tie 孕育铸铁
'za'zhi'yuan'su 杂质元素
'zai'sheng'sha 再生砂
'zao'xin'ji 造芯机
'zao'xing 造型
'zao'xing'cai'liao 造型材料
'zao'xing'gong'ju 造型工具
'zao'xing'ji 造型机
'zao'xing'sheng'chan'xian'fu'ji 造型生产线辅机
'zao'xing'xian 造型线
'zao'xing'xian'fu'zhu'she'bei 造型线辅助设备
'zao'xing'yu'liang 造型余量
'zao'zha 造渣
'zeng'tan 增碳
'zeng'tan'ji 增碳剂
'zeng'ya 增压
'zha'qi'kong 渣气孔
'zha'you'nian'jie'ji 渣油粘结剂
'zhan'mo 粘模
'zhan'mo'xing 粘模性
'zhan'sha 粘砂
'zhan'xing 粘型
'zhang'sha 胀砂
'zhen'dong'shu'song'ji 振动输送机
'zhen'dong'tai 振动台
'zhen'dong'zhu'zao 振动铸造
'zhen'ji'tai 震击台
'zhen'kong 针孔
'zhen'kong'chu'qi 真空除气
'zhen'kong'jiao'zhu 真空浇注
'zhen'kong'jing'lian 真空精炼
'zhen'kong'mi'feng'zao'xing'fa'zao'xing 真空密封造型法造型
'zhen'kong'rong'lian 真空熔炼
'zhen'kong'xi'zhu 真空吸铸
'zhen'kong'ya'zhu 真空压铸
'zhen'kong'zhi'huan'ying'hua'fa 真空置换硬化法
'zhen'kong'zhu'zao 真空铸造
'zhen'kong'zi'hao'dian'hu'zhong'rong 真空自耗电弧重熔
'zhen'shi 震实
'zhen'shi'tai 震实台
'zhen'shi'zao'xing'ji 震实造型机
'zhen'ya'zao'xing'ji 震压造型机
'zhen'zhuang'zhu'tie 针状铸铁
'zheng'pian'xi 正偏析
'zheng'ti'mo 整体模
'zhi'gu'hua'jian'xing'fen'quan'shu'zhi'zi'ying'sha 酯固化碱性酚醛树脂自硬砂
'zhi'jiao'dao 直浇道
'zhi'jiao'dao'wo 直浇道窝
'zhi'jing'pian'xi 枝晶偏析
'zhi'xin 制芯
'zhi'xin'ji 制芯机
'zhi'xin'zao'xin 制芯造芯
'zhi'ying'shui'bo'li'sha 酯硬水玻璃砂
'zhong'gui'qiu'mo'zhu'tie 中硅球墨铸铁
'zhong'gui'zhu'tie 中硅铸铁
'zhong'jian'he'jin 中间合金
'zhong'li'pian'xi 重力偏析
'zhong'li'xi'shu 重力系数
'zhong'li'yin'shu 重力因数
'zhong'meng'qiu'mo'zhu'tie 中锰球墨铸铁
'zhong'pi 重皮
'zhong'rong 重熔
'zhong'zhu'shi'jiao'zhu'xi'tong 中注式浇注系统
'zhou'cheng'he'jin 轴承合金
'zhou'jie'shang 周界商
'zhou'pi 皱皮
'zhu'ding 铸锭
'zhu'gang 铸钢
'zhu'gang'rong'lian 铸钢熔炼
'zhu'gong 铸工
'zhu'guang'ti'ke'duan'zhu'tie 珠光体可锻铸铁
'zhu'guang'ti'zhu'tie 珠光体铸铁
'zhu'han 铸焊
'zhu'he'jie'gou 铸合结构
'zhu'jian 铸件
'zhu'jian'ben'ti'xing'neng 铸件本体性能
'zhu'jian'bian'xing 铸件变形
'zhu'jian'cheng'pin'lv 铸件成品率
'zhu'jian'chi'cun'gong'cha 铸件尺寸公差
'zhu'jian'chi'cun'wen'ding'xing 铸件尺寸稳定性
'zhu'jian'chu'pin'lv 铸件出品率
'zhu'jian'fei'pin'lv 铸件废品率
'zhu'jian'gong'cheng'zhong'liang 铸件公称重量
'zhu'jian'he'ge'pin'lv 铸件合格品率
'zhu'jian'hou'chu'li 铸件后处理
'zhu'jian'ji'xie'jia'gong'yu'liang 铸件机械加工余量
'zhu'jian'ji'zhun'mian 铸件基准面
'zhu'jian'jian'yan 铸件检验
'zhu'jian'ke'kao'xing 铸件可靠性
'zhu'jian'nei'zai'zhi'liang 铸件内在质量
'zhu'jian'ning'gu'shu'zhi'mo'ni 铸件凝固数值模拟
'zhu'jian'que'xian 铸件缺陷
'zhu'jian'she'ji 铸件设计
'zhu'jian'shi'yong'xing'neng 铸件使用性能
'zhu'jian'tu 铸件图
'zhu'jian'wai'guan'zhi'liang 铸件外观质量
'zhu'jian'xian'shou'suo'lv 铸件线收缩率
'zhu'jian'xiu'bu 铸件修补
'zhu'jian'zhi'liang 铸件质量
'zhu'jian'zhi'liang'fen'ji 铸件质量分级
'zhu'jian'zhi'liang'fen'xi 铸件质量分析
'zhu'jian'zhi'liang'jian'ce'yi 铸件质量检测仪
'zhu'jian'zhong'liang'bu'he'ge 铸件重量不合格
'zhu'jian'zhong'liang'gong'cha 铸件重量公差
'zhu'jian'zhong'liang'pian'cha 铸件重量偏差
'zhu'jin 铸筋
'zhu'keng 铸坑
'zhu'lei 铸肋
'zhu'tai'ma'kou 铸态麻口
'zhu'tai'zhu'jian 铸态铸件
'zhu'tai'zu'zhi 铸态组织
'zhu'tie 铸铁
'zhu'tie'jing'hua 铸铁净化
'zhu'tie'rong'lian 铸铁熔炼
'zhu'tie'shi'mo'xing'tai 铸铁石墨形态
'zhu'xing 铸型
'zhu'xing'shu'song'ji 铸型输送机
'zhu'xing'tu'liao 铸型涂料
'zhu'xing'zhuang'pei'tu 铸型装配图
'zhu'zao 铸造
'zhu'zao'biao'mian'cu'cao'du 铸造表面粗糙度
'zhu'zao'biao'mian'cu'cao'du'bi'jiao'yang'kuai 铸造表面粗糙度比较样块
'zhu'zao'chang 铸造厂
'zhu'zao'che'jian 铸造车间
'zhu'zao'che'jian'yun'shu'she'bei 铸造车间运输设备
'zhu'zao'fei'tie'he'jin 铸造非铁合金
'zhu'zao'fen'chang 铸造分厂
'zhu'zao'fu'he'cai'liao 铸造复合材料
'zhu'zao'gao'wen'he'jin 铸造高温合金
'zhu'zao'gong'yi 铸造工艺
'zhu'zao'gong'yi'cai'liao 铸造工艺材料
'zhu'zao'gong'yi'ka 铸造工艺卡
'zhu'zao'gong'yi'she'ji 铸造工艺设计
'zhu'zao'gong'yi'tu 铸造工艺图
'zhu'zao'gong'yi'zhuang'bei 铸造工艺装备
'zhu'zao'gong'yi'zhuang'bei'she'ji 铸造工艺装备设计
'zhu'zao'gong'yi'zhun'bei 铸造工艺准备
'zhu'zao'gong'zuo'zhe 铸造工作者
'zhu'zao'he'jin 铸造合金
'zhu'zao'he'jin'gang 铸造合金钢
'zhu'zao'huang'tong 铸造黄铜
'zhu'zao'jiao 铸造焦
'zhu'zao'jiao'tan 铸造焦炭
'zhu'zao'lv'he'jin 铸造铝合金
'zhu'zao'mao'lian'gang 铸造锚链钢
'zhu'zao'mei'he'jin 铸造镁合金
'zhu'zao'san'fei 铸造三废
'zhu'zao'she'bei 铸造设备
'zhu'zao'sheng'tie 铸造生铁
'zhu'zao'tan'gang 铸造碳钢
'zhu'zao'tong'ge'he'jin 铸造铜铬合金
'zhu'zao'tong'he'jin 铸造铜合金
'zhu'zao'xin'he'jin 铸造锌合金
'zhu'zao'xing'neng 铸造性能
'zhu'zao'ying'li 铸造应力
'zhu'zao'yong'biao'zhun'shai 铸造用标准筛
'zhu'zao'yong'cai'liao 铸造用材料
'zhu'zao'yong'sha 铸造用砂
'zhu'zao'yong'shu'zhi 铸造用树脂
'zhu'zao'you'se'he'jin 铸造有色合金
'zhuan'yun'bao 转运包
'zi'dong'jiao'zhu'ji 自动浇注机
'zi'dong'jiao'zhu'zhuang'zhi 自动浇注装置
'zi'fa'xing'he 自发形核
'zi'gan'tu'liao 自干涂料
'zi'ying'nian'jie'ji 自硬粘结剂
'zi'ying'sha 自硬砂
'zi'ying'sha'zao'xing 自硬砂造型
'zi'ying'shu'zhi'xi 自硬树脂系
'zi'you'shou'suo 自由收缩
'zi'you'xian'shou'suo'lv 自由线收缩率
'zong'tan'liang 总碳量
'zu'ai'shi'mo'hua'yuan'su 阻碍石墨化元素
'zu'he'mu'ban 组合模板
'zu'he'sha'xiang 组合砂箱
'zu'liu'jiao'zhu'xi'tong 阻流浇注系统
'zu'liu'jie'mian 阻流截面
'zu'mo 祖模
'zu'xin'zao'xing 组芯造型
'zu'zhi'cu'da 组织粗大
