'ye'ceng'xian'shi'dong'huang 也曾先识东皇
'ye'chuan'chuang'fei'chu'guang'mang 夜穿窗扉出光芒
'ye'gui'ji'xue'man'diao'qiu 夜归急雪满貂裘
'ye'lan'wo'ting'feng'chui'yu 夜阑卧听风吹雨
'ye'you'gong 夜游宫
'yi'bao'zheng'zi'jian 一饱正自艰
'yi'gan'feng'yue 一竿风月
'yi'ge'piao'ling'shen'shi 一个飘零身世
'yi'hen'an'nan'shou 遗恨黯难收
'yi'hu'ying'gu'lei 忆呼鹰古垒
'yi'huai'chou'xu 一怀愁绪
'yi'jiang'li'hen'qia'ping'fen 一江离恨恰平分
'yi'ju'ding'ning'jun'ji'qu 一句丁宁君记取
'yi'lu'li'hua'chu'chu'kai 驿路梨花处处开
'yi'mao'chong'wu'shi 乙卯重五诗
'yi'min'lei'jin'hu'chen'li 遗民泪尽胡尘里
'yi'min'ren'si'wang'hui'fu 遗民忍死望恢复
'yi'pian'dan'xin'bao'tian'zi 一片丹心报天子
'yi'qi'xiang'qi'gong'sheng'si 意气相期共生死
'yi'ren'qun'fang'du 一任群芳妒
'yi'shang'zheng'chen'za'jiu'hen 衣上征尘杂酒痕
'yi'shen'bao'guo'you'wan'si 一身报国有万死
'yi'shi'cai'qi'chao'ran 一时才气超然
'yi'shi'huang'hun'du'zi'chou 已是黄昏独自愁
'yi'shu'mei'hua'yi'fang'weng 一树梅花一放翁
'yi'suo'yan'yu 一蓑烟雨
'yi'wai'duan'qiao'bian 驿外断桥边
'yi'xiao'xiang'bei'pan 一笑向杯盘
'yi'ye'qing'shuang 一夜清霜
'ying'dai'ren'lai 应待人来
'ying'wu'bei'shen'jun'mo'su 鹦鹉杯深君莫诉
'yong'diao'ge'xi'shu 拥雕戈西戍
'you'cheng'xu'du 又成虚度
'you'diao'yi'zong'yi'xuan'ran 犹吊遗踪一泫然
'you'fen'zhang'xun'jiao'chi'kong 忧愤张巡嚼齿空
'you'gu'na'kan'geng'bei'zhi 幽谷那堪更北枝
'you'ji'qing'ming'ke'dao'jia 犹及清明可到家
'you'jian'shen'zhi'fei'qu 又拣深枝飞去
'you'ju'chu'xia 幽居初夏
'you'ke'ying'tou'er'wan'yan 犹课蝇头二万言
'you'qi'liao'ru'jin'yu'ci'shen 又岂料如今馀此身
'you'shan'xi'cun 游山西村
'you'shui'zhi 有谁知
'you'yu'weng'gong'zui 有渔翁共醉
'you'zi'bu'ru'shao'nian'chang 幽姿不入少年场
'yu'bao'yu'xian'wu 雨暴欲掀屋
'yu'dian'duo'che'zhou 雨点堕车轴
'yu'jian'diao'gong 羽箭雕弓
'yu'miao'lan'ting'jin'gu'lu 禹庙兰亭今古路
'yu'shu'lao'yan'wu'gao'chu 欲舒老眼无高处
'yu'yu'xi'shui'lue'di'ping 雨余溪水掠堤平
'yuan'ji'xin'ji'duan'jin 鸳机新寄断锦
'yuan'shu'shi'nian'lin'de'bo 远戍十年临的博
'yuan'xi'deng'shan 元夕灯山
'yuan'you'wu'chu'bu'xiao'hun 远游无处不消魂
'yuan'zhi'zao'wu'xin'chang'bie 元知造物心肠别
'yue'xie'chuang'zhi 月斜窗纸
'zai'guo'liao'tian 再过辽天
'zai'jiu'yuan'lin 载酒园林
'zha'xue'qing'you'lin 乍雪晴犹凛
'zhan'duan'ping'zhou'yan'yu 占断苹洲烟雨
'zhang'fu'wu'shi'gong'wei'li 丈夫五十功未立
'zhe'gu'tian 鹧鸪天
'zhe'hui'shu'fang 遮回疏放
'zhen'can'yu'xie'xing'chuan'zhu 斟残玉瀣行穿竹
'zhen'chu'qiao'can'shen'xiang'yue 砧杵敲残深巷月
'zhen'yun'gao 阵云高
'zheng'shi'ceng'bing'ji'xue'shi 正是层冰积雪时
'zhi'he'shi'dong'shi 知何时东逝
'zhi'jiang'yu'diao'song'nian'hua 只将渔钓送年华
'zhi'nan'cheng 志难城
'zhi'ping'tian'di'jian'gu'zhong 只凭天地鉴孤忠
'zhi'shang'de'lai'zhong'jue'qian 纸上得来终觉浅
'zhi'you'xiang'ru'gu 只有香如故
'zhi'yuan'ba'hu'xie'feng'ming 纸鸢跋扈挟风鸣
'zhong'dao'gu'xiang'jiao'jiu'shao 重到故乡交旧少
'zhong'xing'she'ling'ji'feng'lei 中兴赦令疾风雷
'zhong'yuan'gan'ge'gu'yi'wen 中原干戈古亦闻
'zhu'jun'he'zhi'qi'xin'ting 诸君何至泣新亭
'zhu'ma'liang'qiang'chong'nao'qu 竹马踉蹡冲淖去
'zhu'men'chen'chen'an'ge'wu 朱门沉沉按歌舞
'zhu'men'na'gan'kai 拄门那敢开
'zhu'yan'qing'bin 朱颜青鬓
'zhu'zhang'wu'shi'ye'kou'men 拄杖无时夜叩门
'zhuang'sui'cong'rong 壮岁从戎
'zhuang'tu'wan'li'zhan'gao'lan 壮图万里战皋兰
'zhuang'xin'wei'yu'nian'ju'lao 壮心未与年俱老
'zhuang'zhi'bing'lai'xiao'yu'jin 壮志病来消欲尽
'zi'chao 自嘲
'zi'lai'duo'wu 自来多误
'zi'xu'feng'hou'zai'wan'li 自许封侯在万里
'zong'bao'fen'liang'ji 粽包分两髻
'zong'you'chu'duo'wu'qiang 纵有楚柁吴樯
'zui'lai'yi'qi'shang'xuan'ang 醉来意气尚轩昂
'zui'nong'pian'zhou 醉弄扁舟
'zui'shu'gu'xu'zhou 最数古徐州
'zuo'ge'xian'ren'yang 作个闲人样
