'ai'jiang'tou 哀江头
'dou'jiu'shi'qian'zi'huan'xue 斗酒十千恣欢谑
'du'ba'lei'zhan'jin 读罢泪沾襟
'du'chu'guan'shi 独出冠时
'du'chuang'ran'er'ti'xia 独怆然而涕下
'du'diao'han'jiang'xue 独钓寒江雪
'du'fu 杜甫
'du'han'jiang 渡汉江
'du'hu'tie'yi'leng'you'zhu 都护铁衣冷犹著
'du'jing'men'song'bie 渡荆门送别
'du'li'san'bian'jing 独立三边静
'du'li'yang'xin'ling 独立扬新令
'du'lian'you'cao'jian'bian'sheng 独怜幽草涧边生
'du'liu'qing'zhong'xiang'huang'hun 独留青冢向黄昏
'du'mu 杜牧
'du'qiao'chu'ye'qing 独敲初夜磬
'du'shen'yan 杜审言
'du'sheng'ma'ti'xia 赌胜马蹄下
'du'shu'lin'jiang'ye'bo'chuan 独戍临江夜泊船
'du'su'jiang'cheng'la'ju'can 独宿江城蜡炬残
'du'tou'yu'luo'ri 渡头馀落日
'du'xun'he 杜荀鹤
'du'ye'yi'qin'guan 独夜忆秦关
'du'you'feng'huang'chi'shang'ke 独有凤凰池上客
'du'you'huan'you'ren 独有宦游人
'du'yuan'jing'men'wai 渡远荆门外
'du'zai'yi'xiang'wei'yi'ke 独在异乡为异客
'du'zhuo'wu'xiang'qin 独酌无相亲
'du'zuo'you'huang'li 独坐幽篁里
'duan'ju'chi'sheng'ming 端居耻圣明
'duan'jue'hu'er'lian'mu'sheng 断绝胡儿恋母声
'duan'wu'xiao'xi'shi'liu'hong 断无消息石榴红
'duan'yan'jing'chou'mian 断雁警愁眠
'dui'ci'jie'zhong'chang 对此结中肠
'dui'ci'ke'yi'han'gao'lou 对此可以酣高楼
'dui'ci'ru'he'bu'lei'chui 对此如何不泪垂
'dui'ci'ti'lei'shuang'pang'tuo 对此涕泪双滂沱
'dui'ci'yu'dao'dong'nan'qing 对此欲倒东南倾
'dui'qi'pei'xie'fu 对棋陪谢傅
'dui'ying'cheng'san'ren 对影成三人
'duo'bing'gu'ren'shu 多病故人疏
'duo'nan'shi'jun'chi 多难识君迟
'e'mei'shan'xia'shao'ren'xing 峨嵋山下少人行
'er'bei'ku'wu'shi 尔辈苦无恃
'er'lai'si'wan'ba'qian'sui 尔来四万八千岁
'er'ling'feng'yu'zi'dong'lai 二陵风雨自东来
'er'nv'gong'zhan'jin 儿女共沾巾
'er'nv'hu'cheng'xing 儿女忽成行
'er'ting 而听
'er'tong'xiang'jian'bu'xiang'shi 儿童相见不相识
'er'wang'lai'zhe 而往来者
'er'ya'bian'po'wu'wei'yi 二雅褊迫无委蛇
'er'yue'huang'li'fei'shang'lin 二月黄鹂飞上林
'fa'sheng'you'xi 发声幽息
'fan'fan'ru'yan'wu 泛泛入烟雾
'fan'han'duan'xiao'xi 蕃汉断消息
'fan'jing'ru'shen'lin 返景入深林
'fan'jun'zui'xiang'jing 烦君最相警
'fan'ke'jin'xiao'san 烦疴近消散
'fan'liu'bai'yi'shi'liu'yan 凡六百一十六言
'fan'qing'si'ci'shui 蕃情似此水
'fan'shen'xiang'tian'yang'she'yun 翻身向天仰射云
'fan'shi'sheng'nv'hao 反是生女好
'fan'xing'su'gu'guan 繁星宿故关
'fan'yi'meng'li'feng 翻疑梦里逢
'fang'cao'qi'qi'ying'wu'zhou 芳草萋萋鹦鹉洲
'fang'cao'yi'yun'mu 芳草已云暮
'fang'jin'tai'ping'ri'wu'shi 方今太平日无事
'fang'jiu'ban'wei'gui 访旧半为鬼
'fang'xin'xiang'chun'jin 芳心向春尽
'fang'zhi'da'fan'di 方知大蕃地
'fei'cui'qin'han'shui'yu'gong 翡翠衾寒谁与共
'fei'niao'mei'he'chu 飞鸟没何处
'fei'shen'li'zi'ge 飞沈理自隔
'fei'tuan'pu'liu'zheng'xuan'wu'shi 飞湍瀑流争喧兀豕
'fei'wei'wen'mo 非谓文墨
'fen'cao'she'fu'la'deng'hong 分曹射覆蜡灯红
'fen'cao'xian'zi'wei 分曹限紫微
'fen'fen'mu'xue'xia'yuan'men 纷纷暮雪下辕门
'fen'ming'yuan'hen'qu'zhong'lun 分明怨恨曲中论
'fen'qiang'dan'zhu'dong'guang'cai 纷墙丹柱动光彩
'fen'shao'sha'lue 焚烧杀掠
'fen'ye'zhong'feng'bian 分野中峰变
'feng'bo'bu'xin'ling'zhi'ruo 风波不信菱枝弱
'feng'che'hong'qi'dong'bu'fan 风掣红旗冻不翻
'feng'chen'he'chu'qi 风尘何处期
'feng'chen'ren'ran'yin'shu'jue 风尘荏苒音书绝
'feng'chen'san'xiang'dong'hun'wang'shi 风尘氵项洞昏王室
'feng'chui'liu'hua'man'dian'xiang 风吹柳花满店香
'feng'chui'xian'mei'piao'piao'ju 风吹仙袂飘飘举
'feng'duo'xiang'yi'chen 风多响易沉
'feng'ge'xiao'kong'qiu 凤歌笑孔丘
'feng'he'sheng'zhi'cong'peng'lai'xiang'xing'qing'ge'dao'zhong'liu'chun'yu'zhong'chun'wang'zhi'zuo'ying'zhi 奉和圣制从蓬莱向兴庆阁道中留春雨中春望之作应制
'feng'he'zhong'shu'she'ren'jia'zhi'zao'chao'da'ming'gong 奉和中书舍人贾至早朝大明宫
'feng'huang'chi'dui'qing'suo'men 凤凰池对青琐门
'feng'huo'lian'san'yue 烽火连三月
'feng'ji'tian'gao'yuan'xiao'ai 风急天高猿啸哀
'feng'ji'yi'zhong'song'yan'gong'si'yun 奉济驿重送严公四韵
'feng'lang'sheng'zhi'qu'zhi'qu'sheng'pi 封狼生豸区豸区生罴
'feng'liu'ru'ya'yi'wu'shi 风流儒雅亦吾师
'feng'liu'tian'xia'wen 风流天下闻
'feng'ming'liang'an'ye 风鸣两岸叶
'feng'nuan'niao'sheng'sui 风暖鸟声碎
'feng'qiao'ye'bo 枫桥夜泊
'feng'quan'man'qing'ting 风泉满清听
'feng'ru'jing'shi 逢入京使
'feng'tou'ru'dao'mian'ru'ge 风头如刀面如割
'feng'wei'xiang'luo'bo'ji'chong 凤尾香罗薄几重
'feng'wu'qi'qi'su'yu'shou 风物凄凄宿雨收
'feng'yan'wang'wu'jin 风烟望五津
'feng'ye'di'hua'qiu'se'se 枫叶荻花秋瑟瑟
'feng'ye'luo'fen'fen 枫叶落纷纷
'feng'yu 风雨
'feng'yun'chang'wei'hu'chu'xu 风云常为护储胥
'feng'zheng'yi'fan'xuan 风正一帆悬
'feng'zhi'jing'an'que 风枝惊暗鹊
'fu'chi'zi'shi'shen'ming'li 扶持自是神明力
'fu'de'gu'yuan'cao'song'bie 赋得古原草送别
'fu'de'mu'yu'song'li'zhou 赋得暮雨送李胄
'fu'gui'yu'wo'ru'fu'yun 富贵于我如浮云
'fu'ling'shi'zhe'jiu'tan'jie 复令识者久叹嗟
'fu'nian'yi'ci'rou 抚念益慈柔
'fu'rong'jing'qi'yan'wu'luo 芙蓉旌旗烟雾落
'fu'rong'lou'song'xin'jian 芙蓉楼送辛渐
'fu'rong'ru'mian'liu'ru'mei 芙蓉如面柳如眉
'fu'rong'tang'wai'you'qing'lei 芙蓉塘外有轻雷
'fu'rong'zhang'nuan'du'chun'xiao 芙蓉帐暖度春宵
'fu'shi'kang'kai 抚事慷慨
'fu'tian'cang'hai'yuan 浮天沧海远
'fu'ting'wen'jing'feng 俯听闻惊风
'fu'xu'qing'bo'er 夫婿轻薄儿
'fu'yi'ling'ao'pan'yi'chi 负以灵鳌蟠以螭
'fu'yin'yi'bei'jiu 俯饮一杯酒
'fu'yun'yi'bie'hou 浮云一别后
'fu'yun'you'zi'yi 浮云游子意
'fu'yun'zhong'ri'xing 浮云终日行
'fu'zhao'qing'tai'shang 复照青苔上
'fu'zhi'jie'yu'zui 复值接舆醉
'fu'zhong'zhu'shu'yi'wan'juan 腹中贮书一万卷
'fu'zi'he'wei'zhe 夫子何为者
'gan'ci'huai'gu'ren 感此怀故人
'gan'ci'shang'qie'xin 感此伤妾心
'gan'er'zhui'shi 感而缀诗
'gan'gao'yun'shan'cong'ci'shi 敢告云山从此始
'gan'jiang'shi'zhi'kua'zhen'qiao 敢将十指夸针巧
'gan'shi'fu'shi'zeng'wan'shang 感时抚事增惋伤
'gan'shi'hua'jian'lei 感时花溅泪
'gan'si'ren'yan 感斯人言
'gan'wei'hua'rou'bu'hua'gu 干惟画肉不画骨
'gan'wo'ci'yan'liang'jiu'li 感我此言良久立
'gan'yu'si'shou'zhi'er 感遇四首之二
'gan'yu'si'shou'zhi'san 感遇四首之三
'gan'yu'si'shou'zhi'si 感遇四首之四
'gan'yu'si'shou'zhi'yi 感遇四首之一
'gan'zheng'shu'zhi'shi 感征戍之事
'gan'zi'gu'yi'chang 感子故意长
'gao'cai'tuo'lue'ming'yu'li 高才脱略名与利
'gao'di'zi'sun'jin'long'zhun 高帝子孙尽隆准
'gao'feng'han'yang'du 高风汉阳渡
'gao'gao'han'ri'sheng'yu'dong 杲杲寒日生于东
'gao'ge'ke'jing'qu 高阁客竟去
'gao'gui'chang'ju'cu 告归常局促
'gao'lou'dang'ci'ye 高楼当此夜
'gao'ming'bi'shen'e 高明逼神恶
'gao'shan'an'ke'yang 高山安可仰
'gao'shi 高适
'gao'shu'xiao'hai'mi 高树晓还密
'gao'su'mo'mo'kai'feng'sha 缟素漠漠开风沙
'gao'tang'ming'jing'bei'bai'fa 高堂明镜悲白发
'gao'wo'nan'zhai'shi 高卧南斋时
'ge'dao'hui'kan'shang'yuan'hua 阁道回看上苑花
'ge'li'hu'qu'jin'yu'bei 隔篱呼取尽馀杯
'ge'shan'wang'nan'dou 隔山望南斗
'ge'shu'ge 哥舒歌
'ge'shu'ye'dai'dao 哥舒夜带刀
'ge'shui'wen'qiao'fu 隔水问樵夫
'ge'ye 阁夜
'ge'ye'huang'li'kong'hao'yin 隔叶黄鹂空好音
'ge'yi'zeng'zhi 歌以赠之
'ge'zai'yi'chu 各在一处
'ge'zuo'song'gou'chun'jiu'nuan 隔座送钩春酒暖
'geng'ge'peng'shan'yi'wan'chong 更隔蓬山一万重
'geng'geng'xing'he'yu'shu'tian 耿耿星河欲曙天
'geng'jiao'ming'yue'zhao'liu'huang 更教明月照流黄
'geng'kan'jiang'shang'gu'pi'sheng 更堪江上鼓鼙声
'geng'shang'yi'ceng'lou 更上一层楼
'geng'shen'yue'se'ban'ren'jia 更深月色半人家
'geng'you'ming'chao'hen 更有明朝恨
'gong'cheng'bu'tui'jie'yun'shen 功成不退皆殒身
'gong'ci 宫词
'gong'ci'deng'zhu'guang 共此灯烛光
'gong'cong'he'chu'de'zhi'ben'hao'fa'jin'bei'wu'cha'e 公从何处得纸本毫发尽备无差讹
'gong'gai'san'fen'guo 功盖三分国
'gong'guan'he'ling'long 宫馆何玲珑
'gong'hua'ji'mo'hong 宫花寂寞红
'gong'kan'ming'yue'ying'chui'lei 共看明月应垂泪
'gong'lai'bai'yue'wen'shen'di 共来百越文身地
'gong'sun'jian'qi'chu'di'yi 公孙剑器初第一
'gong'sun'yi'ren'er'yi 公孙一人而已
'gong'tui'zhai'jie'zuo'xiao'ge 公退斋戒坐小阁
'gong'wu'yu'rang'en'bu'zi 功无与让恩不訾
'gong'zhi'si'wen'bu'shi'hou 公之斯文不示后
'gong'zhi'si'wen'ruo'yuan'qi 公之斯文若元气
'gong'zhu'pi'pa'you'yuan'duo 公主琵琶幽怨多
'gong'zui'chong'yang'jie 共醉重阳节
'gu'bai'xing 古柏行
'gu'bi'ye'seng'lin 孤壁野僧邻
'gu'bie 故别
'gu'cheng'bei'ling'han'chui'jiao 孤城背岭寒吹角
'gu'cheng'dang'luo'hui 孤城当落晖
'gu'cheng'luo'ri'dou'bing'xi 孤城落日斗兵稀
'gu'ci'gao'shu'liang'mang'ran 古祠高树两茫然
'gu'cong'jun'xing 古从军行
'gu'deng'bu'ming'si'yu'jue 孤灯不明思欲绝
'gu'deng'han'zhao'yu 孤灯寒照雨
'gu'deng'tiao'jin'wei'cheng'mian 孤灯挑尽未成眠
'gu'deng'wen'chu'jiao 孤灯闻楚角
'gu'diao'sui'zi'ai 古调虽自爱
'gu'ding'yue'shui'long'teng'suo 古鼎跃水龙腾梭
'gu'du'yi'xiang'chun 孤独异乡春
'gu'fan'tian'ji'kan 孤帆天际看
'gu'fan'yuan'ying'bi'kong'jin 孤帆远影碧空尽
'gu'fei'zi'ke'yi 孤飞自可疑
'gu'gao'song'tian'gong 孤高耸天宫
'gu'guan'shuai'cao'bian 故关衰草遍
'gu'guo'san'qian'li 故国三千里
'gu'hong'hai'shang'lai 孤鸿海上来
'gu'jie'qi'shen'ye 故洁其身也
'gu'ke'zhou'mian'zhi'lang'jing 估客昼眠知浪静
'gu'kou'shu'zhai'ji'yang'bu'que 谷口书斋寄杨补阙
'gu'lai'bai'gu'wu'ren'shou 古来白骨无人收
'gu'lai'cai'da'nan'wei'yong 古来材大难为用
'gu'lai'qing'shi'shui'bu'jian 古来青史谁不见
'gu'lai'sheng'xian'jie'ji'mo 古来圣贤皆寂寞
'gu'lai'wan'shi'dong'liu'shui 古来万事东流水
'gu'lai'zheng'zhan'ji'ren'hui 古来征战几人回
'gu'lei'xiao'xiao'lu'di'qiu 故垒萧萧芦荻秋
'gu'miao'shan'song'chao'shui'he 古庙杉松巢水鹤
'gu'mu'wu'ren'jing 古木无人径
'gu'peng'wan'li'zheng 孤蓬万里征
'gu'qin'hou'luo'jing 孤琴候萝径
'gu'ren'cong'jun'zai'you'fu 故人从军在右辅
'gu'ren'jiang'hai'bie 故人江海别
'gu'ren'ju'ji'shu 故人具鸡黍
'gu'ren'ru'wo'meng 故人入我梦
'gu'ren'shu'wei'lai 故人殊未来
'gu'ren'xi'ci'huang'he'lou 故人西辞黄鹤楼
'gu'rou'bu'dai'tong'chi'qu 骨肉不待同驰驱
'gu'rou'liu'li'dao'lu'zhong 骨肉流离道路中
'gu'shi'qing'gao'qi'shen'wen 顾视清高气深稳
'gu'shu'cang'cang'feng'huo'han 古戍苍苍烽火寒
'gu'su'cheng'wai'han'shan'si 姑苏城外寒山寺
'gu'tai'yao'luo'hou 古台摇落后
'gu'wo'wu'yi'sou'jin'qie 顾我无衣搜荩箧
'gu'yan 孤雁
'gu'yi 古意
'gu'yi'cheng'bu'que'qiao'zhi'zhi 古意呈补阙乔知之
'gu'ying'wu'ru'bai'fa'he 顾影无如白发何
'gu'yuan'dong'wang'lu'man'man 故园东望路漫漫
'gu'yuan'wu'yi'ping 故园芜已平
'gu'yun'jiang'ye'he 孤云将野鹤
'gu'zhe'shi'cheng'da'shou'bi 古者世称大手笔
'gu'zhou'suo'li'weng 孤舟蓑笠翁
'guan'cheng'shu'se'cui'han'jin 关城树色催寒近
'guan'gai'man'jing'hua 冠盖满京华
'guan'gao'he'zu'lun 官高何足论
'guan'gong'sun'da'niang'di'zi'wu'jian'qi'xing'bing'xu 观公孙大娘弟子舞剑器行并序
'guan'jing'hong'dou'shang'tian'yan 观经鸿都尚填咽
'guan'men'ling'yin'shui'neng'shi'he'shang'xian'weng'qu'bu'hui 关门令尹谁能识河上仙翁去不回
'guan'nei'zu'ji 关内阻饥
'guan'sai'xiao'tiao'xing'lu'nan 关塞萧条行陆难
'guan'shan'yue 关山月
'guan'tan'pi'pa'jie'ge'wu 惯弹琵琶解歌舞
'guan'yue'leng'xiang'sui 关月冷相随
'guan'yue'you'cai'yuan'bu'tian 管乐有才原不忝
'guan'zhang'wu'ming'yu'he'ru 关张无命欲何如
'guan'zhe'ru'shan'se'ju'sang 观者如山色沮丧
'guan'zhong'xi'sang'luan 关中昔丧乱
'guang'jia'qi'zhi'bai'bei'guo 光价岂止百倍过
'guang'ze'sheng'ming'yue 广泽生明月
'gui'hua'qiu'jiao'jie 桂华秋皎洁
'gui'lai'chi'yuan'jie'yi'jiu 归来池苑皆依旧
'gui'lai'fang'wu'xi 贵来方悟稀
'gui'lai'kan'qu'ming'jing'qian 归来看取明镜前
'gui'lai'mei'ri'xie 归来每日斜
'gui'lai'qie'bi'guan 归来且闭关
'gui'lai'shi'you'nv 归来视幼女
'gui'lai'tou'bai'hai'shu'bian 归来头白还戍边
'gui'lai'zhu'bai'shi 归来煮白石
'gui'lao'jiang'hu'bian 归老江湖边
'gui'ma'shi'can'qi 归马识残旗
'gui'mao'sui 癸卯岁
'gui'qi'quan'men'de'bi'ji 贵戚权门得笔迹
'gui'qu'lai 归去来
'gui'qu'yue'wang'jia 归去越王家
'gui'shan'shen'qian'qu 归山深浅去
'gui'si'yu'zhan'jin 归思欲沾巾
'gui'song'shan'zuo 归嵩山作
'gui'wo'nan'shan'chui 归卧南山陲
'gui'wu'shou'hu'fan'ti'wei'he 鬼物守护烦扌为呵
'gui'wu'tu'hua'tian'qing'hong 鬼物图画填青红
'gui'yuan 闺怨
'gui'zhao'luo'yang'ren 归棹洛阳人
'gui'zhong'shao'fu'bu'zhi'chou 闺中少妇不知愁
'gui'zhong'zhi'du'kan 闺中只独看
'guo'chu'yi'lai'hua'an'ma 国初以来画鞍马
'guo'gu'ren'zhuang 过故人庄
'guo'jia'cheng'bai'wu'qi'gan 国家成败吾岂敢
'guo'po'shan'he'zai 国破山河在
'guo'xiang'ji'si 过香积寺
'guo'yu'kan'song'se 过雨看松色
'hai'cong'wu'wai'qi'tian'yuan 还从物外起田园
'hai'jiang'liang'hang'lei 还将两行泪
'hai'ke'tan'ying'zhou 海客谈瀛洲
'hai'lai'jiu'ju'hua 还来就菊花
'hai'men'shen'bu'jian 海门深不见
'hai'nei'cun'zhi'ji 海内存知己
'hai'nei'feng'chen'zhu'di'ge 海内风尘诸弟隔
'hai'ou'he'shi'geng'xiang'yi 海鸥何事更相疑
'hai'pan'yun'shan'yong'ji'cheng 海畔云山拥蓟城
'hai'qi'shi'zhe'xun'xing'sao 海气湿蛰熏腥臊
'hai'qin'meng'jia'qi 还寝梦佳期
'hai'ri'sheng'can'ye 海日生残夜
'hai'shang'feng'yu'zhi 海上风雨至
'hai'shang'sheng'ming'yue 海上生明月
'hai'tian'chou'si'zheng'mang'mang 海天愁思正茫茫
'hai'yan'gu'yuan'fei 还掩故园扉
'hai'yan'shuang'qi'dai'mao'liang 海燕双栖玳瑁梁
'hai'zuo'jiang'nan'hui 还作江南会
'han 韩
'han'bei 韩碑
'han'bing'fen'xun'ru'pi'li 汉兵奋迅如霹雳
'han'bing'tun'zai'lun'tai'bei 汉兵屯在轮台北
'han'chao'gong'qing'ji'jia'sheng 汉朝公卿忌贾生
'han'dan'fa'he'hua 菡萏发荷花
'han'deng'du'ye'ren 寒灯独夜人
'han'deng'si'jiu'shi 寒灯思旧事
'han'guang'hun'shi'gui'wu'ming 含光混世贵无名
'han'hai'lan'gan'bai'zhang'bing 瀚海阑干百丈冰
'han'huang'zhong'se'si'qing'guo 汉皇重色思倾国
'han'jia'da'jiang'xi'chu'shi 汉家大将西出师
'han'jia'shan'dong'er'bai'zhou 汉家山东二百州
'han'jia'yan'chen'zai'dong'bei 汉家烟尘在东北
'han'jiang'ci'jia'po'can'zei 汉将辞家破残贼
'han'jiang'lin'tiao 汉江临眺
'han'kou'xi'yang'xie'du'niao 汉口夕阳斜渡鸟
'han'lin'kong'jian'ri'xie'shi 寒林空见日斜时
'han'mei'zhu'hua'wei 寒梅著花未
'han'nv'shu'mu'tong'bu 汉女输木童布
'han'qin'yu'shuai'cao 寒禽与衰草
'han'qing'man'kong'lin 寒磬满空林
'han'qing'ning'di'xie'jun'wang 含情凝睇谢君王
'han'shan'zhuan'cang'cui 寒山转苍翠
'han'sheng'yi'ye'chuan'diao'dou 寒声一夜传刁斗
'han'shi 寒食
'han'shi'dong'feng'yu'liu'xie 寒食东风御柳斜
'han'shi'duan'chang'dui'gui'ke 汉使断肠对归客
'han'tang'yu'xia'chi 寒塘欲下迟
'han'wen'huang'di'you'gao'tai 汉文皇帝有高台
'han'wen'you'dao'en'you'bo 汉文有道恩犹薄
'han'xia'bai'deng'dao 汉下白登道
'han'xiong'you'ban'huan'yu 韩雄右半换羽
'han'xu'hun'tai'qing 涵虚混太清
'han'yu 韩愈
'han'yu'lian'jiang'ye'ru'wu 寒雨连江夜入吴
'hang'dang'fu'gui'zhao 行当浮桂棹
'hao'dang'gan'ji 豪荡感激
'hao'hao'feng'qi'bo 浩浩风起波
'hao'ran'li'gu'guan 浩然离故关
'hao'wei'lu'shan'yao 好为庐山谣
'he'bi'dai'zhi'zi 何必待之子
'he'chu'hai'xiang'yu 何处还相遇
'he'chu'xi'nan'ren'hao'feng 何处西南任好风
'he'chu'xun'xing'ji 何处寻行迹
'he'dang'chong'xiang'jian 何当重相见
'he'dang'zai'jiu'lai 何当载酒来
'he'feng'song'xiang'qi 荷风送香气
'he'hun'shang'zhi'shi 合昏尚知时
'he'jia'she'ren'zao'chao'da'ming'gong'zhi'zuo 和贾舍人早朝大明宫之作
'he'jin'ling'lu'cheng'zao'chun'you'wang 和晋陵路丞早春游望
'he'lan'shan'xia'zhen'ru'yun 贺兰山下阵如云
'he'li'dai'xie'yang 荷笠带斜阳
'he'man'zi 何满子
'he'nian'zhi'ci'shen 何年致此身
'he'qiu'mei'ren'zhe 何求美人折
'he'ri'fu'gui'lai 何日复归来
'he'ri'ping'hu'lu 何日平胡虏
'he'shan'bei'zhen'qin'guan'xian 河山北枕秦关险
'he'sheng'long'mu'wu'dong'xi 禾生陇亩无东西
'he'sheng'ru'hai'yao 河声入海遥
'he'shi'fan'pei'le'yan'ran 何时返旆勒燕然
'he'shi'ru'luo'wei 何事入罗帏
'he'shi'yi'xu'huang 何时倚虚幌
'he'suo'wei'wu'cheng 何所慰吾诚
'he'xi'zui'liu'xia 何惜醉流霞
'he'xu'shen'hou'qian'zai'ming 何须身后千载名
'he'yi'you'yu'yi 何以有羽翼
'he'yin'bei'gui'qu 何因北归去
'he'yong'bie'xun'fang'wai'qu 何用别寻方外去
'he'yong'gu'gao'bi'yun'yue 何用孤高比云月
'he'yu'san'wu'xiang'pan'zhui 曷与三五相攀追
'he'zhi'zhang 贺知章
'hen'bie'niao'jing'xin 恨别鸟惊心
'hen'wu'zhi'yin'shang 恨无知音赏
'heng'yang'gui'yan'ji'feng'shu 衡阳归雁几封书
'hong'dou'sheng'nan'guo 红豆生南国
'hong'fei'ming'ming'ri'yue'bai 鸿飞冥冥日月白
'hong'lou'ge'yu'xiang'wang'leng 红楼隔雨相望冷
'hong'ni'xiao'huo'lu 红泥小火炉
'hong'ran'zhong'kai 訇然中开
'hong'tao'lv'liu'chui'yan'xiang 红桃绿柳垂檐向
'hong'yan'bu'kan'chou'li'ting 鸿雁不堪愁里听
'hong'yan'ji'shi'dao 鸿雁几时到
'hong'yan'qi'xuan'mian 红颜弃轩冕
'hong'ye'wan'xiao'xiao 红叶晚萧萧
'hong'zhuang'bai'ri'xian 红妆白日鲜
'hou'bu'jian'lai'zhe 后不见来者
'hou'gong'jia'li'san'qian'ren 后宫佳丽三千人
'hou'lai'an'ma'he'qun'xun 后来鞍马何逡巡
'hou'shi'er'lai 候时而来
'hou'wang'jiang'xiang'wang'jiu'jue 侯王将相望久绝
'hou'you'wei'feng'qian'zhi'dun 后有韦讽前支盾
'hu'dao'pang'gong'qi'yin'chu 忽到庞公栖隐处
'hu'er'jiang'chu'huan'mei'jiu 呼儿将出换美酒
'hu'er'yan'lei'shuang'shuang'luo 胡儿眼泪双双落
'hu'feng'qing'niao'shi 忽逢青鸟使
'hu'fu'cheng'zhou'meng'ri'bian 忽复乘舟梦日边
'hu'gu'se'xi'luan'hui'che 虎鼓瑟兮鸾回车
'hu'hun'ji'yi'po'dong 忽魂悸以魄动
'hu'jian'mo'tou'yang'liu'se 忽见陌头杨柳色
'hu'kui'qing'hai'wan 胡窥青海湾
'hu'nian'shan'zhong'ke 忽念山中客
'hu'qi'ping'ling'za'feng'yu 胡骑凭陵杂风雨
'hu'qin'pi'pa'yu'qiang'di 胡琴琵琶与羌笛
'hu'qiu'bu'nuan'jin'qin'bo 狐裘不暖锦衾薄
'hu'ran'geng'zuo'yu'yang'chan 忽然更作渔阳掺
'hu'ran'zao'shi'bian 忽然遭时变
'hu'ren'luo'lei'zhan'bian'cao 胡人落泪沾边草
'hu'ru'yi'ye'chun'feng'lai 忽如一夜春风来
'hu'tian'ba'yue'ji'fei'xue 胡天八月即飞雪
'hu'wei'hu'lai'zai 胡为乎来哉
'hu'wen'ge'gu'diao 忽闻歌古调
'hu'wen'hai'shang'you'xian'shan 忽闻海上有仙山
'hu'wen'shui'shang'pi'pa'sheng 忽闻水上琵琶声
'hu'yan'ai'ming'ye'ye'fei 胡雁哀鸣夜夜飞
'hu'yue'zhao'wo'ying 湖月照我影
'hua'dian'wei'di'wu'ren'shou 花钿委地无人收
'hua'ge'zhu'lou'jin'xiang'wang 画阁朱楼尽相望
'hua'gong'ru'shan'mao'bu'tong 画工如山貌不同
'hua'guan'bu'zheng'xia'tang'lai 花冠不整下堂来
'hua'jian'yi'hu'jiu 花间一壶酒
'hua'jin'gao'lou'shang'ke'xin 花近高楼伤客心
'hua'jing'bu'ceng'yuan'ke'sao 花径不曾缘客扫
'hua'lou'xi'pan'gui'tang'dong 画楼西畔桂堂东
'hua'lu'ru'xi'kou 花路入溪口
'hua'luo'zhi'duo'shao 花落知多少
'hua'men'li'xia'nv'huan'dao'mian'qing'xue'chi 花门嫠下女换刀面请雪耻
'hua'ting'he'li'ju'ke'wen 华亭鹤唳讵可闻
'hua'tu'sheng'shi'chun'feng'mian 画图省识春风面
'hua'wei'lang'yu'chai 化为狼与豺
'hua'yin'ye'yuan'mu 花隐掖垣暮
'hua'ying'jian'pei'xing'chu'luo 花迎剑佩星初落
'huai'jun'shu'qiu'ye 怀君属秋夜
'huai'nan'mu'luo'chu'shan'duo 淮南木落楚山多
'huai'nan'yi'ye'xia 淮南一叶下
'huai'shang'dui'qiu'shan 淮上对秋山
'huai'shang'xi'hui'liang'chuan'gu'ren 淮上喜会梁川故人
'huai'xi'you'zei'wu'shi'zai 淮西有贼五十载
'huai'yin'shi'jing'xiao'han'xin 淮阴市井笑韩信
'huan'ge'man'wu'ning'si'zhu 缓歌慢舞凝丝竹
'huan'pei'kong'gui'yue'xia'hun 环佩空归月下魂
'huan'xiao'qing'ru'jiu 欢笑情如旧
'huan'yan'de'suo'qi 欢言得所憩
'huang'ai'san'man'feng'xiao'suo 黄埃散漫风萧索
'huang'chen'zu'jin'gu 黄尘足今古
'huang'cheng'lin'gu'du 荒城临古渡
'huang'fu'ran 皇甫冉
'huang'he'lou 黄鹤楼
'huang'he'ru'hai'liu 黄河入海流
'huang'he'yi'qu'bu'fu'fan 黄鹤一去不复返
'huang'he'zhi'fei'shang'bu'de 黄鹤之飞尚不得
'huang'he'zhi'shui'tian'shang'lai 黄河之水天上来
'huang'hun'dao'si'bian'fu'fei 黄昏到寺蝙蝠飞
'huang'hun'hu'qi'chen'man'cheng 黄昏胡骑尘满城
'huang'hun'yin'ma'bang'jiao'he 黄昏饮马傍交河
'huang'jin'ran'gui'jin 黄金燃桂尽
'huang'jing'qi'er'chang'jie 恍惊起而长嗟
'huang'ju'jiu'ye'pin 荒居旧业贫
'huang'lu'ku'zhu'rao'zhai'sheng 黄芦苦竹绕宅生
'huang'men'fei'ge'kong'bu'dong'chen 黄门飞革空不动尘
'huang'shan'jiu'rao'han'gong'xie 黄山旧绕汉宫斜
'huang'shu'luo'huang'ye 荒戍落黄叶
'huang'ye'reng'feng'yu 黄叶仍风雨
'huang'yun'long'di'bai'xue'fei 黄云陇底白雪飞
'huang'yun'wan'li'dong'feng'se 黄云万里动风色
'huang'yun'xiao'tiao'bai'ri'an 黄云萧条白日暗
'hui'dang'ling'jue'ding 会当凌绝顶
'hui'jiao'fu'xu'mi'feng'hou 悔教夫婿觅封侯
'hui'kan'tian'ji'xia'zhong'liu 回看天际下中流
