'a'jiu 阿舅
'he'chai 贺拆
'he'chang 鹤氅
'he'cong'long 贺从龙
'he'dang'you'shi 合当有事
'he'dao 喝道
'he'deng 河灯
'he'guan'cha 何观察
'he'he'tang 和合汤
'he'hou 合后
'he'hua'dang 荷花荡
'he'ji 贺吉
'he'jing'jiu'ju 和靖旧居
'he'jiu'shu 何九叔
'he'luo'si'xiang 河洛四象
'he'luo'si'xiang'zhen 河洛四象阵
'he'men'da'shi 阖门大使
'he'nan 河南
'he'qing 何清
'he'ren 赫仁
'he'shang'yuan 和尚原
'he'sheng'chao 贺圣朝
'he'tai'shou 贺太守
'he'tao 何涛
'he'tong 和潼
'he'tong'jun 贺统军
'he'xuan 鹤轩
'he'xuan'tong 何玄通
'he'yun 贺云
'he'zhong'bao 贺重宝
'hei'hu'tou'xin'shi 黑虎偷心势
'hei'san'lang 黑三郎
'hei'song'jiang 黑宋江
'hei'xuan'feng 黑旋风
'heng'hai'jun 横海军
'heng'hai'jun 横海郡
'hong'jiao'tou 洪教头
'hong'jin'tao'suo 红锦套索
'hong'luo'qun'zi 红罗裙子
'hong'luo'xiao'jin'san 红罗销金伞
'hong'mo'e 红抹额
'hong'na'ao 红衲袄
'hong'nong 弘农
'hong'tian'lei 轰天雷
'hong'tian'lei'pao 轰天雷炮
'hong'tian'pao 轰天炮
'hong'tou'zi 红头子
'hong'xin 洪信
'hou'can'mou 侯参谋
'hou'cao 后槽
'hou'chao'men 候潮门
'hou'jian 侯健
'hou'meng 侯蒙
'hou'tang 后堂
'hu'bao 虎豹
'hu'bao'tou 虎抱头
'hu'bao'yi 呼保义
'hu'bi 胡避
'hu'cheng 扈成
'hu'dao 胡道
'hu'dao'ren 胡道人
'hu'guan 壶关
'hu'guo'da'jiang'jun 护国大将军
'hu'guo'ling'gan'zhen'ren 护国灵感真人
'hu'guo'tong'jun'da'jiang 护国统军大将
'hu'jia 胡笳
'hu'jia'jiang'jun 护驾将军
'hu'jia'zhuang 扈家庄
'hu'jiang 虎将
'hu'jun 胡俊
'hu'lun'hua 囫囵话
'hu'lun'zhu 囫囵竹
'hu'mai 胡迈
'hu'pai 虎牌
'hu'pi'jiao'yi 虎皮交椅
'hu'qiao 胡敲
'hu'qiu'shan 虎丘山
'hu'san'niang 扈三娘
'hu'shao 唿哨
'hu'tai'gong 扈太公
'hu'ti 胡梯
'hu'tou'pai 虎头牌
'hu'tou'tuo 胡头陀
'hu'wei 虎威
'hu'wei'jiang'jun 虎威将军
'hu'xi 护膝
'hu'xian 胡显
'hu'xin'jing 护心镜
'hu'yan'bian 虎眼鞭
'hu'yan'zhuo 呼延灼
'hu'yi 虎翼
'hu'yi'ri 忽一日
'hu'ying 胡英
'hu'you'wei 胡有为
'hu'yuan'wai 胡员外
'hu'zheng'qing 胡正卿
'hu'zhou 湖州
'hua'bu'xu'fan 话不絮繁
'hua'che'nu 桦车弩
'hua'dong'diao'liang 画栋雕梁
'hua'er'wang'tai'wei 花儿王太尉
'hua'ge'bo 花胳膊
'hua'gu 画鼓
'hua'han 华翰
'hua'he'shang 花和尚
'hua'hua'tai'sui 花花太岁
'hua'ji 桦楫
'hua'jian 花笺
'hua'jian'huang'zhi 花笺黄纸
'hua'kui 花魁
'hua'mao 画卯
'hua'qiang 花枪
'hua'qiu 桦楸
'hua'ren'chang 化人场
'hua'rong 花荣
'hua'shan 华山
'hua'shi'gang 花石纲
'hua'xiang'hu 花项虎
'hua'xiu'xu'fan 话休絮烦
'hua'xiu'xu'fan 话休絮繁
'hua'yang'jun'fu'ren 花阳郡夫人
'hua'yin 华阴
'hua'yin'xian 华阴县
'hua'zhi'zhai 花知寨
'hua'zhou 华州
'hua'zhu 化主
'huai'an 淮安
'huai'he 淮河
'huai'shu'po 槐树坡
'huai'xi 淮西
'huai'zhou 怀州
'huan'mo'jun 幻魔君
'huan'xi'sha 浣溪沙
'huan'yi 桓逸
'huang'ai 黄爱
'huang'an 黄安
'huang'ban 艎板
'huang'da 黄达
'huang'di 皇帝
'huang'fan'shen 黄幡神
'huang'feng'ci 黄蜂刺
'huang'feng'yu'jiu 黄封御酒
'huang'fo'zi 黄佛子
'huang'fu'duan 皇甫端
'huang'he 黄河
'huang'jin'li'shi 黄巾力士
'huang'kong'mu 黄孔目
'huang'men'shan 黄门山
'huang'men'shi'lang 黄门侍郎
'huang'ni'gang 黄泥冈
'huang'tong'pan 黄通判
'huang'wen'bing 黄文炳
'huang'wen'ye 黄文烨
'huang'xin 黄信
'huang'yue 黄钺
'huang'yue'bai'mao 黄钺白旄
'huang'zhi 皇侄
'huang'zong'ma 黄鬃马
'hui'bi'pai 回避牌
'hui'feng'fan'huo 回风返火
'hui'feng'po'an 回风破暗
'hui'ma 回马
'hui'ping 灰瓶
'hui'xian 辉县
'hui'ying 回营
'hui'zhen 回阵
'hui'zi 讳字
'hui'zong 徽宗
'hun'chun'er 浑纯儿
'hun'jia 浑家
'hun'jiang'long 混江龙
'hun'shi'mo'wang 混世魔王
'hun'shi'mo'wang'bao'jian 混世魔王宝剑
'hun'tian'xiang 混天象
'hun'tian'xiang'zhen 混天象阵
'hun'tian'zhen 混天阵
'hun'tie'dian'gang'qiang 浑铁点钢枪
'hun'tun 馄饨
'hun'yi'tai 浑仪台
'huo'bing 火兵
'huo'bing 火并
'huo'che 火车
'huo'gong 火工
'huo'guan'yin 活观音
'huo'jia 火家
'huo'jian 火箭
'huo'jian'qiang 火尖枪
'huo'kuai'chi'qian'li'si'feng'ma 火块赤千里嘶风马
'huo'lang'tai'ping'ge 货郎太平歌
'huo'liao'mao 火燎毛
'huo'long'ju 火龙驹
'huo'pai 火排
'huo'pao 火炮
'huo'qiang 火枪
'huo'shan 霍山
'huo'shan'po 活闪婆
'huo'yan'luo 活阎罗
'huo'yan'suan'ni 火眼狻猊
'ji'can'ke'yin 饥餐渴饮
'ji'chu'ge'er 济楚阁儿
'ji'dang 极当
'ji'du 计都
'ji'du'xing 计都星
'ji'fa 戟法
'ji'fa 赍发
'ji'ji 计稷
'ji'ji'ru 急急如
'ji'li 蒺藜
'ji'san'qian 急三千
'ji'san'si 季三思
'ji'shan 纪山
'ji'shi 极是
'ji'shi'yu 及时雨
'ji'shui'bao 箕水豹
'ji'wen'bing 吉文炳
'ji'xia 寄下
'ji'xian'feng 急先锋
'ji'xin'chui 鸡心锤
'ji'xu 绩绪
'ji'yu'jiu 赍御酒
'ji'zhang 脊杖
'ji'zhou 济州
'ji'zhou 蓟州
'ji'zhou'fu 济州府
'ji'zu 积祖
'jia'ge'zhe'lan 架隔遮拦
'jia'hui'men 嘉会门
'jia'huo 家火
'jia'liang'xian'sheng 加亮先生
'jia'ling 嘉陵
'jia'ma 甲马
'jia'mao 贾茂
'jia'ning'dian 嘉宁殿
'jia'shi 贾氏
'jia'xing 嘉兴
'jia'yu'qing 家余庆
'jia'zhang 家长
'jia'zhang'ku 甲仗库
'jian'bi 间壁
'jian'bu'shi'tou 见不是头
'jian'chuang 箭疮
'jian'fu 剪拂
'jian'jing 剪径
'jian'jun 监军
'jian'kang 建康
'jian'qiao'men 荐桥门
'jian'shen 间深
'jian'si 监寺
'jian'si'pai 肩厮拍
'jian'yi'da'fu 谏议大夫
'jian'zao'zhan'chuan'dou'zuo'tou 监造战船都作头
'jian'zhai'shi'zhe 监斋使者
'jiang'dong'long'wang'miao 江东龙王庙
'jiang'jing 蒋敬
'jiang'jun'zhu 将军柱
'jiang'men'shen 蒋门神
'jiang'nan'shi'er'shen 江南十二神
'jiang'shi 僵尸
'jiang'tai 将台
'jiang'xi 将息
'jiang'xi 江西
'jiang'xia 江夏
'jiang'xiao 将校
'jiang'yin 将引
'jiang'yin 江阴
'jiang'yin 蒋印
'jiang'zhong 蒋忠
'jiang'zhou 江州
'jiang'zhou'cheng 江州城
'jiang'zhou'fu 江州府
'jiao'ba 叫把
'jiao'ba 教把
'jiao'bing 脚絣
'jiao'deng'nu 脚登弩
'jiao'fu 脚夫
'jiao'fu 轿夫
'jiao'gong 角弓
'jiao'ji 角妓
'jiao'men 角门
'jiao'mu'jiao 角木蛟
'jiao'qu 叫屈
'jiao'rao 搅扰
'jiao'shan 焦山
'jiao'shi 教师
'jiao'ting 焦挺
'jiao'tou 教头
'jie'chen'yi 截衬衣
'jie'dao 戒刀
'jie'dao 解到
'jie'du'shi 节度使
'jie'fu 解赴
'jie'guan 解官
'jie'ji 节级
'jie'jiang'gui 截江鬼
'jie'ku'ting 解库厅
'jie'liang 借粮
'jie'shang 解上
'jie'shou'jian'dao 解手尖刀
'jie'song 解送
'jie'wan'jian'dao 解腕尖刀
'jie'xiong'di'ye 皆兄弟也
'jie'xiu 介休
'jie'xiu'xian 介休县
'jie'yan'fa'shi 解魇法师
'jie'yang 揭阳
'jie'yang'ling 揭阳岭
'jie'yang'zhen 揭阳镇
'jie'yi'dao 解衣刀
'jie'zhi'tui 介之推
'jin'ba 尽把
'jin'bao'zi 锦豹子
'jin'bei 尽被
'jin'chuang'yao 金疮药
'jin'cui'lian 金翠莲
'jin'da'jian 金大坚
'jin'dai 锦袋
'jin'dian 金殿
'jin'ding 金鼎
'jin'er 锦儿
'jin'fan 今番
'jin'fu'shi'lang 金福侍郎
'jin'gu'huo'pao 金鼓火炮
'jin'hua'jiang'jun 金华将军
'jin'jia'shen'ren 金甲神人
'jin'jian'xian'sheng 金剑先生
'jin'jie 尽皆
'jin'jie 金节
'jin'jie'shi'se 尽皆失色
'jin'liang'qiao 金梁桥
'jin'lin'long 锦鳞龙
'jin'ling 金陵
'jin'ling'diao'gua 金铃吊挂
'jin'lun'pao 金轮炮
'jin'lv'jiang'xiao'yi 金缕绛绡衣
'jin'mao'hu 锦毛虎
'jin'mao'quan 金毛犬
'jin'ming'chi 金明池
'jin'ning 晋宁
'jin'qian'bao'zi 金钱豹子
'jin'qiang 金枪
'jin'qiang'ban 金枪班
'jin'qiang'fa 金枪法
'jin'qiang'shou 金枪手
'jin'qiang'yao 金枪药
'jin'ren 金人
'jin'sha'tan 金沙滩
'jin'shan'si 金山寺
'jin'shen'zhi'bao 进身之报
'jin'shu 尽数
'jin'shui 晋水
'jin'suo'zi'hao'yi 金锁子号衣
'jin'ti'she 锦体社
'jin'tian'sheng'di'miao 金天圣帝庙
'jin'wang 晋王
'jin'wen'gong 晋文公
'jin'wu'zhu 金兀朮
'jin'wu'zhu 金兀术
'jin'yan'biao 金眼彪
'jin'yan'hu 金眼虎
'jin'yi'wei'shi 锦衣卫士
'jin'yin 金印
'jin'yin'chi'zhi 金印敕旨
'jin'zhen 金祯
'jin'zhi 金汁
'jin'zhi'gong'zhu 金芝公主
'jin'zi 禁子
'jin'zui'fang'san 尽醉方散
'jin'zui'fang'xiu 尽醉方休
'jing'bei 京北
'jing'ci'gang 净慈港
'jing'dao 径到
'jing'de 景德
'jing'de'jun'jun 旌德郡君
'jing'hui 径回
'jing'ji'ren 经纪人
'jing'lue 经略
'jing'lue'shi 经略使
'jing'men 荆门
'jing'men'zhen 荆门镇
'jing'ming 景命
'jing'mu'an 井木犴
'jing'nan 荆南
'jing'shan 径山
'jing'shou 净手
'jing'tou 净头
'jing'wang 径往
'jing'yang'gang 景阳冈
'jing'yang'zhong 景阳钟
'jing'ying'pao 静营炮
'jing'zao 京枣
'jing'zhe'er 经折儿
'jing'zhong 荆忠
'jing'zhong'zhi'miao 靖忠之庙
'jiu'da'wang 九大王
'jiu'gong 九宫
'jiu'gong'ba'gua 九宫八卦
'jiu'gong'ba'gua'zhen 九宫八卦阵
'jiu'gong'xian 九宫县
'jiu'hai 酒海
'jiu'hu'lu 酒葫芦
'jiu'long'fei'feng'ji 九龙飞凤髻
'jiu'pei'er 酒旆儿
'jiu'rou'bing'zi 酒肉饼子
'jiu'shi 酒食
'jiu'si 酒肆
'jiu'tian'dian 九天殿
'jiu'tian'xuan'nv 九天玄女
'jiu'tian'xuan'nv'ke 九天玄女课
'jiu'wang'zi 酒望子
'jiu'wei'gui 九尾龟
'jiu'wen'long 九纹龙
'ju'bei 俱被
'ju'hua'zhi'hui 菊花之会
'ju'ling'shen 巨灵神
'ju'qie 惧怯
'ju'se 惧色
'ju'shou'tong'pai 聚兽铜牌
'ju'si 聚四
'ju'yi 聚义
'ju'yi'ting 聚义厅
'juan'mao'e'quan 卷毛恶犬
'juan'mao'hu 卷毛虎
'jue'sa 决撒
'jue'xia 掘下
'jun'bing 军兵
'jun'han 军汉
'jun'ma'ti'xia 军马提辖
'jun'qi 军器
'jun'qian'can'mou 军前参谋
'jun'shi 军师
'jun'zheng'si 军正司
'jun'zhou 均州
'kai'feng 开封
'kai'shan'da'fu 开山大斧
'kai'shan'fu 开山斧
'kai'zhou 开州
'kan'guan 看官
'kang'jie'ji 康节级
'kang'jin'long 亢金龙
'kang'li'ding'an 康里定安
'kang'yang 亢阳
'kao'lao 栲栳
'kao'lao'quan 栲栳圈
'ke'fu 克复
'ke'jiao 可教
'ke'tong 课筒
'ke'yin 柯引
'ke'zhang'si 客帐司
'kong'bin 孔宾
'kong'liang 孔亮
'kong'ming 孔明
'kong'mu 孔目
'kong'tai'gong 孔太公
'kou'chen 寇琛
'kou'fu 寇孚
'kou'meng 寇猛
'kou'mie 寇灭
'kou'xian'feng 寇先锋
'kou'zhen'yuan 寇镇远
'kou'zhou 寇州
'ku'shu'shan 枯树山
'ku'zhu'jian 苦竹箭
'ku'zhu'qiang 苦竹枪
'kuai'dang 快当
'kuai'huo'lin 快活林
'kuan'jian'ye'er'cha 宽煎叶儿茶
'kuan'niu'lang'yao 款扭狼腰
'kui'mu'lang 奎木狼
'kun'hua'wei'peng 鲲化为鹏
'kun'hua'wei'peng'zhen 鲲化为鹏阵
'kuo'jian 阔剑
'la'cha 蜡查
'lai'bao 来报
'lai'xian 莱县
'lai'zhou 莱州
'lan'bu'zhu 拦不住
'lan'qiao'feng'yue 蓝桥风月
'lan'yin'kai'jia 烂银铠甲
'lang'li'bai'tiao 浪里白条
'lang'li'bai'tiao 浪里白跳
'lang'ya 琅琊
'lang'ya'bang 狼牙棒
'lang'ya'gun 狼牙棍
'lang'ya'jian 狼牙箭
'lang'zhu 郎主
'lang'zi 浪子
'lao'cheng'ying 牢城营
'lao'dou'guan 老都管
'lao'lang 老郎
'lao'zhong'jing'lue 老种经略
'lao'zi 牢子
'le'da'niang'zi 乐大娘子
'le'he 乐和
'le'ma 勒马
'lei'che 雷车
'lei'chun 雷春
'lei'ci 累次
'lei'dou'tou 雷都头
'lei'heng 雷横
'lei'jiong 雷炯
'lei'mu 擂木
'lei'wo 肋窝
'lei'xie 缧绁
'lei'xie'zhi'e 缧绁之厄
'lei'zhen 雷震
'leng'gong 冷恭
'leng'ning 冷宁
'li'bao 栗暴
'li'cheng 李成
'li'cong'ji 李从吉
'li'cun'xiao 李存孝
'li'da 李达
'li'da'guan'ren 李大官人
'li'da'lang 李大郎
'li'de'yu 李德裕
'li'di'tai'sui 立地太岁
'li'dou'guan 李都管
'li'er 李二
'li'fu 李复
'li'gu 李固
'li'gui 李鬼
'li'gun 李衮
'li'hang'shou 李行首
'li'hua'qiang 梨花枪
'li'huai 李怀
'li'hui 理会
'li'ji 李吉
'li'ji 李集
'li'jia'dao'kou 李家道口
'li'jia'zhuang 李家庄
'li'jiao'jiao 李娇娇
'li'jin'wu 李金吾
'li'jing 李靖
'li'jun 李俊
'li'kui 李逵
'li'li 李立
'li'ling 李陵
'li'ma'ma 李妈妈
'li'ming 李明
'li'qiao'nu 李巧奴
'li'qie 力怯
'li'qin'long 李擒龙
'li'rang 李懹
'li'rong 李荣
'li'rui'lan 李瑞兰
'li'shao 李韶
'li'shi'shi 李师师
'li'si 李四
'li'tian'run 厉天闰
'li'tian'wang 李天王
'li'tian'xi 李天锡
'li'tian'you 厉天佑
'li'wan 李万
'li'xiao'er 李小二
'li'xiong 李雄
'li'yi 李益
'li'ying 李应
'li'ying'wai'he 里应外合
'li'yu 李玉
'li'yu'hou 李虞候
'li'yun 李云
'li'zhan 立斩
'li'zheng 里正
'li'zhong 李忠
'li'zhu 李助
'li'zi 利子
'lian'fang'shi 廉访使
'lian'huan'bin'tie'kai 连环镔铁铠
'lian'huan'ma 连环马
'lian'ming 廉明
'lian'zhu'jian 连珠箭
'lian'zhu'pao 连珠炮
'liang'cao'chuan 粮草船
'liang'ge 亮槅
'liang'jian 良贱
'liang'li'er 凉笠儿
'liang'shan 梁山
'liang'shan'po 梁山泊
'liang'tou'she 两头蛇
'liang'yong 梁永
'liang'yuan'ya'yu 两院押狱
'liang'zhen 两阵
'liang'zhong'shu 梁中书
'liao'bing 辽兵
'liao'er'wa 蓼儿洼
'liao'guo 辽国
'liao'guo'lang'zhu 辽国郎主
'liao'hong'gu 豂谾谷
'liao'li 廖立
'liao'shen'da'ming 了身达命
'liao'shi'huan 了事环
'liao'ye'dao 蓼叶刀
'lin'an'xian 临安县
'lin'chong 林冲
'lin'huai'zhou 临淮州
'lin'lin'yi'qu 凛凛一躯
'lin'ping'shan 临平山
'lin'ren 蔺仁
'lin'ru 临汝
'lin'ti'xia 林提辖
'lin'wu'shi 林武师
'lin'xian 临县
'lin'xin 林昕
'ling'chuan 陵川
'ling'guan'dian 灵官殿
'ling'guan'miao 灵官庙
'ling'guang 凌光
'ling'ling 零陵
'ling'shi 令史
'ling'xing'men 棂星门
'ling'yan'ge 凌烟阁
'ling'yin'si 灵隐寺
'ling'ying'tian'shi 灵应天师
'ling'zhen 凌振
'ling'zhou 凌州
'liu'an'kong'mu 六案孔目
'liu'chu 六出
'liu'da'lang 柳大郎
'liu'ding'shen 六丁神
'liu'du'du 刘都督
'liu'er 刘二
'liu'feng'er 六风儿
'liu'gao 刘高
'liu'gu'sui 溜骨髓
'liu'guang'shi 刘光世
'liu'he'si 六和寺
'liu'he'ta 六和塔
'liu'hua 六花
'liu'hua'zhen 六花阵
'liu'jun'zhi'hui'shi 六军指挥使
'liu'ke'zhu 留客住
'liu'li'deng 琉璃灯
'liu'meng'long 刘梦龙
'liu'min 刘敏
'liu'qing'niang 柳青娘
'liu'ren 刘仁
'liu'san 刘三
'liu'shi'quan 柳世权
'liu'shi'si'gua'qi 六十四卦旗
'liu'shou 留守
'liu'shou'guan 留守官
'liu'shou'si 留守司
'liu'tai'gong 刘太公
'liu'tang 刘唐
'liu'tao 六韬
'liu'tu'zhang 柳土獐
'liu'xian 流涎
'liu'xing 流星
'liu'xing'chui 流星锤
'liu'xing'tan'ma 流星探马
'liu'ye'jia 柳叶甲
'liu'ye'jian 柳叶箭
'liu'ye'qiang 柳叶枪
'liu'yi 刘一
'liu'yi'jing 刘以敬
'liu'yuan 柳元
'liu'yun 刘赟
'liu'zei 六贼
'liu'zhi'bo 刘智伯
'liu'zhi'zhai 刘知寨
'long'chi 龙墀
'long'hu'shan 龙虎山
'long'lin'jia 龙鳞甲
'long'men'guan 龙门关
'long'men'shan 龙门山
'long'mo 龙墨
'long'shen 龙神
'long'wen'jian 龙文剑
'long'xi 陇西
'long'xiang'gong 龙翔宫
'long'zhang'feng'zhuan 龙章凤篆
'long'zhong'shan 隆中山
'lou'cheng'xiang 娄丞相
'lou'jin'gou 娄金狗
'lou'luo 喽罗
'lou'min'zhong 娄敏中
'lu'an 鲁安
'lu'cheng 潞城
'lu'cheng 鲁成
'lu'da 鲁达
'lu'fang 陆芳
'lu'hua'dang 芦花荡
'lu'hui 陆辉
'lu'jia'ke'dian 鲁家客店
'lu'jiao 鹿角
'lu'jun'yi 卢俊义
'lu'qian 陆谦
'lu'qing 陆清
'lu'shao 芦哨
'lu'shui 潞水
'lu'ti'xia 鲁提辖
'lu'xian'feng 卢先锋
'lu'xiao'yi 陆小乙
'lu'ye'qiang 芦叶枪
'lu'yu'hou 陆虞候
'lu'yuan 卢元
'lu'yuan'wai 卢员外
'lu'yun 辘轀
'lu'zhi'shen 鲁智深
'lu'zhou 庐州
'lu'zhou 鲁州
'luan'ling 鸾铃
'luan'ting'yu 栾廷玉
'lun'cheng'fen'jin 论秤分金
'lun'gong'sheng'shang 论功升赏
'luo'hou 罗睺
'luo'hou'xing 罗睺星
'luo'jian 罗戬
'luo'pao 罗袍
'luo'san 罗伞
'luo'tian'da'jiao 罗天大醮
'luo'wu'yu 罗武谕
'luo'zhen'ren 罗真人
'lv'chen'qiang 绿沉枪
'lv'fang 吕方
'lv'hou 吕后
'lv'li 膂力
'lv'shi'nang 吕师囊
'lv'shu'mi 吕枢密
'lv'tai'hou 吕太后
'lv'zhen 吕振
'ma'bing'dou'tou 马兵都头
'ma'bo'liu 马泊六
'ma'bu 马步
'ma'bu'qin'jun'dou'tai'wei 马步亲军都太尉
'ma'bu'shui 马步水
'ma'fan 麻翻
'ma'jiang 马勥
'ma'jin 马劲
'ma'jun 马军
'ma'lin 马麟
'ma'ling 马灵
'ma'qi'jiang 马骑将
'ma'shi'hong 马士弘
'ma'tao 麻绦
'ma'wan'li 马万里
'ma'xing'jie 马行街
'ma'yu 马圉
'ma'yuan 马院
'ma'zha'dao 麻扎刀
'ma'zhai 马摘
'mai'ge'po'zhan 卖个破绽
'mai'shi 买市
'mai'yu'ni 卖与你
'man'ba'bai 慢八百
'man'pai 蛮牌
'mang'dang'shan 芒砀山
'mang'dong 邙东
'mang'dong'zhen 邙东镇
'mang'he'shang 莽和尚
'mang'she'tun'xiang'shi 蟒蛇吞象势
'mao'di 茅迪
'mao'du 冒渎
'mao'gang 茆港
'mao'pai 卯牌
'mao'ri'ji 昴日鸡
'mao'shan 茅山
'mao'tai'gong 毛太公
'mao'tou'xing 毛头星
'mao'zhong'yi 毛仲义
'mei'hao'qi 没好气
'mei'hong'zong'xian'tao 梅红纵线绦
'mei'hua 梅花
'mei'lai'you 没来由
'mei'mao'da'chong 没毛大虫
'mei'mian'mu 没面目
'mei'ran'gong 美髯公
'mei'shuang'shi'fen 昧爽时分
'mei'tang 梅汤
'mei'xiang 梅香
'mei'yu 梅玉
'mei'yu'jian 没羽箭
'mei'yu'mie'ban 美玉灭斑
'mei'zhan 梅展
'mei'zhe'lan 没遮拦
'men'guan'xian'sheng 门馆先生
'men'zi 门子
'meng'chang'jun 孟尝君
'meng'chong 艨艟
'meng'han'yao 蒙汗药
'meng'kang 孟康
'meng'men 孟门
'meng'zhou 孟州
'meng'zhou'dao 孟州道
'mi'quan 米泉
'mi'sheng 縻貹
'mi'shui 泌水
'mi'tian'da'zui 迷天大罪
'mi'yun'xian 密云县
'mi'zhong'chong 米中虫
'mi'zi'xun'ye 觅子寻爷
'mian'ru'zhong'zao 面如重枣
'mian'shan 绵山
'mian'shang 绵上
'miao'cheng 苗成
'miao'zhu 庙祝
'mie'suo 篾索
'min'jiang 岷江
'ming'di 鸣镝
'ming'gu 鸣鼓
'ming'huan 名唤
'ming'huang'lv'dai 明黄缕带
'ming'jiang 明降
'ming'jin 鸣金
'ming'luo 鸣锣
'ming'zhong 鸣钟
'ming'zhu'hu'pai 明珠虎牌
'mo'lv'xue 抹绿靴
'mo'yun'jin'chi 摩云金翅
'mo'zhe'tian 摸着天
'mo'zhen 莫真
'mu'ban'ge 木伴哥
'mu'chun 穆春
'mu'da'chong 母大虫
'mu'hong 穆弘
'mu'jin 目今
'mu'lv 木驴
'mu'rong'gui'fei 慕容贵妃
'mu'rong'yan'da 慕容彦达
'mu'rong'zhi'fu 慕容知府
'mu'tai'gong 穆太公
'mu'ye'cha 母夜叉
'mu'zhou 睦州
'na'hai 纳还
'na'han 那汉
'na'han'zi 那汉子
'na'si 那厮
'na'tou 纳头
'na'tou'bian'bai 纳头便拜
'nai'gong 奶公
'nai'zi 奶子
'nan'an'wang 南安王
'nan'feng 南丰
'nan'ji'lao'ren 南极老人
'nan'jun 南军
'nan'li 南离
'nan'li'da'jiang'jun 南离大将军
'nan'xun'men 南熏门
'nao'gou 挠钩
'nao'gou'shou 挠钩手
'nei'guan'wai'guo 内棺外椁
'nei'wai'zhu'jun'dou'zhao'tao 内外诸军都招讨
'nei'xiang'xian 内乡县
'nen'di 恁地
'nen'di'shi 恁地时
'ni'lin 倪麟
'ni'she 倪慑
'ni'shi 倪氏
'ni'wei'jiang 猊威将
'ni'yun 倪云
'nian'gong 拈弓
'nian'gong'da'jian 拈弓搭箭
'nian'jia 年甲
'nian'zhe 拈着
'niao'jin 鸟紧
'niao'qi 鸟气
'niao'ren 鸟人
'niao'shang'ci 鸟上刺
'niao'shi 鸟事
'nie'xin 聂新
'ning'hai 宁海
'ning'hai'jun 宁海军
'ning'hui'dian 凝晖殿
'niu'bang'xi 牛邦喜
'niu'bang'xie 牛膀鞋
'niu'da'hu 牛大户
'niu'er 牛二
'niu'geng 牛庚
'niu'jin'deng 牛筋等
'niu'jin'niu 牛金牛
'niu'tou'shan 牛头山
'niu'wen'zhong 钮文忠
'niu'zi 牛子
'nu'lou 弩楼
'nuan'jiao 暖轿
'nuo'zhan 搦战
'nv'bing 女兵
'nv'qiang 女墙
'nv'shi 女使
'nv'tu'fu 女土蝠
'ou'peng 欧鹏
'ou'yang'shi'lang 欧阳侍郎
'pai'jun 牌军
'pai'lou 牌楼
'pai'ma 拍马
'pai'tou 牌头
'pan'an 潘安
'pan'gong 潘公
'pan'hu'song'wang 判斛送亡
'pan'jia'jiu'lou 潘家酒楼
'pan'jin'lian 潘金莲
'pan'jun 潘浚
'pan'lv'deng'xiao'xian 潘驴邓小闲
'pan'qiao'yun 潘巧云
'pan'tuo'lu 盘陀路
'pan'wen'de 潘文得
'pan'xun 潘迅
'pan'yi 潘异
'pan'zhong 潘忠
'pang'da'he'shang 胖大和尚
'pang'fu'ren 庞夫人
'pang'shi 庞氏
'pang'wan'chun 庞万春
'pang'yuan 庞元
'pao'shi 炮石
'pao'shou 炮手
'pei'jun 配军
'pei'ru'hai 裴如海
'pei'xian 沛县
'pei'xuan 裴宣
'pei'zhi 裴直
'pen'diao 盆吊
'peng'cheng 彭城
'peng'chu 捧出
'peng'lai 蓬莱
'peng'lai'dao 蓬莱岛
'peng'qi 彭玘
'peng'ri 捧日
'peng'song'yun'ji 鬅松云髻
'peng'yue 彭越
'pi'ba'gong 皮靶弓
'pi'chai'fu 劈柴斧
'pi'da'chun 皮搭膞
'pi'feng'dao 劈风刀
'pi'li'huo 霹雳火
'pi'li'shen 霹雳神
'pi'lian 劈脸
'pi'ling'jun 毗陵郡
'pi'mian 劈面
'pi'pa'ting 琵琶亭
'pi'ruan'zhan 披软战
'pi'shou 劈手
'pi'wei'jiang 貔威将
'pi'xiang'dian 披香殿
'pi'xiong 劈胸
'pi'xiu 貔貅
'pian'jia'bu'hui 片甲不回
'piao'qi 骠骑
'piao'qi'jiang'jun 骠骑将军
'piao'qi'shang'jiang'jun 骠骑上将军
'pin'ming'san'lang 拼命三郎
'ping'bei 平北
'ping'bei'fu'xian'feng 平北副先锋
'ping'bei'zheng'xian'feng 平北正先锋
'ping'dong'da'yuan'shuai 平东大元帅
'ping'feng'qiang 屏风枪
'ping'nan 平南
'ping'nan'fu'xian'feng 平南副先锋
'ping'nan'zheng'xian'feng 平南正先锋
'ping'quan'qiao 平泉桥
'ping'shi 评事
'ping'tian'guan 平天冠
'ping'wang'zhen 平望镇
'ping'yao 平遥
'ping'yu'xian 平峪县
'po'dao 朴刀
'po'feng'dao 泼风刀
'po'liao 破辽
'po'liao'dou'xian'feng 破辽都先锋
'po'liao'fu'xian'feng 破辽副先锋
'po'nai 叵耐
'po'niang 婆娘
'po'xi 婆惜
'po'yan'hua 泼烟花
'po'zhen 破阵
'pu'an'yi'wang 濮安懿王
'pu'cheng'xian 蒲城县
'pu'dong 蒲东
'pu'dong'xun'jian 蒲东巡检
'pu'tian'diao 扑天雕
'pu'wen'ying 浦文英
'pu'zhe 仆者
'qi'bao'cun 七宝村
