'a'bu'feng 阿部丰
'mei'yue'yi'fen'li'wu'wei'xie'shi'jian 每月一份礼物威胁事件
'mei'zhong'bu'zu'de'shao'shang 美中不足的烧伤
'meng'de'chang'suo 梦的场所
'meng'zhong'zhi'xing 梦中之星
'mi'feng'ji'wei'jiu'sha'ren'shi'jian 蜜蜂鸡尾酒杀人事件
'mi'gong'de'shi'zi'lu'kou 迷宫的十字路口
'mi'gong'de'yin'an 迷宫的阴暗
'mi'hua'ding'ge'lou'zhi'jia 米花町阁楼之家
'mi'hua'zhi'lang'sha'ren'shi'jian 米花之狼杀人事件
'mi'huo'de'xin 迷惑的心
'mi'mi'de'jia'fang 秘密的家访
'mi'mi'de'shang'xue'zhi'lu 秘密的上学之路
'mi'mi'yue'pu 秘密乐谱
'mi'sha 密杀
'mi'sha 秘杀
'mi'shi'de'mi'mi 密室的秘密
'mi'shi'zheng'ming 密室证明
'mi'wang'sen'lin'zhong'di'guang'yan 迷惘森林中的光彦
'mi'wang'zhi'xin 迷惘之心
'mi'yang'de'xun'xi'ju'ji'shi'jian 谜样的讯息狙击事件
'mi'zhi'you'lan 迷之游览
'mian'ju'zhi'xia 面具之下
'ming'bai'fang'zhe 名拜访者
'ming'hua'ya'dao 名画雅盗
'ming'jian'shi'zhe 冥间使者
'ming'lang'de'ji'yi 明朗的记忆
'ming'quan'de'gong'lao 名犬的功劳
'ming'tan'zhen 名探侦
'ming'tan'zhen'ke'nan 名探侦柯南
'ming'tao'yi'jia'sha'ren'shi'jian 名陶艺家杀人事件
'ming'xian'yi'fan 名嫌疑犯
'ming'yang'de'yu'yan 命样的预言
'ming'zhen'tan'de'hui'ji 名侦探的会集
'ming'zhen'tan'ke'nan 名侦探柯南
'ming'zhen'tan'xiao'lan 名侦探小兰
'ming'zhu'de'xian'jing 名著的陷阱
'ming'zi'de'mi'mi 名字的秘密
'miu'bo'shi 缪博士
'mo'fa'de'zhou'wen 魔法的咒文
'mo'feng'bo 魔封波
'mo'guan'guang'sha'pao 魔贯光杀炮
'mo'gui'xian'shen 魔鬼现身
'mo'nv'qi'xi'de'tang'guo'zhi'jia 魔女栖息的糖果之家
'mo'ren'pu'wu 魔人普乌
'mo'ren'wu'pu 魔人乌普
'mo'shan'guang 魔闪光
'mo'sheng'de'fang'ke 陌生的访客
'mo'shu'ai'hao'zhe'sha'ren'shi'jian 魔术爱好者杀人事件
'mo'shu'kuai'dou 魔术快斗
'mo'shu'shi'shi'ge 魔术师失格
'mo'shu'shi'zhi'guan 魔术师之馆
'mu'biao'mao'li'xiao'wu'lang 目标毛利小五郎
'mu'biao'shi'xiao'wu'lang'shao'nian'zhen'tan'tuan'de'mi'mi'diao'cha 目标是小五郎少年侦探团的秘密调查
'mu'chang'de'bei'ju 牧场的悲剧
'mu'hei'de'qiu'dao'yu'shi'jian 目黑的秋刀鱼事件
'mu'mu'bi 目暮碧
'mu'mu'chen'feng'de'mi'mi 目暮尘封的秘密
'mu'mu'lv 目暮绿
'mu'mu'shi'san 目暮十三
'mu'qin'de'yi'wu 母亲的遗物
'na'ge'di'fang 那个地方
'na'li'you'wei'ji 那里有危机
'na'mei'ke'xing 钠美克星
'na'pa 拿帕
'nan'ji'bai'bin'de'shen'mi'zhi'lv 南纪白滨的神秘之旅
'nan'jie'wang 南界王
'nei'tian'ma'mei 内田麻美
'neng'hui'lai'de'shou'hai'zhe 能回来的受害者
'ni'shi'he'xu'ren 你是何许人
'ni'zhuan'de'shen'mi 逆转的神秘
'nian'qian'de'e'meng 年前的恶梦
'nian'qian'de'nan'ren 年前的男人
'niao'qu'xian'zhi'zhu'gong'guan'de'guai'shi 鸟取县蜘蛛公馆的怪事
'niu'kou'xing'kuo'yin'qi 钮扣型扩音器
'ou'xiang'de'mi'mi 偶像的秘密
'ou'xiang'men'de'mi'mi 偶像们的秘密
'ou'xiang'men'de'wu'jie 偶像们的误解
'ou'xiang'mi'shi'sha'ren'shi'jian 偶像密室杀人事件
'pan'bian'de'jie'jiao 叛变的街角
'pang'huang'de'hong'hu'die 彷徨的红蝴蝶
'pang'xie'he'jing'yu'bang'jia'shi'jian 螃蟹和鲸鱼绑架事件
'peng'ren'jiao'shi'sha'ren'shi'jian 烹饪教室杀人事件
'pi'si'ke 匹斯可
'pian'tong'feng 片桐枫
'ping'ci'de'fen'nu 平次的愤怒
'ping'ci'de'hui'yi 平次的回忆
'ping'ci'de'jiao'han 平次的叫喊
'ping'ci'hu'jiao 平次呼叫
'po'jin'de'bao'wei'wang 迫近的包围网
'po'sui'de'shi'er'xing'zuo'tu 破碎的十二星座图
'qi'ben'jia'yi'zu 旗本家一族
'qi'che'bao'zha'shi'jian'de'zhen'xiang 汽车爆炸事件的真相
'qi'guai'de'ju'hui 奇怪的聚会
'qi'guai'de'xun'ren'shi'jian 奇怪的寻人事件
'qi'guai'de'yi'dong 奇怪的移动
'qi'huan'de'shi'ti 奇幻的尸体
'qi'ji 奇迹
'qi'miao'de'hui'yi 奇妙的回忆
'qi'miao'yi'jia'de'wei'tuo 奇妙一家的委托
'qi'wei 七尾
'qi'ye'jia'qian'jin'sha'ren'shi'jian 企业家千金杀人事件
'qi'yuan'zhan 气元斩
'qi'zi'de'ji'nian'pin 妻子的纪念品
'qian'ban'de'you'qing 牵拌的友情
'qian'ban'de'you'qing 牵绊的友情
'qian'cang'sha'ji'de'tao'yi'jiao'shi 潜藏杀机的陶艺教室
'qian'tian'cong 前田聪
'qian'ye 千叶
'qian'ye'jing'bu 千叶警部
'qian'zou'qu 前奏曲
'qiang'dao'fan'ren'zhu'yuan'shi'jian 强盗犯人住院事件
'qiang'sheng'de'mi'mi 枪声的秘密
'qiang'tian'yu'mei 枪田郁美
'qiao'miao'de'jian'shi 巧妙的剑士
'qie'dao'ji'tuan'bie'shu'shi'jian 窃盗集团别墅事件
'qie'fu'zhi'fo 切腹之佛
'qin'jiu 琴酒
'qin'shi'de'jiu'jiao 寝室的酒窖
'qing'chun'de'xiang'wei 清纯的香味
'qing'chun'xiang'wei 清纯香味
'qing'jie'che'sha'ren'shi'jian 清洁车杀人事件
'qing'le'de'ji'yi 晴了的记忆
'qing'ren'jie'de'zhen'shi 情人节的真实
'qing'ren'jie'sha'ren'shi'jian 情人节杀人事件
'qing'shan'gang'chang 青山冈昌
'qing'shan'gang'chang 青山刚昌
'qing'zhi'an'hao 青之暗号
'qing'zi 青子
'ran'hou'you 然后又
'ran'xue'de'an'jian 染血的案件
'ran'xue'de'beng'dai 染血的绷带
're'xue'zhen'tan 热血侦探
'ren'yu'de'zu'zhou 人鱼的诅咒
'ren'yu'you'zai'du'ku'qi 人鱼又再度哭泣
'ren'zao'ren'hao 人造人号
'ru'chao'de'qian'ze 如潮的谴责
'san'bao'tai'bie'shu'sha'ren'shi'jian 三胞胎别墅杀人事件
'san'chuan 三船
'san'ge'ji'mou 三个计谋
'san'ge'jin'ji 三个禁忌
'san'ge'ti'shi 三个提示
'san'tiao'yu 三条鱼
'san'ze 三泽
'sang'shi'ji'yi'de'mei'shao'nv'shi'jian 丧失记忆的美少女事件
'sen'gu'di'er 森谷帝二
'sha'ji'zheng'nong 杀机正浓
'sha'lang 莎朗
'sha'ren'de'li'you 杀人的理由
'sha'yi'de'ka'fei 杀意的咖啡
'sha'yi'de'zhen'xiang 杀意的真相
'shan'an'rong 山岸荣
'shan'ben'you 杉本优
'shan'cun'xing'shi 山村刑事
'shan'kou'sheng'ping 山口胜平
'shan'lao'de'dao 山姥的刀
'shan'qi'he'jia'nai 山崎和佳奈
'shan'zhuang'beng'dai'guai'ren'sha'ren'shi'jian 山庄绷带怪人杀人事件
'shang'ye'chu'fa'de'bei'dou'xing 上野出发的北斗星
'shao'nian'zhen'tan'dui 少年侦探队
'shao'nian'zhen'tan'dui'xiao'shi'shi'jian 少年侦探队消失事件
'shao'nian'zhen'tan'tuan 少年侦探团
'shao'nian'zhen'tan'tuan'yu'nan'shi'jian 少年侦探团遇难事件
'shen'gu'ming 神谷明
'shen'mi'de'ju'ji'zhe'sha'ren'shi'jian 神秘的狙击者杀人事件
'shen'mi'de'shi'jie 神秘的世界
'shen'mi'lao'ren'shi'zong'shi'jian 神秘老人失踪事件
'shen'mi'xiong'qi'sha'ren'shi'jian 神秘凶器杀人事件
'shen'niao'die'zi 神鸟蝶子
'shen'qi 神器
'shen'she'niao'ju'zhi'jing'song'an'hao 神社鸟居之惊悚暗号
'shen'suo'diao'dai 伸缩吊带
'sheng'fo'ni'hao'lian'xu'sha'ren'shi'jian 圣佛尼号连续杀人事件
'sheng'ri'pu'tao'jiu'zhi'mi 生日葡萄酒之谜
'sheng'you 声优
'shi'cha'de'quan'tao 时差的圈套
'shi'ge'duo'nian'de'ju'hui 事隔多年的聚会
'shi'ji'mo'de'mo'shu'shi 世纪末的魔术师
'shi'ti'yin'bi 尸体隐蔽
'shi'xiao'cheng'li 时效成立
'shi'yong'le'mo'fa 使用了魔法
'shi'zi'diao'xia'de'dong'xi 狮子掉下的东西
'shou'biao'deng 手表灯
'shou'biao'xing'ma'zui'qiang 手表型麻醉枪
'shou'ji'yu'yan 手机语言
'shou'tao'de'zui'e 手套的罪恶
'shou'yu'xiong'qian 收于胸前
'shu'jia'de'an'hao 暑假的暗号
'shui'de'tui'li'xiu 谁的推理秀
'shui'dou'bu'zai'le 谁都不在了
'shui'liu'shi'ting'de'xuan'ji 水流石庭的玄机
'shui'mei'ren 睡美人
'shui'ping'xian'shang'de'yin'mou 水平线上的阴谋
'shui'wu'lian'nai 水无怜奈
'shui'wu'ling'nai 水无伶奈
'shui'zhong'de'yao'shi'mi'shi'shi'jian 水中的钥匙密室事件
'shun'jian'yi'dong 瞬间移动
'si'chu'zhan'zhuan'de'you'xi'ruan'jian 四处辗转的游戏软件
'si'de'hui'zhuan 死的回转
'si'ge'guan'jian'ci 四个关键词
'si'hu'shi'bang'jia'de'shi'jian 似乎是绑架的事件
'si'jing 四井
'si'liang'bao'shi'jie 四辆保时捷
'si'luo'shen'da'ren 死罗神大人
'si'shen'zhen'nei'sha'ren'shi'jian 死神阵内杀人事件
'si'te'la'di'wa'li'xiao'ti'qin'de'bu'he'xie'yin 斯特拉迪瓦里小提琴的不和谐音
'si'te'la'di'wa'li'xiao'ti'qin'de'bu'he'xie'yin'qian'zou'qu 斯特拉迪瓦里小提琴的不和谐音前奏曲
'si'wang'zhi'dao 死亡之岛
'si'zhi'xuan'lv 死之旋律
'song'ben'qing'chang 松本清长
'song'ben'xiao'bai'he 松本小百合
'song'jiang'yu'zao'lian'ju'shi'si'hui'he'ding'sheng'fu 松江玉造连句十四回合定胜负
'song'jing'cai'ying'zi 松井菜樱子
'song'rong'he'xiong'yu'zhen'tan'dui 松茸和熊与侦探队
'song'tian'zhen'ping 松田阵平
'sou'cha'kai'shi 搜查开始
'tai'qi'zhi'mi 抬起之谜
'tai'yang'neng'hua'ban 太阳能滑板
'tai'yang'quan 太阳拳
'tan'qi'gan'hai 叹气赶海
'tan'qi'shi'chao 叹气拾潮
'tan'xian'shi'shou 探险失手
'tan'zhang'de'tui'li 探长的推理
'tang'guo'he'cha 糖果和茶
'tang'wu'dun'zi 汤屋墩子
'tang'xia'xi'lian 躺下洗脸
'tao'bo'bo 陶伯伯
'tao'pao'de'xiong'qi 逃跑的凶器
'tao'tai'lang'jie'mi'zhi'lv 桃太郎解密之旅
'tao'wang'zhe 逃亡者
'te'bie'pian'di'juan 特别篇第卷
'te'lan'ke'si 特兰克斯
'teng'feng'you'xi'zi 藤峰有希子
'teng'qi'zhi 藤崎直
'ti'wen'po'po'shi'zong'shi'jian 提问婆婆失踪事件
'ti'ze'heng'fu 鹈泽恒夫
'tian'jin'fan 天津饭
'tian'kong'de'jin'dao 天空的近道
'tian'qi'yu'bao'xiao'jie'you'guai'shi'jian 天气预报小姐诱拐事件
'tian'shan'liang'cheng 田山凉成
'tian'shou'zhi'tou 舔手指头
'tian'xia'di'yi'ye'ji'sha'ren'shi'jian 天下第一夜祭杀人事件
'tian'xia'ren'zhi'bao 天下人之宝
'tian'xia'ren'zhi'cheng 天下人之城
'tian'xia'zhi'cheng 天下之城
'tian'zhong'xiu'xing 田中秀幸
'tiao'lou'zi'sha 跳楼自杀
'tie'chui'nan 铁锤男
'tie'jian'shi'lang 铁剑十郎
'tie'ren 铁刃
'tong'cheng'zhe 同乘者
'tong'kong'zhong'de'an'sha'zhe 瞳孔中的暗杀者
'tong'shi'jin'xing'de'wu'tai'he'bang'jia 同时进行的舞台和绑架
'tong'wang'tian'guo'de'dao'ji'shi 通往天国的倒计时
'tou'ming'ren'xian'shen 透明人现身
'tu'shu'guan'sha'ren'shi'jian 图书馆杀人事件
'tui'li'de'da'an 推理的答案
'tui'li'dui'jue 推理对决
'tui'li'xiao'shuo'jia'shi'zong'shi'jian 推理小说家失踪事件
'tun'kou'zhong'yan 吞口重彦
'wai'jiao'guan'sha'ren'shi'jian 外交官杀人事件
'wan'chuan'ci'lang 丸传次郎
'wan'fan'de'cai'dan 晚饭的菜单
'wan'guo'jing'tian'zhang 万国惊天掌
'wan'ju'xiong'zhi'mi 玩具熊之谜
'wan'mei'de'ming'tui'li 完美的名推理
'wan'mei'jie'du 完美解读
'wan'quan'mei'shi 完全没事
'wan'quan'yi'ban'fan'zui'zhi'mi 完全一半犯罪之谜
'wang'li'mian'de'shi 网里面的是
'wei'chu'kou'de'hua 未出口的话
'wei'dai'er 维黛儿
'wei'lan'de'ling'jiu 蔚蓝的灵柩
'wei'ming'de'fu'huo'di'san'ge'xuan'ze 危命的复活第三个选择
'wei'ming'de'fu'huo'dong'ku'nei'de'zhen'tan'tuan 危命的复活洞窟内的侦探团
'wei'ming'de'fu'huo'fu'shang'zhi'xia'de'ming'zhen'tan 危命的复活负伤之下的名侦探
'wei'ming'de'fu'huo'hei'yi'qi'shi 危命的复活黑衣骑士
'wei'ming'de'fu'huo'xin'yi'hui'lai'le 危命的复活新一回来了
'wei'ming'de'fu'huo'yue'ding'de'chang'suo 危命的复活约定的场所
'wei'na'si'zhi'wen 维纳斯之吻
'wei'xian'de'chu'fang'jian 危险的处方笺
'wei'xian'de'lai'fang'zhe 危险的来访者
'wei'xian'de'wei'dao 危险的味道
'wei'xian'de'xiang'feng 危险的相逢
'wei'xian'de'xiang'wei 危险的香味
'wei'xian'de'ya'yi 危险的牙医
'wei'xian'xun'hao 危险讯号
'wei'zhe'de'zhen'shi 伪者的真实
'wei'zhe'deng'chang 伪者登场
'wei'zhuang'de'shao'nv 伪装的少女
'wei'zhuang'zi'sha 伪装自杀
'wen'ding'de'shi'qi 稳定的时期
'wen'nuan'de'da'hai 温暖的大海
'wen'nuan'de'hai'yang 温暖的海洋
'wo'mei'you'wang'ji 我没有忘记
'wo'xi'ai'de'shen'mi'lv'xing 我喜爱的神秘旅行
'wu'cai'chuan'shuo'de'shui'di'long'gong 五彩传说的水底龙宫
'wu'fa'gui'lai'de'er'ren 无法归来的二人
'wu'fa'xiao'mie'de'zheng'ju 无法消灭的证据
'wu'ji'xin 无极心
'wu'liao'de'bi'sai 无聊的比赛
'wu'sheng'de'zheng'ju 无声的证据
'wu'tai'nv'yan'yuan'sha'ren'shi'jian 舞台女演员杀人事件
'wu'tian'gou'chuan'shuo'sha'ren'shi'jian 雾天狗传说杀人事件
'wu'tian'lao'shi 武天老师
'wu'tiao 五条
'wu'xing'chuan'zhen'jing'de'diao'yu 屋形船震惊的钓鱼
'wu'ya'zhi'ge 乌鸦之歌
'wu'yue'tong'zhou 吴越同舟
'xi'cun'jing'bu 西村警部
'xi'cun'ya'yan 西村雅彦
'xi'jie'wang 西界王
'xi'ming'de'fu'huo 息命的复活
'xi'yang'ran'hong'de'nv'er'jie'ren'ou 夕阳染红的女儿节人偶
'xi'yang'yu'lou'ti 夕阳与楼梯
'xia'lei'lv 夏蕾绿
'xian'chang'qu'zheng 现场取证
'xian'ren'zhang'hua'sha'ren'shi'jian 仙人掌花杀人事件
'xian'shi'shi 限时时
'xian'shi'shi'wu'shi 限时十五时
'xian'suo'bao'wei'wang 线索包围网
'xian'xian'mo'shu 显现魔术
'xian'yi'fan'mao'li'xiao'wu'lang 嫌疑犯毛利小五郎
'xiang'gong'zhu'de'ren 像公主的人
'xiang'ri'kui'guan'de'qiang'sheng 向日葵馆的枪声
'xiang'tong'de'ming'yun 相同的命运
'xiang'ya'zhi'ta 象牙之塔
'xiang'zhui'you'yu 香椎由宇
'xiao'bu'qu'de'hui'yi 消不去的回忆
'xiao'dao'yuan'tai 小岛元太
'xiao'lan'de'yan'lei 小兰的眼泪
'xiao'li'xun 小栗旬
'xiao'quan'hong'zi 小泉红子
'xiao'shan'mo'mei 小山茉美
'xiao'shi'de'bang'jia'tao'yi'che 消失的绑架逃逸车
'xiao'shi'de'dun'qi 消失的钝器
'xiao'shi'de'guang'yan 消失的光彦
'xiao'shi'de'ji'yi 消失的记忆
'xiao'shi'de'lian'ren 消失的恋人
'xiao'shi'de'nan'ren 消失的男人
'xiao'shi'de'shi'ti 消失的尸体
'xiao'shi'de'shi'ti'sha'ren'shi'jian 消失的尸体杀人事件
'xiao'shi'de'xin'niang 消失的新娘
'xiao'shi'de'xiong'qi 消失的凶器
'xiao'shi'de'xiong'qi'sou'suo'shi'jian 消失的凶器搜索事件
'xiao'shi'de'xun'jing 消失的巡警
'xiao'shi'de'yi'ye 消失的一页
'xiao'shi'de'yin'fu 消失的音符
'xiao'wei'tuo'ren 小委托人
'xiao'wu'lang'da'shi'tai 小五郎大失态
'xiao'wu'lang'de'xuan'ze 小五郎的选择
'xiao'wu'lang'tong'xue'hui'sha'ren'shi'jian 小五郎同学会杀人事件
'xiao'wu'lang'yue'hui'sha'ren'shi'jian 小五郎约会杀人事件
'xiao'xiao'de'ba'zi 小小的靶子
'xiao'xiao'de'mu'biao 小小的目标
'xiao'xiao'de'mu'ji'zhe 小小的目击者
'xiao'xiao'de'wei'tuo'zhe 小小的委托者
'xiao'xiao'de'zheng'ju 小小的证据
'xie'xu'de'jiao'yin 些许的脚印
'xin'bing'qi 新兵器
'xin'chu'zhi'ming 新出智明
'xin'de'lao'shi 新的老师
'xin'de'zhi'ling 新的指令
'xin'gan'xian'da'bao'zha'shi'jian 新干线大爆炸事件
'xin'gan'xian'hu'song'shi'jian 新干线护送事件
'xin'hei'yi'cheng'yuan 新黑衣成员
'xin'hun'de'bei'ju 新婚的悲剧
'xin'la'ku'kou'que'you'gan'tian'de'tang 辛辣苦口却又甘甜的汤
'xin'lan'yong'heng 新兰永恒
'xin'lin'ju 新邻居
'xin'ming'xiang'bao'li 新名香保里
'xin'wen'zhao'pian'sha'ren'shi'jian 新闻照片杀人事件
'xin'yi'de'lian'ren 新一的恋人
'xin'yi'hui'lai'le 新一回来了
'xin'yi'shao'nian'shi'de'mao'xian 新一少年时的冒险
'xing'ben'di'juan 行本第卷
'xing'qi'yi'wan'shang'qi'shi'san'shi'fen'sha'ren'shi'jian 星期一晚上七时三十分杀人事件
'xing'xing'de'xu'yuan 星星的许愿
'xing'xing'dou'zhi'dao 星星都知道
'xing'xing'he'xiang'yan'de'an'hao 星星和香烟的暗号
'xing'yun'de'xue'jia'he 幸运的雪茄盒
'xiong'qi'de'xia'luo 凶器的下落
'xiong'shou'qi'tu 凶手企图
'xiu'ji'zhuan'da'yun 秀吉转大运
'xiu'xing'shi 修行室
'xiu'yi 秀一
'xu'fang'xian'yi 绪方贤一
'xu'huan'zhi'lu 虚幻之路
'xu'jia'de'ai'qing 虚假的爱情
'xu'jia'de'bing'ren 虚假的病人
'xu'jia'de'you'qing 虚假的友情
'xu'jia'ri'qi 虚假日期
'xu'wei'de'ren 虚伪的人
'xuan'xu'sheng'yan 选婿盛宴
'xuan'zhuan'de'xiong'qi 旋转的凶器
'xue'ji'de'ji'guan 血迹的机关
'xue'nv'chuan'shuo'sha'ren'shi'jian 雪女传说杀人事件
'xue'nv'de'ji'mou 雪女的计谋
'xue'nv'zhi'ji 雪女之计
'xue'ran'ying'xiong 血染英雄
'xue'ran'you'ling'chuan 血染幽灵船
'xue'shan'shan'zhuang'sha'ren'shi'jian 雪山山庄杀人事件
'xue'xiao'de'guai'shi 学校的怪事
'xue'xiao'qi'tan 学校奇谈
'xue'xing'qing'ren'jie 血腥情人节
'xun'bao'qu 寻宝去
'xun'zhao'pi'gu'shang'de'yin'ji 寻找屁股上的印记
'ya'mu'cha 雅木茶
'yan'jiang'ting'shen'mi'shi'jian 演讲厅神秘事件
'yan'jing'you'xi'zi 岩井由希子
'yan'ju'you'xi'zi 岩居由希子
'yan'shu'xing'ren'zhi'mi'shi'jian 鷃鼠星人之谜事件
'yan'ze'jian'ren 盐泽兼人
'yan'zuo'zhen'you'zi 岩佐真悠子
'yang'guang'pu'zhao'de'di'fang 阳光普照的地方
'yao'dong'de'can'guan 摇动的餐馆
'ye'lu'sha'ren'shi'jian 夜路杀人事件
'yi'chan'de'qu'xiang 遗产的去向
'yi'ge'xin'nian 一个信念
'yi'huo'de'bu'zai'chang'zheng'ming 疑惑的不在场证明
'yi'huo'de'ga'li'fan 疑惑的咖喱饭
'yi'huo'de'ka'li 疑惑的咖哩
'yi'huo'de'qiang'sheng 疑惑的枪声
'yi'huo'de'tian'ti'guan'ce 疑惑的天体观测
'yi'huo'de'tui'li 疑惑的推理
'yi'huo'de'ying'you 疑惑的瑛祐
'yi'huo'de'you'jian 疑惑的邮件
'yi'huo'de'zhen'xiang 疑惑的真相
'yi'ka'er'si'de'hei'se'zhi'yi 伊卡尔斯的黑色之翼
'yi'liao'zhi'wai 意料之外
'yi'lou'de'dong'xi 遗漏的东西
'yi'ren'zong'dong'yuan 艺人总动员
'yi'shu'zhi'mi 遗书之谜
'yi'tao'zheng'ju 一套证据
'yi'tiao'cheng'you'zi 一条成优子
'yi'wai'de'ba'zi 意外的靶子
'yi'wai'de'dui'shou 意外的对手
'yi'wai'de'li'you 意外的理由
'yi'wai'de'mu'biao 意外的目标
'yi'wai'de'qi'fa 意外的启发
'yi'wai'zhi'bao 意外之宝
'yi'wu'ya'dao 伊武雅刀
'yi'zhi 一枝
'yi'zhi'shuo'huang'de'wei'tuo'ren 一直说谎的委托人
'yi'zu'mie'men 一族灭门
'yi'zu'zhi'bao 一族之宝
'yin'bao'mo'tian'lou 引爆摩天楼
'yin'bao'nei'de 银包内的
'yin'hang'qiang'fei 银行抢匪
'yin'hang'qiang'fei'sha'ren'shi'jian 银行抢匪杀人事件
'yin'he'lei 阴和雷
'yin'liao'ping'zhi'guai 饮料瓶之怪
'yin'xing'se'de'chu'lian 银杏色的初恋
'yin'yi'de'mo'shu'shi 银翼的魔术师
'yin'yuan'he'you'qing'de'shi'ying'hui 因缘和友情的试映会
'yin'yue'de'zu'ji 隐约的足迹
'ying'gai'xiang'tong 应该相同
'ying'tian'men'guai'shi 樱田门怪事
'ying'tian'men'zhi'bian 樱田门之变
'ying'ting'you'si 樱庭佑司
'ying'you'de'biao'bai 瑛祐的表白
'ying'yu'jiao'shi'he'xi'bu'ming'zhen'tan 英语教师和西部名侦探
'ying'zi'she'ji'shi 影子设计师
'yong'gan'de'jue'ding 勇敢的决定
'yong'gan'de'jue'duan 勇敢的决断
'yong'qi'de'sha'yi 涌起的杀意
'yong'sheng'yin'sha'ren 用声音杀人
'you'de'mu'ji'zhe 幼的目击者
'you'guai'xian'chang'te'ding'shi'jian 诱拐现场特定事件
'you'huo'de'chi'ma 诱惑的赤马
'you'le'yuan'gao'kong'tan'tiao'shi'jian 游乐园高空弹跳事件
'you'ling'chuan'sha'ren'shi'jian 幽灵船杀人事件
'you'ling'da'sha 幽灵大厦
'you'ling'mo'tian'lun 幽灵摩天轮
'you'ling'wu'de'zhen'xiang 幽灵屋的真相
'you'ling'wu'zhi'mi 幽灵屋之谜
'you'qing'yu'sha'yi'de'guan'men'hai'xia 友情与杀意的关门海峡
'you'sheng'jin'qi'bei'ge'shi'jian 优胜锦旗被割事件
'you'yang'qian'shui'sha'ren'shi'jian 有氧潜水杀人事件
'you'zuo 优作
'yu'chun'de'mo'fang 愚蠢的模仿
'yu'hei'an'zu'zhi'de'zai'hui 与黑暗组织的再会
'yu'shi'jian 鱼事件
'yu'shi'mi'shi'shi'jian 浴室密室事件
'yu'yan'bu'tong 语言不通
'yu'you'jian'de'zhui'zong 鱼邮件的追踪
'yu'zhong'de'da'an 雨中的答案
'yu'zhong'de'ke'yin 雨中的刻印
'yuan'du'xiu'lang 猿渡秀朗
'yuan'fang'cao'zuo 远方操作
'yuan'gu'guang'yan 圆谷光彦
'yuan'qi'tan 元气弹
'yuan'shan'he'ye 远山和叶
'yuan'shan'jing'guan 远山警官
'yuan'tai'de'bi'sha'qu'xian'qiu 元太的必杀曲线球
'yuan'tai'de'quan'tao 元太的圈套
'yuan'tai'de'zai'nan 元太的灾难
'yuan'tai'shao'nian'de'zai'nan 元太少年的灾难
'yuan'zi'bi'zhi'mi 原子笔之谜
'yuan'zi'de'hong'shou'pa 园子的红手帕
'yuan'zi'de'xia'ri'hai'tan'mao'xian'wu'yu 园子的夏日海滩冒险物语
'yue'ding'de'chang'suo 约定的场所
'yue'liang'he'xing'xing'yu'tai'yang'de'mi'mi 月亮和星星与太阳的秘密
'yue'ri'zhi'mi 月日之谜
'yun'xiao'fei'che'sha'ren'shi'jian 云霄飞车杀人事件
'zai'fa'guo 在法国
'zai'hei'an'zhong'chuan'chu'de'shen'mi'qiang'sheng 在黑暗中传出的神秘枪声
'zai'hui 再会
'zai'tu'hua'li'mian'de'bang'jia'fan 在图画里面的绑架犯
'zai'wu'li 在雾里
'zai'xue'yuan'zhi'zhong 在雪原之中
'zeng'hen'zhi'cun 憎恨之村
'zha'dan'de'xia'luo 炸弹的下落
'zha'dan'fan 炸弹犯
'zhan'li 战栗
'zhan'li'de'yue'pu 战栗的乐谱
'zhan'li'de'zong'pu 战栗的总谱
'zhan'mu'si'bu'lai'ke 詹姆斯布莱克
'zhan'mu'si'yue'han 詹姆斯约翰
'zhao'pian'de'xia'luo 照片的下落
'zhao'pian'shuo'hua'le 照片说话了
'zhao'pian'wei'zheng 照片为证
'zhao'shi'tao'yi 肇事逃逸
'zhao'yuan'ji'yi'lang 沼渊己一郎
'zhao'yuan'yi'yi'lang 沼渊已一郎
'zhe'ge'shi'shang'zui 这个世上最
'zhe'jiu'shi'zhen'xiang 这就是真相
'zhe'shi'shang'zui 这世上最
'zhe'shi'zhen'shi'de 这是真实的
'zhen'dong'de'jing'shi'ting 震动的警视厅
'zhen'gui'de'you'chuo 珍贵的邮戳
'zhen'hun'qu 镇魂曲
'zhen'jia'ren'zhi'bang'piao'shi'jian 真假人质绑票事件
'zhen'kong'de'sha'ren 真空的杀人
'zhen'nei'xiao'ze 阵内孝则
'zhen'tan'hui'zhang 侦探徽章
'zhen'tan'jia'zi'yuan 侦探甲子园
'zhen'tan'men'de'an'hun'qu 侦探们的安魂曲
'zhen'tan'men'de'zhen'hun'ge 侦探们的镇魂歌
'zhen'tan'tuan'da'zhui'ji'shi'jian 侦探团大追击事件
'zhen'tan'tuan'he'qing'chong'si'xiong'di 侦探团和青虫四兄弟
'zhen'tan'tuan'sheng'huan'shi'jian 侦探团生还事件
'zhen'xiang'de'da'men 真相的大门
'zheng'ju 证据
'zheng'ren'sheng'huan 证人生还
'zheng'ren'sheng'huan'le 证人生还了
'zhi'chi'xin'lan 支持新兰
'zhi'qiu'ding'shu'ying 直球定输赢
'zhi'qiu'sheng'fu 直球胜负
'zhi'yu'zhi'sen'de'bu'zai'chang'cheng'zheng'ming 治愈之森的不在场称证明
'zhi'zao'mi'shi 制造密室
'zhi'zhu'gong'guan 蜘蛛公馆
'zhong'dian'zhan 终点站
