'a'yu'fu'zhi'li 阿育复置醴
'jiu'yue'jiu'nai'tao'yuan'liang'suo'zhuan 九月九乃陶元亮所专
'jiu'zai'kou 酒在口
'jiu'zhen'wei'rong'chun'meng'duan 旧枕未容春梦断
'ju'kan'can 菊堪餐
'ju'mu'dan'zhi'tian'di'kuo 举目但知天地阔
'juan'qi'ge'ming'hong'bo 卷起革命洪波
'jun'bu'jian'cai'ze'qi'chi'shi'kan'chou 君不见蔡泽栖迟世看丑
'jun'bu'jian'chu'shi'wei'jie'shen'xian'si 君不见出师未捷身先死
'jun'bu'jian'da'er'cong'ming'dao 君不见大儿聪明到
'jun'bu'jian'ruo'ba'xi'hu'bi'xi'zi 君不见若把西湖比西子
'jun'ge'sheng'suan'ci'qie'ku 君歌声酸辞且苦
'jun'jin'xing'wei'cheng'lao'weng 君今幸未成老翁
'jun'wen'gui'qi'wei'you'qi 君问归期未有期
'jun'you'zan'lai'huan'jing'qu 君又暂来还径去
'jun'zhu'shu'shu'bai'wan'yan 君著书数百万言
'kai'yuan'tian'zi'wan'shi'zu 开元天子万事足
'kan'hua'hui 看花回
'kan'huan'yi 看浣衣
'kan'qiu'ji'er 看丘吉尔
'kan'wai'chang'jiang'kong'zi'liu 槛外长江空自流
'kan'xuan'xuan'cai'zhou'lai'qu 看喧喧彩舟来去
'kan'yi'fan'ge 看一番歌
'ke'meng'dou'sui'sui'yue'xiao 客梦都随岁月消
'ke'she'qing'qing 客舍青青
'ke'she'qing'qing'liu'se'xin 客舍青青柳色新
'ke'xiang'jiang'nan'jiu'bie'li 可向江南久别离
'ke'yi'tan'xiao'kai'zhong'fou 可以谈笑开中否
'ken'xin'liu'nian'bin'you'hua 肯信流年鬓有华
'kou'meng'bi'cai'sang'zi 寇梦碧采桑子
'ku'lian'feng'yue'wei'duo'qing 酷怜风月为多情
'kuang'fu'can'nu'ru'quan'shi 况复残奴如犬豕
'kuang'fu'nan'er'shi'yi'shi 况复男儿失意时
'kuang'you'ji'shi'zhi'ming 况有畸士之名
'kuang'you'sheng'ren'zhi'cai 况有圣人之才
'kuang'zhou'yi'huan'xi'sha 况周颐浣溪沙
'lai'cong'xi'mu'jin 来从析木津
'lai'zhe'you'ke'zhui 来者犹可追
'lan'dui'ling'hua'yun'xiao'zhuang 懒对菱花晕晓妆
'lan'man'wu'kan'bu'chu'cun 懒慢无堪不出村
'lan'ting'xi'zai'qing'ming'hou 兰亭禊在清明后
'lan'wei'pei 兰委佩
'lang'jin'yu'du'yuan'he'shi 郎今欲渡缘何事
'lang'shen'men'jiong'ci'pai'huai 廊深门迥此徘徊
'lang'xin'ru'qie'qie'ru'lang 郎心如妾妾如郎
'lao'min'da'zhong 劳民大众
'lao'qu'pa'kan'xin'li'ri 老去怕看新历日
'lao'seng'guan'xian'ding'jiao'ke 老僧惯閒定较可
'lao'wo'wei'neng'cao'shi'bi 老我未能操史笔
'lei'hen'shan 泪痕潸
'lei'hen'xue'dian'chui'xiong'yi 泪痕血点垂胸臆
'lei'nan'shou 泪难收
'lei'sa'dong'feng'yi'xi'jun 泪洒东风忆细君
'li'bie'he'bian'wan'liu'tiao 离别河边绾柳条
'li'gang'li'zhi'ci'ji'ju 李纲荔枝词集句
'li'gu'dang'nian'liu'shen'yu 李固当年柳神语
'li'hao'min'ti'yi'zheng'shi'zhou 李好闵题义正诗轴
'li'hen'kong'sui'jiang'shui'chang 离恨空随江水长
'li'jin'ji'ju 李进集句
'li'jun'min'ji'gu'su'heng'wang 李俊民集古宿横望
'li'she'da'chuan'tian'bu'shi 利涉大川天不使
'li'yue'lou'luo 历曰娄罗
'li'zai'qing'chao'bai'yu'chi 立在清朝白玉墀
'li'zhao'luo'gu'hua 李兆洛古画
'lian'she'ren'ju'jin'song'jian 莲社人居晋宋间
'liang'fu'zi 梁夫子
'liang'he'fan'ran'wo'jiang'li 两河翻然我疆理
'liang'hong'zhi'ge'yue'yi 梁鸿之歌曰噫
'liang'sheng'ji'yan'chuang'wei'hu 凉生几砚窗未糊
'liao'jie'jiu'bei'jiao'kuai'lei 聊借酒杯浇块磊
'liao'luo'qiu'xin'ru'fei'yuan 寥落秋心入废园
'liao'zuo'yi'pian'xi'song'ge 聊作一篇息讼歌
'lin'jiao'feng'zui'shi'mo'shi 麟角凤嘴世莫识
'lin'xuan'zhi'ce'ban'huang'ma 临轩制策颁黄麻
'ling'luo'jiao'you'wo'du'bei 零落交游我独悲
'liu'chun'qie'zhu'mo'cong'cong 留春且住莫匆匆
'liu'guo'gu'shi 刘过古诗
'liu'ji'yi'wang'sun'shi'er'shou 刘基忆王孙十二首
'liu'shang'you'yu'nv 流觞有玉女
'liu'ti'wu'tong'tuo 流涕无铜驼
'long'shan'luo'mao'qian'nian'shi 龙山落帽千年事
'lou'shang'huang'hun'yu'wang'xiu 楼上黄昏欲望休
'lou'suo'fei'tao'rao'kan'qian 楼锁飞涛绕槛前
'lu'jia'shao'fu'yu'jin'tang 卢家少妇郁金堂
'lu'nan'you'you'chang'bang'ren 路难悠悠常傍人
'luan'shan'ning'dai'se'gao'di 乱山凝黛色高低
'lun'bing'lang'ya'qi'ru'shan 论兵琅琊气如山
'luo'er'wei'qi 落而为萁
'luo'yang'fu'gui 洛阳富贵
'lv'gai'hong'zhuang'si'mian'huan 绿盖红妆四面环
'lv'guan'han'deng'du'bu'mian 旅馆寒灯独不眠
'lv'yang'di 绿杨堤
'ma'sa'xiao'yu'ge'chu'xie 摩挲笑与歌楚些
'ma'yi'sheng'ga'beng'er'de'ni 骂一声嘎嘣儿的你
'ma'zhi'yuan'zhu'ma'ting 马致远驻马听
'mai'hua'sheng'nen'zao 卖花声恁早
'man'jia'tu'mi'fang'zi'xu 满架荼蘼芳自许
'man'tang'bin'ke'jie'tan'xi 满堂宾客皆叹息
'man'ting'fang'cao'yi'huang'hun 满庭芳草易黄昏
'mang'mang'tian'di'ji'nan'er 茫茫天地几男儿
'mao'zei'kai'jin 蟊贼开尽
'mao'zhai'ji'zai'shao'cheng'wei 茅斋寄在少城隈
